V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T
NZL_C25,59.7299,1.3518,54.1438,19.849,7.8035,215.7425,6.6603,45.1265,30.9759,26.9811,5.2149,3.3837,56.1604,66.3974,140.7176,562.1909,5.6087,22.1614,91.8784,17.2812,6.8733,153.615,9.9032,17.7725,1719.8006,190.5413,3.6148,0.2499,7.496,5.4272,0.2392,33.2396,2.5033,1.4754,0.7951,14.7388,357.9823,25.5566,36.1684,73.3353,24.4832,11.3975,1.9919,54.0581,0.0
NZL_C26,0.2114,0.0,0.9058,0.0,0.528,11.4477,1.0655,2.5577,4.835,0.0,3.8045,0.76,2.1595,0.7481,0.2274,0.5162,38.001,14.7567,1.245,0.4491,1.8363,3.7538,3.6185,2.4617,38.4922,41.7637,0.3319,0.0,0.6363,0.7903,2.3537,0.0,32.0649,116.84,15.5328,7.6123,7.5029,26.0676,10.9224,27.2662,25.9759,24.8834,5.8931,10.2242,0.0
NZL_C27,7.9736,0.3467,0.3574,0.7441,0.0882,16.2036,0.6737,4.4332,11.1856,0.8041,2.1265,1.1588,4.9421,1.6709,1.9271,6.4807,72.7547,117.1565,45.3997,13.5506,1.7503,4.9405,11.3578,0.2509,426.5879,27.1553,4.1122,0.085,13.803,9.0415,14.2566,8.8246,7.7025,34.2632,1.327,2.8315,19.8079,10.0372,16.9648,15.9868,3.9719,11.4672,0.5562,4.7652,0.0
NZL_C28,25.1918,1.2867,31.961,6.3303,5.404,27.8159,3.6977,8.6071,26.697,5.9851,2.5464,0.9932,6.5419,7.5631,13.9575,37.0343,7.1704,11.4469,51.8336,181.0046,65.4469,20.811,5.5478,2.6169,242.9196,82.0743,8.399,0.5459,29.3957,3.829,2.4009,10.354,2.9859,4.5317,1.0522,4.1505,29.9874,25.5782,26.7082,15.5749,25.5297,5.2166,1.8712,8.3232,0.0
NZL_C29,5.4867,1.668,0.1341,0.0224,0.0027,1.4337,0.1423,1.5073,1.0226,0.081,0.6185,0.1772,0.7602,1.0692,1.0779,0.7968,0.0281,0.3654,1.6622,5.0764,0.3688,15.2302,0.0424,2.1642,14.6482,52.9278,50.4645,0.5749,2.2454,7.811,12.3495,1.3261,0.1434,0.9073,1.1741,4.7233,31.4103,8.2916,36.5702,3.2133,0.0401,0.8134,0.0318,16.7303,0.0
NZL_C30,5.3017,2.6869,0.9683,0.3241,0.1479,8.626,0.3023,1.5361,2.6098,1.2245,0.6144,0.2864,1.694,1.1218,0.948,4.8182,10.3375,16.7631,7.8363,12.5631,539.7053,2.2311,6.5258,0.8356,87.37,11.0222,60.1097,2.7286,15.5503,7.3252,2.2441,2.3546,1.8633,5.262,1.0949,1.3952,11.1888,30.1575,8.348,122.6723,1.5898,2.7442,40.6208,4.0741,0.0
NZL_C31T33,91.6534,15.5527,25.5549,6.1647,3.9681,96.3142,11.6107,32.1497,42.0904,14.2857,9.3918,4.1196,11.9887,16.8026,38.2543,27.19,10.2084,10.8205,17.7284,33.6186,27.0087,16.7489,46.5919,7.1556,177.8086,74.6684,16.1303,1.7419,15.4377,9.3028,1.4687,15.0291,11.7499,18.4476,5.9055,6.0801,84.275,35.1855,28.1538,27.2237,49.5488,104.7022,13.0445,8.729,0.0
NZL_D,413.5003,6.6328,67.8136,31.3208,4.1897,408.9914,13.696,101.432,192.0639,27.1883,132.9713,35.1936,42.6008,72.572,414.3498,41.2947,12.0486,10.833,13.8552,4.0094,1.9277,31.9538,6878.6476,151.1746,219.2335,556.7916,37.3176,2.5842,20.0522,28.5391,5.9155,99.1702,37.9008,48.9507,45.0589,70.2336,277.7902,117.3851,54.5223,139.5111,203.1847,284.6053,34.8082,35.4835,0.0
NZL_E,108.3208,12.7026,4.9165,4.0865,0.8834,150.7103,2.4873,26.9309,21.9995,17.3063,15.3556,4.2297,5.297,7.489,157.7183,4.3627,1.2564,2.0046,0.3795,0.5014,9.9624,3.2401,143.5374,677.1642,223.8097,122.2685,29.9577,0.1956,1.4911,8.5896,0.3019,14.3891,2.2168,0.981,0.5658,23.9654,426.8655,31.9512,48.419,58.2785,25.22,139.1558,18.7247,51.8857,0.0
NZL_F,466.0709,18.065,24.8327,18.0174,29.0282,124.8243,20.7455,54.9213,84.542,26.5733,13.5326,3.8218,11.1628,53.9153,14.1709,60.9155,11.3742,16.5116,48.9441,9.739,11.5851,97.6658,189.3291,66.6943,14691.6561,434.3772,43.8167,3.3454,25.9373,41.8843,6.6084,93.485,22.1399,106.5008,35.179,290.4106,2649.8769,437.7912,236.3592,214.3538,328.049,155.8595,71.7104,141.0819,0.0
NZL_G,1760.3,204.5392,188.6259,68.8325,27.9674,2384.1372,164.9813,396.1748,409.9224,179.2493,220.8881,122.376,322.9435,199.7169,232.3749,335.7447,204.1425,149.2701,127.841,112.3847,303.4837,175.5877,440.855,195.9852,2015.9401,1566.3602,588.8555,44.2119,359.6783,163.8357,66.8156,604.7369,178.1151,183.0199,88.9336,161.1839,748.7016,405.5268,447.7909,496.8082,276.8596,815.5249,148.5231,188.3833,0.0
NZL_H49,453.5631,19.9736,17.1637,30.5072,5.6835,782.5353,21.7979,95.7773,82.1388,66.0329,39.0766,11.6683,66.4575,68.4589,26.9941,64.5489,18.505,16.2549,16.1885,9.3439,22.9038,29.2393,27.6936,35.9162,206.4903,779.1099,421.4627,5.5809,29.9599,54.0232,31.7617,31.6099,40.8387,9.4212,13.4003,13.2955,58.8413,54.1544,72.6224,72.1509,38.3596,40.8173,16.6117,57.1918,0.0
NZL_H50,37.5087,13.3182,11.362,0.9371,0.4189,15.5821,1.7916,3.8768,1.874,13.5433,1.5106,0.3047,1.1238,8.1795,22.7637,15.3579,0.3098,0.8951,0.6038,0.8347,0.5205,0.7651,0.7248,0.1963,4.341,26.741,43.7204,40.8354,3.3663,29.7071,0.3658,0.5964,1.324,2.7589,0.5017,1.715,1.9116,1.9396,3.8757,4.9864,1.0464,1.735,0.2779,0.5031,0.0
NZL_H51,50.8294,9.9955,7.0444,1.8224,1.9262,115.0144,5.7224,16.8315,12.7561,21.5056,7.7531,2.4106,14.1041,12.5565,6.6967,14.203,9.5999,7.3634,8.7966,8.3783,9.4477,11.2813,12.573,4.1422,84.8026,154.037,59.5403,3.6135,205.3249,67.7061,35.8216,12.9714,12.9002,5.9003,20.5858,23.4086,33.8811,40.6624,45.2518,66.8543,30.2402,30.4649,14.2638,17.867,0.0
NZL_H52,302.7248,205.8527,65.3095,5.5509,2.4755,1116.6479,13.3266,8.8719,33.1354,26.0617,2.8848,1.5765,23.4796,40.4759,18.4542,17.0026,13.7795,7.8047,5.8319,14.2013,6.4513,12.0774,8.3463,2.1904,35.2843,848.4365,90.1633,51.89,36.8052,227.7289,9.1794,22.6479,13.709,3.2638,7.6057,7.7078,13.6658,8.8227,45.9049,17.3661,13.8129,12.0282,8.971,78.5085,0.0
NZL_H53,31.5416,2.783,1.5507,1.1152,0.2638,28.0524,2.7782,1.7878,18.7769,1.3104,1.587,1.7407,5.8812,6.8351,1.2927,3.8243,0.9142,0.6213,2.3078,0.3969,0.6037,7.2732,10.342,6.7186,59.0522,214.6077,6.7777,0.4808,2.0198,5.9425,214.0794,17.1789,16.4287,3.1655,7.4699,150.0368,23.2204,84.2511,56.1347,101.7725,33.0773,57.4206,13.3116,31.0381,0.0
NZL_I,58.9442,8.5691,3.1554,1.6948,3.6216,96.5281,5.97,9.3081,10.357,2.9412,7.207,4.4024,7.6513,3.5253,5.276,8.9517,7.5919,9.2451,6.4176,1.614,6.0604,4.1854,20.0167,6.5029,71.9544,70.3404,19.3294,2.0975,96.6155,9.5258,1.1412,33.0937,14.0153,4.7942,25.7773,10.7779,28.0037,33.1681,22.5237,140.5953,89.6062,201.2093,12.5671,13.3424,0.0
NZL_J58T60,21.4488,1.0501,3.634,1.6383,0.2947,146.4871,5.7386,7.1112,12.4904,12.5582,5.588,6.0018,12.1846,10.6142,2.3123,14.9228,12.9464,11.5442,5.0491,2.301,2.812,11.2745,17.0112,4.2709,44.7385,243.7682,6.8824,1.9551,20.354,12.9142,7.0403,43.5987,241.2708,52.6336,22.1946,72.2598,55.2048,105.9903,69.1497,54.3153,35.3014,31.4999,61.6083,45.4153,0.0
NZL_J61,123.6939,4.7525,4.4643,1.6766,1.5533,39.3337,2.9433,4.5194,7.1399,5.1231,3.3068,1.9696,6.1141,6.7821,1.8468,12.5764,8.9349,5.0961,5.9717,1.3406,1.4351,14.3458,31.4223,9.5667,113.1996,194.9669,30.6587,0.4761,17.2184,19.906,10.61,19.6259,47.6978,409.2009,110.4013,149.2552,45.5887,89.7316,83.709,212.7373,67.1429,89.2598,32.7332,40.4979,0.0
NZL_J62_63,55.2833,5.6241,3.3948,3.723,2.6648,69.7923,4.5443,7.7458,13.2006,11.3859,4.2781,2.2703,7.173,8.3748,4.0364,15.4098,9.1998,7.8286,6.6341,2.6852,3.8691,8.0084,27.8156,5.3272,55.7321,182.899,24.6604,0.8554,34.7702,18.7387,7.3488,23.2905,62.9686,182.2506,170.7173,245.3603,123.204,120.5581,120.429,230.9285,30.9604,72.8763,37.8635,24.2833,0.0
NZL_K,783.4838,20.9872,30.8262,8.5217,6.1038,226.8631,19.952,38.6237,36.2102,48.7052,20.2185,5.3362,44.2251,43.1428,54.954,53.693,30.4687,15.0989,22.3428,13.2869,11.4848,123.0208,111.3336,51.8757,443.7547,1608.6433,93.4035,5.7923,52.6485,65.6316,19.88,168.2575,100.0517,40.9019,80.3746,4375.1526,3077.878,421.7697,437.145,495.4968,190.6037,327.9916,143.2853,200.5206,0.0
NZL_L,124.718,23.8421,14.6458,8.5687,6.8107,181.2454,18.3199,29.5208,36.5027,22.4109,10.5033,7.9642,35.4432,24.1175,9.2319,69.8297,24.7074,15.4665,22.1362,13.1778,9.7865,56.6994,30.2517,17.953,164.1335,1306.6039,157.6235,3.8868,69.714,42.7129,17.4477,228.6377,112.7821,79.3227,160.5915,307.7015,1332.4683,310.75,422.9738,138.4644,65.1201,235.209,63.079,77.2653,0.0
NZL_M,464.5475,45.9051,51.6672,16.7082,21.3935,961.8199,41.532,40.5544,59.2592,79.6787,28.0706,24.193,69.0325,90.0096,33.8432,152.175,115.0681,87.3316,90.2846,11.1909,13.1798,69.9465,513.2231,120.2295,1453.8587,2360.0583,110.1481,6.2159,140.1507,115.0925,54.3186,271.3211,172.7262,125.0218,272.638,935.0481,731.6532,2754.0496,915.7154,926.8948,337.6938,528.6086,298.7236,341.0978,0.0
NZL_N,462.0128,32.3945,38.3332,15.2142,12.7241,903.3566,27.7962,91.9649,56.1297,17.5541,11.7423,7.7778,25.0396,26.4071,14.5759,51.6828,12.4786,16.8584,20.457,9.3104,6.0593,52.1697,53.6204,34.8713,320.9286,1318.4457,118.8126,4.5697,98.5493,75.0468,17.1773,187.6145,108.3163,64.6887,116.1963,365.9947,567.6683,483.6754,390.5555,632.3534,260.564,299.9,94.762,128.2273,0.0
NZL_O,72.4422,4.5393,22.5403,12.2039,3.6048,72.9406,4.1537,11.9335,11.5432,5.6281,2.3775,1.4502,9.7014,3.5526,8.627,14.7108,3.9296,2.2798,2.9593,1.8185,0.7075,14.5801,41.0025,22.4502,153.6034,256.9278,17.8164,1.3304,12.9285,10.5692,13.0724,61.6962,28.2518,14.7903,23.3343,65.2997,141.5247,147.0683,144.4715,283.7239,103.1238,85.4942,37.2805,46.3186,0.0
NZL_P,42.8425,3.7953,6.8761,3.2237,4.9177,58.6057,1.6091,9.4286,7.9013,5.0122,4.7422,1.6246,5.8437,3.0153,3.2564,12.6109,2.8906,5.7414,8.6743,1.6349,2.0364,2.5598,27.3636,5.4254,60.7459,68.8495,18.0655,0.9242,23.2215,5.4606,1.919,7.1478,21.228,10.6237,46.5649,39.2274,32.5604,159.5168,60.0477,562.0213,361.4504,210.2408,16.8787,72.2661,0.0
NZL_Q,6.3305,0.5185,0.3394,0.2564,0.2797,8.1489,0.4691,0.9832,1.4364,0.6248,1.3342,0.9257,1.3628,0.8686,0.8771,1.4941,0.7953,0.6179,0.609,0.2416,0.1942,1.2546,1.5267,0.9681,10.6935,25.7053,3.3859,0.089,4.4215,1.5456,0.4581,3.2228,4.6753,2.9681,4.912,12.6687,15.5741,12.413,10.4306,116.8292,30.8361,2314.6333,3.8967,3.0469,0.0
NZL_R,16.1868,0.919,0.7094,0.4797,0.384,35.4653,1.385,2.2368,3.0578,2.9971,1.3398,0.9597,2.4758,2.0633,1.2506,4.4446,2.4015,1.9416,1.912,1.4838,1.691,2.289,4.3332,7.818,16.2346,45.0401,4.7365,0.9386,11.3282,3.4669,1.23,7.4811,39.3791,22.8401,23.9919,29.8744,22.1796,37.2,22.2682,33.0156,98.7814,20.9807,161.4087,9.4998,0.0
NZL_S,39.6319,67.3901,1.4452,6.1566,2.5004,296.7959,6.4707,11.3264,7.4334,2.2007,3.886,2.2718,4.8361,3.4427,0.3595,5.0948,0.0276,7.9584,1.7815,2.391,1.1079,12.9224,33.6216,3.9159,71.1805,47.412,8.4795,0.77,13.2569,8.5072,2.8422,6.1191,13.4764,2.8324,20.1878,25.7105,70.0775,225.1411,162.5671,197.6053,51.1694,94.2565,84.5628,136.4596,0.0
NZL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
