V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T
CHE_D,290.3951,0.0001,162.0686,65.1806,0.227,883.3188,59.1393,237.0907,380.9046,143.8661,1253.843,736.8356,137.9949,465.362,434.0844,703.5421,599.4579,709.2211,429.3511,24.9226,149.1641,252.9976,12716.423,167.9086,364.3922,2182.1193,566.1077,225.9444,83.8235,250.4143,84.2061,464.7429,88.712,368.4709,187.5022,999.5204,400.7921,1834.5513,466.8161,1769.1729,312.2888,1087.5298,707.7374,632.0698,0.0
CHE_E,37.7181,0.0,57.2077,12.023,0.0942,124.677,5.6507,9.95,38.0615,6.2183,49.9039,108.145,11.6186,13.0244,67.4722,15.1647,55.8311,32.4389,28.6024,1.1892,4.7276,31.3361,390.8333,374.3488,42.6853,150.6146,31.0078,29.2359,7.092,19.1334,4.8827,56.932,5.8713,13.1835,24.399,67.2543,24.6097,204.3612,73.3881,468.2289,35.0006,112.1797,186.1634,105.2136,0.0
CHE_F,152.3283,0.0015,77.7361,22.6163,0.1914,75.5682,9.7584,60.1231,27.1807,6.3517,35.8678,111.6743,16.9492,111.4589,30.1781,55.6202,233.5105,53.8964,120.3282,3.0773,37.0406,66.9068,1246.2524,88.9143,10653.0769,532.8549,237.8052,119.7279,46.0375,430.7972,49.0896,421.191,59.0722,149.9203,96.9805,957.4954,4996.829,790.9346,331.5727,1540.001,163.4675,432.5992,185.2771,324.4844,0.0
CHE_G,1464.0497,1.0124,330.2185,95.3695,0.8312,5388.4704,393.8056,536.0874,548.8761,395.8377,2852.2795,10525.6639,927.0644,609.4134,373.9326,1444.9499,8107.1394,2725.0388,2765.1565,188.605,386.3951,1340.4399,2008.6065,235.6947,4922.7403,34970.1952,2219.091,2659.03,808.7145,2375.8529,508.2241,2221.9837,270.8274,476.4413,449.2884,453.4347,98.0206,2261.0523,894.1004,3208.4855,249.0085,3744.9917,524.4209,833.5931,0.0
CHE_H49,149.5655,0.2554,74.5796,24.7302,0.1466,724.0757,38.0082,165.2233,92.7113,81.2833,428.5302,1147.5908,147.8551,202.3718,109.7916,166.0859,792.5052,281.225,339.6017,22.553,58.8405,213.9479,406.9249,37.3787,862.6536,5379.7543,896.4996,400.8799,116.4156,919.0514,20.6186,188.0386,110.5668,37.0399,60.754,136.3288,12.398,535.1609,212.8985,560.6997,319.3621,290.3267,86.0783,167.6209,0.0
CHE_H50,43.2081,0.1245,33.0752,14.8158,0.0957,179.9736,23.4454,64.6687,48.7105,34.1804,165.7607,303.7253,58.359,92.3174,55.5268,68.1093,422.9591,132.4507,153.004,9.7288,35.1702,84.8249,115.746,16.8709,176.2002,4824.0351,802.1335,5615.7584,214.864,1005.3001,13.5651,38.4874,43.9099,15.5121,31.1203,60.4964,4.5556,183.9195,134.4636,209.7799,72.6872,54.4311,51.6943,72.7857,0.0
CHE_H51,20.2681,0.1137,10.6649,3.5895,0.0335,107.336,15.8049,20.0054,16.1542,11.3858,62.1516,192.0572,21.8663,25.5219,18.0728,32.3354,201.7861,58.6915,72.0719,5.3181,15.9559,48.4124,70.5551,8.1666,125.8416,783.1423,183.4066,213.6134,347.5831,200.905,6.1146,30.4969,30.941,9.6414,30.8904,83.4123,2.993,183.403,100.6239,194.0128,86.7466,48.6708,35.7919,42.6722,0.0
CHE_H52,27.9808,0.0313,52.0698,14.1455,0.0692,278.6064,7.691,23.1115,25.1364,15.5117,87.6486,275.2111,25.0315,58.9996,18.3107,31.3943,194.0786,58.4981,173.4401,8.3273,14.5774,107.0458,92.5102,18.1066,170.7559,3868.4941,1819.0756,3507.0535,945.7644,2632.6392,375.1593,38.2071,25.2142,18.9309,12.7827,8.9844,3.1648,199.8624,73.7653,80.2963,4.3468,54.3763,8.833,15.7534,0.0
CHE_H53,0.6525,0.0002,54.0445,13.883,0.1577,27.7334,1.7506,6.3512,3.2066,0.6931,6.8149,12.1019,4.533,7.5959,1.7423,14.553,32.5719,15.0638,148.7233,0.4078,6.7228,123.2923,188.8712,10.1342,39.0578,777.4294,65.4904,66.7551,19.2191,71.1452,23.2377,21.0624,28.6147,262.6433,85.3297,385.5354,8.7367,430.2988,156.9269,236.1793,2.5701,61.8758,55.0695,37.7814,0.0
CHE_I,2.0928,0.0014,15.2036,2.8686,0.066,72.9801,3.1063,10.486,9.4124,3.5714,27.3003,132.3921,8.916,16.0028,1.4058,8.0219,385.6126,74.214,55.4055,7.8871,9.9602,75.7256,80.0743,20.5663,184.102,538.5548,110.8253,80.9679,92.7023,88.6647,2.8676,192.6479,40.8661,30.9019,52.4925,297.0424,13.297,132.4761,92.1947,165.9238,6.8236,30.7573,119.0613,208.1483,0.0
CHE_J58T60,0.0387,0.0,1.1789,0.5686,0.0014,12.6103,0.2925,0.4106,5.6258,0.2544,2.4854,14.6889,0.1189,0.3887,0.6376,1.5451,12.8928,2.9421,3.9219,0.3805,1.4224,9.403,14.5952,1.6849,5.005,131.4701,5.3623,5.198,2.6735,13.5413,4.192,2.6479,153.0257,12.0578,40.7209,68.967,14.1586,394.4605,139.0361,118.8966,50.8103,39.5548,90.1361,75.293,0.0
CHE_J61,71.9991,0.0002,6.4541,1.654,0.0213,52.1186,4.4772,8.5734,11.3703,2.1791,19.2511,74.9657,4.4585,10.4065,3.2483,30.278,169.5366,37.8499,62.0495,4.3829,6.8472,66.3761,177.6767,13.4456,84.8436,423.3638,122.6817,85.1767,28.9497,78.2868,139.2714,47.365,139.9056,2820.0743,240.4632,792.1198,137.2755,1363.6801,595.5507,422.3252,9.4905,104.8574,170.1314,110.4423,0.0
CHE_J62_63,2.5479,0.001,8.8056,2.8048,0.0204,60.7556,5.9052,11.4058,16.16,2.5214,21.6169,111.0025,2.1946,8.7537,8.8594,24.7403,271.047,92.6516,92.4136,4.779,53.9339,60.3881,18.8769,7.5237,13.2485,490.8716,219.3973,202.383,116.8517,136.6332,65.6184,11.5852,47.2509,242.7774,4010.1555,840.3459,38.3104,977.9436,258.1704,308.8466,70.2679,139.2543,45.7876,39.5293,0.0
CHE_K,151.5866,0.0353,39.5311,12.0558,0.0731,808.6762,83.965,293.2474,117.5715,54.5621,347.2777,1041.0799,169.0647,150.1501,75.76,615.9588,1256.7643,850.5315,516.5918,27.7386,232.3569,243.2311,749.7405,99.0248,1313.0055,2517.5554,826.57,792.9799,247.0549,785.941,188.9115,575.9295,246.6949,293.793,562.8359,29274.8123,4044.0026,3744.3403,1395.1412,2689.1047,323.7823,768.6275,334.7981,1799.3966,0.0
CHE_L,19.3317,0.0,4.9877,2.141,0.0238,113.0163,1.8211,6.3486,10.831,3.966,40.4346,56.8076,4.4909,18.765,7.714,10.7815,235.5661,15.5866,100.7261,2.2312,6.1338,71.363,35.4832,8.4836,274.6425,1711.1644,60.6013,38.5221,15.5923,152.953,23.5717,301.2911,61.5842,304.9752,80.7428,1227.1723,1336.9231,1451.1425,520.5797,669.511,34.7444,272.2306,98.4064,178.0879,0.0
CHE_M,127.4631,0.0009,186.7351,63.547,0.926,1718.3968,38.9121,87.6356,163.7049,51.2047,527.8192,3358.5645,185.689,189.1786,106.4981,271.5123,1400.4558,594.0936,1753.1725,84.2259,248.888,979.126,4913.6726,411.0317,4953.3621,6304.4247,1175.0551,1257.4132,314.477,1130.8177,117.2577,568.2129,692.9581,495.9014,1009.8694,8991.1918,4270.362,29765.1323,3552.4998,3000.8356,160.7814,836.3689,724.0891,1001.5537,0.0
CHE_N,36.0233,0.0,85.29,27.7004,0.2713,874.3975,19.6741,34.7019,54.397,14.4113,130.0163,842.8816,68.9472,65.1834,57.8279,99.1155,486.7902,192.0258,620.0505,27.1106,140.0855,377.955,1351.1256,148.5488,1399.0178,1766.1962,694.9835,963.9362,398.8359,598.5405,66.865,280.203,173.9364,156.2416,322.4958,2388.3049,1254.2301,5272.7483,3210.9346,1203.5107,96.6116,446.2801,311.7903,313.8299,0.0
CHE_O,523.6616,0.0558,165.3455,33.162,0.288,644.3313,19.7853,170.1369,235.8659,22.1764,177.1365,600.9485,8.3294,47.1111,192.2972,93.5197,278.4477,183.6749,182.2005,10.3274,29.1186,148.0358,1353.8859,1069.6404,422.7414,860.4782,761.7075,614.0862,193.4727,169.9201,31.3579,185.9109,67.2609,92.5352,313.7032,517.8277,675.7979,2922.906,902.8008,4246.2264,217.221,2834.636,563.4839,626.503,0.0
CHE_P,8.7862,0.0,1.3565,0.2864,0.0026,17.2708,1.272,0.7007,1.2753,0.3244,2.1266,23.0543,0.2486,0.8007,0.7564,4.7731,15.5386,6.6854,8.9332,0.4246,3.3649,2.4339,21.5552,8.8007,9.23,38.2062,15.0984,16.4021,9.6508,2.1199,3.5096,1.6884,1.9077,14.4781,64.3413,87.1314,35.5489,212.3397,10.5818,167.5637,317.9588,17.3775,12.9926,28.3786,0.0
CHE_Q,3.7038,0.0028,3.8016,0.7626,0.014,26.7928,1.5612,3.4425,102.3437,0.7328,5.2354,22.5266,1.4591,2.5095,0.7422,11.9935,34.292,46.912,14.7287,1.1702,3.9821,20.5885,8.7291,3.5515,27.7138,43.9994,78.2156,60.6444,20.9227,10.3723,1.5135,13.5983,8.2801,13.1029,10.4933,24.0821,12.017,161.9535,25.901,1708.2409,65.1981,2836.4739,94.7788,21.914,0.0
CHE_R,0.6928,0.0,4.241,1.0616,0.0194,14.4764,0.7454,0.007,15.3759,1.5043,14.6814,149.6919,3.614,0.4581,0.026,0.8945,7.746,0.0723,4.6253,3.3671,3.0355,15.5896,46.2027,6.8443,1.0892,68.2908,1.6379,4.1386,0.5909,2.0332,3.5671,45.5116,252.7127,21.2716,0.7472,230.2542,1.3952,78.8216,15.5202,1436.0085,58.6842,24.8988,3658.3651,644.8788,0.0
CHE_S,3.501,0.0,10.9163,3.7366,0.0359,142.0034,1.2686,0.4541,9.1035,2.2877,17.7063,68.503,1.3345,10.4484,13.1582,13.2968,270.8117,26.7948,51.5236,3.4372,10.9482,109.1267,276.0617,25.033,116.7553,765.9052,62.504,68.7301,18.1142,201.9804,3.2462,63.1038,52.3233,19.3126,113.8385,454.5197,20.8218,1351.7095,497.5146,345.732,44.8967,358.125,199.2575,362.1705,0.0
CHE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
