V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T
LVA_C30,0.2774,0.2963,0.0003,0.0435,0.0003,0.0752,0.002,0.0584,0.0418,0.0001,0.0027,0.0085,0.1482,0.0025,0.059,0.0234,0.0047,0.003,0.0036,0.8407,2.8035,4.5267,0.0453,0.0065,0.7021,1.1525,10.4739,0.0029,1.3429,1.1381,0.0088,0.0278,0.0419,0.0412,0.0101,0.0184,0.05,2.1678,0.6729,0.0655,0.0599,0.029,0.6146,0.0669,0.0
LVA_C31T33,27.9403,0.2488,0.0093,2.5576,0.0475,13.1571,0.7848,13.5859,2.7567,0.059,1.0158,3.0721,1.5157,4.9205,0.5645,5.2586,0.3557,2.8832,1.6316,1.3376,1.3038,29.0867,8.546,5.1112,12.4011,40.3737,6.2517,0.1973,7.8374,6.7945,0.5891,3.1398,1.2885,4.5132,3.4979,1.3359,3.7116,7.407,8.2512,10.9794,7.4809,28.947,3.9807,1.3701,0.0
LVA_D,42.2683,1.8682,0.0149,5.5342,0.0266,54.3066,3.2855,93.9627,5.7506,0.0511,7.0976,7.1866,5.3533,21.8887,2.3605,11.9298,1.2793,3.8459,4.2204,3.3127,0.4131,11.7734,396.3423,17.8961,16.362,90.5951,40.8037,0.1723,0.3139,17.0724,1.3229,16.7988,1.9817,21.8919,7.5433,6.945,96.8683,8.0388,5.8002,45.6017,72.5745,41.7486,24.7208,10.611,0.0
LVA_E,4.6403,0.2949,0.0035,3.0894,0.0122,19.6479,1.0085,7.4088,1.878,0.0457,3.5646,1.4671,2.0785,5.9066,19.2545,4.3744,0.21,0.6294,1.0845,3.4655,0.4473,2.4942,5.0016,87.6381,28.5312,26.3614,6.1653,0.074,0.4632,3.8588,0.3135,3.6293,0.1973,0.5608,0.5089,0.6434,14.3957,3.7505,7.9073,26.1398,16.6733,12.842,5.3182,1.9624,0.0
LVA_F,17.9455,0.3461,0.0065,4.0359,0.0278,13.6325,0.4721,19.2789,1.0924,0.0913,1.1594,1.7738,0.4892,16.4637,0.531,15.6666,1.3356,1.9585,1.0806,0.9308,1.1499,3.8095,66.2298,15.0084,1943.8722,51.098,49.7674,1.0923,4.2142,8.2131,0.682,3.9301,0.8856,15.1376,2.6455,21.0244,97.0802,29.963,21.4864,163.5683,22.1607,11.3652,8.2828,10.6589,0.0
LVA_G,343.2203,6.6928,0.0519,34.6844,0.1314,302.9491,33.556,302.3885,36.6631,1.391,47.2007,17.7878,20.7241,59.5213,7.5115,56.9501,49.4517,24.4097,23.0026,20.717,8.3912,59.2744,73.231,17.4218,408.5515,163.1558,224.0902,2.6071,34.2941,27.3415,3.929,57.744,9.8153,10.6726,12.746,10.5319,39.5679,58.2799,49.9295,55.0614,41.1642,64.196,16.9272,12.3806,0.0
LVA_H49,44.0006,1.1312,0.0335,19.0776,0.1043,42.5683,2.14,62.4457,6.2554,0.4155,8.4704,2.619,3.6016,23.7948,2.2779,14.5723,4.4183,3.7973,4.1201,4.2699,1.7522,8.2677,19.6283,4.8566,93.6939,116.167,107.233,1.2583,13.2368,115.0026,2.2927,5.1622,1.2117,1.5475,2.0226,1.4127,4.5358,5.5091,13.854,17.8856,8.595,6.0807,3.9,1.7501,0.0
LVA_H50,1.5238,0.0446,0.0155,0.0819,0.0374,1.4961,0.3106,0.0937,0.2641,0.0424,0.3635,0.0995,0.262,0.0295,0.1025,0.752,0.5416,0.3353,0.2778,0.3626,0.0458,0.476,1.6692,0.1337,2.3245,0.6737,0.624,0.0558,0.2964,0.188,0.0159,0.324,0.0319,0.0441,0.0874,0.028,0.2776,0.2131,0.2623,0.4434,0.2727,0.4545,0.1046,0.0957,0.0
LVA_H51,1.7549,0.0416,0.0006,0.3104,0.001,1.6294,0.224,1.1052,0.277,0.0255,0.3371,0.0451,0.1974,0.3692,0.0797,0.6934,0.4677,0.2448,0.1754,0.2618,0.0425,0.3408,1.2507,0.1309,1.7488,0.6478,1.729,0.0112,0.0127,0.0592,0.2309,0.2609,0.0282,0.0331,0.069,0.0643,0.3511,0.1071,0.1808,0.1623,0.092,0.2994,0.033,0.0509,0.0
LVA_H52,12.0978,0.1693,0.0174,5.1797,0.0101,25.6604,0.4742,25.1154,0.3723,0.0647,3.0355,1.0746,1.5573,7.9949,0.5215,1.609,1.7292,0.8197,1.4539,0.5284,0.3998,7.62,0.4336,0.2121,16.4695,294.4428,82.5409,13.0229,105.9475,1429.9855,0.2884,0.5525,0.2763,0.4185,0.5608,1.7521,1.2775,1.0306,3.5797,30.3191,2.2088,1.3854,0.5629,1.0489,0.0
LVA_H53,0.4529,0.028,0.0005,0.1652,0.0019,0.9678,0.7394,0.4768,2.2514,0.0276,1.0123,0.3591,0.1306,0.1999,0.0127,0.8023,20.729,1.0682,0.1291,0.1031,0.0735,2.2084,0.3698,0.8752,1.1473,40.2541,1.4016,0.0349,0.3991,0.8401,49.6942,0.4003,2.1235,2.5975,9.7977,7.6814,0.742,3.005,2.7091,9.7604,3.2742,3.121,2.3974,1.6547,0.0
LVA_I,0.1666,0.0112,0.0001,0.0382,0.0057,0.2614,0.0571,0.1025,0.0413,0.022,0.0405,0.3422,0.0258,0.0656,0.0052,0.259,0.3252,0.1586,0.0615,0.0493,0.0437,0.5352,0.2067,0.0349,2.0316,3.5567,0.5892,0.0108,1.2135,0.3197,0.0412,2.2214,0.2092,0.1433,1.358,0.1282,0.0556,1.1552,39.8096,1.9697,6.932,3.2444,1.8179,0.1237,0.0
LVA_J58T60,0.6624,0.022,0.0001,0.0498,0.0005,1.4856,0.1138,0.4256,1.9152,0.0014,0.0736,0.0989,0.0451,0.0749,0.0062,0.0814,0.0809,0.1915,0.1346,0.0661,0.0891,0.1351,0.1236,0.1454,0.8792,8.9664,0.6786,0.0394,0.6304,0.3982,0.1248,0.2603,20.1375,10.792,2.413,0.7801,0.1469,5.6986,0.6169,5.1039,2.7948,0.7848,2.6056,1.2157,0.0
LVA_J61,3.568,0.1264,0.0008,0.318,0.0047,3.6016,0.3874,2.4592,0.4768,0.0756,0.4461,0.594,0.2305,0.6252,0.1054,1.1823,0.5669,0.4918,0.496,0.2503,0.2717,1.1813,7.0937,0.7792,14.1356,19.9447,6.7797,0.1221,1.1829,1.7226,0.6753,1.8422,0.8016,151.6571,11.2991,15.7675,12.3892,6.7156,14.5562,17.2907,4.1894,6.8922,3.4353,3.3962,0.0
LVA_J62_63,4.2034,0.06,0.0016,0.5662,0.0055,5.8318,0.5266,3.3627,1.3121,0.0184,0.5667,3.4052,0.3927,1.6527,0.1433,2.0031,1.9395,1.5852,0.6976,1.2691,0.5469,1.7584,10.7099,1.8766,9.7752,76.1725,28.4813,0.5185,13.8596,5.8144,1.2745,4.0417,9.783,43.4455,146.765,84.9973,5.4459,37.3989,53.7843,53.5325,8.5026,12.7697,13.2814,4.1315,0.0
LVA_K,44.4238,0.8088,0.0032,1.1611,0.0218,12.8373,0.5808,13.6428,1.3134,0.0571,0.9911,3.5921,0.6921,4.3319,0.3692,3.0528,0.9238,1.2975,0.998,4.3112,0.4677,2.4978,10.2481,3.1554,24.1825,113.0282,21.6824,1.1855,9.0729,19.0231,30.0782,7.3638,1.1501,13.039,8.4965,377.6482,172.6647,29.8265,14.4099,55.1868,2.3168,7.9786,8.3138,10.3055,0.0
LVA_L,7.1869,0.4424,0.002,1.1583,0.0121,19.7458,3.8267,7.3024,7.0897,0.0948,3.2788,1.493,6.2529,5.796,2.5878,17.1079,5.9596,2.6437,5.0134,3.0753,1.9307,11.9716,4.134,6.1481,48.7593,579.1798,18.2298,0.8104,1.2219,35.1358,4.705,74.9518,9.7429,5.7735,36.4644,37.5562,343.1262,37.7424,35.9733,68.4755,41.1804,52.855,46.4017,18.298,0.0
LVA_M,22.466,0.9884,0.0074,2.0771,0.1325,56.4223,2.1441,20.1691,4.9489,0.1497,3.275,20.1651,2.1135,9.5332,0.783,6.3969,2.0422,8.4633,5.3994,3.7431,0.9807,7.7038,19.0715,9.9896,118.8294,395.2009,32.0213,2.0525,4.843,23.0005,2.2633,13.5226,8.7788,30.6011,26.8794,46.1567,45.9771,462.6849,62.6576,55.4528,19.5762,22.3826,25.4114,21.5301,0.0
LVA_N,12.769,1.2683,0.0075,2.9583,0.0197,22.951,1.4415,19.0421,2.39,0.0396,1.9603,10.9669,2.1641,7.1163,0.5558,9.3173,4.0407,7.4618,2.8321,2.2679,8.7987,6.7376,10.2736,22.5211,88.2674,243.0269,54.2908,4.3749,71.0374,20.4161,3.7931,24.4171,5.0063,22.9171,17.4087,17.6936,78.9444,40.172,123.6872,72.9903,25.2847,38.4146,37.6148,9.9904,0.0
LVA_O,1.3958,0.1063,0.0004,0.1386,0.0008,1.0356,0.0581,1.1927,0.8582,0.0027,0.2088,0.6039,0.177,0.7159,0.1958,0.3704,0.0916,0.1551,0.2177,0.3351,0.1302,0.385,3.0429,0.7577,7.316,9.2389,36.7054,0.1191,1.0982,9.5234,0.1177,0.7275,0.1493,0.8663,1.0857,3.3987,2.2124,10.481,1.4671,59.6733,18.5356,3.1061,1.0958,3.0792,0.0
LVA_P,1.3591,0.0173,0.0007,0.1624,0.0007,1.4152,0.167,0.4897,0.3571,0.004,0.2354,1.0818,0.1642,0.4981,0.0573,1.0143,0.4327,0.6074,0.1616,0.5453,0.0284,0.7396,0.9735,0.5425,4.2875,13.2153,2.0818,0.0981,4.7502,1.8831,0.3267,0.5982,0.284,2.3415,4.0884,1.3116,1.0922,6.8781,3.4452,11.7369,34.5577,5.0917,0.892,2.0556,0.0
LVA_Q,0.5302,0.0516,0.0001,0.0272,0.0007,0.1989,0.0487,0.1207,0.0422,0.0007,0.107,0.1594,0.0286,0.1126,0.0036,0.0389,0.1521,0.0682,0.0239,0.0801,0.0188,0.1842,0.0872,0.2065,0.2075,0.6869,0.5047,0.0044,0.0381,0.1263,0.1009,0.1917,0.0281,0.0311,0.4677,0.148,0.5175,0.5743,0.1323,0.9238,0.2849,51.6554,0.1178,0.055,0.0
LVA_R,0.4634,0.0062,0.0001,0.0655,0.0007,0.9714,0.0568,0.4936,0.0918,0.0015,0.1352,0.6599,0.054,0.1023,0.0336,0.275,0.132,0.1621,0.0787,0.0636,0.1562,0.2216,0.2904,0.2027,1.6453,5.2209,0.7742,0.1859,0.8349,0.4694,0.2335,0.8617,2.4349,0.6208,1.3489,1.8438,0.8519,4.3235,2.8268,0.6655,0.8936,0.4661,17.2926,0.4488,0.0
LVA_S,0.4152,0.1264,0.0002,0.1127,0.0009,0.3993,0.1707,0.2284,0.1049,0.0008,0.0518,0.3596,0.0841,0.7426,0.0061,0.1957,3.4025,0.0667,0.0648,0.1209,0.2999,0.2064,0.1373,0.2486,0.7718,4.5326,0.8697,0.0602,0.3716,0.5526,0.0955,0.504,0.2147,0.377,0.4005,2.1819,2.8871,2.0265,0.9466,1.1959,0.8717,0.9736,0.8223,0.9199,0.0
LVA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
