V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T
JPN_F,633.7649,21.4214,3.879,31.8387,31.2971,219.2724,93.4378,47.0641,494.1283,104.7474,720.3163,233.7886,399.5967,337.0162,1294.08,546.079,437.7736,546.7803,593.1449,374.5813,173.5096,430.4839,4301.3338,1921.9659,640.9178,4747.448,1829.9369,34.5968,4.8802,1574.5342,30.1886,413.7381,1099.1358,1351.451,155.393,1280.755,9957.7357,942.1825,459.7974,4929.1244,1383.3712,2039.0368,524.5589,344.9196,0
JPN_G,14158.5496,1666.2908,25.336,303.0585,113.2709,46887.0739,6165.7042,2330.9011,12517.6126,4887.4665,20726.2439,6091.2407,13465.3613,3729.7843,25150.5677,7338.4787,14135.1091,14008.4721,24148.5891,31576.0295,4903.0415,27977.6559,6992.0838,1735.5637,48881.3385,43022.1372,6153.8713,3590.3864,2224.6865,2320.8865,417.0842,28884.6116,4803.4659,2990.2228,5215.351,5693.0794,1666.7334,10848.6572,7144.8482,9736.5834,4604.6993,28682.0762,3003.0069,5162.4773,0
JPN_H49,2348.946,197.7391,5.7221,70.2772,45.6658,6735.3688,456.2924,519.5251,2254.034,750.2639,2961.5158,608.0856,1794.0926,1137.5816,6356.2038,1583.4022,2361.6081,2195.004,3785.6446,7323.9951,824.4584,4166.6786,2223.0869,587.1767,10798.4399,8696.6139,994.0295,286.5341,240.8043,471.8681,483.9705,3450.0658,843.7089,747.1595,920.7438,2786.4934,308.7064,1695.2083,1486.2177,4806.9161,1763.455,3836.8192,415.3623,1144.1335,0
JPN_H50,151.2207,14.937,0.1789,3.1596,1.0403,624.5789,73.1275,34.6643,137.3472,886.2049,341.1658,105.596,228.5018,107.1376,1103.4701,129.3659,304.2508,287.568,438.2954,706.3321,144.5712,475.5601,754.7581,21.3358,946.5012,618.477,0.057,0.034,42.6815,0.0417,0.0536,325.2276,48.9447,33.5386,46.5006,40.8794,13.7294,128.3542,60.0232,130.8225,47.2428,502.4721,32.6827,61.6995,0
JPN_H51,75.9902,9.5077,1.8883,21.4432,28.2538,245.9887,39.5178,21.5517,108.3424,132.4981,211.0415,70.9266,105.3813,56.946,404.6544,106.2798,174.2032,157.3805,273.4717,374.6709,46.2756,216.1822,166.0713,87.6957,406.0559,2251.6064,78.833,20.7585,65.4691,43.1509,146.5774,180.6906,389.8939,153.8646,400.3822,199.2049,38.41,432.411,629.7243,737.2629,1195.8047,357.8562,69.1023,97.892,0
JPN_H52,963.3416,106.533,3.064,45.8044,13.7959,3232.1996,221.4212,210.5239,929.383,559.2743,1259.2244,293.7403,805.7013,505.0371,3266.6173,692.958,921.3057,989.2201,1679.4856,3207.19,344.0719,1998.0502,1360.3622,126.9164,4202.4855,5975.2477,2875.4375,573.7829,2749.8068,483.4448,65.9542,1839.9306,371.162,230.6706,472.6079,492.1534,180.0212,696.3076,619.5356,1827.7207,346.3466,1458.8039,295.57,379.3397,0
JPN_H53,14.2763,2.7559,1.2269,6.8423,1.1484,29.5646,8.8707,4.7354,21.6346,7.5946,85.0883,37.2988,24.654,7.9929,26.072,21.7292,121.9378,76.3433,90.2407,113.8958,26.9944,44.4083,314.9336,65.5606,210.2845,1107.1765,59.6193,13.5315,21.929,88.4741,185.0884,190.4278,168.4054,1162.7272,144.5834,2030.3908,135.9072,363.8078,206.181,1723.9825,245.8307,351.7356,42.5283,155.9301,0
JPN_I,143.8728,164.937,10.5928,128.1039,7.7841,1028.6515,132.9019,91.7317,734.4467,290.0113,696.729,349.5323,711.2769,265.2289,750.0286,668.3654,1123.4894,1026.1556,1592.8395,1384.4981,366.5357,1278.75,896.3313,644.0628,4052.3399,10355.3535,2031.6313,321.9399,192.2011,1243.0244,188.2319,3033.9183,1047.4909,531.2883,1294.5474,4357.7839,1249.0383,1847.3347,1395.169,3113.9302,1320.9439,4043.6731,587.0137,1557.0252,0
JPN_J58T60,79.9485,16.8153,0.3711,7.5398,2.0137,334.9946,60.8509,39.62,140.4447,35.3238,271.821,129.9419,121.1933,36.1014,127.7313,149.2721,477.3423,347.317,375.9943,400.6135,102.8008,289.8912,125.8195,109.8405,1135.8484,2836.4106,686.7827,14.179,79.7972,195.85,90.0092,3287.1852,15383.6932,8835.6992,1734.0175,1252.9857,319.066,19872.4692,5243.9565,2329.2336,901.2972,2458.2956,1231.6556,580.4234,0
JPN_J61,48.9089,38.1084,9.5213,25.6374,5.9609,265.8693,44.3123,26.4993,205.5052,46.3474,767.5639,314.8693,141.862,46.3933,191.3078,188.7786,758.2145,418.7879,481.1945,541.92,96.0192,333.0164,144.7165,174.6518,2439.942,16669.8789,911.0216,124.7602,108.4472,226.7611,59.8812,1318.6648,4250.3289,36306.4843,2460.5648,5086.3918,1408.1178,4798.9049,2702.1164,3880.5658,343.7982,1349.9207,243.073,786.4358,0
JPN_J62_63,307.1948,20.0752,2.5722,29.5498,4.4176,799.3447,82.1723,75.1435,389.4399,97.0397,1232.7247,518.654,464.843,217.7871,605.4259,414.0128,2308.6896,1548.5364,2045.9943,1389.026,251.7398,833.7434,2729.5303,988.9179,1623.7407,17216.5835,789.0346,47.3804,287.7338,1229.0746,42.2147,832.3731,1991.3949,7779.4553,4310.6031,14334.9502,896.759,4271.4407,2223.5118,7140.3906,1051.8128,3557.9271,949.2715,934.1833,0
JPN_K,1077.5234,181.0922,29.5881,152.9383,35.6356,1516.8711,306.7799,174.7916,701.0061,539.6791,978.5769,301.9326,389.3221,350.5553,1304.7465,920.248,888.0638,845.6899,1563.315,1490.9363,646.9984,3680.4845,4638.2901,528.5674,5104.014,15536.1469,4501.2645,506.8975,757.0302,791.958,2.4081,1708.3675,344.4273,1367.9026,490.2279,14215.9287,62929.0721,3128.5322,2722.5338,7172.1297,1508.2712,3436.5335,973.1929,661.1886,0
JPN_L,87.6406,15.314,16.7602,17.109,8.807,808.3034,116.1716,73.8716,358.538,85.5242,609.5834,240.0216,361.1708,161.5903,406.485,491.8033,854.4485,623.7957,913.601,742.2174,164.9483,607.2954,1557.927,165.6648,3078.9152,30718.9623,2034.7951,726.3488,225.351,4246.2659,205.281,2628.7895,1559.9271,4276.7017,6952.6622,6358.5741,24841.9264,3454.7764,2161.486,952.6774,565.43,11461.995,630.7626,1790.511,0
JPN_M,145.137,66.8752,20.0952,43.4404,96.6775,4635.2348,308.8913,213.3797,965.6557,211.0003,3036.8968,1642.7774,1389.3576,837.8291,882.9615,1102.1332,5744.1834,3302.7134,3948.7076,5452.5618,989.4332,3436.6243,4818.2956,1530.305,30233.5332,36300.3443,2708.9483,60.3444,1013.4299,3996.3467,42.0796,3218.9254,5937.5735,13993.8748,19122.5428,16714.8542,9730.0572,20588.3463,5461.6023,10283.6797,3007.2338,8797.4002,1519.4287,2090.9623,0
JPN_N,192.1817,63.1114,12.5708,142.0346,68.7418,1632.7823,240.9161,95.761,606.7779,125.4516,2040.66,990.4439,732.0801,585.2884,710.0142,734.7916,3380.0425,1551.7494,2259.8842,3106.9355,499.1037,2002.2398,1836.8736,1141.2403,12245.8642,27370.3453,2400.1271,43.8447,698.5061,3895.118,48.9445,1502.6773,4248.9659,6222.6791,12387.1895,11366.0266,5573.2718,8695.0974,9662.9623,14501.6585,2939.4789,12114.9647,974.637,1510.0911,0
JPN_O,111.9729,1.1547,0.0613,0.237,0.8153,417.8747,0.9894,1.401,3.7727,5.3456,4.4256,2.0714,4.4767,1.0362,8.536,4.6525,5.565,5.7257,7.069,10.689,1.5367,4.0232,59.7933,14.2021,65.1704,84.9608,22.1634,1.5666,3.5451,7.9961,0.95,13.319,104.3004,844.0782,18.5272,25.4256,81.1415,92.0723,39.0761,189.7871,0.332,35.1044,9.5246,10.7921,0
JPN_P,2.4583,0.0061,0.004,4.3455,0.4476,39.536,0.4988,1.234,4.5379,0.9774,18.0551,11.4932,6.4889,8.0404,7.7105,20.057,96.991,78.7097,54.2192,36.316,7.1547,10.6521,68.5682,5.1941,51.2666,111.0471,286.6846,0.4944,1.439,19.1538,1.578,44.1401,135.8863,604.724,357.1313,42.4924,0.3103,90.412,37.8728,32.1197,0.2548,34.0757,7.3133,16.1688,0
JPN_Q,12.2696,14.1322,0.9043,10.8904,0.4833,88.1028,11.2854,7.7949,63.3247,24.8113,57.1484,33.8611,61.0455,22.6896,63.6999,57.0357,95.8436,87.6154,136.6567,118.9765,31.4681,109.4324,80.6105,65.1548,347.6641,1087.2266,183.395,29.518,16.4642,458.633,16.5699,169.8548,111.6948,208.2522,114.5867,415.6798,110.3244,202.457,74.1073,317.6403,80.0576,7367.3078,54.765,112.1595,0
JPN_R,12.3416,12.4901,0.824,10.0796,0.1562,80.8666,10.6046,7.2221,57.5314,22.0136,53.947,26.1668,54.4672,20.3634,60.7315,51.7616,90.7609,80.1902,133.3871,105.1067,27.9314,174.1051,71.3799,51.3743,306.9672,803.4593,154.208,24.6198,14.6155,96.339,14.4567,280.6096,11162.0399,71.597,114.5283,329.5872,94.4197,199.0963,153.5611,238.6058,100.3769,218.253,1463.8941,165.3414,0
JPN_S,27.4877,51.4167,0.8126,7.8776,10.4378,154.6643,24.0909,13.7146,58.6555,17.922,117.6179,48.171,77.7761,6.4904,102.0558,77.2756,279.4598,201.4906,184.3805,296.6288,35.0538,107.0478,115.0011,126.4826,676.5975,2524.967,876.3919,19.5334,56.8327,146.097,16.4476,1678.5694,808.1055,395.3773,942.6391,449.5791,738.2361,2973.6638,1509.9937,673.8754,420.1773,5924.6132,681.2029,5244.6905,0
JPN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
