V1,IDN_A01_02,IDN_A03,IDN_B05_06,IDN_B07_08,IDN_B09,IDN_C10T12,IDN_C13T15,IDN_C16,IDN_C17_18,IDN_C19,IDN_C20,IDN_C21,IDN_C22,IDN_C23,IDN_C24,IDN_C25,IDN_C26,IDN_C27,IDN_C28,IDN_C29,IDN_C30,IDN_C31T33,IDN_D,IDN_E,IDN_F,IDN_G,IDN_H49,IDN_H50,IDN_H51,IDN_H52,IDN_H53,IDN_I,IDN_J58T60,IDN_J61,IDN_J62_63,IDN_K,IDN_L,IDN_M,IDN_N,IDN_O,IDN_P,IDN_Q,IDN_R,IDN_S,IDN_T
IDN_C23,0.36,0.2295,20.7901,1.2526,0.2748,16.5532,6.9976,19.3261,22.2518,144.737,34.8906,4.9085,16.9115,1263.7242,7.5086,109.5301,1466.1813,369.9611,197.1844,92.6144,311.1787,211.4029,0.0617,6.6532,14115.2719,129.7551,138.5506,30.0148,101.5763,24.5874,0.0003,5.8454,13.0965,0.0535,0.2772,0.753,194.946,25.4856,79.3439,13.2512,46.6998,18.8166,0.2121,74.0093,0.0
IDN_C24,0.1235,0.3693,0.0166,10.6822,0.0,0.2405,13.5917,0.8403,3.5591,7.3701,0.6848,0.0069,0.9133,8.7505,152.6964,1416.9704,122.2299,480.0926,687.1544,297.6587,571.2158,1240.1081,0.021,8.2074,3239.3947,61.0588,0.012,0.0,0.0,0.0003,0.6784,0.0,0.8006,0.8131,0.0,4.7054,0.0072,0.0,0.0037,0.366,0.0122,0.0356,0.0699,10.6997,0.0
IDN_C25,37.1979,1.0716,3.6281,164.6974,1.6447,10.286,11.3319,14.4609,4.658,10.0785,16.0821,0.0918,31.2934,12.8179,5.025,264.2672,120.3138,190.89,340.2245,117.7259,281.3457,219.648,23.4114,339.0011,3690.0551,923.4891,144.923,48.866,177.6084,43.7607,12.075,17.155,7.2926,3.9627,0.0471,107.1638,23.5729,2.7996,184.4984,123.972,15.0254,8.156,0.9693,102.3943,0.0
IDN_C26,0.0063,0.0,87.1288,16.4308,15.4033,2.481,3.098,0.6899,3.1761,0.4073,10.3768,1.4102,3.2133,42.788,9.2952,124.1635,2294.2373,223.1721,136.6887,91.8476,140.9333,104.9723,129.1407,4.6993,662.5695,472.8227,51.2761,19.8975,45.9617,53.5343,0.5528,0.4138,37.2393,32.9426,14.7377,1.8366,0.284,9.8702,777.6533,118.681,172.5675,37.9799,1.0862,1354.9599,0.0
IDN_C27,3.9286,30.2869,511.6912,96.0741,42.4812,33.316,52.9983,11.4533,127.0146,17.1179,113.566,10.5287,28.7383,53.8911,33.1382,131.4171,1265.0855,3109.711,1087.7611,880.9142,1532.0804,91.2182,196.6172,48.6918,4424.3962,1267.5401,689.8187,127.7988,303.839,177.752,24.7921,23.8885,109.6115,60.6606,73.4628,2.0495,51.0639,3.0873,259.315,431.8538,120.832,28.7061,5.7711,1219.166,0.0
IDN_C28,79.6746,7.2371,359.6385,327.4369,95.0667,63.3781,101.6589,53.0561,196.6819,45.1513,52.2445,7.5598,51.8288,36.8965,26.9077,209.543,60.8918,103.1423,2148.6756,89.4617,428.9137,250.6297,3.8424,98.4495,1642.8597,260.5935,35.3168,23.9473,125.3025,44.6692,7.2469,2.6017,64.2685,1.2633,0.3589,2.4492,0.0676,18.2015,748.5099,5.0019,17.2528,4.7292,1.509,70.205,0.0
IDN_C29,86.42,17.0939,184.8829,112.0631,27.1594,31.5005,16.38,22.6306,55.2558,7.8129,31.7338,13.7695,11.8985,62.1714,10.7625,40.6002,2.1643,6.9457,67.1821,3252.9457,85.0908,23.7467,19.4239,13.5714,827.8655,1701.067,1043.5111,25.5959,165.4244,57.3862,15.3867,63.1854,5.306,3.4381,1.1004,230.1381,303.427,9.1865,647.0005,100.4302,17.6909,13.4508,14.2337,94.3252,0.0
IDN_C30,10.2224,8.8407,97.747,22.8945,1.407,15.4977,10.2232,13.2669,25.803,7.481,17.0217,5.9423,10.3243,32.6035,5.4431,14.838,2.2239,4.1619,34.2687,2.1843,1828.6202,17.4222,11.0998,8.2572,29.7577,353.0915,157.9221,81.8651,605.6987,41.5096,17.5801,40.7115,2.3953,1.8895,0.5387,26.0676,60.8772,1.1471,139.2573,0.0466,5.8052,1.6853,0.7195,3.5649,0.0
IDN_C31T33,15.146,28.4211,25.5952,21.7866,1.8532,9.3381,5.8619,31.3174,19.5085,1.4747,21.7232,14.1981,9.2617,4.8049,1.6825,14.3319,39.4388,102.3916,2.9363,13.042,37.8818,620.7448,12.9976,7.1516,72.4596,190.3775,128.0788,133.886,571.7098,110.8368,5.7943,1.9072,28.6817,2.2439,20.3206,119.1803,81.5864,5.419,590.406,170.7028,172.8804,248.3379,56.4285,17.7933,0.0
IDN_D,26.335,61.2916,392.9033,90.2567,78.3182,323.4152,499.2082,161.6779,251.0056,241.6784,854.8925,59.7734,361.4004,1413.1836,312.7339,472.1092,112.3118,430.627,282.6368,48.1889,149.4092,384.4539,22305.9832,243.1571,1329.8185,3283.4592,571.6587,94.8997,732.3027,804.3467,298.0929,284.4321,686.9439,665.1517,1136.2341,484.1628,778.369,13.0332,701.7481,925.1832,406.1307,364.5945,89.1888,394.0023,0.0
IDN_E,2.9769,0.6499,22.1449,8.4274,3.2428,30.4565,7.9075,2.3335,16.1924,5.4074,33.0399,11.2327,9.9208,17.1985,27.3443,15.5152,7.866,18.4873,26.2669,2.1451,23.7245,19.7598,3.2244,256.0298,14.8007,171.7675,24.5643,12.9032,22.049,41.666,0.9253,8.3217,5.4127,2.8828,0.2199,12.844,9.6751,0.3645,145.7891,32.7573,16.6448,51.0369,14.0157,2.9438,0.0
