V1,MEX_A01_02,MEX_A03,MEX_B05_06,MEX_B07_08,MEX_B09,MEX_C10T12,MEX_C13T15,MEX_C16,MEX_C17_18,MEX_C19,MEX_C20,MEX_C21,MEX_C22,MEX_C23,MEX_C24,MEX_C25,MEX_C26,MEX_C27,MEX_C28,MEX_C29,MEX_C30,MEX_C31T33,MEX_D,MEX_E,MEX_F,MEX_G,MEX_H49,MEX_H50,MEX_H51,MEX_H52,MEX_H53,MEX_I,MEX_J58T60,MEX_J61,MEX_J62_63,MEX_K,MEX_L,MEX_M,MEX_N,MEX_O,MEX_P,MEX_Q,MEX_R,MEX_S,MEX_T
MEX_C20,1278.5131,3.6165,669.1246,230.587,42.8064,1317.4881,290.5151,60.5277,438.8511,551.4168,3459.0555,884.4059,2197.2172,344.4554,240.3417,188.0196,283.9697,365.6736,105.1676,1111.5979,14.0038,344.9061,412.7502,59.0042,239.1106,262.883,466.1406,4.0348,2.5171,38.7334,6.4792,179.361,42.8315,9.0063,3.6933,12.1604,177.5211,171.6495,247.7656,201.39,69.503,454.9016,34.2087,64.4051,0.0
MEX_C21,111.2936,0.1872,6.3563,2.519,1.6078,141.6049,3.9071,2.3902,6.26,4.5813,35.2448,1522.4778,19.2182,4.5903,2.2719,4.7322,12.7583,3.6618,7.2293,11.8263,0.1763,79.4085,3.0607,0.5455,4.9645,16.5162,4.9916,0.1297,0.6237,4.7046,0.2983,3.12,0.9359,0.9844,0.2486,13.3987,12.5681,56.553,16.6476,166.9737,9.3623,2308.7711,2.6246,6.469,0.0
MEX_C22,85.3788,0.2093,6.8048,3.9076,12.0014,753.7589,99.2618,4.9231,147.7248,9.9325,138.5951,31.9767,269.5077,44.7432,27.9741,115.9502,578.4043,272.8466,147.8411,3444.2781,47.0147,374.4153,8.4416,28.3032,661.23,1150.9046,227.5358,4.7514,44.3366,67.3352,16.3482,126.619,1.6356,2.1332,0.3597,10.0713,14.1591,7.3939,31.61,68.3306,6.6864,149.6186,8.8809,24.9904,0.0
MEX_C23,49.7674,6.9062,12.2319,32.3219,149.2324,929.8336,6.9063,1.7286,9.7691,13.8322,108.6652,8.767,90.9247,1661.6683,79.6672,118.7334,128.9509,158.228,47.8714,1742.9702,7.8417,85.0358,26.0441,17.9953,5888.1052,214.5067,42.6375,0.5654,3.247,12.3202,1.1567,124.4137,1.1428,1.9041,0.8195,7.7469,24.0536,16.1875,18.2949,44.9432,4.5183,46.2054,1.3052,11.6912,0.0
MEX_C24,74.5088,0.4253,23.4424,18.4717,59.6168,43.7661,7.9706,1.8179,20.1777,10.3779,21.6109,4.9541,66.365,66.2618,3655.383,3164.2905,458.6344,1982.1017,1554.9944,5586.6409,454.5606,415.1624,52.5575,21.5704,1981.5098,182.0208,15.3873,1.7059,16.865,34.0166,4.7718,21.1398,11.3692,7.9563,10.2043,18.6008,16.8424,18.6691,34.5705,42.0526,5.3668,11.3932,2.5171,11.8023,0.0
MEX_C25,117.5839,0.1325,124.2328,86.2423,130.5162,366.5084,19.6169,5.2183,10.7069,56.0996,48.8665,2.5332,99.9155,43.827,720.0289,1102.9307,509.5326,547.3867,532.9425,3927.4967,87.6571,183.4238,21.9795,65.9938,2053.2014,233.9863,28.286,0.7125,3.4715,58.8569,1.4314,32.3488,32.4325,26.4658,1.4572,9.353,30.654,10.2904,73.0913,44.4957,36.7664,32.6466,4.6557,31.8665,0.0
MEX_C26,15.4574,2.0217,20.2732,67.914,35.1361,85.4764,32.8657,10.2724,76.0067,23.8922,65.6352,28.2622,69.5285,41.2393,121.3826,166.1085,386.053,1066.7524,374.1439,3948.7432,58.8877,690.7222,75.5884,43.7695,464.991,509.1301,38.0279,1.6228,14.7389,513.0654,6.5779,78.0154,124.7057,1771.2954,154.6125,33.0916,157.1557,156.5301,182.881,230.3524,109.2033,116.3227,12.0847,19.0601,0.0
MEX_C27,30.8444,1.4322,23.4247,50.5439,18.3833,36.5759,8.8423,9.9065,7.2948,8.2611,10.4641,2.636,40.5863,16.5426,116.5225,131.3305,1086.5315,1063.321,297.5821,1758.8882,43.226,115.2896,169.432,7.0971,571.101,170.9587,75.6941,1.5361,5.8531,18.5422,2.9381,10.4754,16.5845,83.7849,2.5858,2.7797,62.7908,9.0685,16.4927,16.2903,8.1382,12.1814,1.6922,5.8413,0.0
MEX_C28,38.6347,1.2207,60.9913,44.6838,51.5693,211.1301,34.9869,3.368,24.46,19.6508,19.9926,5.6841,32.199,26.3365,94.6032,96.9191,490.7883,191.1901,773.0983,1264.6029,44.7761,115.333,7.712,9.1457,372.4294,219.8183,249.0119,12.9666,6.4082,87.8327,1.6552,8.3326,4.9265,7.6351,3.8657,10.0722,8.6757,6.5528,23.0005,24.903,4.668,12.7077,2.2619,15.1006,0.0
MEX_C29,39.8962,1.0048,20.3868,56.0662,28.7169,165.1196,58.3068,6.0373,24.4053,7.5066,36.1895,15.2286,46.9464,44.6441,86.008,109.9498,301.781,296.1255,243.3857,6477.7341,99.1768,137.6804,39.9707,19.5559,502.2897,474.8697,648.407,2.8063,17.5921,43.8923,8.8619,34.7355,24.7262,93.6218,7.3794,4.8357,83.7121,39.8386,68.5608,49.2409,17.4081,29.4529,5.0612,31.1627,0.0
MEX_C30,1.9829,28.9325,0.9085,2.2293,1.5803,7.1495,0.6868,0.1201,1.6944,0.335,1.3134,0.2688,2.5463,0.9902,86.445,25.4655,17.254,34.1518,11.6451,195.9426,1050.6365,73.6341,0.8997,0.2683,21.6534,19.0972,81.3856,6.6066,49.2705,1.1938,11.4859,2.9724,1.0764,1.0022,0.1604,0.3854,0.9618,13.8113,1.2767,84.0143,0.3481,0.6306,0.1789,1.6882,0.0
MEX_C31T33,37.5165,2.9201,38.1437,86.6727,82.3507,213.0375,98.0112,12.7469,65.1789,8.9807,41.7764,19.7446,57.9783,47.3173,53.2692,89.3661,524.6281,146.0653,114.9892,595.3749,42.7708,337.2604,22.6696,14.4459,270.4124,183.0945,60.4513,2.6147,5.4463,24.9602,3.8841,73.9765,40.5286,52.9608,6.666,88.0911,65.7975,128.2137,92.6923,120.8751,69.539,414.4784,30.8826,18.9548,0.0
MEX_D,271.285,9.1282,119.0626,830.6272,86.063,2392.0835,459.4976,104.6054,437.1954,21.0121,417.903,132.0939,871.151,1402.2361,1279.2594,873.3975,743.673,570.0217,320.9904,1545.9135,96.9908,391.1649,75.7662,1096.2012,107.1741,2814.1425,176.8923,4.4406,24.946,181.4219,20.2619,332.2695,111.224,83.6876,19.2623,242.6494,453.5546,424.0448,504.4554,1419.969,687.3517,631.6243,57.9991,135.4871,0.0
MEX_E,571.2914,1.9689,61.5187,66.7278,19.1571,287.202,23.6781,3.1806,36.197,0.5971,74.3898,20.9905,38.3122,20.5133,41.4245,72.8049,92.1776,81.0584,16.0252,127.4354,3.2079,34.8433,14.2776,322.7737,221.9059,415.3323,52.19,2.547,1.952,97.6073,3.5774,143.2941,3.8052,1.2747,1.1246,64.1993,217.25,66.9626,93.218,226.6123,232.1035,229.194,12.8738,27.9325,0.0
MEX_F,6.0139,2.3414,28.6109,161.4121,209.681,210.6443,16.3452,6.8194,42.7904,2.3964,37.1601,28.2408,28.6535,25.1052,36.8379,54.1101,26.2408,28.8885,18.448,153.0022,8.8243,28.7531,98.9076,161.1565,5991.097,377.7619,215.1133,17.0093,34.3488,88.9597,29.858,156.0102,22.2915,11.9176,10.031,153.8702,1068.5237,117.6235,72.0779,420.7079,205.5212,324.7179,24.7668,44.1004,0.0
MEX_G,4462.6828,196.3654,981.6666,687.0331,554.8178,16891.0495,1406.3549,413.8835,2088.9341,3333.2301,4141.9776,1757.9461,2352.2335,1449.7054,2806.0461,2167.9679,6123.1488,2142.6111,1994.0354,11333.4554,1164.0926,1699.215,1671.2758,246.0179,5966.4622,3576.6179,4764.8223,82.0388,677.2664,362.3533,156.9878,1389.1627,134.8409,342.8622,39.7644,275.7774,740.0166,480.6999,795.974,1502.4423,342.3563,2209.0499,75.742,237.2176,0.0
MEX_H49,426.5085,23.8441,114.5366,89.7975,66.4081,1710.9464,98.7677,49.6686,199.9189,504.8635,753.6012,142.8646,230.1141,270.7278,622.7268,333.356,487.4497,282.7023,215.7957,2284.0577,127.7064,171.7064,210.1612,26.7382,1158.1343,1701.2076,986.4292,7.3197,110.575,74.2436,25.1922,127.1232,33.0262,34.6803,11.6249,41.1823,75.6695,154.9234,427.9006,375.906,134.3696,265.6328,16.8499,42.233,0.0
MEX_H50,3.7552,0.0463,1.2448,0.9098,0.6733,11.9523,1.7958,0.3167,2.4162,4.6564,5.3663,1.7589,3.0101,1.6555,4.408,3.0031,18.6087,3.7369,3.0379,22.2049,1.2622,2.4879,1.982,0.2802,7.1513,2.4651,5.7149,0.0446,0.6665,0.6447,0.1871,1.0526,0.1928,0.9043,0.0923,0.1805,0.6054,0.5887,0.9854,1.3215,0.3796,1.9289,0.0923,0.304,0.0
MEX_H51,30.7638,2.0797,38.0457,10.193,6.4123,103.5216,16.488,2.7324,21.5147,39.9539,47.3746,22.7343,30.1734,15.6032,38.0861,27.7315,180.9933,33.8175,29.088,198.8015,13.9957,21.9814,19.135,2.4271,71.5213,50.6867,57.2252,0.7932,8.5105,6.3197,1.8592,8.9698,8.4027,8.236,1.1559,27.0305,10.4051,24.9004,32.2015,67.5777,7.8701,17.5174,1.1171,2.7174,0.0
MEX_H52,63.5207,7.8529,19.3353,12.0952,8.9534,509.6972,26.8412,7.9532,55.5629,60.6748,103.944,144.6374,67.3402,84.9738,94.5725,71.3561,86.831,82.752,80.051,438.7665,23.1848,106.0925,31.6134,4.2345,117.4593,1134.1253,885.1263,372.7995,933.2148,208.9257,52.7964,29.9803,13.179,3.9585,11.5192,115.3866,9.9067,36.6297,64.4293,75.0017,34.9097,23.5604,1.6735,4.6819,0.0
MEX_H53,0.3548,0.086,6.0812,16.55,0.1487,77.9222,8.7404,3.8175,7.2955,2.2557,23.4863,23.2523,8.517,13.9031,24.0106,29.045,16.4275,12.4712,48.8889,136.7153,5.6297,9.7312,0.501,2.7614,21.1797,167.7213,29.4404,0.1933,0.9339,23.6626,63.0198,19.4718,12.0156,269.3295,1.629,324.0791,316.2894,100.665,73.7418,92.1543,51.6694,34.225,4.6298,12.7845,0.0
MEX_I,3.1616,4.2652,43.9424,13.1788,9.0885,56.9512,8.8393,19.8366,13.2075,3.6568,32.8134,38.9779,29.2631,9.9614,45.1425,67.351,92.8375,25.5181,72.9338,144.9473,6.6481,32.7348,1.2021,13.654,173.9686,254.7629,385.1104,49.7143,87.0337,172.7262,44.8403,17.611,47.5826,119.4773,19.5316,98.6003,52.6014,151.6267,228.6084,601.1429,91.1281,132.085,13.4786,36.7384,0.0
MEX_J58T60,11.1693,0.0159,12.2862,0.5294,1.3057,173.8313,3.5138,0.2979,9.9296,0.1111,17.1213,61.1293,1.3769,4.1521,16.2583,10.7686,8.7325,4.8732,50.01,70.7404,0.105,6.9054,0.7357,3.9315,64.7975,279.703,13.9509,0.6586,6.8633,15.301,4.1411,25.4347,186.4457,4.8836,2.1632,53.3109,159.5634,79.6313,38.5286,503.6315,71.3624,56.7851,5.9488,3.7053,0.0
MEX_J61,14.664,2.9306,37.0583,24.4539,25.9855,335.8857,48.9218,12.9197,39.0858,10.4793,54.5503,42.742,37.698,46.8923,134.7495,117.7811,536.214,91.8472,124.5542,563.5407,41.7742,102.6572,25.2118,14.029,950.6287,756.2666,241.6478,11.084,117.7896,92.7038,18.5265,76.1364,62.0226,603.3987,29.2244,533.8799,507.9439,365.4533,335.836,1045.7491,208.9103,262.0616,16.4667,83.5979,0.0
MEX_J62_63,0.0642,0.0115,23.0173,15.4859,0.1187,28.7363,2.0178,0.7888,2.9643,0.3008,6.1972,0.2873,1.8585,2.9075,16.6696,6.3331,17.1028,5.2019,23.5914,63.3674,1.2714,4.1717,0.63,6.7917,19.3841,58.3551,25.1573,0.1606,3.3818,5.4332,1.1463,11.4664,9.3074,60.2638,13.3218,275.661,37.4405,18.4937,5.5847,167.65,37.1869,60.042,3.537,5.2581,0.0
MEX_K,347.3363,20.3783,61.7648,161.1683,63.3337,694.8066,149.087,10.1622,99.1531,85.3554,266.4511,107.6062,127.1218,91.5911,204.929,274.3867,674.6928,137.8282,209.2442,894.8963,75.9615,96.8089,145.1585,60.2978,1326.1637,2493.1583,351.2141,17.7111,56.7043,77.8655,11.2142,230.3885,37.6528,493.2139,67.5717,4697.5205,3053.7016,1341.1124,371.2031,1565.2288,143.0579,263.2358,69.1123,23.2608,0.0
MEX_L,2.5571,1.9557,126.3813,18.7734,22.6504,646.3923,121.0104,11.9113,99.6299,4.4525,79.7211,81.9045,121.5233,98.0758,104.2543,162.6439,281.1511,128.9134,128.899,444.8626,23.2066,487.5417,10.0849,10.636,387.2976,2900.0478,387.6885,56.9942,65.3239,530.0259,43.4696,212.0147,366.3309,903.5902,148.6718,1469.4305,2817.6609,866.6926,642.6414,1270.5245,276.008,577.7061,98.9734,475.1145,0.0
MEX_M,24.7151,17.5413,1493.9456,297.9381,284.7197,1341.5218,80.6618,21.8922,126.9355,463.4628,584.8055,143.8816,127.9717,166.129,391.9337,188.2555,536.9265,220.3345,372.844,1227.6495,28.9733,135.7065,127.8016,47.068,1150.1538,5311.9942,461.3855,26.7662,77.0933,229.6788,60.4173,450.8478,370.5534,573.4259,81.5321,5345.2872,1281.4196,714.8274,1559.4583,3350.5439,392.0044,758.9264,93.2341,124.0338,0.0
MEX_N,52.2946,59.8788,279.8756,807.7162,353.386,3116.5269,450.411,40.3225,459.3471,122.3535,882.0475,1150.0707,1074.591,901.9757,579.9211,848.2508,1292.7521,893.1085,502.3469,4249.1483,262.9645,318.7663,164.4742,101.2936,1253.2032,8617.9817,1571.0825,403.026,514.8733,1060.8984,305.1817,1258.7997,876.474,646.4411,444.9466,6102.9998,541.5775,1511.0253,1506.7134,1386.7719,606.6712,1172.0177,427.3326,173.547,0.0
MEX_O,0.0,0.0049,0.0002,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0244,0.0167,0.0,3.6049,60.9902,0.0029,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,17.9404,0.0056,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0
MEX_P,0.0961,0.008,0.2939,0.1914,0.2338,2.949,0.1356,0.0125,0.0816,0.2063,0.2328,0.1187,2.6072,0.3905,0.3649,0.2038,0.2068,5.7869,3.4556,7.5948,0.4463,0.1651,4.5155,0.0804,2.8723,4.8171,24.1779,0.0399,0.4569,0.1432,0.1543,0.2748,0.1619,0.1752,0.0529,12.6359,0.8224,4.8575,0.6153,146.377,53.3278,8.7993,0.5278,0.4506,0.0
MEX_Q,0.0153,0.0108,0.5939,0.476,0.5474,0.7225,0.0502,0.047,0.1026,0.0528,0.1865,0.1543,0.1066,0.066,0.2179,0.1674,0.2602,0.0887,0.2108,0.7439,0.0289,6.2888,0.2184,0.2645,9.6805,1.0929,0.8351,0.1095,0.1345,0.2142,0.0614,0.3673,0.0946,0.0355,0.0371,0.5991,1.739,0.3874,0.5593,1.3636,0.4648,223.6134,0.0701,0.1736,0.0
MEX_R,0.4496,0.0239,0.6459,1.1489,5.6993,4.303,0.3778,0.0584,0.5944,0.0433,1.1244,0.5764,0.6137,0.6057,0.4347,0.867,1.3604,0.6533,1.5344,4.2735,0.1352,0.5441,0.1071,0.1871,7.6939,12.7334,1.885,0.383,2.7713,0.7668,0.9309,36.3436,30.5103,1.0355,0.5765,2.7746,1.1496,2.086,1.5415,31.8369,6.7129,2.3763,19.4298,9.261,0.0
MEX_S,0.2095,0.0037,0.3865,0.8302,1.4087,21.2419,1.3286,0.6694,6.2067,0.1467,18.0585,1.0062,6.2435,7.7683,1.5495,9.9347,4.5296,10.265,3.1971,3.462,0.3734,1.8437,5.334,0.4161,11.586,15.2655,8.2552,0.0204,2.1242,5.1723,1.1675,11.5721,2.7654,7.2835,5.0867,33.8314,19.0109,13.4961,70.8451,179.5219,20.3921,139.0662,4.4331,11.8431,0.0
MEX_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
