V1,GBR_A01_02,GBR_A03,GBR_B05_06,GBR_B07_08,GBR_B09,GBR_C10T12,GBR_C13T15,GBR_C16,GBR_C17_18,GBR_C19,GBR_C20,GBR_C21,GBR_C22,GBR_C23,GBR_C24,GBR_C25,GBR_C26,GBR_C27,GBR_C28,GBR_C29,GBR_C30,GBR_C31T33,GBR_D,GBR_E,GBR_F,GBR_G,GBR_H49,GBR_H50,GBR_H51,GBR_H52,GBR_H53,GBR_I,GBR_J58T60,GBR_J61,GBR_J62_63,GBR_K,GBR_L,GBR_M,GBR_N,GBR_O,GBR_P,GBR_Q,GBR_R,GBR_S,GBR_T
GBR_C20,1202.4807,1.7637,19.0023,52.4421,18.954,310.0209,111.8875,132.4935,390.6166,82.9954,4914.2988,706.5889,1489.8656,214.4908,44.2291,291.3581,151.4283,169.2485,223.5019,675.0041,130.6491,158.2654,168.8094,113.1587,725.5247,343.1928,40.8095,3.2017,5.6848,21.2963,4.2871,197.2832,142.0167,9.1673,36.0452,79.9663,106.4812,863.9709,280.7273,195.4559,158.9581,860.3542,33.0272,132.7566,0.0
GBR_C21,352.9383,1.2795,5.7973,3.6874,2.5402,145.8337,8.1276,7.4046,20.8057,6.4148,185.1506,3239.6567,53.7239,12.4312,8.5881,22.5784,19.3737,11.8191,105.6458,37.1552,16.1074,88.6617,39.3801,10.9748,98.9129,106.3644,22.0264,2.771,6.4238,13.9465,2.8683,38.8696,28.2931,14.158,45.7842,69.1294,37.3161,1167.5538,58.8643,180.4042,51.1935,9113.601,14.2704,23.6589,0.0
GBR_C22,538.8242,8.9947,17.2021,16.4482,2.8634,1452.9874,113.2667,48.4775,723.1465,6.3489,498.8233,258.5843,2083.2753,62.9957,25.7836,305.1717,238.8939,222.6292,333.6987,1246.4547,229.7766,405.3094,37.186,131.0082,2010.2675,1787.7536,250.0166,2.6778,4.8511,193.4378,5.6856,34.8021,62.2032,20.9439,75.0221,195.5529,50.5329,155.5481,524.975,193.7658,134.3276,572.9129,106.032,64.6113,0.0
GBR_C23,26.9534,0.5702,6.0647,304.6366,1.842,501.8221,8.0227,40.2448,22.1151,2.6087,159.1165,36.9385,264.2815,948.7719,82.9597,353.3489,43.7634,165.2442,29.6603,463.2184,71.0164,28.1221,15.0245,67.5755,8315.7633,474.4269,70.177,1.2139,3.6293,13.3316,1.5707,48.7752,10.5804,4.7849,10.3691,24.9325,302.252,66.1055,46.935,172.1148,174.505,126.2981,74.5469,87.2283,0.0
GBR_C24,10.0479,0.3291,104.4703,4.4592,19.2523,47.3468,2.8107,7.1309,28.7228,2.2671,29.2161,13.4323,75.5101,47.997,1690.0666,1776.3062,144.6767,454.7894,1281.7276,1569.6804,1210.163,599.4757,36.7944,235.9113,1314.2678,225.5159,17.2187,1.4352,4.5917,7.5908,1.3869,10.9094,8.8283,3.5233,6.3502,18.4331,35.4765,184.4821,41.9876,48.7124,15.833,42.7822,10.7472,5.0909,0.0
GBR_C25,310.1541,7.4191,288.4402,42.0675,69.6404,421.0936,29.7568,103.4932,178.5203,19.8981,237.974,176.1499,454.6273,291.5918,733.4846,3207.8661,474.331,380.0995,2438.3595,2337.4999,1174.0472,1239.5586,585.6052,634.9026,5791.0774,940.1932,284.7334,33.4564,222.4007,82.3834,9.1011,90.5846,47.4056,90.6086,50.54,115.8176,206.1344,450.315,474.0879,1846.2588,105.5145,405.5682,84.4996,64.4511,0.0
GBR_C26,48.9786,6.563,133.9487,41.9489,48.3758,196.8355,17.5157,17.2652,79.3751,19.8922,105.7777,53.2716,68.9855,93.6725,42.0513,162.1441,1036.7081,135.8125,205.5503,276.8088,254.8252,286.6979,377.1091,93.5716,520.8568,652.2297,338.9517,42.1561,270.3761,159.8453,24.9282,123.3166,383.9696,343.483,263.7421,102.3168,50.645,761.0679,266.148,1748.1144,286.8851,2919.5699,116.7031,84.232,0.0
GBR_C27,12.4517,1.3817,34.1761,10.5876,11.5737,60.9233,4.4703,5.8164,18.0591,4.1243,22.8584,13.7591,30.0356,26.5569,18.8528,125.6347,237.6343,385.3938,168.0254,255.9129,643.8259,177.2466,191.3488,38.7319,2073.4413,445.9585,74.7458,7.282,45.7941,22.6728,3.4604,30.6526,50.7457,53.5182,49.2618,61.3904,34.2885,235.3003,147.0853,266.8893,51.6582,174.7553,34.6919,25.0469,0.0
GBR_C28,79.1103,10.4884,772.0421,85.2383,171.0208,629.4884,41.2966,49.6556,310.3003,48.6779,198.5178,138.8552,204.5909,192.3872,154.7409,583.5654,158.3996,436.5563,1548.5772,1069.8051,456.8375,701.3975,775.6129,276.2251,1463.6035,1205.1864,532.54,61.6325,418.0228,169.4192,18.7896,178.6411,75.641,186.9785,144.8734,132.7193,54.2448,673.6802,587.8034,308.8328,88.8265,578.1663,162.3281,65.0774,0.0
GBR_C29,60.001,0.4609,38.3497,6.3412,20.3883,47.7466,2.4849,5.2799,20.5444,3.4775,19.9496,12.3727,44.6271,31.5736,13.8788,70.4721,27.131,31.2411,308.779,6050.789,66.8254,124.5955,37.8356,61.0202,388.3792,4590.3635,778.3238,5.2558,8.4382,301.6633,26.9852,14.4313,20.0957,23.4602,95.8127,193.3947,52.4294,1011.6622,276.0107,270.2223,41.9532,329.8862,44.7787,15.3291,0.0
GBR_C30,20.7204,3.4126,206.9671,16.1457,28.2031,93.167,5.9208,9.5453,24.5779,8.6128,44.2004,21.222,41.5865,37.4904,47.3123,112.2397,362.8715,28.7802,96.1676,111.8675,2541.1643,1508.5279,111.413,36.8697,241.81,213.1883,325.5352,249.5156,187.8286,38.659,4.3442,43.2829,19.2244,39.098,27.0159,70.0537,91.4255,631.408,75.4408,2995.1092,28.2156,420.0297,36.6179,26.2487,0.0
GBR_C31T33,157.4115,30.3719,511.7898,184.6298,210.7578,813.6601,56.7297,98.4985,201.5935,86.3729,331.2702,258.8534,263.9646,384.2246,172.4988,545.7506,141.8195,114.0997,281.8793,331.5149,868.2797,1378.9257,1220.0571,313.766,916.8326,1841.9031,1453.6121,215.5644,1222.3122,402.8897,59.2818,464.3294,219.5447,462.463,228.1563,294.5131,83.4555,813.0294,684.6339,623.7203,762.5419,2701.7045,454.7993,165.7431,0.0
GBR_D,315.4481,33.9056,201.0357,125.618,217.1961,2005.0349,138.906,216.2348,794.5319,387.2524,1526.884,303.466,823.1436,684.2233,463.2804,389.6795,263.2515,133.0244,373.0623,546.427,339.0831,564.3532,73011.3338,959.2188,1670.2071,7579.2295,761.3246,31.6672,17.2676,821.8764,15.0565,2437.0497,257.2033,494.225,636.4779,1596.7752,2538.7806,1343.0171,916.825,1656.551,1923.0877,4399.3648,918.8224,360.6733,0.0
GBR_E,246.3952,18.4411,69.8797,67.9983,14.9774,1063.0797,56.8005,50.7119,322.4515,94.1905,452.72,140.1568,129.9026,101.4017,400.6335,296.1423,49.5186,43.423,123.5867,193.9856,166.843,148.4736,645.6725,11946.9034,1695.7548,2673.4259,363.1044,25.6057,5.6066,341.1586,70.8849,1104.7767,66.0033,44.8319,134.8899,520.6817,471.6835,769.1092,621.9137,3459.9104,615.2599,3404.0636,498.6993,219.9263,0.0
GBR_F,416.9592,3.3266,167.9263,4.2665,203.9223,142.3721,11.1728,11.0512,34.0313,269.2527,137.3085,21.683,119.4997,256.1441,8.4786,674.4047,17.4413,10.1882,72.1642,250.8989,422.3296,453.8987,3085.9722,812.1122,118780.4395,6563.4676,89.1897,12.9855,32.9736,604.5596,56.856,205.8699,115.042,122.3889,208.0175,3546.0172,21566.1082,3390.6189,998.5287,7031.4044,897.413,2238.6167,407.6714,57.4207,0.0
GBR_G,4382.4243,272.7455,648.3863,481.0708,143.0152,16069.4578,1097.0354,707.4238,2591.1942,607.4904,3754.0792,2714.6599,1991.6333,1343.0325,1480.9708,2909.6311,1548.9724,1405.5162,3268.3808,6833.1426,2284.1276,2618.6631,4855.5109,1244.6143,14593.342,20303.7137,5821.7251,379.5036,264.574,2417.9765,1050.6456,6818.7214,4079.8601,738.6441,2030.6409,3922.8946,1238.886,4334.8988,4501.6495,6867.0275,4097.5584,16990.8809,1321.1668,1024.1976,0.0
GBR_H49,655.71,24.9888,141.8519,342.6191,31.1004,2882.8469,142.2929,236.1585,559.1103,181.2575,749.6725,254.8896,477.8275,615.923,542.8395,714.1236,213.368,284.9917,698.4364,1047.0743,445.53,604.4195,544.1544,309.0723,2491.5195,8807.7752,4396.0389,29.6126,42.6117,989.5287,287.848,594.0096,393.8233,105.0341,186.4294,702.9371,199.2689,730.3694,575.8784,1345.9992,978.6769,3350.658,161.7558,139.5058,0.0
GBR_H50,26.4167,0.4122,0.6353,2.7637,0.8046,111.4364,7.4193,8.5782,19.458,25.8749,27.9828,16.8101,20.8474,9.1486,18.9542,27.8599,16.4311,14.6086,33.796,71.5184,26.1008,28.9311,35.9601,7.4629,137.8012,81.1693,17.7618,0.4057,2.5794,1.451,2.4722,39.4573,20.8068,5.6278,12.1248,11.8531,9.6639,25.415,17.6273,59.0537,22.9926,115.0048,6.5502,6.1398,0.0
GBR_H51,31.6019,1.8085,59.3457,6.1693,2.4318,134.1542,10.8441,10.5281,23.6604,38.2727,33.156,25.0268,26.9669,10.4783,31.1698,34.2722,23.9735,18.3333,40.2437,89.7333,43.1386,38.6885,43.2035,11.1613,163.468,157.4509,25.1669,93.834,326.4233,472.893,43.0388,66.9441,31.0343,14.5206,34.5946,456.663,20.5908,378.1091,267.6172,146.7246,29.7764,169.4915,29.8762,53.0219,0.0
