V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T
SWE_C23,67.4097,0.2079,6.1932,46.8035,4.1778,88.7834,3.4886,105.3594,30.4506,7.4058,22.9071,41.6548,12.8543,283.4903,43.4688,62.0432,16.2469,22.1363,66.5416,139.1094,9.4019,23.4378,61.3269,28.8781,2091.739,49.1436,31.4554,1.5155,1.094,104.439,0.9764,15.338,5.5135,3.3237,10.4467,5.3936,196.7672,34.9384,10.8696,20.3106,15.0734,37.381,7.6756,16.7896,0.0
SWE_C24,33.5361,0.0,1.6488,22.2662,1.7451,2.3538,5.6661,33.6447,10.5289,0.0259,9.998,10.4149,32.9693,115.6073,2376.3062,2241.1445,39.8556,364.4994,763.0678,664.9753,22.2958,195.634,18.2527,45.4429,996.8664,16.7019,0.0809,0.2974,0.1178,59.611,1.1132,0.162,4.3472,8.1163,19.4571,0.1151,12.5827,15.3047,28.2509,14.7351,5.2546,0.5592,0.7957,3.0731,0.0
SWE_C25,35.0389,0.727,6.4109,151.5473,12.0604,119.4154,13.861,138.1818,35.6294,6.7686,32.3186,48.8238,56.3782,128.1693,106.3356,845.4984,105.7036,197.8028,1449.0358,924.7058,193.9906,287.1941,24.6127,174.1572,1558.6806,84.6997,19.4876,3.8269,2.3677,60.7756,1.4166,12.7445,11.9688,72.3809,67.9949,10.589,84.5389,78.7738,56.1472,210.503,26.376,46.3041,14.8852,17.1833,0.0
SWE_C26,5.5831,0.2588,0.2462,2.2816,0.1778,9.4718,1.0744,6.0238,9.1367,2.9282,8.6807,33.4159,15.9953,4.1771,6.6241,22.7299,208.5674,42.6462,91.9156,166.5436,25.93,37.723,10.0324,7.1664,141.8745,30.3432,7.0217,1.0762,1.2266,7.393,1.2002,4.32,21.6097,18.1859,51.2038,10.1866,7.131,79.7669,21.4511,20.2116,7.9415,60.0256,10.6305,6.5228,0.0
SWE_C27,17.1455,0.2902,1.3444,7.0315,0.5278,15.5325,2.2312,30.1772,14.4822,1.936,13.1868,17.8572,12.2851,14.5276,27.4174,33.264,114.341,258.8279,210.9324,133.9062,46.8547,71.213,39.9646,10.5937,321.1356,49.6663,25.8845,10.9538,3.1981,27.0014,1.3105,7.6906,17.9728,19.2024,61.9198,5.5385,19.2041,82.2945,32.3745,31.041,10.748,19.6096,12.3874,5.4216,0.0
SWE_C28,107.2584,1.201,2.9644,27.9893,1.947,115.2292,11.8197,73.7023,82.7154,33.9598,56.9338,110.0346,36.4001,45.0693,75.8519,93.1488,52.434,82.546,822.3202,808.1404,74.6382,161.8157,74.7166,39.2075,446.1088,158.8298,76.8338,23.3395,10.7436,61.8065,2.5797,42.9054,32.9941,37.6879,67.3986,99.2828,38.2165,145.2674,96.6285,78.152,28.4109,85.9643,37.9973,19.5907,0.0
SWE_C29,61.1521,1.4336,2.9726,18.8154,1.1517,130.135,13.3616,40.3491,56.1925,51.4021,40.7995,88.0752,28.2363,30.1894,83.6996,108.7768,29.8444,37.8981,897.9806,3237.0602,25.2929,55.1546,39.1122,41.8357,294.6254,952.4143,207.0037,8.332,8.6533,39.143,9.6111,65.0513,39.024,23.7342,93.9399,65.9253,88.9299,170.1288,143.3138,78.027,45.1688,116.1923,49.1318,23.6076,0.0
SWE_C30,8.2197,1.6574,0.0,8.3714,0.353,0.2194,0.8791,4.6452,1.0615,0.0072,1.886,1.2371,0.6103,3.1721,9.0155,8.4868,21.2379,0.4174,11.2282,16.5785,445.9419,210.381,11.1748,2.4794,18.8698,4.7782,298.5985,44.8433,91.6021,1.3674,4.5168,0.0899,1.0482,0.0,0.4836,10.2635,0.569,13.8247,125.0393,531.747,1.72,340.1871,1.9479,0.9318,0.0
SWE_C31T33,115.6437,1.2171,7.4515,27.6724,2.0501,93.8284,9.9606,100.867,94.9722,7.0473,94.1008,137.3333,51.5694,108.0493,98.3716,49.7877,34.8433,29.5526,270.1032,162.1964,43.6669,320.8801,75.2028,36.405,462.0097,210.3994,182.8551,91.8205,23.9703,107.5958,1.8247,33.1091,17.1214,33.2536,55.0005,12.2614,37.6374,127.8771,196.5021,131.1078,41.1214,360.161,91.3894,32.7611,0.0
SWE_D,233.0602,1.4674,7.3003,119.3396,5.178,310.9986,30.574,175.9655,622.9106,0.8447,266.1302,107.7301,75.9514,85.8709,343.3466,140.1384,46.1749,40.1931,112.9176,141.7573,24.1313,78.5671,937.6687,217.0728,446.653,793.0267,197.1079,20.5323,8.8506,292.6092,7.1247,273.0519,58.4093,149.438,114.4207,71.1992,1325.6536,325.5283,147.831,353.4911,205.1765,426.8741,174.3383,120.506,0.0
SWE_E,35.3185,0.3223,11.1278,40.3775,3.0147,52.0998,6.512,113.8019,366.7418,1.7306,29.9822,22.3623,41.015,78.0075,1139.5477,22.459,3.332,4.2075,49.7893,33.397,2.1845,9.9696,187.3646,652.7555,286.4787,721.5041,53.6994,5.7602,1.9388,105.174,19.5445,90.0901,27.6259,23.7195,63.8722,53.2214,3162.1842,127.8465,38.9108,235.9522,130.1391,289.701,87.5974,49.2736,0.0
SWE_F,365.0655,1.9877,17.1447,173.922,13.3235,182.0474,10.5165,152.6222,262.57,7.3471,278.7052,280.5897,65.4719,164.3194,179.1672,132.7264,35.2354,87.3872,342.292,335.111,98.0634,150.717,1145.2638,370.6493,9807.3339,1554.436,366.9189,75.9542,25.111,745.478,21.3335,210.1089,75.8838,117.8391,130.9345,207.7224,12990.7726,474.4802,229.5153,837.1484,408.3808,273.5351,364.2689,479.0281,0.0
SWE_G,1213.2884,29.2172,24.9952,220.0719,12.8298,2651.4882,266.9015,464.5852,806.5428,579.1153,666.3267,1062.7039,313.6871,357.63,794.9125,695.7671,296.4751,357.9521,1259.33,2467.2407,175.2336,615.6989,404.5814,415.9004,2680.8828,2196.9873,2448.939,144.0724,124.3024,1838.7765,120.7208,1491.0575,524.2751,226.1876,891.8581,209.9758,451.9634,1280.9103,640.1972,652.8608,500.9248,1624.3486,387.7606,209.4385,0.0
SWE_H49,858.2859,5.0479,25.0109,153.1229,8.8901,438.9662,21.8545,161.604,244.5459,219.5586,132.5284,149.3349,67.8128,118.0785,301.3856,170.2888,41.4676,64.1205,220.6243,471.6099,30.8373,98.7576,145.2069,125.7895,1172.724,628.4014,1423.1378,53.8655,18.9118,5046.8655,34.9159,157.7578,79.9682,30.4493,92.7969,42.8175,110.672,303.6777,196.5523,233.2465,349.4796,210.7576,76.8254,72.2728,0.0
SWE_H50,48.9621,0.2862,1.6007,8.0575,0.5898,29.3838,2.6043,57.8045,61.2202,39.5736,17.1134,28.7455,6.936,62.8664,32.346,42.7132,8.9203,15.662,44.3994,66.0853,10.236,11.1657,14.4035,6.762,45.7197,286.6899,17.83,171.441,1.9076,349.2862,1.8552,14.5367,14.987,7.3336,34.0445,7.9261,9.0943,51.7279,32.254,9.2017,6.9759,44.8332,5.8636,3.4305,0.0
SWE_H51,5.5321,0.1528,0.1709,1.5571,0.0885,10.5298,1.0261,3.6064,5.9408,21.9729,4.5674,9.0851,2.9231,3.2015,6.6339,6.5287,2.8156,3.7498,10.218,17.4403,2.2491,5.1444,5.6581,2.6905,19.3801,20.4479,6.3708,1.3032,1.9837,38.3566,0.7729,6.0259,3.5947,1.7143,9.1121,3.6322,4.8663,20.0564,50.083,11.4877,4.6929,11.954,3.388,2.3637,0.0
SWE_H52,146.094,2.948,7.4094,37.2725,1.9399,546.4702,17.7831,307.2795,577.6,44.2517,177.4558,157.253,83.1112,257.1534,175.5783,133.3746,20.9005,50.4839,209.5636,656.9919,27.8239,93.8773,85.4427,205.1344,292.5192,3702.49,1555.6978,649.8477,101.5924,2058.2521,335.9081,56.5336,181.3282,38.4408,101.7582,62.8199,247.8413,537.4145,77.3127,127.981,137.5665,135.407,46.3214,23.7808,0.0
SWE_H53,24.9552,0.1184,0.6823,3.8251,0.2309,14.1091,0.8442,8.0406,11.5693,4.6413,6.6122,12.6903,3.9851,5.6173,7.2694,6.6634,2.818,3.4425,8.7598,15.0113,5.0418,6.2399,24.0878,35.6029,39.1865,790.3033,40.3912,6.498,1.1081,297.7645,106.907,7.2192,357.0761,23.6622,84.5523,92.0339,36.6682,183.4567,56.7924,435.6774,41.7892,44.8192,42.8213,36.4081,0.0
SWE_I,8.3677,0.1863,0.1365,0.5586,0.0726,4.7532,0.8362,1.9219,3.7363,0.0019,9.1877,18.2008,4.0329,8.4613,4.6967,10.5189,10.2065,7.7165,16.6413,9.3932,1.0842,5.6144,42.7476,98.7768,74.0919,426.754,17.1872,2.5349,141.6364,49.1978,4.4261,4.9222,18.273,41.5643,248.1599,164.065,59.1407,372.0125,481.9456,243.9497,205.1056,193.4006,59.3573,29.4518,0.0
SWE_J58T60,38.4239,0.9158,1.4341,8.415,0.557,145.5184,8.4115,60.7611,108.2733,19.7988,46.5059,279.5852,28.7871,25.6312,75.4311,67.9072,52.3403,445.0583,165.2535,103.3407,34.8957,57.1984,86.1151,73.6354,245.7344,1282.6427,69.3027,11.9954,12.5639,124.3342,11.4931,53.2511,1595.8345,230.1543,2973.349,247.4694,150.6728,1932.7168,357.0261,275.2919,691.3575,208.6075,185.8884,80.1708,0.0
SWE_J61,9.207,0.0077,1.282,5.137,0.452,27.2008,1.7226,25.8243,50.5203,0.0748,17.887,224.475,19.0492,13.1493,7.3687,38.866,23.106,5.9471,162.7123,64.5918,4.1257,32.595,47.7462,14.896,90.3495,725.5969,116.3092,13.9291,1.5612,197.644,8.1791,32.7627,160.9126,2664.1961,572.6365,217.7818,107.6744,641.1068,256.941,563.9537,103.6797,264.0846,68.0453,57.5881,0.0
SWE_J62_63,32.9273,0.7446,1.2816,11.7041,0.9404,89.7918,5.8948,46.6401,87.8033,12.643,42.0308,414.4157,31.5345,33.1556,51.7743,100.0834,31.31,66.3822,240.7443,287.1516,73.2013,49.7267,411.7133,253.9534,602.8516,1858.8987,109.3572,13.4189,28.031,264.5108,184.3207,49.5301,3418.6635,426.6323,5916.5954,244.4235,167.6694,1980.9427,402.8731,588.9317,264.0175,353.5301,143.4926,66.6056,0.0
SWE_K,589.6298,5.4079,1.8959,13.5915,0.7649,41.6532,9.5055,119.8547,118.3211,8.345,50.0232,85.2879,23.0506,22.9822,122.1927,79.2675,27.0302,32.7663,135.7603,293.0517,15.4523,77.3665,191.6111,161.3107,512.0914,741.7614,235.601,11.1934,12.6055,316.0622,41.9507,161.1903,157.5826,73.075,357.0954,2668.0385,5346.1857,1019.1259,259.5397,530.0222,65.9335,126.3166,142.409,191.4315,0.0
SWE_L,15.5335,0.1078,2.6121,14.0977,1.1806,217.9135,18.1264,99.369,128.2447,1.4812,98.9599,152.3792,84.802,80.0045,40.4203,249.588,52.148,101.3722,224.1644,311.544,53.5434,158.6637,520.4926,124.9158,588.1824,5207.0288,502.7022,49.2154,42.3307,716.6625,283.0928,1053.6483,320.3038,212.2059,870.7273,750.4114,3024.782,3473.7265,1080.846,3604.8898,3446.3874,3882.45,1328.7777,565.3034,0.0
SWE_M,170.1979,0.5104,12.7847,45.8187,3.4787,368.1943,23.9082,191.5756,436.9901,10.5398,219.7981,1397.4887,110.4519,189.7286,247.6901,422.2972,137.9058,255.4821,715.7867,1574.0572,124.1899,208.578,669.0627,428.7177,6093.4177,4540.1584,385.5585,57.6355,31.9198,628.6702,46.1077,211.455,562.2157,385.5853,1872.2859,830.4352,1259.0774,6833.1543,835.867,1140.4023,261.5225,674.0941,258.5854,207.3305,0.0
SWE_N,73.9591,0.414,14.3788,59.0573,6.8958,199.7109,9.5005,144.7572,186.7683,1.8207,140.1227,817.6559,89.6137,144.6802,105.7287,257.6414,118.4593,178.8321,392.893,461.656,219.7266,124.9044,348.5996,210.2067,817.3315,2798.3882,378.6576,63.967,63.7556,533.5593,75.2871,324.3163,321.3311,271.2144,949.734,457.5893,1800.8287,2146.1653,2692.6858,522.4767,422.3974,1617.2211,343.4696,111.1759,0.0
SWE_O,44.1308,0.3902,2.2486,4.7297,0.3522,56.7409,8.7841,61.5864,71.569,0.3009,26.2226,243.341,29.5338,15.1027,26.842,120.9804,10.7873,17.607,105.7347,163.856,8.6805,51.6707,244.5417,67.4255,499.4797,683.3735,187.6171,5.5614,6.8768,320.4182,38.669,128.138,84.8004,51.1979,239.354,198.1998,358.5869,517.5636,208.26,726.7897,1339.8081,1332.1435,316.5885,80.0786,0.0
SWE_P,25.7342,0.027,1.4646,0.4746,0.0355,9.3758,0.6867,3.7112,8.4888,0.3252,15.2949,56.322,2.8641,5.0941,7.0887,12.5264,2.8729,2.9482,15.0705,22.9139,7.0308,5.5571,12.3801,11.2791,43.7663,104.452,11.2463,0.9885,115.5913,154.6785,2.5851,6.8778,35.0908,6.3512,104.5183,60.4184,15.2948,215.7286,31.9957,386.4814,286.7318,207.4766,22.2484,6.8793,0.0
SWE_Q,21.558,0.2801,0.3304,1.1501,0.1092,17.6779,1.7509,8.6613,12.3703,0.1659,7.7517,31.8664,5.0464,7.1548,6.9257,16.5126,6.646,10.7341,21.4905,30.2178,4.8356,14.3843,33.7854,18.3164,93.5834,118.6871,12.3814,2.6287,2.1835,28.1188,4.4167,15.386,26.8943,9.7002,65.1061,40.3586,30.9306,163.6735,57.11,135.2347,93.7371,2433.8144,29.6719,10.1068,0.0
SWE_R,11.1112,0.1103,0.4786,3.0435,0.234,19.4698,1.4001,8.5035,13.0852,2.3987,6.5238,41.0619,3.7507,5.4534,6.0548,11.1986,4.4429,5.7752,18.9154,81.7477,3.8435,10.3098,37.4881,17.2124,265.6033,149.4055,23.6397,2.0597,2.6718,101.2691,2.8143,46.7567,163.0185,8.5349,86.7873,55.9896,40.689,261.8962,89.1471,162.6964,51.1679,95.422,229.2308,23.8538,0.0
SWE_S,20.8464,0.3395,0.9061,11.2915,0.9375,33.0293,3.4301,26.935,34.5515,0.6001,18.8425,39.2094,9.7115,19.2826,17.0454,20.5858,5.1812,4.4109,26.6079,52.9711,11.4307,14.7772,36.871,86.2299,75.2233,438.3772,85.0355,7.4297,3.0989,28.8155,6.9508,163.1888,28.9921,17.4863,121.5287,66.1067,137.9148,293.7818,112.6532,113.2298,65.2196,245.364,56.4815,313.4125,0.0
SWE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
