V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T
FIN_C20,201.4192,0.2397,4.018,14.9661,2.0762,90.8733,55.1347,56.8377,496.5352,50.5647,1828.6144,36.3845,292.812,57.0296,62.0261,52.6943,90.1958,40.6712,51.3007,46.7783,30.7762,24.3784,49.2135,95.5554,268.5516,43.7211,14.9453,4.2255,3.7343,27.8575,0.7922,5.0819,6.8518,6.5291,23.2244,11.3486,8.6989,63.6924,60.4435,51.325,8.8578,139.5439,17.0382,53.3552,0.0
FIN_C21,4.7541,0.0479,0.2133,2.2011,0.0976,7.5838,0.4817,2.9724,10.9465,2.0426,30.5475,27.7758,1.6674,1.1277,4.1096,1.9545,59.1599,2.3477,5.5785,0.565,1.4351,1.8015,2.3018,1.8895,14.9618,9.7554,1.8408,1.3022,1.0183,1.3858,0.3086,1.9961,1.8945,0.8303,6.7486,1.9923,2.0259,12.2663,3.2948,19.4992,8.0081,635.6099,0.9214,1.283,0.0
FIN_C22,5.2091,0.098,1.4594,3.548,0.6158,101.9208,8.988,28.315,35.0638,4.3496,54.4151,14.5211,130.3862,18.454,10.8634,42.7647,40.7974,25.294,71.8487,19.2554,20.0328,24.5431,3.5792,5.6356,678.8258,53.0639,58.0705,0.9897,0.7875,19.9713,0.6743,6.073,3.5515,2.9985,10.1244,7.7488,4.9232,27.6934,42.6766,37.3066,8.4982,48.381,6.7116,23.4241,0.0
FIN_C23,9.4911,0.046,4.98,19.6367,3.0871,10.368,2.3791,63.1356,35.2559,1.4962,52.1354,1.2614,23.0819,334.1967,49.4153,60.6844,21.4094,10.5455,31.5623,12.8587,11.1227,42.1013,5.505,4.9939,1782.0519,70.7959,4.4598,3.836,2.8956,4.2059,0.8575,3.7384,4.3159,2.5476,11.4701,7.2325,6.6557,42.1124,16.1836,15.8969,2.4386,15.8991,2.4321,9.5641,0.0
FIN_C24,0.0,0.0,9.9374,29.3524,6.4884,4.0086,4.2519,14.7839,17.6794,5.1875,28.5639,0.2609,29.6311,121.6467,2036.3535,1334.776,22.2774,305.0854,431.516,63.6536,186.2526,70.4802,0.4228,3.0578,56.6432,6.7471,0.0,0.0,0.0,0.0,0.0,0.0,0.1169,0.0,0.0,0.0,0.0,0.0,0.0,0.0034,0.0035,0.0082,0.0,0.3139,0.0
FIN_C25,25.2739,0.349,3.1123,8.1455,1.6075,73.6728,3.3388,72.8253,41.7841,11.5779,47.8315,2.9713,55.871,32.8425,489.68,700.6455,79.9264,228.7854,1076.5975,40.6441,176.7849,216.9758,21.0264,26.4829,1924.3628,52.7972,14.175,6.5506,7.3258,83.4519,1.9927,10.0012,8.3987,25.8321,29.8532,19.8472,14.1311,81.5102,43.6505,211.2094,27.8721,37.1406,10.2519,22.4066,0.0
FIN_C26,80.5061,0.3056,1.8328,5.4044,1.0252,43.537,4.1143,17.0483,88.2983,18.7421,57.0768,12.7571,19.0379,12.3444,33.5232,53.3515,741.1439,95.4441,218.3435,14.3232,38.4772,94.2771,54.3083,20.7794,290.3484,372.3139,72.5589,68.0871,59.7633,73.211,14.0353,39.0057,136.8045,95.6065,736.3994,281.1787,51.5825,454.8767,143.5099,390.8321,83.3661,270.31,57.3719,48.2967,0.0
FIN_C27,9.2289,0.372,1.8994,4.5599,0.8357,17.5381,1.0593,7.8531,46.3536,8.762,10.6986,2.7286,6.8459,6.1855,29.2165,34.9148,139.6775,488.6804,275.0526,22.6283,71.4307,93.7559,35.8839,34.0575,414.0224,93.2786,14.1614,6.593,9.1026,8.7952,2.0516,5.9332,9.1638,7.8657,27.4887,12.6866,8.0803,68.9228,40.6558,56.2719,18.1556,43.2038,10.0109,14.3089,0.0
FIN_C28,92.8112,1.871,14.9462,38.5114,7.3568,88.6421,6.354,50.1941,225.1729,45.7956,64.3192,11.5368,25.0988,27.2053,96.9713,146.1172,319.7278,168.0005,1489.1581,158.187,118.0131,287.004,108.2719,82.9979,856.045,290.1679,68.0771,60.3005,63.1736,51.287,12.0433,35.2937,41.8522,33.9328,103.6669,44.6918,32.7578,266.9786,96.3191,322.059,23.906,101.517,21.0821,33.9227,0.0
FIN_C29,4.1793,0.0375,0.3432,1.0203,0.1578,3.8205,0.6972,2.5204,7.4002,1.7143,15.8252,0.7079,4.8666,1.2027,3.8623,5.9134,18.8652,7.7883,121.4377,59.9685,4.8203,4.2801,1.6891,2.3814,28.7296,103.2771,34.3572,0.4746,0.4792,8.7631,0.1437,1.1298,0.8728,1.6276,3.161,1.2001,0.9866,5.5753,2.8673,12.8258,0.7959,4.4899,0.6495,1.1245,0.0
