V1,CAN_A01_02,CAN_A03,CAN_B05_06,CAN_B07_08,CAN_B09,CAN_C10T12,CAN_C13T15,CAN_C16,CAN_C17_18,CAN_C19,CAN_C20,CAN_C21,CAN_C22,CAN_C23,CAN_C24,CAN_C25,CAN_C26,CAN_C27,CAN_C28,CAN_C29,CAN_C30,CAN_C31T33,CAN_D,CAN_E,CAN_F,CAN_G,CAN_H49,CAN_H50,CAN_H51,CAN_H52,CAN_H53,CAN_I,CAN_J58T60,CAN_J61,CAN_J62_63,CAN_K,CAN_L,CAN_M,CAN_N,CAN_O,CAN_P,CAN_Q,CAN_R,CAN_S,CAN_T
CAN_C20,2231.1807,14.5985,313.7411,311.6356,48.3871,252.7637,134.2178,222.3002,491.3105,264.5227,3141.2766,511.3797,2254.1954,259.9551,629.7928,175.6783,32.2244,61.2459,85.3314,171.8453,22.1709,157.273,108.8875,26.9768,1003.2527,367.6962,180.267,8.0363,25.3967,59.3938,29.1501,75.5027,83.1487,24.5525,67.8892,129.2298,119.8087,209.3341,389.3871,279.0504,188.1148,493.3884,28.3546,293.1671,0.0
CAN_C21,34.9463,3.0201,19.7574,7.4656,3.8641,45.8522,3.5406,11.5302,15.4118,5.364,36.7079,452.8143,25.9228,11.0944,18.0364,21.7013,4.7872,2.6984,13.7042,8.9625,12.0339,14.5524,6.7502,2.3061,83.7924,39.9537,6.3778,0.4577,4.0203,3.4499,1.1456,7.4471,7.7996,6.3308,6.0726,18.5904,15.4115,24.8747,13.7963,1968.2915,24.8687,714.7129,4.9288,18.0694,0.0
CAN_C22,581.4696,33.5535,242.0919,145.9426,25.1377,883.937,76.524,200.2406,327.6292,78.0142,292.5387,75.6265,845.2504,135.2432,185.0949,267.4787,85.2058,37.1759,123.0333,976.0641,57.9295,384.1542,65.5819,12.961,3677.6169,715.3322,280.5391,6.9614,9.3385,221.228,75.9664,239.2993,30.8651,11.2186,31.3231,69.8064,51.9249,107.5796,146.1625,246.3422,78.0937,155.0145,67.4674,116.4891,0.0
CAN_C23,99.2554,7.752,114.0406,124.1364,106.5776,190.3453,5.9803,64.6267,47.5146,66.5329,127.1983,15.5652,125.9637,1789.009,221.9158,174.6473,16.0602,38.1598,28.8558,376.0381,54.6693,89.0537,21.1319,14.9899,8643.9062,164.9347,170.2828,8.0285,27.7515,13.8893,14.6638,43.2875,13.4193,15.6004,17.5362,58.9025,61.7208,56.9675,77.0202,129.1757,52.4,103.4763,8.9949,34.677,0.0
CAN_C24,173.4946,3.7235,550.3082,114.5601,192.7353,34.538,13.1592,26.9533,59.155,14.0897,295.097,23.2889,167.5198,61.9107,13940.6434,2603.4998,40.0051,666.3431,1265.7544,1371.1746,218.2739,1627.4424,14.4905,4.4066,922.632,121.7342,18.3406,2.947,1.5198,31.0824,2.7801,10.1967,18.4909,6.798,13.1825,41.6208,34.5359,54.8344,64.2706,47.897,47.7037,148.5608,9.2807,35.7541,0.0
CAN_C25,175.5503,21.924,394.6329,136.3076,57.0904,472.6256,14.1528,177.1688,79.0403,33.0588,90.0566,20.3411,181.1467,150.0857,776.749,1826.3604,164.697,234.8217,749.0143,822.2892,146.2936,448.1628,34.0174,77.8439,8885.0585,238.6715,64.9507,5.1168,15.2124,96.0282,18.3651,85.167,75.2296,70.4037,145.7864,161.8866,366.0373,405.568,567.777,430.067,184.2263,467.8627,47.7011,153.0043,0.0
CAN_C26,22.8605,6.3123,91.5174,11.528,69.0065,31.7818,2.8488,12.396,20.4034,5.694,12.6453,5.4714,11.7743,10.9463,18.2164,29.5709,594.2528,112.9968,156.3532,305.6889,51.6123,41.9653,11.271,18.2942,507.7149,82.2061,31.4165,3.8179,4.6396,19.963,6.8062,12.9445,160.9465,834.0806,191.6752,55.3611,36.1856,198.1591,73.7773,197.2036,156.4442,493.5743,21.9799,25.7395,0.0
CAN_C27,53.8424,4.8754,46.6409,30.6578,29.1426,33.8893,1.6525,29.4204,19.8219,11.533,12.0115,5.0869,11.3389,13.4194,96.0507,60.2583,103.9194,260.7437,73.3921,237.5685,55.6786,23.0643,28.1738,20.4867,1698.1231,125.0942,36.4196,6.554,2.1412,24.9239,6.5263,12.6284,34.2987,98.7994,73.6532,48.3215,105.6564,121.4274,186.9226,54.4281,78.0335,184.035,12.3182,45.5479,0.0
CAN_C28,231.4834,30.5465,1368.3683,406.0918,187.898,224.0894,12.3995,120.5092,113.3533,60.0974,75.3507,22.1828,83.6392,85.945,202.7126,346.129,42.2423,35.7101,1718.1063,243.2301,87.4609,136.0781,86.2783,58.2365,3048.0056,198.8512,54.0309,7.609,12.0468,87.455,25.855,88.1523,223.5923,58.3747,101.0845,119.6301,230.1778,277.7204,393.0204,353.6669,123.3952,355.8776,122.9974,122.8566,0.0
CAN_C29,103.6591,8.0427,168.8055,44.9136,10.6057,42.6342,3.8531,20.1958,25.091,10.4538,15.4671,5.102,88.8516,18.3924,35.1461,119.7836,10.3395,5.9288,71.9118,6661.6346,155.4745,106.764,22.6904,8.8235,272.6233,472.8274,506.3466,6.0912,11.0076,362.6268,108.1765,27.2397,28.0008,9.0908,59.5221,96.0856,73.7037,131.976,152.4156,349.746,54.3746,149.8961,38.8874,83.0933,0.0
CAN_C30,61.7195,72.9597,85.2,33.5654,5.8052,112.3763,3.9759,22.7602,37.7279,27.2013,36.9941,11.207,32.8828,37.3248,48.3046,25.4072,13.9323,11.4789,55.6924,46.8373,3757.4694,44.1136,24.3221,18.2752,129.6801,549.3741,290.5916,54.253,200.7366,348.4384,69.2816,96.7858,30.4366,11.2834,61.0135,115.1709,90.7909,62.0819,154.8219,273.3558,59.6738,151.1332,168.3915,73.9735,0.0
CAN_C31T33,118.939,15.0647,50.7752,23.9217,10.2804,431.505,109.9544,255.2207,361.3079,73.9222,232.4789,60.0926,238.2839,260.5575,498.6,761.8267,90.6232,83.6658,367.5926,232.1837,403.549,938.4057,21.5028,52.8102,1859.8056,167.1419,37.6408,2.2236,153.1088,21.5631,11.2681,84.3621,131.066,27.5862,68.6499,67.3572,86.6067,144.8208,126.3839,1410.0656,115.1966,2487.8999,158.1696,218.2111,0.0
CAN_D,1341.6394,2.1815,1143.1381,751.6367,101.2094,613.5623,36.4947,382.284,854.8225,357.7071,703.9658,92.7747,307.7563,268.7729,1026.1896,250.2899,54.7154,38.7912,161.4293,204.3819,80.6067,183.7354,73.3899,36.5371,389.9178,1684.0877,397.9124,1.4412,7.3452,126.6896,65.5685,410.4174,146.8505,197.651,140.6892,711.5137,1258.9841,373.3836,282.5466,1894.461,842.7132,1213.9571,241.7816,597.7248,0.0
CAN_E,33.0227,0.9052,624.9848,22.6582,2.9244,131.7004,9.9832,28.3037,105.7918,44.6481,197.6212,10.5741,70.394,39.5999,93.9756,99.5154,10.4982,25.5136,40.5407,50.0662,61.5683,89.3227,13.8557,916.048,275.6795,1582.5225,144.1389,3.6082,17.1779,100.5437,32.8808,215.4534,45.369,22.2919,98.7728,372.6465,1004.4852,167.3593,120.1041,2817.234,378.9176,690.5662,100.6472,338.4627,0.0
CAN_F,1034.6574,3.6221,2009.37,533.2598,17.9752,186.8154,13.2424,24.2979,168.7946,61.7357,282.3884,78.1132,72.3891,193.9607,162.3264,105.6363,40.3328,39.5302,139.9405,63.8,171.6976,92.2717,1841.8892,332.0924,419.318,1906.894,1877.9845,104.5848,5.6124,1811.0456,42.9924,419.4182,65.2898,267.1962,260.017,1017.8466,19097.0784,439.6932,386.8479,5663.2479,2131.5482,1456.161,349.7575,247.2484,0.0
CAN_G,6311.542,219.3633,2328.8086,1080.2449,474.3069,10088.6422,565.0242,1805.0341,1824.1868,857.2031,2390.4588,1036.9141,1950.3652,1355.6299,2627.2086,1670.4659,665.6739,514.9321,1667.2944,4136.7837,931.1767,1683.9869,489.9242,1083.5799,15990.1068,4362.3776,2602.1267,91.0611,276.7727,749.201,458.3949,4739.3746,1191.7161,1137.3113,1317.0227,2121.7703,2014.9229,2850.9886,3529.6963,6920.5354,2139.7609,7275.4416,968.4438,1683.8158,0.0
CAN_H49,2272.0134,38.645,650.5364,306.6469,174.72,2331.966,83.038,927.383,625.4283,1314.2988,511.529,158.4672,403.8905,561.3359,1399.229,510.6927,106.2207,187.764,433.6281,884.068,139.2678,486.4728,261.7442,42.8708,3487.6568,3241.5759,11310.8227,64.687,58.8798,3787.5842,1268.4543,311.6562,148.9838,98.7254,211.5418,319.8127,357.2275,560.3395,475.4974,1286.8859,3775.6277,462.8475,124.5008,270.1729,0.0
CAN_H50,24.2697,0.5937,4.3669,1.3629,1.1723,34.023,3.1842,6.8202,2.7373,16.8649,16.0511,1.9959,13.4834,6.9374,37.0414,8.4163,5.9073,3.9617,10.7724,57.8155,10.9627,7.1243,0.947,0.9219,11.7685,32.5747,27.7864,6.2285,4.9529,3.5265,2.1556,5.6339,2.0662,9.8451,3.22,4.3271,3.7857,5.2889,4.574,11.8312,3.5572,7.6052,1.3806,2.2417,0.0
CAN_H51,16.9803,0.9307,7.2367,2.7301,0.4044,30.2423,2.3564,10.2408,11.8338,14.4314,12.6983,2.6875,10.7181,9.792,25.66,16.8575,3.8802,2.8728,11.8253,29.9542,13.1027,11.2031,0.8601,1.7421,41.1317,46.1895,40.6743,11.14,9.9874,3.4175,2.9434,3.4011,1.8906,0.6815,3.2706,3.5973,2.387,5.1267,4.4371,23.5501,2.6348,2.9158,1.2611,1.668,0.0
CAN_H52,379.6379,75.1602,525.6659,238.1793,19.8264,1513.6467,47.9349,389.5016,344.231,338.2672,471.2168,119.2948,416.774,422.2194,385.5832,335.5673,118.2193,111.804,423.6735,275.8612,228.823,378.7979,44.0766,140.3448,386.658,5014.9452,4462.1946,1200.2183,820.963,394.8403,333.2055,89.8495,142.984,50.7732,220.3001,300.9709,273.7067,483.8037,478.8901,1194.6916,290.5627,263.9533,133.5429,164.2672,0.0
CAN_H53,10.1345,0.8199,80.6215,35.3748,6.3978,177.2985,27.358,36.7408,68.2995,5.1499,87.7006,20.5184,53.091,37.8274,28.9119,112.7879,25.0776,21.0265,90.8379,19.1967,9.12,133.2994,89.9314,45.8678,388.807,3007.7639,85.2399,10.8008,14.6766,383.8245,274.0816,92.7977,159.6178,292.0356,111.9795,1376.5714,855.5199,368.8388,617.2929,558.3148,228.2852,525.1,78.2725,254.5397,0.0
CAN_I,51.5072,8.7052,145.8093,35.8809,32.2206,328.3196,15.2624,36.9067,39.4237,6.2836,56.2808,68.0621,42.3689,35.8742,19.6143,92.4602,37.8114,26.023,98.2816,33.5719,51.2538,171.4098,47.3353,75.9522,320.2586,1949.1901,114.1149,1.0108,120.6673,356.8317,54.1742,181.985,247.4251,160.1949,467.3081,713.5632,807.9841,1271.0339,819.9091,925.4397,587.0191,1056.4664,221.0439,344.6335,0.0
CAN_J58T60,20.347,1.0478,211.6348,33.2798,9.7101,85.7934,4.2935,11.068,15.6502,4.2326,21.9794,19.7025,12.6739,12.772,11.1301,22.2659,21.2655,10.9396,27.7701,16.1552,25.4468,38.734,98.2207,66.5066,187.8317,1783.466,106.2828,1.1615,15.2418,80.5162,60.7856,123.8691,2864.7622,1536.1216,1504.6551,1479.5886,324.6017,780.7113,413.732,1021.8658,454.926,287.7527,133.7818,119.3376,0.0
CAN_J61,251.7907,1.7625,193.2755,58.4312,26.8805,171.6575,16.2353,30.1122,39.1588,12.9863,47.2861,39.843,37.7665,33.6121,22.7898,74.6524,37.399,20.178,83.4895,33.3174,44.7712,109.7008,88.9623,83.7887,455.6028,1310.4178,289.7365,3.1537,58.1244,367.8435,76.6569,240.9506,381.3581,4216.2642,1251.9143,2460.2884,1161.5912,948.0342,868.8649,1346.3265,390.7735,1334.5175,107.8699,244.3497,0.0
CAN_J62_63,58.3356,2.4458,889.0855,140.0625,21.6271,227.915,12.7536,39.9273,40.8618,16.7242,73.203,54.5906,41.7961,43.4584,51.7899,66.1443,57.1978,41.426,94.0631,49.6095,93.1506,109.6936,433.625,229.2595,539.1122,2905.2837,399.0359,2.4728,38.2334,200.5573,229.7835,249.9198,1116.9397,1194.5603,6650.2294,6225.189,673.782,2693.0701,909.193,3530.0084,733.1622,703.6728,174.6959,289.8408,0.0
CAN_K,1541.3665,73.9811,4988.1146,863.658,295.264,1588.3343,121.9486,813.4009,702.1667,616.9301,773.9377,319.866,455.2973,505.6641,794.4693,938.477,321.3099,178.0988,919.0252,950.7055,411.4595,837.4923,1060.3551,539.526,7251.0523,15805.2566,2358.3028,71.4036,233.1423,1159.3113,405.0296,2142.8009,901.7171,1177.9265,1229.3865,51376.3879,15727.8717,2628.0339,2938.9885,3777.5855,358.3959,1891.0291,702.548,920.4009,0.0
CAN_L,73.9003,2.456,125.8913,58.6192,10.1637,172.8422,32.0601,58.8315,100.3093,19.9708,55.7124,35.3604,93.421,48.6782,28.4581,207.8108,65.206,28.2659,190.9366,62.8368,27.35,405.5876,240.1854,161.4938,985.1093,11295.8477,390.7008,18.74,21.61,632.7296,229.2703,1707.6337,707.6977,483.6779,1334.5043,2417.2665,4557.6575,3167.9163,1928.0783,3695.5994,1118.9268,3411.9674,757.0214,2365.2907,0.0
CAN_M,1480.24,16.7205,4790.3913,670.3014,998.6358,1356.3236,66.1009,255.6594,323.9142,186.2409,438.4786,558.5085,247.401,333.7403,372.3932,307.2271,359.108,112.9966,445.5375,200.4559,613.4165,390.5026,1454.0607,286.0701,17178.1487,13622.4509,609.0893,6.4352,72.6528,403.2508,131.1588,565.677,929.1483,1622.0189,864.957,6206.1915,3161.7129,8408.9726,3314.0864,8137.4102,1279.1893,1993.7601,425.5152,1117.0629,0.0
CAN_N,405.8062,21.1629,1985.0701,233.3164,268.0229,602.0613,31.1702,94.609,160.9072,47.6821,274.758,160.9628,186.9777,123.4705,185.0824,286.0937,122.6769,60.4326,224.1658,559.6361,205.134,459.7486,369.445,545.5245,3547.2472,8400.8369,1885.3708,38.6159,84.5709,790.8157,418.8848,1081.9089,1117.479,1090.8569,3048.1409,5504.3522,5252.4353,3973.9328,3960.2099,5390.3147,1818.6788,2594.8336,807.9428,1237.8437,0.0
CAN_O,87.8178,5.9326,445.4108,52.243,37.7412,280.6798,11.0551,46.1276,88.1479,57.104,173.7885,53.9319,64.6324,61.1663,99.4976,92.6883,41.1904,24.5144,84.0558,76.1299,61.7528,110.3195,64.1724,468.7334,762.0231,1874.1508,447.8748,54.4176,49.9625,190.7879,61.0199,279.7445,283.1406,206.4857,485.616,1474.1379,1254.5223,668.6207,377.8326,4047.3812,437.3745,1280.0913,185.9871,495.7398,0.0
CAN_P,25.5392,2.0042,89.77,16.0405,14.1688,63.784,2.8067,11.7345,12.9591,9.2411,17.8669,13.366,12.776,11.4447,14.3254,14.6597,8.7205,5.0428,19.363,8.8252,13.2378,31.0691,31.366,17.792,401.7447,592.7357,120.8506,16.0984,38.0005,36.7667,28.9433,75.5247,221.5763,40.0826,491.3605,428.2451,134.2592,329.4904,194.0211,1735.703,322.8299,337.3645,32.7343,74.6407,0.0
CAN_Q,11.4415,2.3956,42.9592,10.8539,3.917,50.9375,1.7741,10.9811,11.0146,8.877,15.0476,9.1701,13.0426,11.8371,11.5186,11.9004,5.1881,3.9547,15.0425,8.3883,9.0652,20.3467,11.9063,16.3156,58.0873,358.1754,124.775,30.3648,23.3993,27.9508,16.117,30.8784,35.725,32.8723,111.5936,299.2161,150.6852,126.22,98.4294,23181.7661,86.7918,8596.6079,27.424,46.0836,0.0
CAN_R,14.3658,1.1236,32.14,6.0371,6.1933,95.3128,3.4946,7.1933,11.7492,1.8044,13.8212,18.8397,10.8495,9.2654,4.2342,16.0091,7.8935,4.9344,16.8972,11.5383,11.7407,35.3816,10.6874,25.0681,100.7806,488.5129,23.5258,0.7199,5.1501,31.7052,12.7565,164.3919,568.1988,112.3475,132.8605,231.5349,284.345,212.4628,290.4517,394.7327,94.0774,157.2152,596.8683,79.0595,0.0
CAN_S,129.7266,17.715,170.2176,116.6433,22.6514,202.8125,8.398,43.6696,41.1754,35.6909,84.229,18.0012,41.4127,37.1611,41.4047,30.5362,12.7764,10.4127,40.2653,25.9312,19.1236,48.8045,28.0156,115.2684,675.2467,606.6974,505.0858,73.8,59.5631,207.2923,45.6753,118.8176,242.0557,49.8384,340.3378,1146.6101,580.6175,798.5121,545.1406,1222.8186,578.1485,1570.6195,186.2893,239.4321,0.0
CAN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
