V1,IRL_A01_02,IRL_A03,IRL_B05_06,IRL_B07_08,IRL_B09,IRL_C10T12,IRL_C13T15,IRL_C16,IRL_C17_18,IRL_C19,IRL_C20,IRL_C21,IRL_C22,IRL_C23,IRL_C24,IRL_C25,IRL_C26,IRL_C27,IRL_C28,IRL_C29,IRL_C30,IRL_C31T33,IRL_D,IRL_E,IRL_F,IRL_G,IRL_H49,IRL_H50,IRL_H51,IRL_H52,IRL_H53,IRL_I,IRL_J58T60,IRL_J61,IRL_J62_63,IRL_K,IRL_L,IRL_M,IRL_N,IRL_O,IRL_P,IRL_Q,IRL_R,IRL_S,IRL_T
IRL_H49,18.0339,1.4182,0.4316,2.8118,0.0834,61.7845,0.8754,2.6945,1.9332,29.9688,10.9112,23.5728,5.7922,5.8254,2.6936,7.4536,90.0749,1.7551,12.3413,1.053,2.5397,45.4371,5.7994,4.9347,58.6403,349.3859,22.1301,0.4967,4.9101,1.3648,6.743,2.8906,35.7643,1.5925,4.0733,36.102,1.1694,11.6567,18.5399,12.9487,4.7768,32.4601,1.2585,2.656,0.0
IRL_H50,1.0106,0.0474,0.0137,0.1062,0.0004,1.2963,0.0391,0.0462,0.0378,1.9691,0.0483,0.6594,0.2075,0.0477,0.1402,0.0585,0.0487,0.0261,0.0479,0.0497,0.2201,0.9669,0.5175,0.0842,1.2458,0.4516,0.052,0.0472,0.0479,0.0472,0.0265,0.0663,0.5009,0.0477,0.0153,0.1122,0.0456,0.2286,0.1739,0.1103,0.0444,0.6425,0.0399,0.0779,0.0
IRL_H51,10.1132,0.8174,0.1315,0.5892,0.0053,22.8681,0.3131,0.7019,0.3907,13.0166,2.5983,5.1321,1.1934,0.6866,0.6365,2.2098,18.1943,0.355,2.3913,0.3222,0.5935,11.0861,4.5236,0.7574,7.3266,20.3748,0.923,0.2468,1.3067,0.2136,0.2026,2.1911,16.0443,0.5918,1.1699,1.6618,0.5016,2.6181,6.5055,2.2026,0.57,6.0529,0.6359,1.6568,0.0
IRL_H52,4.4978,1.1357,0.0444,0.2654,0.0148,12.4852,0.0871,0.1486,0.178,5.5748,2.3275,5.2711,0.56,0.6694,0.4453,0.8254,11.6108,0.2953,1.7153,0.1749,0.3867,6.7083,1.1189,0.4497,5.7755,46.4384,12.1405,9.0831,14.9897,1.3954,0.4946,1.0279,7.4169,0.4196,2.2043,3.1989,0.1532,3.2487,2.6174,191.384,0.2604,2.7059,0.3335,0.7187,0.0
IRL_H53,0.2444,0.0,0.0399,0.0806,0.0023,3.4969,0.3066,0.3481,0.0803,0.0371,0.703,0.3438,0.5898,0.5429,0.7221,0.8189,0.1064,0.3474,0.0385,0.2169,0.9772,0.4231,0.1787,0.14,2.6947,83.1926,0.864,0.0096,0.0504,0.2754,48.0961,0.1053,20.5225,0.9342,8.5794,24.3052,0.6918,21.1334,6.6677,0.8108,0.1266,1.8377,0.3923,6.2352,0.0
IRL_I,0.7519,0.2659,2.3251,4.0012,0.0305,35.2998,4.2448,4.4412,1.3247,12.1681,37.8805,41.4285,7.7154,6.2101,11.033,13.4826,23.5411,1.9945,12.9369,6.0985,6.6622,15.0764,52.7135,12.7551,21.1893,257.6094,8.3725,3.0437,50.2819,2.1044,5.7169,23.94,49.9388,6.0854,65.4616,98.7137,8.0823,353.4251,93.3388,7.1995,0.9189,53.0128,14.8441,14.7226,0.0
IRL_J58T60,2.5747,0.0955,18.1682,54.445,0.054,678.967,43.2164,20.9325,147.5875,0.0023,2119.1102,841.7728,150.0674,125.1717,109.1943,375.884,96.7641,19.8156,44.4545,32.1934,30.4064,392.7319,970.7895,120.616,9.7656,580.9314,5.4787,0.4419,0.6161,0.86,3.3535,41.8237,8473.3825,157.3881,249.9271,332.6161,65.6391,382.0108,226.4389,812.6987,163.0998,50.9116,80.155,517.0334,0.0
IRL_J61,26.4006,1.9087,1.5413,4.9934,0.0368,55.4566,2.6003,2.8019,0.9034,18.6395,40.257,78.7325,8.7925,6.9486,6.968,9.0932,33.157,1.3844,13.7724,3.8279,4.1104,82.7901,62.0167,15.8776,68.8989,404.5116,5.8934,2.2796,4.8676,3.4984,14.8424,3.7031,13.5601,329.2012,98.0451,314.5603,32.305,401.1298,74.1293,7.3628,3.8388,35.4968,11.4634,17.1808,0.0
IRL_J62_63,10.763,1.1311,0.3302,0.8857,0.0132,21.8887,0.4157,0.5976,0.4813,16.5128,3.7968,30.1381,2.5101,1.5333,1.4089,4.5679,27.3872,0.8983,5.7687,0.7658,1.4185,11.1453,7.9901,2.9937,21.2096,148.9988,2.5269,0.8134,3.8861,2.6782,6.086,3.6901,17.9067,25.5272,268.6522,193.1024,6.3855,129.9029,77.4082,4.5218,1.5841,31.0734,2.6418,6.223,0.0
IRL_K,22.439,2.6849,1.2315,3.4705,0.0245,36.0328,0.9482,1.6819,0.9857,32.3871,5.7169,23.5291,4.9693,2.3876,3.1308,4.0053,68.1056,0.9274,6.2338,1.3351,3.817,18.0792,11.1819,2.6688,40.1846,65.2239,3.5158,0.4809,6.9551,2.1974,1.1423,8.2582,9.7221,2.1275,2.7966,189.1456,30.7421,15.9468,42.9029,4.5231,1.3404,9.3688,7.5752,6.3179,0.0
IRL_L,0.3606,0.0,0.4945,1.8248,0.0226,4.6806,0.462,0.494,0.1473,1.9321,7.4573,9.6201,1.5189,1.3589,1.2365,1.499,4.1489,0.2838,1.9445,0.3349,0.2606,17.658,11.235,5.9113,32.1571,190.8558,1.8778,0.2271,1.5323,3.5141,3.1671,16.7045,3.6473,13.5473,10.5492,424.5393,20.9989,55.2578,60.5779,106.824,17.5242,54.5676,10.1865,2.8539,0.0
IRL_M,29.8525,2.0961,10.1952,16.8514,0.5978,299.8883,3.4977,4.7851,2.5471,23.5499,131.772,617.378,14.7058,16.1732,9.4762,13.8734,81.1436,17.9652,22.2372,8.0685,9.9065,118.0511,71.0776,32.5995,620.6281,1549.2527,55.8656,13.7459,62.4131,55.6438,29.8544,86.83,191.3752,218.5523,1033.2785,2434.1999,314.5053,1759.0809,1009.5624,33.7508,20.0394,175.1524,44.4494,62.567,0.0
IRL_N,3.14,1.4898,5.6783,8.0119,0.2254,56.0308,2.1196,2.5345,1.6505,21.3747,50.9171,191.9221,8.6961,7.2833,6.0765,8.5467,43.1015,2.5655,13.2714,3.4458,2.6426,56.7585,51.2157,8.9753,381.3784,1077.7938,36.9855,15.2288,84.7122,50.5244,15.1667,75.6429,171.2244,281.9733,1226.5758,856.8435,54.0023,887.4593,533.1595,3.8834,74.2673,431.6606,39.1312,141.838,0.0
IRL_O,2.6729,0.1275,0.9125,0.4858,0.0154,79.8397,2.9574,3.6956,0.8115,1.9591,3.5546,83.6911,13.9048,5.1306,14.4593,13.5226,17.7381,2.2012,9.4299,1.8636,16.7557,99.3975,8.2789,2.6345,275.3318,227.0657,174.2343,1.7092,13.1062,1.2328,48.2339,6.5443,11.9929,4.1282,8.5271,29.5569,481.9569,308.7598,42.7566,58.8906,0.0045,430.1542,2.0584,6.4952,0.0
IRL_P,0.0346,0.0,0.0025,0.0009,0.0085,6.0803,0.0704,0.0265,0.0486,0.6858,0.4539,8.8587,0.5523,0.1579,0.2059,0.2723,8.3569,0.2961,1.2465,0.1009,1.1562,1.9783,0.4487,6.8814,11.2867,15.204,0.0818,0.8205,6.6959,3.1687,4.0375,2.3326,0.4818,37.0894,106.2069,138.5068,18.427,781.7187,130.8666,83.7639,421.3531,398.3669,1.4869,8.7064,0.0
IRL_Q,0.0396,0.1783,0.0055,0.0036,0.0052,22.2351,0.3335,0.1588,0.1729,1.0955,3.6139,56.0215,2.8149,0.6428,0.7085,1.5667,11.1886,0.9727,1.9063,0.2927,5.7192,16.2418,2.3495,4.1391,1.2227,32.6888,0.7131,0.2153,2.6626,0.5523,0.2653,3.2965,0.3928,2.6665,16.7396,57.847,0.7051,14.057,12.0026,12.7042,0.0275,269.0229,1.9211,4.2833,0.0
IRL_R,0.5738,0.0901,0.323,1.0714,0.0014,20.9827,2.0172,2.1464,0.6402,0.006,32.4225,52.3811,6.6038,5.3153,5.2473,6.516,22.5872,0.9639,10.5859,2.9473,1.8094,197.8686,34.3305,23.3181,1.5014,35.7309,3.3842,0.1537,4.9996,5.0714,1.4445,0.7894,91.9175,6.3831,59.8724,46.6891,1.1237,40.6099,52.6162,1.1269,2.3388,4.5051,92.8831,48.517,0.0
IRL_S,37.1465,6.7416,2.8267,8.3786,0.0158,38.3184,3.7559,4.016,1.1979,55.7232,60.6636,188.8715,12.3558,9.9451,9.9957,12.1918,81.443,1.8035,38.1697,5.5146,4.6541,130.2547,91.3941,33.7031,1.7917,17.6305,3.5936,0.8372,12.6076,1.3308,24.6375,4.682,35.4668,14.998,32.3164,123.0324,4.174,95.3485,69.1742,97.9882,23.085,41.5986,18.0789,269.0296,0.0
IRL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
