V1,NGA_A01_02,NGA_A03,NGA_B05_06,NGA_B07_08,NGA_B09,NGA_C10T12,NGA_C13T15,NGA_C16,NGA_C17_18,NGA_C19,NGA_C20,NGA_C21,NGA_C22,NGA_C23,NGA_C24,NGA_C25,NGA_C26,NGA_C27,NGA_C28,NGA_C29,NGA_C30,NGA_C31T33,NGA_D,NGA_E,NGA_F,NGA_G,NGA_H49,NGA_H50,NGA_H51,NGA_H52,NGA_H53,NGA_I,NGA_J58T60,NGA_J61,NGA_J62_63,NGA_K,NGA_L,NGA_M,NGA_N,NGA_O,NGA_P,NGA_Q,NGA_R,NGA_S,NGA_T
NGA_E,23.8355,0.0,3.7523,0.0001,0.03,0.3299,2.9161,0.3074,0.6013,0.3234,0.1607,0.0206,0.0439,0.1198,0.8744,0.638,0.0053,0.0106,0.1392,0.1026,0.0073,0.4328,0.0018,0.8123,0.0017,32.7227,1.3211,0.0,0.0,0.1662,0.0,1.3796,2.8312,0.8171,0.47,2.0268,16.4409,0.3463,0.0213,5.0803,1.136,2.9363,0.401,2.0429,0.0
NGA_F,2.3291,0.0719,1.894,0.0001,0.0302,0.044,1.118,0.1994,0.0004,0.0005,0.0,0.0,0.0411,0.2047,0.0,0.0,0.001,0.0,0.0,0.0001,0.0,0.3444,0.2299,0.3021,0.0215,19.2807,0.4299,0.0,0.0,0.0498,0.0,0.1195,0.7274,2.2919,0.7384,6.1009,9.4524,0.4792,0.2571,0.3557,1.3202,1.4834,0.0837,2.5507,0.0
NGA_G,10062.9046,87.5987,1321.7284,23.3153,1.9355,6598.0201,2158.2303,255.7833,75.3971,396.1882,103.0591,26.7939,217.4976,977.9936,96.9913,77.9312,3.6019,2.2591,16.984,30.1817,1.4647,255.089,127.7423,39.5507,4797.66,22615.8057,3751.1384,25.7488,32.2244,34.4556,16.1739,887.9798,852.5979,6162.0044,3313.0714,226.2331,771.1566,645.993,21.0971,974.6059,1273.4017,357.6063,52.7759,2134.0189,0.0
NGA_H49,261.5315,1.9438,35.5606,0.9626,0.3694,188.9296,63.2137,11.344,2.18,25.4879,3.294,0.6128,18.3842,100.0986,5.0949,3.3991,0.8002,0.0843,0.5852,2.0361,0.1141,14.6744,10.1671,8.7021,161.2564,948.0232,837.6824,0.9185,0.6939,9.1062,4.8009,21.7122,130.7686,1736.9029,1215.1587,102.2539,39.9642,123.2171,0.6592,106.4526,462.0725,62.6938,8.2387,856.0588,0.0
NGA_H50,1.4318,0.0134,2.763,0.0687,0.0032,1.594,1.9557,0.2446,0.1965,0.1433,0.0517,0.0085,0.0739,1.0885,0.1967,0.1841,0.0015,0.0027,0.0338,0.0555,0.0026,0.568,0.2379,0.0801,2.0151,6.1636,0.8534,0.0155,0.1177,0.0009,0.0081,0.259,0.4467,1.2433,0.7239,0.054,0.2413,0.1569,0.033,1.1792,2.8322,0.38,0.0667,1.1953,0.0
NGA_H51,13.2767,0.1113,13.8852,0.2854,0.0179,10.4701,7.7646,1.049,0.7891,1.5066,0.2902,0.0504,0.7285,5.4798,0.9104,0.8083,0.0118,0.0185,0.1608,0.2732,0.0133,2.3465,1.0485,0.3304,11.7646,42.2405,3.8095,0.1976,4.2481,0.7602,0.269,1.5756,2.0032,10.7327,8.2475,0.4157,1.1252,0.8711,0.1612,5.372,11.1821,2.2547,0.3781,6.3162,0.0
NGA_H52,34.4191,0.1806,3.1374,0.0889,0.0153,21.1151,10.4151,17.0868,0.1807,2.4146,0.3408,0.0662,1.1946,11.4866,0.5557,0.389,0.0093,0.0089,0.0687,0.2368,0.0129,5.1628,0.501,0.0564,28.534,70.193,2.9138,0.0115,0.0283,1.1268,0.127,1.7588,0.4244,12.581,5.3158,0.0463,0.2102,0.1305,0.0528,2.8251,0.8077,0.4206,0.0361,1.1112,0.0
NGA_H53,0.0143,0.0,0.3554,0.0022,0.0016,0.0968,0.6519,0.418,0.0595,0.0019,0.0161,0.005,0.04,0.1109,0.0,0.0,0.0004,0.0,0.0,0.0,0.0,0.2925,0.2481,0.1443,0.0233,8.6612,1.2442,0.0,0.2914,0.1093,0.0868,0.0768,0.6035,0.795,0.2425,1.2818,1.9943,0.7512,0.1818,1.1968,1.3472,1.4423,0.4641,7.3815,0.0
NGA_I,0.4186,0.1058,40.4459,0.0,0.0141,0.1356,0.5126,0.8093,0.1281,0.0181,0.3293,0.1179,0.0707,0.239,0.0473,0.0555,0.0176,0.0011,0.0096,0.0,0.0,0.6498,0.3724,0.1858,0.6966,36.5401,9.8186,0.0,4.9584,0.6991,0.4255,2.2841,17.1251,38.6699,25.2137,15.3815,8.8511,13.3265,0.4143,2.6082,49.5344,20.053,6.2799,92.2511,0.0
NGA_J58T60,9.414,0.0,20.5344,0.0,0.002,0.0002,0.0009,0.0004,0.0019,0.0292,0.0005,0.0002,0.0001,0.0004,0.0004,0.0003,3.7601,0.0004,0.001,0.0,0.0,0.0844,0.0014,0.0096,12.0662,62.7992,293.3738,0.0034,0.003,0.0044,0.0006,74.6008,9683.0396,8532.4808,3727.7228,0.0174,21.7078,1759.5582,0.5161,1.0771,1130.5896,287.1932,136.3659,1.6462,0.0
NGA_J61,6.1542,1.1081,79.1185,0.545,0.0603,10.6799,26.2373,16.0139,13.8334,0.0345,3.2336,0.9125,1.4459,231.5263,0.0,0.0,0.9708,0.0,0.0,0.0,0.0,17.9679,3.5021,1.5562,34.236,267.4996,526.5372,0.0,87.439,5.0546,40.6859,79.5634,4197.5534,2204.272,208.1594,3578.9996,6627.123,9623.682,3.1695,104.9626,856.965,503.9963,137.4028,2116.1325,0.0
NGA_J62_63,0.0173,0.0,21.4759,0.0,0.0898,1.347,1.2974,2.4298,20.1949,0.0338,1.4123,0.4165,0.4729,1.6081,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,4.5689,4.7794,0.8399,0.0,454.7641,11.0156,0.0,0.0,3.6306,36.7364,0.0,23.9474,9.8014,18.102,222.5025,0.0,11.152,2.5815,12.433,32.6193,17.1732,0.8014,5.4631,0.0
NGA_K,220.1163,19.3352,67.5148,0.4091,0.382,13.9618,98.0275,4.5751,3.7346,0.7664,3.9922,0.9803,2.0498,3.9568,0.2015,0.1924,0.1327,0.0042,0.0391,0.0546,0.0025,31.7266,8.2707,2.1437,10.9128,791.1139,70.7245,0.0165,30.5485,9.7401,2.9219,3.3323,74.9326,297.6044,146.4875,9569.8802,595.8818,136.5236,2.6399,15.7554,229.7479,32.5797,15.5544,414.101,0.0
NGA_L,0.3208,0.0,11.5634,0.0757,0.0173,8.8696,6.6356,0.4457,0.1116,0.0098,0.0633,0.0167,0.1024,14.2176,0.0,0.0,0.3981,0.0,0.0,0.0,0.0,3.2568,9.6062,1.1587,5.0329,281.3359,37.2447,0.2904,22.8343,0.7904,0.743,57.707,443.1438,903.2413,465.4549,41.0076,1741.2522,100.2533,0.23,59.6266,676.2496,28.5919,4.2431,622.8762,0.0
NGA_M,148.3529,32.3358,638.2136,7.2887,2.1626,119.05,464.0291,26.5239,12.4225,1.1646,5.4994,2.6225,7.6776,54.2611,0.0,0.0,0.9893,0.0,0.0,0.0,0.0,137.2422,323.8865,25.008,159.8092,3493.3925,808.3483,3.7402,343.532,53.2332,29.22,25.6268,970.2055,2243.8194,1684.8735,1133.4917,3118.6101,6622.3996,22.8635,333.1055,436.6537,399.0037,12.9687,2765.9301,0.0
NGA_N,0.0607,0.006,4.7313,0.0043,0.021,0.0218,0.0564,0.0458,0.0382,0.0006,0.0213,0.0081,0.0045,0.0286,0.0,0.0,0.0002,0.0,0.0,0.0002,0.0,0.1413,0.1122,0.0187,0.0103,19.287,0.2176,0.114,0.0388,0.034,0.0181,0.0189,0.4267,0.383,0.192,0.0952,0.2613,0.2543,0.3341,0.0918,0.2375,0.5652,0.0831,0.4646,0.0
NGA_O,0.0,0.0,0.0043,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NGA_P,0.0,0.0,0.64,0.0002,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033,0.0419,0.0,0.0,0.0,0.0
NGA_Q,0.0,0.0,0.1432,0.0,0.0,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.0014,0.001,0.0,0.0,0.0,0.0,0.0002,0.0,0.0089,0.0,0.0018,0.0
NGA_R,0.0094,0.0008,1.47,0.0003,0.0001,0.0005,0.0027,0.0001,0.0001,0.0003,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0081,0.0,0.0,0.0,0.0,0.0035,0.0001,0.0,0.0004,0.5762,0.656,0.0,0.001,0.0004,0.0001,0.021,11.765,18.3741,0.2912,0.4096,0.0144,0.2464,0.0073,0.1635,8.06,0.2226,1.4456,0.015,0.0
NGA_S,0.0,0.0,45.9933,0.0295,0.0141,0.1484,0.1449,1.5604,0.4634,0.0703,0.177,0.0513,0.0591,0.2011,0.0216,0.0231,0.7535,0.0093,0.0222,0.2595,0.0123,0.9073,0.5665,1.0644,1.0091,75.6493,1501.0687,4.3128,3.4237,3.9666,2.4695,32.0089,320.4098,1698.3635,1768.1727,57.5755,70.6907,76.5467,3.0089,19.5337,857.2079,6.6351,2.6565,1553.3742,0.0
NGA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
