V1,TUN_A01_02,TUN_A03,TUN_B05_06,TUN_B07_08,TUN_B09,TUN_C10T12,TUN_C13T15,TUN_C16,TUN_C17_18,TUN_C19,TUN_C20,TUN_C21,TUN_C22,TUN_C23,TUN_C24,TUN_C25,TUN_C26,TUN_C27,TUN_C28,TUN_C29,TUN_C30,TUN_C31T33,TUN_D,TUN_E,TUN_F,TUN_G,TUN_H49,TUN_H50,TUN_H51,TUN_H52,TUN_H53,TUN_I,TUN_J58T60,TUN_J61,TUN_J62_63,TUN_K,TUN_L,TUN_M,TUN_N,TUN_O,TUN_P,TUN_Q,TUN_R,TUN_S,TUN_T
TUN_C25,1.2305,0.1372,0.4017,0.4447,3.5319,59.5113,33.29,4.2998,2.2339,0.0203,3.7507,1.018,4.9552,5.4964,15.7855,114.586,45.9961,37.495,68.7357,55.9202,16.5811,20.1038,8.1949,0.0223,164.5914,2.2092,2.0324,0.4419,0.3412,1.6122,0.5426,2.2488,0.756,1.3553,3.3619,0.2478,5.0169,9.7231,7.2413,3.7953,0.0538,0.07,0.1364,0.1981,0.0
TUN_C26,0.1783,0.031,0.0575,0.0542,0.1536,5.6676,5.1403,0.5064,1.8274,0.0037,0.9355,0.4515,1.0995,0.607,1.1535,8.4152,138.6007,19.6853,13.9881,14.4861,7.3835,11.6379,4.5101,0.0086,16.542,1.7204,0.9959,0.2097,0.471,0.8368,0.4979,0.9407,1.9059,4.6873,11.8958,0.4472,1.0183,10.634,3.878,4.9941,0.1243,0.2857,0.1619,0.5217,0.0
TUN_C27,0.107,0.0223,0.0428,0.0579,0.4828,4.0227,2.9722,0.234,0.3679,0.0026,0.3499,0.112,0.4658,0.3967,1.2409,4.3794,22.6126,38.9115,14.0983,11.5599,3.3545,4.6909,6.4955,0.0044,32.7686,0.9774,0.7948,0.1117,0.1292,0.384,0.1245,0.5514,0.265,1.032,1.6561,0.0964,1.1581,3.6554,1.8996,1.1987,0.0234,0.0305,0.0701,0.1157,0.0
TUN_C28,1.2175,0.1509,0.6498,0.7626,3.3229,29.0161,31.5769,2.295,4.4586,0.021,2.2972,0.8777,3.2531,4.5067,8.8771,17.8949,23.4516,14.8697,112.5582,39.7102,11.2719,13.0602,10.6889,0.024,68.0938,1.8499,2.8229,0.82,0.9352,1.9664,0.914,1.202,1.4083,1.3145,2.4474,0.2496,2.1629,7.4519,6.8393,2.4676,0.0476,0.0873,0.1423,0.2226,0.0
TUN_C29,0.3701,0.0394,0.062,0.0927,0.136,3.7064,4.198,0.3393,0.49,0.0028,0.392,0.1401,0.6263,0.6697,1.9691,6.2137,11.2473,4.7462,10.2709,95.2619,4.8326,9.7012,1.6118,0.0062,6.7364,1.3431,3.7107,0.0813,0.2453,0.5866,1.7122,0.3905,0.2088,1.0028,0.949,0.1536,1.1175,2.8476,5.1306,1.4851,0.0164,0.0333,0.0768,0.0833,0.0
TUN_C30,0.0849,0.0236,0.0132,0.0126,0.0063,0.1356,0.2259,0.0325,0.0531,0.0005,0.0198,0.0072,0.05,0.0219,0.8339,1.7941,4.0048,1.6523,4.1061,4.6236,10.8586,0.7923,0.1009,0.0006,0.2455,0.0847,0.6978,0.9823,0.8825,0.3154,0.1458,0.0883,0.0077,0.0736,0.1712,0.0501,0.1428,0.562,0.3805,0.3201,0.0034,0.0041,0.0144,0.0168,0.0
TUN_C31T33,0.1951,0.0316,0.6649,1.7026,3.0799,12.8404,21.3092,1.4954,0.7774,0.0011,0.3729,0.2741,1.0428,0.5619,0.3623,0.9239,2.0874,0.7732,0.9802,1.2013,0.5139,11.5474,0.0243,0.5926,35.7653,5.4894,9.9226,1.8414,5.0525,4.4949,1.1788,0.6406,0.4993,3.464,5.2362,5.7782,5.4709,14.4806,13.9258,5.1536,0.1589,0.6614,0.3397,0.1883,0.0
TUN_D,8.7873,0.5129,83.6655,16.1637,3.6486,81.5008,125.6201,3.4785,8.451,0.099,8.3033,1.6645,5.0545,52.7544,33.754,35.3488,34.0367,19.2399,20.4876,18.5798,6.4407,5.8756,5.4976,19.619,4.7099,27.8233,5.7412,0.3292,0.6314,3.5212,1.6258,8.7424,1.2527,7.3494,9.5929,3.129,17.6174,20.5808,12.1141,21.3224,0.5812,1.0743,1.2449,0.8294,0.0
TUN_E,5.765,0.5478,0.6776,0.4209,1.2418,6.7144,13.475,0.1771,0.6007,0.0046,1.981,0.5436,0.2385,0.8065,0.9458,0.8321,0.6569,0.3512,0.5658,0.3726,0.2033,0.2914,0.7006,0.0216,2.1163,2.3796,0.1512,0.0264,0.0337,0.124,0.0206,1.3043,0.1489,0.0334,2.0657,0.0508,4.7259,6.6109,3.8133,2.8388,0.0502,0.1095,0.0939,0.0822,0.0
TUN_F,6.0717,0.669,36.5036,2.0897,3.514,15.5542,15.2864,0.3122,0.7189,0.3821,1.9336,1.6505,0.4421,8.8822,5.4152,8.5854,3.7562,2.3847,2.9924,1.536,0.53,0.5194,1.4312,10.0158,81.2364,12.0865,3.3314,0.7476,1.1927,1.0892,0.2538,1.2516,0.1388,0.7704,3.2102,1.833,7.855,6.6198,3.298,4.5151,0.0912,0.1435,0.1734,0.1307,0.0
TUN_G,75.8148,12.1752,9.7846,7.569,5.1005,317.054,165.747,23.211,32.3772,0.9703,18.4149,10.6984,14.9232,26.0424,20.7806,53.7737,77.4885,36.1059,67.8316,73.8529,15.7141,38.12,15.7981,3.5597,182.0503,30.4207,46.2425,8.2105,15.9168,6.5889,3.7286,43.7801,15.5161,5.1494,9.9211,4.6372,7.1365,22.9893,15.2252,28.3615,0.6696,1.3278,1.4524,1.8324,0.0
TUN_H49,10.5836,1.2026,148.5564,16.6507,10.026,71.178,122.8347,5.8925,8.0881,2.085,15.6601,6.6903,5.3453,106.7737,11.1437,26.4708,24.0822,14.4073,26.9975,24.2556,4.8014,7.7399,5.4289,0.7466,98.4449,161.0315,116.0249,8.064,12.1602,37.2103,4.309,22.9653,3.6198,2.9106,10.2433,11.3287,6.2943,25.0008,23.6189,42.0641,1.2262,1.3074,1.7831,1.892,0.0
TUN_H50,0.3209,0.0224,0.0014,0.0022,0.0038,1.9517,0.1281,0.0948,0.1368,0.6822,0.4239,0.2745,0.1261,0.0009,0.0435,0.1412,0.1479,0.0742,0.1475,0.197,0.0248,0.2165,0.3602,0.0301,0.4446,0.0602,0.0008,0.0006,0.0009,0.0006,0.0013,0.0988,0.0242,0.0112,0.0015,0.0033,0.0018,0.006,0.0039,0.0014,0.0001,0.0017,0.0023,0.0017,0.0
TUN_H51,2.0637,0.2706,3.1186,0.5499,0.2482,10.0733,9.1892,0.7683,1.1848,1.6416,2.6224,1.2959,0.9412,1.9095,1.1537,2.6294,2.9709,1.6512,3.016,2.9066,0.6771,1.3303,2.0111,0.1603,7.3101,3.1877,2.3267,0.5273,3.4175,1.6702,0.2534,1.6869,0.3257,0.3614,0.7349,0.8355,0.3982,1.5757,1.6758,1.9976,0.0366,0.0651,0.0878,0.1092,0.0
TUN_H52,2.3546,0.3861,56.5977,7.593,3.3077,17.2478,49.26,1.5046,2.1531,0.1267,3.7863,1.6272,1.4192,47.4958,4.6056,9.5858,9.0507,5.8493,8.7218,9.5291,2.2283,1.8408,1.287,0.1689,31.6799,108.3872,143.2237,54.0393,76.2384,127.5275,2.5973,7.0807,1.3563,1.5893,4.6406,3.7733,2.3358,8.9402,11.1434,12.8304,0.1945,0.2676,0.4608,0.7688,0.0
TUN_H53,0.7153,0.1075,4.2195,0.3597,0.2338,3.0882,39.1749,0.1843,0.441,0.0071,0.5176,0.3155,0.2387,1.6638,1.2435,4.6848,6.2285,2.5544,4.7939,3.2882,1.4108,0.4312,0.7985,0.0694,4.8339,15.9443,0.8545,0.1357,0.1899,0.7472,4.3495,0.4837,1.2077,2.0417,5.2847,9.9998,2.9883,13.3027,6.5766,26.176,0.3847,0.5511,0.6944,1.2356,0.0
TUN_I,0.0,0.0,0.111,0.3017,0.687,0.3438,3.7614,0.0609,0.1112,0.0236,0.0098,0.006,0.049,0.1602,0.0988,0.3637,0.2437,0.1771,0.2791,0.0,0.0,0.0,13.5462,0.0255,1.1454,1.6011,9.4846,1.0917,7.9526,3.8476,0.0,0.0391,0.6091,0.0,0.1485,17.4847,0.0551,0.2542,0.2127,17.6021,0.3742,0.707,0.604,0.6557,0.0
TUN_J58T60,0.3318,0.0525,0.4696,0.3764,0.2398,5.6785,13.2876,1.8744,5.9435,0.0072,0.6262,0.4182,1.2542,0.5956,0.3703,1.3623,2.609,1.34,1.3302,1.4487,0.7577,1.9649,0.1037,0.8606,2.5319,8.1537,0.8783,0.1543,0.4612,0.7163,0.2442,0.1776,28.2737,0.6145,3.9968,5.3868,1.1325,12.2061,2.7272,7.0584,0.4709,0.1678,0.7353,0.3416,0.0
TUN_J61,2.3517,0.3235,15.6013,1.0957,0.8771,8.0351,100.2793,0.565,1.0869,0.0194,1.2445,0.7131,0.7485,5.0451,3.5414,13.249,16.3923,6.8863,12.4272,8.2183,3.3691,1.4641,1.7528,0.1762,18.4272,30.7169,3.2389,0.3986,0.7571,1.7688,0.3429,1.9498,5.5885,6.3144,25.6641,23.3486,10.0069,35.9083,16.6664,74.8689,1.1388,2.1657,3.7268,2.7648,0.0
TUN_J62_63,1.519,0.254,4.1546,1.5351,0.6262,6.4212,24.1886,0.3841,1.0605,1.3116,0.3296,0.193,0.5409,1.0902,0.7682,2.7354,6.1985,2.0995,2.8672,3.1978,1.0778,1.166,1.7768,0.1727,13.2511,2.1498,3.0551,0.512,1.691,2.2955,1.7391,0.4394,2.8949,7.6697,14.0229,9.9559,1.3946,5.9299,2.2052,13.1226,0.1869,0.3381,0.7327,0.455,0.0
TUN_K,98.2085,7.0973,31.7713,11.2248,5.9432,76.0765,111.1855,6.2779,11.568,1.0683,14.2871,5.7687,8.4174,21.7569,12.6614,29.0229,34.3404,17.7523,24.6064,26.8157,8.8618,10.3027,5.2917,5.6783,94.8212,72.2104,50.2324,9.753,14.4163,22.7626,4.5021,36.5881,8.3258,12.0408,37.8888,58.5294,95.1779,83.4818,68.4434,60.6071,1.0898,1.9215,3.2274,2.7675,0.0
TUN_L,3.3777,0.4089,3.6681,1.7016,0.9988,12.5913,32.3462,0.9588,2.0539,1.401,0.3962,0.2014,1.3603,1.7613,1.3885,6.2846,5.0128,2.9786,4.2271,3.3915,1.3978,4.0938,1.2905,0.1754,28.1684,6.5329,5.0173,0.5044,0.995,4.4995,2.2055,1.5106,2.4547,7.2529,4.3894,8.4771,12.7313,13.5899,6.3208,23.7245,0.8214,1.4092,2.0031,1.7232,0.0
TUN_M,11.1508,1.3289,15.1741,6.1453,11.9501,47.4528,71.3586,2.4699,5.4306,6.1202,2.6116,2.3765,3.79,5.2384,4.3722,11.9325,23.0584,12.856,14.4793,17.6537,4.6364,6.9796,4.3921,0.6564,79.4459,9.4119,9.4114,1.9754,3.5435,6.8177,2.9814,1.5452,9.7999,13.5453,14.7773,23.5194,9.8392,71.7714,13.6158,43.2328,1.0215,1.6307,4.7106,3.244,0.0
TUN_N,6.2766,0.804,7.8224,4.0014,11.3325,20.7514,38.5555,1.5837,3.0834,3.2001,1.0514,0.6575,2.1094,3.6433,2.4654,9.0721,11.0924,5.561,7.3902,7.8411,3.0082,5.4988,3.0869,0.572,52.9143,6.2414,11.7819,2.3653,4.7319,7.993,5.1653,1.3106,5.1073,11.1901,11.3629,13.5227,11.8961,24.886,20.2575,37.9568,0.9738,2.0642,3.331,1.9869,0.0
TUN_O,0.0,0.0,0.0,0.0,0.0201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TUN_P,0.0,0.0,0.0,0.0,0.0015,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0001,0.0001,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0002,0.0001,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
TUN_Q,0.0,0.0,0.0,0.0,0.0012,0.0001,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0001,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0001,0.0001,0.0001,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0,0.0
TUN_R,0.0,0.0,0.0006,0.0017,0.0493,0.0058,0.0113,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0,0.0003,0.0158,0.0044,0.0061,0.0031,0.0022,0.0046,0.0021,0.0015,0.001,0.0037,0.009,0.0098,0.0046,0.0363,0.0202,0.0027,0.0002,0.0001,0.0045,0.0003,0.0
TUN_S,0.0001,0.0,0.0009,0.004,2.3522,0.0086,0.0187,0.0001,0.0002,0.0002,0.0001,0.0,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0005,0.0286,0.0089,0.0097,0.0017,0.0039,0.0061,0.0043,0.002,0.0003,0.0079,0.0217,0.0226,0.0131,0.0434,0.02,0.0043,0.0001,0.0003,0.0003,0.0008,0.0
TUN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
