V1,AUT_A01_02,AUT_A03,AUT_B05_06,AUT_B07_08,AUT_B09,AUT_C10T12,AUT_C13T15,AUT_C16,AUT_C17_18,AUT_C19,AUT_C20,AUT_C21,AUT_C22,AUT_C23,AUT_C24,AUT_C25,AUT_C26,AUT_C27,AUT_C28,AUT_C29,AUT_C30,AUT_C31T33,AUT_D,AUT_E,AUT_F,AUT_G,AUT_H49,AUT_H50,AUT_H51,AUT_H52,AUT_H53,AUT_I,AUT_J58T60,AUT_J61,AUT_J62_63,AUT_K,AUT_L,AUT_M,AUT_N,AUT_O,AUT_P,AUT_Q,AUT_R,AUT_S,AUT_T
AUT_H52,33.5302,0.4345,2.4306,30.7105,2.6876,224.5185,14.527,79.6175,68.9036,19.1028,114.4702,16.7169,33.8037,85.8227,100.5108,74.1813,21.6237,46.7862,96.3301,35.7198,10.3662,56.4816,323.4187,83.8294,252.3073,900.0595,567.6442,51.8899,548.7029,1042.5908,4.9079,55.2449,13.5882,11.3208,39.5639,38.3093,105.5656,95.1013,44.218,63.2317,26.6141,75.0969,10.1371,19.3781,0.0
AUT_H53,5.8234,0.1938,0.3575,1.8906,0.2186,25.1861,2.5045,7.881,8.9623,0.2324,5.0712,4.2671,5.8943,7.3821,13.2075,16.9585,4.397,2.7625,30.676,5.0673,2.5256,16.3228,11.0569,10.6273,45.368,274.3183,14.6719,0.4314,1.748,28.1025,1115.4668,22.2266,24.1771,8.6436,38.9469,136.265,31.0427,147.1193,38.6545,117.3139,20.654,69.1763,14.6418,107.7535,0.0
AUT_I,9.5932,0.2942,0.6577,5.5938,1.1729,146.0298,9.4302,27.8478,16.0765,0.4619,24.9433,19.1243,13.6856,24.5206,45.3978,66.214,21.2088,11.5394,113.3861,12.6706,9.8179,63.7852,43.609,36.3459,215.4291,558.9435,81.1875,11.9201,85.4016,54.5809,6.405,252.3921,12.9096,21.5721,39.7335,297.5111,31.4023,319.9083,454.4634,154.7834,84.9269,127.4311,15.1092,52.4013,0.0
AUT_J58T60,2.5031,0.0644,0.2281,0.9299,0.1031,239.2735,2.6286,5.1942,22.2819,0.5458,7.5597,12.2781,4.4785,5.3432,7.7122,11.0236,12.9009,8.6445,17.3606,18.5897,4.164,20.8348,7.7565,6.0573,33.2027,206.2978,11.164,0.2274,4.0913,10.1485,3.9589,14.3895,541.3649,26.8313,82.3192,87.0793,28.9545,752.9641,70.8311,64.3143,44.3304,28.3377,16.1203,11.525,0.0
AUT_J61,18.7221,0.4457,0.8014,3.9191,0.495,43.3894,4.8279,12.1993,16.9782,0.5284,9.4669,8.0537,10.667,13.5422,23.5405,32.1031,14.2518,10.8182,59.2134,9.9301,4.5605,43.0917,23.3014,20.572,90.1179,478.9071,35.2839,0.9021,5.5706,78.2917,10.5577,40.3063,167.1277,1176.4774,94.4503,289.5941,55.3376,283.9979,69.7979,184.6714,44.325,141.4543,27.3283,54.6446,0.0
AUT_J62_63,6.3562,0.1354,1.638,5.9373,0.6007,113.436,11.341,16.5735,36.2301,3.7805,29.9513,48.8613,20.429,33.4636,43.4591,65.1858,33.5347,51.2643,88.339,32.2935,20.2261,67.9603,67.4564,28.1602,72.8104,851.2202,32.3712,1.1953,7.7983,60.2665,9.6969,60.8427,146.0076,136.82,3061.2001,546.884,53.0918,651.2379,120.2479,107.1217,62.1256,165.5185,35.7902,60.5898,0.0
AUT_K,228.0593,2.0652,6.7624,22.8135,1.8885,367.1109,33.9341,149.558,124.7478,21.4587,164.931,77.7391,82.2284,124.5406,248.9418,244.8175,118.0672,131.9316,395.0266,145.2318,56.2077,246.763,233.0906,162.5466,776.9724,2156.7019,293.3786,6.4374,59.1961,209.4296,32.5846,374.0809,92.9342,86.1908,391.6661,7170.1853,2392.2549,1136.8763,452.1998,949.4596,239.8155,445.3872,116.8186,192.3674,0.0
AUT_L,41.0687,1.3381,9.5145,23.7741,2.8038,302.33,37.1026,75.5746,74.0035,7.4328,54.5586,32.9502,88.5943,103.1523,82.703,226.7693,57.543,117.1451,281.7675,68.8513,41.3426,225.4217,89.326,133.9791,1121.48,3955.4623,422.6864,10.6307,34.7279,397.9061,66.5773,1022.508,145.3868,189.9996,355.5383,525.4371,3302.9422,1162.3566,416.2656,1587.9218,502.0784,1094.1915,165.9646,368.9461,0.0
AUT_M,103.1278,2.2006,20.8785,52.4467,7.2856,826.9319,49.8123,192.2081,152.8647,10.5774,217.9015,169.5312,151.8892,202.2873,411.8247,389.566,364.6391,156.3404,684.6929,306.0417,133.0572,417.7449,243.8274,199.8102,2354.7406,4216.9297,333.2513,6.8312,87.8873,290.4045,56.6267,411.6455,327.5436,192.6869,638.5426,1979.727,430.8584,6059.4797,637.6939,753.1271,216.2268,791.7481,193.0086,332.6744,0.0
AUT_N,124.649,2.2112,7.2226,26.6557,3.7781,301.439,22.3441,81.7639,105.7528,9.9676,247.1126,96.7053,58.6546,109.3119,172.341,245.8213,206.7082,178.6638,511.2745,180.7875,55.051,343.8669,219.5657,161.2247,1562.5298,1954.9137,550.991,19.5682,253.7148,342.4591,75.6237,339.3982,173.8429,154.1323,557.4412,718.2584,1733.4932,1297.922,2152.2297,778.2956,323.5465,811.8725,175.8353,224.7741,0.0
AUT_O,6.5384,0.154,0.5852,2.4044,0.2954,27.4922,2.4867,9.5638,9.6208,0.8946,9.3925,5.7726,5.3325,12.3959,19.5908,24.337,12.2611,16.124,43.9207,11.7967,7.0185,28.5747,24.0541,20.4843,191.3417,143.908,42.0504,1.943,20.3526,53.6394,6.4639,27.9318,17.1815,10.5478,113.3047,106.1748,70.4739,150.6038,57.9405,1041.6759,21.0378,52.0045,16.5302,15.4808,0.0
AUT_P,4.1797,0.2159,1.0318,2.19,0.2505,20.5806,1.9283,8.003,8.2074,0.4161,12.2065,8.2411,4.6361,6.3279,19.668,13.679,10.5957,9.2579,34.4249,9.1504,3.9403,17.9161,20.3424,14.3457,46.5508,116.1491,24.1083,0.1468,9.1272,20.9604,1.5075,9.1183,6.7737,4.9548,61.4816,89.762,13.3662,150.2823,18.9282,61.8992,146.9064,95.7188,9.3377,11.1835,0.0
AUT_Q,69.8891,0.0762,0.2582,0.9453,0.1228,29.3806,4.2315,3.7488,4.3978,0.3269,6.0509,10.081,3.0923,3.1722,3.6217,5.833,3.7638,4.4469,6.6624,3.0667,1.7159,8.495,8.6073,3.4458,12.2284,46.1211,11.9205,0.2519,3.07,8.007,1.2708,19.0829,4.3396,4.893,50.6018,16.1554,15.0818,59.2493,7.5591,68.9168,14.1996,739.174,2.0481,6.9997,0.0
AUT_R,2.0279,0.039,0.2064,0.5998,0.0796,60.6317,1.6146,3.119,6.6682,0.3358,5.2399,2.873,2.7457,3.5473,6.3147,6.9084,4.14,3.8708,11.8934,2.8955,1.4947,12.236,5.2923,3.3313,21.8625,101.6021,9.3998,0.2402,3.3283,7.314,2.9651,35.7127,111.4615,10.5936,23.0332,30.6528,23.5329,68.8865,19.5531,19.1414,11.0261,17.8929,146.6447,6.9141,0.0
AUT_S,16.678,0.0929,0.4012,1.7695,0.2781,24.7518,5.8086,5.9305,5.5339,0.4607,5.9766,3.7342,4.0783,5.8895,9.0653,10.6181,4.647,5.7373,18.4033,5.8262,2.474,32.2791,6.1579,8.4123,48.6579,205.7007,14.3776,0.3179,3.1456,9.7265,2.0641,120.8198,9.3117,5.2769,47.7792,46.0999,26.2411,95.6187,21.4197,45.5486,13.236,192.8569,9.9793,130.0167,0.0
AUT_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
