V1,CHN_A01_02,CHN_A03,CHN_B05_06,CHN_B07_08,CHN_B09,CHN_C10T12,CHN_C13T15,CHN_C16,CHN_C17_18,CHN_C19,CHN_C20,CHN_C21,CHN_C22,CHN_C23,CHN_C24,CHN_C25,CHN_C26,CHN_C27,CHN_C28,CHN_C29,CHN_C30,CHN_C31T33,CHN_D,CHN_E,CHN_F,CHN_G,CHN_H49,CHN_H50,CHN_H51,CHN_H52,CHN_H53,CHN_I,CHN_J58T60,CHN_J61,CHN_J62_63,CHN_K,CHN_L,CHN_M,CHN_N,CHN_O,CHN_P,CHN_Q,CHN_R,CHN_S,CHN_T
CHN_D,16176.9432,1482.2241,33403.6321,31247.9489,780.2597,8117.7371,8505.8373,3697.9472,7764.6908,9357.3346,49254.7589,4208.9957,7814.0209,39206.7953,79614.2891,27533.446,13273.0083,9075.2675,16673.7463,6025.075,2261.6988,4068.7715,247980.8626,13142.0812,43503.7879,14838.5574,34385.5412,56.9162,141.9608,818.9857,577.8061,4810.6948,773.3136,4903.041,1760.1306,2078.1034,1959.4187,6103.0947,392.2236,5455.7644,3579.2239,2377.217,205.7391,1444.4715,0
CHN_E,3407.7621,473.9112,929.6474,873.1948,27.8521,1711.6257,875.8958,150.074,14158.5971,433.0039,2372.2195,349.8378,3080.3519,2704.8602,73743.2459,7569.2479,1025.7374,740.2436,1131.5012,423.657,293.6243,308.882,4534.9585,44912.2171,4223.8575,1750.8619,733.6071,202.8716,106.77,59.781,41.1264,1099.053,77.6981,238.451,130.32,302.8907,283.0237,795.4952,174.2973,662.1344,691.4147,514.2987,81.7274,209.4851,0
CHN_F,997.1399,43.6429,308.0832,68.7638,6.887,157.3486,162.8354,35.3278,78.6496,39.4698,314.6966,47.7624,93.1875,142.0704,177.4621,135.3952,586.2864,156.1023,405.8838,117.0662,51.5356,118.3714,2479.5776,953.6648,87508.0656,1443.5651,1091.522,3.2649,56.6223,103.7257,131.5545,507.5592,321.3271,466.8634,94.5955,976.136,3915.6287,676.6945,65.6765,5902.815,2446.206,718.077,102.5399,137.644,0
CHN_G,73255.8499,8626.8983,18889.9703,10761.0783,1298.8458,99436.5203,122927.7399,10239.3447,21921.8619,17197.5202,58657.953,22930.173,27603.633,37568.4372,47581.4239,30845.1336,86109.5378,43346.9407,55524.0375,92527.205,11371.1002,20849.2609,24105.2476,12008.2739,147861.5046,38103.7437,52850.177,4379.3199,3036.6053,9149.3943,2165.8371,29874.827,3523.5037,3808.9317,5205.6364,6641.8366,2150.9531,45386.6319,4384.0815,33240.8081,10205.6712,26072.2233,1008.2429,2748.2511,0
CHN_H49,37395.9048,4822.9263,12342.7803,7038.008,616.7946,36561.0292,23691.2215,5065.8839,9137.9812,13851.3427,29755.9831,8350.9296,10487.3979,28528.9933,38936.9711,16295.7725,21297.7159,18402.4604,26427.539,17923.7514,4188.4869,7064.6269,18028.2813,3845.8312,81472.3955,38991.8245,42363.6232,1218.0318,1020.5489,17357.0795,4697.8961,12567.6165,1645.566,1080.1088,2827.3287,3344.1574,905.3336,24840.9577,7617.4733,11685.002,6487.7919,8137.0567,374.4031,1421.1808,0
CHN_H50,6805.1611,1527.5532,2695.4425,1856.724,95.298,4428.9036,3111.0623,770.7363,1908.2553,4729.538,7459.5386,1320.3071,2755.5521,5494.5537,9451.1533,3307.8242,6164.4001,3942.5089,7282.2124,3537.6082,847.8481,1203.7834,3397.5728,777.8259,8880.1826,17618.4688,1181.2162,16786.3023,84.031,11424.021,45.6775,906.3094,113.9314,94.3969,285.2974,136.1571,42.4965,3811.9042,151.5148,492.8791,632.0047,541.2048,27.3848,140.6502,0
CHN_H51,2323.4075,197.9192,535.8818,466.3452,43.0215,1405.2902,1454.1302,255.3083,512.3227,2116.3391,1755.2015,793.9492,736.8614,1089.394,3011.0001,995.6924,3354.7059,1491.6132,2112.1782,1524.2324,320.5028,450.3316,1264.4752,247.8312,3653.2103,4307.5033,400.0875,61.1803,7659.9666,600.5594,1755.6176,388.3615,277.6477,267.5231,900.1375,598.1594,203.7055,7795.5916,1214.4775,5914.2572,3534.6903,423.2316,63.3989,147.9856,0
CHN_H52,5553.0249,559.1039,2414.8116,1556.2229,139.7936,6523.0127,9330.7482,1266.711,2285.2681,2735.0004,9174.2911,1570.492,5795.1748,5454.7963,10316.8737,4983.052,6459.5736,5531.067,6957.9552,7936.8515,1611.373,2500.1147,3106.4932,992.1675,17811.6971,7564.5341,8236.4815,7282.1682,512.9821,2641.7591,1289.0164,1999.7163,236.1753,207.8155,417.7541,345.5551,106.7254,3846.0893,320.6859,1146.744,594.5465,1665.1821,75.189,328.8155,0
CHN_H53,4281.1887,880.5998,980.0403,264.9256,28.6831,3759.1481,1189.7148,513.311,542.0162,367.7998,1672.133,1776.3497,757.5968,1782.6806,2519.5563,1553.6324,1669.8192,3005.1945,2107.6227,2211.0601,351.8099,707.3881,1493.3932,249.7274,5255.5247,19200.3335,574.3553,15.0314,55.7132,120.8158,3144.6643,623.1115,87.528,474.3051,1518.264,2273.1101,95.482,1769.5923,110.5465,1123.0717,782.2645,1303.6296,52.0673,112.0782,0
CHN_I,5051.548,527.2852,3021.378,2496.3874,189.4473,6284.3143,2802.8735,742.1862,2283.8678,1023.6495,5411.8349,5268.5696,2343.8146,6115.6148,5414.0541,5577.6365,7862.8087,5745.2716,8656.3518,4066.0497,1347.0823,1858.2866,3316.5261,2811.9051,22004.5688,15054.2749,17064.6086,329.5248,2656.0541,3841.1091,868.2433,1032.9403,3709.637,933.756,3069.1204,20966.4533,1673.9,49041.8776,7738.87,32431.6597,15417.6039,1967.2492,498.4585,1199.9357,0
CHN_J58T60,72.1357,2.5797,551.3623,205.3788,6.782,460.8166,621.1061,131.1977,210.5182,199.7828,544.6836,445.9015,604.5447,832.0576,1089.4528,622.9171,1155.3908,771.2777,1284.5633,357.728,111.8259,220.5105,822.705,504.4783,1100.5677,910.4234,425.3726,64.1297,268.6106,63.8357,71.301,428.3644,2663.4624,940.5331,517.452,703.0658,217.8277,2954.186,51.2119,5809.9506,2939.4674,224.8666,139.0523,120.2469,0
CHN_J61,2517.009,343.6577,507.6944,489.4416,23.7682,761.7569,614.8601,162.3706,419.918,102.6007,897.8243,528.1864,401.0077,1070.6721,548.8837,998.6411,2540.9263,1121.2631,1614.2376,573.6058,143.8172,298.1743,2712.8581,1128.1988,23539.3629,3776.4109,3265.1919,3533.0359,376.6325,576.8995,1732.1685,1155.6737,885.2664,25467.8048,32785.5738,8538.3329,1261.209,6126.3186,279.1566,28806.1051,7493.8578,5376.743,251.3338,302.7797,0
