V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T
BLR_C26,2.3201,0.0497,0.2408,0.0834,0.0703,4.0523,1.2723,0.9539,1.3766,0.5146,2.9077,0.6516,1.2013,0.856,1.1207,1.5077,77.5349,10.6102,9.3645,4.4992,2.8341,5.4347,2.1646,0.4761,6.9519,5.0834,0.9761,1.054,1.4775,0.624,0.1532,0.5726,1.8477,12.4688,5.4285,1.0078,0.1904,3.7629,1.1394,3.3112,1.1476,6.2543,0.8616,8.9296,0
BLR_C27,2.9014,0.0562,0.2634,0.1341,0.0943,4.475,1.3344,1.258,1.1191,0.4455,2.9793,0.4808,1.7894,1.4591,3.5541,2.4528,15.1235,38.9569,16.3902,9.2653,3.0703,6.8367,8.4852,0.5576,29.8756,4.863,1.4169,1.1412,0.9731,0.4731,0.0541,0.642,0.7167,3.4114,1.09,0.4021,0.3705,1.7541,0.7327,1.674,0.4101,1.0269,0.6145,3.6768,0
BLR_C28,18.056,0.2346,2.2761,0.9832,0.6202,14.2763,3.9078,5.175,4.4608,2.3295,10.3034,1.2868,4.3224,5.6419,6.8638,6.5734,5.2092,8.1263,68.5992,13.7898,5.7156,12.4515,7.6238,1.3385,25.9641,7.2418,3.7818,3.4988,3.8139,1.2376,0.1244,0.977,0.9803,2.0339,1.085,0.7377,0.4195,2.4104,1.5089,2.87,0.6164,1.7037,0.8138,2.7787,0
BLR_C29,5.3623,0.087,0.5043,0.2862,0.1347,5.4996,1.7531,1.6951,0.987,0.501,3.3825,0.4865,2.8242,2.5136,10.6752,4.7674,2.5564,5.3173,15.2355,290.9869,4.5594,8.2323,1.0213,1.2757,7.5324,35.5306,18.5608,1.3717,1.1643,2.0392,0.242,0.5258,0.4475,0.8219,0.5042,0.4919,0.1804,1.6251,1.8757,2.7487,0.5491,0.8953,0.5031,3.161,0
BLR_C30,0.2177,0.1744,0.0223,0.0103,0.0051,0.3306,0.0767,0.0925,0.0619,0.0325,0.1682,0.0361,0.0995,0.0682,0.126,0.1662,0.1727,0.1652,0.551,0.6968,35.5211,2.2775,0.0915,0.0281,0.4092,0.3867,1.1657,10.0595,5.5351,0.2436,0.0068,0.0285,0.029,0.0463,0.03,0.0307,0.0108,0.0998,0.0916,3.3652,0.0331,0.0525,0.0434,0.3991,0
BLR_C31T33,27.9904,0.6354,2.2533,1.0661,0.5733,25.2398,13.8849,10.2874,7.4657,3.8068,17.5008,3.0392,5.4996,7.252,10.3544,5.455,5.2022,4.5754,13.3488,5.211,3.9215,46.4528,15.2162,2.8403,26.3811,10.2872,9.7019,10.5406,16.245,2.8702,0.3673,3.5348,2.3026,4.1949,3.0488,3.4224,1.1152,5.7832,3.682,10.4893,5.1056,24.5261,4.8696,7.3775,0
BLR_D,242.7811,1.8795,15.9326,11.909,2.848,227.8485,71.8551,85.2445,89.9045,58.4436,280.4159,14.8542,65.308,108.9393,168.4067,30.0765,16.3042,20.9188,44.1393,24.221,10.9188,27.5998,949.8872,31.5643,40.9176,77.1528,42.6989,9.888,6.5564,15.9694,1.9621,60.7026,11.5512,37.1604,9.6312,17.2688,20.9459,19.8082,11.7592,88.4594,35.9382,59.2263,29.548,39.8298,0
BLR_E,11.7874,0.119,0.625,0.3323,0.166,15.3054,3.4026,3.0879,8.693,1.5329,10.4685,0.9205,2.9292,4.3399,36.0016,3.1881,0.63,0.8677,1.9391,0.8316,0.5432,1.3246,7.9863,19.2929,4.9265,5.3981,1.7486,1.2056,0.5258,1.0001,0.1457,5.6217,0.5106,0.8162,0.4302,1.2488,1.9453,1.4461,1.0923,12.5731,4.0285,6.4393,1.9463,3.301,0
BLR_F,38.5522,0.3699,2.4806,1.4555,1.0338,19.0415,4.8058,8.201,4.4704,4.1086,13.8651,1.7469,4.339,9.747,6.3867,4.7201,1.9224,2.8304,6.0351,2.6812,1.6722,7.3309,41.3564,11.7221,566.4483,22.129,12.8345,5.5268,4.5245,10.0871,0.812,8.3303,2.7133,10.0732,2.4146,6.8979,44.545,13.745,4.1111,81.7873,13.1849,13.8647,6.8437,9.4061,0
BLR_G,232.7314,2.5242,3.514,3.734,1.826,624.8871,192.0247,106.6494,89.4515,49.9455,218.999,50.3948,71.8988,61.4203,91.0467,33.546,57.0456,41.1525,121.4768,144.3733,16.0326,75.0882,40.2764,9.3019,90.2573,353.1362,63.6653,51.2867,42.258,12.2052,2.7696,51.4067,36.5741,42.7884,20.3177,10.6444,4.493,30.3211,19.0082,35.9831,9.1713,22.9215,15.6372,25.5442,0
BLR_H49,94.3606,0.7334,6.5652,7.8992,2.0683,161.4758,25.6322,51.7056,31.828,28.3738,101.4633,7.2084,23.469,50.8764,32.3062,12.4647,8.5471,10.7417,20.4981,17.0725,4.3888,19.3271,28.8446,6.4734,54.8934,126.166,157.4571,16.5152,11.4314,29.435,7.6733,7.5245,8.374,6.036,4.3472,8.894,1.4465,12.9441,9.3459,26.7864,13.9406,11.4394,5.857,17.8916,0
BLR_H50,2.7981,0.038,0.2987,0.1011,0.0503,5.707,2.0135,0.8877,1.0375,6.6784,2.7227,0.3944,0.782,1.1527,1.5844,0.6972,0.6783,0.6713,1.1652,1.2725,0.2852,0.7839,1.9034,0.1526,2.266,3.2308,1.9508,11.7012,2.8884,1.4626,0.0947,0.7117,0.3677,0.4849,0.3348,0.442,0.1085,0.5665,0.412,0.8078,0.2356,0.641,0.2716,0.5027,0
BLR_H51,4.5044,0.0376,0.1015,0.0568,0.031,8.7288,2.1349,0.6085,1.0109,6.3543,2.0327,0.283,0.615,0.8854,1.361,0.6092,0.6121,0.5776,0.9804,1.329,0.2107,0.6491,1.7352,0.101,2.2999,1.2463,0.9862,1.2736,1.3189,0.4449,0.1092,0.8382,0.3505,0.3309,0.2532,0.3966,0.1141,0.5276,0.3241,0.3804,0.1621,0.4787,0.2393,0.3889,0
BLR_H52,8.8008,0.3164,0.8975,0.7416,0.2681,23.222,4.4141,5.4568,4.8493,4.0122,14.1071,1.4737,3.1541,6.3051,4.9338,2.649,1.6448,1.94,3.2626,4.2604,1.078,2.7461,2.6688,0.9647,3.5854,35.2075,32.7227,58.43,65.634,23.908,1.3228,0.9803,1.1015,1.2944,0.8538,0.5787,0.2101,1.9443,1.5322,4.0877,0.5467,0.9412,0.7086,1.7052,0
BLR_H53,2.6739,0.0215,0.1977,0.0705,0.045,2.7087,1.3581,0.9116,1.0911,0.3512,2.9959,0.4847,0.8258,0.7023,0.5211,0.582,0.6068,0.5782,1.1616,0.3868,0.2824,1.0738,2.8423,0.5047,1.8717,11.1666,1.7277,0.8571,1.212,1.4955,7.1143,1.2984,3.6812,4.6943,1.8567,7.976,0.4421,3.6811,1.8725,8.8918,1.5788,2.3019,1.42,3.7073,0
BLR_I,6.7331,0.1442,0.9599,0.2606,0.2845,13.6458,5.1761,3.855,2.7077,1.9245,10.5212,2.9052,3.8856,3.0627,3.4574,2.4741,2.4865,2.5271,4.9909,2.0807,1.4016,4.0061,6.1534,1.9436,12.3555,20.2074,8.0848,6.4769,24.7393,4.1235,0.6007,11.5544,4.5086,5.6405,6.3923,13.857,1.2207,14.0002,9.8344,30.612,11.602,23.3978,8.1693,13.5942,0
BLR_J58T60,1.8267,0.029,0.1596,0.0744,0.0583,10.6439,2.0115,1.2576,3.7201,0.4259,4.5189,1.4187,1.1075,0.867,0.7888,0.6302,1.2279,0.9086,1.5384,0.5604,0.4376,1.4337,1.6552,0.4157,2.0437,10.6907,1.0933,1.0318,1.5609,0.5719,0.2231,2.171,42.0354,9.0718,5.3455,4.8298,0.4776,18.0015,2.2317,7.6164,6.8202,2.8928,5.4259,5.023,0
BLR_J61,5.7285,0.1346,0.8037,0.2383,0.1724,8.8948,3.7132,2.8315,2.215,0.7936,5.8403,1.105,2.0676,2.1168,1.7433,2.0354,2.3638,1.6982,3.754,1.5497,0.7077,3.2758,4.3936,0.9718,8.6578,19.3736,5.3155,3.9434,2.871,2.1629,0.8342,4.6269,7.7806,118.4923,9.0244,16.4101,1.6573,9.3919,4.6464,23.2661,4.4534,8.4327,3.7535,9.0275,0
BLR_J62_63,1.1156,0.0137,0.0808,0.0379,0.0305,3.0667,0.8429,0.5567,0.5593,0.2586,1.3447,0.3888,0.4452,0.388,0.4578,0.2526,0.6558,0.3607,0.7294,0.3232,0.1476,0.5055,0.5543,0.1243,1.1005,2.4271,0.5077,0.6196,0.6926,0.1977,0.0536,0.4212,0.9915,1.162,1.5377,0.9472,0.1245,1.1715,0.4113,1.144,0.4371,0.5614,0.3468,0.7184,0
BLR_K,96.5849,1.1665,8.1159,2.1639,1.3537,64.1003,23.418,19.9994,16.8,10.3181,45.3723,6.6917,14.3147,17.6409,16.9627,11.0387,8.4749,10.2522,20.2798,9.8872,5.9488,15.5059,42.363,6.7152,52.741,73.3482,29.7215,25.4287,27.4882,10.7644,1.6341,15.4892,8.9131,18.8627,11.1372,251.1414,62.5879,31.804,16.489,55.6595,8.3896,16.6717,10.018,19.8229,0
BLR_L,6.2682,0.1071,0.986,0.4232,0.2233,24.7175,12.5598,6.3937,5.4084,1.3689,9.4328,2.1742,5.9661,4.8374,3.4468,5.0906,3.4343,2.9972,6.4274,3.1476,2.5277,9.1775,9.7509,2.4199,22.7669,84.4762,10.0087,7.3075,6.6193,8.7602,1.7171,35.9069,9.0411,21.0403,13.123,24.3835,14.2292,23.848,11.2246,30.3737,13.6504,20.7418,13.4036,28.7065,0
BLR_M,22.4822,0.2391,3.3465,1.0899,1.2509,66.6173,14.6096,8.4662,8.5111,5.0606,33.9132,12.9907,9.6823,9.1899,8.7708,6.6129,10.5731,8.1491,12.9883,9.3157,4.7256,10.366,18.3287,4.275,47.0809,60.0355,8.2238,11.3768,9.3551,5.7652,0.8905,10.3008,15.9218,22.6426,19.6743,30.6438,6.414,55.3536,12.2217,30.0277,7.5211,15.8759,10.4888,16.0343,0
BLR_N,18.67,0.2733,4.7013,1.4189,1.3915,51.1298,15.1214,11.9461,10.8325,5.5394,28.6295,8.0807,13.5183,10.9596,8.4183,9.462,8.2454,8.1989,17.0768,10.5744,4.4315,13.3757,19.3183,5.4464,48.581,51.274,19.1457,25.073,26.6389,12.6727,2.4105,15.2561,12.9477,27.8882,20.32,27.2452,7.436,27.7992,30.4952,38.6243,12.9837,26.9122,10.8443,19.7853,0
BLR_O,2.854,0.0316,0.2039,0.1208,0.0597,4.3281,1.1126,1.2812,1.1615,0.5697,2.7286,0.5304,0.8187,0.9408,4.7608,0.6828,0.3846,0.433,0.8924,0.6202,0.2998,0.7712,2.1736,1.2711,3.8412,3.95,1.9827,1.8475,1.8352,1.0214,0.1239,1.3084,0.6889,1.2324,0.8295,1.8752,0.7453,1.7524,0.8864,6.6539,1.0208,1.9227,0.84,1.4875,0
BLR_P,0.7429,0.0128,0.1277,0.0332,0.029,1.361,0.4113,0.3216,0.2886,0.1991,0.9768,0.5003,0.3342,0.3077,0.4411,0.2197,0.3493,0.3459,0.4961,0.3013,0.1795,0.3221,0.7822,0.1712,0.9842,1.3202,0.611,0.379,0.8989,0.3043,0.056,0.3154,0.4808,1.0205,0.9621,1.319,0.1501,1.6,0.5505,4.5519,5.7853,1.3531,0.4643,1.3338,0
BLR_Q,0.9623,0.0197,0.062,0.019,0.0192,1.5091,0.5037,0.2597,0.2309,0.1404,0.5868,0.3274,0.2465,0.272,0.1869,0.2009,0.1832,0.1736,0.2905,0.1488,0.1007,0.3041,0.3528,0.1018,0.7471,0.9738,0.4018,0.3183,0.2924,0.1313,0.0307,0.3793,0.1796,0.2608,0.3636,0.6159,0.0797,0.4736,0.2398,2.6039,0.8007,37.957,0.3569,0.6384,0
BLR_R,0.5231,0.0068,0.0446,0.0183,0.0114,1.4143,0.3089,0.2867,0.1802,0.0923,0.4475,0.1372,0.1774,0.1606,0.1256,0.1155,0.1082,0.1029,0.2058,0.1025,0.0603,0.2306,0.2582,0.1185,0.6391,1.0975,0.2731,0.3992,0.3185,0.1421,0.0286,0.7858,2.8381,0.694,0.4111,0.5991,0.1547,0.9366,0.4596,1.7048,0.7579,0.4659,10.3046,2.9087,0
BLR_S,4.5727,0.0731,0.273,0.1957,0.144,7.7705,2.4857,2.4601,1.6714,0.9095,3.5305,0.7236,1.673,1.6962,1.8142,0.9945,1.1363,0.8878,1.6635,0.8341,0.3843,1.7993,2.3017,0.9245,3.7465,9.2848,3.5442,1.8869,2.1064,0.9812,0.2593,5.4267,2.1548,2.3936,3.4768,5.0666,0.7532,4.7726,2.7204,7.2317,3.0646,13.6936,3.2195,25.6322,0
BLR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
