V1,ITA_A01_02,ITA_A03,ITA_B05_06,ITA_B07_08,ITA_B09,ITA_C10T12,ITA_C13T15,ITA_C16,ITA_C17_18,ITA_C19,ITA_C20,ITA_C21,ITA_C22,ITA_C23,ITA_C24,ITA_C25,ITA_C26,ITA_C27,ITA_C28,ITA_C29,ITA_C30,ITA_C31T33,ITA_D,ITA_E,ITA_F,ITA_G,ITA_H49,ITA_H50,ITA_H51,ITA_H52,ITA_H53,ITA_I,ITA_J58T60,ITA_J61,ITA_J62_63,ITA_K,ITA_L,ITA_M,ITA_N,ITA_O,ITA_P,ITA_Q,ITA_R,ITA_S,ITA_T
ITA_C29,70.0237,2.3856,4.523,3.8997,1.5592,111.7608,80.5367,24.5187,52.4277,24.1936,261.4231,53.2163,255.5986,281.8668,134.3581,656.0912,144.5978,283.0524,1895.7977,3237.2158,266.8743,712.5423,60.9947,452.6081,958.2715,2763.4663,363.0939,17.5915,7.5612,167.0911,19.6249,47.7448,31.8324,52.3266,101.0514,48.1379,38.192,255.9306,171.0106,112.5327,23.1404,102.1311,58.6024,48.0241,0.0
ITA_C30,0.0,53.4136,1.7785,0.7623,0.0578,5.9039,6.4561,6.5695,3.5536,0.3502,0.9056,1.1364,2.0093,3.6826,2.9836,104.5322,2.0123,1.7488,11.172,437.6541,4413.7015,607.1935,23.088,57.6491,9.7085,773.7477,232.387,107.174,469.0069,64.6945,4.1525,27.0956,10.2714,1.3115,157.214,2.3148,3.6869,192.671,170.1351,164.3913,31.9365,33.3617,61.8999,5.7136,0.0
ITA_C31T33,542.9688,12.5981,19.322,15.885,5.7798,373.3841,502.5952,282.695,264.7948,48.3553,238.5065,322.2019,277.3133,144.4637,256.6496,694.7455,183.6549,321.1312,1413.2218,765.2891,251.0749,3523.8922,240.8309,472.8295,1738.0825,1710.7543,457.6598,84.8139,46.6791,404.5614,72.3517,164.7074,229.2082,104.7649,282.1671,124.6129,210.777,970.8588,710.7565,632.4351,132.0073,4189.2359,253.4517,245.428,0.0
ITA_D,1427.4485,50.3629,81.4771,73.8794,10.7853,2315.5661,688.4796,308.9902,780.3645,342.26,1455.1925,278.1936,1324.8915,1407.2022,2604.2189,1770.822,444.6273,1144.9508,436.7633,446.5788,153.7807,561.638,33638.2532,1623.701,925.7532,4932.013,2991.24,21.1115,34.9865,323.4688,95.9945,2377.9924,261.1044,731.2382,185.8748,613.3009,279.604,1897.1019,203.8094,3104.7606,953.4014,2938.6948,452.0404,2306.6503,0.0
ITA_E,480.1383,0.808,215.2,190.6476,2.6069,1339.057,648.8106,110.8906,465.0259,187.7387,537.5987,244.1151,384.1811,260.3737,4156.9117,765.6755,123.6032,223.3886,713.2031,418.6186,193.7733,400.022,794.4515,6476.1056,2361.1644,1967.564,520.2686,71.8649,130.9734,535.8354,113.1324,1362.0399,219.3643,187.0973,155.854,143.3271,166.5706,539.4457,492.2459,7111.8254,218.1425,950.1439,268.1807,208.4375,0.0
ITA_F,799.94,4.3522,66.9478,25.3661,14.6572,994.1485,557.6339,104.6754,356.3073,106.8037,362.5748,260.02,214.0249,357.0663,432.5017,308.8285,140.2111,288.0831,1147.0392,919.9717,501.107,745.7661,544.4715,770.7733,38867.8034,4008.5866,1917.5082,54.8557,80.2408,917.5018,82.9156,598.6043,237.7395,297.8228,946.4643,663.1842,4878.157,3363.0756,1531.5489,2709.1618,372.9419,2510.1676,368.9782,214.5543,0.0
ITA_G,4817.4648,104.5916,255.014,224.1553,20.1397,24067.5106,9446.2955,1236.7535,2549.3884,3170.8632,4791.0538,2299.067,3603.6869,2140.9005,2582.6088,4513.8498,1692.599,2295.5078,7677.9792,4101.9821,1907.1236,5560.8519,3404.7614,1564.6514,6678.4552,24538.1206,5338.4928,1359.3033,642.2294,3013.3536,416.4334,6455.4955,1414.8584,1962.1659,2195.3255,4380.873,1083.358,5802.6457,4501.8522,1642.667,560.4404,7040.4034,1350.639,1065.9495,0.0
ITA_H49,1091.6665,20.9006,111.9265,85.8105,8.2913,5657.4979,1167.5668,380.6336,876.2294,1305.0419,1018.9089,292.5935,977.9959,978.0659,965.6796,1206.4325,315.8209,683.3048,1831.9158,957.598,385.7304,1076.4281,2823.8949,734.4708,1995.0092,11501.6938,7258.9336,324.6546,96.2752,5808.4751,867.6306,1059.0947,263.9716,114.0422,244.0304,370.8477,128.1599,1083.0931,1226.8337,480.3326,145.4424,1218.147,209.5237,223.3451,0.0
ITA_H50,54.2639,0.2776,8.3917,6.1323,0.6936,248.44,100.4835,19.7709,41.4131,132.4371,85.4913,32.8545,65.9891,33.0773,93.8184,97.8818,31.6372,46.6124,129.9383,77.344,36.9069,79.5791,82.651,70.8359,218.5611,433.9512,132.6326,32.0639,16.3199,127.1704,16.5221,121.8454,61.2972,60.6383,86.8881,37.8565,23.8929,129.5745,104.4444,57.9949,14.2009,159.665,41.936,26.1203,0.0
ITA_H51,20.2812,0.23,6.9286,3.0172,0.2464,139.9785,49.4723,10.9288,33.3185,71.9189,45.1519,13.833,40.7895,35.1933,47.6389,43.0697,15.1574,30.5781,70.1449,36.3735,17.3054,39.7668,42.5725,34.1855,87.9133,490.5434,311.6661,20.6688,24.6552,268.0981,39.5465,33.4428,16.2211,10.4551,18.8189,9.7714,5.6888,48.3516,59.453,10.2511,3.5804,56.7139,9.8269,9.6575,0.0
ITA_H52,190.7327,3.2916,166.612,55.3117,4.0167,2884.5152,695.684,201.8887,720.4319,467.8107,476.8287,93.1415,647.2294,854.4323,580.876,559.0152,145.8373,462.9405,1084.2951,357.7593,145.1849,589.3276,821.1112,792.3158,1767.2319,13448.5822,8983.8717,278.5871,140.5472,7514.1894,1119.6207,316.1267,235.8254,61.2112,168.5527,270.3176,81.1809,892.292,1222.8827,290.4076,74.1682,513.8065,120.0147,161.3758,0.0
ITA_H53,14.8991,0.2159,11.6264,3.6747,0.5892,94.0207,38.5954,5.2224,40.7906,251.033,19.4518,21.8705,18.0311,18.1614,49.1688,15.8124,4.1379,9.8534,67.3729,15.6834,13.0729,43.3599,141.0483,889.0978,372.3332,369.1161,179.2471,6.7562,10.9061,668.6919,516.8359,85.8407,37.7312,16.9916,48.5607,292.9593,72.5073,180.1485,294.9746,1420.2593,307.1347,245.1618,136.7802,61.868,0.0
ITA_I,139.9882,1.1601,62.9413,14.0975,1.7349,452.9102,295.7364,56.936,194.1712,842.2589,60.2948,164.9525,33.7962,73.288,426.2974,63.6198,32.1082,65.8624,938.183,118.1916,65.4209,414.1233,530.2186,222.2024,2666.4909,1570.503,623.2351,40.1765,129.6209,1683.4556,136.5259,309.3914,143.7082,99.2413,411.5859,173.7154,320.5256,966.8357,1614.6301,634.4468,766.0398,781.0129,70.2471,285.4528,0.0
ITA_J58T60,13.4604,0.2084,245.1975,51.1883,0.5598,227.5889,107.8253,5.4603,156.0132,46.7396,54.9327,58.2451,24.9972,15.3642,39.7494,39.973,11.1467,22.9062,96.9304,34.397,16.1331,80.0937,34.6945,72.9331,184.6195,1503.4037,62.5144,23.3961,42.5291,88.7704,39.765,161.2091,1822.9572,1438.4481,278.8355,131.345,42.2242,1905.5229,305.2545,116.2225,63.5046,75.2623,388.8204,58.8299,0.0
ITA_J61,37.1055,9.7236,29.4628,8.2527,2.1372,863.4517,314.1881,78.4336,298.6692,26.1641,230.9687,95.5333,367.0816,411.6045,439.1901,580.6927,215.0143,139.6819,352.5761,292.9516,127.5561,223.5501,270.7955,587.4724,326.9703,2019.3174,312.4924,26.0077,106.2817,378.5119,45.5818,967.2729,329.8463,7426.5531,352.4047,517.2456,122.1282,448.8626,241.2297,824.6683,127.6006,774.8836,367.282,321.1291,0.0
ITA_J62_63,88.8774,3.781,158.0424,34.0115,2.1714,775.0973,407.6483,57.8158,269.2553,66.34,190.847,135.0598,314.1279,187.9629,151.3164,470.5158,246.7246,299.573,1019.1468,781.7948,280.6796,429.7483,941.9006,495.6918,1355.6038,6753.7887,1020.4082,53.8795,35.5088,1104.5304,151.057,830.0741,528.156,445.817,7353.8817,4189.2024,352.2663,4389.3523,1684.2102,1254.9865,278.7207,1086.2248,616.1602,445.9912,0.0
ITA_K,938.823,27.1727,79.1356,31.1128,13.1465,2450.5826,1561.1296,240.7785,593.263,165.675,673.5906,431.4705,742.337,792.9325,667.5511,1579.793,353.695,588.4439,2151.0233,643.2535,823.0094,1259.357,1756.9645,799.6929,4521.1995,18275.9628,2273.2869,628.0038,150.247,1484.9475,150.1485,1816.0108,470.0054,1037.7917,1228.5361,33758.7103,9882.5671,3583.8282,2645.5643,3943.7373,431.7708,2080.3618,959.9755,1260.8882,0.0
ITA_L,68.1075,4.7589,42.8613,87.7151,2.6277,1055.5327,1426.2204,178.4827,364.5453,34.9262,388.4894,136.8036,570.1225,357.4492,243.9488,1129.84,167.3534,339.4148,1117.3893,336.9236,206.9609,905.5727,582.7038,605.6378,2175.6493,19233.7789,1839.5709,22.7616,166.8558,1721.289,400.3842,4723.6276,761.9718,1178.21,1868.2577,3869.6327,2308.8968,4017.2597,1869.9475,1869.0875,909.0432,3426.0488,1115.3926,1005.7947,0.0
ITA_M,821.2269,6.7138,205.4822,102.2545,29.7559,4616.1039,2967.5488,307.4421,1490.7343,406.7588,931.7132,1324.9022,1087.3705,801.0989,1694.9141,2061.601,884.0854,1267.5965,4673.2749,3218.1449,1498.3017,2190.9094,1972.4344,1810.3739,13616.9486,25161.7781,1695.8691,197.1976,221.6238,5123.2768,196.0977,1922.2195,1600.0015,737.9338,7148.2593,4717.2151,3313.1016,25069.835,9219.4817,5202.2709,1586.3227,5280.6357,2556.2029,1495.8827,0.0
ITA_N,442.4547,1.5536,147.931,97.4142,16.6722,1601.2156,2102.9557,176.3791,852.9159,485.8055,476.7795,592.4583,596.2902,438.7151,1747.0648,1836.8026,389.5576,555.7604,3099.3985,730.839,457.6207,1814.9569,845.3116,3342.4779,10237.5952,12135.4551,1625.5062,545.9084,874.5432,3544.4515,286.2324,1750.2783,1243.6671,981.7282,2214.9314,1396.9086,1733.5094,5795.6764,5618.7158,8654.2695,1125.73,4358.6138,1447.9144,690.4264,0.0
ITA_O,148.3671,0.4259,76.8068,65.3449,1.303,555.765,409.8755,105.6832,331.5196,1077.331,238.0431,240.902,144.2241,122.2523,1408.8047,267.4728,45.3296,90.3067,317.5793,174.2409,120.7261,241.5001,203.8929,2106.7585,1050.5776,1863.7542,384.9159,47.4812,79.5354,392.5554,214.8689,548.9381,327.9053,79.5975,421.4529,237.1738,226.7714,705.8925,541.5919,2712.1299,204.7163,758.9016,839.5245,120.0051,0.0
ITA_P,5.5552,0.0415,15.6741,3.5151,0.2086,125.3655,113.5194,6.6957,43.7009,11.4957,73.0673,129.0308,41.8414,25.5613,40.9146,103.2358,54.3036,49.6786,198.5391,78.314,49.8915,113.7598,68.0779,89.2287,319.4898,981.375,68.899,39.272,20.9895,327.9136,11.9542,57.4757,69.9468,28.5647,320.1571,97.051,16.553,548.968,420.0492,654.3015,884.8719,684.8354,104.2571,302.7443,0.0
ITA_Q,55.3923,0.1532,21.518,4.7157,0.3038,54.5701,33.7806,4.0149,23.028,72.8004,19.2159,76.9227,8.7303,9.9449,67.3356,13.9775,5.2183,9.207,167.0966,58.2444,22.677,123.3002,26.9211,274.5339,224.3565,187.6226,57.1817,9.8194,8.3784,74.7099,19.0712,48.3439,23.3695,8.0194,96.7701,69.2423,34.0789,1403.8469,1557.3926,412.5323,579.4782,17179.0249,636.4114,45.9704,0.0
ITA_R,23.9276,0.2586,20.1262,15.5933,1.1252,717.329,528.2063,10.1724,341.8955,676.4113,56.8596,350.3532,34.3593,46.0069,213.0315,55.282,14.9233,38.5723,148.448,30.9459,36.1064,169.2764,100.1207,109.7622,799.6803,1096.7641,108.6505,56.2391,28.0627,199.0077,52.3165,871.0751,1826.5431,120.1532,402.3147,72.1657,164.7059,563.9175,652.8608,202.3852,104.7099,379.1152,5173.4985,353.4981,0.0
ITA_S,254.6548,2.1271,13.8461,6.9456,0.8619,161.3484,169.7117,10.2712,80.695,297.1137,40.6188,87.6186,20.158,24.3351,76.1056,37.0812,22.2486,26.8285,177.8552,62.3891,39.6721,242.6232,145.6326,423.3901,507.0487,466.2075,70.6488,10.4246,11.2459,202.0251,95.7717,151.2099,165.017,31.1793,235.2378,124.3786,86.119,762.0051,1232.3449,793.0885,220.8812,1504.466,348.7564,287.9596,0.0
ITA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
