V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T
CMR_C20,23.0995,0.024,8.0936,1.5494,1.1241,31.213,17.7776,1.5178,6.594,0.0364,21.9322,1.3527,8.5141,0.758,1.4174,0.1651,0.002,0.9985,0.8207,0.0054,0.0005,6.0726,0.1145,5.614,7.8024,3.7008,1.7681,0.4118,0.6114,2.1015,0.2935,1.3556,3.3368,1.0137,1.7538,0.0666,0.0377,1.88,0.5536,0.3001,3.0264,0.9277,1.8177,2.7418,0.0
CMR_C21,2.5397,0.0108,0.4689,0.1465,0.0533,5.9083,1.076,0.1495,0.4144,0.0041,4.2473,12.7362,0.371,0.0465,0.1407,0.014,0.0001,0.0579,0.1062,0.0003,0.0,0.5029,0.0162,0.3956,0.4694,0.3446,0.2396,0.1732,0.142,0.3598,0.1301,0.2078,0.2493,0.2441,0.3034,0.0171,0.0032,0.667,0.0687,0.2029,1.1835,2.2547,0.3308,0.5074,0.0
CMR_C22,2.0696,0.0912,16.6542,0.1627,2.6925,10.269,1.9436,0.1819,0.3713,0.0214,0.6223,0.1044,0.2614,0.032,0.0198,0.0045,0.0342,0.0013,0.0017,0.08,0.0064,0.5627,0.0932,0.2678,1.3186,3.3953,3.0729,0.1902,0.2966,1.4884,0.3647,0.3248,0.8203,0.8516,0.8026,0.1175,0.1086,0.5523,0.2381,0.9893,0.4186,0.06,0.1055,0.1242,0.0
CMR_C23,14.0321,0.0793,23.6241,1.0303,3.6215,2.9335,0.1455,2.3484,0.0893,0.0174,0.128,0.0254,0.7969,91.0741,0.7251,0.0729,0.0008,0.0034,0.0031,0.0625,0.0048,0.8558,0.3798,2.454,165.4027,2.484,4.4001,1.0222,2.0954,5.8225,0.7842,0.8789,1.9382,2.5918,1.8038,0.3254,0.9617,1.4299,0.0806,1.8382,1.309,0.0593,0.7218,11.3885,0.0
CMR_C24,1.5022,0.024,20.5416,0.1646,2.8158,2.8083,1.7023,0.7136,0.2742,0.0151,0.2768,0.0154,0.2165,0.1494,20.7673,2.2866,0.1014,0.084,0.1061,0.3054,0.0221,2.5596,0.4805,2.7194,29.1292,1.6427,2.051,0.8616,0.6233,2.2921,0.0492,0.5473,0.7573,0.5507,0.3828,0.6637,0.2167,2.5902,0.4272,0.0052,0.4496,0.0201,0.0276,0.3493,0.0
CMR_C25,0.8902,0.0093,4.4388,0.0498,0.6597,1.6315,0.8073,0.312,0.0538,0.0047,0.0607,0.0061,0.045,0.0249,0.4799,0.178,0.0176,0.0073,0.0173,0.0849,0.0087,0.4779,0.1065,0.5739,8.1642,0.7715,0.6917,0.2042,0.1552,1.0661,0.0986,0.3208,0.1977,0.3052,0.197,0.2763,0.1066,0.9514,0.215,0.005,0.22,0.0131,0.021,0.1611,0.0
CMR_C26,0.0013,0.0005,0.0743,0.1383,0.0123,0.0115,0.0048,0.0002,0.0016,0.0001,0.0013,0.0003,0.0005,0.0038,0.0003,0.0001,0.0517,0.0,0.0,0.0,0.0,0.2137,0.0823,0.0027,0.0072,0.0011,0.0053,0.0013,0.0036,0.0082,0.0022,0.0003,0.1617,0.581,0.4313,0.0498,0.0001,0.0492,0.0083,0.1986,0.0151,0.046,0.0025,0.029,0.0
CMR_C27,0.3792,0.0003,0.7491,0.0369,0.0934,0.6047,0.0339,0.0186,0.0612,0.0008,0.0177,0.0022,0.0177,0.1401,0.0126,0.0021,0.0006,0.0285,0.0138,0.0,0.0,0.1264,0.8548,0.1087,2.7508,0.1098,0.4809,0.0897,0.1051,0.4221,0.0521,0.0047,0.1919,0.6532,0.3271,0.3587,0.0121,0.5125,0.2573,0.5414,0.0126,0.0994,0.0118,0.0679,0.0
CMR_C28,0.8344,0.0002,1.5645,0.0946,0.1837,0.8756,0.0598,0.0289,0.0891,0.0011,0.0222,0.0034,0.0206,0.1846,0.0107,0.0019,0.0001,0.0029,0.0225,0.0,0.0,0.1029,0.3095,0.104,1.0373,0.0572,0.2354,0.0931,0.1161,0.3069,0.0465,0.002,0.1023,0.1461,0.1313,0.1856,0.0043,0.2646,0.1734,0.3261,0.0062,0.0558,0.0047,0.0295,0.0
CMR_C29,0.0095,0.002,0.0029,0.0018,0.0004,0.1393,0.0,0.0024,0.0004,0.0,0.0038,0.0005,0.0013,0.0009,0.0046,0.001,0.0,0.0,0.0001,0.6113,0.0,0.0,0.0001,0.0302,0.1943,0.1117,0.5558,0.0176,0.055,0.185,0.0293,0.0004,0.0003,0.0005,0.0004,0.0704,0.0,0.0306,0.0002,0.0383,0.0064,0.0003,0.0,0.0002,0.0
CMR_C30,0.0027,0.0022,0.0016,0.0009,0.0002,0.0317,0.0,0.0007,0.0002,0.0,0.0011,0.0001,0.0004,0.0002,0.0006,0.0001,0.0,0.0,0.0,0.0,0.0562,0.0,0.0,0.0072,0.0578,0.0,0.1048,0.0905,0.1602,0.0589,0.0125,0.0001,0.0001,0.0001,0.0002,0.0296,0.0,0.0121,0.0001,0.0355,0.0027,0.0001,0.0,0.0001,0.0
CMR_C31T33,5.3572,0.0392,1.0707,0.1958,0.1397,5.8497,1.6577,4.9048,0.1254,0.0251,0.1404,0.035,0.0955,0.2206,0.0664,0.0053,0.0058,0.1489,0.2217,0.4735,0.0655,0.7244,1.0238,0.3291,10.0212,4.3541,2.2797,0.256,0.6617,0.8932,0.1365,0.332,0.569,1.4527,0.5895,0.143,0.3159,2.4857,4.7733,6.7643,2.3427,1.183,1.9368,0.3862,0.0
CMR_D,3.8245,0.016,1.4445,0.1249,0.1348,30.0729,15.4553,1.031,0.7781,0.0423,0.6126,0.0488,1.4357,9.7322,3.3737,0.2001,0.0002,0.0139,0.022,0.0518,0.0052,3.6834,31.7351,3.6016,1.9689,13.5408,2.5662,0.198,0.3609,3.0537,0.4283,3.7363,1.6804,5.8942,2.2452,2.4344,2.6961,8.2457,1.3839,124.7908,6.8719,10.7512,2.3039,3.2877,0.0
CMR_E,2.7142,0.0011,0.0399,0.2106,0.0038,0.6319,0.1877,0.0066,0.0109,0.0034,0.004,0.0004,0.2389,0.0016,0.0013,0.0001,0.0,0.0012,0.0014,0.0087,0.0011,0.1833,0.0177,0.037,0.0739,0.3912,0.0634,0.0143,0.0193,0.101,0.0109,0.1549,0.0128,0.0177,0.0187,0.0941,0.0227,0.2639,0.2823,3.9535,25.6506,2.155,0.0877,0.0867,0.0
CMR_F,20.1322,0.5064,4.102,0.1488,0.617,0.7286,0.3805,0.5008,0.1072,0.0682,0.0916,0.015,0.0471,2.0207,0.02,0.0021,0.0,0.0008,0.0013,0.0583,0.0046,0.728,0.798,0.0677,35.1261,0.9297,1.1931,0.0576,0.1278,0.3487,0.0724,0.0488,0.054,0.0813,0.054,0.0592,0.3516,0.0646,0.3242,1.196,1.5122,0.2395,0.0441,0.3094,0.0
CMR_G,177.3559,14.6161,88.0216,12.3853,12.4304,401.8669,85.9819,71.3963,15.2398,5.4088,26.8052,15.8383,8.2916,20.6275,15.0285,1.8246,0.5513,1.8806,2.5947,5.0395,0.9568,35.0932,13.2721,9.9868,261.1324,205.2003,129.1732,17.7158,30.8075,32.8649,10.3387,156.8086,14.0816,16.0615,12.8903,7.3313,6.9834,39.3052,51.5929,106.239,18.7333,26.2894,18.0999,30.2494,0.0
