V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T
UKR_C20,941.6077,1.0467,25.4833,24.6745,7.7577,166.4507,34.523,54.2769,104.9666,43.7795,289.1397,33.2927,153.3141,67.9257,60.346,18.337,1.0969,5.3163,7.2651,0.919,2.1687,24.8462,9.5077,8.7902,35.2702,169.8051,11.2824,1.3769,1.7453,6.2725,0.0787,5.5363,1.7416,0.6606,0.6291,0.2402,6.8808,21.4697,5.2165,18.1128,1.3458,32.0548,1.266,5.7566,0.0
UKR_C21,33.9282,0.0376,0.0247,0.0245,0.0037,6.5912,0.0226,0.0331,0.0464,0.0422,0.6441,140.5874,0.1572,0.152,0.163,0.2848,0.0148,0.0117,0.0207,0.0124,0.0438,0.3553,0.0921,0.0652,0.1457,13.7037,0.1641,0.0646,0.0478,0.1201,0.1621,0.438,1.6015,0.1522,0.3961,5.3924,0.5761,9.3488,0.111,9.4372,0.4693,312.8532,0.4037,0.2078,0.0
UKR_C22,80.5978,0.0888,8.075,47.3396,17.3755,509.8505,8.9295,44.2571,70.2949,6.3548,53.9989,51.7929,526.0476,46.3597,18.3886,40.6298,3.9063,28.0352,23.5305,14.4332,7.0674,47.3948,14.6061,20.1101,243.9282,277.9255,56.344,1.8825,2.617,13.3938,0.9303,5.3751,2.6527,1.4253,0.9064,1.4315,17.9238,18.5989,14.4404,0.0,5.3397,24.0054,4.4657,2.4935,0.0
UKR_C23,128.5219,0.1411,13.3652,29.585,11.7226,548.1484,5.4811,14.9737,5.3952,1.7214,14.9345,49.7802,76.6559,1171.9949,205.548,29.7165,3.9493,12.6934,17.457,2.6643,5.0652,49.7669,25.1749,5.8522,1812.6552,120.6883,140.6004,22.4193,31.3235,92.0584,0.0497,37.644,0.3479,0.9541,0.2366,0.5222,55.0092,45.6692,22.0137,127.5428,6.1786,16.4377,1.3866,5.7133,0.0
UKR_C24,37.6586,0.0412,54.1479,85.2937,46.978,165.15,1.4401,5.1545,6.4694,16.2375,14.5091,3.821,37.3454,131.0061,1682.774,837.5044,14.0603,216.6269,434.3831,103.1951,132.3345,187.0493,537.817,225.4845,890.5365,297.8562,26.3065,7.6902,2.7384,16.6821,0.0516,0.8763,0.0283,1.1352,0.3699,0.0788,23.7624,47.4151,8.2725,0.0,2.1544,0.8141,0.5291,1.9884,0.0
UKR_C25,37.525,0.0412,112.9043,38.7929,15.963,309.5865,4.7009,27.5662,11.1558,6.794,13.6249,7.7466,36.713,45.4329,78.9012,250.7521,9.3836,23.077,116.0218,34.3262,16.4825,103.2195,47.6182,9.0216,683.3071,184.0677,38.0079,6.1621,3.982,29.1107,0.311,11.8258,1.0074,8.7956,3.531,1.0371,20.3316,136.204,13.5612,85.3655,4.7446,17.5638,3.2905,2.6272,0.0
UKR_C26,15.0023,0.0162,2.5413,0.8931,0.7287,22.6966,0.9808,1.0911,2.4904,0.6311,1.5934,1.5082,1.7297,2.0254,4.2985,2.8645,40.4605,15.8203,9.7426,3.0307,3.6828,12.111,10.5905,0.836,39.4948,132.5178,3.9755,0.6188,1.1706,3.1078,1.021,1.3627,3.84,15.9608,22.6862,2.2528,10.2979,26.9468,7.2488,8.7255,4.0714,28.349,0.6639,7.2733,0.0
UKR_C27,4.7957,0.0052,0.7007,5.9015,2.1911,18.5843,0.7876,0.9097,1.1234,0.249,1.6625,1.1787,0.9262,1.7744,6.7247,6.1128,2.036,40.1205,10.1083,2.0591,0.6864,12.54,17.1363,1.0374,133.0768,29.2911,4.7493,0.4892,0.5026,2.0734,0.0243,1.4667,0.3969,7.337,4.6382,69.6643,6.3423,20.9078,3.3054,4.0157,2.9693,12.0079,2.1826,1.9547,0.0
UKR_C28,289.2649,0.3165,133.9251,106.2447,41.9825,219.633,3.9011,19.0455,23.4397,5.3506,11.9854,11.6198,6.45,48.6831,136.3463,39.5216,3.4648,59.7123,173.8182,49.4782,115.9258,101.2958,73.6804,5.4119,71.6108,143.9848,33.8481,7.2307,7.6509,22.3199,0.2014,1.84,0.4834,0.6912,3.4847,0.1201,18.9255,43.9568,7.5258,13.198,1.005,4.3843,1.1929,2.5362,0.0
UKR_C29,140.1443,0.1518,2.3013,15.1729,4.817,24.8709,0.4206,3.3756,2.4422,0.7508,1.1712,0.4556,0.6504,5.5695,1.2742,1.0577,0.3189,0.5744,1.9509,24.76,1.8014,3.5941,4.5341,6.6696,20.337,106.1339,61.2669,1.0518,2.8126,9.727,0.7578,0.5291,0.0989,0.7227,0.2742,0.0498,5.6234,2.7466,8.9769,6.9242,2.3248,2.925,0.381,1.0567,0.0
UKR_C30,57.5498,0.1208,2.1062,10.2983,4.1806,34.531,0.1461,0.5526,0.7132,0.4264,0.9334,0.2397,0.2778,3.0037,17.301,60.9197,0.942,1.6128,2.0576,105.732,108.5137,56.9849,8.1341,3.144,34.0707,48.6223,134.7538,102.5559,106.5757,49.6156,0.0,0.1968,0.2542,0.7397,3.1339,0.202,2.5976,17.6386,16.406,0.0,4.2735,0.2454,0.3834,0.2058,0.0
UKR_C31T33,9.9614,0.0109,59.4491,52.9923,31.2895,65.9321,1.2289,6.1182,5.9905,9.8432,11.3604,8.2564,3.1486,18.9588,88.6352,11.1989,1.2314,3.8134,9.0322,3.7962,3.2304,115.4128,79.06,3.9425,30.0062,124.4818,161.5619,22.8495,48.8129,84.0527,0.4111,6.6037,1.3293,53.2786,6.1871,11.2377,42.9337,23.2492,35.053,112.8832,12.939,32.8237,3.201,3.9654,0.0
UKR_D,597.8697,1.407,361.6769,741.4463,155.1995,1179.3652,46.647,108.1718,164.4083,198.7548,496.0445,48.1564,103.733,370.2992,1227.5517,98.5329,8.399,45.5099,132.4936,16.4115,34.6457,63.5008,1352.8818,309.1319,91.0279,518.1544,670.1997,30.2668,47.3535,411.3701,6.4431,100.7109,8.4867,130.7255,12.1305,1.4773,19.4732,78.0248,140.7864,311.4374,538.4781,209.0336,68.0617,54.5869,0.0
UKR_E,27.0132,0.0847,5.6681,10.135,3.9532,74.9953,3.0172,4.9762,9.6587,1.91,8.0186,4.1655,1.1296,4.9018,34.8989,3.8379,0.4517,1.2812,3.5643,0.5951,1.6689,2.9894,244.4253,97.5394,12.1213,35.2637,18.1514,2.5182,2.6161,14.1879,0.6215,9.8546,0.2634,0.3575,4.4572,0.4354,51.6831,3.6093,59.8439,15.0389,18.9222,27.7084,3.1852,9.2835,0.0
UKR_F,287.3979,0.5918,44.4954,64.3202,23.0328,691.9482,7.461,27.8607,27.7365,6.3359,59.1995,25.1436,8.6471,124.3869,88.1555,71.511,2.5852,15.4424,33.2541,34.5131,12.5992,246.2128,229.4697,57.3884,9814.1147,809.6027,451.2595,37.4653,55.6348,337.774,4.2554,80.0506,3.8169,50.9081,27.5216,15.3736,946.0409,727.2966,240.6151,437.4897,28.6864,70.9859,13.0861,46.1551,0.0
UKR_G,2845.0338,99.5172,257.1793,204.5722,86.2098,3885.5842,175.9752,240.5098,292.8241,391.1255,523.5282,201.8123,335.1848,651.0476,1275.4952,291.4683,132.3984,143.5461,214.9943,88.8766,146.1413,362.2275,888.3705,147.6146,1272.3183,4070.4913,819.7712,91.1784,130.8955,247.2316,12.0187,96.2432,100.8197,141.438,75.6359,112.0844,222.434,399.6533,129.7137,281.6218,231.9165,563.3232,37.5417,49.8639,0.0
UKR_H49,634.8501,21.6217,52.2845,275.7416,88.6557,791.1903,20.7822,51.6933,63.0369,137.6412,88.4666,24.9524,58.5609,176.1793,541.9219,81.3306,6.3693,35.0636,56.5931,24.2757,27.0334,55.3039,385.1569,60.518,294.9809,993.2493,279.3073,21.7939,27.0982,88.0384,4.8221,16.8712,12.601,6.4375,6.9985,6.6035,24.6767,77.998,35.7459,108.3647,38.2585,52.4533,8.6201,9.9454,0.0
UKR_H50,75.9198,3.1168,6.498,13.2808,4.976,59.1035,3.0706,5.1652,7.1634,18.5364,10.1715,3.3006,7.7087,17.5411,50.9433,8.1476,1.3801,3.9827,6.456,2.7455,3.2507,6.2394,47.4252,3.4362,28.3635,57.752,24.3077,14.8148,3.9317,14.9618,0.3375,1.5796,1.425,0.9114,0.9114,0.9619,2.7241,5.5784,2.7117,6.0826,2.7398,5.4755,0.5571,0.9011,0.0
UKR_H51,58.4789,2.6667,5.2176,11.623,5.8886,57.4337,2.6549,4.0962,5.958,12.3613,8.2512,2.9926,6.404,14.04,41.1821,6.9306,1.2305,3.5874,5.8255,2.4481,2.7892,5.7625,43.0718,3.6545,25.7835,49.26,17.2471,2.8312,10.978,9.8932,0.4171,1.6505,1.4172,0.9536,1.2184,1.1094,3.0965,9.9918,4.2632,10.7866,3.3252,5.6893,0.8318,0.9607,0.0
UKR_H52,274.4751,5.4217,19.8708,146.3272,44.6994,377.0738,8.1771,21.0847,26.3878,62.3914,40.0228,11.5117,24.5052,75.1263,205.1088,34.4193,3.0146,18.0448,26.2773,11.1714,12.5138,25.5769,140.6585,28.5097,113.2768,808.3865,344.431,101.4973,121.1544,307.7452,3.2456,6.4721,4.2214,3.5543,3.5123,2.2663,11.309,34.0389,17.434,54.0242,8.9504,15.5925,3.7441,4.5529,0.0
UKR_H53,1.0978,0.0008,0.0892,0.0902,0.0418,4.2726,0.1783,0.2016,0.3838,0.0279,0.208,0.3104,0.155,0.2037,0.1116,0.2705,0.0593,0.1116,0.2384,0.0486,0.6895,0.4412,1.4874,0.552,0.5658,8.8889,2.1838,0.2519,0.3181,1.8443,12.016,0.1596,0.9685,0.407,1.3505,1.4054,0.4403,3.0986,0.8383,2.4301,1.7677,1.2646,0.0612,0.5006,0.0
UKR_I,4.4407,0.0184,1.4098,0.4294,0.3511,10.4321,0.369,0.317,0.4771,0.3468,0.786,3.7429,0.6014,1.2641,2.3627,0.8363,0.1766,0.6565,1.1626,1.7344,0.6143,3.8126,6.9342,0.1894,7.6532,28.8204,6.193,0.5826,3.5782,2.5547,0.2873,11.2493,1.1452,1.7027,7.9445,0.4734,1.5901,21.3237,26.5118,26.0353,1.9395,9.4648,8.7773,1.9745,0.0
UKR_J58T60,3.2741,0.004,0.3979,0.5996,0.2381,74.0685,0.4436,7.5933,18.5844,1.0219,0.939,13.0037,0.3953,2.0455,3.718,0.8322,0.1824,0.2518,2.0791,0.5439,0.1746,2.5715,10.4194,3.4247,6.1636,152.0194,3.8735,0.5153,1.3228,2.9422,2.3794,5.2691,309.0486,24.8962,6.5019,12.7907,29.662,168.3868,7.6856,0.0,17.5806,23.0934,10.2131,13.3015,0.0
UKR_J61,11.6351,0.0198,1.9879,1.5048,0.847,13.9328,0.7611,3.6424,4.7342,1.191,2.2216,2.3975,1.3449,2.7588,2.5544,2.0522,0.3717,0.7181,1.807,0.3907,0.3403,3.656,18.1871,6.1719,14.4811,85.5962,17.8197,1.7072,2.7369,9.7857,3.166,10.3646,17.0554,430.6676,13.1892,29.6068,9.4494,52.7485,26.6564,111.1127,31.1396,29.2712,9.4465,2.6627,0.0
UKR_J62_63,11.6518,0.0196,2.9062,5.6065,2.3135,12.6269,1.1722,7.5388,16.2025,5.0771,2.7164,6.1541,1.3402,7.6655,5.974,5.0645,2.3662,1.2829,3.2821,1.8345,0.4748,7.4241,33.8497,8.9406,10.1939,307.2776,21.4333,2.629,7.5814,15.2752,0.4232,9.5307,20.8516,25.9817,2589.4658,31.708,11.7868,184.8535,26.3881,42.6436,207.7151,75.0114,3.3338,24.4108,0.0
UKR_K,341.5098,0.079,95.7081,22.3936,8.1984,156.3304,10.5782,28.7424,34.8103,20.9184,31.718,43.145,20.3233,44.8322,56.0251,20.0829,3.7341,15.698,34.7884,6.7327,69.2722,29.4597,300.0742,56.2475,83.5515,1543.6321,209.8187,31.2503,38.5822,89.3283,18.4116,48.4605,14.9004,17.1849,152.3892,1228.4679,238.3644,316.0585,71.3644,126.8454,147.7196,195.4159,28.6746,45.7804,0.0
UKR_L,203.6435,0.3471,66.0453,16.1404,7.7667,747.1003,17.3069,22.9782,31.7717,20.4253,16.2439,74.6253,18.7742,33.9616,44.3058,31.2191,7.8141,8.5376,23.4029,10.5706,5.1889,43.7386,115.6727,28.4369,100.2808,1648.1668,104.3621,8.4156,13.6321,94.6522,10.3347,67.3358,38.07,73.1687,412.284,246.2505,683.571,1301.3359,85.7738,12.6997,58.2341,185.8142,23.9357,30.5798,0.0
UKR_M,460.0439,0.7815,116.0462,120.0277,75.7323,866.5657,12.4503,40.1057,57.8405,27.9871,59.5954,62.7651,26.1845,105.2908,91.1618,27.3639,3.2329,11.079,26.6813,22.6576,14.1618,70.9099,146.6693,96.1548,503.3307,1383.4653,225.4749,32.6668,42.9396,153.4323,1.3085,70.4689,45.4895,38.6467,150.3136,363.4976,556.7873,532.7231,256.1616,331.1588,300.1459,138.2618,39.8193,77.1909,0.0
UKR_N,176.1225,0.2989,55.2121,54.7443,27.9917,113.6259,1.9244,8.7819,13.1786,3.2382,8.8553,1.5909,4.5266,27.9796,29.7918,6.2626,0.4485,2.1152,4.8431,7.252,0.552,7.1629,24.9996,69.9345,136.7752,170.3891,225.4286,38.8306,75.4425,131.2106,2.3211,45.8214,7.7142,14.7477,52.1488,64.732,291.2422,15.7406,464.0673,0.0,128.7096,79.8435,57.086,62.6435,0.0
UKR_O,61.7249,0.0706,22.2541,27.8685,10.7365,155.3166,1.0117,5.9348,6.7899,24.6604,18.0956,16.6632,53.1848,8.5757,19.9127,8.4714,1.0436,4.7928,10.4926,1.2562,4.4987,10.8992,258.0602,54.8847,30.7561,192.7272,57.4493,6.8497,11.0759,27.0418,1.3039,17.3134,1.5239,5.6573,4.1715,14.0286,55.8715,46.4114,20.4093,74.3526,190.3434,84.3729,18.3049,5.0849,0.0
UKR_P,1.5412,0.0029,1.4316,2.3596,1.1716,2.4856,0.0357,0.2533,0.3457,0.1542,0.4686,0.8315,0.6189,0.6041,1.1594,0.4915,0.0354,0.1208,0.906,0.7489,0.2101,0.6027,6.2531,1.437,1.9965,9.6124,3.4537,0.5482,1.5979,2.1825,0.1473,0.8331,0.1273,2.125,1.6918,1.6085,1.9456,15.8056,2.3178,17.7352,289.1659,16.15,0.2969,0.3084,0.0
UKR_Q,3.0437,0.0226,2.3796,4.1216,3.7268,6.7089,0.0382,0.1978,0.2501,2.3225,1.8864,0.5989,2.1559,1.2524,6.6901,0.4872,0.0765,0.3899,0.978,0.2856,0.3936,1.5467,9.825,3.4547,11.4519,6.2842,13.2997,1.3972,2.1497,8.7526,0.0,4.4067,0.3616,0.6613,3.3527,0.5886,0.7235,2.9167,1.0753,29.9616,0.7818,998.1051,2.6865,0.6537,0.0
UKR_R,0.7023,0.0023,0.5082,0.0211,0.0199,2.1987,0.1209,1.7305,2.2495,0.0746,0.1024,0.0226,0.1371,0.1103,0.6963,0.0396,0.0691,0.1376,0.4266,0.1293,1.5565,0.1287,1.4243,0.4383,0.1391,5.4264,1.628,0.845,0.4632,1.4168,0.0,3.1072,24.7259,0.098,5.8117,1.7355,4.889,8.3058,0.761,43.462,5.4784,6.7117,39.2529,73.838,0.0
UKR_S,6.34,0.0214,3.0103,0.6476,0.3145,6.8019,0.7661,0.44,0.6197,0.1681,0.1361,0.3066,1.2229,1.1892,0.832,0.2997,0.0824,0.3475,0.4588,0.1423,0.138,1.5028,12.5924,7.5751,4.6594,69.853,6.5252,0.8421,1.4718,3.9158,0.0387,7.4823,1.7295,2.2185,7.1454,6.7489,12.4462,13.5122,5.9121,0.0,9.077,63.0914,5.0734,15.0116,0.0
UKR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
