V1,EGY_A01_02,EGY_A03,EGY_B05_06,EGY_B07_08,EGY_B09,EGY_C10T12,EGY_C13T15,EGY_C16,EGY_C17_18,EGY_C19,EGY_C20,EGY_C21,EGY_C22,EGY_C23,EGY_C24,EGY_C25,EGY_C26,EGY_C27,EGY_C28,EGY_C29,EGY_C30,EGY_C31T33,EGY_D,EGY_E,EGY_F,EGY_G,EGY_H49,EGY_H50,EGY_H51,EGY_H52,EGY_H53,EGY_I,EGY_J58T60,EGY_J61,EGY_J62_63,EGY_K,EGY_L,EGY_M,EGY_N,EGY_O,EGY_P,EGY_Q,EGY_R,EGY_S,EGY_T,EGY_HFCE,EGY_NPISH,EGY_GGFC,EGY_GFCF,EGY_INVNT,EGY_DPABR
EGY_C20,303.9203,0.144,1.7898,1.0888,3.2129,9.6507,274.2451,91.4098,159.0553,24.6374,543.668,245.1124,342.9713,36.0158,40.0439,38.3541,20.1061,124.3896,10.3995,18.2823,2.3191,44.4704,0.18,5.2244,15.2856,0.7927,0.1147,0.6128,0.074,0.4827,0.0329,7.6688,0.0067,0.0192,0.0028,0.7577,3.6886,0.0375,2.0838,1.8288,5.5317,162.2463,3.8769,7.0978,0,1395.8644,0.0,0.4334,242.0936,122.6503,0.0
EGY_C21,0.125,0.0472,0.3611,2.081,0.3948,2.3305,30.5559,5.4504,4.2899,1.1385,29.159,17.6817,28.2854,5.8805,6.4877,5.8735,2.2165,15.9101,1.5985,1.6902,0.2052,5.6401,0.0567,0.1065,2.3909,0.0466,0.0445,0.0435,0.0602,0.1105,0.0033,0.6555,0.0018,0.0145,0.0008,0.1773,0.7117,0.0293,0.013,1.3639,4.0629,29.2907,0.5456,0.0985,0,1643.1822,0.0,45.6394,149.691,21.3843,0.0
EGY_C22,13.9969,0.0249,0.3202,3.6745,0.0114,400.5298,99.3429,0.2877,5.7835,0.1682,26.7715,26.745,4.4238,21.0361,26.5353,5.1143,8.3211,19.8363,1.1616,0.6249,0.0465,2.7553,0.0251,0.1053,531.5724,31.505,1.3687,0.0484,0.0092,2.5473,0.6604,19.7172,0.0835,0.005,0.3289,0.1046,0.946,1.1139,1.1893,0.0535,0.3776,3.1111,0.1531,1.5201,0,443.4405,0.0,0.0031,1.4431,25.8714,0.0
EGY_C23,0.5615,0.0686,0.6198,0.6304,1.4862,1.8649,26.0364,7.3601,1.4819,2.536,6.4771,9.9327,26.384,241.9246,204.9007,25.4949,15.207,74.0011,12.2549,27.6334,1.8334,22.3033,0.1367,0.073,1141.9428,0.3223,0.0902,0.022,0.0877,0.1918,0.0034,11.2008,0.0294,0.0768,0.0072,0.5268,39.8823,4.3062,0.7888,7.3867,11.7865,66.0507,1.3837,3.2577,0,2050.7861,0.0,0.0029,14.439,83.7834,0.0
EGY_C24,0.0085,0.0,7.081,1.4998,6.8156,4.6244,13.0876,8.2414,21.2516,6.8652,8.1001,8.6092,27.8083,14.9242,974.497,775.9829,87.1303,496.1555,164.5298,212.542,7.7256,98.2834,12.0925,5.7131,699.2005,3.3543,0.2279,3.3601,0.0,1.1775,1.0362,1.7632,22.0056,42.2098,4.2858,0.7628,2.2312,40.1799,7.6094,4.1959,7.7893,6.9699,0.7208,6.1178,0,1896.9732,0.0,0.0,604.0374,113.8611,0.0
EGY_C25,137.0093,40.806,58.1712,3.6806,3.8782,73.7722,21.8886,6.3073,7.7285,1.0765,10.918,5.2086,13.242,18.7665,22.1512,317.8804,5.263,305.1579,38.2803,54.3444,3.9982,180.7874,26.2165,3.0169,327.7316,56.7779,64.1117,7.7898,54.9078,104.7595,0.6235,41.378,2.7086,8.6634,1.5494,21.4449,11.48,19.4153,8.6477,33.166,42.0709,98.8021,27.3395,18.0209,0,794.3341,0.0,0.0,858.9861,65.309,0.0
EGY_C26,0.0091,0.0007,0.2635,0.002,0.0888,0.034,0.0603,0.0076,0.0463,0.0273,0.0355,0.0251,0.0269,0.0182,0.1247,0.3589,16.3341,6.4201,1.0943,0.4573,0.0051,1.5637,0.2777,0.119,1.95,0.0463,0.0072,0.0048,0.0009,0.0275,0.3324,0.0446,2.5595,6.5095,0.5079,0.1328,0.0028,0.9746,0.0775,0.1859,0.6327,4.4466,0.259,2.6893,0,117.4007,0.0,0.0022,287.891,13.9213,0.0
EGY_C27,0.0084,0.0,14.6723,1.2013,4.7686,47.0215,15.8922,1.0624,3.9887,0.4479,5.4653,3.5635,2.1215,7.8364,18.1998,7.1367,6.4515,80.4447,5.1424,3.9021,0.8029,7.3241,18.2748,1.464,197.7234,0.2039,46.8588,14.244,0.5133,28.8033,0.3118,32.1045,2.5804,5.0623,0.5171,0.0964,0.7516,0.7042,0.3533,4.6505,2.5905,9.2828,2.2512,1.1274,0,965.6786,0.0,0.0,1511.3992,60.3268,0.0
EGY_C28,0.0518,0.0115,9.6494,0.746,2.9701,31.0924,10.4928,0.7062,2.563,0.2712,3.571,2.3282,1.3316,5.1122,11.9896,4.9737,3.4386,8.6258,2.2942,2.0081,0.4098,4.9883,10.3659,0.8612,105.9682,0.1907,30.8843,9.2302,0.353,18.9849,0.1657,21.1692,0.0152,0.0144,0.0031,0.0222,0.4889,0.1444,0.1827,2.6714,1.5991,5.9644,1.4964,0.6375,0,132.0322,0.0,0.0001,390.5757,16.0879,0.0
EGY_C29,0.0766,0.035,0.4497,0.0258,0.19,0.3189,0.3406,0.1984,0.064,0.0498,0.0511,0.0335,0.1724,0.3957,0.3717,0.5486,0.0992,0.5028,0.3476,63.99,2.3096,2.5272,0.2233,0.0963,4.2905,0.2257,0.2726,1.5226,0.0466,0.3366,0.0069,0.3965,0.2059,0.416,0.037,0.462,0.0195,0.0817,0.0392,9.188,0.0863,0.2663,0.0487,0.4303,0,496.074,0.0,0.0,749.8059,22.0867,0.0
EGY_C30,0.0,0.0,0.2963,0.0106,0.1772,0.0017,0.1207,0.0704,0.0246,0.0255,0.0064,0.0086,0.0547,0.1292,0.1491,0.106,0.0455,0.064,0.0821,4.6799,6.1585,3.5258,0.0318,0.0067,0.7424,0.0477,0.0243,2.5438,0.0001,0.0884,0.0014,0.0968,0.0288,0.0527,0.0084,0.0929,0.0001,0.0216,0.0142,6.3015,0.0056,0.0988,0.0048,0.2862,0,37.4445,0.0,0.0,216.8127,-134.6647,0.0
EGY_C31T33,219.1124,72.0299,100.8026,5.3489,3.668,183.0088,28.0463,3.0738,11.0806,1.5137,15.2776,6.8478,6.3835,24.2129,17.559,15.7187,0.9678,8.9862,5.3842,6.3147,0.3595,32.8764,42.6747,5.5048,70.5826,43.7645,113.3645,13.4392,96.9504,184.3696,1.1157,70.1557,1.3484,13.4495,0.3405,37.8836,12.7178,18.8696,7.3256,58.1861,57.433,135.7319,40.2791,20.63,0,1799.6735,0.0,0.0,641.9212,2.1429,0.0
EGY_D,19.9767,0.1026,2.4317,1.4679,0.8341,530.2054,63.8245,4.1779,99.6235,5.3296,55.2888,12.2779,11.2831,136.7303,180.0556,16.5213,0.6448,8.7034,3.1656,5.2303,0.4417,18.5377,431.7897,25.8203,9.6545,43.5631,24.4645,0.593,0.876,78.9181,2.0834,302.2144,12.1871,8.5415,0.5163,72.8774,11.1432,9.5769,4.5245,23.3449,30.513,55.7094,40.5382,28.0278,0,7912.7744,0.0,0.0,0.0,33.8253,0.0
EGY_E,3.6893,0.0094,0.1239,0.0885,0.3266,11.9669,10.1569,0.2075,3.8647,0.0409,0.9763,0.5606,0.3374,6.51,131.8821,93.9182,0.1119,0.5249,14.4988,0.3345,0.0434,0.7602,0.3037,0.5623,44.125,3.6574,4.4234,0.7367,0.081,9.6922,0.0887,0.0819,0.238,0.1001,0.0183,2.2509,2.7022,1.1317,0.4647,8.1925,7.3561,10.8251,12.4296,2.8107,0,985.517,0.0,38.1543,0.2625,0.2636,0.0
EGY_F,0.7791,0.0,0.3311,3.0584,0.8061,7.3333,0.8629,0.388,0.6006,0.127,0.1881,0.1191,0.4748,0.5549,1.8119,1.5532,0.4158,2.6531,0.5062,0.4332,0.0359,1.4707,0.4072,21.4024,1353.1092,31.6306,2.9097,2.7993,0.0045,0.0378,0.0024,16.921,4.0324,20.1917,1.402,3.0935,1141.3884,1.6589,0.914,84.1405,17.0221,56.8372,1.547,4.8012,0,2747.8789,0.0,0.0,17011.6943,640.906,0.0
EGY_G,1174.5934,50.7518,231.8633,11.5347,8.2568,2180.895,564.4606,64.0036,168.8489,789.8104,228.1069,107.0596,107.7322,158.532,313.6634,132.862,35.6571,161.5348,32.1141,68.0726,6.4891,189.3863,302.1529,22.6887,1349.4159,115.1888,164.1017,56.5231,73.4652,123.2214,4.9792,276.3574,36.9669,42.7696,2.0656,95.2713,23.6671,42.1021,42.8102,47.0488,77.0275,235.0412,40.0841,89.8885,0,15830.5413,0.0,15.9172,1648.6515,508.9846,0.0
EGY_H49,72.2513,0.97,85.6718,3.5312,0.7522,379.2696,83.8976,11.4352,22.014,49.1946,32.8448,16.3498,12.1243,30.3714,37.1124,34.3355,3.5206,22.5763,12.4234,8.4935,0.7984,34.0875,25.4292,1.7392,95.7473,152.6674,67.4571,17.0042,9.8273,73.0898,2.1279,38.3355,6.6046,7.2266,0.3388,31.0709,7.8915,58.2352,13.1023,26.465,127.9375,46.6392,55.5466,13.3406,0,6607.0259,0.0,0.6896,73.1512,0.0416,0.0
EGY_H50,40.0612,1.1949,16.3195,0.7188,0.4979,76.256,26.3595,5.7783,8.1968,66.8713,17.4703,6.684,10.6847,14.1468,48.6795,18.7741,4.0499,22.9211,4.0759,8.8065,1.0788,25.8322,29.7981,1.1711,63.0131,825.3748,12.4073,76.9217,3.5625,5.6583,0.2339,13.5437,2.8086,6.5668,0.5025,2.8888,0.6517,4.112,4.5109,19.7689,6.0907,14.9854,3.8764,9.2614,0,4248.9083,0.0,1.0449,136.148,156.7629,0.0
EGY_H51,9.5765,0.2946,3.9547,0.3753,0.1506,17.9256,6.2814,1.4276,2.1427,15.7489,4.2693,1.6146,2.2943,2.8992,9.3892,3.6243,0.8708,4.4589,0.8006,1.6657,0.1002,4.2349,7.2065,0.2091,10.9235,3.5009,2.7492,1.9525,2.3541,1.3754,0.0581,3.0779,1.0796,3.5721,0.2595,0.209,0.1457,0.7728,8.3602,5.252,1.1368,2.3514,0.7999,2.1023,0,1246.9211,0.0,0.2462,34.522,43.312,0.0
EGY_H52,73.6217,1.5732,30.9069,23.6103,4.2826,140.977,59.7367,16.2521,28.731,139.6897,33.5966,14.1723,19.8332,43.3042,107.4535,49.1788,3.4429,24.9792,8.0428,6.662,0.335,32.8719,47.7145,1.2745,97.1485,337.3599,21.9784,9.7826,52.0553,346.0957,0.2661,22.8116,11.989,48.8761,3.4504,1.7552,2.2569,19.2086,424.1498,64.9957,26.9759,306.6994,16.0029,38.6257,0,4648.7139,0.0,0.914,98.3052,59.8203,0.0
