V1,NOR_A01_02,NOR_A03,NOR_B05_06,NOR_B07_08,NOR_B09,NOR_C10T12,NOR_C13T15,NOR_C16,NOR_C17_18,NOR_C19,NOR_C20,NOR_C21,NOR_C22,NOR_C23,NOR_C24,NOR_C25,NOR_C26,NOR_C27,NOR_C28,NOR_C29,NOR_C30,NOR_C31T33,NOR_D,NOR_E,NOR_F,NOR_G,NOR_H49,NOR_H50,NOR_H51,NOR_H52,NOR_H53,NOR_I,NOR_J58T60,NOR_J61,NOR_J62_63,NOR_K,NOR_L,NOR_M,NOR_N,NOR_O,NOR_P,NOR_Q,NOR_R,NOR_S,NOR_T,NOR_HFCE,NOR_NPISH,NOR_GGFC,NOR_GFCF,NOR_INVNT,NOR_DPABR
NOR_C22,13.8645,9.8349,12.2492,2.8633,16.6952,70.845,1.3625,8.2948,7.4617,15.2245,16.8763,4.343,37.5599,5.8346,6.1869,14.4033,2.669,15.6414,16.7457,2.9582,11.443,25.897,3.9643,49.8752,236.723,104.0548,63.8677,5.9057,3.4923,8.3275,1.0365,10.0495,9.0959,3.0993,6.5204,2.9324,29.2308,26.5634,26.3713,11.6713,11.0303,22.1772,7.0941,4.982,0.0,98.1038,0.2101,12.6291,40.2546,40.3049,0.0
NOR_C23,7.4096,11.8398,57.3099,3.9643,43.1657,39.8017,1.0068,63.7451,2.9821,2.7326,8.0661,0.8054,11.9183,358.6252,33.7415,31.9922,6.6736,6.7739,14.0064,8.0322,77.5609,21.781,4.3701,11.5266,1832.5457,87.461,5.9371,10.5845,3.8759,112.2077,0.9448,43.8833,6.7603,1.8565,5.4534,2.1177,169.1128,14.9704,10.2416,129.696,31.0625,28.8381,5.8035,3.5509,0.0,281.3882,1.0335,4.3788,96.2013,144.4244,0.0
NOR_C24,0.0,1.1059,23.2967,0.1528,27.8713,0.6769,5.7939,13.1303,6.2094,0.109,1.3354,0.0821,6.983,17.8658,1905.8592,244.6491,13.4068,336.9441,77.0169,68.6985,70.5332,122.1408,0.0,25.4749,28.2725,50.6849,0.0,0.0,0.0029,39.9159,0.0,0.0565,1.3866,0.0,0.0497,0.0,0.0646,0.0799,1.9449,0.774,0.6418,32.3827,1.0239,0.0,0.0,4.4272,0.0,0.0,94.3694,366.5823,0.0
NOR_C25,14.1821,57.1489,85.1056,12.6823,77.2008,71.9059,4.799,39.6352,12.1979,6.3947,32.8516,2.1629,8.5627,33.337,90.0328,353.325,83.2718,20.044,199.4284,9.9229,375.8931,139.345,12.5488,37.9626,499.8889,149.0311,26.8994,78.8773,23.1226,193.3123,2.4887,13.8774,22.4144,13.8509,19.8446,9.8187,22.9318,61.7787,57.3462,55.6831,14.7032,53.7263,27.3887,20.5112,0.0,234.128,0.6657,20.5358,633.6078,123.7176,0.0
NOR_C26,2.7494,10.6842,12.5877,2.5218,6.8644,8.4349,0.3964,3.0105,4.1821,8.2267,2.1988,2.0452,1.9479,4.3144,2.2962,17.1281,109.6089,23.7436,17.2708,1.1603,37.0504,28.6225,4.5185,10.9025,55.5708,82.676,5.0028,13.6576,3.6264,17.2816,10.2993,2.2411,38.4996,7.9465,25.3599,28.9925,11.9732,165.0649,68.2621,65.4322,25.2133,82.0288,10.5462,12.4421,0.0,386.7817,0.9252,32.6466,686.0686,74.6865,0.0
NOR_C27,3.862,21.7222,20.6721,3.7265,12.1917,18.2323,1.4378,8.4615,3.5901,1.9437,8.0902,0.4547,2.4848,10.2812,40.0156,17.6162,28.0553,113.0453,40.2345,8.9789,49.1671,53.9195,3.5419,6.338,420.1693,99.1179,35.5033,31.0347,8.4338,48.4446,1.6949,8.5223,8.4237,6.55,6.8968,7.1997,10.7659,37.1282,27.4652,29.1,11.5517,24.3021,27.2259,20.6845,0.0,339.4883,0.5366,8.3575,325.4462,67.74,0.0
NOR_C28,8.4087,106.0518,160.9609,22.4226,85.4459,55.0756,4.2216,29.1579,13.1962,4.9303,18.9268,1.1978,5.557,44.3613,22.3618,51.6153,33.3261,11.0283,288.906,10.6627,181.2979,134.5995,6.6605,16.7776,267.0406,233.8943,64.643,133.0201,31.4103,228.9845,2.7798,3.5574,15.726,17.3567,27.763,9.8938,28.3906,51.3588,123.9957,25.2817,7.9883,25.5831,26.1445,7.3607,0.0,183.7818,0.5597,17.7822,1220.4499,140.3642,0.0
NOR_C29,1.1803,5.4349,5.1058,0.7431,3.494,8.6265,0.4905,2.0227,0.9745,0.7224,1.7024,0.1602,0.5612,2.5951,3.2747,2.6158,1.8717,2.6054,7.6835,2.2,7.2837,4.2663,0.5037,1.1843,18.2198,86.9731,8.8329,7.8836,2.3299,4.4301,0.3071,1.4003,1.3169,1.4692,2.0771,0.9684,2.4676,5.3201,4.0236,3.1778,1.1657,4.947,1.8294,2.2655,0.0,368.7606,1.4086,14.0845,232.3372,31.8541,0.0
NOR_C30,0.0344,0.7358,21.8292,0.0176,0.0979,0.2761,0.0124,0.144,0.0526,0.1207,0.1053,0.0205,0.0573,0.0752,0.1741,3.8956,0.0636,0.0444,0.2351,2.4921,228.625,90.6057,0.2582,0.579,1.2364,0.998,0.9294,373.2251,30.9997,0.1245,0.0017,0.0471,0.3592,0.0087,0.2103,0.0,0.0775,1.0434,0.4811,47.4286,0.1651,1.4294,0.3106,2.8072,0.0,589.4308,0.0,6.4454,3111.4354,542.3884,0.0
NOR_C31T33,16.3567,229.6046,148.4663,26.9238,74.9076,171.6551,6.982,88.3882,40.9481,15.026,55.8046,3.667,18.8501,128.8938,60.8065,113.5247,42.0604,39.3963,191.5605,12.3664,314.1674,154.5781,10.5055,38.9112,344.1503,190.7927,130.1213,416.4057,97.243,72.1506,6.7689,20.0031,27.4315,55.4921,36.1851,32.7027,73.0898,121.128,120.3505,52.6311,19.5382,91.2615,64.0589,35.8629,0.0,649.4088,2.5546,79.9708,875.9057,76.4998,0.0
NOR_D,79.0568,99.5695,88.3125,37.8815,181.2816,189.796,6.5464,63.4538,158.059,43.1739,316.1225,10.6401,18.8935,67.041,1068.2621,64.1883,15.2794,16.3785,57.5829,9.8509,89.17,72.1584,218.8273,76.3068,215.8342,375.198,76.1667,115.8367,33.7654,98.2152,7.494,130.3819,24.9862,28.1799,39.0349,31.0611,322.8437,77.2672,77.9387,588.1422,221.8989,255.7596,80.0244,73.7337,0.0,2951.1379,0.0,5.7357,258.7558,12.88,0.0
NOR_E,1.4428,15.8881,14.8291,2.3673,38.4364,22.1118,1.2405,4.3224,243.7396,19.7272,114.1999,4.9176,1.8572,18.3995,282.854,7.7662,5.9436,8.2308,10.9337,2.1746,14.844,16.6565,10.8837,1146.6812,403.3987,399.259,20.3808,32.9065,17.312,180.081,2.4778,86.8026,40.0504,10.9468,50.897,25.647,591.5801,135.2302,60.0458,158.0771,111.4837,109.4661,31.0899,33.6689,0.0,1472.4386,0.0,217.3839,208.4618,0.1148,0.0
NOR_F,211.1166,114.6788,39.7684,13.2419,151.4682,97.2748,3.5117,27.8644,14.159,24.2593,20.7372,6.0285,8.2319,38.3576,20.9425,42.1404,12.2127,8.6603,56.6805,4.9634,61.2314,38.0657,32.6834,272.0395,15297.9279,284.7305,44.0196,59.7078,18.6867,253.6624,6.7487,239.7805,22.0275,544.4523,41.6772,144.7045,2910.133,76.8185,63.2292,3945.4812,296.7689,555.2464,137.876,60.7537,0.0,321.7225,0.0,29.0268,41652.2353,9.2208,0.0
NOR_G,382.5411,684.5088,324.3636,74.8791,322.4025,2800.4374,178.0425,255.7856,138.6044,168.5949,319.2057,36.9396,105.3912,247.4886,368.4603,280.3068,216.7894,213.6079,295.8535,57.3886,353.6174,412.0277,84.5571,285.7003,3509.5968,1915.847,904.9705,563.975,258.7085,455.4804,134.1065,523.9732,327.4683,102.4304,535.8913,269.7214,673.775,890.6666,826.6864,685.989,285.9445,1076.8305,334.8797,257.5386,0.0,15153.7021,0.0,345.2551,2849.4947,1604.3862,0.0
NOR_H49,41.1649,52.6851,44.7698,23.4887,162.9811,332.4342,12.4582,70.1669,57.5558,131.0619,109.8601,32.3845,26.9731,113.4172,121.0104,50.2973,21.7656,27.8395,48.6163,11.5966,47.3272,55.6465,9.0225,59.7816,597.7229,785.7794,420.8847,50.1756,58.2197,164.4042,63.8782,41.6494,143.4901,20.1219,67.1772,56.5878,105.0189,107.0273,178.8725,1168.5955,177.9824,173.69,30.2094,35.3341,0.0,2863.9981,2.4919,274.0243,411.1973,285.1367,0.0
NOR_H50,12.9842,19.0339,101.2839,11.4234,38.0641,96.343,5.3269,16.9814,13.4637,23.9342,30.1535,6.4588,8.127,26.3303,31.8803,21.2127,11.6023,12.689,24.0713,4.346,28.2142,30.5919,5.8809,23.5667,188.8471,201.5707,156.1286,490.701,80.1521,47.3865,12.8222,26.3174,31.0048,10.2403,27.169,17.4146,36.5155,69.721,72.5625,82.9086,14.9206,52.1206,17.4106,15.025,0.0,895.972,0.3023,41.7727,288.546,380.6537,0.0
NOR_H51,7.2771,13.3694,49.978,6.7637,21.0412,47.9087,2.5201,7.9345,6.7861,21.3272,18.8335,5.4057,3.5622,11.6275,20.6872,12.2287,8.5092,7.0077,23.3119,3.0003,22.1132,19.7919,4.9254,7.4254,113.4986,122.8952,23.1718,33.8053,106.179,21.1989,16.2199,9.8303,16.4306,8.3129,27.0649,17.5517,17.3487,68.0179,392.1301,60.6734,19.0622,43.3079,19.1003,17.7379,0.0,671.2133,18.0431,64.5299,135.4954,118.5939,0.0
NOR_H52,25.694,21.365,17.5548,8.188,67.1065,114.9212,4.3587,20.9156,14.3039,29.7557,25.9317,7.2319,7.3067,31.2614,31.4085,21.0946,8.062,9.7409,21.2905,5.4481,18.272,20.0747,5.4157,60.9089,427.149,515.6219,324.7087,1546.7581,321.6996,75.1136,44.2926,43.1251,56.8971,21.3928,70.2616,77.0678,153.4587,84.4582,148.9262,152.6776,38.2448,96.2305,22.6808,27.403,0.0,2841.4758,10.1193,200.6885,337.118,75.2144,0.0
NOR_H53,3.5943,4.2364,12.7272,4.1195,7.2986,20.7904,1.521,5.0053,3.1303,14.161,10.6412,3.5132,1.711,4.4563,8.2487,6.8095,4.6834,3.7686,13.8039,1.7122,8.026,10.7963,30.3566,32.6727,72.3753,235.9995,17.139,3.8049,10.3593,67.3574,4.8953,19.848,214.208,12.9746,71.4797,99.8707,82.2701,228.9526,111.5597,107.8974,29.0719,66.3594,32.9451,22.6783,0.0,89.7539,0.0,0.4035,7.1649,2.984,0.0
NOR_I,2.1167,7.0165,68.7112,9.354,42.0166,54.1954,3.58,13.7294,13.5158,53.3231,41.4524,13.2758,6.8024,16.0608,36.6301,26.188,19.3836,11.6211,39.3381,6.7385,31.0495,40.9888,30.6091,10.4798,120.3946,301.9054,30.8936,24.688,76.9322,28.5336,5.8733,255.5316,47.4568,20.9484,76.888,63.8015,20.2774,132.0329,827.1635,213.1972,54.7562,170.4686,54.2713,32.3033,0.0,5998.507,0.0,5.0144,17.7391,0.0012,0.0
NOR_J58T60,4.5237,7.3585,38.4975,5.0234,15.3821,27.4822,1.8021,5.4457,15.1045,12.3132,11.9642,3.0811,2.4946,8.2132,9.4807,8.5845,4.6069,4.0033,11.9255,1.5856,10.1535,13.9389,20.1506,24.7795,106.1249,715.9384,41.3424,40.9765,94.6345,67.9509,9.1278,53.2977,470.3597,122.7556,1041.8668,137.6549,96.8646,571.4283,325.3105,159.9726,259.5843,103.6906,94.1338,126.683,0.0,1943.5602,0.0,40.9994,624.0961,11.1399,0.0
NOR_J61,10.7276,8.2731,26.2358,6.7502,36.3098,32.4421,2.283,7.6975,4.995,21.2384,16.3187,5.2663,2.6863,7.1659,12.9066,10.6513,7.116,5.7425,20.8634,2.5013,12.6333,17.0996,46.0824,48.207,112.5855,343.8823,171.1696,459.9186,21.1567,107.5269,7.6361,29.468,70.7115,1839.0224,112.1836,109.2837,122.5438,338.6338,166.5842,155.4863,42.3188,98.9607,28.3505,33.4345,0.0,2573.3552,0.0,15.2739,154.0949,6.6405,0.0
NOR_J62_63,3.4159,12.6782,52.9467,8.4312,31.2655,59.0022,4.278,13.0035,8.7992,31.638,28.891,7.8999,4.7573,12.4232,21.4116,18.5352,12.3809,10.1698,37.3483,4.4012,22.9208,30.3194,170.4429,86.2644,199.2409,760.7001,53.286,27.6015,37.6997,461.0699,13.7048,54.7235,172.5236,283.4885,424.4199,1053.99,211.3596,961.6649,296.8096,552.936,100.9051,665.5694,68.6737,59.1738,0.0,125.8614,0.0,87.9363,3520.8496,9.2257,0.0
NOR_K,81.6412,115.6851,306.9471,37.8439,239.0302,320.8,11.4631,60.7594,56.811,281.7547,148.7751,70.2647,25.8127,72.2481,158.3575,105.887,61.9265,46.1238,121.519,23.1984,143.4495,145.2342,135.0737,51.4508,729.4518,680.0085,172.1938,1014.2795,100.2297,243.3785,27.0419,129.4256,149.0098,100.6554,232.3358,3235.1553,4206.7053,507.7264,263.0611,1551.4155,143.3131,349.0631,127.3285,157.5294,0.0,6579.6071,0.0081,18.2905,160.1305,13.6584,0.0
NOR_L,7.8174,0.5542,114.653,32.7988,37.8814,173.7585,19.5549,45.9804,54.422,20.7225,32.8397,5.1661,30.9938,45.2535,15.05,139.6336,51.0686,33.8194,91.0909,19.0922,107.0071,159.9961,53.0819,85.3954,643.7919,3191.0293,103.2786,84.1138,26.9625,228.6032,76.6658,777.7696,137.4927,106.3584,223.5177,291.9884,1325.993,657.2764,442.9976,807.9234,348.1647,583.2125,333.7161,242.9112,0.0,27800.2723,0.0,23.9824,2546.976,0.1501,0.0
NOR_M,68.3337,217.1654,525.3475,49.8392,657.7766,104.2825,7.4304,23.5976,18.1663,71.2094,58.617,17.8056,8.8961,23.7968,46.242,35.61,25.2196,19.0553,122.9956,9.2603,51.6794,60.4972,184.0093,152.1982,3935.3757,1323.7078,113.0001,31.2556,85.1209,366.5419,24.1123,287.5841,206.2181,269.078,531.5603,514.0313,442.7029,1943.0338,702.0579,631.5092,161.3286,368.2908,185.6328,217.1561,0.0,365.3394,169.8909,384.3157,9595.8272,15.4444,0.0
NOR_N,12.0323,33.1338,644.5097,68.1252,284.6088,250.305,11.4873,45.3066,41.9769,88.5247,101.2116,22.0566,22.1621,71.234,69.5993,86.1119,36.0278,39.0601,106.1825,14.5129,96.8982,142.6724,144.5766,223.8335,1444.9416,1412.4021,378.8724,537.6958,366.0325,540.1844,56.8037,291.4219,243.4435,153.6586,461.1826,360.0014,504.334,1338.2857,915.7718,675.1472,310.8757,479.4688,175.1038,191.0,0.0,1920.1597,0.0,30.9708,1536.5596,12.7532,0.0
NOR_O,6.121,5.947,77.1808,2.6525,16.0793,107.9571,6.5828,22.702,31.8583,135.2276,105.0281,33.7226,12.0968,36.9065,92.4476,51.8378,42.3838,25.6196,66.8563,16.3138,70.152,97.8468,10.7943,11.9561,671.3676,193.2858,433.8128,169.5587,11.5867,180.5347,4.2804,10.3669,101.8425,22.4776,163.4206,72.2051,52.1258,307.7662,68.7748,438.2808,174.9265,357.1804,201.4894,153.1882,0.0,2932.1837,3.3331,32124.1487,420.2156,0.0303,0.0
NOR_P,0.7105,0.6676,6.1658,0.3777,7.4249,11.8763,0.7445,2.5382,3.4866,14.5374,11.0992,3.6725,1.3334,4.038,10.1416,5.5397,4.4855,2.7912,7.1716,1.7634,7.9072,10.3032,1.1418,6.3957,56.0167,19.7553,2.481,3.0455,1.9144,22.9062,0.1545,0.7784,12.7916,3.4023,23.6496,9.0168,7.1176,54.5319,13.5781,112.7112,96.5234,119.285,88.1014,19.0479,0.0,1276.9705,894.5577,18256.1293,1797.6321,0.0194,0.0
NOR_Q,6.4255,4.4525,7.784,0.9441,9.3725,14.1311,0.7858,24.0454,7.3162,9.2741,8.7957,2.303,1.9837,4.6653,10.0523,15.8649,10.1664,5.2063,12.3415,1.8546,19.4692,14.3111,1.6695,4.2959,89.4293,30.8808,6.104,7.7766,1.9146,20.5171,0.797,2.3775,15.1768,2.2695,13.4533,7.4841,17.7769,37.7274,12.8976,85.6124,14.4224,44.1965,17.9195,13.4661,0.0,5196.6787,3639.293,40319.7842,510.5253,14.7674,0.0
NOR_R,1.4735,2.7238,9.2984,1.6922,2.8549,18.5426,1.2225,3.5849,3.4582,12.6124,9.7104,3.1115,1.5336,4.3549,8.4394,6.3557,4.5369,3.1907,8.3167,1.5658,7.6515,10.4448,6.1414,7.3341,31.7241,70.3236,7.3004,7.7933,4.9922,26.9406,1.7228,10.0571,24.466,4.3354,24.5271,11.5238,25.1526,63.6263,28.5252,56.4371,20.9916,39.096,134.8311,16.4852,0.0,3024.437,1599.6065,1059.5298,283.3289,4.4951,0.0
NOR_S,9.0113,10.0341,13.0383,5.0109,13.4278,41.6364,3.8415,12.4155,9.3902,35.0759,27.181,8.7177,4.361,13.0737,24.8847,17.1241,12.5862,7.9095,20.3582,4.2841,28.679,28.4434,12.5075,11.1932,107.5531,131.3426,19.3116,10.9486,5.105,65.1695,3.8079,53.1694,40.352,8.0382,52.2799,28.2086,36.4955,132.7786,50.1682,152.9635,102.5141,342.0557,37.6011,83.4155,0.0,1792.3755,2847.5552,18.3951,14.9061,2.836,0.0
NOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.9582,0.0,0.0,0.0,0.0,0.0
