V1,UKR_A01_02,UKR_A03,UKR_B05_06,UKR_B07_08,UKR_B09,UKR_C10T12,UKR_C13T15,UKR_C16,UKR_C17_18,UKR_C19,UKR_C20,UKR_C21,UKR_C22,UKR_C23,UKR_C24,UKR_C25,UKR_C26,UKR_C27,UKR_C28,UKR_C29,UKR_C30,UKR_C31T33,UKR_D,UKR_E,UKR_F,UKR_G,UKR_H49,UKR_H50,UKR_H51,UKR_H52,UKR_H53,UKR_I,UKR_J58T60,UKR_J61,UKR_J62_63,UKR_K,UKR_L,UKR_M,UKR_N,UKR_O,UKR_P,UKR_Q,UKR_R,UKR_S,UKR_T,UKR_HFCE,UKR_NPISH,UKR_GGFC,UKR_GFCF,UKR_INVNT,UKR_DPABR
UKR_C20,705.9165,0.532,53.4308,23.597,7.1407,126.7572,26.6083,45.4748,96.6687,27.9711,253.4587,38.0502,175.1327,53.0064,31.6927,17.6019,1.9912,7.6909,7.0123,1.6977,2.8048,18.2333,4.5061,4.6546,50.5698,204.227,8.5438,2.0659,2.7666,6.5312,0.0607,3.9667,0.6596,0.2519,0.8309,0.1996,3.8045,8.0319,3.829,21.012,0.9024,13.9855,1.2404,6.2873,0.0,283.0636,0.0,1.4287,0.0,22.9197,0.0
UKR_C21,50.1812,0.0377,0.0569,0.0539,0.0083,15.5677,0.0206,0.0384,0.0583,0.0541,1.046,141.1247,4.039,0.2027,0.1193,0.4459,0.0181,0.0143,0.0378,0.0269,0.0701,0.4702,0.0946,0.0699,39.6166,27.2672,0.1693,0.1249,0.0916,0.166,0.1162,0.7022,1.2217,0.0583,0.6475,3.981,0.4865,2.8056,0.1562,5.5628,0.7791,221.8963,0.7437,0.3173,0.0,697.1099,12.6942,2.0769,0.0,12.9095,0.0
UKR_C22,75.6507,0.0564,10.3956,26.9582,9.5228,460.3324,6.3738,33.8536,57.3803,2.7823,42.6308,12.4904,392.2564,24.1957,15.1087,21.1579,3.6043,41.4546,22.4352,15.7693,5.659,37.1406,6.1132,16.9858,236.8499,221.9597,52.3507,4.2429,4.8569,17.0906,1.3559,2.7851,1.4762,1.0523,2.4847,0.9239,11.079,54.6701,9.8998,0.0,2.4499,5.9984,1.6327,1.6673,0.0,54.1015,0.0,2.9606,0.0,21.4608,0.0
UKR_C23,70.2614,0.0521,9.9513,13.5133,5.3144,255.8349,4.0487,9.675,3.7425,1.4004,7.5817,14.0358,55.7819,526.6598,229.545,17.254,4.0749,10.7483,9.5775,2.6434,4.5218,25.1446,8.139,6.2645,1043.8912,85.8768,65.3129,19.7838,24.1326,54.741,0.2239,5.2978,0.2825,0.4693,1.4851,0.2952,34.5119,50.4099,12.3801,108.452,2.0492,7.0716,1.4109,2.1838,0.0,525.945,0.0,0.6505,0.0,40.122,0.0
UKR_C24,48.3757,0.0357,50.7263,106.4479,57.8935,81.9887,6.0474,9.4271,12.8982,4.1869,9.3755,2.3578,52.7689,173.5467,2546.8982,654.1202,14.253,244.8986,552.5432,95.0169,168.9171,224.0653,504.5404,211.4525,979.4969,329.1013,18.282,9.3361,3.6622,13.0143,0.0386,1.0585,0.352,0.2251,0.1568,0.2151,17.0344,51.8256,11.3866,0.0,1.3929,0.9445,0.7057,2.7683,0.0,3.9472,0.0,0.0,0.0,148.4616,0.0
UKR_C25,28.5264,0.0211,153.2679,19.3727,7.8931,126.9319,3.2035,19.1403,8.181,5.2748,6.9878,1.9344,22.1469,22.4172,158.6558,162.2073,9.7875,11.3243,66.0255,19.2423,9.6829,58.4606,10.5655,5.6576,362.6428,109.1339,19.7964,6.2159,3.9206,19.0474,0.1712,4.372,0.6686,0.8067,3.1607,1.4328,16.2576,44.0863,7.239,67.7026,1.5813,1.9673,3.5216,1.9895,0.0,73.4205,0.0,0.2654,365.7529,20.1975,0.0
UKR_C26,8.225,0.006,1.102,0.3638,0.287,9.6182,0.2955,0.185,0.5547,0.6032,0.7078,0.3664,0.9529,1.6447,2.0765,1.912,20.7499,6.1278,3.4093,1.0044,2.1795,4.8126,2.5868,0.2864,15.5466,40.0044,1.2603,0.377,0.6456,1.3603,0.0527,0.3462,0.9976,13.5732,13.6268,1.0666,1.759,10.1113,3.3145,5.2088,2.8899,2.2554,0.3453,5.0094,0.0,113.7194,0.0,3.101,153.447,4.1145,0.0
UKR_C27,6.6454,0.0049,1.0456,3.2557,1.3209,7.5346,0.8975,1.3674,1.8651,0.2899,0.7737,0.6135,0.4826,1.1385,3.4769,3.0356,3.0961,24.0439,4.1128,1.457,0.6195,11.2427,3.2869,0.4712,67.5227,33.0101,2.1331,0.445,0.4008,1.3853,0.024,0.8367,0.3985,2.8548,4.2977,8.6005,2.7608,13.1276,2.2682,3.5649,2.215,2.447,0.616,1.7214,0.0,425.5427,0.0,1.5899,361.235,14.698,0.0
UKR_C28,115.1062,0.0851,97.8963,34.6648,13.6346,78.0546,1.33,7.3182,10.0126,2.0451,8.6995,3.9737,2.8929,14.3083,54.792,15.2676,5.26,34.1933,88.5564,23.68,63.3879,60.441,14.0637,2.4758,34.8301,61.9764,10.4676,4.3578,4.14,9.0158,0.0533,1.1228,0.1926,0.2189,0.8415,0.1052,7.9475,15.8581,5.8801,8.6063,0.5561,0.6972,0.6424,1.0248,0.0,14.56,0.0,2.0561,837.9116,17.108,0.0
UKR_C29,61.7574,0.0451,0.9054,7.7387,2.3609,8.6119,0.2513,1.0001,0.7432,0.1645,0.3557,0.0744,0.253,3.2716,0.5343,0.1535,1.0955,0.1785,1.4081,20.8182,0.5325,1.1579,0.8125,1.797,10.2209,79.81,15.1409,0.4906,1.2795,3.1236,0.2165,0.1791,0.0515,0.5007,0.3447,0.1039,2.0243,1.1581,2.4151,3.5811,1.5943,0.5844,0.1505,0.3916,0.0,257.1665,0.0,12.732,282.0861,8.1573,0.0
UKR_C30,48.6856,0.0684,2.0555,9.9448,4.1124,12.9959,0.0711,0.2569,0.367,0.191,0.6771,0.0281,0.1934,3.8413,14.4026,7.5555,5.9711,1.0772,3.0404,44.3078,125.2953,51.1684,3.2475,1.4668,78.1304,46.2402,44.5375,49.3602,67.16,18.7761,0.0,0.1068,0.1028,0.4371,2.1835,1.3666,1.9056,6.167,6.6781,0.0,2.5115,0.1216,0.1436,0.1506,0.0,23.2365,0.0,0.0,825.2286,7.6505,0.0
UKR_C31T33,9.5987,0.0071,86.5765,31.3554,18.5887,33.0631,1.2443,4.6935,5.0601,2.8614,8.7799,3.0022,2.0725,10.784,41.6321,5.2052,0.8118,3.4641,4.855,2.9893,4.5879,88.707,23.6606,2.2171,24.3987,108.8249,47.1493,12.1672,24.567,32.3668,0.7881,4.3712,1.1041,37.0169,15.5155,17.8325,35.0612,10.7399,11.8458,152.8796,7.9964,10.3733,2.7907,4.0766,0.0,774.7584,0.0,1.8138,46.7346,2.1513,0.0
UKR_D,426.5052,0.6802,427.2125,588.7204,125.8636,735.1396,32.49,78.9854,132.2288,127.7149,249.5791,21.5937,81.282,212.0409,962.6885,60.9413,12.4966,40.0289,102.2677,17.3375,36.0629,48.1436,885.8782,197.0837,84.2554,355.5114,372.7351,30.3326,54.4652,287.8728,7.5676,94.9713,7.525,90.6375,24.1081,3.6642,1.5677,59.2166,97.2605,268.5948,394.9119,253.1762,63.898,28.3749,0.0,825.7977,0.0,1486.3281,0.0,0.0,0.0
UKR_E,20.8324,0.0414,6.3964,7.2683,2.5044,39.4865,1.8067,5.1787,10.8974,1.2957,6.6141,1.2196,0.8439,2.535,28.1516,2.3816,0.3606,0.9126,3.3194,0.7409,1.6295,1.4744,113.5637,40.5286,6.0503,35.0152,5.6655,1.5123,1.4816,6.0568,0.3429,7.1407,0.2438,0.2144,3.044,12.3574,31.8737,15.2475,40.0051,11.8078,18.2786,17.2448,2.1878,4.6647,0.0,100.652,0.0,773.3589,0.0,0.0,0.0
UKR_F,75.0459,0.1044,38.6547,21.4862,7.4713,53.282,2.5848,10.7274,11.6902,3.357,10.8264,4.7218,3.8419,33.2281,13.8111,8.1081,1.229,3.4173,4.6116,6.9196,2.4879,17.4344,29.267,9.9041,2455.4772,99.6358,64.3723,9.7627,13.5515,63.2509,0.331,15.6149,1.0425,8.4045,20.686,6.1344,279.9477,160.6075,43.0704,221.2934,4.7341,23.2525,2.1534,5.9324,0.0,87.6791,0.0,0.0,8306.9852,0.0,0.0
UKR_G,2130.7993,53.8451,243.8229,144.0687,58.5924,3230.5367,107.1965,169.1287,216.2396,296.1266,303.5187,141.7944,249.7258,319.6604,1164.4384,281.6264,86.4059,107.0002,156.1957,77.4475,147.5441,217.8538,434.8381,79.8435,854.2981,3054.166,413.949,78.7355,115.7288,148.4021,6.7851,60.8201,64.1709,129.2555,51.0904,19.7067,106.0953,178.0465,92.2897,240.8742,96.8453,291.2228,33.0658,46.3103,0.0,9621.6476,15.987,188.0645,1412.368,242.7602,0.0
UKR_H49,426.3593,10.4797,62.1827,111.5489,35.5766,465.3522,13.8451,33.1062,42.6643,96.6997,55.4403,13.5265,41.0487,79.3232,360.2552,36.1045,5.7927,23.2276,39.8194,20.6434,20.3364,37.901,190.1174,24.3806,184.1019,441.6258,123.4367,18.2574,22.5895,49.7972,3.5278,11.3167,8.7353,4.2279,11.3633,3.2184,14.2003,45.8605,18.4079,78.4386,24.54,26.1165,7.0776,6.8609,0.0,2210.6819,2.4987,442.5814,288.2937,41.1143,0.0
UKR_H50,68.2806,1.5225,10.5069,11.8529,4.3984,48.5041,2.4513,4.5646,6.2192,19.7756,9.0775,2.5725,6.6014,11.3438,51.9265,5.2681,1.333,3.6978,5.6365,2.6424,3.2943,5.089,29.3774,2.2752,20.6034,51.9523,16.498,22.188,4.5736,13.8867,0.2894,1.1008,1.0922,0.8634,1.271,0.4224,1.8523,4.5556,2.1714,6.6393,2.092,3.3129,0.7055,0.8472,0.0,182.0353,0.2778,43.5228,43.8565,35.0796,0.0
UKR_H51,46.7423,1.3617,7.5727,8.4456,4.1344,48.3907,2.271,3.3189,5.0308,12.5415,7.5943,2.4976,5.7309,8.6797,41.5666,4.2208,1.3279,3.091,5.0234,2.4423,2.7227,4.9151,29.1647,2.3567,20.8693,38.6629,10.9422,3.0379,10.2088,7.0354,0.436,1.4462,1.2366,0.9815,2.7433,0.7533,2.4932,9.1266,3.0382,12.3178,3.0182,4.0527,1.0589,0.9781,0.0,218.7849,0.3128,21.2323,35.729,35.8338,0.0
UKR_H52,202.6958,2.6864,27.2206,63.3045,18.4128,237.1036,6.1117,14.5347,19.5379,45.1311,25.9873,6.3338,18.4355,35.6761,142.6824,15.9809,2.9576,12.561,20.6654,11.5127,9.8343,18.9254,71.8805,12.509,75.0604,391.9046,134.2889,71.5483,85.9615,153.3619,3.0622,4.8216,3.4816,2.3969,6.4909,1.3579,7.9709,20.6289,10.3467,37.2172,5.9998,8.0818,3.2464,3.6934,0.0,552.2779,1.4356,337.2492,82.2545,11.7167,0.0
UKR_H53,0.6833,0.0003,0.0628,0.0508,0.0219,0.7068,0.1104,0.1183,0.2286,0.0123,0.0983,0.1296,0.0738,0.1209,0.0921,0.1019,0.0752,0.0631,0.122,0.0359,0.0218,0.2157,0.3868,0.2481,0.3544,5.7323,0.2492,0.0521,0.0686,0.2843,3.1629,0.0704,0.5216,0.2401,1.9198,0.8853,0.2753,1.1748,0.2873,0.9798,0.7363,0.2979,0.0236,0.2212,0.0,11.4315,0.0,1.3168,0.0,0.7728,0.0
UKR_I,2.6682,0.0074,5.4931,0.4625,0.3927,5.0242,0.2633,0.3798,0.6496,0.3053,0.5402,1.0458,0.3722,0.6371,1.6639,0.351,0.3275,0.6216,1.2185,1.9617,0.6857,2.8922,1.8995,0.1137,2.9922,26.6894,2.3704,0.3868,2.42,1.1922,0.0361,16.1946,1.1593,1.0619,13.342,0.9729,1.4284,18.3932,7.4276,16.3789,1.828,3.6827,7.4278,1.2619,0.0,827.0038,0.0,16.1927,0.0,0.0,0.0
UKR_J58T60,2.7384,0.0022,0.4787,0.4435,0.1922,46.8793,0.3566,3.4566,9.3992,0.2078,0.908,6.1424,0.441,1.7537,3.5602,0.6309,0.3592,0.2365,2.132,0.6563,0.7798,1.5601,4.1519,2.4462,3.6565,122.6069,2.2686,0.5762,1.4529,2.348,0.6212,2.8995,220.5355,12.3509,14.0763,6.6398,22.6015,132.5603,3.4254,0.0,5.8409,5.4305,11.0329,10.1093,0.0,47.3778,0.0,29.6434,0.0,0.5801,0.0
UKR_J61,14.4618,0.0166,3.1755,1.7505,0.9723,15.4469,1.2317,2.349,3.3338,0.6155,3.1357,1.8535,2.1867,3.7027,3.9539,2.2498,0.9254,0.9742,2.7887,0.5332,2.2051,3.5648,8.3503,6.367,15.2227,72.8743,17.8771,3.1446,5.2757,13.3029,1.0906,8.2428,18.5669,283.9474,47.9672,19.2495,11.6374,68.4009,18.8991,94.6304,13.936,18.2739,7.5552,2.9838,0.0,836.6892,0.0,0.0,0.0,1.309,0.0
UKR_J62_63,0.8698,0.001,0.3629,0.344,0.1413,0.3458,0.0959,0.2403,0.5566,0.224,0.224,0.2778,0.1256,0.6106,0.5566,0.3266,0.3706,0.1049,0.3022,0.1759,0.1679,0.4666,0.9446,0.552,0.6472,19.6789,1.2089,0.2939,0.8318,1.1966,0.017,0.5412,1.4706,1.2395,383.3153,3.0127,0.8724,18.0081,1.2572,2.1637,5.5482,2.5029,0.392,1.2786,0.0,17.5617,0.0,0.367,72.9453,7.9839,0.0
UKR_K,236.6524,0.038,130.7168,13.6102,4.8594,195.3586,6.5382,16.786,22.2047,14.4049,27.4769,27.1065,13.6526,28.0391,54.6145,13.1941,9.9959,16.2197,39.0751,6.2054,58.1365,25.7337,92.1736,36.6253,76.4653,921.3951,83.6946,22.747,27.7649,47.5827,6.5341,24.4435,9.0386,12.2805,217.8423,738.6905,159.7262,135.2507,62.2929,49.5922,56.8334,58.2602,4.6012,19.2585,0.0,630.33,0.0063,0.0346,0.7583,0.4598,0.0
UKR_L,51.8547,0.0597,93.9799,5.9185,2.8226,389.8613,8.2364,10.7408,16.8223,12.9826,22.8594,50.4638,11.144,21.5184,35.4844,13.4265,4.9294,8.2317,16.8553,7.9657,7.0483,39.4,28.1058,17.36,31.5507,1446.0102,55.1188,8.7841,14.0379,66.6124,1.8441,57.8957,8.5902,44.6996,241.4675,60.7545,479.4397,853.8093,13.6237,5.268,20.0623,24.8444,11.981,11.0614,0.0,4270.808,76.8478,25.3025,109.1804,0.1024,0.0
UKR_M,232.5189,0.2665,153.88,66.1677,41.9354,313.7039,7.2019,19.0251,30.1476,7.0293,36.5196,29.1032,12.5949,49.9885,48.6674,11.6909,3.9526,8.5857,18.5265,18.9296,14.0813,64.8895,62.7735,41.4662,324.1522,784.3357,93.8604,24.2543,34.5586,80.1518,0.8628,35.5514,40.6822,21.1665,159.3904,157.1833,360.8928,291.0848,159.8453,127.8571,154.355,61.6256,32.802,46.3706,0.0,101.415,0.0,218.1411,163.6264,2.8807,0.0
UKR_N,111.8902,0.128,44.394,32.8241,16.6955,28.3087,1.3814,5.0121,8.6782,1.5706,6.65,6.0043,2.5245,24.4424,21.3217,3.0968,0.7662,1.8071,3.3941,7.6944,0.5402,6.2317,12.8226,35.483,51.635,92.3993,119.1237,37.6474,70.6412,90.0765,1.7696,25.0789,5.1088,9.219,72.9368,40.7861,249.6392,8.7436,230.3982,0.0,45.27,41.7294,49.6897,45.9191,0.0,455.5313,0.0,22.8056,0.0,1.1606,0.0
UKR_O,22.6714,0.0175,3.7567,31.9692,12.311,38.7358,0.8347,1.4592,1.8615,8.7644,11.4215,5.3964,2.6192,2.7281,8.5853,2.3898,1.0446,2.5286,3.9083,0.9481,2.6239,3.8759,42.4993,19.4016,8.1364,66.5071,14.3074,3.1675,5.0681,9.0382,0.2971,3.7293,0.201,1.8273,3.2786,6.8963,15.5638,16.2267,4.5684,22.7007,97.3833,34.8753,7.0217,1.8561,0.0,24.8444,0.0,8326.8639,0.0,0.0,0.0
UKR_P,1.5736,0.0022,0.8215,1.5617,0.7766,2.9123,0.0459,0.2429,0.3525,0.2649,0.9932,0.9352,0.098,0.5749,1.4516,0.3796,0.0936,0.1621,1.0311,1.4863,0.3513,0.6814,3.0258,1.5421,1.4912,9.8833,2.9668,0.8288,2.3443,2.3889,0.1332,0.5104,0.092,1.9981,4.7813,0.9387,1.5786,18.9648,1.1218,15.7781,254.7715,4.3916,0.2869,0.246,0.0,622.1402,24.8885,5746.9491,0.0,0.0,0.0
UKR_Q,4.0435,0.0203,1.8587,10.9103,9.7702,8.0116,0.1867,0.1736,0.2419,2.4406,4.7145,0.7635,0.4045,1.537,10.4145,0.4516,0.1933,0.6928,1.4317,0.7386,0.7845,2.0063,5.7541,5.2476,6.7267,7.4722,13.2751,2.223,3.681,10.4493,0.0,3.3221,0.1539,0.6647,8.6347,1.122,0.6153,3.8805,0.7501,32.8934,0.4969,301.3002,3.0145,0.5676,0.0,655.677,152.5006,3661.0107,0.0,0.0,0.0
UKR_R,0.5682,0.0013,0.2837,0.0953,0.0965,0.6794,0.0715,0.6531,0.9546,0.0389,0.1358,0.0385,0.0191,0.0666,0.7531,0.0478,0.0186,0.1931,0.5095,0.0184,2.716,0.0729,0.5224,0.3999,0.179,4.2443,1.0033,0.8442,0.4647,1.0001,0.0,2.216,25.3257,0.103,11.5366,0.1718,4.0989,10.9371,0.2889,31.1538,2.2362,1.4219,23.5048,53.3582,0.0,229.4586,7.3829,324.4458,0.0,0.3226,0.0
UKR_S,5.912,0.0134,8.6291,2.5885,1.3365,4.9978,0.925,0.4705,0.7509,0.1679,1.1161,0.4947,0.2167,1.0457,1.4296,0.2994,0.1505,0.5647,0.9479,0.2799,0.2068,1.3745,4.9534,6.7606,2.9757,63.6779,4.6406,1.1719,2.0148,3.4982,0.2613,6.2631,0.8603,1.6748,18.9315,12.1363,8.0254,17.2075,3.8274,0.0,3.4573,15.045,4.1803,7.0794,0.0,453.974,456.7068,0.9547,10.4608,0.0,0.0
UKR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.9583,0.0,0.0,0.0,0.0,0.0
