V1,MYS_A01_02,MYS_A03,MYS_B05_06,MYS_B07_08,MYS_B09,MYS_C10T12,MYS_C13T15,MYS_C16,MYS_C17_18,MYS_C19,MYS_C20,MYS_C21,MYS_C22,MYS_C23,MYS_C24,MYS_C25,MYS_C26,MYS_C27,MYS_C28,MYS_C29,MYS_C30,MYS_C31T33,MYS_D,MYS_E,MYS_F,MYS_G,MYS_H49,MYS_H50,MYS_H51,MYS_H52,MYS_H53,MYS_I,MYS_J58T60,MYS_J61,MYS_J62_63,MYS_K,MYS_L,MYS_M,MYS_N,MYS_O,MYS_P,MYS_Q,MYS_R,MYS_S,MYS_T,MYS_HFCE,MYS_NPISH,MYS_GGFC,MYS_GFCF,MYS_INVNT,MYS_DPABR
MYS_C20,1574.6325,9.4564,34.27,74.9338,40.2152,745.754,141.4139,450.3749,631.8109,922.0163,4280.1014,267.0191,3288.5419,708.1882,991.6074,343.7522,851.3897,259.2401,127.1355,56.2126,38.132,210.3313,26.6364,93.577,609.9992,202.7166,34.5607,1.5992,14.2705,151.611,18.1774,52.3674,47.6821,3.3966,1.5717,4.5802,44.3324,55.9624,5.9088,38.1805,4.354,15.0101,4.6055,30.7651,0.0,720.3806,0.1055,0.3605,4.8095,-468.2203,0.0
MYS_C21,27.9319,0.7077,0.2122,0.0267,0.2083,24.063,4.2023,0.9364,36.2376,0.2617,2.6258,2.7996,3.227,4.5878,0.2931,0.1923,10.4995,0.5087,3.733,0.8829,0.0922,11.943,0.0152,0.0307,0.7222,36.2309,0.0454,0.0061,0.0245,0.0687,0.0108,1.2173,0.016,0.1632,0.2214,0.1463,0.0901,2.1925,0.0511,24.2173,60.4933,297.4455,0.1259,0.0114,0.0,242.4389,0.0604,68.1879,2.7565,-65.5546,0.0
MYS_C22,51.1894,39.4492,6.2383,14.6515,21.2206,256.9154,56.7103,8.5713,40.2436,21.3103,355.0815,11.1362,2246.4394,67.2157,117.7588,46.3454,357.3247,60.1989,134.0663,1271.8296,126.6994,69.9541,3.111,104.1376,422.5876,2457.6192,531.059,1.1155,64.8241,307.3188,0.1995,57.7701,0.2824,0.766,0.4238,1.7246,65.7705,0.6949,74.929,60.5624,1.9613,36.9547,1.3046,6.5728,0.0,1486.1712,0.0043,0.0782,16.7404,-77.9595,0.0
MYS_C23,37.1948,0.1601,10.6084,4.2314,20.2428,74.2614,5.2387,2.6357,20.6507,0.83,155.1144,4.5543,27.6301,2219.4321,32.328,118.645,679.1759,113.2214,8.664,5.3731,3.8146,15.3953,6.7495,0.2182,5576.4031,107.6108,0.4834,0.3261,0.2335,17.8218,0.1099,0.44,0.2004,0.7132,0.1093,1.2298,61.8848,0.3313,0.641,16.4619,2.4299,1.5116,2.8042,0.0633,0.0,330.7185,0.0041,0.0499,5.5412,19.1623,0.0
MYS_C24,1.5145,0.1107,0.6089,6.5135,13.558,149.5775,5.7957,9.8739,34.9336,54.0635,55.2628,0.3274,21.7947,69.9447,561.1905,2488.1194,1535.9308,440.1619,453.7969,296.1412,91.3623,405.6899,57.9876,22.0727,1166.8672,145.7394,0.1898,0.615,0.2015,0.5047,0.0582,0.2456,0.0747,0.2141,0.058,0.3164,0.2958,0.161,0.3095,4.8481,0.7809,0.4996,0.9337,0.0668,0.0,8.7516,0.0011,0.0,8.2343,-3.6253,0.0
MYS_C25,37.7736,0.261,60.8617,47.2263,39.7426,93.9763,3.4398,36.65,24.3471,3.601,112.5233,1.776,75.522,91.4972,816.6967,446.562,1790.2701,1374.8326,617.6504,622.7252,281.85,349.0347,0.2939,21.2543,1439.9849,324.6663,1.4227,227.3891,2.4897,3.8253,0.3726,1.6879,0.3094,1.2519,0.2455,1.1232,1.5742,0.9508,2.0671,131.2795,1.6637,1.5653,2.2077,0.1535,0.0,235.8686,0.0454,0.0,1161.3029,-42.6668,0.0
MYS_C26,6.5201,1.528,41.0034,2.1953,4.7794,49.3119,10.6775,19.9483,323.429,1.52,20.2211,2.7117,101.0485,43.17,63.5263,73.2561,17930.3637,737.1934,204.9268,345.0491,138.7855,138.3591,26.1492,1.0213,164.7145,1716.5952,4.1017,2.7488,17.7777,6.252,4.8387,6.3224,4.5344,268.32,364.2351,123.2017,15.4669,258.6344,35.4899,232.087,189.2744,141.8711,85.6233,4.0368,0.0,1224.814,0.096,3.601,4528.2008,-4559.5447,0.0
MYS_C27,6.1438,0.1527,11.399,0.4968,3.9932,4.1333,0.6496,1.6696,6.552,0.7856,7.7061,0.2526,8.1235,10.7903,173.1909,18.3058,1392.0348,255.8323,74.5881,33.8033,14.4865,60.7895,26.3319,0.3645,583.5226,164.7775,39.3771,0.8988,1.0869,40.2426,0.1689,59.54,0.2856,1.7179,1.8865,1.0141,0.6468,1.6198,5.3059,85.5401,12.1641,14.4669,1.9623,1.8466,0.0,264.2111,0.0209,0.0,714.8414,-776.8025,0.0
MYS_C28,52.369,6.3171,86.6877,16.6648,31.7984,46.5172,10.3591,19.0631,30.923,11.4364,83.6986,4.6093,32.3095,73.2033,181.21,56.9119,195.5322,26.1405,444.3323,123.3131,118.6174,31.4435,6.3769,44.9745,64.2367,175.9347,20.2153,2.7094,3.6457,18.5487,0.5812,44.9054,3.7772,1.0027,0.6895,1.1611,3.9136,1.238,2.2449,27.3239,4.7312,4.135,1.7108,14.6223,0.0,245.3714,0.0214,0.0,2428.0051,-1009.1768,0.0
MYS_C29,255.2651,15.4099,95.7584,18.1327,3.6338,31.0086,15.4746,91.7542,44.6327,6.6362,55.0789,5.6697,31.629,70.2868,198.6395,56.4428,293.6211,36.1778,107.594,3193.092,1108.649,47.1894,7.0279,1.8028,85.4833,480.2276,37.8809,118.216,78.679,239.9019,4.2456,90.1213,2.2431,10.0894,4.7834,103.5573,6.2614,26.3202,239.4126,1043.1179,370.9066,335.1762,82.5489,27.9893,0.0,2520.0221,0.0268,0.0,2395.2299,26.7548,0.0
