V1,EST_A01_02,EST_A03,EST_B05_06,EST_B07_08,EST_B09,EST_C10T12,EST_C13T15,EST_C16,EST_C17_18,EST_C19,EST_C20,EST_C21,EST_C22,EST_C23,EST_C24,EST_C25,EST_C26,EST_C27,EST_C28,EST_C29,EST_C30,EST_C31T33,EST_D,EST_E,EST_F,EST_G,EST_H49,EST_H50,EST_H51,EST_H52,EST_H53,EST_I,EST_J58T60,EST_J61,EST_J62_63,EST_K,EST_L,EST_M,EST_N,EST_O,EST_P,EST_Q,EST_R,EST_S,EST_T,EST_HFCE,EST_NPISH,EST_GGFC,EST_GFCF,EST_INVNT,EST_DPABR
EST_C20,25.8256,0.2211,3.5788,2.5061,0.032,7.9837,12.7608,12.6357,6.0924,0.6143,45.8701,0.5782,16.0436,4.0408,0.2474,4.7896,1.4802,2.4915,1.5732,1.3225,0.3057,6.8979,1.3542,1.7712,11.9795,4.7718,4.9678,1.9463,0.6173,3.4557,0.0613,1.5082,0.3148,0.1512,0.5009,0.5814,6.1579,3.9399,4.0715,1.4045,1.6442,1.7385,1.5129,3.3085,0.0,46.6687,0.007,2.9532,6.3978,5.3375,0.0
EST_C21,0.3089,0.002,0.1805,0.0431,0.0001,0.1606,0.2705,0.0945,0.0181,0.0054,0.0883,0.5832,0.0306,0.0203,0.0149,0.0483,0.0191,0.0175,0.0145,0.008,0.016,0.0644,0.0316,0.0277,0.1223,0.3939,0.0368,0.0666,0.0073,0.0303,0.0442,0.0407,0.0055,0.0045,0.0214,0.0083,0.0252,0.5866,0.0641,0.1529,0.0628,9.3168,0.02,0.0184,0.0,11.1528,0.0,6.1476,1.4795,0.501,0.0
EST_C22,3.8395,0.385,1.2349,1.4159,0.0212,14.4967,4.2728,7.3488,1.8409,0.1229,2.7897,0.2357,24.0379,6.5279,0.0684,3.2329,5.36,6.5475,2.8327,2.6506,1.2734,9.2376,0.3858,1.5935,51.8782,23.6148,5.5357,0.1203,0.0811,2.4722,0.0647,1.1801,0.1888,0.0721,0.8293,0.9615,8.0982,3.3436,0.909,2.4212,0.6282,1.4023,0.9479,1.0645,0.0,23.6755,0.0588,0.3921,4.4968,6.0456,0.0
EST_C23,3.1202,0.0438,0.3502,0.4292,0.0046,3.3658,0.2883,15.0306,0.429,0.4281,0.9941,0.2699,7.6831,43.6046,0.1254,5.8109,0.7311,4.5942,0.5274,0.41,1.3601,3.8665,0.6473,0.4734,196.4018,13.5567,3.0312,0.4795,0.1896,4.2835,0.0477,1.3311,0.2339,0.1296,0.8922,0.2072,9.6217,2.7063,2.0835,1.5952,0.6058,0.7043,0.6539,0.3134,0.0,29.6256,0.0148,0.8579,10.4679,8.2776,0.0
EST_C24,0.1305,0.4045,0.0338,0.0147,0.0004,0.0464,0.0697,0.2465,0.2761,0.0495,0.8007,0.0109,0.251,0.4235,1.5986,31.1548,0.9157,6.7236,6.0796,1.1381,0.0627,4.5401,0.0355,0.328,2.9578,0.0399,0.0887,0.0153,0.0244,0.2835,0.0,0.0078,0.0217,0.0029,0.0007,0.2777,0.6153,0.3223,0.0963,0.0481,0.0057,0.0013,0.0509,0.0451,0.0,0.0002,0.0,0.0,0.1005,1.0386,0.0
EST_C25,15.3608,0.5868,3.9193,2.933,0.0562,14.2992,4.948,25.0432,4.161,0.5417,6.3627,0.5296,5.4038,15.2329,0.5533,154.5977,11.7884,43.2242,51.7185,7.979,5.5795,39.6177,11.7587,2.8498,162.6913,24.2012,4.5724,0.6546,0.9727,22.5861,0.1585,1.1388,0.984,0.3701,1.5556,1.0245,19.2034,6.9701,8.9876,30.237,0.5976,1.5176,2.3189,1.2682,0.0,29.5329,0.0533,1.48,68.5194,17.1164,0.0
EST_C26,1.3584,0.0895,0.3007,0.1962,0.0029,0.6468,0.3643,1.0632,0.7009,0.274,0.251,0.0147,0.3555,0.5503,0.1191,2.1331,164.1782,10.3497,2.0843,2.1158,0.3006,3.6117,1.391,0.6343,7.9577,5.3539,0.7946,0.1365,0.1593,1.493,0.1012,0.341,0.2932,2.6374,2.5558,0.7978,1.2986,2.742,2.3023,1.8082,0.472,1.2302,0.5279,1.208,0.0,41.7427,0.0103,4.3592,75.2451,8.5149,0.0
EST_C27,1.7432,0.2439,0.363,0.1997,0.0031,0.8262,0.3032,1.8492,0.3346,0.4411,0.4512,0.0149,0.594,0.6587,0.0694,2.1995,25.4827,34.8521,1.1736,3.143,0.2889,4.0164,4.8337,0.2372,18.7562,6.0352,2.0177,0.3755,1.2516,2.3827,0.098,0.4159,0.1907,0.2277,0.6755,0.3041,2.0999,1.8434,2.1149,1.5711,0.5007,0.6091,0.2747,0.851,0.0,21.7417,0.0139,0.9469,22.8887,4.1007,0.0
EST_C28,5.8023,0.0506,1.7139,1.1201,0.015,1.8856,0.5195,4.3326,0.6977,1.0723,0.9749,0.0572,0.7023,2.1176,0.1108,5.117,3.0941,3.7765,9.38,2.0339,0.8972,5.8296,2.7751,0.5925,6.8647,8.0106,1.9021,0.1713,0.1595,3.2125,0.1297,0.2829,0.0421,0.0839,0.4574,0.4395,1.5539,1.4812,1.3519,0.8587,0.3144,0.1998,0.3213,0.3432,0.0,6.4202,0.0312,1.2673,71.9945,4.2194,0.0
EST_C29,1.9506,0.0241,0.6907,0.6073,0.0073,0.4867,0.1602,1.006,0.1005,0.0833,0.1301,0.009,0.5158,1.4927,0.0284,2.4111,0.7896,0.5277,2.7783,29.7663,0.4905,1.0301,0.2429,0.1024,3.8468,15.085,17.3803,0.0714,0.0343,0.9832,0.0629,0.0747,0.0821,0.0227,0.0688,0.2117,0.483,0.4282,1.7526,1.2119,0.1976,0.4529,0.2461,0.0502,0.0,54.9353,0.0041,1.6634,104.2455,7.3803,0.0
EST_C30,0.0087,0.0343,0.0023,0.0014,0.0,0.0068,0.0262,0.0392,0.0073,0.0,0.0097,0.0,0.0218,0.0037,0.0014,0.1786,0.011,0.017,0.0061,0.0196,7.5866,6.3201,0.4031,0.0275,0.2738,0.7968,0.4397,0.0369,0.5636,1.0177,0.0025,0.0049,0.015,0.0055,0.1399,0.0,0.0776,0.1735,0.585,1.0837,0.0625,0.0897,0.4261,0.0295,0.0,14.796,0.0,0.446,39.1283,5.1671,0.0
EST_C31T33,13.1516,3.1102,2.4513,0.9566,0.0212,5.0828,4.4115,18.0531,2.5437,4.8601,4.1802,0.1397,2.2415,6.5777,0.135,7.9839,2.8582,3.8813,2.6845,1.3243,2.038,46.6892,20.2538,1.1455,28.8696,23.0931,21.1729,2.9468,17.2968,14.2292,0.6477,4.3299,0.7518,1.6386,1.5759,5.2641,11.9412,7.4469,11.9637,21.0388,9.1817,37.901,7.8795,4.043,0.0,124.4358,0.066,5.3249,84.7709,8.2132,0.0
EST_D,35.8607,1.4228,14.4604,13.3474,0.0754,45.8991,10.9383,57.7968,39.7498,12.3306,22.5979,0.807,11.8233,26.6251,2.4728,29.8328,5.9311,7.7521,9.4511,5.3157,0.9157,20.6985,225.9859,18.8682,34.3247,103.8073,39.5481,7.4559,4.2776,58.4545,1.249,34.6011,2.788,11.0668,7.7778,7.5576,74.3891,15.2712,11.8447,41.1747,44.4129,26.9963,26.1201,16.4782,0.0,387.7757,0.3093,7.2272,21.4598,-2.8751,0.0
EST_E,10.8997,0.3555,0.2375,0.1336,0.0018,25.05,2.4721,8.7333,2.6546,5.6799,1.7116,0.1204,2.6303,4.5386,19.3895,5.5314,1.5246,1.7068,1.0629,0.7953,1.8271,4.0966,4.1219,102.888,24.7639,14.8288,2.5061,1.9636,0.3352,19.7809,0.1432,10.7793,0.2138,0.2089,1.7439,1.0743,35.0834,7.459,5.1015,27.3413,4.8534,5.1255,4.5119,12.8008,0.0,114.4697,0.0548,36.8179,3.8635,-71.8379,0.0
EST_F,27.5772,0.1948,0.9608,0.7687,0.0097,4.7783,1.7093,11.5984,1.5386,0.8302,4.1446,0.1082,7.7761,22.5204,0.8867,28.438,1.3936,1.977,2.2844,0.5516,0.4022,4.861,13.0585,6.3505,294.4259,37.4271,8.253,3.6373,1.1016,43.4447,1.7123,9.7946,0.5372,11.1353,5.4185,5.0406,252.3698,18.4286,10.9222,92.1625,17.9004,13.8352,13.892,4.05,0.0,19.0289,0.4963,133.0068,3123.2142,1.1213,0.0
EST_G,119.4692,3.6586,10.6072,8.0324,0.1018,154.4381,48.44,171.5809,27.1732,8.2354,37.6779,3.6059,26.5573,33.5606,1.6838,67.2228,35.3746,31.9934,25.599,33.5371,7.3199,70.6339,50.2934,6.7091,219.5626,167.533,251.4559,24.2641,11.5627,56.1115,4.9795,62.6032,10.7383,5.5668,20.0043,16.053,34.2009,53.0999,37.6242,34.9956,22.8316,59.2879,20.0035,14.1015,0.0,985.544,1.1431,32.0181,206.5246,58.4112,0.0
EST_H49,36.4327,0.6301,6.5989,5.455,0.04,44.4704,8.8017,68.1457,12.604,5.562,7.8618,0.445,6.8558,22.296,0.5157,24.3039,10.9958,7.6579,9.1089,6.8847,2.2539,23.3732,10.8603,3.4336,89.2485,105.7872,74.8572,5.9254,2.1995,136.6223,2.1445,7.4702,1.1826,0.4643,3.332,2.1131,5.4828,8.6901,11.3176,7.5504,5.8459,5.494,5.2246,4.4116,0.0,178.0132,0.1668,43.7486,29.7976,33.1077,0.0
EST_H50,8.9246,0.1166,0.8214,0.6222,0.0066,3.5172,1.0442,4.5561,2.2666,0.5798,1.5106,0.1716,1.1742,1.116,0.0754,2.6997,1.3771,1.03,0.7802,0.59,0.287,1.9653,1.0382,0.2106,4.6398,9.0227,4.1166,0.927,0.2865,21.2389,0.0522,1.4424,0.3317,0.2985,1.7305,0.8767,0.9481,3.655,4.3592,4.0868,0.5552,1.2224,0.9384,0.4817,0.0,30.5477,0.0877,4.1975,4.1854,24.7306,0.0
EST_H51,0.3313,0.0175,0.0463,0.036,0.0004,0.495,0.1497,0.3224,0.0766,0.0633,0.1996,0.0116,0.1074,0.0855,0.0246,0.4459,0.2558,0.1381,0.1144,0.1881,0.0291,0.1283,0.2573,0.0177,0.5418,0.247,0.3036,0.2121,0.0526,0.5405,0.0124,0.1265,0.0177,0.0161,0.0319,0.0444,0.0753,0.0838,0.1005,0.029,0.0131,0.1235,0.0398,0.0374,0.0,0.3241,0.005,0.3931,1.6658,25.5157,0.0
EST_H52,53.2968,3.8441,5.1197,3.7167,0.0316,18.0408,4.2485,32.8832,6.6179,1.9804,7.4531,0.1895,3.3323,7.356,0.5169,12.1681,7.0562,3.8926,4.0522,5.5359,3.9773,22.2381,7.1771,4.954,20.7185,194.1281,157.7965,84.0417,41.2402,677.0764,2.8351,5.244,1.1375,1.1958,5.5362,3.9547,9.4417,9.1645,28.5625,12.299,4.9449,2.5056,3.1805,3.6623,0.0,24.2502,0.6646,2.1252,10.4606,4.9086,0.0
EST_H53,0.6435,0.0202,0.0448,0.0292,0.0004,0.5859,0.442,0.8899,0.2511,0.0459,0.1529,0.0183,0.2572,0.1261,0.0066,0.2429,0.2823,0.1345,0.1315,0.076,0.1441,1.0133,1.9382,0.4118,1.0569,10.7704,1.2018,0.4038,0.2896,3.1577,24.5872,0.5682,3.6234,0.7262,1.0847,3.4502,2.8717,3.7651,10.3934,2.6357,0.5128,0.5175,1.747,2.2868,0.0,15.1869,0.0368,0.1508,0.5556,0.344,0.0
EST_I,1.2038,0.1327,0.0842,0.0261,0.0011,0.7816,0.174,1.3709,0.3942,0.0143,0.3109,0.0218,0.1431,0.3183,0.0177,1.2692,0.6615,0.6631,0.3023,0.3584,0.2553,2.9968,0.2476,0.0412,3.9318,7.4024,4.2365,0.3734,8.4905,2.8294,0.1475,4.9271,0.9474,0.7076,9.0757,4.1043,0.9387,6.9971,28.0906,19.6438,20.678,6.4171,8.992,2.1123,0.0,517.0804,0.0,0.0,0.0,0.0,0.0
EST_J58T60,2.9413,0.0715,0.0259,0.0229,0.0002,1.3701,0.4673,1.4639,2.4833,0.4137,0.2014,0.0789,0.1492,0.171,0.0044,0.5821,1.5479,0.3785,0.6185,0.0541,0.0837,0.6655,1.0711,0.1508,2.4623,27.0505,1.0648,1.1155,0.1575,3.5351,1.3159,5.8541,30.0323,9.1181,10.3751,5.9781,1.6549,34.6404,7.882,8.5174,13.3555,2.5245,11.6698,6.8083,0.0,68.7966,0.1882,29.8321,19.0284,-61.6357,0.0
EST_J61,6.6658,0.1999,0.4237,0.1713,0.0034,3.997,1.2693,6.6131,2.0263,0.066,0.4074,0.13,1.6585,2.0791,0.0081,3.2829,15.4567,1.6438,1.9901,0.4547,0.275,2.1479,2.6854,0.5427,12.309,25.6927,5.1699,0.6906,0.4225,11.0377,0.495,2.824,6.5199,115.4399,24.7907,9.9707,10.6813,15.1316,7.8731,6.3789,3.0874,2.6883,4.0165,2.9188,0.0,144.5223,0.2868,1.6371,10.941,0.8726,0.0
EST_J62_63,5.4347,0.0512,0.6928,0.5297,0.0069,4.4366,1.227,4.4968,1.7568,0.4354,1.6795,0.1509,1.3095,1.239,0.031,3.8607,10.5158,2.8132,1.1434,1.1581,0.4587,2.3192,14.0746,0.4965,7.0374,61.0772,7.5846,1.3825,1.7806,10.5442,2.0758,3.7034,6.8743,26.9982,138.1922,23.1464,5.5584,38.8702,11.4599,28.2724,6.7457,6.5276,4.1535,5.5682,0.0,6.9805,0.0557,20.4716,242.8957,1.7293,0.0
EST_K,24.92,1.5905,2.2688,1.4834,0.0137,8.9475,4.4407,13.7472,4.2644,1.1141,2.218,0.2209,1.9605,2.8029,0.2268,6.9545,6.705,3.9994,2.9112,1.6312,0.9325,7.5973,13.6469,1.5418,41.4556,105.9483,27.7811,7.1997,4.5244,25.5761,2.6917,12.2378,3.1834,4.3606,11.9772,251.8241,167.8362,39.933,19.4794,20.2474,3.3335,7.1342,6.8968,5.7819,0.0,363.2339,0.2015,1.018,8.2277,1.1147,0.0
EST_L,17.1136,0.4013,1.5377,0.7473,0.0125,20.67,13.359,34.4308,8.0447,0.2389,1.7756,0.4253,10.1365,5.7087,0.8814,29.2438,11.0779,12.3573,8.7732,6.6153,1.6541,36.2524,12.673,6.5669,25.5663,475.2894,17.1228,3.4916,1.2463,115.2468,2.4895,113.6643,6.1676,10.3042,45.8886,44.5536,98.6751,91.5052,44.6476,44.4026,30.262,24.4964,57.447,25.964,0.0,1623.7072,45.5181,58.5446,246.7613,-0.0511,0.0
EST_M,32.8619,2.7451,3.3235,1.3228,0.0348,31.3807,8.1878,19.3875,8.8341,5.0382,8.6714,4.1321,5.9126,7.6916,0.5643,12.0914,12.7165,10.273,14.5005,4.8912,1.7673,36.9965,23.9304,4.9049,184.5415,175.623,22.4241,11.4255,5.0624,31.9841,2.3064,17.18,12.5438,19.2769,46.4993,33.7661,37.7255,199.3521,64.3588,31.1633,9.3637,10.9339,24.4146,17.227,0.0,33.701,3.562,95.7155,241.4396,1.3697,0.0
EST_N,9.7784,0.8242,0.7354,0.529,0.0074,6.9047,2.2819,10.7972,2.7985,2.0041,2.9593,0.5955,1.5065,4.0579,0.2087,19.4544,14.4749,6.8085,2.8298,1.535,0.2683,12.5365,15.602,4.2277,65.9292,106.592,29.5146,76.7481,12.6317,62.7133,4.2778,14.7818,2.2563,4.7368,21.9536,24.0795,103.4897,77.634,90.105,62.7506,29.0412,21.2782,31.526,13.5353,0.0,161.1767,0.4196,2.4026,16.5797,1.2372,0.0
EST_O,2.5475,0.8709,0.3399,0.2429,0.003,2.3189,0.5303,2.7058,0.5009,0.1399,0.3539,0.0906,0.4488,0.4897,0.067,1.3972,0.7611,0.5587,0.4005,0.3367,0.1304,1.5649,3.4197,0.6057,7.9369,22.1634,4.3482,1.2171,0.6486,12.027,0.2254,3.0049,4.9395,6.0331,4.7425,1.7135,6.8781,15.3844,3.6068,23.4759,1.2593,1.5489,2.4189,1.4128,0.0,47.9686,1.038,2186.6238,22.2993,-0.2986,0.0
EST_P,0.7804,0.0213,0.2264,0.1303,0.0023,1.4531,0.4608,1.011,0.2745,0.2927,0.2436,0.0487,0.2525,0.5579,0.0807,1.0073,1.1136,1.4983,0.3872,0.152,0.0559,1.198,2.3283,0.2273,2.6412,7.6533,2.5683,0.3058,1.7568,2.8025,0.1709,1.5434,0.5718,1.8013,4.4763,8.589,0.9882,8.7525,2.6271,29.999,25.7054,6.102,3.4241,4.3741,0.0,145.2848,47.5577,1074.6816,22.1257,-0.3541,0.0
EST_Q,0.5635,0.0288,0.2277,0.0924,0.0042,0.5568,0.2015,0.3922,0.2732,0.1824,0.1064,0.0056,0.1419,0.1785,0.0131,0.4601,0.3926,0.3333,0.1538,0.2016,0.0832,0.6225,0.8254,0.1107,2.2236,6.7465,0.6603,0.3383,0.2071,1.6931,0.395,2.5772,0.1564,0.1541,1.8332,2.5453,0.7585,4.3746,3.2744,22.1657,16.4412,65.0457,2.3998,0.9105,0.0,259.1352,37.5711,1024.8916,17.0376,0.0175,0.0
EST_R,0.7013,0.0056,0.0139,0.0109,0.0001,1.0462,0.1158,0.8869,0.1148,0.0056,0.0812,0.0288,0.081,0.128,0.0047,0.2294,0.2023,0.115,0.1843,0.0955,0.0271,0.374,0.1351,0.0579,0.4201,8.7933,0.2286,6.2804,0.0722,0.8147,0.0679,6.0698,3.7383,0.4212,1.8756,0.6602,0.8636,3.9593,5.7182,10.0881,11.4128,0.8515,101.9599,1.8153,0.0,270.4972,103.9207,159.0435,8.6524,0.5645,0.0
EST_S,3.9832,0.1201,0.1029,0.0904,0.0014,7.852,0.7272,1.5382,0.6289,0.5258,0.31,0.0219,0.4407,0.7429,0.029,1.1934,3.2496,2.3308,1.1333,0.3286,0.293,1.6562,1.5046,0.6411,2.2877,10.8607,6.1034,0.6759,0.1499,2.5467,0.1362,3.0596,1.2296,3.1208,7.9478,2.6781,2.4989,4.9123,4.8141,12.3027,3.6861,5.1098,2.9275,8.7438,0.0,114.196,178.5323,15.8768,3.2568,0.041,0.0
EST_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.727,0.0,0.0,0.0,0.0,0.0
