V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T,CHE_HFCE,CHE_NPISH,CHE_GGFC,CHE_GFCF,CHE_INVNT,CHE_DPABR
CHE_C20,50.1155,0.0,10.4785,1.0567,0.0639,172.6095,25.9852,77.0085,205.4358,214.2878,4751.0205,3658.0177,1518.0624,95.0491,80.6935,165.9939,496.9114,827.418,100.8946,13.1899,20.5807,184.1137,69.0127,18.4441,182.2057,452.5609,48.4334,51.018,11.9777,50.0722,3.6571,59.5918,9.8664,0.8866,3.5059,4.0196,4.2866,195.4947,47.6364,58.6889,12.9164,94.6313,25.2747,43.428,0.0,2117.1266,0.0,0.0,0.0,-7.0155,0.0
CHE_C21,177.9037,0.0019,80.6933,5.0815,0.2074,122.4568,2.2585,3.2557,2.5566,111.076,2263.0529,28386.2221,3.0419,2.197,1.4559,3.9033,413.5128,2.9482,5.8811,0.529,2.5277,4.9545,2.1267,4.1383,5.7601,527.0891,7.9247,16.9061,3.0536,0.7516,0.1024,4.6271,0.5634,0.5416,0.6597,35.8369,0.3707,505.5033,42.5323,2447.5592,6.913,6921.8254,1.4479,9.1161,0.0,4104.5209,0.0235,430.1976,243.9163,-29.1208,0.0
CHE_C22,10.5332,0.0029,2.5844,0.1682,0.0157,77.4875,2.5721,17.6278,15.4329,5.7793,68.2544,65.7388,119.5941,32.1515,2.343,32.7248,261.6323,62.2666,151.5123,12.8811,8.8996,56.4634,25.0877,7.2972,403.7417,333.8073,70.9447,26.2049,6.3847,17.6395,2.3104,7.7205,3.2819,3.6045,1.224,4.421,11.7009,49.1159,21.7602,43.2689,2.4373,18.8217,1.8932,6.6276,0.0,280.9243,0.0,0.2131,132.476,-7.4097,0.0
CHE_C23,20.1714,0.0045,15.7093,1.6534,0.1174,61.8722,1.0862,26.7751,3.1772,16.7351,146.215,116.9479,3.8154,418.4125,17.0195,27.7713,163.1122,83.5052,56.3253,11.4441,4.4917,43.9275,26.2811,28.3677,2740.8352,169.1569,38.1434,42.894,11.019,26.0675,2.1185,5.5404,0.7035,16.1437,1.3821,1.5262,3.7464,58.3781,27.7637,111.1874,2.9891,17.4773,8.9236,12.8712,0.0,180.091,0.0,0.3365,61.3686,-5.7942,0.0
CHE_C24,0.2888,0.0,2.058,0.1487,0.0182,2.0368,0.6175,2.8142,1.4018,2.0403,16.009,5.3694,1.9454,7.4356,472.6316,499.8728,106.2439,291.3219,374.9313,14.6754,24.9366,128.1062,16.926,33.4802,190.9312,58.569,7.4965,11.7249,1.5098,10.8304,0.0347,0.0342,0.0226,1.6609,0.5541,0.0095,0.0874,30.149,4.5675,16.327,0.1794,0.4272,0.0168,1.571,0.0,28.4105,0.0,0.0,0.0,-2.5672,0.0
CHE_C25,41.0592,0.0007,19.5951,1.4992,0.1486,152.5197,9.5933,110.408,26.7063,6.5529,57.6408,47.7779,60.735,45.2823,47.1956,1940.9029,1447.4049,1024.1131,1950.2404,157.3107,312.3387,532.866,70.1198,57.2154,2102.7773,596.5442,76.8938,80.5302,16.0008,201.1836,10.5266,66.6959,13.1337,15.054,9.354,16.9085,48.8906,182.9413,53.7276,185.1397,17.0023,30.8146,3.7852,31.1859,0.0,583.6405,0.0,3.5906,28.3787,-13.0743,0.0
CHE_C26,11.9776,0.0144,3.0389,0.2362,0.0227,52.2107,6.5338,23.8679,9.7627,7.8925,58.427,128.6967,14.9548,7.6184,10.2043,160.2326,7263.7741,1653.0902,700.3164,19.4317,90.3177,335.876,177.9628,19.9544,266.975,2697.6966,97.2954,125.0966,36.587,58.2495,33.8464,16.6362,36.4153,636.7619,403.7999,136.0833,6.723,930.7861,176.7074,541.4711,44.4739,86.1016,72.8472,117.3232,0.0,1610.6156,0.4889,95.5766,6325.1111,-1853.6941,0.0
CHE_C27,31.3206,0.0037,4.866,0.27,0.0182,25.7695,1.0534,4.7222,3.7716,4.0032,28.2543,30.571,3.5867,2.1433,14.4614,38.7293,1546.6218,1273.6888,557.1069,34.0693,31.4937,188.9031,573.9935,7.0375,1076.3342,454.3704,122.1663,86.0716,20.6549,67.2607,8.5609,4.81,0.7632,29.7262,11.5927,7.3835,10.5579,76.5522,14.7589,57.0906,2.8409,14.0165,4.6034,37.4589,0.0,722.1661,0.0,0.3086,3308.1764,-645.1008,0.0
CHE_C28,37.6518,0.0075,10.3632,0.8324,0.0683,46.4462,2.7344,15.6197,14.06,2.8683,20.4245,53.4833,8.5906,10.4886,5.5069,31.1967,644.3413,154.4739,1395.714,16.3527,27.0907,85.8348,16.1353,14.5884,235.0936,323.4423,19.6817,26.7722,6.4614,10.5332,2.2028,10.9914,1.7199,5.7986,4.7266,6.7192,22.4659,38.8907,9.4407,36.8233,2.3611,22.4582,3.4981,6.3479,0.0,130.8292,0.1471,1.4615,5104.3761,-1683.6729,0.0
CHE_C29,0.0089,0.0,0.0829,0.0084,0.0005,1.6641,0.2325,1.5412,0.4841,0.1131,0.733,2.1615,0.1054,0.1141,0.0669,4.6692,1.5253,13.8449,60.9459,12.0416,1.2432,5.5645,0.2878,10.468,0.1102,82.1092,29.3715,4.0888,2.6709,14.6335,0.1129,0.0659,0.0077,0.0172,0.0058,0.0056,0.0009,23.9482,1.0961,2.4989,0.088,0.0276,0.4807,0.012,0.0,929.76,0.0,0.0,805.107,-469.1815,0.0
CHE_C30,0.0167,0.0,0.7902,0.0262,0.003,0.3733,0.074,0.293,0.1195,0.0894,0.6399,1.9669,0.0027,0.0688,0.0577,0.2377,50.2402,0.9356,0.0752,3.2378,245.0921,57.8393,0.4661,5.9671,0.5027,15.9743,92.7443,45.0076,105.5842,0.7217,0.0114,0.029,0.0007,0.0,0.017,0.0,0.0056,24.6471,14.7604,247.1051,0.2764,0.7629,5.0993,0.8892,0.0,174.8122,0.0,0.0,815.4919,-182.3199,0.0
CHE_C31T33,80.8505,0.006,27.3678,1.696,0.1573,68.9569,6.635,47.9021,59.1774,3.2474,25.5185,129.2762,24.4754,22.6346,80.6705,107.3264,1089.6908,404.841,288.1852,5.3635,303.0474,283.2671,662.5934,28.9637,148.4316,361.4875,202.2936,215.3847,86.18,16.1568,1.782,15.8843,12.1961,98.7075,1.7007,13.2652,64.8991,237.7165,24.7248,227.3486,4.3973,250.3386,17.8991,9.0862,0.0,2282.747,0.0118,0.3674,2360.4548,-244.7894,0.0
CHE_D,246.7431,0.0037,62.3352,6.4465,0.2034,751.9602,57.2973,215.5903,366.2454,112.6996,952.2461,509.7446,117.2973,411.4895,507.5164,719.9137,494.0512,655.273,406.4295,24.634,130.0773,221.4203,11388.4804,144.6822,338.557,2086.284,516.1017,209.6231,77.5477,224.942,83.7144,459.216,82.7939,328.6199,208.5133,920.5752,343.2321,1606.3315,404.6274,1575.8521,274.7546,868.4166,397.9179,343.3677,0.0,7065.612,0.0,38.4725,243.0629,3.4548,0.0
CHE_E,38.3738,0.0,26.0323,1.4948,0.1031,132.5133,6.6088,10.9118,44.2791,5.8848,45.784,90.4418,10.9105,13.6935,95.3189,18.8466,56.3509,36.7906,33.4307,1.4411,4.9936,33.351,422.7627,415.2936,48.5837,184.1363,35.0785,33.5563,8.1869,20.9107,5.8937,67.9327,6.886,14.3563,33.8247,76.191,26.1806,216.8133,77.6344,515.832,37.2518,108.3091,126.6461,69.4483,0.0,1376.9088,0.4479,1015.1155,35.0388,0.0001,0.0
CHE_F,143.7607,0.0042,33.5397,2.4958,0.1915,71.355,10.4186,60.6898,28.7537,5.5396,30.3648,87.1655,16.0466,109.7614,41.1315,63.4265,214.6646,55.4784,127.1901,3.3843,36.0513,64.9688,1245.4926,89.8574,11029.1812,563.6732,241.8803,123.832,47.4859,432.0097,54.4951,466.5086,62.5237,150.1556,120.4965,981.2378,4762.7526,726.5648,321.2737,1531.6567,160.5883,385.8257,116.5771,203.0809,0.0,2956.8509,0.0,4.4624,55234.2764,-4.4391,0.0
CHE_G,1383.0095,2.8154,145.6865,11.1112,0.8217,5043.8721,412.9215,540.9996,559.0693,349.8828,2495.782,8776.8072,867.6651,594.937,503.2449,1638.1118,7405.3524,2798.6041,2886.2278,204.3249,363.4142,1228.803,1967.1191,233.8232,5014.1042,33144.9853,2202.5495,2637.5005,801.9117,2312.9153,561.7399,2498.7627,319.0615,483.3507,550.7997,493.8204,97.6997,2250.6311,874.3894,3196.3563,249.0565,3439.5714,326.3364,496.3609,0.0,19779.7741,14.4418,554.3058,13406.8719,-37.9563,0.0
CHE_H49,134.4566,0.6537,31.093,2.8121,0.1449,661.0921,36.9537,158.3618,94.7508,70.2663,369.4618,897.346,138.4685,199.2951,156.9243,184.1364,710.4362,286.0898,349.2943,23.7245,52.4257,197.296,390.172,36.6637,850.9227,5249.894,897.5546,407.2828,116.9533,908.9417,22.4599,202.0234,122.6279,36.8231,74.9507,138.5291,11.1779,529.6586,202.9355,542.7436,309.3981,253.7879,52.3269,101.2247,0.0,6067.8645,0.0134,22.4178,816.0854,96.2239,0.0
CHE_H50,37.7685,0.2747,12.3386,1.5396,0.0899,157.4222,20.8293,60.4631,48.1425,29.138,135.7539,237.3866,52.8901,85.312,66.126,70.9111,362.7289,124.7818,147.6476,9.5805,30.6153,74.0727,111.7411,15.6966,162.3768,4456.9766,769.0388,5479.5645,209.0826,949.1973,14.2302,39.1021,44.8193,14.8625,36.5463,59.1653,4.0779,175.8275,122.6165,195.0373,67.1508,48.0316,29.059,41.261,0.0,2061.8286,0.0906,16.6733,302.4422,955.2299,0.0
CHE_H51,20.0728,0.3159,4.1282,0.3642,0.0289,98.2588,15.9106,19.397,15.4511,11.5275,57.2017,173.0317,19.6695,22.5598,21.753,35.5795,164.2093,56.2972,70.8629,5.4914,13.6874,41.8084,63.9513,7.3989,122.5384,590.5866,142.057,166.5334,260.9401,148.3996,5.386,34.3518,24.9901,8.781,28.8725,63.7571,2.5316,144.142,73.153,155.5028,62.2496,50.9248,18.6712,21.7504,0.0,1403.0926,0.1071,6.5063,241.926,1124.1266,0.0
CHE_H52,24.7023,0.0801,20.5905,1.4415,0.0633,249.0883,7.4042,21.5236,24.368,12.7744,71.5107,205.652,22.2138,53.6458,24.3488,33.6518,166.177,57.1059,167.6059,8.3756,12.7197,94.1857,84.0,15.9767,162.7195,3479.8824,1669.5598,3277.6477,881.101,2380.6074,375.7099,39.8575,25.8816,17.5183,14.7188,8.6982,2.7682,185.1122,65.2186,74.1374,4.1304,47.0956,5.1565,8.872,0.0,468.3534,0.3083,13.9504,150.0985,15.6431,0.0
CHE_H53,0.6078,0.0006,22.1801,1.5689,0.1541,27.7548,1.8173,6.2722,3.2992,0.5953,5.6607,9.1147,4.207,7.3294,2.2895,16.2024,28.9331,15.0491,153.4113,0.4334,6.3055,118.5691,184.3945,9.9874,39.511,766.3927,65.1173,67.9956,19.4038,70.0076,25.1696,22.6647,31.8152,256.7061,95.5675,386.2929,8.1002,384.3058,147.8366,228.8645,2.3571,53.5802,33.8044,23.6819,0.0,141.0742,0.0,0.0117,151.5569,10.6461,0.0
CHE_I,7.7847,0.0643,5.6867,0.3163,0.0622,98.4617,3.1916,10.5219,9.6413,3.0131,22.58,98.7147,8.158,15.0248,1.8365,8.7331,337.1739,72.7966,55.7091,8.2769,9.2029,70.6447,76.1638,19.7436,181.4238,557.6593,107.4528,80.5433,90.352,84.5347,3.0594,203.5337,41.5876,29.4766,62.1271,291.2047,12.2844,114.5926,86.0549,158.6999,7.0391,27.2701,70.9925,125.545,0.0,15475.1503,8.9595,43.3566,15.6829,-0.2184,0.0
CHE_J58T60,0.0344,0.0,0.6149,0.0521,0.0021,10.8551,0.2718,0.3905,5.5701,0.2011,1.8389,10.3098,0.1024,0.3457,0.7226,1.6986,11.2443,2.7722,3.8547,0.392,1.2025,8.0988,13.5029,1.5604,4.9002,125.6314,5.1313,4.7902,2.5157,12.9966,4.3439,2.4876,121.6618,9.6378,47.8871,70.5458,11.6294,336.4445,123.6202,118.1416,52.416,36.9721,50.5469,44.9918,0.0,517.2955,0.0,0.0,13.7069,5.341,0.0
CHE_J61,70.858,0.0012,2.6038,0.2011,0.0224,56.9042,5.045,9.1744,12.7595,2.0609,17.5613,62.3535,4.6039,10.8239,4.674,36.3278,164.3239,41.3926,68.9549,5.0683,7.1147,67.9072,184.9739,14.1733,92.424,483.2602,130.3248,92.3297,31.3962,81.9594,160.8116,54.936,153.3018,2936.492,321.9048,851.2465,136.4158,1229.0767,599.2661,437.4835,9.883,97.9026,111.5922,71.8174,0.0,7133.5008,0.0,0.0807,93.3891,4.1842,0.0
CHE_J62_63,2.4783,0.0031,3.4195,0.278,0.0185,51.0233,5.6122,10.522,15.5925,2.0703,17.1695,79.7574,2.0897,7.909,11.1771,25.7556,225.9888,86.5537,88.433,4.7734,47.189,52.8648,17.4091,6.8805,13.5659,473.4717,200.7836,188.6718,108.5578,123.2378,65.4939,12.0816,47.1461,218.5364,4477.5873,779.2195,32.953,817.9719,225.1799,276.7443,62.2196,112.4484,26.2154,22.5876,0.0,38.785,0.2317,9.0861,9642.5952,6.1467,0.0
CHE_K,119.6445,0.0855,13.9611,1.1306,0.0623,644.7488,75.7889,252.4467,106.5714,41.1283,252.0429,690.8337,135.7733,125.8348,89.21,597.2487,983.1213,744.1626,463.7054,26.0427,192.0897,201.0531,629.1596,84.6884,1154.6443,2295.6704,710.6681,695.1045,216.3247,660.3798,177.6044,541.8156,226.393,250.0946,593.2905,25375.0786,3279.977,2858.9532,1144.1695,2252.7092,263.739,582.6351,178.2647,946.5364,0.0,24116.6393,9.8474,59.156,669.21,71.9647,0.0
CHE_L,16.4164,0.0,1.5468,0.2178,0.0214,103.9231,1.7481,5.7897,10.4268,3.1217,30.8558,39.4877,3.8356,16.6724,9.2542,11.0846,195.1155,14.4706,95.8299,2.2171,5.3875,62.3478,31.9307,7.7155,255.8703,1653.7057,55.5129,35.9423,14.5025,138.0706,23.5601,299.2917,59.2406,275.1445,90.2994,1138.3019,1149.8316,1138.0957,453.5483,599.1759,30.7136,218.2577,55.8471,95.1869,0.0,59897.9702,0.0,0.4332,25.9638,0.2994,0.0
CHE_M,107.6659,0.0025,57.666,6.366,0.7932,1547.6384,35.755,75.5216,149.4558,38.604,385.029,2318.8251,150.0876,158.6282,127.9649,263.8914,1101.4759,522.9847,1579.8645,82.1752,208.2501,817.0293,4186.4869,354.3296,4390.9431,5877.8798,1017.6299,1107.2347,278.9605,963.1753,111.5246,547.1487,643.5379,427.9039,1066.9313,7892.4496,3487.2036,21675.863,2964.8644,2548.6757,135.9712,637.1997,392.0236,536.4777,0.0,3858.0591,145.4624,540.1259,22700.9316,19.3572,0.0
CHE_N,30.4127,0.0,31.3736,2.7467,0.2424,786.9038,18.8555,31.4437,52.4253,11.2865,98.5492,584.4851,58.73,57.4743,69.6324,102.6827,407.4322,178.7762,589.2561,27.1032,121.4786,334.7931,1230.5885,136.6745,1293.5611,1726.861,633.5921,888.159,359.1479,546.6762,67.5594,273.9286,167.5706,142.5559,360.1895,2242.7314,1102.9718,4258.393,2772.1539,1070.7812,85.7044,366.2519,178.9073,177.9236,0.0,1694.346,0.0,0.0,1549.8645,23.2087,0.0
CHE_O,495.8929,1.3113,69.3259,3.8471,0.2886,633.8059,21.3468,173.6408,261.26,19.2798,148.9506,470.6232,7.8394,46.0906,254.7703,108.875,261.2619,193.7733,199.0205,11.4241,28.9038,149.9817,1332.6088,1073.4144,432.7758,973.2386,836.6711,685.2798,215.4498,176.6774,35.4567,204.9958,75.8807,94.644,395.7233,551.6941,687.1478,2817.8991,939.3995,4455.9759,220.8601,2698.8563,357.2952,405.8006,0.0,12827.8662,5676.7927,57994.5622,8166.3133,0.1437,0.0
CHE_P,8.6488,0.0,0.5844,0.0335,0.0026,16.8011,1.2166,0.7305,1.3984,0.2927,1.8543,18.4821,0.246,0.8194,0.9862,5.6941,14.9206,7.1909,9.8598,0.486,3.4227,2.4267,22.2838,9.0174,9.958,45.7927,16.0764,17.7881,10.4359,2.2121,4.0754,1.9308,2.1693,15.1802,83.6624,94.3193,35.5552,234.3272,10.6818,174.0723,326.8547,16.1344,8.4807,18.9356,0.0,956.1656,125.8363,4771.5572,106.2387,0.0073,0.0
CHE_Q,9.6352,0.0071,1.5785,0.0837,0.0133,60.6899,1.5295,3.3063,112.9987,0.6434,4.6982,17.9849,1.3849,2.2608,0.9802,12.475,28.4462,49.0779,14.2095,1.1485,3.5607,18.5415,8.24,3.2638,25.4767,44.6157,81.8749,63.867,21.707,9.2428,1.5363,16.1659,8.9744,12.7047,12.5398,23.345,11.4468,159.4635,24.7597,1751.9917,62.5361,2572.477,57.1902,13.7682,0.0,58326.1778,5685.4943,12774.1415,36.6896,-1.0861,0.0
CHE_R,0.4205,0.0,1.1387,0.0722,0.0127,9.4619,0.5131,0.0045,10.5791,0.8479,7.9919,74.3871,2.2012,0.2896,0.0245,0.6572,4.5787,0.0479,3.1505,2.3919,1.8859,9.578,29.6975,4.4803,0.7247,51.1185,1.0689,2.7577,0.3901,1.3028,2.5224,32.0652,164.0693,13.5948,0.596,154.237,0.8578,52.2347,9.5888,915.4867,36.8212,14.2932,1454.4844,266.0683,0.0,3399.5523,94.7249,814.6383,0.0,2.6667,0.0
CHE_S,2.6651,0.0,3.8472,0.3267,0.0289,106.5472,1.0992,0.3714,7.8552,1.6134,12.1176,42.6898,1.0234,8.3253,14.322,12.2566,200.9915,22.3132,43.9342,3.0595,8.6146,86.7826,223.0648,20.3715,97.6355,687.7589,51.2618,57.4907,15.0585,163.5014,2.9068,55.7149,45.0794,15.6333,114.0721,380.4577,16.0832,967.4004,387.089,275.8897,35.4394,254.3745,100.3835,177.3134,0.0,7783.7183,3176.7702,0.0,0.0,0.0,0.0
CHE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2409.5266,0.0,0.0,0.0,0.0,0.0
