V1,KAZ_A01_02,KAZ_A03,KAZ_B05_06,KAZ_B07_08,KAZ_B09,KAZ_C10T12,KAZ_C13T15,KAZ_C16,KAZ_C17_18,KAZ_C19,KAZ_C20,KAZ_C21,KAZ_C22,KAZ_C23,KAZ_C24,KAZ_C25,KAZ_C26,KAZ_C27,KAZ_C28,KAZ_C29,KAZ_C30,KAZ_C31T33,KAZ_D,KAZ_E,KAZ_F,KAZ_G,KAZ_H49,KAZ_H50,KAZ_H51,KAZ_H52,KAZ_H53,KAZ_I,KAZ_J58T60,KAZ_J61,KAZ_J62_63,KAZ_K,KAZ_L,KAZ_M,KAZ_N,KAZ_O,KAZ_P,KAZ_Q,KAZ_R,KAZ_S,KAZ_T,KAZ_HFCE,KAZ_NPISH,KAZ_GGFC,KAZ_GFCF,KAZ_INVNT,KAZ_DPABR
KAZ_C20,203.0625,1.2665,142.9529,622.4135,13.1227,147.6176,2.9587,0.5062,69.3194,2.2568,15.986,143.4746,208.8977,28.1415,17.8624,0.7865,0.7429,0.8122,1.4845,0.2704,1.8394,17.3126,21.6987,0.7266,36.3372,25.0235,54.0933,1.2126,5.9204,4.8109,2.22,3.4033,8.0195,1.4422,4.2635,0.6241,48.9817,154.2937,93.8449,14.9976,58.4244,329.9877,6.988,18.3603,0.0,31.0214,0.0,0.0015,1.3009,33.2036,0.0
KAZ_C21,4.3079,0.0044,4.5417,2.0636,0.0902,0.5183,0.0047,0.0004,0.0043,0.0149,0.4268,3.1624,0.0052,0.0136,0.0678,0.0032,0.0006,0.0016,0.0016,0.0008,0.0016,0.0392,0.1141,0.0047,0.1174,0.1161,0.0888,0.1745,0.0527,0.0721,0.8013,0.1498,0.0087,0.0613,0.0069,0.0382,0.0984,36.7316,0.4934,16.0587,5.8163,1208.1521,4.8639,5.7233,0.0,58.1731,0.0,0.3143,0.0533,13.3372,0.0
KAZ_C22,8.7429,0.2386,46.0486,13.7701,18.6673,19.3527,1.1546,0.9257,2.8165,0.9038,1.4062,23.0537,9.8443,49.4367,4.002,0.7969,0.1498,0.0742,0.0903,0.2231,0.2652,2.5291,15.4017,2.8947,149.9563,302.3597,167.3348,2.891,0.6801,10.2474,1.206,5.5251,4.3052,21.1244,3.9677,1.9805,184.1384,104.381,22.9137,16.3889,23.3925,388.1457,6.2407,11.0905,0.0,21.2442,0.0,0.0009,1.4752,15.1221,0.0
KAZ_C23,29.7863,0.6976,56.2018,281.5258,93.2955,18.387,0.0878,5.7927,0.0687,1.267,5.0529,7.9418,9.2455,296.0014,40.7372,1.2797,0.0369,0.1291,0.2658,0.3522,0.3244,18.0584,53.1618,7.393,2195.4831,34.3435,55.6892,1.9448,3.5647,69.5083,0.7303,39.5814,1.3237,5.121,1.0745,1.8347,311.2823,187.0678,83.1819,8.5686,17.2643,185.9853,15.0046,2.3758,0.0,21.8322,0.0,0.0653,24.9038,50.2557,0.0
KAZ_C24,101.5427,1.4377,1411.7467,1660.2085,331.8056,38.5178,3.7697,0.2865,2.3527,18.7914,12.5557,14.687,106.8005,724.8276,4747.6497,878.7658,42.7818,532.3433,460.6248,234.5151,251.0638,1161.043,1043.9883,433.9943,12447.2287,121.3963,1918.8961,53.7993,14.8488,353.1875,0.0003,31.4694,2.9334,812.749,1.7275,1025.6686,190.952,764.9471,84.1621,9.9142,5.5554,177.8608,30.5691,52.7739,0.0,4.9349,0.0,0.0,0.0,852.7661,0.0
KAZ_C25,8.6924,2.084,120.8552,32.8409,14.796,3.7311,0.2295,0.3817,0.1347,6.5952,0.9268,0.0185,0.0965,53.6648,56.7082,3.3545,0.0272,0.0935,2.2404,0.8516,2.3064,77.2048,56.3097,2.9524,360.435,338.5975,96.8027,0.0978,5.0004,43.4951,0.4325,4.4528,4.2296,47.33,3.7465,1.2604,34.5854,149.7755,13.8692,20.9762,18.5374,46.9831,7.9783,3.439,0.0,15.3861,0.0,0.0046,102.8695,19.8176,0.0
KAZ_C26,0.1006,0.0018,16.2157,0.287,5.9717,0.0297,0.0009,0.0002,0.1647,0.1442,0.0047,0.0065,0.004,0.0833,0.057,0.8207,0.8057,0.0229,0.0199,0.051,1.6614,3.8767,16.4161,0.0149,6.0394,27.0328,1.6075,0.003,0.3355,0.9661,1.1768,0.3964,2.9569,18.9116,4.8626,2.4484,0.0626,6.4988,7.3489,1.6343,6.1549,4.3986,1.1288,3.2108,0.0,12.1246,0.0,0.0012,92.2415,3.5699,0.0
KAZ_C27,1.013,0.09,21.0026,7.3614,2.4536,3.3373,0.5965,0.1505,0.0544,0.9792,0.4221,0.0071,0.3519,3.5732,7.1729,0.2451,9.8105,0.054,0.0356,0.0056,1.3113,35.6996,28.2894,0.3747,30.7783,48.2463,109.3451,0.0278,0.3431,4.125,0.008,3.6781,4.6003,18.0178,5.7588,1.7447,14.4361,30.2194,49.1466,6.6018,17.2984,66.1675,16.8402,29.8034,0.0,57.9073,0.0,0.0012,316.0682,41.9309,0.0
KAZ_C28,21.8107,0.1283,112.8077,78.0783,16.2234,1.4466,1.4706,0.061,0.4288,0.8005,0.1314,0.0273,0.17,4.018,9.1983,0.7425,0.0106,0.0925,1.8701,0.1713,0.2968,17.0439,6.6567,0.2287,10.8341,27.6383,106.8965,0.1735,1.5562,4.3411,0.1015,0.763,0.8199,3.1171,0.8294,1.2572,5.7567,23.2494,15.0921,3.535,6.3484,20.6427,1.3194,1.4557,0.0,9.0247,0.0,0.0031,348.3843,16.8502,0.0
KAZ_C29,8.7922,1.8913,9.6118,1.8017,0.8102,0.3955,0.0026,0.031,0.0068,0.0043,0.0033,0.0083,0.0008,0.2103,0.0357,0.0012,0.0635,0.0436,0.4596,93.227,5.7816,7.8224,0.3968,0.0742,3.601,208.2627,42.6935,0.2203,0.4225,5.3968,0.5931,0.5761,0.0695,5.8888,0.0734,0.8906,3.3514,5.8813,44.9496,31.9298,5.9833,82.5052,3.5332,0.1587,0.0,80.9557,0.0,0.0,365.3622,36.9497,0.0
KAZ_C30,0.0257,0.0,1.8186,0.397,0.0233,0.0017,0.0,0.0,0.0002,0.0,0.0,0.0115,0.0,0.0001,0.159,0.0106,0.0,0.0001,0.0002,2.3472,6.4439,0.0023,0.0001,0.0004,0.008,0.0,57.9734,10.5732,19.3642,3.8374,0.0,0.0362,0.0016,0.0074,0.0011,0.0,0.0015,4.6349,8.9828,0.4521,0.109,0.1996,0.2705,0.0631,0.0,2.974,0.0,0.0,464.7335,22.6299,0.0
KAZ_C31T33,25.4067,0.131,387.3231,13.7287,11.4667,2.3004,1.011,0.0249,0.4044,1.9966,0.2994,0.1511,0.2651,1.5562,19.0613,0.2365,2.0652,0.1011,0.113,0.1884,1.0173,3.7174,81.6706,3.917,29.1119,1494.3846,419.7161,24.0757,51.0467,57.3457,4.2943,15.8973,5.3549,85.3184,4.9565,11.6928,22.1289,134.1979,241.3587,171.5359,59.773,67.1325,35.7568,34.1475,0.0,47.7798,0.0,0.0598,139.2216,28.7714,0.0
KAZ_D,27.0969,14.6786,713.2623,89.5049,3.0341,29.6636,0.3834,0.2536,3.2078,4.7265,4.6184,1.3797,0.3614,27.5727,12.0374,0.0855,0.7956,0.0545,0.1025,0.3196,0.5077,18.6266,231.5976,47.1584,681.4292,1934.0075,354.6765,0.4108,9.613,96.0565,4.6712,31.3229,89.659,147.0892,94.8629,39.7238,451.305,148.7658,199.8759,382.7323,334.3021,1322.5739,97.3393,1142.6079,0.0,349.9507,0.0,0.3468,6.7417,0.15,0.0
KAZ_E,13.8195,1.171,105.6508,2.068,12.5175,180.3986,0.0699,1.1161,214.8468,0.0779,0.5343,5.5531,85.8593,26.9668,30.3425,0.0157,0.0309,0.782,0.0106,0.0659,0.2178,2.7339,60.7168,7.9269,41.5421,32.1968,49.0297,3.3454,0.1623,4.3499,0.542,4.6457,7.4431,6.2534,7.1973,1.6117,26.8611,112.1626,37.5294,39.4965,107.262,34.0884,29.1552,42.7163,0.0,47.1188,0.0,0.1246,0.0,0.0,0.0
KAZ_F,209.3801,0.5099,875.9968,373.3505,14.3116,41.9358,0.6697,0.5079,3.2243,10.6686,9.291,7.3518,13.7218,80.1946,30.8689,8.4309,20.0974,0.5158,0.5325,0.6724,26.5742,26.7408,393.289,72.2646,10204.8048,3670.3127,530.6856,14.5147,7.9731,28.9219,3.2419,53.6486,24.0909,207.6569,28.738,209.4306,7150.6477,4145.7044,250.8357,513.3556,4813.606,1484.8305,256.6275,193.6006,0.0,162.2244,0.0,3.5608,18404.8371,8.3655,0.0
KAZ_G,5492.6257,147.8202,3784.8055,2265.4729,367.0805,3284.0837,189.1189,19.2416,118.5011,1325.343,494.333,231.2196,334.3023,802.093,7447.5052,327.1047,35.341,171.1371,168.3844,271.7649,123.653,703.4492,1239.4902,170.6997,7024.3255,3769.4372,5518.764,41.8338,224.7188,530.2701,74.5168,1278.5945,162.9058,488.6148,121.5223,473.4854,1092.908,1476.211,783.8734,1113.4645,923.8453,3447.696,561.9402,537.5739,0.0,4346.469,0.0,4.4782,4531.5022,2658.3097,0.0
KAZ_H49,746.9181,10.6601,4988.5919,771.43,158.5463,264.9955,28.0565,4.826,28.0479,198.3596,157.9412,39.9589,68.2206,322.8087,4145.2311,108.2548,10.2041,47.386,53.608,45.8255,35.0018,212.5469,285.8994,55.1146,2864.5534,7804.1764,1050.0067,10.7652,48.441,459.3582,36.3982,112.9503,110.0001,228.2322,105.5081,1628.3888,2371.1477,601.5639,387.9416,877.5441,426.4474,982.273,304.8688,124.5851,0.0,1344.7554,0.0,20.7789,408.6305,169.6922,0.0
KAZ_H50,11.8815,0.3031,14.581,8.3125,1.6722,7.3973,0.5891,0.0581,0.6577,4.8215,2.0421,0.7628,1.2461,2.8067,30.7952,0.964,0.1499,0.4951,0.5282,0.9112,0.4332,2.7573,4.3376,0.5484,21.8128,89.3437,22.0678,0.2375,0.8879,1.5577,0.3021,2.8513,0.6208,1.9826,0.5272,1.3814,3.8651,54.5903,3.6038,2.8866,2.7118,11.7894,2.0244,1.555,0.0,12.478,0.0,0.0877,18.3311,12.8507,0.0
KAZ_H51,11.1196,0.2758,21.6615,6.319,2.1847,6.4832,0.5351,0.0442,0.3741,3.8936,1.2961,0.6804,0.9912,1.8629,17.6457,0.6458,0.1403,0.3399,0.3602,0.7992,0.3378,2.177,3.4828,0.3756,15.3957,833.5495,40.7421,0.1651,3.7845,25.0899,3.007,2.5958,3.4245,28.5433,4.4755,7.1738,178.3996,382.7444,169.3585,129.8089,27.8914,26.5479,53.6693,15.838,0.0,103.7437,0.0,0.05,18.4568,13.819,0.0
KAZ_H52,222.1816,1.8405,402.3013,36.6013,13.9201,27.4027,1.5925,0.2197,1.3779,21.7927,11.0102,2.2098,3.7718,14.6419,98.5822,2.9918,0.3977,1.6275,1.5982,3.4312,1.2224,9.1951,16.5044,2.1974,77.8172,3037.8273,370.6113,21.5415,471.8561,70.8152,2.1463,11.0924,2.1351,7.6123,1.6474,14.4775,16.5155,159.081,58.6467,162.198,41.9676,118.4721,8.3594,16.758,0.0,187.6196,0.0,0.1238,43.9299,31.013,0.0
KAZ_H53,5.3989,0.1195,7.9154,1.9954,2.8733,0.8234,0.0615,0.02,0.2194,0.0581,0.2096,0.4965,0.1255,0.9448,1.7319,0.0391,0.1001,0.1435,0.1322,0.2564,0.0384,0.2803,2.2994,0.1869,5.5955,27.2365,10.894,0.1402,1.0413,3.6726,3.6125,0.8986,8.037,16.0368,7.5094,14.5487,15.7127,70.401,112.8872,33.0354,25.7755,32.1931,6.4093,41.7898,0.0,22.2222,0.0,0.0037,0.0282,0.0921,0.0
KAZ_I,0.1425,0.0,199.0665,99.5124,175.1854,11.7206,0.0603,0.002,0.0291,0.0355,0.7757,0.1373,0.2485,3.1286,73.75,0.1679,4.8038,0.0012,0.0346,6.2897,0.0488,15.5866,7.3489,0.7359,10.8389,300.2364,104.0718,0.1955,246.6333,26.37,1.7334,49.7138,35.4716,42.1781,32.1536,38.1014,125.4385,659.2242,952.7379,154.8473,51.5339,61.1332,230.3173,1491.6591,0.0,993.7848,0.0,0.0,0.0036,0.0013,0.0
KAZ_J58T60,0.1355,0.0,23.7914,0.9885,0.0472,3.1886,0.0444,0.0,12.1878,0.8576,0.4256,0.6353,0.0011,0.1582,0.0568,0.0293,0.0,0.0392,0.0032,3.244,0.9512,0.8863,0.3228,0.0603,0.3772,842.0334,8.2314,0.0249,13.6777,2.4315,5.1416,5.5504,138.5739,24.7246,55.919,49.6882,9.9604,132.7938,81.2816,97.9114,427.9694,23.0443,55.3828,4.0787,0.0,34.0279,0.0,0.0,97.1302,0.0682,0.0
KAZ_J61,18.9563,1.0073,97.7275,119.2317,1.0689,0.6299,0.0712,0.0342,0.1364,0.0493,0.0328,0.0525,0.0697,0.8298,0.6653,0.0155,0.0684,0.0154,0.0059,0.014,0.0301,0.2958,2.0137,3.397,17.5781,1361.7052,1636.2313,0.6191,0.7036,96.7133,0.2396,3.6358,162.8119,122.8698,203.9554,378.7342,34.869,126.5379,150.1502,424.3294,94.3578,76.3488,42.0413,164.2059,0.0,1236.1982,0.0,0.2259,3.0272,0.6101,0.0
KAZ_J62_63,1.0139,0.1762,68.0007,0.323,0.3839,0.507,0.04,0.0001,0.2059,0.2189,0.0385,0.0542,0.0685,0.5028,0.0005,0.0004,0.1699,0.0,0.0208,1.1206,0.0205,0.1371,54.0764,1.329,6.1077,236.4262,68.1719,0.5019,3.458,6.0612,0.0101,5.697,162.6829,464.0424,53.75,28.2195,42.6355,114.8722,75.4067,297.8687,54.5747,36.1131,12.4795,13.2785,0.0,2.3109,0.0,0.0,272.4193,0.0755,0.0
KAZ_K,793.4492,6.5769,306.2203,70.1559,10.115,64.951,8.013,2.5955,26.0133,6.9228,28.5839,8.9972,16.9909,126.4237,233.6097,4.773,12.4645,19.5999,18.8203,34.6165,4.4405,30.9552,111.3835,19.6833,714.9994,3729.3912,1097.3976,15.4397,21.2685,322.8357,7.1595,16.5682,13.5557,101.9693,19.5168,2170.2971,1078.9636,307.8676,392.3385,741.2316,827.2321,4281.1787,74.3899,134.4035,0.0,278.3811,0.0,0.5026,0.5592,0.4085,0.0
KAZ_L,17.8664,9.5247,153.3183,3.7517,6.9699,3.6025,0.0369,0.1269,0.3148,0.1847,0.1013,0.7672,0.1584,0.7992,0.9773,0.0226,16.6379,0.007,0.0201,0.2214,0.1621,0.6166,2.9526,0.1522,383.8357,3191.3633,548.6449,3.2416,289.3453,175.1496,48.3771,173.0136,266.965,276.6252,370.6335,3807.4241,557.8491,1359.534,1006.5945,182.3137,530.1704,40.0169,412.8729,4614.1464,0.0,15571.936,0.0,0.0821,0.0,0.1052,0.0
KAZ_M,259.8891,9.582,2205.0457,77.7203,121.5412,31.1527,0.466,0.8008,4.82,22.0609,1.732,6.5931,1.6445,6.4524,24.7054,0.8184,27.9008,0.4269,0.4254,0.3202,0.4908,7.6618,61.8714,4.806,4207.5842,7074.4716,635.3795,10.745,31.1091,46.3959,4.2148,17.4033,37.1805,255.3893,34.2891,275.0806,715.0588,3056.7864,455.7673,2791.6122,199.6161,146.59,74.6723,500.4175,0.0,96.9952,0.0,6.1758,2466.8534,4.8506,0.0
KAZ_N,76.8685,7.3747,530.0434,93.0511,67.7204,21.6611,0.1714,0.5671,4.5648,1.535,0.7952,6.522,2.6466,11.8285,122.0654,1.6377,0.1967,0.0558,0.4871,0.4704,0.2243,6.0254,31.4777,22.2024,342.6107,3217.6999,539.9171,61.1923,24.2605,223.3016,0.4828,56.2705,81.3405,214.5169,54.9239,364.7091,957.9453,981.1093,781.7605,469.9083,383.8746,1393.0893,348.7639,289.582,0.0,690.2358,0.0,2.3206,15.0672,1.3292,0.0
KAZ_O,4.2221,0.0287,8.0504,0.6818,0.3816,7.2058,0.4586,0.2215,4.1152,0.1175,0.1334,0.3839,0.0678,3.4959,4.2231,0.0477,0.0156,0.0364,0.0222,0.0999,0.024,0.1401,0.8027,0.0898,8.9206,7.6976,7.8199,0.0469,0.1076,32.4852,0.0202,0.4434,11.6481,3.3495,14.0189,5.4273,2244.7872,5.5772,6.9962,14.0542,9.5291,29.9132,25.1245,1.672,0.0,761.3785,0.0006,12923.7049,8.5174,0.6771,0.0
KAZ_P,0.8209,0.0147,194.9454,11.1644,1.8703,0.2809,0.0198,0.0125,0.0934,0.0142,0.0737,0.0222,4.1933,0.0329,198.2233,0.0161,0.7344,2.1296,0.0015,10.0209,0.161,2.1186,1.861,0.1361,1.8636,4.2361,119.0047,0.3952,0.5807,11.2336,0.0141,0.2917,2.8158,41.4694,4.7958,258.8333,303.28,49.2207,632.5973,257.8818,236.693,318.3078,42.3258,7.2714,0.0,13686.6946,0.0384,2561.3748,2.5643,0.0523,0.0
KAZ_Q,18.928,0.2278,668.9458,18.5477,49.2067,12.6155,0.3525,0.0204,0.7272,2.2366,14.9022,108.9664,0.2929,1.0472,151.9413,0.6071,0.1409,0.4078,0.0369,0.1596,0.0454,3.6383,19.2429,0.845,13.8695,70.1438,1635.7353,0.3052,11.9436,374.879,0.1297,9.4623,0.8133,12.2723,0.786,652.2519,5.0375,109.9447,321.6361,597.1631,452.6034,8055.0837,847.0626,120.649,0.0,16562.6118,0.0648,1939.0775,4.1324,2.6286,0.0
KAZ_R,0.8889,0.0,194.6765,1.4796,10.8734,0.0,0.0553,0.0,0.0026,0.013,0.0192,0.0,0.012,0.0081,219.741,0.0,0.0129,0.0017,0.0,0.0,0.0,0.7054,1.2947,0.0901,5.5003,0.5334,24.2303,1.6482,0.0141,0.7469,0.3003,0.3228,1.8789,62.9753,0.5446,81.0746,65.7672,336.5762,106.7887,47.3033,1903.1084,123.8649,166.5881,77.1328,0.0,1968.6038,0.0,82.9764,946.6055,0.0045,0.0
KAZ_S,2.129,34.3384,130.805,205.5904,3.3918,2.3732,0.0049,0.0402,0.9196,0.1019,0.0738,2.4847,0.0006,2.3765,1.7776,0.0154,0.0837,0.0019,0.07,0.0006,0.0396,2.9174,8.2441,0.6736,2.8761,33.3264,16.1715,0.1226,7.0476,15.3034,0.0881,4.972,12.2123,137.0036,21.1298,95.529,5.3242,35.2302,91.017,173.0839,243.9845,197.2684,75.1574,23.224,0.0,12501.8635,1871.3658,0.0,0.0,0.0015,0.0
KAZ_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.2423,0.0,0.0,0.0,0.0,0.0
