V1,ROU_A01_02,ROU_A03,ROU_B05_06,ROU_B07_08,ROU_B09,ROU_C10T12,ROU_C13T15,ROU_C16,ROU_C17_18,ROU_C19,ROU_C20,ROU_C21,ROU_C22,ROU_C23,ROU_C24,ROU_C25,ROU_C26,ROU_C27,ROU_C28,ROU_C29,ROU_C30,ROU_C31T33,ROU_D,ROU_E,ROU_F,ROU_G,ROU_H49,ROU_H50,ROU_H51,ROU_H52,ROU_H53,ROU_I,ROU_J58T60,ROU_J61,ROU_J62_63,ROU_K,ROU_L,ROU_M,ROU_N,ROU_O,ROU_P,ROU_Q,ROU_R,ROU_S,ROU_T,ROU_HFCE,ROU_NPISH,ROU_GGFC,ROU_GFCF,ROU_INVNT,ROU_DPABR
ROU_C20,243.9419,3.5313,4.8402,0.5494,1.6235,36.1718,89.1969,28.3472,26.4793,15.6379,274.386,12.4803,313.5271,33.7329,28.2619,32.4587,24.2395,53.7441,26.1853,109.4708,9.5363,75.1327,24.1566,58.4247,166.0236,414.3023,59.5235,2.0308,1.8389,3.4981,1.502,9.4853,19.5956,1.2047,18.7445,3.8218,87.3267,35.6685,44.1705,13.5283,11.0768,63.0641,4.3047,6.1092,0.0,172.4677,0.0,1.5386,0.0,32.3386,0.0
ROU_C21,7.3853,0.0374,0.0719,0.0119,0.0052,2.6397,0.7901,0.0,0.0,0.0,0.0,7.4236,0.0,0.0,0.2688,0.0,0.0,0.0,0.0,0.0,0.0641,0.0,0.071,0.0073,0.0,0.0,0.0,0.0,0.0,0.0395,0.0,0.3614,0.0029,0.0,0.1757,0.0,0.0,7.6327,0.1961,0.0,0.1464,241.4629,0.0235,0.0202,0.0,232.0793,0.0,109.2176,0.0,6.2439,0.0
ROU_C22,11.1888,0.4618,19.4182,1.5683,1.1774,59.6016,63.5299,21.2476,13.4094,6.1763,32.1767,3.0857,542.0829,30.2317,44.5931,80.5472,72.1404,179.5631,113.6637,754.8754,15.3119,60.5659,47.1212,12.8864,350.0053,280.8035,616.3246,0.4253,1.9076,17.7807,3.5428,2.5459,10.7199,73.5126,15.9329,4.5877,36.3121,80.0403,21.105,4.9886,0.8962,5.6861,14.2803,12.3059,0.0,248.0813,0.0,0.0718,0.5615,62.7558,0.0
ROU_C23,5.2476,0.5422,3.3392,0.6869,0.9345,55.3275,4.7935,10.9307,1.1959,5.2695,8.6374,2.6699,16.267,145.9759,82.1095,27.0901,9.8225,38.5078,28.6141,59.1535,5.5514,26.2789,19.3085,42.1113,2179.197,52.2637,104.2352,1.9821,0.1475,2.2882,0.0,2.916,5.6213,27.0881,2.6419,6.0759,39.3692,24.6231,12.4211,0.5318,16.6106,4.4806,36.0888,60.971,0.0,154.3345,0.0,4.7492,11.4037,36.5796,0.0
ROU_C24,7.771,0.0559,18.1527,1.3518,2.7519,3.932,1.8666,5.572,3.4738,13.52,17.2872,0.3766,6.2031,41.6514,710.9305,464.7906,54.1969,182.1509,350.9853,894.0634,68.8761,53.3007,54.5539,7.99,970.8286,73.8256,131.9479,12.2222,0.0,0.4149,0.0,1.2527,3.6128,107.6681,3.1726,0.0,6.8491,87.4532,29.0177,38.7487,4.4061,0.3473,17.589,8.2392,0.0,15.4965,0.0,0.0,1.5896,66.6001,0.0
ROU_C25,64.9797,1.147,46.9577,6.7775,4.2481,38.9158,17.8925,63.5647,33.8247,286.1697,71.3689,6.8797,79.4467,78.9187,149.896,570.6691,87.2252,218.6755,274.5909,356.2369,35.2055,150.632,308.4211,12.9812,1046.2231,62.1053,320.2537,4.3569,14.3769,73.1397,0.0,1.9459,5.307,17.4428,8.2136,3.2247,25.0864,132.7848,31.4884,31.0822,1.4127,5.2901,26.1322,17.2334,0.0,452.9316,0.0,15.0408,93.7437,72.1553,0.0
ROU_C26,2.0915,0.1422,0.6259,0.4197,0.1204,3.5439,0.7884,0.656,1.3356,0.9499,1.5222,0.163,6.5749,2.01,8.5195,6.5019,54.4228,29.6085,14.8562,41.0651,3.5914,11.8006,14.5965,2.2581,43.748,120.5717,21.4844,0.1995,0.2897,3.0601,0.5556,0.5623,2.0,56.875,82.4869,9.3473,3.2751,17.8436,4.6304,2.0088,0.656,25.7127,1.851,3.3679,0.0,252.3585,0.0,0.1923,266.6768,16.9742,0.0
ROU_C27,7.3996,0.6512,6.3744,0.6674,0.3418,6.666,1.7808,3.4194,4.401,4.1227,2.5221,0.9602,21.3339,6.0624,30.8975,29.5353,64.0462,201.765,74.164,233.4583,13.0289,34.2155,82.7528,1.985,236.8947,152.6374,123.7317,0.8728,0.2267,14.7752,2.7659,2.3789,2.1547,88.563,53.3128,11.0407,3.3524,141.0499,88.5122,1.5785,1.0353,3.4772,5.0309,5.9231,0.0,495.876,0.0,0.1209,131.0455,55.0315,0.0
ROU_C28,1.1721,0.4412,0.5266,0.0667,1.6976,0.6194,0.5698,2.2841,0.3463,0.3007,0.4162,0.0846,1.0272,0.9027,1.7081,0.7206,0.4263,0.5591,3.5603,2.8945,0.969,8.2122,1.9014,2.2878,12.7562,2.5524,3.4409,0.049,2.9246,62.9896,0.0,1.2519,0.5454,0.4511,1.6452,0.9455,0.4049,1.198,0.3956,5.9579,2.5062,4.99,0.6281,3.4056,0.0,123.091,0.0,1.9193,1638.8972,32.998,0.0
ROU_C29,42.0708,1.0049,11.2629,11.595,0.3384,59.9579,8.2282,24.8163,4.3483,7.2049,11.5608,2.4447,12.4201,35.2393,19.4304,32.7387,22.9557,112.0013,55.9897,2741.5685,95.665,112.839,75.8192,8.3613,176.1931,123.7441,1723.7992,0.8983,4.4535,1.2409,0.0,2.6546,2.2443,24.5095,9.2838,3.8342,35.2999,212.1258,76.8445,7.9255,9.0409,8.544,8.0576,9.4364,0.0,2855.0484,0.0,0.0144,1542.3912,174.0487,0.0
