V1,NZL_A01_02,NZL_A03,NZL_B05_06,NZL_B07_08,NZL_B09,NZL_C10T12,NZL_C13T15,NZL_C16,NZL_C17_18,NZL_C19,NZL_C20,NZL_C21,NZL_C22,NZL_C23,NZL_C24,NZL_C25,NZL_C26,NZL_C27,NZL_C28,NZL_C29,NZL_C30,NZL_C31T33,NZL_D,NZL_E,NZL_F,NZL_G,NZL_H49,NZL_H50,NZL_H51,NZL_H52,NZL_H53,NZL_I,NZL_J58T60,NZL_J61,NZL_J62_63,NZL_K,NZL_L,NZL_M,NZL_N,NZL_O,NZL_P,NZL_Q,NZL_R,NZL_S,NZL_T,NZL_HFCE,NZL_NPISH,NZL_GGFC,NZL_GFCF,NZL_INVNT,NZL_DPABR
NZL_C23,57.1417,0.6933,6.3493,1.9234,1.357,126.6796,2.9444,20.7086,12.5571,6.1239,30.7325,3.9838,22.2694,135.3543,8.5145,41.0544,19.8655,4.2526,2.2188,1.2399,6.6918,4.9461,0.8269,10.7167,1080.3946,17.5239,4.5335,0.1339,1.128,1.2736,0.5416,5.5753,1.7077,0.5549,0.2342,1.5359,46.128,25.2142,24.0079,4.3471,9.0142,8.7499,1.2936,5.0615,0.0,222.9162,0.0824,1.1946,27.8393,16.1416,0.0
NZL_C24,39.8418,0.0,7.2856,0.5816,0.9032,25.692,0.4961,3.7754,6.0305,74.5815,12.6545,0.9547,3.9917,21.281,290.1154,712.0614,12.1218,46.5222,415.6304,2.1656,13.0022,22.8865,0.0,2.5233,212.8068,2.2946,1.396,0.2449,0.0,0.3702,0.0,7.1831,1.9625,0.0,0.0,0.6628,12.7627,3.5498,0.0,4.9768,6.1096,1.5552,0.0,2.4931,0.0,9.86,0.0,0.0,39.166,20.827,0.0
NZL_C25,61.4713,1.8895,64.1214,5.1306,4.8998,227.8614,5.6116,37.7663,16.6217,24.8303,5.1057,2.4633,39.1278,53.9831,95.4664,420.3542,5.0028,14.5723,99.1419,4.5047,7.6423,73.829,8.8899,12.9011,1520.7583,132.7027,5.4052,0.3319,5.6837,5.1914,0.2265,43.0299,1.8809,1.3085,0.4826,10.3182,268.169,16.9568,28.1756,54.9146,19.1866,10.7131,2.6565,40.3293,0.0,297.3212,0.6161,3.9403,236.1126,33.5175,0.0
NZL_C26,0.1373,0.0,0.8912,0.0,0.3471,8.3368,0.7733,0.5877,1.6573,0.0,3.6206,0.456,1.2071,0.4803,0.1649,0.267,27.5495,6.8675,1.0086,0.0804,1.0326,2.1488,2.3358,1.364,27.2702,25.1296,0.3407,0.0,0.4109,0.5827,2.0417,0.0,35.9529,76.8409,7.9654,4.2527,2.8745,41.13,6.7775,14.2841,16.2133,44.5051,6.7653,10.2361,0.0,512.4828,0.0,1.4657,501.6235,13.3012,0.0
NZL_C27,4.5655,0.2836,0.2645,0.1407,0.0503,10.6518,0.4598,1.9066,5.0917,0.4956,1.7369,0.6066,2.393,0.9625,1.3079,3.3791,43.8415,48.5577,31.905,3.7156,0.9726,1.1926,4.4882,0.1347,262.6172,13.2689,2.7921,0.0665,5.2918,4.3135,10.0525,8.3873,6.2787,19.394,0.5812,1.5616,9.4552,5.7084,9.1463,7.163,2.215,6.6836,0.4949,3.3473,0.0,253.5111,0.1428,8.3345,261.9376,9.3281,0.0
NZL_C28,34.0059,2.1043,45.8467,1.8992,4.3443,33.1741,3.4901,6.5854,24.5003,5.9996,2.9492,0.9223,5.7219,7.7973,12.0664,33.8105,7.2229,8.0891,69.532,55.4211,56.9346,13.1444,5.9781,2.346,285.4283,68.3759,7.8895,0.6338,21.9566,4.6493,2.8001,17.6833,3.7541,4.3497,0.7682,3.7336,25.0475,22.094,27.7875,11.8509,26.4824,5.7335,2.7596,8.4528,0.0,181.0766,0.3126,8.5936,1137.6146,19.6496,0.0
NZL_C29,1.4233,0.7452,0.0563,0.0029,0.0008,0.5056,0.0461,0.1338,0.133,0.0294,0.2521,0.0463,0.1833,0.3005,0.3353,0.195,0.0112,0.0795,0.5703,1.2221,0.1035,1.2109,0.0136,0.5225,4.4951,11.8292,13.5564,0.0686,0.652,2.673,4.1682,0.5423,0.0381,0.02,0.225,1.0874,5.1136,2.8101,9.3025,0.6891,0.0151,0.175,0.0157,5.0043,0.0,508.4881,0.0009,0.009,135.8813,3.4845,0.0
NZL_C30,3.8587,3.5451,1.2116,0.0831,0.1166,7.6778,0.2545,0.952,1.4891,1.1352,0.6336,0.1997,1.0861,0.8607,0.8068,3.3795,7.82,8.7476,7.0952,2.4075,390.8639,0.9092,4.285,0.5671,69.3553,7.2169,51.3345,3.7846,11.3181,6.265,2.0074,2.736,1.9545,3.7044,0.6392,0.9663,7.2033,23.6644,6.6339,77.9718,1.2322,1.9636,25.2001,4.5531,0.0,402.2857,0.2211,8.7021,502.2362,5.0637,0.0
NZL_C31T33,23.1742,10.4049,16.7048,0.8151,1.1552,30.1486,7.769,9.865,10.1206,4.6194,4.3485,1.1904,3.8222,4.6904,28.1368,8.7468,3.3629,2.2364,6.768,2.7156,10.7722,7.6425,10.5309,2.449,60.1162,31.4752,4.7556,0.6204,3.2842,2.8439,0.481,6.0801,3.8935,4.3427,1.4593,1.3738,50.4987,12.3423,8.912,7.5179,21.294,53.4606,6.1374,5.5822,0.0,448.5489,0.412,4.7261,151.3417,4.0503,0.0
NZL_D,283.8432,7.4557,106.403,10.0394,0.4947,367.2814,11.7201,71.8047,156.3622,20.0213,148.2433,19.0785,29.4335,57.5986,416.9302,27.8019,9.8595,6.4033,13.8015,1.0575,2.0058,14.1285,5120.8688,96.5985,179.0727,395.0112,29.546,1.6062,14.4369,26.9814,6.1465,119.4388,42.8434,41.6732,25.5218,49.9188,190.9501,102.1266,43.9889,85.6749,156.0868,214.0995,39.7474,37.3825,0.0,2544.3765,2.6274,11.1739,197.3464,0.4669,0.0
NZL_E,83.9827,16.3838,5.5317,1.5531,0.6205,144.1126,2.2921,25.2027,22.0035,18.0735,15.5393,2.9613,3.2024,4.3926,119.3883,2.8342,0.8315,1.2001,0.349,0.1198,10.1011,1.8802,110.1167,562.0557,211.6966,87.4008,27.0921,0.2845,1.0449,7.5205,0.3275,18.9603,1.4774,0.9117,0.3194,19.5233,360.6157,30.8149,46.5066,41.4879,22.5019,114.6813,17.9051,70.8118,0.0,159.1534,0.781,446.8473,15.9433,0.3309,0.0
NZL_F,393.8458,22.6967,35.7353,6.1111,3.5941,152.9884,19.3363,48.1402,55.2671,26.9789,16.1409,4.0287,8.9248,45.902,25.2859,53.2683,9.3223,10.3635,57.8992,2.7943,10.5219,32.957,159.467,56.9042,14827.8299,361.7269,38.8624,3.1977,21.4568,49.7546,8.2276,138.2088,28.3393,104.5835,22.8612,237.39,2365.2155,270.8891,233.6024,165.8768,298.8318,141.583,89.3873,178.1891,0.0,833.9378,16.4636,429.334,22093.7512,5.9599,0.0
NZL_G,1290.8311,219.0348,223.2234,21.2601,17.6077,2171.6081,150.1924,308.6735,282.9258,152.6107,238.8216,89.6028,220.9597,156.2499,204.7957,267.7487,165.3024,85.7162,139.4148,28.8784,210.4216,94.535,321.5037,123.4946,1730.2217,1116.033,531.7736,52.71,260.1359,151.3652,65.5083,637.3586,158.0739,129.8913,50.624,115.9141,515.4517,391.8091,350.9879,314.4632,216.387,621.4645,158.9943,192.1562,0.0,9712.1159,24.5069,492.7868,2213.3618,224.5758,0.0
NZL_H49,508.8089,30.7693,63.8407,12.5806,7.404,1067.9928,29.0628,112.3484,89.0402,75.6419,65.0458,14.2745,72.1421,86.8717,31.3249,67.4737,21.8387,13.5842,21.7607,3.2174,20.2953,28.7961,21.9885,38.8076,237.2553,911.444,626.9518,15.136,43.4871,79.869,52.5101,47.3146,43.0271,5.6045,12.7431,14.7469,51.5437,97.6208,93.0045,67.0218,48.3848,39.6524,24.2688,91.8908,0.0,956.7154,3.1314,357.1976,144.4463,16.4226,0.0
NZL_H50,37.1326,17.9139,34.1339,0.5062,0.4946,26.9655,2.2688,4.1311,4.5463,16.0594,3.1005,0.4857,1.4744,10.2585,33.0933,16.214,0.5908,0.8702,1.1601,0.4822,0.5045,0.638,1.0128,0.5989,5.5532,34.1454,60.4836,61.7683,5.8191,32.3785,0.8252,1.2173,1.8413,3.6105,1.0137,2.6645,2.6296,4.1409,9.7028,4.6919,1.6489,2.2198,0.7799,1.4678,0.0,155.1585,0.7451,5.0889,14.5123,2.5459,0.0
NZL_H51,45.9261,13.2702,11.5903,0.6749,1.5643,110.8478,5.6629,12.1164,10.046,28.3479,11.7147,2.5304,11.076,9.8009,6.7869,14.3816,9.3322,5.1054,11.3582,2.8833,9.4346,5.9197,11.6514,3.7468,89.0204,111.3165,48.4892,5.0839,107.8996,47.6,29.9797,18.2809,15.5998,5.8495,12.8078,21.3727,26.2934,54.3775,41.5216,43.6438,22.8264,28.044,14.6469,20.4355,0.0,1176.6857,1.8568,15.8085,127.9165,154.5544,0.0
NZL_H52,144.2592,210.777,89.5937,2.2701,2.1415,850.0818,12.8136,57.8269,34.3144,19.5549,4.4394,1.7277,19.545,37.0977,16.4779,13.8853,10.2334,4.5902,6.4944,4.2915,6.305,8.4035,7.4563,2.9775,58.7873,572.0574,321.5885,107.2689,286.8616,292.9886,12.0981,28.5686,12.8344,4.4048,3.164,9.4514,28.136,36.2869,65.762,50.2524,8.7907,11.9616,6.7408,47.6288,0.0,608.0568,5.4328,189.7241,50.4858,2.7396,0.0
NZL_H53,30.6603,3.9066,2.2301,0.4923,0.2284,34.5477,3.1569,3.69,21.1781,1.292,2.1169,1.7458,5.4257,7.4222,1.543,3.5799,1.1698,0.5545,3.1396,0.1649,0.6487,4.248,9.9584,6.5292,68.1052,207.0155,7.8626,0.3726,1.7431,7.7735,326.2174,27.341,21.4948,4.4106,5.5675,149.1005,20.1587,131.5824,63.4914,85.6736,34.2671,54.521,21.575,49.9119,0.0,34.9523,0.4974,1.582,8.2686,1.1143,0.0
NZL_I,56.0019,13.12,5.958,0.7171,3.4939,118.7309,6.9435,8.8244,9.6788,3.0537,9.7891,4.2124,6.8818,3.7199,6.697,7.9686,8.3424,6.3379,7.4848,0.6282,6.0022,3.1011,19.3166,5.1299,72.8519,59.0586,20.8683,3.3535,84.1887,10.2478,1.5598,48.3072,18.8255,4.842,17.8422,9.4969,30.0544,38.2998,22.8578,104.5447,80.7153,181.633,15.7913,16.4748,0.0,5174.4036,47.2851,41.7734,63.385,10.8067,0.0
NZL_J58T60,18.062,1.4904,8.9798,0.5414,0.2529,184.5198,6.1513,5.4399,9.7058,14.479,5.5384,5.2696,10.1191,10.1803,2.4713,12.7298,12.7354,8.0852,6.33,0.8361,2.7891,9.0526,15.8695,3.7455,46.7747,205.3708,7.5173,3.055,17.6397,13.8836,8.9849,63.0026,445.3275,58.5112,14.1939,62.0944,40.212,98.5045,68.2136,40.247,30.768,25.9964,104.6939,61.334,0.0,733.8396,14.807,18.2973,653.812,5.0271,0.0
NZL_J61,55.5565,3.638,1.6519,0.3599,0.7677,24.1407,1.7232,2.7785,3.5933,2.5207,2.1757,0.9664,2.8295,3.6101,1.1842,5.5588,4.745,1.8834,3.8229,0.2447,0.7376,3.5011,14.6246,4.5067,62.3373,89.961,19.7848,0.6382,8.1115,12.4231,7.0947,15.7544,40.5492,242.7245,40.313,67.2959,17.6687,76.2653,42.8629,90.4271,33.2763,43.55,30.3081,30.7384,0.0,835.6403,2.6868,56.0074,194.559,1.9578,0.0
NZL_J62_63,25.0139,4.2409,3.043,1.2669,1.5418,48.3667,2.8579,4.509,6.6681,6.7938,3.4193,1.1906,3.4985,5.1693,2.7037,7.7501,5.5058,3.3548,4.8484,0.5562,2.0185,2.4757,16.3887,2.6724,32.0647,87.5583,13.3211,0.8089,19.856,11.4137,5.7276,18.328,55.9247,114.1572,92.6408,122.4587,47.993,101.8226,70.9109,113.4583,16.8417,40.3836,35.1558,17.6292,0.0,434.3616,6.4874,159.5326,842.9084,2.9181,0.0
NZL_K,699.1008,29.4847,66.1446,2.5325,5.9071,266.369,20.9519,34.6735,33.7786,46.24,25.5388,4.9503,34.6573,42.6675,57.3183,44.7708,29.2844,10.3021,25.9209,3.4232,8.9604,44.3963,97.488,43.4503,458.0106,1412.1279,111.9982,9.1623,44.6107,80.5796,26.4388,244.4289,149.9942,40.9475,56.4984,3816.1069,2751.6316,641.8311,431.1446,370.9662,176.8029,281.3098,186.979,269.0176,0.0,4322.1477,27.5041,226.2679,358.6862,2.2197,0.0
NZL_L,201.0067,27.554,15.0894,1.8846,5.0286,167.4612,13.9669,15.9017,26.0204,9.6576,8.7101,7.2659,16.8653,15.8716,6.2065,58.4759,23.2578,9.8382,23.148,2.3954,6.9059,31.8407,25.4896,9.4312,309.5988,907.1702,125.7519,5.8508,42.6503,166.4811,22.3623,299.6974,125.7334,74.0714,60.8868,389.7302,2392.2836,414.2183,398.8705,297.6182,121.9145,150.9503,112.5407,177.07,0.0,27970.1628,373.634,660.9842,1583.1203,1.916,0.0
NZL_M,741.3188,111.2463,124.8296,9.1633,33.711,1082.2011,50.5875,49.7838,54.8954,94.5361,44.8489,26.9933,59.1293,114.2385,53.6659,191.8037,143.8625,57.9286,131.6075,4.3696,18.5101,47.9784,561.3004,163.0194,1908.0385,2572.9173,206.6591,17.7546,109.6587,165.2748,74.0012,396.2904,251.6572,71.4443,324.8032,1291.3423,798.214,3934.9776,1500.4112,1078.3734,474.9483,780.3391,410.0395,580.7915,0.0,976.5679,57.4215,466.7391,2334.9596,9.5233,0.0
NZL_N,416.4174,54.4975,66.8196,6.763,11.9458,1016.2072,30.6412,72.4007,44.6271,18.3926,15.3794,7.5899,22.6579,27.1717,17.0331,43.5441,13.9888,12.6891,25.9083,3.8354,5.2582,24.8844,55.575,35.7627,393.3115,1261.1441,126.8883,10.2599,96.9084,86.7701,23.4585,288.9998,180.558,71.93,85.8324,337.6196,488.1199,742.1201,408.2905,532.4445,279.5626,322.9815,152.7583,188.1957,0.0,1295.9294,60.9788,476.4845,384.5532,13.7044,0.0
NZL_O,51.3966,6.2953,25.6374,6.6941,2.0858,60.1563,3.1306,12.1485,9.7,3.8223,2.1351,1.0468,7.3116,2.8941,5.8557,9.613,3.2194,1.4095,2.6155,0.5859,0.615,5.4493,35.2666,19.7554,156.4789,192.1979,16.7882,1.2132,9.7602,11.8448,15.9733,83.4839,32.025,12.354,14.0496,49.4132,125.2579,163.6952,142.0534,190.1961,90.3394,77.6148,43.8959,59.6286,0.0,622.2665,12.6253,10949.7152,138.392,1.4917,0.0
NZL_P,32.3868,4.8361,12.582,0.8877,4.0341,57.8025,1.2906,16.8979,5.6424,4.2872,5.35,1.3125,4.1352,2.5071,3.295,9.9814,2.3845,3.4569,9.4785,0.5352,1.635,1.3788,21.7599,3.9401,53.3512,48.0124,14.8561,1.2379,14.1705,4.5276,1.8814,8.2868,21.1901,9.0372,30.6754,30.6754,25.3066,310.9324,55.0644,394.171,302.1684,159.1741,19.6784,100.1539,0.0,1830.0516,232.588,6696.0645,553.2146,3.1,0.0
NZL_Q,5.0104,0.8215,0.6174,0.0716,0.1787,7.7316,0.4022,0.8498,1.4703,0.4275,1.4196,0.4885,0.9226,0.6657,0.6951,1.0027,0.9034,0.3779,0.5319,0.066,0.1737,0.5451,1.0553,0.5583,9.108,16.1081,2.6048,0.2599,3.041,2.426,0.4937,3.5256,4.8222,2.8456,2.3401,8.3044,18.5959,14.7717,8.2112,55.5907,20.5508,1469.5376,3.4381,3.8281,0.0,3830.1325,243.0322,12217.8547,67.9219,0.3423,0.0
NZL_R,16.3405,1.4639,1.7187,0.222,0.4067,43.7724,1.523,2.0908,2.8229,3.216,1.719,0.959,2.1362,2.1772,1.3319,4.3748,2.647,1.4825,2.4963,0.4776,1.5429,1.7125,4.4917,7.1985,20.2191,42.6023,5.1488,1.6235,10.5117,5.6734,1.8565,12.5958,64.6459,25.2925,19.185,28.6562,35.9771,70.4134,25.5087,30.1527,100.6197,19.2062,272.1123,15.9187,0.0,2434.0965,195.7293,437.5787,222.5083,1.683,0.0
NZL_S,43.2945,149.0339,0.9432,3.8717,1.639,427.7986,9.0552,7.1828,5.635,1.7723,5.3749,2.5256,5.5849,2.8623,0.3928,6.0746,0.0411,6.1979,1.8918,0.6808,1.0383,4.4258,30.6252,4.5659,106.3133,39.3377,18.1072,0.4776,16.3884,9.8999,3.1068,9.4155,17.3729,3.6266,12.7354,27.5344,58.8145,576.9627,220.4256,173.9644,63.2297,96.3166,191.3503,284.1799,0.0,2854.6901,721.3363,96.6185,2.2969,0.0088,0.0
NZL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,472.2965,0.0,0.0,0.0,0.0,0.0
