V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T,LVA_HFCE,LVA_NPISH,LVA_GGFC,LVA_GFCF,LVA_INVNT,LVA_DPABR
LVA_C20,28.1384,0.0235,0.0123,1.4297,0.0203,5.0707,0.5441,15.6831,2.4826,0.0158,25.2748,2.2233,3.6235,9.2867,0.6073,1.9629,0.5139,1.6077,0.6895,0.5004,0.3307,2.1751,2.8197,1.9852,5.794,5.6712,1.655,0.1615,0.7867,0.7731,0.0325,1.7319,0.2093,0.152,0.1488,0.2401,2.7484,0.712,2.0818,1.0067,0.9231,3.3196,0.7941,0.9279,0.0,69.0104,0.0863,7.6433,7.2544,2.8373,0.0
LVA_C21,2.1752,0.0113,0.0008,0.5361,0.013,0.7933,0.3641,1.2186,0.2872,0.0081,0.9343,5.2237,0.1801,0.6031,0.0419,0.4097,0.3149,0.2947,0.0786,0.2784,0.0643,0.1902,0.306,0.1024,2.7725,0.5404,0.4825,0.0096,0.1694,0.0766,0.0097,0.1659,0.0386,0.0197,0.1013,0.0569,0.1632,1.1616,0.5399,1.1608,1.0342,21.0986,0.2657,0.0924,0.0,54.2695,0.0486,28.4753,5.2373,2.055,0.0
LVA_C22,7.0452,0.2398,0.02,1.6801,0.0113,26.0442,0.1504,4.8931,0.9028,0.0069,1.6021,0.4254,16.8246,0.8403,0.5899,1.0095,0.2818,0.9234,0.6778,0.564,0.3769,1.251,0.6072,7.9342,17.1109,8.5643,9.7093,0.0199,0.2249,0.6739,0.0911,1.3523,0.3109,0.071,2.1708,0.5293,3.192,2.3431,2.5328,0.7975,1.8136,0.3886,0.7677,0.2287,0.0,24.5166,0.0423,0.7848,4.2761,2.0486,0.0
LVA_C23,3.0176,0.0807,0.0091,3.1268,0.0174,14.5411,3.4479,3.9148,0.3392,0.0106,0.8922,0.4317,2.7871,18.3329,1.276,2.277,2.2777,1.0485,0.2846,0.1997,0.2208,2.4498,3.5182,2.6905,269.6215,4.451,4.0819,0.027,0.7847,0.8977,0.173,1.8599,0.1635,0.0557,0.2324,0.6847,7.7324,3.4706,2.5204,1.686,1.1054,1.6782,0.9922,0.6759,0.0,54.5108,0.0317,1.5988,10.8268,5.8959,0.0
LVA_C24,0.0097,0.035,0.0001,0.006,0.0007,4.1661,0.0096,0.0225,0.0559,0.0001,0.0678,0.0079,2.0499,0.5251,1.679,19.3768,0.4696,1.0349,4.0544,7.4239,0.7864,0.3491,0.0008,0.0053,2.5333,3.8151,0.4341,0.0,0.0014,0.0012,0.0086,0.002,0.0,0.0424,0.1346,0.1173,0.2972,0.3024,0.0513,0.0044,0.0009,0.0058,0.0058,0.0488,0.0,0.1785,0.0,0.0,2.5988,0.6488,0.0
LVA_C25,3.3715,0.1261,0.0021,0.2099,0.0059,11.8394,0.1944,21.18,1.134,0.0042,0.153,0.2936,1.3844,10.2814,3.982,57.9335,1.0506,6.5438,22.5472,15.0761,4.9442,28.1048,2.4492,2.7727,125.1657,19.5924,10.8684,0.0642,1.4006,3.4563,0.0943,1.3276,0.3532,0.1816,0.4068,0.5377,7.6343,9.4826,4.9344,8.9261,1.1623,1.0788,1.5237,0.6959,0.0,35.1726,0.0526,1.4187,23.4427,6.3812,0.0
LVA_C26,0.1971,0.0035,0.0001,0.0136,0.0002,0.1774,0.0253,0.1125,0.1597,0.0002,0.0442,0.1199,0.0102,0.0355,0.0101,0.0771,15.6694,0.4597,0.0525,0.0921,0.3975,0.0843,0.4045,0.0348,1.3377,5.3114,2.1888,0.0082,0.434,0.2924,0.0724,0.1444,0.6821,2.3606,4.944,0.2894,0.3188,2.394,1.2719,1.2286,0.6297,0.6934,0.4209,2.3747,0.0,114.7632,0.0446,2.4182,33.7065,3.9373,0.0
LVA_C27,0.7615,0.0075,0.0003,0.0321,0.0016,0.358,0.021,0.5368,0.0492,0.0003,0.0348,0.0347,0.0804,0.0662,0.0085,0.0794,1.3738,14.283,1.2578,0.082,0.1073,2.1149,0.7745,0.0568,9.086,1.7906,0.7505,0.0066,0.1391,0.2156,0.0114,0.2083,0.331,1.1974,1.0519,0.2473,0.6699,2.1701,2.2139,0.3993,0.4708,0.3608,0.6487,0.219,0.0,39.0047,0.0294,4.2134,26.5022,1.4973,0.0
LVA_C28,2.2996,0.0438,0.0015,0.1719,0.0068,0.8767,0.0364,1.5471,0.1066,0.0028,0.0657,0.0247,0.1088,0.6003,0.0784,1.3121,0.5521,0.2034,2.4328,0.5782,0.1611,1.9877,0.6824,0.1882,4.9309,1.9418,1.1493,0.0758,0.4999,0.2789,0.0576,0.1075,0.0557,0.0781,0.0973,0.0622,0.9015,0.5303,0.7659,0.3661,0.0752,0.3235,0.1294,0.2283,0.0,8.3971,0.0094,2.1225,107.4562,2.312,0.0
LVA_C29,1.9521,0.0142,0.0008,0.0907,0.0009,0.5357,0.0738,0.3644,0.0361,0.001,0.0212,0.026,0.0211,0.2857,0.0308,0.4313,0.0254,0.0573,0.2172,3.5237,0.0393,0.2537,0.2311,0.4703,2.4954,12.3781,8.3699,0.2226,0.06,0.2614,0.0125,0.0837,0.0283,0.0193,0.0422,0.0704,0.2663,0.5218,0.8279,0.3628,0.1316,0.2056,0.1192,0.0379,0.0,78.9869,0.0156,1.8392,49.3969,1.9046,0.0
LVA_C30,0.08,0.2013,0.0002,0.0069,0.0002,0.0617,0.0012,0.2689,0.0008,0.0,0.0026,0.0034,0.0053,0.0603,0.0233,0.0053,0.0162,0.0237,0.0129,0.0049,0.6909,1.3475,0.0053,0.3411,0.0904,0.1907,2.876,0.0061,3.0446,0.4919,0.0037,0.0034,0.0257,0.0201,0.0042,0.0114,0.0017,0.1864,0.6926,0.0562,0.0017,0.005,0.4704,0.0648,0.0,3.8856,0.0,0.0,44.6731,0.6427,0.0
LVA_C31T33,39.212,1.6447,0.0147,1.231,0.0578,15.5358,0.5821,12.8891,3.152,0.0212,1.9027,1.2376,1.7383,2.2406,0.4509,5.8555,0.7833,1.7692,2.2079,0.5372,0.9198,24.0288,28.0356,4.4113,12.7186,24.3504,19.1887,3.2325,35.8635,7.2588,0.2708,6.365,0.5569,4.683,3.8292,1.7063,5.4799,6.5272,10.8479,7.8571,5.9341,18.294,5.3301,1.3313,0.0,89.8216,0.1118,2.8561,60.0863,0.919,0.0
LVA_D,142.0839,1.7099,0.0226,2.4761,0.0345,56.5744,45.8294,59.489,4.8263,0.0045,8.6989,6.0919,4.5608,20.274,2.4314,7.6959,0.8915,3.381,3.8949,2.1121,1.4949,41.0169,405.7476,23.886,51.0439,102.0588,50.9374,0.1851,0.4399,13.4753,1.0563,26.7047,3.8774,16.4521,7.2871,12.8927,115.5623,16.1728,18.8002,60.7263,57.277,61.3257,55.2019,5.8906,0.0,477.6207,0.1142,2.6772,7.3281,0.4127,0.0
LVA_E,3.9866,0.176,0.0064,1.9166,0.0148,20.7579,1.082,3.5879,0.6929,0.0046,3.4925,1.0485,0.5653,7.3301,26.5207,4.3105,0.194,0.5162,1.4844,0.3295,0.257,3.5252,12.249,69.275,23.0688,16.9785,3.582,0.0767,0.3202,7.705,0.2411,3.9336,0.4404,0.3795,0.4266,0.5292,6.9667,8.3119,4.919,11.3569,9.2987,7.6719,4.2673,0.9448,0.0,159.5058,0.0218,19.0542,1.8556,0.4259,0.0
LVA_F,7.2613,0.0882,0.0065,1.8762,0.0373,5.6685,0.5972,20.6181,0.5413,0.0315,0.8418,0.2954,0.787,13.6374,5.0324,12.5357,0.8256,1.7769,12.4353,0.5812,0.6044,8.4291,118.0665,10.8067,1877.6446,30.5518,155.6431,0.4764,4.9426,4.7209,0.592,5.3808,0.5259,0.6854,3.3562,14.1355,104.93,25.5001,24.1191,85.7414,33.9516,9.1593,17.2401,59.8738,0.0,35.4856,0.0768,10.3525,2682.9871,1.6695,0.0
LVA_G,271.6919,3.8623,0.0974,23.2564,0.1726,265.4113,25.743,244.6259,35.0188,0.1758,45.1385,13.2556,18.0298,54.8485,3.9886,44.9105,22.7737,14.273,16.2374,15.1768,5.3048,40.7492,87.7836,16.3361,327.984,186.6098,212.1502,2.3722,44.6498,34.0299,3.5376,75.3776,13.3379,8.9864,13.8807,10.1522,42.9619,47.5373,41.3099,32.607,28.3737,44.7791,19.9867,11.066,0.0,1624.8387,6.9391,65.8378,396.205,62.4758,0.0
LVA_H49,40.1972,0.9502,0.0986,16.8012,0.1551,49.5094,1.92,70.5743,8.4634,0.0857,10.6637,1.0747,4.1526,26.0035,1.1817,13.5936,2.3033,3.4463,3.5675,3.5627,1.0986,8.2637,42.2033,4.612,90.2093,117.6298,161.9109,0.6466,11.2681,86.7111,2.0467,7.2944,1.5309,0.7179,2.3185,0.7449,3.8636,6.2269,18.2891,15.4369,8.1985,4.0036,6.8198,2.148,0.0,275.112,0.7135,169.3256,40.9971,36.5762,0.0
LVA_H50,1.8984,0.0789,0.0208,3.0944,0.067,2.8871,0.2743,10.4345,0.4567,0.0102,0.6306,0.2183,0.3257,1.2382,0.0861,0.8817,0.3567,0.2888,0.2992,0.3222,0.2027,0.551,2.7587,0.3133,3.0713,21.6427,11.6221,5.077,2.101,4.7247,0.1035,0.7197,0.1022,0.0957,0.2324,0.1062,0.337,0.6985,2.6277,0.413,0.2709,0.4163,0.2337,0.1366,0.0,17.7888,0.0478,0.8259,5.2616,19.9211,0.0
LVA_H51,4.2072,0.0733,0.0035,0.7848,0.0045,4.4935,0.4817,3.1304,0.8232,0.0118,1.0267,0.2024,0.5858,1.5172,0.1586,1.6147,0.9114,0.4251,0.5059,0.6074,0.1403,0.8067,4.1442,0.376,6.7963,3.0872,4.591,0.0327,0.2358,0.3248,0.3596,0.9931,0.2082,0.138,0.1856,0.1733,0.5382,0.5181,0.757,0.5531,0.43,0.7137,0.278,0.1886,0.0,23.7301,0.0894,0.6997,9.7179,33.1854,0.0
LVA_H52,16.4207,0.5955,0.0333,3.2646,0.0165,42.5815,0.8083,28.8562,0.4701,0.0798,12.4445,2.7448,1.3407,16.961,0.9735,2.362,0.2707,0.4377,2.3619,2.1791,0.2877,5.2496,2.9062,0.4816,9.6106,371.2059,161.9489,24.814,77.3539,1824.9436,3.6569,1.2862,0.6208,0.375,0.8032,1.4795,1.3153,2.0667,4.8145,3.9449,1.4497,0.9531,1.2797,3.6725,0.0,17.1308,0.8499,1.9989,2.6515,3.4904,0.0
LVA_H53,0.533,0.0316,0.0014,0.1234,0.002,1.0447,0.3945,0.5333,1.0824,0.0082,0.2067,0.456,0.1173,0.2043,0.0095,0.3865,21.5701,0.2898,0.1017,0.0503,0.3174,0.915,1.525,0.6617,0.8715,31.098,1.9186,0.0136,0.4461,1.1503,24.2239,0.4343,3.0696,2.3564,1.2004,6.5851,0.4417,2.5192,2.5752,5.3866,1.9228,1.8856,1.4887,0.9749,0.0,14.1984,0.0019,0.0169,0.1543,0.1627,0.0
LVA_I,0.2873,0.0373,0.0002,0.0158,0.0093,0.3887,0.0841,0.201,0.1487,0.0024,0.0863,0.8014,0.0851,0.0671,0.0058,0.1633,0.4194,0.3079,0.1667,0.1089,0.0419,0.4109,0.3069,0.0381,2.3523,3.4655,0.5382,0.314,3.0818,0.5568,0.0525,6.9285,0.5418,0.2465,3.2271,0.344,0.2826,2.5052,55.6368,1.0531,6.7864,4.677,2.8765,0.2573,0.0,707.8482,0.0641,0.0003,0.0,0.0,0.0
LVA_J58T60,0.421,0.0069,0.0001,0.0224,0.0007,1.1568,0.0461,0.1681,1.2508,0.0003,0.047,0.0316,0.0363,0.0671,0.0033,0.0779,0.0321,0.0647,0.0382,0.0616,0.0437,0.1464,0.3818,0.0579,0.5049,6.7323,0.5935,0.0352,0.8228,0.2828,0.5082,0.6863,34.4973,25.0425,2.3138,1.3612,0.6439,8.7054,0.847,6.6389,2.2791,0.7505,2.8931,0.804,0.0,54.1863,0.2694,20.2412,38.2915,0.1285,0.0
LVA_J61,2.6579,0.1385,0.0012,0.1259,0.0053,3.2486,0.268,1.3321,0.4947,0.0067,0.3922,0.5568,0.2014,0.5155,0.0704,0.7235,0.266,0.2793,0.3104,0.1031,0.1115,0.9258,17.7741,0.5672,3.7646,19.5971,6.6118,0.451,0.5877,2.0903,0.437,2.5138,0.8618,192.4285,18.2681,17.3399,11.9093,9.2601,4.2979,11.5851,3.8675,4.7656,1.9394,3.1084,0.0,315.9751,0.1006,0.7022,1.7571,0.8589,0.0
LVA_J62_63,3.8762,0.048,0.0023,0.2486,0.0054,5.4395,0.2916,2.6461,1.0999,0.0049,0.6296,1.5992,0.2678,1.1408,0.1092,1.3113,0.9111,1.3052,0.6565,0.8077,0.613,1.1564,15.1135,1.5868,6.4362,45.3465,31.8775,0.2328,7.6831,11.8845,0.9386,4.2846,4.8459,38.0837,130.3309,92.6638,3.8524,54.279,38.8333,25.4961,4.1201,7.0565,9.4953,3.5061,0.0,36.3676,0.6995,12.3015,120.9721,1.2575,0.0
