V1,SGP_A01_02,SGP_A03,SGP_B05_06,SGP_B07_08,SGP_B09,SGP_C10T12,SGP_C13T15,SGP_C16,SGP_C17_18,SGP_C19,SGP_C20,SGP_C21,SGP_C22,SGP_C23,SGP_C24,SGP_C25,SGP_C26,SGP_C27,SGP_C28,SGP_C29,SGP_C30,SGP_C31T33,SGP_D,SGP_E,SGP_F,SGP_G,SGP_H49,SGP_H50,SGP_H51,SGP_H52,SGP_H53,SGP_I,SGP_J58T60,SGP_J61,SGP_J62_63,SGP_K,SGP_L,SGP_M,SGP_N,SGP_O,SGP_P,SGP_Q,SGP_R,SGP_S,SGP_T,SGP_HFCE,SGP_NPISH,SGP_GGFC,SGP_GFCF,SGP_INVNT,SGP_DPABR
SGP_C20,4.0784,1.2476,0,0,0,53.253,16.8727,4.2026,129.598,238.2606,6419.8116,44.0139,229.2207,40.2505,241.7831,110.7213,2993.5528,146.5414,285.0355,7.2568,8.4198,318.2335,9.2804,34.8029,160.0615,298.5906,9.1022,32.1353,11.6984,36.3918,4.9498,45.7857,61.8823,25.999,48.5054,45.9037,32.5839,306.3465,104.1419,43.6969,71.9136,189.9994,13.03,114.7005,0.0,1032.9048,0.7229,2.3285,256.7632,850.8024,0.0
SGP_C21,0.3458,0.2204,0,0,0,20.3729,0.7482,0.1078,0.7913,10.1302,21.3392,532.3369,0.573,0.4497,7.8466,1.2996,41.5457,1.6387,5.557,0.3125,0.7338,24.8215,0.9491,0.7243,5.1164,12.5165,0.6152,6.2983,2.676,2.0044,0.0643,4.574,6.0678,0.8909,7.5095,3.3617,2.0136,37.1682,6.1628,12.2709,0.8541,374.6689,1.2943,4.7847,0.0,340.5145,0.4484,119.2823,26.8543,86.5206,0.0
SGP_C22,0.759,0.2639,0,0,0,44.901,1.9764,1.9756,19.7474,5.4624,30.385,6.3072,41.8535,0.5087,6.2625,4.5234,169.6318,32.1256,60.5021,8.3486,3.4379,82.0513,0.7372,3.7321,50.2697,50.161,2.4425,2.4591,0.9723,4.7938,0.9016,12.0701,13.4677,5.3982,3.305,10.9887,1.6309,19.1985,3.6664,6.2823,14.8089,1.948,3.2285,7.3359,0.0,68.386,0.0151,0.0645,38.5435,31.2949,0.0
SGP_C23,0.0438,0.0149,0,0,0,2.1048,0.2398,0.0362,0.7342,2.4785,30.2076,1.2312,1.492,60.4208,38.4798,2.3981,137.1194,6.1582,24.5602,5.7468,1.26,4.4569,0.7071,3.9628,468.8167,17.4705,0.3895,1.3683,0.6737,0.7648,0.4075,4.9103,1.1639,2.39,4.5988,3.9093,4.5468,18.634,3.9568,4.3579,3.5921,2.2604,0.7062,4.849,0.0,50.525,0.047,1.3327,45.9526,25.4977,0.0
SGP_C24,0.0019,0.0,0,0,0,0.39,0.0849,0.8309,1.2541,0.0069,0.8849,0.0038,0.1521,0.1171,296.917,262.3041,11.3859,45.639,108.3932,0.8409,8.893,14.7963,0.1675,1.9212,136.0643,2.848,0.0622,0.0472,0.0524,0.0811,0.0,0.1209,0.0016,0.0,0.0,0.0503,0.4826,1.5554,1.0882,0.1397,0.0849,0.0,0.0,0.0201,0.0,4.49,0.0,0.0,0.005,26.4219,0.0
SGP_C25,0.1248,0.1016,0,0,0,30.5092,1.748,0.562,4.6982,6.5639,40.9913,0.894,4.3861,1.4593,23.7812,231.1341,266.6524,116.1428,214.4085,19.6076,24.9045,55.6597,2.8112,15.1264,432.1696,40.1695,1.6525,4.5915,1.1072,7.1338,0.242,5.3048,12.9001,4.816,15.7662,5.7042,8.6304,70.6494,18.8524,396.5061,2.87,3.1399,1.6808,4.3509,0.0,93.8752,0.1805,0.7558,127.8783,52.0055,0.0
SGP_C26,0.7655,0.5821,0,0,0,43.2776,6.4857,1.4174,15.6675,90.757,149.0234,12.725,10.4563,5.5245,22.5197,48.1756,20324.9379,149.3562,1060.3899,88.9815,43.0354,888.6077,13.9917,26.5226,202.1841,769.9329,8.1367,68.8624,23.6341,20.4749,4.9472,67.613,149.5861,254.0534,728.6558,60.7006,29.4272,385.3042,81.5417,419.139,110.6006,152.7964,29.9225,85.9353,0.0,1184.5815,0.8469,6.2525,4805.6802,2454.7512,0.0
SGP_C27,0.0314,0.024,0,0,0,5.8509,0.3265,0.1262,1.9003,18.4361,11.8686,0.6805,2.6918,0.3383,7.164,2.6646,232.1473,360.7846,113.9252,12.6796,8.3755,35.2325,19.9825,14.4059,68.712,34.7772,3.0649,3.5928,1.0117,2.9557,0.6397,5.4515,7.5663,78.7904,11.8774,7.5766,4.1585,21.2191,27.4877,4.6746,1.159,5.0621,6.5161,15.1242,0.0,124.1997,0.0689,0.263,171.3268,85.471,0.0
SGP_C28,0.7593,0.6916,0,0,0,46.2753,7.916,2.1087,22.6548,141.5066,163.0438,17.0412,9.6884,7.525,31.3932,63.9412,1689.0012,88.3205,2272.04,43.5487,267.2312,111.4625,24.579,17.9653,477.9794,163.1076,10.8107,125.3561,25.9686,39.3454,1.4521,48.0571,62.491,17.1638,58.2224,33.8894,73.9172,276.0167,56.2727,124.0344,29.4546,21.8826,11.3164,44.5772,0.0,261.8458,0.2992,26.1157,2295.3782,361.8154,0.0
SGP_C29,0.0073,0.0029,0,0,0,0.1706,0.1364,0.0101,0.0765,0.3122,0.4917,0.164,0.0327,0.0207,0.1277,0.2504,42.7238,1.3559,5.9535,6.1404,0.7135,2.2729,0.2434,0.2746,1.5705,6.4284,0.2501,0.3999,0.1086,0.2543,0.0195,0.377,0.4919,1.031,2.4942,1.5723,1.232,3.2878,0.6924,2.2787,0.4839,0.5873,0.2688,0.4294,0.0,497.1095,0.0212,0.7477,233.7527,10.1804,0.0
SGP_C30,0.0925,0.4247,0,0,0,5.5943,0.8863,0.1208,1.1104,7.377,12.3262,1.9593,2.1001,0.6019,3.075,15.1428,71.9341,23.4557,664.5306,6.8267,3892.6534,6.5383,1.7568,3.372,59.1468,154.4739,5.6428,835.9176,94.7828,143.4146,2.2327,8.5745,6.2642,3.639,16.1184,20.8774,17.6579,119.9211,33.7183,850.7553,4.287,4.3827,3.3414,3.1282,0.0,54.6245,0.0707,0.1702,2317.8531,249.8958,0.0
SGP_C31T33,0.1956,0.1161,0,0,0,5.7131,3.5745,0.2333,3.3964,13.4211,18.4562,10.4722,2.192,0.5966,58.514,7.7702,242.096,17.3932,25.2598,1.9175,8.5634,980.3393,3.5796,2.179,185.7553,106.9498,2.923,9.4323,3.4546,32.0603,3.5877,49.3908,21.1212,33.7504,21.7354,55.6035,113.3009,179.3105,209.1508,35.0687,49.2854,209.2315,35.9858,25.1234,0.0,1608.6778,0.3381,20.2959,1098.2097,132.7183,0.0
SGP_D,3.8847,1.7815,0,0,0,70.2083,9.0153,1.373,19.3094,96.397,749.6469,21.2987,17.894,4.97,76.3198,39.8112,418.5798,20.7689,73.3538,5.9419,25.2294,38.8684,2707.1942,119.729,52.5862,176.3823,23.098,4.719,1.021,65.454,1.6905,216.2721,15.6062,39.8137,60.1931,47.8786,197.9404,62.2185,12.0239,125.2889,59.7672,60.4703,50.6988,22.0171,0.0,683.0913,0.5087,0.3492,5.6876,8.9703,0.0
SGP_E,5.703,2.3447,0,0,0,32.4112,4.8681,1.6427,14.2224,15.6597,133.09,5.4678,1.5822,47.0719,131.066,15.6631,174.3468,5.4203,23.3185,1.3885,6.5085,9.1133,94.0835,937.6838,44.0979,73.2471,3.5602,57.3997,1.3942,17.4259,0.4393,127.4252,12.5614,12.2149,35.5967,33.1792,190.9138,65.909,11.2238,830.7351,40.9884,28.6881,38.7536,22.8973,0.0,420.2713,5.5771,0.0368,20.0218,0.117,0.0
SGP_F,0.2439,0.0833,0,0,0,26.3155,3.5958,0.675,8.0171,10.681,33.4018,17.1034,4.5137,1.8117,6.4792,14.7495,175.5814,8.8277,60.7732,1.8156,23.5716,39.8713,13.6845,34.3834,17854.9222,82.3332,18.5109,26.696,4.6641,34.8869,1.5915,68.7633,13.0209,10.62,24.9159,33.4686,1098.2471,240.818,26.967,111.6096,60.7742,38.9863,45.0371,11.075,0.0,26.5743,1.6558,1.7631,23976.2203,5.2908,0.0
