V1,BGR_A01_02,BGR_A03,BGR_B05_06,BGR_B07_08,BGR_B09,BGR_C10T12,BGR_C13T15,BGR_C16,BGR_C17_18,BGR_C19,BGR_C20,BGR_C21,BGR_C22,BGR_C23,BGR_C24,BGR_C25,BGR_C26,BGR_C27,BGR_C28,BGR_C29,BGR_C30,BGR_C31T33,BGR_D,BGR_E,BGR_F,BGR_G,BGR_H49,BGR_H50,BGR_H51,BGR_H52,BGR_H53,BGR_I,BGR_J58T60,BGR_J61,BGR_J62_63,BGR_K,BGR_L,BGR_M,BGR_N,BGR_O,BGR_P,BGR_Q,BGR_R,BGR_S,BGR_T,BGR_HFCE,BGR_NPISH,BGR_GGFC,BGR_GFCF,BGR_INVNT,BGR_DPABR
BGR_I,0.7808,0.0295,0.094,0.5741,0.1347,4.3547,0.3322,0.1389,0.215,0.383,0.125,0.2463,0.0854,0.2125,1.6575,0.8055,0.457,0.7732,1.0754,0.4909,0.284,1.7926,4.1041,0.2208,2.5515,17.4088,9.781,0.0948,3.2038,8.7153,0.0379,6.7837,0.6801,0.2505,1.139,1.1575,5.8419,4.9312,16.5258,5.0127,3.1753,1.8378,2.5667,1.5361,0.0,838.9664,0.0,29.6588,0.0,0.0013,0.0
BGR_J58T60,1.5972,0.0233,0.0228,0.179,0.0253,3.1877,0.7405,0.4323,2.5824,0.3578,0.1841,0.4015,0.1932,0.4963,0.7762,0.522,1.218,1.5967,1.0454,0.8783,0.1392,2.1323,3.5429,0.9873,23.9204,38.7952,1.2517,0.0876,2.4408,20.4796,4.8938,12.4742,57.2566,25.5944,14.1907,12.0759,1.4631,49.0404,12.4676,2.3688,18.5112,5.7865,19.1126,6.5385,0.0,236.4641,1.3304,50.6429,32.7437,0.2522,0.0
BGR_J61,4.5267,0.0438,0.1544,1.2417,0.1295,8.6532,2.3774,0.9494,1.2641,1.8824,0.9118,1.4978,1.1317,1.2776,7.9688,4.8467,5.4356,2.6435,4.8357,1.5913,0.2644,4.8364,14.2291,1.971,40.3234,55.5529,16.216,0.1689,4.6077,32.2371,8.9688,13.1855,21.3425,157.3698,27.5919,28.2282,8.6505,23.1394,23.9305,6.5047,9.2202,12.3559,26.1248,9.1882,0.0,882.7184,0.0056,8.6789,13.3741,0.8146,0.0
BGR_J62_63,15.0773,0.0096,0.0955,1.2783,0.258,8.142,1.7075,0.3645,1.2666,2.4542,1.8185,3.6589,1.4556,3.9144,5.9211,12.2867,34.6644,18.3454,35.6493,12.3242,1.6572,33.21,27.2985,6.8969,37.9717,198.1677,13.8036,0.0456,14.0101,135.878,57.5787,22.4564,29.2822,141.7389,261.2555,145.4471,16.2075,227.8238,68.4443,45.778,32.1959,37.4737,47.5193,8.7178,0.0,47.8648,1.0179,5.0621,372.1291,3.6825,0.0
BGR_K,146.5921,1.8968,5.5356,44.9752,0.8704,114.548,51.7607,10.7408,17.6809,33.4746,23.5996,13.0204,25.8983,19.9882,101.216,41.6556,12.5186,29.1693,35.3111,30.2551,6.3395,35.7209,78.5433,16.634,389.7895,448.7943,226.9133,8.4858,24.5496,132.5159,11.2402,67.7297,14.8061,41.9682,49.7238,570.8045,494.8053,80.7367,76.8675,39.8333,40.997,56.8085,45.574,17.3533,0.0,637.9227,0.0629,2.514,4.0406,0.2535,0.0
BGR_L,20.1776,0.052,0.1152,5.9509,0.56,10.5069,11.8919,0.969,0.6832,1.2038,0.5729,1.0923,0.7206,1.5713,14.2643,4.9755,1.0329,2.4434,4.6739,1.6277,0.6113,5.8386,15.1435,10.6335,139.0599,333.4018,26.2255,1.6234,5.511,111.4596,6.8816,43.9304,13.1072,107.1157,189.7489,42.7459,119.5048,87.7297,107.8104,32.1148,15.0659,31.5608,73.8057,34.0238,0.0,5044.6171,1.0422,24.9353,73.1582,0.3934,0.0
BGR_M,144.72,0.0843,0.2579,6.0631,2.1066,99.8395,16.0117,2.2328,7.3533,3.9761,4.3815,22.214,2.1627,3.3376,27.0696,14.1995,7.269,18.2417,18.7497,11.3522,2.4101,14.7637,10.8187,9.797,259.2201,253.5089,36.3261,0.6729,8.7461,52.9199,11.1332,34.9515,20.0466,34.305,132.5887,76.1316,48.0818,595.3952,93.024,31.7683,36.8915,110.1967,97.2482,24.0948,0.0,303.6288,2.0449,73.6559,184.5647,2.2492,0.0
BGR_N,55.5555,0.6548,0.182,2.1082,1.467,18.8247,4.5743,1.2029,2.4109,3.8732,2.0141,2.8934,1.2608,2.7101,14.0866,7.3703,5.5208,6.8055,10.5591,5.9564,1.3881,6.5723,7.3873,8.0872,170.0464,196.0426,51.6005,0.6342,10.6459,55.4019,4.9796,29.1876,12.986,20.2354,46.3772,47.321,60.3877,105.686,226.1332,36.1634,9.955,38.3181,45.8649,13.5839,0.0,528.0494,1.1603,300.4275,58.2266,1.4654,0.0
BGR_O,4.0233,0.0237,0.0301,0.2442,0.063,2.5765,0.0894,0.1166,0.3567,0.2176,0.153,1.2672,0.0847,0.1317,1.0331,0.3394,0.1667,0.174,0.3582,0.1061,0.0201,0.3458,1.7884,0.8245,53.0174,83.3619,6.4449,0.2765,5.2527,14.5854,0.394,0.7745,2.1643,2.7689,3.1966,13.3598,5.8621,7.4066,15.1908,49.4669,20.9698,25.1094,13.7691,3.9509,0.0,191.1674,4.4877,3801.2806,19.3822,0.0402,0.0
BGR_P,1.577,0.0037,0.0051,0.0516,0.0403,2.6755,0.1352,0.0489,0.849,0.5255,0.0582,0.4754,0.0502,0.1205,0.9963,0.2148,0.2879,0.2698,0.3246,0.3297,0.0574,0.537,0.684,0.3548,6.3211,7.4585,24.2657,0.0134,3.5437,2.8812,0.5243,4.7897,12.8133,3.2095,7.3028,14.5875,13.6322,11.5234,20.27,40.311,79.6734,49.728,27.2229,2.1067,0.0,298.8929,37.9093,1590.4719,28.1843,0.0262,0.0
BGR_Q,1.9504,0.0006,0.0444,0.455,0.0262,13.4584,0.666,0.0456,0.8271,0.9051,1.0934,16.3856,0.7805,0.6131,1.5447,1.037,0.2776,0.2627,0.4309,0.0573,0.0197,2.8555,8.0322,0.1702,1.0496,6.5471,14.8247,0.0052,21.0934,10.5539,0.0444,1.6145,1.468,0.2877,2.2746,51.2374,4.5654,7.9011,13.5105,135.9609,15.1354,96.259,42.347,0.9117,0.0,669.9511,7.8704,1863.4923,0.3064,0.0168,0.0
BGR_R,1.0363,0.0123,0.0257,0.3509,0.029,9.5754,1.7161,0.1536,0.9251,0.5162,0.2254,1.0169,0.1639,0.3016,1.6538,1.0991,1.1778,0.9086,0.9823,0.5114,0.1431,1.5848,1.5842,0.4854,5.5617,8.2741,2.2716,0.0422,1.0533,3.892,1.2155,50.2625,17.4781,5.1511,10.3353,3.7606,23.618,24.6113,6.4908,5.8084,18.2546,58.5365,600.6276,55.9094,0.0,549.7944,67.0975,225.2816,5.6138,0.6392,0.0
BGR_S,4.8534,0.0123,0.3714,3.7032,0.0951,5.9616,2.4469,0.4028,0.4093,1.1634,0.951,1.1697,0.3208,1.5339,10.1936,1.7549,1.9177,1.559,1.9047,0.4971,0.3264,1.5139,1.5295,2.8396,6.8525,46.1362,24.6227,0.0332,5.3162,18.8247,2.2609,64.422,0.6886,7.1425,8.7552,20.8645,10.9527,10.6516,11.6236,2.8564,10.2734,80.1913,54.0457,75.7633,0.0,236.1928,192.8884,27.0548,12.9465,0.1604,0.0
BGR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.3284,0.0,0.0,0.0,0.0,0.0
