V1,DEU_A01_02,DEU_A03,DEU_B05_06,DEU_B07_08,DEU_B09,DEU_C10T12,DEU_C13T15,DEU_C16,DEU_C17_18,DEU_C19,DEU_C20,DEU_C21,DEU_C22,DEU_C23,DEU_C24,DEU_C25,DEU_C26,DEU_C27,DEU_C28,DEU_C29,DEU_C30,DEU_C31T33,DEU_D,DEU_E,DEU_F,DEU_G,DEU_H49,DEU_H50,DEU_H51,DEU_H52,DEU_H53,DEU_I,DEU_J58T60,DEU_J61,DEU_J62_63,DEU_K,DEU_L,DEU_M,DEU_N,DEU_O,DEU_P,DEU_Q,DEU_R,DEU_S,DEU_T,DEU_HFCE,DEU_NPISH,DEU_GGFC,DEU_GFCF,DEU_INVNT,DEU_DPABR
DEU_J62_63,46.7167,0.9634,27.1309,47.4655,1.2483,704.1068,130.5589,86.2028,522.3083,195.3634,1763.5073,1060.6373,436.059,339.6033,571.4158,1216.0931,1317.6404,1260.4424,2755.4503,2504.4761,371.4317,856.4862,844.1225,1505.7227,821.4905,6353.3572,1311.0309,49.5008,434.4564,2440.5022,1305.8451,449.6707,3531.655,3219.7066,29634.0983,7184.4641,528.4356,11295.5893,3614.5549,5255.3027,2275.6901,3561.2097,788.3567,680.3366,0.0,5417.3135,48.3253,309.2009,19735.0681,51.5543,0.0
DEU_K,1326.3848,6.9703,49.0405,181.2388,8.3386,2057.7684,215.6827,409.8837,889.9508,569.803,1894.1865,788.4588,970.0552,671.0073,818.6028,1252.1873,918.6042,1056.5168,2434.4035,3704.3201,346.5787,1035.0285,2476.2937,1181.4688,5390.388,10001.3639,4961.4299,337.2089,333.9017,3687.4891,505.8611,1683.9319,846.2433,999.1909,1290.775,58732.6193,22002.2249,5481.2231,4479.0308,5260.3845,1521.0648,4028.9983,610.0753,2321.946,0.0,83047.7394,4.1748,501.9293,629.6084,152.5941,0.0
DEU_L,498.7191,1.1542,22.442,42.282,1.8742,2994.3726,384.3039,427.2303,1138.1758,245.2761,1541.0555,736.0842,1077.5888,849.6292,710.0799,2076.5588,1038.9087,1278.5899,3315.5177,4935.694,377.1709,1472.1526,2484.0281,1023.7679,20070.4031,30467.1953,1025.7948,68.653,86.8429,2790.5159,621.703,5681.5175,1445.0325,5607.0504,1125.5297,12280.6205,13793.42,15899.4088,8246.0722,6918.5076,707.1505,6004.3785,811.1795,1751.063,0.0,295930.3398,0.0,669.1243,5861.8984,1.6394,0.0
DEU_M,907.9081,2.497,114.4404,408.377,20.6612,7344.4011,655.7828,425.4345,1540.4642,1477.8921,6391.6545,3612.8012,2616.8129,2192.5096,1790.8673,2546.9892,3186.28,4816.8118,10160.4278,10629.2893,1150.8546,3159.4621,3963.4177,4377.042,4880.8858,15049.9596,2896.9966,115.2497,277.8046,2533.7455,518.4749,644.3265,2544.2709,1516.1464,4241.7456,19311.0195,14334.4405,69567.5756,17444.9678,4875.8461,1817.3773,2631.3993,888.0712,1108.8281,0.0,9264.3737,1857.9254,15411.3495,65870.5298,175.4839,0.0
DEU_N,5108.5238,6.487,93.0289,336.3245,16.1753,5560.8778,600.0026,766.4531,2391.7315,707.3846,5336.3298,2675.2102,2622.7702,2018.0065,1774.7389,4265.1344,2625.9595,3370.6635,7969.0618,9809.9488,2059.4028,3614.0714,4306.3575,3218.9302,11210.2847,24287.8044,5272.9866,1664.8315,1334.5894,8058.3807,1265.2386,2811.413,4056.3304,2294.3724,2664.9385,12216.4373,3312.3861,9485.6968,18392.6094,8309.547,2092.5509,8587.8773,2298.8625,2587.2323,0.0,47887.2085,8.7231,1747.1429,9733.5217,66.569,0.0001
DEU_O,389.3485,2.6802,71.9655,108.6408,0.552,1381.0947,143.1227,181.6931,484.995,250.796,1303.8142,539.2162,494.6479,540.87,502.2293,539.1901,476.4912,604.196,762.1968,1319.7386,108.1752,409.1378,9754.555,902.7821,4002.7151,1761.9041,623.6292,48.2949,55.6473,532.9862,98.9318,552.4467,284.1195,198.1636,561.9726,697.4498,2152.1599,7152.3571,2313.2582,7030.0022,353.23,876.6443,219.6875,693.1908,0.0,15787.8214,12.4251,246398.2483,3651.9071,0.1336,0.0
DEU_P,25.9041,1.0276,0.5317,0.8466,0.1998,132.1939,27.5475,38.4618,3.8047,40.2423,199.1613,135.4791,20.5217,3.6715,3.85,116.2754,93.0563,226.5589,313.8809,1187.3353,75.2905,78.2575,41.6517,30.8798,15.6502,63.879,100.2782,22.5029,57.2191,32.8939,94.2874,2.441,124.982,216.4118,725.1823,1639.7791,493.675,2177.7408,170.9637,3803.4495,18051.7107,667.6559,147.6137,321.6455,0.0,18782.6881,7265.6185,124812.072,10022.3339,0.9208,0.0
DEU_Q,106.6399,0.0043,0.6824,1.519,0.2175,27.014,0.9654,0.95,3.1032,4.3883,101.6966,24.1164,24.9362,2.845,26.733,12.2977,27.7611,23.8392,42.233,145.6173,3.1297,18.8478,23.2452,21.3564,4.4983,165.146,6.2076,2.4069,4.9637,5.6495,2.7771,106.7757,14.6068,8.3719,60.3825,36.1923,1.5762,183.2808,47.5791,475.9173,538.6924,16051.2399,376.3698,382.0847,0.0,79082.8792,12392.4966,261394.2177,2893.5309,1.2321,0.0
DEU_R,17.0922,0.1929,0.9251,2.9185,0.0624,351.4797,14.7144,7.0664,48.6618,5.8008,40.3501,24.6299,13.9917,5.933,13.3745,10.3736,11.8359,14.2848,29.8299,91.1471,8.9952,21.9193,119.6885,21.2159,85.0068,47.8566,9.2731,2.9695,5.749,18.156,18.4209,412.4887,4411.5053,110.0258,19.5919,667.19,91.2887,541.543,95.0276,5425.5135,986.1187,214.3127,7991.26,1057.4504,0.0,26913.5584,1874.7684,14500.2809,1923.6884,20.5738,0.0
DEU_S,116.7821,3.979,25.3657,41.6752,0.6176,526.9282,95.3005,37.2855,205.4622,136.6384,427.5891,296.4956,144.2219,111.0022,168.5032,166.6377,269.2463,201.7075,302.5808,369.0091,40.2254,146.9666,341.188,385.2868,959.7545,2642.0084,277.1793,34.0848,55.6247,624.3925,7.1281,740.7239,235.5612,132.8031,312.4904,846.1295,113.6404,3057.4963,663.8756,398.103,165.9162,2086.2166,667.0081,5752.8985,0.0,47264.6751,24421.4477,9349.9956,287.8405,5.264,0.0
DEU_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8072.6894,0.0,0.0,0.0,0.0,0.0
