V1,BLR_A01_02,BLR_A03,BLR_B05_06,BLR_B07_08,BLR_B09,BLR_C10T12,BLR_C13T15,BLR_C16,BLR_C17_18,BLR_C19,BLR_C20,BLR_C21,BLR_C22,BLR_C23,BLR_C24,BLR_C25,BLR_C26,BLR_C27,BLR_C28,BLR_C29,BLR_C30,BLR_C31T33,BLR_D,BLR_E,BLR_F,BLR_G,BLR_H49,BLR_H50,BLR_H51,BLR_H52,BLR_H53,BLR_I,BLR_J58T60,BLR_J61,BLR_J62_63,BLR_K,BLR_L,BLR_M,BLR_N,BLR_O,BLR_P,BLR_Q,BLR_R,BLR_S,BLR_T,BLR_HFCE,BLR_NPISH,BLR_GGFC,BLR_GFCF,BLR_INVNT,BLR_DPABR
BLR_C31T33,30.8987,0.6862,1.9268,1.2353,0.7272,19.3933,14.5874,8.6965,6.3763,1.8801,13.9594,2.822,5.7764,8.1456,9.6153,5.4182,7.1391,5.3228,15.4943,7.5361,3.392,61.5667,8.0974,3.0024,29.6452,13.4281,9.7585,12.0681,16.5698,2.9994,0.4562,4.7733,2.5584,5.7983,2.6993,4.7568,2.1357,6.8035,4.2287,12.9186,6.7965,36.1188,5.9345,8.7388,0,250.9244,0.3595,21.4646,235.4946,5.8177,0.0
BLR_D,208.2638,2.3538,13.4476,11.7178,3.2971,190.3093,64.9605,61.5748,82.4711,32.511,253.4929,15.2883,64.1683,126.2094,168.3057,32.663,22.1216,22.6939,49.7782,29.2603,8.8417,32.1158,540.7402,33.1219,39.6001,87.8223,42.1535,9.2901,6.5853,16.7331,2.417,60.3804,12.8186,41.323,10.298,20.7569,28.5671,24.9396,12.3244,91.3655,51.911,65.6002,27.2191,40.7516,0,641.7195,1.0713,79.2262,37.5872,0.3738,0.0
BLR_E,11.8947,0.1485,0.5282,0.3367,0.1599,13.1953,3.3158,2.3934,7.5278,0.891,8.8086,0.9252,3.4382,4.6617,36.3294,3.1789,0.9599,1.0675,2.9934,1.0726,0.4873,1.7184,5.1361,22.3072,6.0571,6.383,1.9219,1.2597,0.678,1.0942,0.1503,5.5037,0.7095,1.1364,0.751,1.4278,3.1325,2.3394,1.538,14.4089,4.5709,6.7407,1.9253,3.9318,0,104.0481,2.5019,102.2719,7.6952,0.0603,0.0
BLR_F,33.497,0.306,2.1963,1.3932,0.7984,15.2625,4.7468,5.6505,3.6602,2.6789,11.5587,1.6324,4.0209,8.5712,5.1344,4.6196,2.4517,2.9816,7.4309,3.2078,1.3965,6.8979,22.6031,7.1745,528.4136,21.6321,13.5477,4.4903,4.3222,7.9939,0.6149,8.8377,2.3048,10.7414,2.7777,6.565,50.6464,13.4569,4.7591,60.4096,14.9033,12.4955,5.5915,8.1199,0,108.6133,1.2594,39.5232,5291.9766,0.5651,0.0
BLR_G,229.5833,2.8721,3.9427,3.4737,2.6123,537.6302,214.4832,65.3698,67.0742,37.4418,162.2032,46.8086,60.4448,61.5698,65.7318,35.6479,55.0783,42.6497,122.4634,145.1178,15.2176,75.314,28.3252,9.2016,96.3225,413.2526,65.0631,37.3832,33.5822,13.8224,2.4103,58.4616,35.403,44.9643,17.8968,12.8372,6.3521,27.6326,20.7568,32.5047,12.2838,36.8584,13.8149,25.8643,0,919.9071,1.8546,34.9524,686.7872,58.8938,0.0
BLR_H49,70.3557,0.7954,8.9304,9.3851,2.2657,142.2196,26.2881,38.4398,34.1824,17.0794,81.5687,6.1177,25.2404,57.3403,30.5007,14.221,9.9916,12.1789,28.6519,19.4265,3.7378,19.4107,15.122,7.7282,52.1022,145.8912,171.5208,24.6378,10.7526,40.2811,7.7562,7.2103,8.6145,6.6384,5.4025,9.404,2.0691,14.1219,11.2056,27.9796,15.3174,12.404,5.549,17.1397,0,851.61,0.9665,122.8548,47.1998,6.5078,0.0
BLR_H50,3.0051,0.0549,0.279,0.1322,0.0605,5.535,1.8885,0.6996,0.9687,5.0748,2.5315,0.3748,0.7635,1.1439,1.4345,0.6748,0.6967,0.6613,1.2931,1.1751,0.2093,0.7814,1.59,0.1729,2.0514,3.715,2.405,14.4737,2.4341,1.6118,0.0959,0.7199,0.3417,0.5082,0.324,0.4907,0.1612,0.6477,0.5076,0.7707,0.2977,0.6692,0.2812,0.5131,0,25.4649,0.221,2.968,6.2327,38.6867,0.0
BLR_H51,3.2703,0.025,0.0805,0.0429,0.0254,5.3205,1.2625,0.3046,0.6266,3.7342,1.1015,0.1827,0.3899,0.5032,0.8956,0.363,0.362,0.3443,0.6248,0.7906,0.0936,0.4105,0.9636,0.0806,1.2891,1.2525,0.83,1.2793,1.1122,0.4492,0.0774,0.5668,0.2343,0.3068,0.2091,0.3303,0.1073,0.4682,0.3609,0.329,0.1461,0.333,0.166,0.2549,0,2.4602,0.0655,0.8612,4.3783,45.0006,0.0
BLR_H52,7.9737,0.4078,0.8203,0.977,0.3275,20.1845,3.9801,4.235,3.9715,2.9074,11.9162,1.2879,3.2003,5.7116,4.0484,2.2439,1.7377,1.9655,4.5742,3.6129,0.6728,2.7414,1.7613,0.9457,4.9673,41.4756,39.2394,76.8896,55.6025,28.2597,1.1846,0.9796,1.1678,1.6403,0.8164,0.8718,0.344,2.3052,1.657,3.4791,0.6495,1.0265,0.6329,1.7412,0,48.4988,0.2115,44.2353,5.4194,1.5591,0.0
BLR_H53,2.043,0.0328,0.1482,0.0757,0.0431,2.8163,1.3047,0.7257,0.9781,0.2011,2.4032,0.4373,0.7306,0.7439,0.5276,0.53,0.6199,0.5049,1.406,0.5221,0.2019,1.0755,1.6718,0.5714,2.1395,11.3904,1.7421,1.0314,1.0012,1.7505,8.1631,1.1748,3.6999,6.594,1.9305,8.1373,0.7152,4.1718,2.0327,8.5341,1.8871,2.4734,1.3511,3.4965,0,38.7889,0.0749,3.3917,1.2376,0.025,0.0
BLR_I,5.8631,0.1384,0.9482,0.4297,0.3721,13.6777,5.4791,2.9112,2.7883,1.0543,10.6923,2.8334,3.8659,3.9192,2.9882,2.9041,3.2673,2.9586,7.2476,3.0218,1.1782,4.8741,4.2831,1.517,12.2677,23.5822,11.1324,8.1578,25.3679,4.1421,0.6268,13.8506,4.5409,6.2495,7.0395,14.2501,1.9374,15.2263,12.6684,29.6305,14.0953,19.9289,7.8191,15.1161,0,1661.1027,4.9779,51.2953,5.3379,0.1987,0.0
BLR_J58T60,2.303,0.0409,0.165,0.1234,0.0789,11.3331,2.892,1.2365,4.6377,0.4375,5.3294,1.6765,1.4601,1.5161,1.0325,0.9852,1.5531,1.3839,2.7369,1.1516,0.5489,2.4118,1.4973,0.7534,3.0646,15.2975,1.8653,1.1951,1.9509,0.9921,0.3764,3.1221,53.0305,13.1661,7.2271,7.3584,1.142,23.0674,3.5347,11.5385,12.33,3.7222,6.783,6.7195,0,152.7964,3.8718,43.5105,84.0007,0.5755,0.0
BLR_J61,7.2117,0.1669,0.732,0.3062,0.191,8.3806,3.8817,2.5265,2.0714,0.6098,5.5598,1.2965,2.336,2.802,1.8013,2.2204,3.0001,1.879,4.9112,1.9855,0.7337,3.3144,3.3892,1.308,9.2264,21.5742,6.2795,3.8626,3.558,2.7859,1.1553,4.7707,8.3115,132.8662,10.8842,18.6042,2.3061,12.5393,6.3617,21.3109,5.4207,8.3287,3.6874,9.4689,0,528.7535,0.5707,20.0091,16.9324,1.0676,0.0
BLR_J62_63,1.497,0.0214,0.1773,0.0814,0.0567,4.0924,1.4224,0.6368,0.8973,0.3568,2.1664,0.6964,0.7071,0.792,0.6745,0.5405,1.3971,0.7872,1.5523,0.8384,0.2689,1.0283,1.3006,0.418,2.2345,5.9763,1.4879,1.0619,1.5502,0.6487,0.2249,0.8855,2.55,5.6708,12.0952,6.4909,0.486,3.8876,1.3687,4.7678,1.5267,1.7758,1.0001,2.1458,0,18.4638,0.299,3.4949,60.2518,1.1971,0.0
BLR_K,98.8295,1.4488,5.9222,2.2835,1.3912,58.9236,22.4431,15.8995,15.202,6.9724,38.783,6.878,14.782,17.0838,18.0087,11.2666,11.5255,10.9867,26.2089,13.5381,4.7677,16.3537,26.0891,7.013,63.5332,82.6313,34.703,27.6381,20.8715,11.9409,2.0566,17.8676,8.6334,20.3169,12.8254,285.5982,76.1375,33.847,19.2875,56.633,11.2184,19.1898,9.1494,22.9718,0,800.231,7.0771,110.9903,14.0092,0.4574,0.0
BLR_L,8.7542,0.151,0.9969,0.4869,0.2257,21.3405,11.3588,5.3863,5.2604,1.05,8.7293,2.0622,5.4118,5.5227,3.3801,5.3296,4.1759,3.8214,8.3477,4.2263,1.7259,9.4691,5.797,2.6962,22.9066,90.3723,10.9172,5.7025,5.6394,8.4258,1.5876,37.9333,7.6438,18.6454,12.4419,27.8157,21.366,26.8794,12.2553,28.379,15.3134,20.8153,11.9329,27.9006,0,1595.3381,6.7498,32.3445,165.501,0.2221,0.0
BLR_M,36.7931,0.269,2.8402,1.1711,1.0904,63.9295,14.3035,6.8134,8.9458,3.6377,30.6959,12.6075,9.726,10.4919,8.4636,6.5378,10.5399,9.0529,17.582,9.8053,3.416,12.1324,11.1143,4.7996,32.6362,69.8398,10.3303,10.3302,8.6239,6.0584,1.0561,11.8687,16.0227,24.7239,18.7297,38.6373,8.943,61.2083,15.865,27.0692,9.6851,15.1756,10.6556,18.1887,0,46.4498,3.2496,34.3632,226.4932,0.7578,0.0
BLR_N,20.693,0.3464,3.8329,1.55,1.6032,46.8284,14.5402,8.8995,10.1803,3.5146,25.2887,8.2394,12.1102,12.8603,8.2008,8.8445,10.092,8.7303,19.9615,11.5411,3.377,14.4453,14.0348,6.7422,45.5821,58.5863,26.6043,26.2831,27.4972,14.0898,2.647,17.4999,12.7121,28.887,19.7632,29.6842,12.8239,34.9997,37.488,37.8145,16.8297,27.8593,12.5568,20.4825,0,82.1979,2.4821,30.5382,33.4571,0.5755,0.0
BLR_O,3.3781,0.0619,0.2455,0.1571,0.0841,4.7433,1.4198,1.1006,1.2158,0.4305,3.0292,0.6842,1.0898,1.2844,4.4379,0.8571,0.6094,0.647,1.3945,0.7737,0.3214,1.1278,1.7518,1.6181,4.5166,5.4775,3.022,2.3227,1.8239,1.2203,0.1678,1.6339,0.9248,1.8857,1.1655,2.4003,1.3013,2.9456,1.2634,9.9816,1.7749,2.5125,1.096,1.8345,0,75.5689,6.4214,2971.238,26.9083,0.1259,0.0
BLR_P,1.1508,0.0195,0.156,0.0524,0.0353,1.8405,0.5129,0.3236,0.372,0.1876,1.2426,0.5248,0.4094,0.4918,0.5025,0.3233,0.5577,0.4285,0.953,0.4796,0.1759,0.5603,0.6958,0.2784,1.3615,2.1002,0.8211,0.5237,1.6014,0.3777,0.0706,0.4845,0.6051,1.2668,1.3716,2.1339,0.254,2.4729,0.9457,6.989,10.8573,2.2148,0.6899,1.8581,0,298.2961,35.1892,1626.6925,26.8615,0.0576,0.0
BLR_Q,1.6277,0.0237,0.0527,0.0295,0.0309,1.9066,0.6336,0.2535,0.2925,0.1188,0.8161,0.4602,0.3324,0.3187,0.3297,0.2094,0.2601,0.225,0.5177,0.2619,0.1009,0.3987,0.2955,0.155,0.8998,1.31,0.7081,0.3838,0.2872,0.2145,0.0548,0.6184,0.236,0.378,0.4809,0.9732,0.1468,0.9607,0.4968,4.7422,1.3584,53.0497,0.5424,1.0801,0,441.9024,49.5437,2182.7099,4.7017,0.1144,0.0
BLR_R,0.701,0.0139,0.04,0.0299,0.0131,2.0533,0.4523,0.2821,0.3117,0.0821,0.6289,0.192,0.2683,0.2703,0.1958,0.1865,0.2104,0.1966,0.4073,0.2519,0.097,0.3806,0.3058,0.173,0.9314,1.8796,0.4514,0.5773,0.3803,0.2361,0.0471,1.5383,5.2399,1.0843,0.662,1.0036,0.276,2.0639,0.9251,3.4127,1.8589,0.7776,20.966,3.983,0,189.747,45.9925,149.0658,7.3694,0.1902,0.0
BLR_S,6.4274,0.1666,0.3657,0.2892,0.2125,8.7676,3.434,1.7808,1.7396,0.6506,4.1819,0.8027,1.8743,2.6883,1.6587,1.2561,1.7307,1.324,2.5888,1.2434,0.5077,2.383,1.9812,1.2971,4.2868,10.9925,3.8756,2.0063,2.0977,1.6108,0.3206,6.2231,2.4312,4.4068,4.7216,5.9013,1.2862,5.9975,2.952,9.667,4.284,12.8734,3.3787,25.7334,0,615.5876,177.9853,90.8381,43.1525,0.2089,0.0
BLR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
