V1,LAO_A01_02,LAO_A03,LAO_B05_06,LAO_B07_08,LAO_B09,LAO_C10T12,LAO_C13T15,LAO_C16,LAO_C17_18,LAO_C19,LAO_C20,LAO_C21,LAO_C22,LAO_C23,LAO_C24,LAO_C25,LAO_C26,LAO_C27,LAO_C28,LAO_C29,LAO_C30,LAO_C31T33,LAO_D,LAO_E,LAO_F,LAO_G,LAO_H49,LAO_H50,LAO_H51,LAO_H52,LAO_H53,LAO_I,LAO_J58T60,LAO_J61,LAO_J62_63,LAO_K,LAO_L,LAO_M,LAO_N,LAO_O,LAO_P,LAO_Q,LAO_R,LAO_S,LAO_T,LAO_HFCE,LAO_NPISH,LAO_GGFC,LAO_GFCF,LAO_INVNT,LAO_DPABR
LAO_C28,0.0062,0.0002,0.0022,0.0039,0.0005,0.0086,0.0007,0.0011,0.0,0.0001,0.0,0.0,0.0,0.0001,0.0007,0.0036,0.0007,0.0007,0.0001,0.007,0.0004,0.0023,0.0034,0.0008,0.0203,0.0118,0.0026,0.0004,0.0002,0.0005,0.0005,0.0023,0.0,0.0025,0.0,0.0015,0.0004,0.0001,0.0002,0.0068,0.0008,0.0001,0.0,0.0007,0.0,0.0447,0.0001,0.0005,0.4042,0.0,0.0
LAO_C29,0.0187,0.0004,0.0197,0.0425,0.0056,0.0915,0.0025,0.0031,0.0001,0.0003,0.0009,0.0002,0.0004,0.0024,0.0036,0.0217,0.0179,0.0136,0.0001,0.0638,0.0006,0.0083,0.0341,0.0098,0.4083,0.1642,0.0492,0.0044,0.0024,0.0016,0.0045,0.0042,0.0013,0.0099,0.0006,0.0071,0.0031,0.0021,0.0023,0.0425,0.0016,0.001,0.0016,0.0071,0.0,1.7908,0.0002,0.0006,11.6467,-0.0047,0.0
LAO_C30,0.0026,0.0004,0.0045,0.0087,0.0009,0.0061,0.0002,0.0003,0.0,0.0,0.0001,0.0,0.0,0.0002,0.0001,0.0009,0.0017,0.001,0.0,0.0087,0.0011,0.001,0.0029,0.001,0.0349,0.0169,0.0033,0.0025,0.0014,0.0002,0.0003,0.0004,0.0003,0.0005,0.0,0.0009,0.0003,0.0003,0.0002,0.0111,0.0002,0.0001,0.0003,0.0025,0.0,0.0366,0.0,0.0002,1.4977,0.0,0.0
LAO_C31T33,12.2325,3.4343,3.3839,7.4664,0.861,2.2539,0.65,0.4754,0.0125,0.0332,0.1777,0.0407,0.0495,0.2491,0.0616,0.2278,0.1679,0.1888,0.0017,0.0959,0.0179,0.2695,7.358,0.6554,4.8101,5.7845,2.8456,0.6814,0.3789,0.1257,0.0712,0.9547,0.0693,0.5048,0.0711,1.9422,1.003,0.9067,0.1793,5.359,0.4002,0.7111,0.1662,0.2873,0.0,14.8702,0.0035,0.0003,57.5867,0.0355,0.0
LAO_D,5.0779,0.0763,16.4692,38.6331,2.2457,10.4695,1.2351,0.896,0.0272,0.1071,0.3325,0.0364,0.1337,0.9535,0.0882,0.1487,0.1343,0.121,0.0052,0.1317,0.0071,0.4625,31.9609,2.2943,3.009,30.1796,0.3044,0.0061,0.0069,0.0101,0.0903,13.3849,0.9053,1.4106,0.1271,5.5337,0.7844,0.6704,0.0979,20.6696,1.5506,0.9297,1.0456,1.3272,0.0,65.4165,0.031,0.0059,0.0,0.0,0.0
LAO_E,5.2489,0.0842,13.1759,27.5276,1.9573,12.0047,0.9269,0.5101,0.0138,0.0772,0.1937,0.0315,0.0668,0.4238,0.0456,0.1031,0.0659,0.0475,0.0024,0.0537,0.0043,0.2,12.648,4.1409,3.0595,19.9768,1.0058,0.015,0.0099,0.0097,0.1071,15.1387,0.3091,0.6706,0.107,4.5851,0.9773,0.533,0.1122,21.9824,1.3187,0.7976,0.7775,1.0561,0.0,166.2355,0.4108,0.0259,27.1937,0.0,0.0
LAO_F,12.7536,0.249,14.4334,26.4167,4.042,0.2615,1.1498,0.1164,0.0027,0.0004,0.0003,0.0001,0.0001,0.0003,0.0074,0.0296,0.011,0.0095,0.0008,0.0279,0.0022,0.0138,15.2017,4.3725,588.48,131.2529,0.6005,0.0008,0.0037,0.0048,0.5285,19.0672,1.4277,4.658,0.8182,1.6943,99.0572,4.2274,0.6068,291.6513,24.4599,4.7108,1.9063,6.4478,0.0,151.2344,0.0541,0.0038,1793.5847,0.0,0.0
LAO_G,90.8259,8.693,15.666,35.8322,4.8009,201.782,43.3336,29.0664,0.7249,1.7747,4.2252,0.6464,1.7017,3.7998,2.7533,8.3557,3.5649,4.4393,0.0363,2.5664,0.1375,9.9324,18.5584,5.762,167.9627,69.1779,24.6774,13.5447,3.6822,4.8977,1.7969,59.7739,1.5461,7.4244,0.6419,7.9823,1.7217,3.4832,2.2724,51.566,3.2429,3.633,1.2648,5.6282,0.0,1107.1249,0.138,0.0351,174.7499,2.1082,0.0
LAO_H49,5.1283,0.2216,3.0241,6.3632,0.5511,16.0681,1.7609,1.92,0.0443,0.5491,1.5947,0.1957,0.6128,0.4629,0.2832,0.9571,0.3552,0.3995,0.0064,0.4475,0.0201,0.8748,3.5256,1.2239,43.5332,74.1885,9.0147,0.4627,0.1668,0.1862,0.8388,7.2546,0.4427,1.8357,2.3829,14.0227,0.6265,6.7668,2.3682,45.2653,3.4355,0.5816,0.376,2.5787,0.0,81.945,0.033,0.0011,4.4354,0.0,0.0
LAO_H50,1.7575,0.1953,0.6364,1.6074,0.1687,4.0966,0.5946,0.7769,0.0193,0.0548,0.0984,0.0097,0.0405,0.203,0.1164,0.3542,0.1325,0.1957,0.0011,0.07,0.0034,0.2647,0.7064,0.1666,5.7056,0.449,0.369,0.0805,0.1045,0.0649,0.02,0.7561,0.0354,0.1574,0.0451,0.1947,0.0466,0.2144,0.149,0.2358,0.0159,0.0605,0.0251,0.1582,0.0,24.0733,0.0021,0.0105,5.4209,1.7604,0.0
LAO_H51,0.126,0.0189,0.0606,0.1975,0.0137,0.3251,0.0862,0.0805,0.0019,0.0012,0.0001,0.0109,0.0199,0.0266,0.0204,0.0545,0.008,0.0248,0.0001,0.0075,0.0002,0.0247,0.0613,0.0171,0.3665,0.0506,0.0279,0.0251,0.0127,0.0128,0.0149,0.0344,0.0166,0.0243,0.0076,0.0337,0.0179,0.046,0.0366,0.0156,0.0137,0.0027,0.0254,0.0424,0.0,1.838,0.0049,0.0,1.4302,1.1272,0.0
LAO_H52,0.4606,0.0334,0.2881,0.5579,0.0506,1.6442,0.1527,0.191,0.0046,0.0491,0.13,0.0241,0.0545,0.0415,0.0193,0.0613,0.0339,0.0341,0.0006,0.0247,0.0012,0.0857,0.3084,0.1205,3.8386,6.5244,0.9855,0.3647,0.0311,0.6552,0.1422,0.6269,0.0372,0.3015,0.1927,1.0842,0.048,0.4056,0.3374,4.0383,0.2619,0.0444,0.0239,0.1866,0.0,5.3097,0.0164,0.0015,0.304,0.0199,0.0
LAO_H53,0.566,0.0177,0.0346,0.0707,0.0112,0.3275,0.0432,0.0785,0.0006,0.0122,0.0251,0.0081,0.0109,0.0027,0.0028,0.0155,0.0013,0.0008,0.0002,0.0078,0.0005,0.0361,0.5433,0.2038,0.4402,6.0697,0.437,0.0793,0.087,0.2143,2.99,0.493,0.1489,5.0357,0.1231,2.1508,0.0311,0.3301,0.1936,8.9966,0.5679,0.0205,0.133,0.3481,0.0,32.2319,0.0047,0.0007,0.2225,0.0189,0.0
LAO_I,0.207,0.0086,0.0075,0.0094,0.003,0.0366,0.0007,0.019,0.0005,0.0069,0.0164,0.0055,0.008,0.0046,0.0009,0.004,0.0056,0.0029,0.0004,0.0063,0.0005,0.0047,0.1951,0.0526,0.361,2.1656,0.0838,0.0002,0.0007,0.0002,0.0112,0.6034,0.0599,0.0822,0.616,1.2588,0.0267,1.2542,0.3636,5.9826,0.3884,0.0209,0.0341,0.1564,0.0,381.0372,0.0734,0.0022,0.0011,0.0,0.0
LAO_J58T60,0.0184,0.0006,0.0003,0.0004,0.0001,0.0193,0.0071,0.0962,0.001,0.0054,0.0045,0.0015,0.0013,0.0013,0.0,0.0001,0.0008,0.0005,0.0,0.0003,0.0,0.0295,0.0044,0.0186,0.129,0.1961,0.004,0.0003,0.0002,0.0002,0.0102,0.1549,0.0676,0.096,0.0108,0.0507,0.0008,0.0433,0.0045,0.5902,0.0353,0.0039,0.0142,0.011,0.0,33.2416,0.1365,0.0,0.0008,0.0089,0.0
LAO_J61,2.3212,0.0704,0.1641,0.248,0.0448,1.0893,0.1426,0.2951,0.0018,0.0392,0.0763,0.0218,0.0365,0.0103,0.0096,0.055,0.0043,0.0025,0.0007,0.0248,0.0018,0.1188,1.7589,0.5856,2.1367,17.8867,1.8067,0.3562,0.428,0.6987,0.2869,2.5368,1.0304,18.4457,0.7154,6.5783,0.1234,1.2242,0.6599,24.6711,1.983,0.0956,0.4709,0.9748,0.0,184.6995,0.0378,0.0009,0.482,0.0165,0.0
LAO_J62_63,0.1044,0.0034,0.0479,0.0867,0.0135,0.672,0.0473,0.0303,0.0007,0.0423,0.0648,0.0189,0.0403,0.0054,0.0042,0.0189,0.0182,0.0101,0.0005,0.0093,0.0007,0.0103,0.0748,0.0249,0.8445,3.973,0.3139,0.0005,0.0022,0.0015,0.0271,0.4807,0.0448,0.4262,0.521,2.9385,0.0645,0.238,0.0551,4.0589,0.308,0.0166,0.024,0.1373,0.0,11.7594,0.0134,0.001,0.007,0.0163,0.0
LAO_K,8.6483,0.1503,5.1279,8.6955,1.0029,5.5827,2.498,3.1133,0.0568,0.4541,1.9473,0.4029,0.8854,0.6026,0.1393,0.4761,0.1816,0.1826,0.0038,0.2281,0.0136,0.9843,6.6154,1.5044,23.4867,127.4736,9.076,1.128,0.4365,0.9373,0.3071,28.087,0.7856,2.8263,1.0033,298.7508,2.4653,2.9176,1.4986,46.6068,3.6634,0.1812,0.739,4.2871,0.0,377.9425,0.4452,7.2328,9.1292,0.0792,0.0
LAO_L,0.7469,0.0205,0.0256,0.048,0.0078,0.3206,0.1172,0.1116,0.0053,0.0324,0.0804,0.0235,0.036,0.0092,0.0019,0.0119,0.0481,0.0357,0.0039,0.0741,0.0052,0.053,0.0674,0.364,0.726,40.6705,0.4898,0.0002,0.0039,0.0038,0.0319,5.1545,0.4525,0.3743,0.2264,14.7025,1.6678,0.7266,0.1852,7.1889,4.6542,0.0331,0.4694,1.2275,0.0,758.9281,0.2798,0.0232,0.0099,0.0,0.0
LAO_M,0.7096,0.0218,0.2545,0.3811,0.0668,2.4723,0.1273,0.1141,0.003,0.1728,0.3744,0.1907,0.1935,0.0224,0.0184,0.0702,0.0784,0.0465,0.0023,0.0529,0.0034,0.0218,0.2146,0.1214,3.743,13.9945,0.8556,0.0016,0.0055,0.0037,0.0422,1.5055,0.1421,0.5912,0.5928,5.0597,0.4666,2.7573,0.3506,10.6287,0.8577,0.0862,0.1141,0.4792,0.0,44.2392,0.3231,8.8056,9.6667,0.0274,0.0
LAO_N,0.3008,0.0086,0.0878,0.1856,0.0285,0.8794,0.05,0.057,0.0013,0.0508,0.1152,0.0375,0.0762,0.0096,0.0068,0.034,0.0224,0.0156,0.0008,0.0163,0.001,0.0171,0.1003,0.072,1.6477,6.77,0.7664,0.011,0.0049,0.0232,0.0539,0.8961,0.0661,0.4321,0.2934,2.2419,0.2882,0.7447,0.4728,3.9175,0.4642,0.0516,0.068,0.2329,0.0,19.2617,0.1077,0.0015,0.0046,0.0028,0.0
LAO_O,0.0892,0.0029,0.0167,0.0262,0.0038,0.0358,0.0061,0.0034,0.0,0.0003,0.0001,0.0,0.0,0.0,0.0013,0.0044,0.0,0.0,0.0,0.0012,0.0001,0.0105,0.0185,0.0257,0.0206,0.0234,0.0011,0.0012,0.0014,0.001,0.0003,0.0056,0.0256,0.0019,0.0215,0.0003,0.0038,0.0697,0.0191,20.0731,0.4158,0.0001,0.0223,0.0177,0.0,208.4427,0.2835,1974.4547,0.0047,0.0,0.0
LAO_P,0.0114,0.0004,0.0035,0.0056,0.0009,0.007,0.0014,0.0015,0.0,0.0004,0.0007,0.0003,0.0004,0.0,0.0003,0.0013,0.0003,0.0002,0.0,0.0012,0.0001,0.002,0.0054,0.0059,0.0131,0.268,0.013,0.0006,0.0009,0.0006,0.0044,0.0188,0.0041,0.0437,0.0115,0.1807,0.0008,0.0235,0.0043,1.2074,0.4152,0.0,0.0047,0.0205,0.0,109.0527,1.3463,153.7355,0.0009,0.0,0.0
LAO_Q,0.0015,0.0001,0.0002,0.0003,0.0001,0.0015,0.0001,0.0,0.0,0.0,0.0005,0.0002,0.0002,0.0001,0.0,0.0,0.0003,0.0002,0.0,0.0,0.0,0.0001,0.0005,0.0002,0.0034,0.0031,0.0003,0.0002,0.0,0.0002,0.0,0.0003,0.0001,0.0002,0.0005,0.0,0.0025,0.0019,0.0006,0.0003,0.0,0.0004,0.0003,0.0004,0.0,38.3958,2.0106,27.4691,0.0006,0.0,0.0
LAO_R,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0011,0.0,0.048,0.0003,0.0,0.0,0.0,0.0002,0.0532,0.0115,0.0011,0.0023,0.0013,0.0001,0.0104,0.0027,0.2566,0.0148,0.0,0.0355,0.0047,0.0,42.1336,0.9776,0.0,0.0001,0.0049,0.0
LAO_S,5.5098,0.2169,1.6716,2.8821,0.497,14.7517,1.876,1.1245,0.0203,0.0882,0.225,0.059,0.1013,0.1193,0.0617,0.2431,0.2248,0.1292,0.004,0.136,0.0083,0.4434,1.0963,0.3262,11.0129,5.9631,3.142,0.0046,0.0305,0.009,0.075,5.7623,0.1575,0.6011,0.0958,0.5483,0.0555,0.2666,0.0538,6.0475,0.3028,0.3505,0.1316,0.6904,0.0,125.5551,6.5167,0.0113,3.4696,0.0,0.0
LAO_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.7273,0.0,0.0,0.0,0.0,0.0
