V1,USA_A01_02,USA_A03,USA_B05_06,USA_B07_08,USA_B09,USA_C10T12,USA_C13T15,USA_C16,USA_C17_18,USA_C19,USA_C20,USA_C21,USA_C22,USA_C23,USA_C24,USA_C25,USA_C26,USA_C27,USA_C28,USA_C29,USA_C30,USA_C31T33,USA_D,USA_E,USA_F,USA_G,USA_H49,USA_H50,USA_H51,USA_H52,USA_H53,USA_I,USA_J58T60,USA_J61,USA_J62_63,USA_K,USA_L,USA_M,USA_N,USA_O,USA_P,USA_Q,USA_R,USA_S,USA_T,USA_HFCE,USA_NPISH,USA_GGFC,USA_GFCF,USA_INVNT,USA_DPABR
USA_E,434.5033,1.1785,986.1897,111.8039,173.1325,1149.1943,96.6301,91.0038,373.057,625.085,1794.2106,153.6704,281.6199,241.5713,483.4058,351.2508,110.3666,64.0187,202.7891,186.6959,121.8832,217.5514,4036.2356,5633.8017,1787.9404,5831.9332,696.2862,37.8028,32.8508,1038.8855,292.7939,3755.5491,203.4252,359.547,242.2333,2321.0755,7239.8611,2659.0008,1936.1184,15430.8986,3090.4299,5705.7477,763.4298,1171.1149,0.0,34806.1367,2631.8547,3932.8997,38.9623,12.6522,0.0
USA_F,1654.7141,6.3345,1632.0306,1484.9984,1423.9339,1159.9828,98.2751,225.304,864.041,8565.2104,1424.9177,221.0012,475.3264,428.0056,833.3246,690.9821,166.9051,110.6106,420.3883,476.8897,200.1218,270.8855,10032.0395,162.9171,272.6438,6999.053,3609.0847,82.0336,300.7887,2525.8475,595.4653,2701.8738,140.4777,2136.5931,232.3099,5597.2224,127694.7356,1594.2176,807.5855,77810.9759,8409.4432,1790.2996,632.966,3971.1475,0.0,26.0242,1114.8982,0.0,1284832.6715,0.0233,0.0
USA_G,56144.4338,113.1788,8406.3296,3380.4098,3761.263,141150.0685,9536.8284,11972.3677,28311.0018,10324.3822,64080.5647,19666.8932,32177.2969,12305.2837,17867.8871,25075.7385,12715.8898,11489.9343,34104.9767,83986.9499,19284.6905,24086.8997,9486.0724,5443.3147,134579.6641,145003.1969,31286.6598,1948.538,7358.3347,8713.1073,4791.177,49221.3854,19262.0666,19405.3956,11617.9083,18483.4462,24958.9853,39556.932,36037.5481,87740.5069,35012.9835,82131.3273,7178.3717,12732.6927,0.0,1262141.5201,7724.5699,4787.9001,311945.6776,100330.8081,0.001
USA_H49,9079.2495,17.4119,3271.7562,1095.5439,802.5332,21047.709,772.8596,1952.1668,3772.1884,20581.701,5978.0258,1323.448,2824.9192,4542.8359,5661.2927,4099.3759,1053.245,1002.5262,3067.2541,6284.7185,1810.3166,2398.1686,5846.9726,921.2794,21170.2658,26852.0511,20654.1382,530.2858,2231.6916,7389.4303,2223.4896,4002.5606,1947.8107,3120.8719,4932.6262,9571.3479,9039.4441,15117.1585,10041.1103,16682.0556,27793.1809,13715.7665,4250.581,1810.1747,0.0,166787.2425,1372.6513,390.2447,17366.2375,9564.5328,0.6691
USA_H50,518.702,3.1794,224.8145,73.9193,33.892,1259.9509,77.615,147.9504,279.5643,1726.0328,490.7667,188.0779,245.0277,242.163,405.8028,342.497,157.4733,124.0977,373.2049,1035.4866,263.2461,198.7606,340.5259,49.209,1522.2416,1126.268,288.9486,42.1269,185.1525,269.6969,458.1401,235.7181,102.4345,155.2061,95.4953,117.3668,119.9921,1021.3348,186.3643,1772.0112,357.0433,551.9498,57.5531,108.5636,0.0,21538.2366,39.9608,51.345,3047.3592,3691.0457,0.0
USA_H51,747.7986,2.5214,266.205,86.2037,279.0947,1616.3523,105.5249,569.5019,662.9323,1868.4299,722.7635,230.4102,537.6342,373.6847,664.3153,738.4983,219.0293,166.5947,627.945,1354.7064,384.4744,485.4117,854.0199,393.5639,1985.5458,4991.7163,1097.4284,195.3484,193.4459,847.6698,198.4763,1197.6271,794.8872,1090.6548,2812.6456,5610.0013,5980.5927,5138.1544,5535.4125,6182.1621,1234.1849,3454.4262,358.4047,654.6693,0.0,71284.3409,140.1,62.1875,4390.0234,4726.8716,0.0
USA_H52,1823.5533,143.6099,491.0099,1436.5469,65.0537,6720.6742,1329.215,3059.3691,4923.6047,6429.7063,3240.4921,602.4685,3952.6699,2862.1309,1253.0639,1654.6637,1642.6157,209.4886,1003.498,1255.845,417.9788,1027.5557,6910.1682,1179.0548,3504.2434,72344.1922,19560.2268,3175.9344,15802.4027,24575.6601,8956.0014,2019.7068,1590.5867,661.1388,1945.2214,469.4548,378.1478,6784.9196,3412.313,7070.1335,1518.404,3730.5067,1086.0824,884.217,0.0,21066.8526,284.264,54.2145,3918.2543,1736.867,0.0042
USA_H53,24.3315,0.0755,2.9352,6.4492,0.4434,12.7275,1.8998,2.4646,70.3326,39.4585,61.9565,1.1016,4.198,3.4828,21.0625,31.8317,1.64,143.6821,260.8191,3.7266,1.7182,110.5456,207.8229,303.5455,20.3111,52802.6907,24202.8907,4131.5972,20.7311,1884.6564,1995.4231,4304.8543,2442.3813,325.3651,3441.5866,6367.8313,369.7666,6036.787,4185.7112,2109.1307,1137.6581,6131.0285,521.6276,2137.0179,0.0,11038.6035,74.4739,0.1592,256.7218,58.1402,0.0003
USA_I,653.4508,3.4511,65.6272,63.4452,629.9923,1169.8087,94.3927,219.6367,601.5216,178.5644,538.7298,70.2214,637.6089,388.1155,637.0168,797.1279,87.7668,99.5306,538.4755,361.3397,186.9986,877.6048,2614.3614,965.5985,985.3715,14377.4988,1418.0543,39.97,9428.4746,1197.4406,2008.2099,13374.0554,3247.47,4032.0944,9105.4994,24494.9045,36083.2051,30093.3629,23022.5314,13417.0605,7637.9854,44615.4223,3515.029,3685.367,0.0,694559.8323,6148.0072,6.0228,3121.0894,136.1118,0.0
USA_J58T60,309.2302,0.584,603.9118,50.1255,61.0995,2297.2165,233.4897,387.1148,780.0465,397.6523,939.4045,811.0332,690.8962,344.1197,837.4814,1317.0766,546.2952,248.0959,902.2911,688.4807,513.8525,1033.9221,867.7215,165.5042,2733.2743,43197.1672,586.1913,324.8019,179.6994,674.4325,157.4053,12418.7411,81958.3067,36097.7009,10669.1468,16102.9617,5962.9039,26687.5345,10104.7156,12776.3892,11781.2164,9970.3031,1732.6876,3981.282,0.0,124658.0105,4237.6255,4982.4251,209301.0468,3258.6216,0.1887
