V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T,SEN_HFCE,SEN_NPISH,SEN_GGFC,SEN_GFCF,SEN_INVNT,SEN_DPABR
SEN_G,70.8815,18.9001,1.3982,24.3766,1.2258,277.2726,35.7348,8.4307,9.3163,4.4982,24.3146,1.7076,5.5416,34.1343,2.6144,6.47,0.2078,5.5576,1.0662,0.1246,2.7993,10.0799,50.7509,21.0544,124.6888,45.1568,57.7297,2.2779,4.082,29.4714,0.2872,54.1248,4.1288,32.5449,3.6016,14.7061,5.6621,59.7866,21.6018,60.366,20.849,29.5192,2.4369,3.9181,0.0,1594.8618,0.0538,1.3958,293.7957,94.6234,0.0
SEN_H49,20.2054,1.6896,1.2506,13.4679,0.2439,35.9873,4.7396,3.0957,1.0163,0.7769,16.6703,0.8946,1.2459,9.3742,1.2787,3.1326,0.0304,0.478,0.6431,0.0589,0.4792,1.7005,8.5747,3.0005,27.3669,83.9634,5.4136,0.3899,0.5558,17.4478,0.4325,8.0292,0.485,13.0479,1.6603,2.335,4.4348,16.498,5.7586,6.6892,5.2353,11.7115,0.5518,0.8979,0.0,313.2187,0.0,0.0749,19.9738,5.1361,0.0
SEN_H50,0.3458,0.0468,0.0396,0.1427,0.0041,0.1322,0.126,0.0372,0.0632,1.9002,0.153,0.014,0.0199,0.04,0.078,0.013,0.0019,0.0507,0.0124,0.0011,0.0238,0.0534,0.7146,0.0592,0.7917,0.1186,0.2688,0.007,0.0529,0.0397,0.0393,0.1803,0.0094,0.2736,0.0132,0.0324,0.0159,0.1426,0.0686,0.1172,0.0498,0.0797,0.0043,0.0075,0.0,3.7295,0.0,0.0483,3.2765,4.2682,0.0
SEN_H51,0.0544,0.0019,0.0101,0.0134,0.0097,0.0934,0.0182,0.0023,0.0034,0.1968,0.0106,0.0101,0.0029,0.014,0.0025,0.0071,0.0004,0.0006,0.01,0.0063,0.002,0.0111,0.0302,0.0207,0.0436,0.0306,0.0032,0.0016,0.0103,0.0104,0.01,0.0312,0.0199,0.0111,0.0101,0.0207,0.02,0.0511,0.0309,0.0103,0.0106,0.0209,0.0169,0.0241,0.0,0.1472,0.0,0.0167,0.6807,1.3637,0.0
SEN_H52,3.6767,7.729,3.3547,17.3241,13.9258,64.1416,3.3927,1.3895,3.0732,13.191,10.1752,0.5281,2.0864,13.9956,0.5739,1.3089,0.2129,0.4305,0.4961,0.1553,0.9835,5.0953,4.3205,11.0923,32.8111,177.1974,15.2613,1.3529,0.3664,171.7799,0.5235,1.955,2.2605,13.0391,2.5387,0.7683,5.2128,47.1405,5.7502,2.2932,1.0784,3.1815,0.2016,0.3705,0.0,26.9428,0.0,0.0139,3.7365,1.4514,0.0
SEN_H53,0.0088,0.0277,0.0118,0.0707,0.0047,0.3165,0.0158,0.1404,0.0578,0.1342,0.0943,0.0511,0.0549,0.0852,0.0033,0.0116,0.0,0.0,0.0205,0.0,0.0059,0.0062,0.0,0.0,0.0,0.9004,0.0846,0.0103,0.0125,0.9155,0.6282,1.7736,0.0037,0.4381,0.0854,1.1337,0.0151,1.8726,0.1203,0.5051,0.1704,0.3119,0.0109,0.018,0.0,15.1644,0.0,0.0,0.0,0.0033,0.0
SEN_I,0.8232,0.2097,0.2684,2.0674,0.0796,3.3247,0.3415,0.0729,0.1002,0.551,0.3804,0.0558,0.0558,0.3037,0.0204,0.0567,0.0017,0.1008,0.0081,0.0004,0.0321,0.1513,2.8894,0.5219,0.8975,1.7711,2.9791,0.1031,0.1813,2.1294,0.027,4.2194,0.0627,4.2705,0.3328,5.7436,0.1734,6.8785,1.6985,48.1744,8.8703,16.418,0.8561,1.5537,0.0,395.1205,0.0,0.0088,2.6134,0.8041,0.0
SEN_J58T60,0.0239,0.0155,0.0064,0.0231,0.0063,3.401,0.0227,0.0037,0.0153,0.001,0.0823,0.015,0.0065,0.0371,0.0024,0.0057,0.0001,0.0068,0.001,0.0,0.006,0.013,0.0459,0.0181,0.0456,0.5498,0.073,0.0011,0.0225,0.1422,0.0012,1.499,5.7058,2.4737,0.2261,0.834,0.0443,34.4839,1.7265,0.0761,0.4989,0.0225,2.2815,1.9664,0.0,29.2805,0.0,0.0004,39.6425,0.0619,0.0
SEN_J61,1.1309,1.7405,0.2167,1.887,0.1473,7.4186,5.8089,2.0224,0.4553,0.2437,2.1184,0.6017,0.2504,1.572,0.3986,1.482,0.0,0.3068,0.0381,0.0437,0.1483,1.2227,1.0628,1.0184,13.5976,34.9945,6.5292,0.0998,0.2552,9.119,0.13,4.0257,2.2793,178.3475,1.0974,15.1493,7.7621,18.1277,9.4069,33.9148,5.9508,3.9545,0.821,1.1709,0.0,763.2473,0.0,0.0,5.9171,0.9902,0.0
SEN_J62_63,0.2582,1.1244,0.2731,2.3383,0.0503,2.8139,0.1197,0.0288,1.7022,0.3946,0.7149,0.7128,0.0981,0.2295,0.0146,0.0361,0.0005,0.0513,0.0103,0.0001,0.0274,0.0972,0.9006,1.2896,3.7407,4.1979,0.6867,0.4325,0.4611,11.6346,0.579,0.429,0.2788,5.2713,6.5038,0.4859,0.3219,3.569,1.0254,11.0297,0.4114,0.2301,0.106,0.2252,0.0,2.946,0.0,4.0217,27.7859,0.2194,0.0
SEN_K,3.0126,1.7057,0.5587,6.4791,3.0029,34.2643,1.1783,2.0858,4.1955,12.4469,15.8244,0.9568,7.2216,15.9835,1.8093,4.021,0.0546,0.1256,0.0671,0.2833,0.3673,1.2627,9.0657,8.548,34.2615,56.1837,24.1476,0.4326,3.4791,32.6149,0.086,6.6647,2.3579,15.2784,1.3752,52.8166,91.0057,25.059,9.9649,13.7485,0.8925,17.0261,1.5655,2.7301,0.0,229.6978,0.0,31.5328,1.5869,0.1445,0.0
SEN_L,0.4593,0.4172,0.2987,3.8183,0.4408,21.2161,33.4203,2.7949,0.9266,0.0,1.2676,0.4779,0.2694,2.5763,0.553,2.2002,0.0,0.0,0.1175,0.1428,0.1827,3.1272,1.216,1.9615,45.1297,116.741,8.1554,0.2024,0.7667,17.0858,0.4006,11.6726,4.7215,21.0648,2.9117,16.1069,7.2183,32.9983,9.668,23.9387,11.1043,11.9223,0.8263,1.276,0.0,1372.9196,0.0,0.0,0.0,0.0087,0.0
SEN_M,23.0211,3.2709,5.8706,60.6462,0.9229,44.752,4.9216,1.6552,1.7171,1.418,9.3259,1.3267,1.2097,13.6881,0.3429,0.9014,0.0216,1.1023,0.1884,0.1559,2.58,2.0901,10.6781,44.1257,79.8988,22.7234,7.8005,0.3186,1.1245,27.7448,0.2321,10.6403,2.4617,95.3445,6.8629,95.4768,9.1863,317.3875,10.992,84.6492,15.1492,27.4647,3.1566,4.0322,0.0,182.1566,0.0,0.1173,817.5077,11.1277,0.0
SEN_N,0.6172,0.6669,1.0867,7.895,0.3677,32.1969,1.7753,1.1103,0.325,13.1711,4.7208,0.5557,0.4601,0.8413,0.1622,0.4733,0.0,0.1957,0.1713,0.1478,1.3241,1.603,9.0302,6.8391,51.6411,13.2914,1.4269,0.3751,1.1801,24.8358,0.2871,5.1522,10.0666,72.0453,1.7338,63.282,4.1632,25.7473,25.0292,9.5702,4.3085,22.93,4.8386,4.2448,0.0,151.4086,0.0,0.0001,0.0175,0.0907,0.0
SEN_O,0.15,0.0228,0.0008,0.0145,0.0005,0.5514,0.0756,0.0118,0.0151,0.0007,0.0369,0.0062,0.0044,0.0507,0.0433,0.0436,0.0004,0.0093,0.0012,0.0001,0.0016,0.0132,0.083,0.0486,0.1677,0.0444,0.0545,0.0019,0.0061,0.0154,0.0001,0.1163,0.0059,0.0415,0.0039,0.0181,0.0029,0.0668,0.0155,0.0681,0.0398,0.0516,0.0025,0.0037,0.0,4.5654,0.1371,1557.8532,0.4298,0.2021,0.0
SEN_P,0.0485,0.5392,0.0716,0.3733,0.0021,0.3631,0.0401,0.0284,0.0032,0.3217,0.1204,0.0469,0.0236,0.0067,0.0154,0.0374,0.0001,0.0372,0.0031,0.0,0.0468,0.0457,0.0092,1.0305,0.6446,0.8974,0.1677,0.095,0.1625,1.5757,0.0012,0.0869,0.9385,4.3408,0.2438,0.663,0.0348,2.3117,0.5453,0.2104,0.8546,0.6621,0.3272,0.4876,0.0,78.4336,35.7871,896.387,0.1091,0.0474,0.0
SEN_Q,0.0847,0.0106,0.0004,0.0069,0.0002,0.2679,0.036,0.015,0.0071,0.0004,0.0172,0.0008,0.002,0.0247,0.0007,0.0025,0.0002,0.0043,0.0006,0.0,0.0007,0.0089,0.0391,0.0071,0.1139,0.0224,0.0257,0.0009,0.0028,0.0077,0.0,0.0596,0.0027,0.0195,0.0018,0.0094,0.0022,0.0303,0.0073,0.0375,0.0189,5.0837,0.0012,0.0018,0.0,149.2432,133.055,227.8081,0.4824,0.1045,0.0
SEN_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2622,0.0,0.0,0.0,0.0,0.0,0.1064,0.0,0.6406,0.0,0.0,0.0,1.8555,0.0,0.0,0.0874,0.8908,1.0472,0.1375,0.0,16.7761,1.1095,19.9842,0.0,0.0002,0.0
SEN_S,0.0,0.0,0.0,0.0,0.0,0.0,0.1725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8711,0.0,0.0,0.0,0.0,0.0,0.1368,0.0,1.7512,0.0,0.0,0.0,3.6557,0.0,0.0,0.1381,5.0337,0.3848,0.9997,0.0,24.1982,8.1925,26.1611,0.0,0.0,0.0
SEN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.967,0.0,0.0,0.0,0.0,0.0
