V1,TUR_A01_02,TUR_A03,TUR_B05_06,TUR_B07_08,TUR_B09,TUR_C10T12,TUR_C13T15,TUR_C16,TUR_C17_18,TUR_C19,TUR_C20,TUR_C21,TUR_C22,TUR_C23,TUR_C24,TUR_C25,TUR_C26,TUR_C27,TUR_C28,TUR_C29,TUR_C30,TUR_C31T33,TUR_D,TUR_E,TUR_F,TUR_G,TUR_H49,TUR_H50,TUR_H51,TUR_H52,TUR_H53,TUR_I,TUR_J58T60,TUR_J61,TUR_J62_63,TUR_K,TUR_L,TUR_M,TUR_N,TUR_O,TUR_P,TUR_Q,TUR_R,TUR_S,TUR_T,TUR_HFCE,TUR_NPISH,TUR_GGFC,TUR_GFCF,TUR_INVNT,TUR_DPABR
TUR_J58T60,5.0686,0.083,0.7694,1.7226,0.3333,114.8487,41.6654,3.4439,85.2575,5.4126,46.3383,5.1556,14.2562,25.2136,15.2997,18.5085,24.3225,75.015,24.5719,27.2705,2.2193,32.5154,7.5966,3.455,41.9772,604.4984,22.5202,1.6148,5.0094,19.5623,14.046,44.7319,1305.6321,204.0019,65.1639,145.2379,11.4122,1517.1272,101.4977,111.1293,114.3262,25.8961,40.9733,49.8722,0.0,1570.8357,0.001,696.8171,178.6129,3.4195,0.0
TUR_J61,47.6854,3.4564,1.9588,3.8811,1.799,70.8339,90.0169,6.7769,24.7834,2.8211,22.583,8.3632,25.6541,31.1055,19.2705,38.882,5.7751,18.5338,42.4679,29.0077,3.5016,37.4567,25.7445,24.6862,164.5731,865.7073,104.9423,10.0599,14.9457,39.1661,18.3036,96.6153,46.6434,2461.4141,80.2584,420.4783,32.7466,223.0067,138.7112,345.5544,61.2965,117.2491,41.338,166.4529,0.0,9129.8084,0.0,12.106,333.9674,2.8646,0.0
TUR_J62_63,7.6769,0.0891,7.0169,1.5649,1.7153,183.1299,147.7648,21.5374,52.9142,16.6863,78.9402,11.3576,76.758,68.7588,161.4468,58.11,9.9565,42.9712,42.9757,80.1011,12.3722,101.9823,237.0729,125.4759,146.3904,1325.7508,190.8518,23.9564,15.8008,50.8759,14.9557,73.8526,104.6919,146.224,345.473,465.309,13.1717,272.2874,384.2701,61.1374,37.667,726.5236,33.5463,200.5924,0.0,1035.0375,0.1323,90.9374,3513.0158,3.3159,0.0
TUR_K,160.5587,5.8928,51.8881,38.4758,12.0344,841.7058,705.7314,83.4644,181.1037,182.5443,249.1273,60.0935,243.1003,466.7336,517.9184,315.1269,62.6205,353.8987,297.1286,410.3346,61.0997,380.5959,1518.2386,166.6567,1889.6914,3353.0033,1337.716,82.7813,440.2238,287.4827,54.6171,393.2721,76.7335,322.022,83.7276,5968.4998,1032.5516,494.4607,563.9929,488.0642,323.8999,355.3327,294.2074,318.6207,0.0,13643.3874,0.0,16.1399,198.2763,7.9421,0.0
TUR_L,27.6798,1.824,8.875,10.413,2.3147,314.7949,1028.9217,35.4109,215.3171,51.1099,102.3471,27.9263,169.8873,168.8827,109.7143,207.2763,15.0941,89.8155,154.9323,45.8658,19.9787,287.4335,212.2122,76.7272,632.5611,6789.4214,503.3685,22.2847,102.6421,529.3654,232.0183,2016.0257,140.912,440.2825,96.2778,1256.0061,919.6261,753.1902,360.0902,392.0438,371.9923,647.6656,270.3315,316.4777,0.0,54883.7632,0.014,1.6676,24.0757,0.6896,0.0
TUR_M,275.0602,6.6692,31.8588,19.2319,36.0492,709.6543,474.91,63.0027,281.3306,86.5362,349.1403,77.1561,189.5118,326.631,163.1589,280.1728,71.1608,322.1313,232.8851,287.7633,50.6701,330.9657,291.1588,135.47,5256.2137,4870.4237,664.148,27.768,224.8633,201.4606,58.633,522.9762,378.145,559.5053,354.7261,1557.7724,334.3947,4867.5659,605.202,923.4368,145.9669,658.5098,555.1267,936.4128,0.0,3223.9146,52.1782,367.9078,3517.3468,4.5383,0.0
TUR_N,147.3632,1.7819,38.6367,16.057,25.1924,682.3576,523.656,48.6131,151.1667,25.3872,165.7468,263.4797,185.5339,402.435,206.3413,261.1503,28.3951,160.1171,216.5151,273.8114,56.702,237.0775,320.2753,951.9104,2242.5715,3184.8062,839.3271,59.0169,459.5271,512.2315,222.6464,491.3451,222.7284,912.5819,117.0698,650.4782,1206.9605,869.7947,2329.3158,3108.8472,819.1503,1766.1424,769.7528,432.2398,0.0,9395.981,0.2629,51.4772,986.3459,10.7053,0.0
TUR_O,130.9889,1.8903,5.4098,11.3759,1.9458,152.3582,130.7568,13.0598,79.7922,14.6046,54.9949,7.8555,41.3428,63.9528,81.3369,65.2099,11.3351,34.6046,35.851,35.8732,7.3191,52.5197,220.9179,87.9163,367.421,1097.1522,326.8074,60.2421,85.5445,170.1836,46.3885,226.4833,54.7568,133.3969,39.4781,428.2598,161.6149,261.6886,90.7762,538.9361,205.6569,185.3618,110.9601,66.4947,0.0,6248.8586,7.8437,46399.2651,1030.5966,3.8272,0.0
TUR_P,1.4758,0.0217,1.0199,0.2886,0.3073,21.6861,9.4117,0.694,10.9674,3.827,7.1348,10.9955,7.3446,10.5201,7.0533,7.27,4.6325,13.9858,10.0499,37.0524,2.317,9.1219,8.5956,4.1572,11.8387,155.0515,18.7158,1.3469,76.3158,9.8967,2.3209,11.7887,8.6795,13.8409,14.2977,153.8873,6.2383,162.0169,48.8206,738.322,515.996,32.0453,29.5469,45.2737,0.0,8888.6815,149.208,27932.8011,2690.782,0.4375,0.0
TUR_Q,15.6607,0.0022,0.5371,9.514,0.2556,1.8847,2.4802,0.7873,3.4197,1.4188,6.0718,0.6139,0.8528,7.2814,14.0633,7.457,0.5819,3.4181,7.4771,3.3446,0.132,2.6892,1.6886,1.1451,3.0165,11.4531,19.5129,0.1831,4.7591,0.5747,0.5783,0.8289,0.7082,2.2728,2.3272,20.2486,20.6297,4.3663,3.3599,16.6458,17.915,1940.4383,10.9054,26.4117,0.0,6880.5596,207.4447,26223.8853,22.4576,0.0426,0.0
TUR_R,0.1585,0.0,0.4546,0.3287,0.0545,40.4038,0.9343,0.0,9.9943,3.7767,8.7154,3.9396,5.4563,7.5367,2.7145,7.0883,0.9236,2.1876,1.8866,6.3397,1.023,4.0149,2.6348,0.2031,2.4696,130.5206,10.8287,4.5194,14.2431,2.1778,2.3625,103.2503,214.2823,85.7658,10.625,3.702,4.5677,210.4154,69.3615,12.4105,10.1018,32.5588,1393.5976,0.386,0.0,8038.8315,0.0,2584.526,107.7181,0.1715,0.0
TUR_S,21.7594,2.8987,0.8837,1.676,0.602,35.1629,47.7962,3.9796,11.7093,6.6073,11.2727,2.5083,14.7918,15.5837,16.0238,26.3705,1.0597,8.6811,12.1538,16.0013,1.8223,15.9468,14.0517,15.8179,38.1277,419.8742,76.8491,23.5807,9.9782,46.8679,6.4475,94.6834,8.8327,31.5792,16.754,65.3074,20.4793,91.9336,174.2666,13.7299,26.8079,38.8721,13.062,337.5377,0.0,8643.8717,2243.4993,1507.0233,1422.8267,0.1622,0.0
TUR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.5345,0.0,0.0,0.0,0.0,0.0
