V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T,CMR_HFCE,CMR_NPISH,CMR_GGFC,CMR_GFCF,CMR_INVNT,CMR_DPABR
CMR_C20,18.1715,0.0272,2.8001,1.1736,0.5801,24.6974,8.8693,1.5462,5.33,0.0525,17.9228,1.1841,6.0496,0.5094,1.0163,0.1259,0.0038,0.9277,0.9645,0.0028,0.0016,5.0981,0.0574,4.2313,5.9401,3.6805,1.4682,0.3899,0.6235,1.957,0.2584,0.0848,2.7084,0.7748,1.1883,0.0601,0.0452,1.9395,1.123,0.3384,1.9957,1.3094,1.8734,3.0433,0.0,78.5912,0.0,0.0,0.0,2.4031,0.0
CMR_C21,1.7993,0.0114,0.1503,0.0993,0.0251,4.2926,0.5054,0.133,0.3015,0.0053,2.6802,8.5337,0.2441,0.0287,0.0912,0.0094,0.0003,0.048,0.1137,0.0001,0.0001,0.3708,0.007,0.2768,0.4466,0.2819,0.1866,0.1456,0.1276,0.3145,0.1114,0.0119,0.1545,0.1696,0.201,0.013,0.0037,0.6144,0.1311,0.2002,0.7203,2.7464,0.3141,0.4976,0.0,56.0543,0.0,8.5518,0.0,0.6577,0.0
CMR_C22,2.7583,0.1366,10.5744,0.2072,2.4932,12.4594,1.5493,0.3159,0.3799,0.0326,0.8806,0.1647,0.3263,0.0884,0.0297,0.007,0.103,0.0023,0.0037,0.0532,0.0243,0.6171,0.0683,0.3383,1.7793,4.2782,3.4266,0.3036,0.4056,1.8589,0.4504,0.5715,0.9155,0.8704,0.8306,0.1228,0.1356,0.6597,0.4341,1.0209,0.4644,0.1291,0.1702,0.171,0.0,12.606,0.0,0.0,4.2208,0.5207,0.0
CMR_C23,10.9971,0.0815,10.9275,1.0112,2.5222,2.4222,0.0702,3.4012,0.056,0.0144,0.1273,0.0276,0.628,75.4917,0.6219,0.0774,0.0015,0.0022,0.0027,0.0397,0.0181,0.5594,0.1638,2.3973,154.7436,1.8224,3.3126,1.0857,1.5661,4.6882,0.6138,0.8776,1.1482,1.442,0.9736,0.2132,0.6568,1.0643,0.0734,1.4354,0.796,0.0696,0.7458,8.6631,0.0,69.3631,0.0,0.0,47.5726,3.3723,0.0
CMR_C24,0.7401,0.0177,4.9718,0.0777,1.1625,2.6657,0.9383,0.4787,0.1725,0.0122,0.2851,0.0165,0.1766,0.2197,19.0312,2.0056,0.2377,0.1102,0.1296,0.0631,0.0301,1.8295,0.1735,1.8991,14.3483,1.1349,0.6665,0.2685,0.2814,0.7689,0.0145,0.5989,0.5422,0.3847,0.2535,0.0512,0.1293,2.0212,0.4409,0.0037,0.2252,0.0155,0.0223,0.2556,0.0,2.6208,0.0,0.0,13.35,1.8244,0.0
CMR_C25,0.5508,0.0083,1.605,0.0356,0.3464,1.0955,0.4272,0.2094,0.0284,0.0041,0.0493,0.0062,0.0336,0.0442,0.3763,0.1546,0.0316,0.0078,0.0237,0.0208,0.0125,0.291,0.0443,0.4104,5.1507,0.4712,0.2398,0.0826,0.0612,0.3998,0.0379,0.2853,0.1343,0.1944,0.1261,0.0206,0.0708,0.7319,0.2434,0.0031,0.1248,0.01,0.0176,0.1207,0.0,3.0961,0.0,0.0,10.7585,0.1151,0.0
CMR_C26,0.0016,0.0,0.0498,0.2253,0.0127,0.0178,0.0033,0.0005,0.0016,0.0003,0.0026,0.0005,0.0003,0.0045,0.0005,0.0002,0.0898,0.0,0.0,0.0,0.0,0.2415,0.0756,0.0036,0.0102,0.0014,0.0057,0.0016,0.0038,0.0099,0.0025,0.0002,0.1264,0.4533,0.3329,0.0409,0.0001,0.0453,0.0123,0.1576,0.0126,0.046,0.0029,0.0243,0.0,2.1653,0.0,0.0,6.5068,0.0957,0.0
CMR_C27,0.3732,0.0002,0.3205,0.0355,0.0582,0.7251,0.0166,0.0244,0.043,0.0007,0.0219,0.0029,0.0116,0.1211,0.013,0.0024,0.0013,0.0214,0.0131,0.0,0.0,0.0932,0.324,0.0856,1.0659,0.0714,0.2222,0.0489,0.0534,0.2468,0.0278,0.0055,0.1126,0.3764,0.1667,0.2357,0.0077,0.3966,0.1582,0.2891,0.0074,0.0547,0.0125,0.0403,0.0,1.5398,0.0,0.0,7.5949,0.1037,0.0
CMR_C28,0.5544,0.0002,0.4646,0.0687,0.082,0.7696,0.0195,0.0273,0.0453,0.0008,0.0194,0.003,0.0096,0.1243,0.0068,0.0015,0.0002,0.0015,0.0153,0.0,0.0,0.0515,0.087,0.0598,0.2892,0.0266,0.0839,0.0386,0.043,0.1238,0.0167,0.0015,0.0428,0.061,0.0487,0.0854,0.0019,0.1387,0.1109,0.1208,0.0026,0.0225,0.0035,0.0124,0.0,0.1954,0.0,0.0,17.0827,0.183,0.0
CMR_C29,0.0058,0.0017,0.0008,0.0012,0.0002,0.1016,0.0,0.0021,0.0003,0.0,0.0031,0.0004,0.001,0.0015,0.0043,0.0009,0.0,0.0,0.0001,0.1979,0.0,0.0,0.0001,0.0199,0.1259,0.1434,0.3685,0.0139,0.0404,0.1295,0.0204,0.0001,0.0002,0.0003,0.0002,0.0001,0.0,0.0228,0.0001,0.0184,0.0035,0.0003,0.0,0.0002,0.0,5.834,0.0,0.0,11.2971,0.172,0.0
CMR_C30,0.0119,0.0083,0.004,0.0039,0.0006,0.1607,0.0,0.0044,0.0007,0.0,0.0064,0.001,0.0018,0.003,0.0025,0.0007,0.0,0.0,0.0002,0.0,0.7357,0.0,0.0001,0.034,0.3005,0.0,0.5398,0.1693,0.9853,0.2397,0.0602,0.0002,0.0004,0.0005,0.0006,0.0003,0.0,0.0552,0.0002,0.0988,0.0088,0.001,0.0,0.0006,0.0,6.0503,0.0,0.0,37.3429,-34.9947,0.0
CMR_C31T33,4.6216,0.0462,0.4217,0.1443,0.0775,4.4353,1.2885,4.972,0.0864,0.0225,0.0904,0.0101,0.0751,0.2,0.0579,0.0054,0.0102,0.117,0.2362,0.4348,0.3032,0.7967,0.5027,0.2573,9.7616,3.3353,2.0428,0.1856,0.4879,0.7225,0.1294,0.3295,0.4441,1.1383,0.4138,0.1034,0.2206,1.5101,3.4757,5.1534,1.64,0.9759,1.7641,0.3201,0.0,211.8005,0.0,0.0,150.973,-10.9796,0.0
CMR_D,4.259,0.0216,0.8131,0.1575,0.1081,34.2773,16.3968,2.6645,0.801,0.0635,0.8079,0.07,1.4592,9.704,3.9832,0.2796,0.0004,0.0188,0.0392,0.0323,0.0203,3.9759,22.8411,4.7085,2.2431,16.3259,2.4994,0.2015,0.4604,3.2476,0.4888,6.4702,1.9681,6.5692,2.4462,2.6593,3.594,9.1025,1.3354,110.2179,5.8632,9.8666,3.0872,4.2543,0.0,313.8706,0.0,0.0,74.0957,0.0,0.0
CMR_E,3.5322,0.0014,0.0215,0.0018,0.0029,0.7217,0.1924,0.0143,0.009,0.0045,0.006,0.0008,0.0018,0.0016,0.0014,0.0001,0.0,0.0012,0.0017,0.0059,0.0048,0.1891,0.0127,0.0393,0.0883,0.4997,0.0686,0.0183,0.0254,0.1308,0.0132,0.2565,0.0144,0.0185,0.0179,0.1025,0.0293,0.2914,0.2792,3.4107,26.8861,2.1572,0.1353,0.0931,0.0,244.8962,0.0,0.0,0.0,0.0,0.0
CMR_F,15.4556,0.5664,1.421,0.0946,0.3089,0.6291,0.2076,0.3662,0.0652,0.0632,0.0853,0.0146,0.0307,1.1885,0.0129,0.0016,0.0001,0.0008,0.0017,0.0347,0.02,0.5702,0.343,0.0471,26.2153,0.6027,0.9971,0.0465,0.1046,0.265,0.0609,0.0482,0.0263,0.0404,0.025,0.0385,0.2034,0.0414,0.3333,0.6425,0.9588,0.1368,0.0379,0.192,0.0,15.7486,0.0,0.0,3522.1373,0.1385,0.0
CMR_G,137.0524,14.7998,55.9777,11.3074,10.1585,366.4695,68.2355,59.4893,13.4088,23.5454,24.2123,11.6415,6.7242,19.4562,11.598,1.9173,1.0156,1.6101,2.8169,3.9358,3.1792,29.0652,9.448,8.3848,242.4252,180.4209,126.8806,15.5087,30.1763,29.5339,8.6587,155.4287,12.3798,12.6724,9.198,5.0017,4.1351,27.3012,48.4089,78.2918,12.7392,22.5115,16.5956,28.0097,0.0,2153.3885,0.9533,12.5515,360.6757,42.3477,0.0
CMR_H49,159.9767,0.744,12.8277,0.4164,1.6791,38.3768,13.5068,25.7864,1.428,10.4287,1.7017,0.4587,0.4663,2.5626,1.6054,0.2473,0.0553,0.1096,0.2025,0.3545,0.2957,4.7231,2.9884,1.3378,42.3521,110.8386,5.6529,1.1189,1.7562,3.212,0.6613,13.7724,2.1085,1.7418,1.7679,15.6615,7.3039,19.3548,3.7983,39.5521,2.8848,2.3618,3.1267,2.5272,0.0,1507.5434,0.013,0.2864,33.3012,6.4701,0.0
CMR_H50,30.1246,0.2667,2.8216,0.1149,0.3936,4.9736,2.5809,5.3274,0.3493,2.4924,0.4204,0.157,0.1237,0.6093,0.3323,0.048,0.0173,0.0216,0.0343,0.0441,0.032,0.6956,0.457,0.2455,4.6013,19.9445,1.2117,1.44,0.5214,1.3125,0.2951,1.8204,0.351,0.3508,0.2931,1.6778,1.5448,2.6285,0.5567,4.9066,0.2698,0.2967,0.4677,0.3958,0.0,155.5027,0.0019,0.1212,7.1516,7.2329,0.0
CMR_H51,13.1664,0.2309,2.3332,0.1171,0.3868,4.6893,2.0558,2.0335,0.2753,1.3232,0.4705,0.1988,0.1283,0.674,0.3295,0.051,0.0215,0.0235,0.0347,0.0433,0.0294,0.6526,0.4992,0.2705,4.9538,14.6624,1.1249,0.3436,1.0512,0.7905,0.2297,2.1467,0.5175,0.6196,0.7052,8.9504,2.3061,6.5998,3.8328,13.6797,0.6471,0.4859,0.6857,0.4815,0.0,356.8222,0.002,0.1554,8.3029,9.998,0.0
CMR_H52,165.1522,0.3608,6.7587,0.1929,1.245,19.8898,12.3604,22.1952,1.2025,5.8893,0.6127,0.1304,0.2982,0.7369,0.4947,0.0731,0.0099,0.0306,0.0607,0.0666,0.0555,2.5695,0.8544,0.8771,17.8789,197.8493,6.0801,3.399,4.9368,11.6039,0.4791,4.3379,1.7721,2.0666,1.2754,16.8106,9.3404,17.4995,1.5468,34.881,0.9963,1.0982,2.2125,0.93,0.0,496.1627,0.0024,0.0515,6.0719,1.6209,0.0
CMR_H53,23.6635,0.0253,1.0864,0.0235,0.1987,2.161,2.1354,2.8014,0.1613,0.4868,0.0491,0.0126,0.0353,0.0357,0.0295,0.0063,0.0,0.0018,0.0049,0.0001,0.0001,0.2924,0.1433,0.239,2.3731,47.7938,0.4081,0.1088,0.1827,0.8048,1.1128,1.0146,0.9554,1.4248,0.6751,24.7316,6.1863,9.7871,0.5661,25.6975,0.8662,0.8078,0.9816,0.2898,0.0,213.1096,0.0,0.0009,0.0,0.2158,0.0
CMR_I,14.16,2.0697,6.0074,0.842,1.3058,17.8544,77.2575,5.4667,4.1488,0.2164,4.4473,1.171,1.0233,1.9097,0.9059,0.1624,0.2888,0.0947,0.2278,0.0018,0.0016,17.6792,6.0852,1.2556,60.2825,391.1673,55.4655,9.5725,71.9462,46.55,12.1328,14.7332,7.935,8.979,9.5634,26.7096,119.9768,35.5493,16.6475,34.6431,35.4744,6.8149,8.3916,15.4295,0.0,1742.1589,0.0,0.0,0.0,0.0033,0.0
CMR_J58T60,0.1673,0.0014,0.2535,0.0058,0.0385,1.1137,0.315,0.096,0.0739,0.0113,0.0923,0.0241,0.0419,0.0765,0.0083,0.0017,0.0,0.0059,0.0121,0.0,0.0,0.1354,0.0294,0.0212,0.9899,3.6299,0.3037,0.086,0.2514,0.513,0.1268,0.5056,4.9273,1.8027,1.1729,0.3872,2.7537,2.7042,0.923,4.1118,2.7011,1.3792,0.5554,0.1601,0.0,234.549,0.0,0.0,38.0919,0.5401,0.0
CMR_J61,0.5061,0.0033,0.586,0.0176,0.1111,1.4714,0.7895,0.2173,0.0842,0.0162,0.111,0.0251,0.0914,0.1715,0.021,0.0048,0.0001,0.0104,0.026,0.0001,0.0,0.2828,0.0684,0.0549,3.5056,6.0925,1.1523,0.2077,0.4307,1.3633,0.389,0.9017,0.4515,4.4377,0.619,0.9843,5.9654,2.3928,1.6258,7.5375,1.8643,3.2322,0.4004,0.254,0.0,400.4398,0.0,0.0,24.1066,0.2776,0.0
CMR_J62_63,0.7471,0.004,1.1828,0.041,0.1842,2.3388,1.7278,0.3386,0.1827,0.0381,0.3006,0.0692,0.1704,0.3365,0.0555,0.0094,0.0002,0.0263,0.0538,0.0001,0.0001,0.6185,0.2019,0.1257,5.5251,11.8692,1.6978,0.4496,1.5742,2.8746,0.7022,0.8168,2.2244,3.524,8.7949,3.0534,9.8758,7.5305,2.0583,17.0971,4.4117,6.4158,1.0202,0.4508,0.0,185.899,0.0,0.0,134.1764,1.0326,0.0
CMR_K,5.2789,0.8417,2.6299,0.3158,0.3703,13.4869,2.7117,3.8777,2.6688,0.8172,1.5422,0.3329,0.4444,1.1801,0.5584,0.0782,0.0143,0.1036,0.2204,0.0719,0.0483,0.517,17.2087,1.1154,15.9092,105.338,21.4351,6.4076,9.7544,21.9692,2.3105,6.1981,4.7443,9.663,7.6664,66.138,57.9813,37.799,4.5799,10.6649,7.1962,0.7485,9.2109,0.2249,0.0,224.7205,0.0008,46.4937,4.5397,0.5016,0.0
CMR_L,2.0158,0.0131,3.477,0.7933,0.6144,9.8439,1.1854,2.3635,0.4797,0.2074,0.4639,0.1073,0.1632,0.307,0.1213,0.0298,0.0001,0.024,0.0569,1.051,0.8175,2.7546,4.596,0.3105,11.069,136.9024,9.4122,1.6221,3.0924,19.5399,2.0524,7.303,8.5883,20.0062,13.9542,14.1371,1.1699,6.3729,0.1189,0.2279,0.8857,0.3906,3.9205,0.1445,0.0,1456.0809,0.0,0.0,0.0,0.0079,0.0
CMR_M,23.7819,0.8999,19.8793,1.2135,4.184,56.3406,0.6064,3.9599,3.657,0.4175,1.2568,0.4256,1.3415,6.1673,0.649,0.1056,0.0011,0.0739,0.1491,0.0142,0.0103,2.3361,6.9893,1.0957,24.5068,87.0136,10.9701,3.3321,5.7408,16.5441,1.7188,4.8676,35.521,45.5678,48.2028,29.1569,4.5125,18.0413,61.2031,232.8066,104.1496,15.021,13.5431,5.8566,0.0,16.8778,0.0,0.0,282.9828,0.8682,0.0
CMR_N,5.8661,0.0506,9.8763,0.5049,1.8744,8.175,4.2594,0.6368,1.8783,0.0193,0.3347,0.0914,0.9589,0.4678,0.0526,0.01,0.0001,0.0056,0.011,0.0005,0.0004,0.7543,4.842,0.0611,7.2443,7.5321,4.7951,1.8922,4.0434,6.8209,0.8402,0.5148,3.8636,6.3656,6.1632,11.2568,1.6416,15.3645,0.0012,176.9787,20.1051,2.2671,0.4014,0.3875,0.0,4.4757,0.0,0.0,1.3471,1.4051,0.0
CMR_O,0.2777,0.0092,0.0603,0.0254,0.0104,1.1089,0.0413,0.0193,0.0063,0.0002,0.0062,0.0013,0.0066,0.0054,0.0004,0.0001,0.0,0.0001,0.0002,0.0034,0.0,0.002,0.0056,0.0081,0.0385,0.2176,0.2946,0.0082,0.0253,0.0406,0.0151,0.1913,0.0336,0.0465,0.0609,0.0114,0.0004,0.009,0.0729,0.2729,0.0227,0.0613,0.0051,0.0635,0.0,20.5772,2.6268,3188.7662,1.9918,-0.0335,0.0
CMR_P,0.9741,0.024,0.0168,0.003,0.0029,1.0811,0.0364,1.3199,0.0097,0.0047,0.0376,0.0136,0.0221,0.0347,0.0147,0.0017,0.0,0.0013,0.0024,0.0012,0.0009,1.1829,0.034,0.0048,8.8715,2.5378,0.1368,0.0412,0.137,0.1793,0.0366,0.1679,1.1235,1.6652,2.2774,0.2372,0.1725,0.0845,0.132,4.5544,0.0478,0.0062,0.0107,0.0285,0.0,675.7763,109.8324,762.6266,8.3583,0.3915,0.0
CMR_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0165,0.0,0.0,0.0,384.1352,24.1417,95.5745,0.0,0.0,0.0
CMR_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1104,0.0,0.0,276.4083,0.0,47.3552,0.0,0.1338,0.0
CMR_S,1.4271,0.3848,0.0,1.4743,0.0,0.793,5.5194,1.2286,0.0048,0.0,0.0044,0.001,0.0016,0.2393,0.0012,0.0002,0.0,0.0,0.0,0.0,0.0,0.1568,0.0,0.0231,9.4889,7.7364,5.9825,1.7201,3.7867,7.9464,1.4922,0.1685,1.0691,0.9158,1.002,12.9334,0.2246,8.179,2.5004,0.5746,0.1864,0.001,0.7122,10.593,0.0,192.6936,516.5147,0.0,0.0,0.0012,0.0
CMR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9083,0.0,0.0,0.0,0.0,0.0
