V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T,HRV_HFCE,HRV_NPISH,HRV_GGFC,HRV_GFCF,HRV_INVNT,HRV_DPABR
HRV_C22,15.6723,7.2212,0.0687,0.7838,0.0915,77.0374,12.0608,6.4886,10.5182,3.6089,8.3309,10.7625,65.6783,57.2718,0.724,11.9322,1.5842,15.3481,11.4596,2.4785,16.5096,7.1299,4.0762,4.3567,60.0553,29.364,18.3743,0.7954,0.1329,3.4971,0.7775,6.4413,0.9268,0.655,3.8375,39.8752,9.8235,9.6201,4.4428,10.0576,1.4629,5.7548,2.0027,2.593,0.0,71.7684,0.9184,12.3557,69.9945,11.7976,0.0
HRV_C23,6.4423,12.4025,1.2323,6.3185,2.4356,35.8909,3.7412,6.2393,1.7245,1.0562,3.064,9.6688,6.184,44.9037,1.0071,10.7261,1.2409,10.1917,3.1009,0.7658,5.8112,4.1628,2.8988,7.7971,420.1471,25.9682,2.5593,0.5551,0.1211,6.3651,0.0407,12.9704,0.3236,0.2232,0.7965,1.1843,4.2127,16.9068,1.6148,12.7564,1.1722,6.3423,5.1479,24.4431,0.0,153.6154,0.338,2.5312,19.4002,17.2136,0.0
HRV_C24,0.0152,0.0,0.0439,0.046,0.0528,0.2765,0.0,0.2236,0.3034,0.0,0.2334,0.2151,16.6958,1.1962,19.7316,56.7743,0.165,14.2087,9.8301,0.5801,3.8492,14.2144,0.3586,15.6281,37.1576,1.2912,1.9874,0.0856,0.0,0.481,0.0,0.2311,0.0957,0.0,0.0,0.0,2.243,1.9544,0.0179,0.0005,0.0551,0.0249,0.0824,0.0275,0.0,0.1188,0.0,0.0,0.0,1.6464,0.0
HRV_C25,13.9513,1.5214,0.4092,0.5266,0.3108,55.8178,6.8888,4.6467,16.9041,3.7677,3.5462,5.3705,5.146,10.3585,3.7565,116.9541,3.3906,39.255,36.5589,8.4682,49.3387,23.1231,12.0569,5.4963,115.6276,102.8164,31.7241,11.9165,2.3479,9.9163,0.6251,19.4939,11.3374,14.0571,18.7966,48.0566,9.3261,29.6201,15.4583,22.4349,4.1667,10.4933,10.8455,10.1104,0.0,166.6624,7.486,6.6257,283.1077,27.1619,0.0
HRV_C26,6.6006,0.9074,0.1207,0.2181,0.1592,9.9978,2.4967,1.2374,2.0812,2.7415,1.6086,1.8956,1.6102,3.1981,0.4688,4.0294,11.5716,10.4769,5.374,0.4745,5.4996,12.3513,7.9112,1.9447,12.9177,13.1588,9.1537,2.193,2.1314,2.3401,0.1353,9.0384,1.1888,8.3562,11.4069,2.4249,2.5449,8.8012,3.6043,9.1627,2.3389,7.1661,2.1445,4.1226,0.0,81.5865,3.3299,17.3536,80.3764,5.9342,0.0
HRV_C27,2.6246,0.3184,0.0383,0.0812,0.0551,4.4075,0.961,0.523,0.9914,0.924,0.5611,0.6555,1.1266,2.2519,0.2287,3.5489,11.33,42.1067,23.7936,1.7631,13.2767,22.1258,9.9334,1.7264,41.5018,33.9527,6.4933,27.2511,0.5319,4.7844,0.1029,4.022,0.6283,3.6947,7.5749,1.4495,5.9755,6.091,4.429,5.7797,0.8983,2.7377,1.2652,3.1128,0.0,147.0277,5.5083,8.2,163.3653,14.8095,0.0
HRV_C28,7.4138,1.2632,0.2338,0.4853,0.3298,16.109,2.9844,1.9241,2.4327,4.2605,1.926,1.9657,1.9127,2.9567,0.9219,13.3231,1.3037,7.4163,13.5062,2.4156,9.9507,6.5125,6.1692,1.5795,27.7418,31.5954,13.6031,4.0614,0.7275,7.1662,1.2157,9.2826,2.5176,3.5385,3.6891,10.9709,1.8921,7.8029,6.7815,7.9201,1.6987,3.9343,2.7531,2.0471,0.0,146.2534,4.169,34.3623,194.7237,10.2776,0.0
HRV_C29,1.4143,0.3825,0.0146,0.0478,0.0107,4.0465,0.5688,0.199,0.4564,0.1237,0.2958,0.5332,3.2673,2.89,0.0393,0.6649,0.0838,1.1475,2.9242,2.9849,2.9927,0.7183,0.2151,1.3393,4.3756,6.4418,9.6572,0.3432,0.0183,0.834,0.0745,0.6953,0.1951,0.2137,0.3624,2.913,0.5824,1.2033,2.1697,0.7859,0.0724,0.223,0.224,0.1619,0.0,33.3134,0.6546,0.4856,51.8841,3.0715,0.0
HRV_C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.2837,0.0,0.007,16.0729,1.477,0.0,0.0258,0.0695,47.6876,0.0105,0.0316,0.3891,0.0101,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.5611,0.108,10.5497,0.0,0.0,2.3236,0.0,0.0,21.0513,0.0,0.0,398.0475,33.1008,0.0
HRV_C31T33,16.535,1.8282,0.334,0.6022,0.404,29.2803,8.8776,28.6011,6.0309,6.7806,4.0971,4.3398,4.2653,6.2096,1.7471,13.3315,3.6197,10.1176,7.1674,0.7379,6.9243,19.8278,20.2176,3.6814,40.9934,35.9256,19.7796,3.6309,4.9589,8.7139,0.2086,23.8215,3.0748,16.3278,4.2581,6.6124,8.8618,12.2862,4.6386,15.7079,4.0401,81.6545,6.9863,3.8252,0.0,223.4213,4.2746,16.6679,123.2842,12.2918,0.0
HRV_D,18.4144,8.6076,0.9764,5.8629,0.47,61.8514,14.014,9.6117,26.0544,3.628,28.1994,15.5154,6.1372,30.0747,5.2037,9.043,0.6989,6.4564,4.7185,0.5667,2.7667,4.4714,368.1256,11.619,28.0143,484.3955,20.1118,10.878,2.5626,63.9376,1.0618,91.9246,19.1561,43.8161,18.6471,23.0643,77.8427,64.0048,88.4189,168.1162,58.8928,75.3946,54.53,20.5776,0.0,1271.0844,8.9728,21.7679,1.5992,0.3246,0.0
HRV_E,18.92,2.8772,0.1655,0.625,0.2519,16.2146,6.312,2.5377,7.185,6.1705,10.4867,4.4498,6.6684,4.5337,1.4386,4.1162,1.6539,2.7878,2.0184,0.3187,2.1885,2.5166,14.4706,29.5625,17.6569,93.5423,25.9348,1.3191,0.5592,6.3561,0.8284,28.7252,1.6587,1.1378,2.6429,2.8768,38.9568,14.4957,7.5997,18.861,5.991,20.118,15.4534,10.7768,0.0,505.9256,35.8102,27.1963,20.3648,5.2132,0.0
HRV_F,10.3659,2.4302,1.1693,6.3406,1.8505,52.2442,9.0647,9.1161,8.0661,24.3987,7.4552,8.3131,7.5351,24.4846,1.7917,19.2523,1.7005,11.5181,10.8697,0.9231,7.1347,18.3197,34.1113,25.7273,858.8881,63.9968,78.5406,3.9932,10.8876,111.9809,0.7095,18.9609,2.0991,5.214,6.9034,24.2999,106.192,357.2059,9.4049,38.1519,13.9205,20.6712,21.4946,12.5742,0.0,297.7093,14.6487,14.0005,4077.5127,6.6925,0.0
HRV_G,139.0665,18.6543,3.0373,14.4816,6.35,324.2005,81.7924,71.8854,65.5702,54.2533,42.6165,48.2591,51.3216,82.2067,12.5671,97.883,44.3955,67.6652,51.4595,17.9055,67.217,78.5246,131.8528,40.5083,550.7736,298.769,122.5729,23.9295,10.1082,57.3582,4.0132,213.3276,24.3571,29.2341,48.2374,94.0006,64.6492,153.2216,80.0504,274.4565,25.2316,234.9497,46.1457,47.8228,0.0,1963.642,44.9926,426.5909,1217.4654,145.5893,0.0
HRV_H49,12.5319,5.0236,0.6024,1.988,1.3746,45.9591,8.1703,6.8543,8.9109,20.4198,7.1577,4.6999,6.8633,8.5261,2.7665,13.911,2.4645,6.7557,5.8598,1.2013,6.3128,6.2532,18.5039,5.812,45.5496,90.5558,62.0089,2.2045,1.3745,36.4588,7.4559,17.4865,3.8335,2.5876,4.0225,9.3274,6.336,17.1331,32.6105,28.3248,5.5712,11.1064,5.6367,6.0966,0.0,560.6933,13.3516,194.9128,37.5213,0.3798,0.0
HRV_H50,3.9897,0.3612,0.0681,0.188,0.2157,8.3572,2.2768,1.0726,1.5051,3.6007,1.1985,1.0487,1.5056,1.7844,0.4779,2.9043,2.1152,1.7812,1.3327,0.2697,1.663,1.9196,4.9881,0.892,8.9641,6.5351,1.4824,0.6371,1.3178,0.7476,0.0641,7.0863,0.6279,0.4408,2.657,4.5152,1.2554,2.9864,1.9101,4.031,0.7409,3.5846,1.0517,0.9051,0.0,42.0251,1.0609,6.6041,22.7543,21.8092,0.0
HRV_H51,0.65,0.0526,0.0202,0.0429,0.1038,0.3939,0.233,0.0934,0.1365,1.7599,0.1533,0.0506,0.2572,0.1184,0.1094,0.2946,0.1374,0.2425,0.1054,0.0778,0.0936,0.1681,0.5621,0.1608,1.2417,0.3742,0.3403,0.0678,0.0086,0.0104,0.0052,0.7532,0.0488,0.0299,0.0109,0.0452,0.2727,0.1783,0.141,0.2094,0.0105,0.4963,0.0774,0.1163,0.0,0.0104,0.0096,1.0236,2.8622,12.4689,0.0
HRV_H52,6.0779,0.6267,0.2063,0.6841,0.2976,15.6376,3.1618,4.3881,3.7636,4.2939,2.1238,1.7676,1.9332,4.8259,0.6562,4.2938,3.0596,2.5786,2.7709,2.7051,3.3394,5.6643,11.5054,3.856,55.6023,50.2784,196.4682,1.5855,31.6257,24.1176,1.0578,8.2322,1.4215,4.3135,6.263,15.5213,8.1769,24.4793,16.8461,11.3669,1.4218,4.4464,3.1533,2.942,0.0,156.321,9.2615,95.0011,245.74,6.6176,0.0
HRV_H53,3.0036,0.2882,0.0622,0.1172,0.1085,6.8874,1.7561,0.835,1.2945,1.3321,0.8266,0.8908,1.0004,1.4031,0.2953,2.1363,0.9969,1.2249,1.0962,0.1453,1.3379,1.4837,3.864,1.0525,9.8908,13.3708,2.0154,0.7105,0.4132,5.062,0.1661,5.6391,0.8889,11.1318,2.8718,41.676,0.9556,6.6282,4.0921,8.8634,1.0064,3.5752,2.5022,2.7977,0.0,72.9203,0.5198,3.7641,12.2853,2.4202,0.0
HRV_I,0.7772,0.221,0.0755,0.0749,0.045,8.5837,0.9899,0.3439,0.3333,0.2922,0.6782,1.0898,0.2349,0.8377,0.0778,1.2225,0.1614,0.4486,1.1958,0.0333,1.0788,0.9698,3.1371,0.7165,10.1691,30.8538,2.2118,0.0014,2.4121,1.8348,0.3057,5.4422,0.4682,1.0533,5.7345,0.4667,1.4366,9.4233,95.1717,43.2044,4.3271,1.8854,5.2039,10.7884,0.0,1468.9196,0.0444,20.6536,0.3253,0.0,0.0
HRV_J58T60,1.2346,0.0957,0.1444,0.1664,0.1042,28.4071,5.5356,1.2013,40.3121,3.4025,3.3479,6.7797,1.1214,2.9059,0.1971,2.6581,0.8132,2.0335,2.1953,0.1615,4.2162,3.3846,7.0299,0.7115,5.0221,50.6637,1.6212,0.1715,0.046,0.5969,0.0242,3.9504,106.4598,11.1606,15.5865,0.5831,0.3288,14.5825,1.1405,11.6397,2.2962,1.1466,27.667,0.4843,0.0,184.2046,0.9796,119.456,95.5302,0.9706,0.0
HRV_J61,1.0422,0.2318,0.1287,0.0517,0.1127,4.4915,1.1097,0.3555,0.9756,0.4762,0.4604,0.7742,0.3595,0.9344,0.0844,1.1682,0.1173,0.3351,1.0124,0.0395,0.9198,0.8607,2.8815,1.3366,15.1102,72.3168,11.6431,0.1342,1.2449,10.8883,2.5929,6.5526,4.0535,300.1189,19.5348,30.3241,4.1141,27.0543,28.7831,34.628,10.3968,7.0089,15.0283,8.946,0.0,836.4786,0.2251,10.4079,5.4474,0.5231,0.0
HRV_J62_63,9.591,1.2036,0.1547,0.4306,0.2984,20.804,5.479,2.7786,3.9674,4.8593,2.9925,3.3639,3.2647,4.6698,0.9752,6.7283,16.6049,5.6216,3.3014,0.647,4.2435,4.8851,12.166,2.8113,48.4324,29.2525,8.6496,1.815,18.4674,5.8463,0.2523,18.2262,2.3035,1.1141,27.636,47.7868,7.7555,25.3501,13.5657,13.6832,2.9303,9.0589,3.6766,2.7432,0.0,154.7951,7.1819,29.9219,291.6295,8.7195,0.0
HRV_K,36.3762,25.3397,1.3265,9.4338,0.8588,254.7459,50.2224,28.9136,40.0281,110.4541,35.5211,60.4988,18.5994,59.3025,7.0574,63.0576,8.7813,33.957,50.1839,3.8149,65.5544,46.7559,184.3292,28.3629,140.0858,214.7038,32.7624,24.3861,15.4084,50.1244,6.1448,38.8541,3.0055,19.8491,18.2134,220.2722,56.7011,44.9752,65.2899,442.7237,16.3875,13.0499,19.0173,21.3384,0.0,903.1491,30.3094,128.7995,66.3277,0.7873,0.0
HRV_L,7.042,1.9552,0.2808,1.0757,0.253,19.3873,4.5913,2.3702,5.2114,2.4648,4.9321,10.6622,2.1768,6.1192,1.1249,4.0827,0.787,2.3316,2.1704,0.2729,2.8464,2.514,54.2264,5.47,23.6843,161.9369,18.1739,2.1621,2.1781,13.054,1.5074,21.5246,3.5507,13.1572,5.2835,7.0316,30.847,27.9823,19.9643,37.3347,9.9588,42.8049,13.5243,6.103,0.0,4118.922,8.9298,113.5421,30.2071,6.4106,0.0
HRV_M,50.6585,16.1692,2.0296,1.4719,2.3087,120.4471,19.0983,8.6086,13.9312,17.7073,13.071,18.9231,8.9461,18.3849,2.4421,22.4496,5.7844,18.6271,22.7653,1.9412,17.5596,24.2736,40.3477,25.86,146.6897,509.176,48.4894,6.6443,9.7885,27.245,8.5147,100.2681,79.3805,72.4567,40.6457,193.1314,42.3244,447.2539,66.6098,56.6885,30.6558,25.9007,59.5762,50.7824,0.0,259.1477,7.331,301.5334,248.03,16.797,0.0
HRV_N,20.9742,4.5912,0.3724,0.4355,0.5047,40.302,5.7046,4.8683,6.0081,4.6827,3.5253,3.9044,3.2168,5.3605,1.0677,8.3555,2.5697,5.1173,18.0914,0.5909,5.8191,9.3895,15.5094,8.3431,55.4878,96.1113,42.128,3.7203,7.4486,17.2138,1.6185,32.1675,9.1029,7.9612,19.1925,63.1215,14.348,49.0052,301.1837,26.0745,33.3164,15.5843,39.4381,51.2869,0.0,644.8887,31.4323,49.9956,68.9112,7.8144,0.0
HRV_O,5.7362,0.0561,0.0658,0.1298,0.0621,4.3875,0.7867,0.2359,1.8779,0.4589,0.371,0.6349,0.1764,0.8672,0.0472,0.6512,0.1141,0.3086,0.5377,0.0284,1.5662,0.4986,1.3818,2.1876,37.6862,52.1342,2.4134,0.0942,0.7509,4.9794,0.8207,8.7892,22.6451,15.7476,2.3329,31.4694,15.1996,24.0283,6.3619,16.3201,6.824,4.8977,25.5968,8.6874,0.0,251.8813,12.7669,4213.6241,17.6241,0.0387,0.0
HRV_P,14.8849,0.4399,0.1961,0.1806,0.1136,2.7506,0.6425,0.8427,0.96,0.6332,1.1005,1.9436,0.2821,0.6286,0.116,0.7318,0.2749,2.8168,1.0252,0.1382,1.1815,1.6223,4.1368,1.308,3.2123,111.456,5.1118,0.0341,3.516,1.5135,0.1617,16.7115,0.5481,4.387,16.5363,3.0876,1.3371,30.4761,4.4573,106.9243,114.1904,5.6822,3.7735,2.2494,0.0,276.7048,0.1987,1880.2375,41.8703,0.149,0.0
HRV_Q,30.8548,0.2044,0.043,0.0821,0.0587,4.7985,1.0,2.73,2.0875,0.7544,0.519,0.5763,0.5674,0.7543,0.1594,1.1548,0.4954,0.8341,0.5484,0.0981,0.8119,3.953,1.9768,0.5422,4.6248,12.394,2.5854,1.1854,0.0913,0.6019,0.0559,7.269,9.018,2.3534,1.3894,5.6421,1.7837,3.3498,4.36,12.3062,7.8924,51.7628,10.2034,46.9619,0.0,945.3393,21.5444,2370.9731,10.278,1.4608,0.0
HRV_R,3.9676,6.3238,0.0641,0.1463,0.112,10.6096,2.337,1.0708,6.7465,1.6571,1.2679,1.6559,1.1947,1.7488,0.3491,2.528,1.0652,1.6079,39.0042,0.2054,1.8905,1.9733,4.5911,0.8497,10.1817,13.4059,2.3138,0.6705,0.3314,1.8432,0.2505,37.7255,5.6216,5.6491,4.0304,1.9032,1.3983,5.1734,2.3359,5.9109,4.888,7.8036,87.7303,23.5613,0.0,711.2192,88.0596,240.1666,26.4616,2.8703,0.0
HRV_S,4.7822,2.7867,0.1642,0.1605,0.148,15.511,5.8019,0.8929,16.6952,1.44,1.7661,3.0439,0.8312,2.1494,0.2045,2.1469,2.202,2.2461,26.3264,0.2022,2.9705,3.7922,4.6529,2.4395,9.4623,72.799,6.3936,0.6392,0.7969,4.13,0.5688,38.132,15.919,68.7654,30.8962,10.8995,10.3491,18.3636,28.8552,48.4154,14.3012,8.9857,20.927,30.9215,0.0,434.3269,61.7056,52.413,49.1342,1.4308,0.0
HRV_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1768,0.0,0.0,0.0,0.0,0.0
