V1,CHE_A01_02,CHE_A03,CHE_B05_06,CHE_B07_08,CHE_B09,CHE_C10T12,CHE_C13T15,CHE_C16,CHE_C17_18,CHE_C19,CHE_C20,CHE_C21,CHE_C22,CHE_C23,CHE_C24,CHE_C25,CHE_C26,CHE_C27,CHE_C28,CHE_C29,CHE_C30,CHE_C31T33,CHE_D,CHE_E,CHE_F,CHE_G,CHE_H49,CHE_H50,CHE_H51,CHE_H52,CHE_H53,CHE_I,CHE_J58T60,CHE_J61,CHE_J62_63,CHE_K,CHE_L,CHE_M,CHE_N,CHE_O,CHE_P,CHE_Q,CHE_R,CHE_S,CHE_T,CHE_HFCE,CHE_NPISH,CHE_GGFC,CHE_GFCF,CHE_INVNT,CHE_DPABR
CHE_E,35.6865,0.0,54.8621,11.6979,0.0948,119.442,5.534,9.6352,36.9052,5.4663,43.139,96.6587,10.1045,12.5887,73.9858,14.868,54.6072,31.5184,28.3955,1.1656,4.7576,31.3804,390.006,369.9085,41.96,151.5459,31.6389,30.339,7.3297,19.6287,4.9527,61.494,6.0353,13.0748,26.0765,71.5276,25.7296,209.568,75.5327,454.626,35.1873,104.2947,203.3311,105.0532,0.0,1211.1028,0.3968,913.913,32.0797,-0.0001,0.0
CHE_F,142.5958,0.0023,73.7472,21.7792,0.1907,71.6996,9.4449,57.755,26.1386,5.532,30.8138,100.1113,14.5658,106.6346,33.3299,53.7727,225.3588,51.6482,117.7112,2.9822,36.7723,66.1661,1230.8571,87.1368,10380.1821,526.36,234.3465,120.2884,45.772,434.8774,49.1069,452.4849,59.6482,146.5868,101.6831,1008.4039,5044.8354,797.6708,333.6118,1476.9956,162.0546,398.5869,200.3111,319.6883,0.0,2852.7865,0.0,4.3222,55123.343,-0.6071,0.0
CHE_G,1386.9791,1.5602,313.1645,90.9847,0.8227,5169.8192,386.2602,516.6037,520.1271,352.6078,2550.195,10150.1813,803.7692,579.0378,394.597,1384.1323,7735.1181,2590.7703,2662.937,181.746,378.5981,1304.7883,1954.8825,227.9783,4755.0055,33711.0282,2139.736,2566.2309,775.3592,2315.9726,500.7351,2393.7858,268.4653,459.9387,458.631,467.5436,97.995,2238.9111,889.141,3126.7817,246.7764,3620.6915,560.1099,811.7419,0.0,19722.7828,13.7972,545.3987,14038.6424,54.3409,0.0
CHE_H49,148.0926,0.3966,70.5045,23.1985,0.1442,704.7436,37.1923,159.4498,85.598,75.3889,397.1641,1136.8217,129.0706,188.4189,113.7063,158.3402,747.7831,268.9334,324.8314,21.5295,56.8632,206.7514,388.0264,35.4117,844.0031,4868.0895,816.0842,381.6968,110.961,846.4609,19.6494,210.6083,103.9317,35.6359,59.0991,132.19,12.3984,499.034,199.8227,524.0943,287.9897,296.2308,88.6393,156.8997,0.0,5824.288,0.0158,22.7512,906.4305,70.0142,0.0
CHE_H50,39.6328,0.1701,30.475,13.7563,0.0917,166.1174,21.0657,59.5323,44.6076,30.3402,145.6233,264.0333,50.8996,85.0234,57.2355,62.9008,389.1379,121.5604,141.8608,8.8808,32.705,78.3913,111.943,15.7597,165.1611,4553.281,757.5602,5398.805,205.125,970.3881,13.0863,40.6275,42.3161,14.6055,31.2132,60.627,4.4204,174.6409,129.3765,192.2976,68.8739,47.1644,53.3441,68.6993,0.0,2057.9944,0.1136,17.173,315.8884,951.0479,0.0
CHE_H51,20.8312,0.1825,9.85,3.1907,0.0301,102.0216,15.8739,19.5348,14.5182,12.0676,63.3071,178.2027,20.2385,23.1075,19.1875,31.4119,175.44,55.2988,67.6936,5.0577,14.7863,43.8937,63.5384,7.4538,123.3636,619.568,145.5468,170.7429,266.4681,158.2215,5.1002,34.5984,24.9695,8.4936,25.4559,67.9417,2.7334,146.8363,79.9553,155.4423,66.4039,46.6984,35.1709,35.7569,0.0,1412.5525,0.1247,6.7388,239.9726,1037.977,0.0
CHE_H52,27.025,0.0489,47.0102,12.9512,0.066,256.9931,7.4405,22.4168,23.2354,13.8805,77.9838,257.4365,21.8551,54.3079,19.1934,30.0175,182.9192,55.6135,162.0896,7.7849,14.0226,100.9015,88.3559,16.7257,164.9943,3598.8203,1683.5985,3311.2214,883.5437,2493.468,352.2493,41.6162,24.18,17.7298,12.8322,9.1915,3.125,188.0193,70.3268,76.9918,4.3974,54.2587,9.489,15.4494,0.0,499.5026,0.3092,14.5332,166.9487,17.0761,0.0
CHE_H53,0.5704,0.0004,45.6638,11.8982,0.1398,23.5801,1.5132,5.4293,2.7601,0.552,5.274,9.8022,3.4845,6.5002,1.7143,12.5503,28.0977,12.9128,129.7333,0.3569,5.9447,108.5314,166.0456,8.8394,33.9794,685.7997,58.4301,61.7442,17.5437,65.3879,20.8903,20.0568,25.7367,228.5536,79.1294,359.6935,7.8518,385.985,140.3796,201.4626,2.2608,50.4342,52.9658,33.1322,0.0,125.3693,0.0,0.0122,153.2516,10.2716,0.0
CHE_I,2.2534,0.0025,14.4975,2.8118,0.0663,71.0619,3.1162,10.2264,9.2646,3.1904,24.1201,120.6924,7.8371,15.5872,1.5876,7.9445,379.3709,72.6814,55.3118,7.7976,10.0772,76.2187,80.6049,20.5082,182.8401,544.3863,111.4295,83.5897,93.2115,91.1306,2.9524,209.8053,42.0056,30.7975,56.1511,316.8753,13.9134,134.163,95.4825,163.1269,7.6088,30.04,130.7338,208.4721,0.0,15980.7028,9.582,47.0761,14.8371,0.0031,0.0
CHE_J58T60,0.0208,0.0,0.5698,0.3297,0.0006,7.1791,0.168,0.2258,3.1196,0.1291,1.2574,7.5599,0.0595,0.2171,0.4227,0.8503,7.1322,1.6432,2.2166,0.2128,0.8366,5.4786,8.3332,0.9577,2.7919,75.436,3.0349,3.071,1.548,7.7911,2.416,1.6994,95.4204,7.1996,24.4515,40.6368,8.5096,231.0178,81.018,63.7442,27.5096,19.7952,57.4664,42.7857,0.0,300.0118,0.0,0.0,8.957,5.985,0.0
CHE_J61,64.3398,0.0005,5.8949,1.5294,0.0204,47.6455,4.1688,7.8889,10.4878,1.8487,16.0188,64.5476,3.7465,9.553,3.4504,28.0871,157.2762,35.0389,58.29,4.0719,6.5773,62.7271,167.4612,12.5763,79.2902,404.0602,115.5145,81.9498,27.6057,75.494,132.8489,48.6391,134.6637,2628.7276,244.8495,791.6684,132.211,1323.8917,570.7929,386.4052,9.0575,91.9616,175.4358,103.7642,0.0,6493.6567,0.0,0.0595,74.0542,3.937,0.0
CHE_J62_63,2.3768,0.0016,7.5571,2.4404,0.0184,52.6025,5.1542,9.8998,14.0744,2.0373,17.1591,90.6949,1.8387,7.6139,8.9217,21.7108,236.6776,80.4349,81.745,4.1882,48.2087,53.8322,17.0553,6.6541,12.3667,442.5481,194.4734,183.1453,104.5821,124.0387,59.0233,11.5244,43.0922,213.3835,3779.6655,790.5107,34.8213,883.7546,233.4049,266.7091,62.7523,115.9263,44.6648,35.1406,0.0,37.7338,0.212,8.5666,9686.6929,2.355,0.0
CHE_K,126.5253,0.0523,34.0875,10.5346,0.066,690.9316,73.6494,254.0746,101.9696,43.6439,271.9326,833.4808,131.371,129.9222,76.679,539.1542,1098.5775,738.8497,457.7464,24.4274,208.8154,216.8734,661.8268,87.4427,1158.9465,2256.2392,732.9809,717.3904,221.8761,708.0834,170.2661,558.7258,224.591,259.595,533.0993,27352.4681,3699.2786,3404.425,1257.0858,2312.3644,284.0982,638.9425,326.8399,1598.9619,0.0,24745.4563,10.4388,69.2649,699.3827,75.15,0.0
CHE_L,17.2319,0.0,4.5336,1.9631,0.0226,102.0159,1.6832,5.7866,9.9126,3.2863,32.95,47.8318,3.6737,17.0872,8.0463,9.9391,216.8639,14.2702,93.9976,2.0628,5.8029,67.1771,33.3841,7.9138,254.7493,1618.4586,56.8896,36.915,14.7816,147.0525,22.4629,307.32,59.2309,284.1396,80.6385,1225.1786,1286.3428,1405.1846,498.5434,611.3086,32.7949,238.2213,101.3629,166.8677,0.0,62228.1607,0.0,0.4517,27.5402,0.31,0.0
CHE_M,116.3224,0.0014,169.0908,58.294,0.8777,1553.9391,35.9219,80.315,150.8076,42.8734,434.1433,2889.5089,152.701,173.1039,113.9617,251.4335,1294.7367,546.2027,1641.6508,79.509,235.6853,924.9542,4634.26,384.3442,4592.244,5986.8156,1107.4839,1210.5787,298.9124,1093.5588,112.3222,591.2878,670.574,464.0397,1013.5861,9020.2732,4120.8936,29076.1538,3409.6753,2746.3366,152.1615,736.4918,747.9476,944.0464,0.0,4161.6034,133.2605,527.1156,23069.6058,13.2032,0.0
CHE_N,31.2444,0.0,74.5801,24.5524,0.2494,769.5698,17.6009,30.7774,48.5942,11.6207,103.1298,692.5239,55.0463,57.702,59.0004,89.4466,439.7689,171.9934,564.9729,24.5727,129.3258,348.2824,1241.1394,135.3916,1259.3665,1630.4595,633.2231,896.5616,363.6947,563.3919,62.4019,274.4649,162.6758,142.3416,313.2722,2331.5765,1180.0917,5022.1175,3004.4486,1066.7918,88.8819,383.4105,313.6173,288.4251,0.0,1711.4759,0.0,0.0,1607.4318,25.0184,0.0
CHE_O,513.7852,0.0861,159.9974,32.6265,0.2925,635.9758,19.6876,170.9123,245.3001,19.5718,153.3746,551.4925,7.2892,45.5907,214.1379,94.4582,280.9233,185.8577,189.068,10.3009,30.2262,154.9011,1342.6426,1057.7104,415.947,901.5372,836.3072,686.1414,214.1969,182.5495,32.7959,202.8942,73.5605,95.0378,345.634,573.4325,746.731,3244.202,1001.514,4451.3039,229.1853,2890.0657,626.4357,663.9187,0.0,12798.6584,5648.3788,58561.135,8264.2497,0.2639,0.0
CHE_P,8.9407,0.0,1.3553,0.2915,0.0027,17.7502,1.2705,0.7193,1.3081,0.3025,1.9421,22.0266,0.2323,0.826,0.8353,5.0324,16.3429,6.9864,9.5313,0.4449,3.6465,2.5969,22.8925,9.0293,9.7709,41.315,16.2433,18.0134,10.4897,2.3193,3.8318,1.9409,2.0941,15.4589,73.6822,99.5338,39.2254,227.6843,11.5683,175.0573,344.2201,17.3091,15.1636,30.4599,0.0,964.1157,125.2709,4895.4384,107.8716,0.0,0.0
CHE_Q,3.705,0.0044,3.7051,0.7529,0.0143,27.2035,1.5488,3.3612,112.7594,0.6643,4.7541,21.7034,1.2868,2.4401,0.8539,11.754,33.1096,50.0741,14.6087,1.1277,4.0261,20.8023,8.9721,3.5322,26.8671,43.4863,86.4651,67.4571,22.8354,10.1853,1.5145,15.0974,9.0175,13.5218,11.6735,26.0485,13.2122,169.7714,27.5076,1839.8181,69.0939,2863.2484,106.5147,23.0995,0.0,61183.9675,5860.6644,13580.0922,39.6905,-0.2003,0.0
CHE_R,0.7287,0.0,4.5223,1.1481,0.0217,15.4231,0.8118,0.0075,16.5907,1.4701,14.1119,148.6587,3.4872,0.4921,0.0335,0.9726,8.4113,0.0781,5.0907,3.6717,3.3884,17.3035,51.272,7.5293,1.1916,76.4668,1.8138,4.6779,0.6608,2.3062,4.0109,54.9777,286.8467,23.3826,0.8802,270.6896,1.5842,87.2704,17.5213,1546.67,65.3487,25.8282,4447.0712,713.9117,0.0,5451.3929,146.9364,1356.0286,0.0,3.225,0.0
CHE_S,3.2587,0.0,10.2607,3.573,0.0355,133.6345,1.2201,0.4319,8.688,1.9769,15.0636,60.2011,1.1402,9.9303,14.3976,12.791,259.909,25.6006,50.1434,3.3135,10.8152,107.1539,271.225,24.3186,113.1181,756.464,61.1593,68.7251,17.8643,202.731,3.2243,66.63,52.4267,18.7646,118.3519,473.3203,20.9159,1363.4972,495.8089,327.6401,44.0522,325.0277,212.9951,351.9127,0.0,9241.0138,3705.2726,0.0,0.0,0.0,0.0
CHE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2500.0399,0.0,0.0,0.0,0.0,0.0
