V1,JPN_A01_02,JPN_A03,JPN_B05_06,JPN_B07_08,JPN_B09,JPN_C10T12,JPN_C13T15,JPN_C16,JPN_C17_18,JPN_C19,JPN_C20,JPN_C21,JPN_C22,JPN_C23,JPN_C24,JPN_C25,JPN_C26,JPN_C27,JPN_C28,JPN_C29,JPN_C30,JPN_C31T33,JPN_D,JPN_E,JPN_F,JPN_G,JPN_H49,JPN_H50,JPN_H51,JPN_H52,JPN_H53,JPN_I,JPN_J58T60,JPN_J61,JPN_J62_63,JPN_K,JPN_L,JPN_M,JPN_N,JPN_O,JPN_P,JPN_Q,JPN_R,JPN_S,JPN_T,JPN_HFCE,JPN_NPISH,JPN_GGFC,JPN_GFCF,JPN_INVNT,JPN_DPABR
JPN_C20,5165.7897,95.431,1.9756,111.1552,27.6775,2466.9506,933.7956,784.3331,3068.52,123.4021,39409.9036,4385.9032,15249.262,1352.9232,1569.2061,903.5866,1786.1368,2153.4112,2143.6909,3631.0886,548.391,2003.3908,143.2183,686.2798,2749.988,22397.5965,170.0078,89.8334,10.6122,168.9763,39.2388,887.1984,452.9506,92.6987,236.4356,200.2709,73.8978,1809.568,885.017,233.1344,120.0874,7108.8945,384.8709,2031.4095,0,16874.5598,0.0,0.0,0.0,970.7209,0.0
JPN_C21,348.7633,26.8932,0.0751,7.7455,0.3354,367.1832,32.8696,49.1713,120.0956,8.7102,1734.3918,9846.4922,422.4608,51.8107,25.8971,52.2225,124.6688,83.7325,152.7921,154.7072,2.6024,180.27,2.9541,33.2578,102.4625,2737.0134,12.9727,13.6022,1.7071,15.1166,8.5556,88.7292,14.3217,13.5844,31.1054,31.0589,4.0293,380.1809,127.1822,98.2107,28.9734,26433.5028,45.2471,100.7403,0,17480.9688,0.0,7525.2179,0.0,367.3705,0.0
JPN_C22,875.6662,213.1583,5.0898,32.7891,7.1004,5652.3805,449.5881,214.5125,3049.8572,11.1437,2326.9327,734.6471,19581.4386,349.6326,582.3448,783.1294,5156.5838,4019.7003,5089.3066,14210.0407,844.7143,4485.8167,3.4009,1596.8241,6642.0164,9853.2538,384.4029,193.8579,24.2015,467.5809,21.2471,552.2887,203.2368,74.8001,1857.0344,1106.9339,489.1911,1871.6917,1147.1163,640.6302,171.0443,1354.4436,715.487,1239.6634,0,10929.8564,0.0,82.4698,0.0,606.138,0.0
JPN_C23,268.1854,1.5659,1.7372,2.8444,9.7795,798.466,20.0784,4.9544,50.0843,15.5432,793.7633,285.358,399.8794,3880.0996,1530.8986,364.8468,736.426,2750.1866,1943.1118,2313.2332,268.8509,960.4731,11.2336,130.6885,26935.8654,796.5585,34.5315,28.7582,2.2467,9.5262,3.6571,629.8875,13.5666,10.1129,13.509,39.8889,70.0285,73.4345,37.8653,80.7514,279.6266,661.9854,130.5687,261.0093,0,1550.0648,0.0,0.0,0.0,315.1827,0.0
JPN_C24,5.5112,3.59,10.705,15.7221,19.9263,379.605,38.823,73.2245,75.4996,5.5833,737.9085,66.5461,1205.4903,803.6497,134192.1173,28260.1427,7043.9807,10829.7163,33055.3405,32485.3547,7564.5482,3742.8707,32.396,15.1805,19489.6448,356.8475,32.0372,10.1242,0.0953,193.5713,0.3505,113.7995,23.8927,1.6222,1.1584,2.8597,0.1097,9.9582,1.4544,70.1742,3.1087,744.1424,1.8657,112.3581,0,2166.6939,0.0,0.0,12.9407,1539.673,0.0
JPN_C25,178.1892,23.0883,21.7564,18.9236,28.1756,4036.8152,90.8348,251.3538,127.2856,41.6655,1394.4637,258.9725,851.5939,503.391,307.484,5814.9237,3632.2566,3454.7062,8722.891,3625.4625,1191.2323,2938.488,81.7675,54.1487,51315.9974,3870.055,327.5576,220.283,4.4442,448.0669,4.7821,882.5996,36.2239,151.3594,63.6452,91.6061,270.8036,180.9272,121.9952,1687.0685,64.9995,278.4458,30.2443,703.5023,0,3566.7969,0.0,14.1997,3189.4213,532.2191,0.0
JPN_C26,2.2079,2.0529,0.1202,1.3732,2.6932,16.3846,1.9467,1.2451,7.36,2.3085,13.5094,4.7118,10.4927,3.2428,14.6651,16.3833,2382.6148,59.8642,167.8665,1781.1394,130.4478,52.144,9.5358,6.9164,814.1481,771.5222,64.6466,24.2766,2.2305,18.8376,4.6759,67.3516,42.1864,14.6403,90.6362,110.9077,62.0718,423.6396,146.0643,594.8959,13.3058,34.3888,33.4831,66.7943,0,46961.9621,0.0,0.2186,42232.743,1014.7152,0.0
JPN_C27,4.7702,11.942,0.1174,6.3948,2.3663,21.2048,10.479,2.8428,21.6989,3.013,95.2215,21.8412,193.5919,2.143,400.9944,414.3215,19534.3508,19138.098,8035.9811,11764.0554,448.0339,1302.0249,8.2258,8.9713,2118.0231,8895.1451,59.3953,30.5181,2.7578,40.2401,7.734,39.8257,500.5842,53.5248,99.3231,65.2297,14.5012,71.5031,33.3359,927.0483,62.555,78.7253,46.2126,57.5116,0,26529.9334,0.0,0.0,22126.5059,457.5973,0.0
JPN_C28,7.842,0.4663,3.1259,7.7475,43.7621,21.7129,13.707,4.4954,4.3394,2.7747,52.3568,14.5413,503.241,173.4447,237.6019,671.483,1816.4585,2613.9947,41729.4711,3645.831,1301.0181,2260.905,1.6645,155.6227,4052.1363,19539.9099,53.7699,22.4047,6.3731,66.0241,8.3564,14.0896,84.9348,22.7414,39.6946,46.8646,17.0604,219.7274,169.2824,1648.9306,14.8726,6766.4148,230.3261,186.8234,0,1578.0817,0.0,4.9,135615.406,1621.134,0.0
JPN_C29,0.7273,0.0887,0.0059,0.1805,2.4551,0.1977,32.0965,1.7651,0.2389,0.2709,46.2955,11.6872,127.4151,3.0661,56.8545,309.7125,3785.81,1246.5645,2843.5198,170217.9253,881.7499,1550.7369,1.8773,0.0935,0.8157,20310.029,58.0068,0.0314,0.1193,1.0898,0.1659,0.3364,0.0095,0.1458,89.1699,0.0419,3.5692,8.0864,11.3725,104.5179,1.3831,2.8876,0.5637,0.1741,0,91438.4471,0.0,0.0,37256.6174,2220.5611,0.0
