V1,JOR_A01_02,JOR_A03,JOR_B05_06,JOR_B07_08,JOR_B09,JOR_C10T12,JOR_C13T15,JOR_C16,JOR_C17_18,JOR_C19,JOR_C20,JOR_C21,JOR_C22,JOR_C23,JOR_C24,JOR_C25,JOR_C26,JOR_C27,JOR_C28,JOR_C29,JOR_C30,JOR_C31T33,JOR_D,JOR_E,JOR_F,JOR_G,JOR_H49,JOR_H50,JOR_H51,JOR_H52,JOR_H53,JOR_I,JOR_J58T60,JOR_J61,JOR_J62_63,JOR_K,JOR_L,JOR_M,JOR_N,JOR_O,JOR_P,JOR_Q,JOR_R,JOR_S,JOR_T,JOR_HFCE,JOR_NPISH,JOR_GGFC,JOR_GFCF,JOR_INVNT,JOR_DPABR
JOR_J58T60,0.5148,0.0004,0.0328,0.0071,0.0007,5.1539,1.9414,0.0475,1.5214,0.6685,2.8985,1.8766,1.1338,1.4218,0.1018,0.4675,0.3178,1.0485,0.2072,0.21,0.0594,0.4389,0.6053,0.6797,1.901,37.2555,0.2096,0.0087,1.3833,1.1296,0.1117,4.0986,2.1181,1.2501,0.2068,10.244,2.3312,2.0192,1.2091,7.1459,9.1153,6.3543,2.2874,3.5426,0.0,208.0717,4.0131,7.3118,0.9479,0.1133,0.0
JOR_J61,2.303,0.0028,0.0862,0.0033,0.0009,13.3779,10.3259,0.8212,2.7471,2.2631,8.2984,4.4253,5.4666,6.786,1.0622,2.9742,1.6301,3.9751,1.3297,0.9142,0.1867,2.088,3.8211,3.7692,13.5219,161.1432,1.6958,0.0152,5.3471,5.9166,1.0011,17.1209,0.5744,9.2108,0.2994,62.6148,11.8513,4.2613,4.6197,32.824,15.5487,38.8062,3.5482,13.0121,0.0,1199.0846,6.0255,64.6554,0.2382,0.6586,0.0
JOR_J62_63,0.6133,0.0,0.0331,0.0002,0.0,4.4114,4.2264,0.1602,1.4107,0.7886,4.3908,2.531,1.9464,2.5888,0.3061,1.1006,1.0347,1.9625,0.5301,0.6192,0.1153,0.5904,1.8619,1.7309,4.0603,47.2228,0.6512,0.0014,2.5778,2.4024,0.3387,3.1691,0.4866,1.267,0.8166,42.5306,3.3469,2.7238,2.0351,14.5202,7.8752,14.5226,2.022,4.9769,0.0,136.8216,0.04,8.2909,1.0481,0.0581,0.0
JOR_K,14.7715,0.0309,2.6547,0.1901,0.0307,27.4388,10.0654,0.6522,4.8349,121.2543,31.8504,33.6869,11.0553,11.041,4.3182,8.3354,4.1468,15.1233,3.4804,3.8992,0.5841,5.0563,199.2841,6.9267,87.1997,302.8955,11.0289,0.2792,49.7502,5.6076,0.9233,30.4085,4.2336,15.3748,2.994,109.4912,214.3487,4.3318,5.3462,188.9892,28.7962,27.3763,56.5422,68.6384,0.0,1254.642,35.7036,165.1547,0.8036,0.9637,0.0
JOR_L,10.2158,0.0039,0.0363,0.0003,0.0001,23.9457,20.2344,1.5083,1.3737,0.0561,5.9054,2.1449,3.2338,6.0664,3.2626,7.5276,3.1966,10.2258,3.1181,2.5597,0.5924,6.4517,0.1782,5.2112,6.1275,342.0266,0.7168,0.0052,4.6464,3.2327,0.1754,18.1907,3.2039,12.3881,2.2506,31.7323,5.7106,10.0062,5.5935,16.1144,35.7382,19.2147,32.7631,48.833,0.0,5395.6895,5.8822,0.0,6.6878,0.009,0.0
JOR_M,8.1034,0.0038,0.0435,0.0045,0.001,17.9768,1.9369,0.0518,3.7113,1.2545,7.0682,7.5093,2.8584,3.2694,0.7262,1.5959,0.9258,2.9563,0.8288,0.8222,0.1526,1.0092,0.8373,9.4813,18.408,52.6801,0.6211,0.0935,7.0235,1.6527,0.1691,5.191,5.7377,12.9679,2.9319,48.9181,34.166,2.4785,2.2719,36.8562,13.8043,11.009,1.8362,0.7608,0.0,31.4707,0.7195,2.5829,172.9978,0.054,0.0
JOR_N,3.1379,0.0,0.9019,0.0672,0.0236,9.4589,13.2341,0.0888,5.9157,17.9269,15.8896,12.1126,7.9539,4.1719,0.9096,2.208,1.6244,4.9298,1.2453,1.3506,0.2769,1.7177,4.4153,7.0311,11.1901,16.5021,16.1439,0.9396,70.562,4.2544,0.4353,2.4958,0.3518,0.9231,0.2226,22.2041,10.6798,0.2756,15.5238,21.6874,23.1265,2.1614,2.0234,0.8845,0.0,250.0676,0.7349,2.9173,0.0001,0.1872,0.0
JOR_O,3.9266,0.0058,2.746,4.5541,0.8415,14.8526,3.1679,0.5603,0.3046,10.7691,5.9122,3.535,3.69,4.6344,3.849,3.4913,0.6069,2.4166,0.7195,0.557,0.1524,0.9153,2.3779,3.7923,14.3106,16.1458,1.558,2.088,0.0,0.2058,0.0,1.48,0.4001,1.2809,0.253,3.6859,1.4042,0.2786,0.0341,241.1453,1.2552,0.0136,0.0901,0.0864,0.0,324.0873,9.0545,5148.9348,314.5062,0.0,0.0
JOR_P,1.9572,0.0032,0.0405,0.0573,0.0124,5.6,3.2548,0.2184,0.3802,0.1386,1.8263,17.5676,0.7114,0.7709,0.8187,0.8807,0.2872,0.9704,0.7887,0.2146,0.3281,2.6314,6.2124,0.7762,3.9216,45.0042,0.4748,0.0068,8.0047,0.7788,0.0217,1.8581,0.8856,3.3273,0.1895,2.8918,0.779,1.0095,1.1793,46.4072,48.4622,22.2932,3.8953,5.2236,0.0,1958.8662,3.5509,1010.6642,1.5277,0.7255,0.0
JOR_Q,0.8222,0.0037,6.6766,11.8934,4.7356,3.8853,4.9024,0.056,0.9683,31.1117,6.7951,0.5373,1.0795,0.3567,0.6243,0.9579,0.5111,1.5373,0.3212,0.3626,0.1637,0.8644,0.1378,0.249,1.5592,10.4494,0.2497,0.0004,0.1251,0.0617,0.0022,0.7948,0.0638,0.159,0.0398,0.7915,0.42,0.204,0.1543,81.5794,16.3212,1.988,0.3327,0.5286,0.0,1024.3542,52.2389,601.0838,0.5084,0.3615,0.0
JOR_R,0.0001,0.0012,0.1527,0.2699,0.0759,0.1997,0.1893,0.0037,0.3729,0.0,0.0,0.0,0.0,0.0,0.0713,0.2114,0.0348,0.1083,0.131,0.0211,0.0294,0.0502,0.0,0.1648,0.0,0.6023,0.0,0.0924,0.3389,0.1826,0.0099,0.1399,0.2609,0.3931,0.1311,3.6158,0.1825,0.146,0.2249,1.7551,1.1291,0.0433,0.4125,0.1841,0.0,15.7947,57.4472,14.6426,0.0004,0.3676,0.0
JOR_S,0.4932,0.0011,0.0481,0.032,0.0098,4.7105,1.9184,0.0015,0.9945,0.2572,1.6769,1.5212,1.42,1.8699,0.2896,0.3125,0.4219,0.9486,0.2891,0.2074,0.0384,0.4582,1.1404,0.6785,2.8733,9.3421,0.6937,0.0149,0.507,0.1555,0.0378,3.8567,1.0253,3.4664,0.8054,8.5578,4.9429,0.5258,1.0072,15.1491,9.096,4.5355,1.0803,3.4483,0.0,401.657,3.1986,43.4827,0.0019,0.0,0.0
JOR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,873.7372,0.0,0.0,0.0,0.0,0.0
