V1,BRA_A01_02,BRA_A03,BRA_B05_06,BRA_B07_08,BRA_B09,BRA_C10T12,BRA_C13T15,BRA_C16,BRA_C17_18,BRA_C19,BRA_C20,BRA_C21,BRA_C22,BRA_C23,BRA_C24,BRA_C25,BRA_C26,BRA_C27,BRA_C28,BRA_C29,BRA_C30,BRA_C31T33,BRA_D,BRA_E,BRA_F,BRA_G,BRA_H49,BRA_H50,BRA_H51,BRA_H52,BRA_H53,BRA_I,BRA_J58T60,BRA_J61,BRA_J62_63,BRA_K,BRA_L,BRA_M,BRA_N,BRA_O,BRA_P,BRA_Q,BRA_R,BRA_S,BRA_T,BRA_HFCE,BRA_NPISH,BRA_GGFC,BRA_GFCF,BRA_INVNT,BRA_DPABR
BRA_D,4011.1579,58.2778,128.8938,945.1755,53.1941,2030.9496,578.9698,273.7148,721.6259,10.5791,1706.825,89.8479,658.8406,1044.1906,1819.4291,438.1188,52.3119,189.175,188.9331,659.57,35.1419,182.4283,26123.4759,985.8718,180.595,6765.6145,467.4557,19.9005,13.1271,323.8265,76.8607,1135.9816,150.0318,523.4901,266.7652,656.5357,238.0678,638.9436,2499.9156,1624.3086,1386.0067,827.9933,338.7702,848.1516,0.0,25609.6287,0.0,0.0,145.3278,0.0367,0.0
BRA_E,1.7779,0.0963,22.1482,108.3563,16.2566,320.5087,36.3608,69.8088,116.7047,102.3554,387.6797,23.5962,175.5384,226.2001,2253.8952,61.7846,5.8766,18.6616,27.8276,158.3548,15.2478,31.2174,23.6872,310.7742,87.4634,1416.4947,106.7421,3.2863,2.2545,202.1371,40.2426,432.9029,23.3207,12.0029,42.4754,127.7406,110.0956,268.9525,1675.6966,3367.5638,489.5307,977.3029,37.2165,598.4798,0.0,8026.5145,0.0,0.0,0.0,2.6518,0.0
BRA_F,90.3892,1.3163,568.5372,1186.5106,48.8079,28.9787,20.9025,9.2629,17.4274,9.6117,32.7997,14.4831,51.4994,8.7279,697.8594,23.1421,26.7743,4.8008,25.4323,109.1656,31.5398,10.0465,22.1969,1365.9118,16548.2143,580.841,104.7968,5.2841,8.5816,408.53,81.0719,247.4115,58.6558,1013.9314,285.0964,316.2219,858.8614,299.5262,867.5787,4643.3711,584.6614,971.0895,51.0355,98.1706,0.0,423.6736,0.0,0.0,112678.6236,0.1982,0.0
BRA_G,9289.518,138.3963,1515.7529,2249.1958,103.5154,19505.7721,5052.6066,750.2305,2420.903,14025.3521,7921.079,1575.8073,2551.7123,1589.3207,1870.9503,1047.6874,4490.5569,1897.6026,3051.0069,7994.7628,535.7561,3573.0229,2769.4949,656.5878,8030.9633,8064.2623,9354.9869,208.6282,972.8749,532.284,184.8233,7314.6913,615.5931,215.4249,556.8131,673.1081,645.1399,1985.1844,1932.1465,2236.265,1696.7569,8837.3325,211.209,1138.9348,0.0,142413.604,0.0,949.3235,17832.9289,2241.9101,0.0
BRA_H49,2959.0341,58.3421,1381.5953,1514.2676,65.5525,10047.3831,1070.7163,376.9776,1160.6079,2830.3996,3422.4839,641.1844,1015.8184,835.4551,2124.2255,833.5487,887.7719,614.8263,942.6854,2744.7842,136.3763,855.5449,1152.3573,137.9532,2034.723,8426.4112,7905.0169,90.5487,200.5776,795.6673,282.7623,1392.2439,178.9493,78.6865,177.4341,230.9017,150.1898,559.5302,452.9712,720.9487,798.7307,767.0401,72.1741,549.7321,0.0,31565.5678,0.9758,55.0338,3394.731,443.6869,0.0
BRA_H50,126.5734,1.2997,585.7364,41.8967,1.7909,397.8744,41.9447,22.9799,170.5289,145.838,181.1577,10.8337,39.6227,30.173,104.0967,25.1064,58.1226,29.3359,62.1383,117.4376,17.0452,40.2266,45.2399,5.6151,93.4345,162.7664,103.7837,65.4681,8.1501,8.7668,2.2705,63.7368,7.5791,4.4208,9.0621,18.4444,10.2765,24.8185,40.8048,13.9019,15.3836,64.3458,5.3546,24.8172,0.0,963.1552,2.2379,4.1148,247.4205,170.1499,0.0
BRA_H51,150.1263,1.4538,362.6077,41.8887,6.2095,344.4645,69.8551,16.0713,53.9058,192.3932,263.8768,36.7333,55.0363,43.6632,109.3461,38.2533,121.5089,62.359,82.5311,184.8012,19.8884,67.0106,125.2391,13.705,276.3474,656.2735,113.6456,17.0438,12.2742,104.088,52.2154,92.5319,31.8798,26.2457,130.8448,301.0845,17.5973,320.049,101.1936,184.7636,391.2966,98.9114,19.0248,1134.1373,0.0,2896.8763,3.4312,5.3175,320.2777,247.6945,0.0
BRA_H52,601.9792,21.8725,703.1853,730.5475,21.0621,2716.1203,165.4108,64.9432,336.5997,591.8116,768.4224,116.1177,138.7085,124.157,753.3284,216.0083,231.4838,212.1203,166.5843,1094.569,33.688,185.7771,129.9371,18.5286,416.4256,2018.979,1500.8254,380.4973,702.9269,526.3388,60.1986,261.7953,26.5765,22.1754,24.0798,34.4443,29.6919,105.3071,92.7223,268.4765,60.104,145.3735,10.4279,155.5198,0.0,7348.7342,0.2389,11.7879,717.8473,106.3959,0.0
BRA_H53,0.6992,0.1403,15.2962,10.3614,3.5684,189.7514,122.1759,11.1644,102.2383,16.4065,245.003,51.9717,35.0841,38.5946,18.3701,41.4029,89.614,39.5787,28.1423,162.7725,14.6759,68.5318,228.801,5.4704,143.339,1967.3743,78.0769,4.4426,3.2981,240.556,524.5847,124.7923,30.6556,152.9715,65.1852,1398.2571,74.83,330.2041,386.6931,820.1998,274.7993,213.9216,25.7795,186.8677,0.0,738.8804,0.0,0.0,0.0,0.5514,0.0
BRA_I,3.2561,0.5918,143.4708,48.3885,13.9512,289.4208,25.2047,7.441,34.2703,13.3535,168.3263,143.7268,34.4785,21.9545,100.4538,59.6807,45.2772,35.1073,115.6182,231.0823,15.5658,77.6535,134.6494,7.0063,259.1751,1197.3482,67.316,2.9662,228.6684,58.4916,21.0156,216.3155,209.7035,40.9303,160.1521,870.624,34.783,723.9837,619.1166,3211.6407,782.2466,2448.6493,51.6769,3926.9689,0.0,65957.1285,0.0,0.0,25.3094,0.0711,0.0
