V1,PAK_A01_02,PAK_A03,PAK_B05_06,PAK_B07_08,PAK_B09,PAK_C10T12,PAK_C13T15,PAK_C16,PAK_C17_18,PAK_C19,PAK_C20,PAK_C21,PAK_C22,PAK_C23,PAK_C24,PAK_C25,PAK_C26,PAK_C27,PAK_C28,PAK_C29,PAK_C30,PAK_C31T33,PAK_D,PAK_E,PAK_F,PAK_G,PAK_H49,PAK_H50,PAK_H51,PAK_H52,PAK_H53,PAK_I,PAK_J58T60,PAK_J61,PAK_J62_63,PAK_K,PAK_L,PAK_M,PAK_N,PAK_O,PAK_P,PAK_Q,PAK_R,PAK_S,PAK_T,PAK_HFCE,PAK_NPISH,PAK_GGFC,PAK_GFCF,PAK_INVNT,PAK_DPABR
PAK_H52,155.0817,25.5837,29.2595,6.8202,2.8202,105.9972,115.4068,9.9652,27.9055,26.5904,36.7612,11.2367,14.9679,37.7603,22.9146,17.2145,16.1936,10.9753,13.2297,28.2375,4.3844,24.374,38.6581,14.5638,38.1732,670.7747,403.7138,271.5551,248.0918,315.4602,16.5961,22.9151,13.4889,19.4907,4.8758,9.7967,6.3326,28.5686,23.0424,62.0585,11.1022,17.8911,7.2637,20.2291,0.0,1031.2178,2.1462,112.9078,67.1468,13.6885,0.0
PAK_H53,9.652,0.8915,3.1107,0.3237,0.2018,4.6716,16.1917,0.5851,3.2813,0.5214,3.1903,1.8519,1.4937,2.0487,0.9655,1.4392,2.5429,1.2038,1.7263,1.4799,0.4808,4.0009,10.661,3.8328,5.204,111.8381,10.4472,2.0303,2.4683,10.9257,55.5486,7.5574,21.975,39.4369,5.3908,66.047,5.8868,27.0178,14.967,72.8023,15.7257,17.4108,7.547,21.4358,0.0,389.6504,0.5192,5.617,6.2954,0.138,0.0
PAK_I,24.9089,4.2443,14.3009,1.4915,1.3843,19.1923,52.5365,2.1635,6.7025,2.4602,10.9206,9.8263,6.376,7.6629,5.1324,6.4032,10.0857,5.3977,7.4956,7.2702,2.1626,13.4009,21.1956,11.2527,28.5725,185.3309,49.236,13.1994,45.3204,24.6702,4.115,65.1384,22.2921,40.2484,17.95,101.6393,14.7903,93.8256,72.9831,206.9076,97.6662,131.2148,39.8447,75.5249,0.0,12742.5551,26.4489,66.6826,26.0145,0.8209,0.0
PAK_J58T60,12.2006,1.5596,4.0737,0.6092,0.4411,23.5631,35.6798,1.2677,15.8172,1.0675,7.7212,7.9311,3.1679,3.9981,2.1804,2.8759,7.9652,3.1883,3.6171,3.6034,1.3098,8.2907,10.5967,5.2884,9.0858,169.7136,11.5992,3.371,5.092,6.4906,2.9754,23.2962,420.5412,130.7169,27.3221,67.3417,11.2533,188.513,29.5527,101.1804,107.6017,33.6238,48.8102,48.4094,0.0,1924.6343,35.0378,96.76,435.317,0.9505,0.0
PAK_J61,38.0274,6.7061,18.0996,1.5202,1.1665,18.2065,59.0179,2.6259,9.0385,1.8774,9.4409,6.0391,5.7564,8.7043,4.1726,8.0533,16.9622,5.8282,8.371,8.6566,2.0782,15.943,28.1464,11.1118,32.1862,272.1623,46.5156,11.0564,9.8547,22.0003,9.8359,38.9578,64.855,1385.2994,42.7384,204.456,29.7848,100.8421,57.9259,254.817,62.1145,88.5202,28.3578,76.1774,0.0,7067.5602,5.091,44.161,129.4266,2.1216,0.0
PAK_J62_63,9.6381,0.8678,5.6028,0.5424,0.3306,9.6728,21.217,0.9406,4.8351,1.5437,4.779,4.8711,2.4601,3.6923,2.0805,2.5316,8.4704,3.1374,3.7445,5.2277,1.1079,6.1737,19.1219,6.0018,11.5505,92.6717,15.4918,4.193,6.9183,8.5324,3.6234,8.6769,29.195,87.9441,92.7395,107.0363,9.1654,54.8138,20.8361,94.1261,23.6779,29.0241,11.096,23.9819,0.0,262.116,1.9344,8.5245,504.991,1.7948,0.0
PAK_K,418.4357,41.4645,124.9643,9.2464,6.8238,90.9482,269.2662,13.2119,46.7338,18.8646,50.6459,26.9925,27.8103,47.8328,32.6657,32.4625,41.3342,24.2208,32.2403,40.4485,11.2445,57.4918,175.7534,50.2561,147.6734,792.4651,186.3373,53.4737,51.6201,76.2729,13.3847,106.5991,54.5604,153.8194,36.2707,2147.1188,852.1176,239.6135,135.6755,489.7475,91.2533,143.8675,56.7319,137.2306,0.0,7404.4522,46.5592,177.1713,72.389,0.4376,0.0
PAK_L,30.6481,4.3907,16.9317,1.9946,1.0512,33.3293,143.8065,4.4083,16.1477,2.5875,11.0594,8.3773,11.1918,13.9296,6.4125,14.6517,16.648,7.6691,10.7858,12.4802,4.3742,32.5386,38.5533,18.9948,58.2737,897.2615,62.7523,14.4186,13.7554,56.4402,12.5137,231.5572,51.207,155.0019,38.6149,219.9697,201.2451,177.3125,90.7924,253.1856,127.83,158.5606,71.3831,172.2783,0.0,12000.0175,44.9896,54.95,697.5959,0.3465,0.0
PAK_M,256.9907,17.1639,129.7117,13.2718,17.8155,163.0654,307.246,10.7953,46.049,16.3188,71.1142,85.1093,34.6824,53.5925,31.2854,37.9524,90.7171,37.3138,44.9274,70.3407,18.3652,76.4708,169.9542,81.4604,419.4243,1077.8655,113.0568,43.6616,37.8991,76.4872,13.306,112.3676,164.9231,332.8803,109.6887,491.5036,170.3521,995.3967,205.2921,575.7325,159.505,237.6014,106.8363,187.9879,0.0,1118.909,35.0213,132.6215,2088.8739,2.3066,0.0
PAK_N,119.6772,14.4573,102.3755,8.8612,10.0044,99.8807,236.4029,10.3649,41.7338,10.7612,43.9235,42.6084,32.8164,43.93,21.2581,34.8546,53.7757,26.6008,35.759,51.7923,11.1686,65.9351,110.8435,61.0903,174.3363,739.8188,189.527,85.248,93.238,121.7636,25.4444,139.2336,108.8813,294.7476,82.1969,329.4529,143.9536,296.4744,396.3859,453.7779,185.8217,281.9971,92.5812,167.1752,0.0,1219.3941,20.0435,66.3018,184.1539,1.6069,0.0
PAK_O,44.7748,5.0005,11.2459,2.0479,1.0217,20.423,41.637,2.8599,9.2731,3.1459,10.1005,8.7405,5.5295,7.674,20.3032,6.5583,6.165,3.7716,5.2457,8.038,2.1759,10.322,27.4469,26.0861,36.692,119.2823,51.3457,13.3412,11.2412,21.5931,3.1868,21.2627,12.9955,36.4663,9.8008,52.1613,30.9893,50.6471,25.9735,294.4075,35.991,52.138,16.6053,31.0638,0.0,2520.9553,143.3256,19458.4716,262.8344,1.009,0.0
PAK_P,7.826,1.0938,5.1887,0.4353,0.2768,4.8954,9.5962,0.5472,1.7728,0.7188,2.6998,4.076,1.4195,1.9767,1.7997,1.5632,3.8675,1.8382,2.0472,2.4178,0.7462,3.1067,8.2646,3.3533,6.2842,32.3984,8.9001,1.9382,5.5624,4.7869,1.0001,4.0555,6.0729,19.6653,8.1778,31.2678,4.143,31.8732,12.9483,105.4763,169.3038,27.7165,6.7052,21.2392,0.0,5674.5915,448.2418,5131.2235,170.4039,0.2537,0.0
PAK_Q,11.7294,1.7646,2.3614,0.2456,0.2503,5.3846,10.1301,0.4394,1.5105,0.5097,1.7808,3.5591,1.28,1.7833,0.9459,1.3189,2.0181,1.0053,1.2234,1.3725,0.4754,2.6935,3.5001,2.0916,4.9006,22.7985,6.7091,1.5891,1.265,2.2978,0.6506,5.5781,2.4885,4.8961,3.1516,14.1847,2.1948,10.8175,5.9348,66.3069,23.685,896.4486,5.4044,11.5935,0.0,8742.3953,650.1794,7088.5199,32.9707,0.5883,0.0
PAK_R,3.9816,0.4189,0.9776,0.1092,0.0686,3.434,4.9162,0.3627,0.9499,0.2203,0.8153,0.7291,0.5412,0.7486,0.3469,0.5128,0.7679,0.4041,0.5136,0.6518,0.2193,1.4005,1.9117,1.3381,2.5326,17.0055,2.6157,1.3862,0.9682,1.5611,0.3616,9.9751,42.7744,9.0275,1.9894,8.0883,2.9165,13.5458,7.2114,31.9162,17.2455,6.2667,141.2969,26.4483,0.0,2141.2458,310.6771,281.4022,40.7423,0.5462,0.0
PAK_S,25.2445,3.4055,5.01,0.9339,0.6256,12.0628,28.7529,1.7325,4.4021,1.4197,4.4552,2.7996,2.8469,5.1931,2.9058,2.7155,5.2015,2.2729,2.7834,3.2551,0.8703,6.8707,10.4668,7.0769,10.7197,78.6403,18.9557,4.1924,4.4447,7.5649,1.7454,29.0996,11.8194,20.3892,9.903,39.6427,9.6505,33.9002,18.3018,53.7164,25.7284,79.0093,17.2752,124.4137,0.0,4451.7943,1101.8722,138.0762,142.1028,1.1115,0.0
PAK_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,506.7751,0.0,0.0,0.0,0.0,0.0
