V1,CMR_A01_02,CMR_A03,CMR_B05_06,CMR_B07_08,CMR_B09,CMR_C10T12,CMR_C13T15,CMR_C16,CMR_C17_18,CMR_C19,CMR_C20,CMR_C21,CMR_C22,CMR_C23,CMR_C24,CMR_C25,CMR_C26,CMR_C27,CMR_C28,CMR_C29,CMR_C30,CMR_C31T33,CMR_D,CMR_E,CMR_F,CMR_G,CMR_H49,CMR_H50,CMR_H51,CMR_H52,CMR_H53,CMR_I,CMR_J58T60,CMR_J61,CMR_J62_63,CMR_K,CMR_L,CMR_M,CMR_N,CMR_O,CMR_P,CMR_Q,CMR_R,CMR_S,CMR_T,CMR_HFCE,CMR_NPISH,CMR_GGFC,CMR_GFCF,CMR_INVNT,CMR_DPABR
CMR_C20,21.7238,0.0215,4.3712,1.4254,0.9838,32.9952,15.5588,1.7598,6.317,0.1126,23.7916,1.4059,9.0577,0.4682,1.3667,0.1598,0.0072,1.032,0.7996,0.0046,0.0003,5.5535,0.0681,5.4201,7.6003,6.1399,1.5573,0.3623,0.5473,2.2615,0.3122,0.1246,3.195,0.9022,1.6111,0.0684,0.0373,2.0185,0.7954,0.2291,2.7673,0.8861,2.3003,2.9956,0.0,92.4537,0.0,0.0,0.0,0.2584,0.0
CMR_C21,2.1025,0.0086,0.2241,0.1207,0.0395,5.4848,0.8221,0.1539,0.3545,0.0114,4.1608,12.5322,0.3538,0.0257,0.1209,0.0121,0.0004,0.0536,0.093,0.0002,0.0,0.4093,0.0087,0.3496,0.4016,0.4449,0.1903,0.1374,0.1185,0.3623,0.1308,0.0176,0.202,0.203,0.2593,0.0157,0.0029,0.6377,0.0888,0.1383,0.9568,1.883,0.386,0.4928,0.0,61.9854,0.0,8.4324,0.0,0.0014,0.0
CMR_C22,2.7799,0.0979,9.9545,0.1915,2.6755,12.8098,2.3684,0.2584,0.437,0.0789,0.8489,0.1422,0.3264,0.0183,0.0162,0.0038,0.1629,0.0012,0.0014,0.0659,0.0038,0.5506,0.0639,0.3484,1.4593,4.3797,3.0658,0.1928,0.3096,1.7956,0.4522,1.0989,1.0676,1.0147,0.981,0.1656,0.1303,0.754,0.34,1.0564,0.4183,0.0843,0.1533,0.1397,0.0,14.2801,0.0,0.0,0.9256,-0.0076,0.0
CMR_C23,14.4059,0.0731,13.6848,0.9589,3.3476,3.0199,0.1601,2.2022,0.087,0.0537,0.1384,0.0264,0.7915,86.5782,0.5024,0.0523,0.0039,0.0032,0.0028,0.0701,0.0044,0.8102,0.2169,2.5349,154.7362,3.0906,3.1952,0.9543,1.57,5.2688,0.7213,2.0902,2.1575,2.7079,1.924,0.3648,0.8664,1.6418,0.077,1.4412,1.1466,0.0801,0.8788,12.0134,0.0,82.8345,0.0,0.0,52.4426,0.0128,0.0
CMR_C24,1.2863,0.0188,13.9269,0.1509,2.9723,2.7755,1.5669,0.6,0.225,0.0436,0.2687,0.0156,0.2518,0.1035,22.6869,2.5771,0.4783,0.075,0.0968,0.1807,0.0096,2.2191,0.2567,2.9729,26.624,1.4517,0.9648,0.4476,0.2966,1.4197,0.0307,0.8621,0.7071,0.493,0.3584,0.0748,0.1727,2.9809,0.8877,0.0942,0.3088,0.0216,0.0318,0.2891,0.0,2.5337,0.0,0.0,17.9507,0.1773,0.0
CMR_C25,0.6163,0.0058,2.338,0.0371,0.5498,1.2734,0.5989,0.2139,0.0371,0.0111,0.0501,0.0049,0.0424,0.0138,0.4427,0.1653,0.0662,0.0055,0.0124,0.0405,0.003,0.347,0.0458,0.5048,5.8616,0.5317,0.2529,0.0774,0.0587,0.5001,0.0456,0.4075,0.154,0.2243,0.1491,0.0254,0.0687,0.8828,0.365,0.0565,0.1223,0.0116,0.0196,0.1099,0.0,4.2783,0.0,0.0,14.9256,-7.1548,0.0
CMR_C26,0.0019,0.0006,0.0794,0.2739,0.0237,0.0206,0.0041,0.0006,0.0021,0.0007,0.003,0.0006,0.0005,0.0045,0.0004,0.0001,0.1709,0.0,0.0,0.0,0.0,0.2221,0.0936,0.0046,0.0121,0.0015,0.0052,0.0013,0.0035,0.0098,0.0025,0.0006,0.1606,0.5389,0.4152,0.0519,0.0001,0.0558,0.0132,0.1703,0.0166,0.0621,0.0028,0.0293,0.0,2.661,0.0,0.0,9.862,-2.5039,0.0
CMR_C27,0.4482,0.0003,0.4364,0.0357,0.0861,0.7076,0.0363,0.0232,0.0547,0.002,0.0196,0.0024,0.0144,0.0824,0.0086,0.0015,0.0023,0.025,0.0113,0.0,0.0,0.1158,0.435,0.1015,1.1607,0.1127,0.198,0.0372,0.0453,0.2183,0.0268,0.0099,0.1494,0.4882,0.2491,0.3214,0.0085,0.4712,0.2028,0.3614,0.009,0.0778,0.0127,0.0582,0.0,1.6481,0.0,0.0,9.5814,-2.8068,0.0
CMR_C28,0.6201,0.0002,0.5677,0.0589,0.1075,0.6319,0.0408,0.0222,0.0501,0.0018,0.0152,0.0022,0.0104,0.068,0.0045,0.0008,0.0003,0.0015,0.0111,0.0,0.0,0.0577,0.0991,0.0606,0.2706,0.035,0.0594,0.0245,0.0305,0.1015,0.0151,0.0025,0.0501,0.0654,0.0614,0.1024,0.0019,0.1477,0.1222,0.1328,0.0027,0.0264,0.0032,0.0159,0.0,0.1701,0.0,0.0,19.1242,-6.6891,0.0
CMR_C29,0.0076,0.0013,0.0012,0.0012,0.0003,0.1256,0.0,0.0024,0.0003,0.0,0.0031,0.0004,0.001,0.0008,0.0034,0.0007,0.0,0.0,0.0001,0.5166,0.0,0.0,0.0001,0.0243,0.1453,0.3034,0.3719,0.0127,0.0379,0.1492,0.0249,0.0005,0.0002,0.0004,0.0003,0.0001,0.0,0.0322,0.0002,0.0215,0.004,0.0004,0.0,0.0001,0.0,9.8149,0.0,0.0,18.1227,-3.2703,0.0
CMR_C30,0.0023,0.0016,0.0007,0.0007,0.0001,0.0314,0.0,0.0008,0.0001,0.0,0.0009,0.0001,0.0003,0.0002,0.0004,0.0001,0.0,0.0,0.0,0.0,0.0294,0.0,0.0,0.006,0.0444,0.0,0.075,0.0707,0.1288,0.0564,0.0113,0.0002,0.0001,0.0001,0.0001,0.0001,0.0,0.0128,0.0,0.0204,0.0018,0.0002,0.0,0.0001,0.0,0.8861,0.0,0.0,6.202,-0.9565,0.0
CMR_C31T33,5.7761,0.0374,0.5971,0.1708,0.1213,4.5267,1.2822,4.7828,0.11,0.0634,0.1146,0.032,0.0951,0.1425,0.0463,0.0037,0.0188,0.1385,0.1967,0.8771,0.0913,0.87,0.5293,0.3961,11.0121,3.944,1.8961,0.1823,0.4967,0.8309,0.1359,0.6033,0.4996,1.1896,0.4961,0.1374,0.2455,1.8725,4.3069,5.2677,1.796,1.0215,1.8814,0.3003,0.0,228.5714,0.0,0.0,164.3413,-3.2833,0.0
CMR_D,3.84,0.0127,0.8511,0.1211,0.1243,29.3266,17.0421,0.9904,0.7453,0.124,0.6497,0.051,1.426,5.6101,2.6691,0.1628,0.0006,0.0146,0.0218,0.048,0.0036,3.6803,18.9183,4.0291,1.7996,14.0192,1.77,0.1354,0.2694,2.7013,0.3741,9.1218,1.7853,5.7159,2.2469,2.676,2.5776,8.3168,1.4387,101.5366,5.9732,10.3651,2.6693,3.345,0.0,331.7976,0.0,0.0,71.2655,0.0,0.0
CMR_E,3.1593,0.0349,0.0166,0.1933,0.0025,0.5473,0.1457,0.0063,0.0064,0.007,0.0678,0.0163,0.2545,2.3785,0.0004,0.0,0.0,0.0012,0.0012,0.0107,0.0011,0.1297,0.0079,0.0342,0.0527,0.3126,0.0354,0.0088,0.012,0.0716,0.0078,0.3756,0.0095,0.0129,0.0135,0.0773,0.0159,0.1993,0.2982,2.3692,21.7216,1.868,0.0826,0.0703,0.0,274.934,0.0,0.0,0.0,0.0,0.0
CMR_F,15.3773,0.3665,1.9459,0.1402,0.4559,0.716,0.2339,0.4607,0.0834,0.1457,0.0768,0.012,0.0508,1.9463,0.0144,0.0015,0.0002,0.0007,0.0011,0.0565,0.0042,0.6913,0.3427,0.0717,25.7681,0.941,1.11,0.049,0.1058,0.3283,0.0775,0.1082,0.0597,0.0825,0.0569,0.0562,0.2591,0.0654,0.4618,0.9379,0.9142,0.2388,0.0477,0.3247,0.0,18.0709,0.0,0.0,3907.0442,0.0013,0.0
CMR_G,159.1408,12.8491,71.7225,11.4496,14.2712,363.3419,75.1933,63.8741,15.0043,22.9005,26.3587,15.2714,8.7592,18.8397,14.9988,1.9802,1.6353,1.8569,2.3378,7.6453,0.9834,32.8861,9.2006,9.9078,262.283,192.6089,111.8246,14.7032,28.3857,30.8017,9.5482,174.0457,12.0859,12.7018,10.201,5.8713,6.3537,33.9191,58.0663,88.9881,14.9972,24.125,18.9535,30.1955,0.0,2464.7585,1.3021,13.7414,415.2189,1.055,0.0
CMR_H49,160.8437,0.8227,16.4718,0.4653,2.4531,48.8248,21.0882,22.24,1.7554,10.6738,2.1209,0.6975,0.6879,3.3998,2.7134,0.3293,0.1315,0.1676,0.2215,0.8721,0.126,6.8026,3.4378,1.6899,56.6269,129.234,6.4004,1.32,2.2253,3.8475,0.8352,23.0058,2.3825,2.051,2.1154,15.3888,11.5447,19.0821,5.5462,36.7224,2.939,2.5113,3.7629,3.7637,0.0,1588.0008,0.0189,0.3645,49.3964,2.1382,0.0
CMR_H50,31.5777,0.3821,3.5014,0.1285,0.5474,6.9794,4.0036,4.1354,0.4104,3.4988,0.5388,0.2084,0.1811,0.7931,0.4987,0.0575,0.0324,0.0282,0.0327,0.0979,0.0132,0.9584,0.5366,0.3172,6.6363,21.9587,1.9153,1.3677,0.8984,1.6521,0.3808,3.0871,0.3991,0.4086,0.3738,1.5748,2.3128,2.8558,0.6966,4.9748,0.4075,0.3221,0.5478,0.6053,0.0,153.5285,0.0026,0.1179,9.2259,8.3052,0.0
