V1,BRN_A01_02,BRN_A03,BRN_B05_06,BRN_B07_08,BRN_B09,BRN_C10T12,BRN_C13T15,BRN_C16,BRN_C17_18,BRN_C19,BRN_C20,BRN_C21,BRN_C22,BRN_C23,BRN_C24,BRN_C25,BRN_C26,BRN_C27,BRN_C28,BRN_C29,BRN_C30,BRN_C31T33,BRN_D,BRN_E,BRN_F,BRN_G,BRN_H49,BRN_H50,BRN_H51,BRN_H52,BRN_H53,BRN_I,BRN_J58T60,BRN_J61,BRN_J62_63,BRN_K,BRN_L,BRN_M,BRN_N,BRN_O,BRN_P,BRN_Q,BRN_R,BRN_S,BRN_T,BRN_HFCE,BRN_NPISH,BRN_GGFC,BRN_GFCF,BRN_INVNT,BRN_DPABR
BRN_H53,0.1765,0.0001,1.3003,0.5745,0.1231,0.0078,0.0058,0.0084,0.004,0.7835,0.0004,0.0,0.0013,0.0001,0.0,0.0078,0.0,0.0011,0.0043,0,0.0049,0.002,0.0,0.0115,1.0928,0.334,0.0117,0.0288,0.117,0.0,0.0021,0.0296,0.0102,1.304,0.0473,0.0891,0.0953,0.1194,0.0525,0.1175,0.1034,0.0927,0.0056,0.0078,0.0,1.1706,0.0,0.0,0.0,0.0149,0.0
BRN_I,0.0697,0.0008,34.8287,8.5968,3.7061,0.5896,0.5435,0.0263,0.0175,13.1791,0.0646,0.001,0.092,0.0014,0.0,0.0009,0.0016,0.0462,0.2139,0,0.2681,0.1017,0.0298,0.5196,19.9862,11.6323,0.36,0.0776,2.0967,0.0086,0.0023,0.464,0.376,2.6812,2.7034,3.4968,0.2139,6.0197,2.8271,10.4102,2.7161,1.685,0.134,0.2006,0.0,37.4674,0.0,0.0119,9.7571,0.0529,0.0
BRN_J58T60,0.0024,0.0,0.2402,0.0759,0.0147,0.0061,0.0288,0.0004,0.0001,0.2942,0.0012,0.0,0.0013,0.0,0.0,0.0002,0.0,0.0008,0.0027,0,0.0032,0.0017,0.0,0.0154,0.067,0.206,0.0044,0.0,0.0734,0.0,0.0,0.0083,0.0403,0.0361,0.0417,1.5295,0.0023,0.2027,0.1549,5.7385,1.0078,0.438,0.0113,0.0081,0.0,10.6966,0.0,0.0,2.2168,0.0001,0.0
BRN_J61,0.3269,0.0,88.9138,23.6825,5.8342,0.6706,0.5333,0.0452,0.0488,7.3798,0.0389,0.0005,0.117,0.0017,0.0,0.0298,0.0001,0.0801,0.3767,0,0.4361,0.1787,2.8279,0.5852,23.2662,26.1341,0.562,0.1779,0.8481,0.0011,0.0004,1.7383,1.3191,38.4635,4.6365,10.5813,0.7076,7.29,3.4133,29.8356,9.4204,4.9527,0.3889,0.3802,0.0,43.7549,0.0,0.0007,44.3882,0.0661,0.0
BRN_J62_63,0.0925,0.0001,1.4189,0.6772,0.0835,0.0442,0.0512,0.0024,0.0016,0.2829,0.0029,0.0,0.0144,0.0004,0.0001,0.0186,0.0003,0.0027,0.013,0,0.0311,0.0085,0.075,0.0256,0.7425,0.9195,0.0217,0.0056,0.0539,0.044,0.0002,0.1121,0.012,0.1064,0.0698,0.0592,0.0147,0.1523,1.2546,0.8644,0.3217,0.3485,0.0053,0.0068,0.0,1.0234,0.0,0.0008,73.2285,0.0314,0.0
BRN_K,1.7761,0.0011,58.6752,20.5204,3.4494,1.2273,1.9475,0.0345,0.0322,162.6832,0.2962,0.003,0.1781,0.0111,0.0,0.4211,0.0025,0.1086,0.3658,0,0.4344,0.2579,1.2078,3.7076,21.3325,68.0374,3.5486,1.0745,72.0578,0.0131,0.0042,6.3109,0.4516,4.2694,2.4818,20.5322,17.7855,7.2885,6.5935,1.4536,0.8169,1.0022,0.287,0.3703,0.0,500.8535,0.0,0.0532,47.7325,0.0005,0.0
BRN_L,0.0217,0.0002,8.3887,2.0807,0.7831,0.1348,0.497,0.0059,0.0051,0.5718,0.0175,0.0003,0.0206,0.0003,0.0,0.0016,0.0004,0.0109,0.0506,0,0.058,0.0275,0.0183,0.2247,5.6944,2.6806,0.0876,0.0165,0.4532,0.0008,0.0003,0.1095,0.1756,0.587,0.6113,2.5816,0.3543,1.4292,0.7328,3.2503,0.6065,0.6481,0.0864,0.0931,0.0,330.5907,0.0,0.0021,17.2743,0.0033,0.0
BRN_M,0.1648,0.0001,73.7717,18.1379,6.705,0.1703,0.7397,0.0165,0.037,2.9158,0.0194,0.0003,0.0562,0.0012,0.0,0.0047,0.0001,0.0115,0.0581,0,0.0693,0.0302,1.4212,0.5068,34.1346,14.8142,0.2429,0.1061,0.2602,0.002,0.0056,0.4005,0.2116,5.8971,3.9686,7.4915,0.1109,30.9001,5.2604,25.3815,4.5644,13.0309,0.1197,0.1164,0.0,6.7531,0.0001,0.0021,92.1213,0.0035,0.0
BRN_N,1.1048,0.0012,28.1448,13.3844,2.6896,0.5858,0.7362,0.0455,0.0787,3.9971,0.0209,0.0003,0.1764,0.0026,0.0,0.2343,0.2416,0.0006,0.1625,0,0.4053,0.1171,0.0717,0.4963,41.1261,12.7531,0.1976,0.0774,0.706,0.0027,0.0007,1.4825,0.1952,2.5996,1.9264,4.2227,2.3475,4.7774,16.7476,11.5838,32.5882,18.518,0.1773,0.1183,0.0,14.4711,0.0,0.0038,14.4631,0.0204,0.0
BRN_O,0.5174,0.0042,17.0341,7.676,1.4124,0.5417,0.55,0.0189,0.0202,35.3238,0.1385,0.0024,0.1055,0.0016,0.0,0.0484,0.0,0.0231,0.1087,0,0.2303,0.0753,0.0,0.4871,5.0366,6.7476,2.4879,0.2435,1.2471,0.1837,0.001,1.2703,0.1504,4.0999,0.6599,1.8775,0.5716,2.5598,25.6767,146.722,3.0669,1.2037,0.0832,0.0689,0.0,27.0719,11.1012,2639.4746,0.0738,0.0,0.0
BRN_P,0.1657,0.0001,13.2377,5.3478,1.1683,0.2215,0.1064,0.0074,0.0,19.0263,0.0585,0.0013,0.0445,0.0007,0.0,0.0508,0.0769,0.0,0.0499,0,0.1238,0.0365,0.0039,0.3711,4.6339,2.941,0.0997,0.0518,0.2393,0.0023,0.0002,0.151,0.0999,0.8529,1.0311,2.0801,0.1874,2.0223,0.9121,64.4437,28.5611,5.2255,0.0637,0.0793,0.0,131.3069,2.1186,463.8401,4.726,0.005,0.0
BRN_Q,0.3269,0.0002,13.0812,4.5489,2.3001,0.1289,0.175,0.0091,0.0129,19.588,0.0612,0.0013,0.0605,0.0009,0.0,0.0108,0.0,0.0133,0.0624,0,0.0641,0.0311,0.0032,0.3608,4.2243,2.7655,0.0975,0.0501,0.2518,0.0002,0.0,0.4349,0.0851,0.8512,0.3788,0.7168,0.1726,1.4081,0.9009,35.4815,2.0057,7.3803,0.1426,0.1408,0.0,22.0544,0.6161,227.5619,46.5693,0.0003,0.0
BRN_R,0.033,0.0,0.417,0.0945,0.0335,0.0148,0.069,0.0,0.0004,0.7056,0.0027,0.0,0.0031,0.0,0.0,0.0043,0.0,0.0118,0.0063,0,0.0055,0.0031,0.0,0.0171,1.3538,0.0114,0.0027,0.0551,0.331,0.0,0.0,0.0016,0.0359,0.0001,0.0197,0.1259,0.0075,0.0731,0.0253,3.2189,0.0468,0.0802,0.0745,0.0078,0.0,10.9572,0.0,0.0,1.3686,0.0,0.0
BRN_S,0.0571,0.0,0.341,0.1703,0.042,0.031,0.1051,0.0019,0.0006,1.0152,0.0046,0.0001,0.005,0.0001,0.0,0.0091,0.0,0.0073,0.0096,0,0.0107,0.0071,0.0,0.0576,2.0407,0.0445,0.0084,0.0459,0.7577,0.0,0.0,0.0096,0.0522,0.0056,0.0248,0.2433,0.2855,0.1114,0.0342,1.7164,0.792,0.1825,0.0357,0.0771,0.0,13.2878,0.0,0.0,3.8398,0.0,0.0
BRN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0782,0.0,0.0,0.0,0.0,0.0
