V1,VNM_A01_02,VNM_A03,VNM_B05_06,VNM_B07_08,VNM_B09,VNM_C10T12,VNM_C13T15,VNM_C16,VNM_C17_18,VNM_C19,VNM_C20,VNM_C21,VNM_C22,VNM_C23,VNM_C24,VNM_C25,VNM_C26,VNM_C27,VNM_C28,VNM_C29,VNM_C30,VNM_C31T33,VNM_D,VNM_E,VNM_F,VNM_G,VNM_H49,VNM_H50,VNM_H51,VNM_H52,VNM_H53,VNM_I,VNM_J58T60,VNM_J61,VNM_J62_63,VNM_K,VNM_L,VNM_M,VNM_N,VNM_O,VNM_P,VNM_Q,VNM_R,VNM_S,VNM_T,VNM_HFCE,VNM_NPISH,VNM_GGFC,VNM_GFCF,VNM_INVNT,VNM_DPABR
VNM_C20,3526.8613,73.101,278.3432,101.1773,11.6934,263.2357,1412.9622,189.8062,489.6493,160.1799,2946.0055,86.2453,1267.8347,545.5064,136.3591,110.9415,373.5353,211.0589,20.0804,157.3576,89.537,1176.0945,6.3424,48.7405,385.9723,152.9425,19.335,5.9505,1.3073,3.1312,0.2932,74.7986,13.2736,6.9528,3.3121,26.4172,63.4258,100.5199,43.9602,52.0943,29.1348,40.3404,27.5959,121.7182,0.0,503.9445,0.0018,0.1125,2.3948,-4.9679,0.0
VNM_C21,222.8288,23.8619,5.2778,0.7041,0.0534,149.2831,4.2827,0.9041,0.2846,0.0586,3.0626,945.7196,4.5289,9.9425,0.2207,0.2675,0.0706,0.44,0.0511,0.0233,0.0152,0.7984,0.1314,0.6124,3.3077,21.7714,1.1588,0.068,0.0344,0.1391,0.0,0.5883,0.2467,4.4521,0.0123,3.4553,0.9683,8.1082,0.4643,6.1501,107.8684,1540.8063,15.5126,3.1927,0.0,676.9366,0.0346,91.0011,0.0,-0.7992,0.0
VNM_C22,127.7279,18.9098,187.4957,37.0467,0.1474,170.4292,1159.3152,35.0633,152.4714,15.0263,133.2203,20.7794,3642.0548,34.2475,9.3036,12.6587,389.2187,1126.2191,55.1805,169.2186,119.4559,275.5066,3.846,8.6015,137.2048,150.3309,165.5897,12.2127,0.1032,8.7665,0.1285,9.8468,1.5059,0.7617,5.3103,8.2169,3.7055,23.1345,4.2121,18.6671,9.5732,5.156,2.6766,9.9942,0.0,179.9385,0.0,0.0001,0.0,-40.443,0.0
VNM_C23,58.8879,2.1219,4.5713,4.2285,0.0265,37.9875,5.3189,1.9374,5.1334,0.1447,59.63,20.2638,70.2963,2183.413,46.1861,17.8419,397.3047,109.2792,1.2604,138.1973,7.621,231.4441,2.0827,5.993,7072.1727,65.569,8.4919,5.6886,6.2726,10.1701,0.1429,19.8487,1.2979,123.5319,1.2656,20.2625,382.9955,72.0884,6.1551,30.0908,12.435,3.4393,15.9205,40.0885,0.0,440.3967,0.0,0.0,0.0,-10.1773,0.0
VNM_C24,51.598,3.5651,402.1009,40.6431,0.0038,130.7591,7.663,23.9098,14.1289,0.3159,34.5153,0.7123,113.6994,88.0612,3017.9407,840.9727,217.122,2017.5781,213.1825,460.3423,439.5967,412.5745,16.1278,2.4386,2264.3588,65.1541,4.506,1.4352,9.8662,9.0553,0.003,0.6106,2.0665,46.3958,0.1215,10.8266,73.614,33.2846,1.8297,4.1912,1.6062,0.3703,0.8315,9.7437,0.0,61.767,0.0008,0.0118,0.4093,-2.4559,0.0
VNM_C25,55.0909,15.1245,241.6227,4.2179,0.0309,36.0945,165.2247,26.8193,17.5001,0.1016,15.3782,1.2067,56.5363,44.638,204.0391,90.4764,368.0673,200.3584,103.0563,104.0246,21.7317,282.4852,16.0476,3.5317,365.7735,79.887,14.867,9.38,5.0576,6.8591,0.0211,3.0781,0.5633,3.7107,0.5674,7.1201,13.3061,26.2729,2.8488,13.8695,8.1146,1.6171,1.4276,7.5643,0.0,20.5198,0.0,0.0055,58.3077,-62.9777,0.0
VNM_C26,22.5392,3.1851,2.9676,1.2823,15.568,6.4666,65.7347,4.0792,5.5856,0.3593,14.6441,2.3665,9.8942,7.4622,2.4691,2.072,41816.8156,1312.2928,160.2632,21.077,18.9865,107.403,11.5953,6.4486,96.0778,299.8906,10.0004,2.7332,10.6269,22.7191,1.0211,27.3288,34.4588,2080.2103,89.4758,54.0422,25.1888,49.7752,51.6963,113.1988,88.0632,7.8681,10.177,225.8922,0.0,651.2916,0.0,0.0,950.5931,-241.6874,0.0
VNM_C27,101.6659,29.3733,127.4935,8.5086,12.4959,32.8895,124.0897,9.373,24.6213,25.4168,14.298,1.8761,69.4986,44.1063,117.0178,44.88,3837.6597,1713.6331,244.0514,472.1182,88.093,652.8022,394.6474,27.9001,2206.1878,492.1057,88.7483,16.6538,5.2662,22.5723,4.8251,47.3256,21.8282,75.5161,20.9712,45.4264,47.0231,387.1973,45.3151,118.3923,115.7649,40.1339,15.2512,98.0759,0.0,1916.9838,0.0,0.0,376.2829,-193.4366,0.0
VNM_C28,216.1294,0.9527,1148.2207,4.4842,0.2154,4.7895,67.7195,9.9917,7.9131,0.1263,0.8293,0.5684,24.3285,8.422,28.7175,3.2072,16.8651,3.7842,986.7096,54.3285,19.0215,42.6809,0.436,11.619,252.8685,94.8537,6.3828,14.5256,0.7146,4.973,0.001,1.6325,1.1076,3.5421,0.4788,26.2017,1.953,36.9956,9.3832,4.9361,15.3305,18.7002,1.2015,4.2513,0.0,728.149,0.0,0.0,1570.4591,-550.4415,0.0
VNM_C29,4.895,0.1477,22.3424,0.6186,0.0361,0.4986,1.4135,0.3315,0.0968,0.0744,0.0648,0.0378,0.5496,0.92,0.498,0.2214,11.1001,4.9545,0.6844,2772.965,0.4219,2.6042,1.2451,3.4426,12.2579,6.1458,20.2909,0.9616,0.0227,3.0472,0.014,0.2509,0.2775,0.2189,0.1654,0.6161,0.545,1.7672,1.7535,11.001,0.8825,0.4552,2.6844,0.4062,0.0,2721.6263,0.0,0.0,2713.573,-556.1713,0.0
VNM_C30,8.601,0.3539,0.0565,0.2473,0.0076,0.6663,23.0611,0.8826,2.1059,0.0192,1.0203,0.0062,0.5487,0.7212,0.3434,0.0463,0.0539,1.0353,0.554,0.0212,973.5849,0.862,0.124,2.8216,10.3699,82.3491,2.6503,26.8858,0.0004,20.8017,0.0011,1.2812,0.2022,0.0272,0.0104,0.2181,1.2616,0.2209,22.638,1.079,0.1297,0.06,0.0441,0.0351,0.0,695.8334,0.0,0.0,2860.4011,-379.9394,0.0
VNM_C31T33,327.1564,62.7989,370.3271,29.9668,26.4431,177.8042,449.1869,72.3707,62.6118,44.303,66.9236,45.4972,101.2438,87.8601,83.0117,26.4097,671.4656,89.3394,12.3417,30.9152,203.3923,435.413,437.9146,70.2748,370.924,540.2257,27.4201,160.9423,521.479,289.4314,3.5524,121.0127,15.3066,27.7501,18.0486,174.9415,143.1836,102.3786,54.4204,371.3062,213.9261,111.3377,41.8245,40.5498,0.0,2010.1057,0.0,3.2396,519.9367,-396.7078,0.0
VNM_D,525.623,134.1441,265.968,175.7697,35.8118,397.3761,669.8958,100.4269,179.4619,55.637,180.0556,18.9607,401.04,821.2454,328.8865,66.0113,184.9928,113.1332,23.2661,36.4488,71.8299,257.5193,524.1909,87.9139,119.0003,1173.6892,16.0862,2.6729,2.076,55.0721,5.1383,320.2003,43.0761,127.1014,23.9208,203.9288,247.1187,66.2069,16.0572,131.8555,123.3224,35.4579,34.3052,71.2365,0.0,1988.7095,0.0,0.0,0.0,0.0478,0.0
VNM_E,39.8233,7.1363,19.9953,1.5569,0.212,90.6614,77.2524,7.1912,18.065,57.4716,8.9752,4.5657,29.1215,47.0169,17.8832,5.4658,18.9978,13.8541,3.3671,4.5669,5.4286,28.4339,16.3995,188.4851,52.4813,107.3903,3.9838,1.5837,0.2067,6.0853,0.1304,59.2003,4.1316,3.9562,2.0506,8.1012,59.2958,7.6056,9.8885,29.5962,34.5516,17.5414,6.0826,23.5907,0.0,1054.841,112.9068,0.0,0.0,-0.0026,0.0
VNM_F,209.0873,15.5661,138.4898,6.3614,0.0569,15.8465,102.731,5.3387,7.6595,2.3863,15.0826,1.4228,13.2777,8.1856,5.5033,3.2348,10.9382,5.3891,3.8812,1.291,1.2043,70.5237,32.2326,7.8491,2529.9235,430.5092,68.5924,2.6141,1.4501,21.1131,0.0512,52.2537,5.5883,40.6418,1.5538,15.7158,1531.4664,41.6205,18.6749,167.6153,194.0969,29.3569,30.8721,16.0136,0.0,3093.231,0.0055,0.0642,37231.5059,8.8506,0.0
VNM_G,1713.2751,923.3507,277.5232,34.2102,7.8359,4490.8421,1360.3678,215.1345,335.9332,184.7043,411.1265,109.3493,664.5062,450.2661,191.9584,67.983,3101.7934,551.0735,96.1285,280.8311,170.8567,598.3014,99.8593,27.8535,1325.1153,443.4717,207.1752,14.0868,8.7479,128.5521,6.2831,420.8481,53.0252,161.0022,13.5802,52.78,106.3085,129.3282,33.1425,140.2063,101.4109,152.0309,96.4469,64.5,0.0,6039.9172,2.2969,49.8144,770.8027,0.0,0.0
