V1,LVA_A01_02,LVA_A03,LVA_B05_06,LVA_B07_08,LVA_B09,LVA_C10T12,LVA_C13T15,LVA_C16,LVA_C17_18,LVA_C19,LVA_C20,LVA_C21,LVA_C22,LVA_C23,LVA_C24,LVA_C25,LVA_C26,LVA_C27,LVA_C28,LVA_C29,LVA_C30,LVA_C31T33,LVA_D,LVA_E,LVA_F,LVA_G,LVA_H49,LVA_H50,LVA_H51,LVA_H52,LVA_H53,LVA_I,LVA_J58T60,LVA_J61,LVA_J62_63,LVA_K,LVA_L,LVA_M,LVA_N,LVA_O,LVA_P,LVA_Q,LVA_R,LVA_S,LVA_T,LVA_HFCE,LVA_NPISH,LVA_GGFC,LVA_GFCF,LVA_INVNT,LVA_DPABR
LVA_C23,2.4766,0.0756,0.006,3.0362,0.0254,16.8635,1.9952,3.3116,0.2754,0.0072,0.5181,0.468,1.518,31.2754,0.9274,1.1085,3.1484,3.2772,1.8667,0.385,0.3413,1.7137,0.7315,1.1618,345.4213,8.2347,2.3638,0.0557,0.8287,0.431,0.1618,2.0829,0.3091,0.1781,0.2841,0.622,7.8952,2.2152,2.6234,1.544,1.0641,1.0174,0.9901,0.8461,0.0,46.933,0.0163,0.5533,6.9406,0.833,0.0
LVA_C24,0.4213,0.0508,0.0,0.0013,0.001,2.7755,0.0139,0.2698,0.0222,0.0001,0.0048,0.0661,0.5325,0.9465,2.0215,24.9617,0.0118,0.8606,2.386,8.1603,0.192,0.6862,0.0335,0.0108,6.1157,2.5367,0.2771,0.0,0.0008,0.0761,0.0067,0.0033,0.0,0.0073,0.01,0.0721,0.3823,0.3138,0.0809,0.0026,0.0047,0.0226,0.0681,0.0104,0.0,0.1785,0.0,0.0,2.6976,-0.0185,0.0
LVA_C25,1.8851,0.1754,0.0017,0.2725,0.0113,11.6572,0.3201,8.8956,0.8886,0.0029,0.9343,0.2638,1.558,16.3608,3.3596,96.1166,4.8273,7.7211,21.1399,22.2724,1.6834,24.2305,0.9961,3.1782,182.2306,22.3317,7.6032,0.0579,0.9262,0.9697,0.0847,0.6938,0.3775,0.4756,0.3524,0.6802,5.3799,11.4614,8.7183,35.3906,1.5373,1.355,1.389,1.2548,0.0,41.5476,0.0465,2.0572,34.3843,0.8788,0.0
LVA_C26,0.1781,0.021,0.0003,0.0541,0.0006,0.2658,0.0247,0.1702,0.1728,0.0001,0.0184,0.0679,0.0511,0.12,0.0102,0.057,23.1254,5.2881,0.2607,0.0442,0.578,0.1826,0.5425,0.0826,2.2323,3.1499,1.1396,0.0455,1.0171,0.4629,0.0366,0.1543,0.5635,2.0324,5.4527,0.1912,0.2902,1.5725,1.0076,1.2796,0.9581,0.7424,0.9428,1.6899,0.0,112.7574,0.0263,2.6133,46.8125,0.3912,0.0
LVA_C27,0.3973,0.2045,0.0005,0.0854,0.0036,0.4718,0.0642,0.4398,0.0621,0.0003,0.0442,0.1206,0.1174,0.2616,0.0201,0.1401,3.7525,19.4051,1.6719,0.4587,0.218,2.1424,0.5952,0.1722,19.3163,3.5523,1.3722,0.0819,0.7005,0.2234,0.0283,0.2483,0.2206,1.3474,0.7897,0.2541,0.4253,1.6785,2.113,1.5817,1.2761,1.1902,1.3994,0.2525,0.0,55.8261,0.045,6.0735,45.7717,0.1882,0.0
LVA_C28,2.8292,0.0451,0.0013,0.2287,0.0135,1.0636,0.0699,1.8728,0.1461,0.0012,0.0764,0.1364,0.3602,0.5702,0.0483,1.0406,0.6409,1.5102,2.4489,1.0145,0.0839,1.9011,0.7358,0.275,4.6427,3.7308,1.4491,0.0487,0.8239,0.5926,0.0276,0.2434,0.0878,0.1571,0.2897,0.1386,0.855,0.3522,0.8981,1.1051,0.1854,0.5299,0.2295,0.1019,0.0,9.3468,0.0167,2.3282,135.1914,0.2602,0.0
LVA_C29,1.3711,0.0126,0.0008,0.138,0.0019,0.3431,0.1222,0.6057,0.0287,0.0002,0.0164,0.0442,0.0442,0.1774,0.0226,0.6663,0.0895,0.1481,0.4318,1.6262,0.0536,0.4208,0.0857,0.3767,2.7756,12.4353,8.951,0.1444,0.3345,0.8754,0.0255,0.0828,0.0318,0.0654,0.0775,0.0857,0.1718,0.2231,1.837,1.3928,0.4179,0.3186,0.2987,0.0916,0.0,73.731,0.0183,2.3096,63.4271,0.2014,0.0
LVA_C30,0.2324,0.2463,0.0005,0.0318,0.0006,0.0591,0.0017,0.0406,0.0311,0.0,0.0019,0.0058,0.1273,0.0019,0.0447,0.0184,0.0036,0.0023,0.0025,0.6054,2.2154,3.5694,0.0423,0.0051,0.5463,0.9317,10.0678,0.0032,1.619,1.013,0.0062,0.036,0.0421,0.0358,0.0086,0.0163,0.0432,1.2175,0.5262,0.049,0.0491,0.0212,0.7089,0.0649,0.0,6.5966,0.0,0.0,23.766,0.047,0.0
LVA_C31T33,28.8543,0.198,0.0161,2.1517,0.1085,12.4722,0.7167,11.3523,2.4054,0.0076,0.9111,2.5481,1.5049,4.705,0.5365,4.8476,0.295,2.7346,1.3027,1.1602,1.1294,19.2084,11.6195,4.8381,10.307,37.0672,7.0592,0.2379,11.2542,6.7731,0.4669,4.3562,1.289,4.2897,3.4983,1.1582,3.1733,4.6094,7.2531,8.2535,5.6324,20.8452,4.2876,1.3345,0.0,84.1787,0.1615,3.4779,86.1146,0.3038,0.0
LVA_D,48.1626,1.8957,0.0288,5.1254,0.0688,57.3658,3.8073,85.126,5.5712,0.0126,7.0994,6.6694,5.9412,23.1521,2.484,12.2146,1.3208,4.1184,3.8639,3.2208,0.4099,10.8205,595.857,18.7496,17.4906,98.4832,52.7993,0.2348,0.4845,19.4164,1.2134,28.1236,2.6948,29.0581,8.9609,8.3032,102.0562,5.7094,6.0935,43.6046,76.4208,40.6251,35.1963,12.5082,0.0,512.0448,0.2399,3.3044,6.4752,0.3701,0.0
LVA_E,4.7388,0.2626,0.0061,2.6754,0.0285,18.6554,1.0532,6.0442,1.6331,0.0066,3.2541,1.2265,2.0969,5.7445,18.1798,4.0528,0.1925,0.6092,0.897,3.0512,0.3985,2.0847,6.603,84.3153,27.7364,25.7668,7.1441,0.0863,0.6327,3.9511,0.2526,5.4374,0.2393,0.6584,0.546,0.6529,13.7431,2.5798,7.1795,22.596,15.7659,11.2355,6.7643,2.0707,0.0,188.432,0.0382,20.4881,7.4435,0.048,0.0
LVA_F,19.0827,0.3502,0.0125,3.749,0.0704,14.1372,0.5174,18.1076,1.0373,0.0222,1.1574,1.5775,0.5336,17.5554,0.5533,16.1784,1.2523,2.0105,0.9399,0.8887,1.0674,3.701,100.2992,15.4133,2076.4518,54.0346,64.4846,1.4572,6.1167,9.318,0.6031,6.42,1.1457,20.0543,3.0004,23.0909,97.4795,25.8014,21.0378,157.3524,23.4056,11.0813,11.5259,12.7848,0.0,40.7239,0.4033,14.718,3759.6534,0.3029,0.0
LVA_G,359.5531,5.9646,0.0966,30.6808,0.3135,282.9645,33.7358,292.6912,34.3512,0.1695,43.5393,15.1274,22.1353,60.3718,7.5083,57.5732,32.4947,23.3833,19.6718,19.5006,7.4552,51.9588,91.3497,17.0864,413.976,159.9414,254.0164,2.9636,46.5599,27.1347,3.1247,77.6953,11.2546,11.7957,13.0307,10.7197,37.5215,49.1731,46.5213,47.3847,37.9478,55.2813,20.7891,12.7776,0.0,1822.2155,6.7484,68.8201,471.1495,9.8057,0.0
LVA_H49,47.9122,1.1531,0.0686,18.3035,0.2877,44.6129,2.2973,62.6816,6.3717,0.0555,8.6819,2.434,4.1304,25.8788,2.3547,15.7395,3.2827,3.8962,3.8659,4.21,1.7202,7.8255,27.2506,5.471,100.373,135.6297,149.9942,1.6453,20.2128,133.1243,2.3045,7.5928,1.5628,1.9536,2.4422,1.5448,4.6341,4.6311,16.7998,18.1645,9.4981,5.719,5.6934,2.0323,0.0,263.5711,0.9731,216.7744,56.3473,30.2468,0.0
LVA_H50,1.6691,0.0434,0.0259,0.0953,0.0546,1.5822,0.3194,0.0408,0.2829,0.0046,0.3677,0.0992,0.2909,0.0832,0.1017,0.8182,0.4091,0.3275,0.2455,0.3458,0.0475,0.427,1.9061,0.1434,2.4135,0.6622,0.8617,0.0664,0.4028,0.2065,0.0132,0.4587,0.0394,0.0551,0.0974,0.0297,0.2666,0.1863,0.2723,0.3914,0.2683,0.4259,0.1356,0.1011,0.0,11.6312,0.0383,0.3226,5.169,20.5925,0.0
LVA_H51,5.8509,0.1269,0.0041,1.0502,0.0087,5.0721,0.6767,3.9359,0.8654,0.0104,1.0407,0.3084,0.6711,1.6353,0.2995,2.1944,1.1165,0.7393,0.5762,0.7723,0.1378,1.1363,4.1578,0.419,8.9271,3.6683,5.847,0.0508,3.008,0.4642,0.559,1.1271,0.1591,0.1889,0.43,0.229,0.6705,0.6051,7.7012,1.1232,0.7627,0.979,0.4112,0.2799,0.0,40.4922,0.0917,1.8485,11.2464,34.9289,0.0
LVA_H52,12.0622,0.1647,0.032,4.6597,0.0248,25.9449,0.5218,21.998,0.3585,0.0148,2.9153,0.9554,1.6611,8.1534,0.5278,1.6096,1.6706,0.8398,1.283,0.5002,0.3801,6.9874,0.607,0.2214,16.9482,304.02,102.3614,16.9856,161.4292,1556.9508,0.2533,0.8554,0.3605,0.5284,0.6399,1.8149,1.2985,0.8165,3.5953,27.7732,2.2353,1.2963,0.7676,1.2118,0.0,13.2964,4.4753,13.0161,1.5121,2.332,0.0
LVA_H53,0.4019,0.0238,0.0008,0.1276,0.004,0.8463,0.7106,0.3553,1.8322,0.0034,0.8463,0.2746,0.1208,0.1746,0.0109,0.686,17.8112,0.952,0.0983,0.0823,0.0566,1.7047,0.4621,0.7683,0.9904,36.5487,1.4884,0.0373,0.4888,0.7953,38.1482,0.5488,2.3336,2.8769,9.8528,7.6046,0.6844,2.2549,2.3399,7.7946,2.8826,2.5441,2.7995,1.6717,0.0,17.3672,0.0019,0.0902,0.4131,0.1807,0.0
LVA_I,0.2052,0.0119,0.0002,0.0409,0.017,0.3165,0.0758,0.1067,0.0458,0.0038,0.0468,0.3666,0.033,0.0799,0.0062,0.3055,0.3881,0.1963,0.0649,0.0554,0.0503,0.6191,0.3582,0.0427,2.4903,4.4301,0.8764,0.0169,2.2291,0.4198,0.0437,4.2592,0.331,0.2208,1.9,0.1644,0.071,1.1804,65.9664,2.1715,8.3927,3.6445,2.9722,0.1721,0.0,755.2209,0.0385,0.0004,0.0,0.0,0.0
LVA_J58T60,0.7584,0.0225,0.0002,0.0482,0.0013,1.6114,0.1259,0.433,1.7586,0.0003,0.0749,0.0945,0.0511,0.0823,0.0067,0.0877,0.0671,0.2013,0.1251,0.0686,0.0926,0.1299,0.1756,0.1527,0.9769,10.3134,0.867,0.0544,1.0943,0.4915,0.1095,0.4272,30.7041,16.2851,2.9355,0.833,0.1583,6.0948,0.7145,4.6706,2.8147,0.7529,3.7629,1.4011,0.0,47.902,0.3882,15.2422,48.5577,0.1105,0.0
LVA_J61,3.6932,0.1165,0.0014,0.2793,0.0109,3.5334,0.4139,2.2898,0.4411,0.0101,0.425,0.5087,0.2414,0.6332,0.1014,1.1186,0.43,0.4615,0.4003,0.2207,0.2526,1.0034,9.499,0.7422,14.8554,19.3467,7.9218,0.1536,1.7581,1.7475,0.5509,2.7341,0.974,178.4477,12.0025,15.5207,10.7948,5.4992,13.4177,14.7213,3.9301,5.9345,4.2304,3.613,0.0,296.8538,0.1208,3.0588,20.9372,0.9366,0.0
LVA_J62_63,3.5107,0.0494,0.0024,0.408,0.0115,4.7816,0.4648,2.4504,0.9665,0.0023,0.441,2.4081,0.3383,1.3347,0.114,1.5654,1.1325,1.2255,0.4929,0.9225,0.4354,1.2789,12.0667,1.4917,8.0514,62.4687,27.5794,0.5452,16.5997,4.9678,0.8819,5.2104,9.9229,44.4348,131.1375,69.9628,4.4405,24.2347,53.8217,38.1141,6.7031,9.2573,13.6397,3.7415,0.0,55.2762,0.237,11.5679,137.9557,1.7349,0.0
LVA_K,45.8088,0.8454,0.0061,1.0856,0.0517,13.7176,0.6513,12.4842,1.2654,0.0139,1.0,3.3142,0.7571,4.664,0.3712,3.1204,0.9635,1.3633,0.9083,4.012,0.4688,2.2881,15.595,3.2931,25.3251,122.2004,26.4508,1.2425,14.7589,22.0456,26.3268,12.6524,1.5036,17.4531,9.4202,427.8077,163.3076,28.4546,18.1344,54.9064,2.4421,7.6724,11.795,12.6378,0.0,442.5622,1.0107,1.6331,24.6938,0.8059,0.0
LVA_L,7.0225,0.4128,0.0035,0.9904,0.0284,19.1436,4.0658,6.0808,6.3601,0.0131,3.0149,1.2718,6.381,5.6451,2.4834,16.161,5.635,2.6022,4.2339,2.7607,1.7225,10.7529,5.5814,6.0402,47.7469,578.3566,21.7008,1.0139,1.7642,36.7452,3.9693,110.2108,12.1992,7.0521,40.4337,38.5035,309.6076,30.0286,36.9448,60.2518,39.8865,47.1456,60.1279,19.0228,0.0,2741.0751,40.3592,96.3755,270.1781,0.0584,0.0
LVA_M,20.8637,0.8854,0.0124,1.6865,0.2908,47.9756,1.9835,16.012,3.9996,0.0221,2.6351,14.7974,2.0177,9.1747,0.7007,5.5873,1.6859,7.4543,4.361,2.764,0.7996,6.3468,24.507,9.1077,116.985,355.0069,37.4592,2.3339,6.4953,22.7303,1.7471,19.0369,9.9187,33.9474,26.4747,43.366,42.8103,366.7326,60.6881,46.9092,17.7736,17.7832,29.0135,23.0608,0.0,40.4907,1.6529,58.303,236.0425,1.1347,0.0
LVA_N,13.0716,1.7648,0.0134,2.608,0.0465,23.129,1.6424,16.5949,2.2441,0.0107,2.1933,9.8175,2.3959,7.2624,0.605,9.569,4.0394,7.9688,2.5043,2.223,8.1592,6.3689,14.6659,22.3778,90.9665,254.9297,65.8988,5.9186,127.9386,22.0663,3.3084,42.9192,6.756,27.3398,21.2544,18.399,77.5789,35.6167,123.8956,65.8183,25.7881,35.1543,50.1607,11.3965,0.0,368.6682,0.2982,9.4086,11.9591,0.4867,0.0
LVA_O,1.2902,0.084,0.0007,0.109,0.0019,0.9114,0.0557,0.9026,0.6793,0.0006,0.1696,0.4548,0.1617,0.6602,0.1728,0.3127,0.0762,0.125,0.1732,0.2425,0.1053,0.3153,3.7301,0.6938,6.9908,8.4653,38.866,0.1347,1.4658,9.048,0.0895,0.9957,0.1592,0.9746,1.0093,3.0105,2.0111,7.8718,1.3448,46.5869,15.9286,2.4802,1.2774,3.1139,0.0,61.0049,3.5482,2967.3039,65.981,0.0292,0.0
LVA_P,1.1753,0.014,0.0011,0.1222,0.0015,1.2056,0.1546,0.3587,0.2799,0.0008,0.1791,0.8002,0.1474,0.4238,0.0481,0.8322,0.3502,0.4724,0.1192,0.3555,0.0229,0.5842,1.179,0.4564,3.681,11.5671,2.1699,0.1081,6.1165,1.7293,0.2424,0.8086,0.2987,2.5122,3.9668,1.1873,0.9384,4.3177,2.8957,9.0525,29.4347,3.9861,1.0206,1.9987,0.0,404.3204,37.8912,1339.6794,38.2457,0.0067,0.0
LVA_Q,0.4408,0.0365,0.0001,0.0203,0.0013,0.1668,0.0434,0.0985,0.0327,0.0001,0.0824,0.1125,0.0244,0.0945,0.003,0.0317,0.1118,0.0536,0.0172,0.0558,0.0142,0.1434,0.1002,0.1654,0.1777,0.5905,0.5029,0.0043,0.0455,0.1116,0.0748,0.2446,0.0281,0.0302,0.4093,0.1185,0.4233,0.4393,0.1105,0.6733,0.2296,38.1748,0.1296,0.0496,0.0,631.3767,23.5978,1093.4357,1.3981,0.0122,0.0
LVA_R,0.5633,0.0071,0.0003,0.07,0.0018,1.0833,0.0704,0.4957,0.1027,0.0004,0.1401,0.671,0.0656,0.1257,0.0419,0.3227,0.1385,0.1958,0.0767,0.0687,0.1802,0.2063,0.4346,0.2374,1.8624,6.057,1.137,0.2581,1.5359,0.5471,0.2351,1.6477,4.0192,0.8541,1.6534,2.4087,1.069,4.6813,4.3804,0.7131,0.9271,0.4908,26.7819,0.5655,0.0,639.6942,56.709,230.9315,1.8133,0.0218,0.0
LVA_S,0.3737,0.0872,0.0002,0.0896,0.0021,0.3504,0.1238,0.1755,0.0828,0.0002,0.0436,0.2943,0.0736,0.5638,0.0057,0.1609,1.3975,0.0604,0.0563,0.0647,0.1753,0.167,0.1103,0.2193,0.645,3.0399,0.7501,0.0663,0.5443,0.4056,0.0747,0.7766,0.1984,0.4626,0.3193,2.3783,2.5268,1.2992,0.7197,1.0433,0.7374,0.825,0.9134,0.8574,0.0,160.2086,212.5364,9.2604,22.1858,0.0052,0.0
LVA_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.9636,0.0,0.0,0.0,0.0,0.0
