V1,COL_A01_02,COL_A03,COL_B05_06,COL_B07_08,COL_B09,COL_C10T12,COL_C13T15,COL_C16,COL_C17_18,COL_C19,COL_C20,COL_C21,COL_C22,COL_C23,COL_C24,COL_C25,COL_C26,COL_C27,COL_C28,COL_C29,COL_C30,COL_C31T33,COL_D,COL_E,COL_F,COL_G,COL_H49,COL_H50,COL_H51,COL_H52,COL_H53,COL_I,COL_J58T60,COL_J61,COL_J62_63,COL_K,COL_L,COL_M,COL_N,COL_O,COL_P,COL_Q,COL_R,COL_S,COL_T,COL_HFCE,COL_NPISH,COL_GGFC,COL_GFCF,COL_INVNT,COL_DPABR
COL_C31T33,167.2104,6.2461,188.5072,32.7148,0.9856,189.3744,53.9856,9.7117,49.1095,68.2836,69.5032,11.7055,24.1668,56.3839,45.697,22.6723,0.4836,12.7883,22.3146,25.4212,13.0463,173.9295,155.3286,39.0816,364.3121,188.5287,154.9775,3.4009,91.8616,35.0527,2.5013,64.2467,6.806,55.225,11.746,42.7847,23.8893,44.3825,48.4775,96.6651,43.2674,101.33,54.1873,24.8216,0.0,1952.5832,0.0,27.902,942.2235,-340.8347,0.0
COL_D,1508.6606,65.6432,4018.8373,191.4848,4.8567,770.622,144.3436,17.0291,428.9426,117.1636,268.0808,9.517,256.8265,323.8626,177.0193,70.8095,0.4538,22.5364,92.4185,6.5476,4.0802,92.6715,4847.309,452.8604,36.3819,993.6099,135.7017,8.6132,14.0655,12.4588,11.2048,139.485,17.248,15.324,33.4557,238.1658,40.2334,26.0371,101.8787,651.6741,209.6104,106.2822,121.8084,57.8822,0.0,908.772,0.0,221.4428,852.3386,0.112,0.0
COL_E,34.2789,0.0693,50.0066,0.7662,6.0167,113.0549,22.4109,1.49,224.7391,0.7275,24.8102,3.1926,16.9981,5.202,411.9523,114.6296,0.7553,30.767,10.3766,2.0627,1.4302,14.4417,19.2163,124.1893,28.3505,77.5584,3.8372,1.1465,4.0641,5.5964,1.5756,34.7174,3.0222,13.821,6.8308,50.5345,4.7263,49.6679,4.9689,210.2141,46.4072,93.7185,16.0001,10.3766,0.0,1742.6354,0.0,606.8787,1581.2715,1.417,0.0
COL_F,147.0916,1.0675,61.3659,17.4848,1.4662,40.9953,6.7797,0.7247,2.0804,4.3892,62.4246,9.6245,49.4863,12.1249,2.778,1.3079,0.0262,0.7128,1.4812,2.9808,0.7875,129.6881,524.8228,327.4338,10283.5204,371.7007,166.7093,0.2648,5.7653,45.6718,4.639,196.3349,0.4447,2.9562,0.5376,105.941,1118.6714,128.7824,68.7306,1389.0076,753.7215,72.8011,172.5003,182.0502,0.0,767.9197,115.9317,14.4818,35264.7473,-48.8454,0.0
COL_G,1192.8595,42.1531,327.9084,98.13,8.1881,3522.0309,579.1323,93.9855,407.7072,1162.7855,881.636,165.4529,457.1972,229.9828,108.0942,72.3368,4.0964,123.7396,84.771,229.1696,102.4141,275.3707,498.705,114.5918,1718.2048,730.0586,1242.0763,43.6702,175.7896,74.1126,19.8219,1668.5665,42.7476,155.3132,44.6894,49.581,28.2647,79.2335,116.8755,614.939,170.3069,537.3245,75.9975,148.1243,0.0,17241.36,0.0,291.5927,8773.79,429.6127,0.0
COL_H49,498.4131,3.5202,2012.1858,73.7244,0.7574,796.7605,359.1718,24.7906,129.9229,161.8306,405.8716,38.7364,166.5256,477.5733,24.7943,19.2206,0.4868,20.6727,9.5993,16.4063,5.8144,89.5033,111.6372,118.3466,582.7887,2482.6953,945.4954,0.5772,30.2013,31.7525,62.5711,481.3175,30.6939,78.4511,34.5642,217.0231,56.2157,179.6797,133.624,90.9059,66.1581,95.5647,47.0361,54.6965,0.0,8600.0779,0.4681,120.685,228.8084,35.2598,0.0
COL_H50,0.1865,0.071,0.0627,0.1611,0.0009,5.4493,1.9606,0.1882,0.938,0.0028,0.455,0.1417,1.7051,1.0506,0.2296,0.2,0.0135,0.352,0.6999,0.9002,0.4099,0.7962,0.1306,0.0797,5.625,0.3781,0.3318,0.0028,0.6877,0.1472,0.0138,0.1652,0.0056,0.0411,0.0081,0.006,0.0016,0.0589,0.0234,0.0088,0.3746,0.9384,0.0327,0.1316,0.0,0.354,0.0,8.4837,15.6478,134.3224,0.0
COL_H51,41.9253,0.6729,19.1396,8.388,0.1486,62.0622,26.8635,1.594,15.5695,38.5264,68.3585,14.3672,17.7262,24.2379,5.394,4.7197,0.2145,6.1726,4.2101,9.2732,4.139,12.5835,15.3092,7.514,78.015,434.6912,25.0023,2.2436,57.8002,36.5723,11.0697,81.3541,4.9342,15.2025,7.63,35.8366,8.7627,31.7679,25.0701,177.5753,94.0683,27.6455,8.6946,10.2968,0.0,510.9251,0.0001,6.3761,87.0481,97.6596,0.0
COL_H52,68.9228,0.2751,213.9747,86.3141,0.0311,29.9141,5.9154,1.849,5.3803,7.6378,56.2974,7.696,18.4191,11.5166,4.8179,2.7011,0.0407,1.8951,1.1256,21.4427,6.5857,14.2148,8.4692,6.3612,77.9932,968.1854,1145.2032,7.9243,711.0219,506.7371,45.7019,29.1072,3.8001,3.371,0.1138,13.9258,1.6205,185.7814,9.6731,29.4623,1.0865,4.6381,16.5717,19.0016,0.0,461.3727,0.0,4.7151,11.6663,4.8336,0.0
COL_H53,6.0263,0.0602,0.4347,0.1639,0.0,9.8612,3.4453,0.4331,3.0222,1.1731,8.7748,1.8189,7.1154,2.8311,0.996,0.7971,0.0458,1.2692,1.0689,0.211,0.0548,3.5658,15.8957,4.0164,8.3832,105.3666,27.4246,0.0272,24.049,45.5263,47.1806,37.5806,11.3582,65.9738,13.2879,13.8945,7.9721,60.1681,101.2465,11.0019,0.9235,19.9288,7.6158,7.9341,0.0,121.0403,0.0,0.0,10.2344,0.1386,0.0
COL_I,2.0712,0.4386,23.4879,5.1526,0.6474,24.7644,12.6265,1.5588,5.6109,13.0136,11.5779,2.7314,3.7877,6.5195,2.1476,2.4914,0.0925,1.8837,3.1072,1.1835,0.5328,16.325,10.7166,1.3576,15.5071,199.2019,22.1178,1.3596,88.1852,9.7949,5.3204,58.4781,15.5915,44.1922,19.3918,104.6265,8.0138,81.2164,80.3142,195.1615,80.2003,46.7721,98.8275,69.4677,0.0,21083.7047,0.0,1154.0647,0.0,0.0019,0.0
COL_J58T60,28.6803,0.0276,4.7822,5.2914,0.0487,277.7071,32.6567,2.5453,17.7859,19.8354,36.5374,9.973,0.8177,27.5216,0.4609,0.6086,0.0947,3.0431,9.4979,2.8046,1.4968,4.0315,8.0414,2.0094,5.224,135.3656,60.9877,0.0263,8.1527,27.2053,2.0818,16.2984,21.5989,12.0619,2.4554,0.2593,4.4228,62.3781,0.0167,72.4715,8.495,25.7734,9.6607,4.6406,0.0,342.3577,0.0,0.0001,299.3902,0.1475,0.0
COL_J61,20.9863,0.2284,11.169,1.3773,0.0,42.2179,15.4461,5.1703,10.7213,0.4724,18.646,3.8183,4.9178,6.4851,1.7351,2.3237,0.0985,2.3372,4.927,0.9067,0.3406,28.6255,58.4481,5.9398,94.5387,784.8487,18.91,2.967,15.4106,17.3487,4.8594,116.8189,63.156,1457.8751,73.7764,14.8086,21.493,118.3158,74.9232,147.7529,24.268,78.881,33.4108,72.8362,0.0,7123.55,0.0,0.0,0.0,0.1172,0.0
COL_J62_63,12.2507,0.1123,8.7877,1.1835,0.0,25.4297,11.8777,3.3896,9.7047,0.4735,19.597,3.9901,3.998,5.3799,1.6117,1.7706,0.1116,2.4573,4.2809,0.9781,0.4644,14.1515,69.1663,5.3397,65.4541,601.0864,15.7673,2.2626,18.7273,16.4281,3.2668,47.8152,55.8758,318.394,331.113,17.7225,14.7654,152.2442,76.4192,136.1228,21.5831,66.6989,36.5295,17.7341,0.0,1779.6705,0.0,0.0,421.491,0.4198,0.0
COL_K,287.3892,3.9347,229.9342,19.3517,1.9808,557.2204,152.8318,10.4348,124.2418,99.4424,186.1026,28.5032,78.5643,113.5777,42.7977,35.8201,1.5556,45.6951,31.2633,19.5924,7.6673,68.558,296.8048,49.3473,1764.9113,1410.2388,534.1482,21.8892,96.1203,138.472,54.4683,155.8159,30.6575,173.4195,55.504,5358.6675,803.0975,279.097,206.2931,1230.1256,214.2568,328.7991,122.9781,90.6329,0.0,9707.1684,0.0001,126.8392,63.7413,0.6045,0.0
COL_L,8.7584,1.0498,96.2016,2.1749,0.0,48.2501,158.7989,0.3235,15.2013,7.7176,41.6571,7.5878,27.0823,73.6076,16.9603,23.7169,0.0579,1.7226,13.8427,4.444,1.5131,55.4297,46.7272,123.6271,79.7168,1932.4222,23.9845,1.1472,29.051,271.2043,20.1815,998.4605,57.2102,313.3134,95.7052,745.7096,104.9107,217.673,679.1544,207.1393,539.0086,98.1376,256.7241,152.4553,0.0,23709.8555,0.0,9.2983,165.6371,0.0177,0.0
COL_M,102.0878,0.0,268.3443,22.2572,4.7689,56.6474,76.4457,1.4046,19.009,27.3453,76.2667,15.304,27.5162,16.9651,31.0504,31.6984,0.558,10.0708,13.4957,9.2152,3.2324,76.1794,349.2015,301.1812,335.4494,802.2962,189.7961,8.9644,30.9638,109.1825,19.7771,201.3953,114.9053,516.0188,176.5977,931.7653,263.3796,1328.0469,459.563,3368.0361,1634.9866,441.3991,176.5,115.1344,0.0,308.2453,0.0,63.3961,818.4872,1.7621,0.0
COL_N,65.6099,2.4881,439.9119,84.5458,6.1799,391.7219,239.2643,11.0179,270.9245,148.7456,161.6387,38.805,61.7043,32.2002,16.1145,17.7961,0.597,17.3956,19.423,18.1722,6.2607,76.2666,143.1627,134.6956,202.3882,1610.8258,36.2295,12.3269,98.8134,222.7012,35.1773,427.3843,265.6745,1180.4775,471.9835,1139.9363,594.1862,873.7466,876.0771,2383.9661,352.4373,594.2211,187.017,95.6965,0.0,673.8896,0.0,0.0,35.4459,3.1041,0.0
COL_O,15.1797,0.6303,61.881,15.4525,0.5525,28.3963,10.0608,0.5931,6.7709,3.3906,22.0681,3.4269,10.0187,4.0558,5.7979,3.7777,0.0805,2.1832,1.6947,4.8367,1.5585,11.2108,17.3797,13.0616,55.7394,204.7201,170.6335,1.7208,103.4989,79.0204,7.5087,29.103,12.2162,49.263,16.779,65.9432,6.6873,76.0775,21.9035,82.0673,62.219,25.6363,19.4155,13.8938,0.0,630.3524,0.0137,32450.1091,38.2832,2.0871,0.0
COL_P,0.4923,0.0711,2.8655,2.8549,0.0027,9.2706,2.9676,0.1324,1.1701,4.2507,1.5496,0.7056,0.9101,1.2928,1.5227,0.6915,0.0132,0.3108,0.3926,0.4147,0.2006,7.7473,13.5987,11.4013,15.0191,18.9865,4.3504,0.0332,7.2308,9.2838,1.6725,5.5624,0.0399,0.1776,0.0869,43.0751,13.5162,13.6204,5.6315,205.8703,156.2076,59.4309,2.1248,1.4448,0.0,9121.7027,117.7134,10644.4738,866.3556,0.5797,0.0
COL_Q,38.2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.478,0.0,0.0,0.6723,0.0,0.0,0.0,8.702,14.4736,7281.1534,10.9132,10.4223,0.0,15119.7715,486.1071,3188.5444,0.0,0.0033,0.0
COL_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9088,0.0,32.1912,8.3626,0.0,0.0,1.7854,1.3502,0.0653,1.7048,0.0,3.1008,0.7604,3.9283,0.0,0.0,0.0,92.7532,0.0,0.0,0.0,0.0,5.8661,126.5346,75.4019,50.816,25.4033,7.2652,8.5796,0.0,0.0,131.0953,21.0038,28.5666,200.8885,50.2767,0.0,4692.7646,12.1249,385.5384,10.1763,0.1617,0.0
COL_S,10.3962,0.3335,19.8566,7.7481,0.4698,16.0708,3.2065,0.1623,3.5629,5.2763,26.251,5.7286,0.894,5.4086,3.0019,2.3869,0.0719,1.4962,16.0201,2.9696,0.9093,7.52,6.5398,4.9,15.9326,72.4261,85.2115,2.922,3.408,9.4488,7.4702,18.0226,4.1493,62.8657,11.8341,48.7837,3.7765,33.6016,24.5663,55.8258,6.938,31.8292,261.8123,262.9397,0.0,2762.4139,526.7279,0.0,114.2008,0.0005,0.0
COL_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1997.9693,0.0,0.0,0.0,0.0,0.0
