V1,SWE_A01_02,SWE_A03,SWE_B05_06,SWE_B07_08,SWE_B09,SWE_C10T12,SWE_C13T15,SWE_C16,SWE_C17_18,SWE_C19,SWE_C20,SWE_C21,SWE_C22,SWE_C23,SWE_C24,SWE_C25,SWE_C26,SWE_C27,SWE_C28,SWE_C29,SWE_C30,SWE_C31T33,SWE_D,SWE_E,SWE_F,SWE_G,SWE_H49,SWE_H50,SWE_H51,SWE_H52,SWE_H53,SWE_I,SWE_J58T60,SWE_J61,SWE_J62_63,SWE_K,SWE_L,SWE_M,SWE_N,SWE_O,SWE_P,SWE_Q,SWE_R,SWE_S,SWE_T,SWE_HFCE,SWE_NPISH,SWE_GGFC,SWE_GFCF,SWE_INVNT,SWE_DPABR
SWE_C20,131.8915,0.6419,3.56,24.6587,1.4203,70.4372,36.6364,39.6805,296.3037,12.0171,629.1897,523.5206,390.7213,63.297,60.2278,73.0251,47.1189,61.9585,36.8845,222.0063,6.4393,45.9823,134.3383,49.4251,164.0392,104.2393,38.6982,2.5353,5.9259,24.9695,1.6182,23.227,10.3983,7.2498,16.2502,5.6662,43.9187,63.3052,96.8806,23.5427,15.8291,108.4842,23.3723,52.4934,0.0,957.2787,0.9845,152.5526,195.7032,55.9754,0.0
SWE_C21,24.382,0.5333,0.6248,6.722,0.5025,68.8892,12.7795,17.2784,34.1278,22.1976,38.9285,628.5117,18.7649,14.9656,50.7909,34.4288,14.8841,12.9318,49.5666,70.4966,10.9557,21.6079,13.4101,19.2927,115.3221,214.4822,45.826,12.2539,21.7914,39.0198,3.1899,41.0221,39.1017,16.238,41.4933,8.3199,17.8808,112.4805,55.9529,21.5095,13.647,378.5359,24.5029,14.5275,0.0,1382.9577,2.9171,1119.7291,523.3303,61.126,0.0
SWE_C22,10.4938,0.3031,4.228,2.8427,0.206,87.4753,13.344,27.8296,37.4945,3.9093,35.5029,72.5859,116.2355,39.2175,13.2308,37.4203,31.3121,24.3688,142.9174,362.0455,8.6311,43.9595,8.9663,40.555,296.5733,89.6995,48.059,1.5956,1.7572,18.1466,0.7715,18.9136,5.6296,8.4076,30.6753,12.3304,45.062,55.3168,23.5579,47.4335,15.7419,90.3322,14.9619,12.8821,0.0,524.2242,0.324,27.642,83.5023,26.7885,0.0
SWE_C23,66.5349,0.1417,4.3012,39.869,4.0142,73.3899,3.4288,93.6523,29.0924,6.5171,33.4759,32.0835,14.6389,342.0551,52.434,72.2299,17.7402,16.57,57.8143,176.6415,9.5422,18.813,60.7511,28.5656,1981.4475,44.3218,30.6328,1.7215,1.6313,98.7928,0.9986,15.14,5.2653,2.9142,8.0419,4.2311,193.6494,32.8139,11.0644,16.9453,14.1626,28.9834,7.6288,16.688,0.0,477.4557,0.1644,14.2752,443.7953,38.848,0.0
SWE_C24,34.9636,0.0,1.5818,22.1912,1.9559,2.536,6.0909,31.0526,7.4096,0.0232,12.7483,8.2763,71.7503,109.6994,2375.9966,2564.236,52.577,377.4941,774.0033,888.1193,22.4429,210.0703,18.3605,49.3438,954.4525,12.2813,0.0785,0.406,0.0555,58.7326,1.093,0.202,4.4453,8.0828,12.8401,0.1084,11.5427,12.7508,25.9513,14.3894,5.6574,0.5551,1.919,3.7221,0.0,17.8819,0.0,0.0,0.0,106.6662,0.0
SWE_C25,38.1027,0.7184,2.9331,80.8368,7.1888,118.8824,15.6585,129.9044,37.7669,8.1134,53.8923,40.6841,86.5498,107.4871,125.0487,1023.6207,92.5168,327.9353,1621.9345,1227.7146,212.6896,287.6236,24.884,178.4195,1476.5809,89.8818,19.5948,6.2939,4.3935,59.9262,1.6416,16.9592,11.3336,66.79,47.0678,8.1462,100.8112,69.0905,66.2321,191.5223,27.3698,40.3581,19.7182,23.8981,0.0,867.4238,1.0616,45.8346,2317.043,101.3142,0.0
SWE_C26,5.5118,0.2104,0.2223,1.8806,0.1668,9.1734,1.0606,5.2483,10.0033,3.3048,8.0984,21.9592,3.8989,4.5223,7.6506,15.0251,209.0516,63.9695,69.8192,216.5349,27.1963,23.6437,9.7558,7.1346,131.0808,28.6884,5.8268,1.4035,1.6884,6.1347,1.0646,5.0722,15.5838,16.0299,44.4983,7.9828,6.2756,65.6217,19.6509,17.6321,7.4303,53.0195,12.4612,7.628,0.0,900.0077,0.9823,75.4499,1027.5729,32.2621,0.0
SWE_C27,19.9809,0.2988,1.2205,7.0902,0.5992,18.2728,2.5974,29.5613,16.7689,3.0755,19.5684,15.852,12.5952,21.5181,34.8911,53.1268,139.8567,274.9275,245.777,186.6531,56.6023,72.107,44.735,11.8692,313.6465,53.534,26.3781,16.1818,5.2706,27.0972,1.2133,9.8628,12.3643,22.4122,56.6608,5.0809,19.7317,78.7916,40.0203,29.7567,10.4562,17.7956,14.8616,7.6547,0.0,555.0672,1.2772,59.4445,1047.6397,28.4063,0.0
SWE_C28,109.4478,1.0806,2.8589,21.0465,1.5772,116.3602,12.1821,63.3208,87.101,40.2984,73.2861,87.8761,39.0039,54.6439,95.3675,112.8057,59.1336,66.3233,785.7135,1022.7661,76.4543,144.5579,81.2828,42.8449,398.5389,205.2563,72.1582,31.0854,16.0233,60.7848,2.885,54.7818,31.22,40.5718,73.8188,91.6085,43.0134,177.1123,110.7573,79.4299,29.0035,80.7364,46.1481,25.9562,0.0,947.3282,3.2868,178.5321,4235.3035,116.5387,0.0
SWE_C29,98.9727,2.0642,2.821,21.7142,1.3942,207.8662,21.1228,53.915,88.2167,97.9168,70.0175,104.5638,43.4873,43.6525,138.4781,146.6607,44.1163,51.8113,1190.6132,3791.754,32.0126,71.029,54.0362,55.8955,371.1742,931.536,216.2283,16.0931,22.6926,46.5626,11.678,121.3758,44.2849,31.5268,90.7545,51.0275,86.6545,179.9469,161.0091,78.3233,47.2647,126.4055,64.293,33.7087,0.0,5125.6985,8.7071,459.1474,4067.3098,249.9416,0.0
