V1,HRV_A01_02,HRV_A03,HRV_B05_06,HRV_B07_08,HRV_B09,HRV_C10T12,HRV_C13T15,HRV_C16,HRV_C17_18,HRV_C19,HRV_C20,HRV_C21,HRV_C22,HRV_C23,HRV_C24,HRV_C25,HRV_C26,HRV_C27,HRV_C28,HRV_C29,HRV_C30,HRV_C31T33,HRV_D,HRV_E,HRV_F,HRV_G,HRV_H49,HRV_H50,HRV_H51,HRV_H52,HRV_H53,HRV_I,HRV_J58T60,HRV_J61,HRV_J62_63,HRV_K,HRV_L,HRV_M,HRV_N,HRV_O,HRV_P,HRV_Q,HRV_R,HRV_S,HRV_T,HRV_HFCE,HRV_NPISH,HRV_GGFC,HRV_GFCF,HRV_INVNT,HRV_DPABR
HRV_C20,57.6126,0.5219,0.1478,0.8226,0.704,37.6151,18.6052,5.8386,11.019,21.33,45.1777,15.3761,22.7912,10.4541,1.2326,9.0557,0.8655,5.9459,1.9289,0.4571,1.7028,2.7512,2.6445,1.7385,29.1323,11.184,3.0261,1.2303,0.1177,1.9132,0.1293,9.121,0.5698,0.3605,1.593,1.5748,32.5674,4.0446,5.7752,3.4303,4.493,9.4765,2.4568,5.4304,0.0,172.7766,1.8773,4.9743,19.3661,7.151,0.0
HRV_C21,2.1518,0.4413,0.0386,0.3247,0.1104,2.553,2.1597,0.1873,0.6893,0.6318,2.0527,18.9144,0.8222,0.445,0.1667,0.4109,0.1138,3.6245,0.3732,0.1858,3.3216,0.4389,0.3823,0.1444,0.9108,18.4728,3.757,0.0417,0.0028,0.0755,0.0068,0.2046,0.0109,0.0714,4.6421,0.017,1.3895,2.7938,1.4047,0.5909,1.4844,100.6597,0.4106,0.5232,0.0,116.172,0.8894,178.5099,69.969,7.3384,0.0
HRV_C22,17.4188,6.9719,0.0693,1.3421,0.2593,75.7936,12.0042,6.2046,12.6458,3.3489,6.6571,9.0089,72.56,7.3098,1.1541,17.8879,0.8973,18.0478,12.2025,3.113,17.9732,10.3008,6.0596,5.4259,75.8432,28.3278,22.2513,1.0019,0.2164,3.9858,0.8907,9.136,1.2761,0.7922,5.7363,31.6598,15.0226,8.2294,5.8148,12.8396,2.6788,19.2054,2.6574,4.2525,0.0,88.7257,1.4029,14.0442,96.3995,9.6548,0.0
HRV_C23,7.4004,12.4961,0.7009,11.5288,3.6899,36.3268,4.2592,8.0753,1.6921,1.4015,2.6784,8.4386,6.8344,47.1985,1.4189,16.1444,0.7503,11.8928,3.5057,1.0381,6.6854,6.1969,4.7282,9.2583,564.5891,20.4008,3.8382,0.6205,0.2009,7.5095,0.0888,16.4788,0.3508,0.3343,1.3188,1.2787,7.0708,15.6795,2.4415,16.0362,1.8556,9.0343,4.9681,38.74,0.0,40.2957,0.5995,3.2365,19.8318,13.3604,0.0
HRV_C24,0.0337,0.0,0.0331,0.0125,0.0931,0.4209,0.0,0.5036,0.6114,0.0,0.5785,0.3888,18.7464,33.1964,22.2198,48.2078,0.2235,16.8474,7.4551,0.7227,4.2712,16.3717,0.4323,22.9345,38.82,2.0316,4.1745,0.1105,0.0,0.846,0.0,0.3783,0.2044,0.0,0.0,0.0,5.5028,1.828,0.0224,0.0012,0.1275,0.074,0.1789,0.0803,0.0,0.0108,0.0,0.0,0.0,3.6353,0.0
HRV_C25,11.1746,0.9855,0.2636,0.2444,0.7762,41.3084,4.8416,3.8645,21.798,2.1925,2.2719,3.4427,4.1772,6.0194,3.9365,121.9154,1.5724,38.8507,35.1347,4.2995,39.9758,27.8164,10.4146,2.879,114.6747,76.6131,9.1127,13.2446,0.6662,7.3017,0.588,21.4167,9.8924,6.0083,19.8202,29.8444,11.1873,18.5842,12.7396,18.3735,4.4658,10.145,9.73,12.2961,0.0,142.5402,7.3224,4.8482,440.3944,20.0429,0.0
HRV_C26,1.6766,0.1717,0.0146,0.0394,0.0573,1.9994,0.5486,0.229,0.4896,0.4416,0.2996,0.432,0.585,2.433,0.1275,1.6373,8.9112,12.9325,3.4631,0.4442,6.1476,19.3817,2.0173,1.1965,6.4543,4.9432,1.5328,1.3926,0.1793,1.4038,0.1136,1.8696,0.2599,2.9912,17.2637,0.6469,1.7326,5.839,2.5292,8.5916,1.1104,5.6342,0.8122,9.4314,0.0,61.1507,3.602,11.7747,81.3573,3.7172,0.0
HRV_C27,1.7235,0.1618,0.0196,0.0478,0.0732,2.6055,0.51,0.2942,0.6019,0.4594,0.2468,0.3194,0.734,1.4008,0.1664,3.3456,4.5681,37.9597,21.4457,0.7807,11.1754,26.6887,8.4613,0.9684,45.7299,27.7462,1.0631,21.0465,0.0941,3.9091,0.0724,3.0782,0.5199,1.486,7.9917,1.1764,7.5986,3.4096,3.876,4.5338,0.8582,1.975,0.9028,4.6613,0.0,180.7793,5.1997,5.4773,232.8782,11.2601,0.0
HRV_C28,7.9194,0.6472,0.1533,0.1756,0.475,13.3444,2.4123,1.4395,1.4322,1.6106,1.0041,1.491,1.5149,2.4826,0.9475,23.2742,0.7924,11.6854,18.2625,3.2647,13.6239,11.2314,5.9161,1.2253,42.2068,26.9434,4.4401,5.7299,0.3621,2.5926,0.1342,11.0382,2.5231,2.1926,6.3728,11.2081,3.2916,7.3702,5.3118,6.4896,1.8967,3.8392,3.0539,2.5313,0.0,59.2734,3.846,6.3333,372.4812,11.2923,0.0
HRV_C29,3.3093,0.8796,0.0186,0.1659,0.0567,9.4857,1.361,0.5652,1.1343,0.316,0.624,1.0551,8.959,0.8952,0.1303,2.3064,0.1123,2.7582,5.0278,6.3324,5.8463,1.8265,0.7077,3.6476,11.4822,11.2993,20.0724,0.4458,0.0418,1.686,0.1713,1.4775,0.2727,0.2772,1.0324,4.8116,2.1811,1.9883,5.0947,1.9571,0.2679,0.7027,0.4278,0.4821,0.0,57.6802,1.2077,1.3465,96.4184,4.1082,0.0
HRV_C30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004,0.8549,0.0,0.022,41.2137,5.7454,0.0,0.0457,0.212,43.8308,0.0319,0.07,1.1178,0.0285,0.0,0.0052,0.0,0.0,0.0,0.0,0.0,0.657,0.1213,30.4438,0.0,0.0,6.7794,0.0,0.0,110.9734,0.0,0.0,380.1836,18.6438,0.0
HRV_C31T33,13.5256,1.3694,0.1552,0.5122,0.6725,26.0776,9.9798,13.264,4.4466,5.6047,2.8527,3.4404,4.5549,5.024,2.1951,11.8619,1.702,11.0732,5.5085,0.7944,6.4401,20.6686,19.0021,3.5534,44.7893,37.4866,10.4644,3.5929,1.7902,7.7979,0.2669,24.3583,1.7496,4.564,5.2506,5.0475,8.8795,8.0629,5.8011,19.665,5.8264,141.5372,6.1092,4.7173,0.0,330.4419,5.1713,14.0976,143.1115,8.6472,0.0
HRV_D,26.0672,8.5777,2.0875,4.8661,4.9715,72.7954,19.4878,13.233,28.3483,3.848,26.9062,14.3703,7.9231,35.952,8.165,15.2108,0.4316,8.1516,6.0966,0.7907,3.568,8.3705,440.5309,16.0017,51.8385,394.6568,28.2442,10.9224,3.8593,80.4971,1.5874,118.2095,22.8659,41.463,30.4346,23.0733,119.4928,66.9597,130.8875,214.0033,100.9854,107.8771,69.2678,32.1361,0.0,921.0658,11.517,326.3179,27.6158,0.7002,0.0
HRV_E,22.8644,4.3637,0.4961,0.7141,1.4858,31.4821,9.3529,6.7732,12.1957,9.733,6.9242,4.4391,9.0219,7.424,2.7738,10.0763,1.3647,5.8189,4.7272,1.1146,5.6148,8.0942,29.1054,38.7663,19.2977,64.6001,26.3077,1.0819,0.7117,7.3738,0.9503,33.6077,1.2733,0.7202,2.9497,1.9012,56.7844,11.7398,7.2119,21.3659,8.2041,26.8212,14.9505,13.698,0.0,538.8189,32.973,21.5323,21.9574,2.8571,0.0
HRV_F,15.5028,2.9982,1.3249,10.1184,5.8291,74.1965,14.2582,14.5015,10.3947,26.9574,8.3214,9.3077,14.1594,29.8883,3.4153,46.2422,1.7548,28.5054,20.8406,2.1136,16.4194,38.6278,49.5688,35.1465,1311.3886,92.0132,139.2737,11.3726,18.8702,148.1744,1.3444,35.9057,2.789,5.1776,13.9679,29.7822,152.1381,410.4409,17.3254,58.511,22.6358,38.4541,26.3678,22.5978,0.0,297.8779,21.1514,24.4217,4596.0513,12.5096,0.0
HRV_G,149.5461,18.7481,2.1896,25.4961,11.2944,322.1115,78.1625,62.3498,81.473,62.6076,35.3056,35.1922,61.3017,79.097,14.2528,122.0487,26.1543,81.7101,52.2406,23.1211,76.889,112.0521,176.4705,56.1365,644.5773,349.6143,187.3383,24.4314,12.7706,63.3552,6.7129,243.4488,24.6423,23.0431,76.7017,86.3476,102.9007,125.0823,137.2375,347.039,40.1552,370.7247,53.9089,81.3103,0.0,2341.6101,57.2526,314.5922,1133.1992,107.1748,0.0
HRV_H49,18.9433,4.3463,0.5541,2.7213,2.9234,53.0814,9.4219,9.2939,9.7495,26.2591,7.1318,5.0371,10.7817,14.0862,3.6903,20.2422,1.5561,8.9917,7.1618,2.0192,8.5282,10.18,34.5524,10.7958,89.8002,80.3621,79.5275,2.7168,4.3835,37.0303,6.5698,25.8937,3.3223,2.2549,5.9116,8.4348,14.5197,22.0186,36.7727,30.3585,8.3931,18.4251,7.0221,9.328,0.0,551.5287,14.1383,127.4401,160.6726,-129.0871,0.0
HRV_H50,3.2543,0.2466,0.022,0.1651,0.1757,5.2519,1.2032,0.6812,0.8077,3.0241,0.6666,0.6079,1.31,1.237,0.2724,2.0694,0.6061,1.1327,0.7755,0.265,1.1882,1.6229,4.7642,0.7256,7.9354,3.8236,1.213,0.3918,0.7074,0.5095,0.0539,5.1984,0.3302,0.1959,2.1218,2.0426,1.5581,1.6974,1.3774,3.0212,0.6571,3.5319,0.6682,1.0262,0.0,28.7518,0.8268,4.8478,20.9403,22.4172,0.0
HRV_H51,1.0219,0.0826,0.0125,0.1077,0.1324,0.9121,0.2797,0.222,0.2603,2.1544,0.2799,0.1412,0.5664,0.4321,0.1816,0.6111,0.089,0.4109,0.1968,0.1444,0.218,0.3597,1.2333,0.3348,2.6087,0.7025,0.6231,0.115,0.027,0.0293,0.0259,1.203,0.0459,0.0264,0.029,0.0888,0.5292,0.2554,0.2569,0.3493,0.0296,1.0856,0.1407,0.2686,0.0,5.7151,0.0297,0.9042,4.6637,9.1681,0.0
HRV_H52,5.5481,0.5369,0.2094,0.5728,0.9894,13.2299,2.5985,3.8489,2.9606,5.6334,1.7572,1.3083,2.1834,5.2962,0.6952,4.585,0.889,2.3086,2.0243,1.5521,2.3121,4.572,13.6262,3.8701,65.6377,51.9131,282.1905,1.4394,45.0124,30.7416,1.1924,6.7234,1.2918,26.1597,8.5339,10.3871,9.7521,22.4712,17.4589,12.64,3.0217,5.1585,4.1895,4.0722,0.0,172.8451,7.7346,50.7681,209.3827,11.6111,0.0
HRV_H53,2.9836,0.2632,0.0384,0.1157,0.1982,6.3246,1.5303,0.7883,1.0984,1.3354,0.6212,0.6966,1.0547,1.3323,0.2451,2.1536,0.394,1.086,1.0087,0.1558,1.3265,1.6833,4.6148,1.5455,13.2907,14.8914,2.7587,0.6439,0.435,6.9244,0.2304,5.6433,0.8667,11.1231,4.3292,41.6393,1.7699,6.8698,5.4229,11.6747,1.6112,4.4806,3.1264,4.0785,0.0,76.1238,0.5666,2.6705,13.5569,1.6264,0.0
HRV_I,0.1964,0.1594,0.0532,0.0199,0.1431,6.7633,0.8499,0.3391,0.2611,0.2014,0.4551,0.7148,0.21,0.7204,0.0954,1.4118,0.0679,0.3875,0.9842,0.0325,0.9275,1.1182,2.7994,0.6621,9.4911,22.1633,2.0262,0.0012,2.0957,1.5107,0.2387,4.7147,0.4121,0.6464,6.2205,0.2838,1.7102,6.2712,97.3523,35.6837,5.3205,2.1357,4.8035,9.7639,0.0,1394.0748,0.0358,15.1885,0.2764,0.0,0.0
HRV_J58T60,0.4874,0.0005,0.0684,0.0257,0.182,15.6516,3.3307,0.7977,25.2125,1.6507,1.5718,3.1906,0.579,1.5873,0.0964,1.7666,0.1665,1.0718,1.2304,0.0925,2.414,2.4644,3.9377,0.3122,2.2296,28.7729,0.8305,0.0026,0.0002,0.2583,0.0005,1.5207,90.3908,4.1181,12.3721,0.1892,0.0049,7.2469,0.381,6.2174,2.0156,0.2381,28.6838,0.2708,0.0,425.9285,1.0464,127.716,72.2086,0.2293,0.0
HRV_J61,1.1333,0.2031,0.068,0.01,0.2699,4.0856,1.2905,0.3965,0.9579,0.3642,0.3575,0.5851,0.369,0.9139,0.1115,1.5354,0.0578,0.3288,0.9694,0.0445,0.88,1.13,2.9796,1.6763,16.9555,57.6366,12.205,0.1123,1.2907,11.0617,2.572,6.9089,4.3388,218.9595,26.2324,22.1113,6.0638,22.7159,30.7476,35.7909,14.5216,7.9777,15.2593,11.0211,0.0,792.1094,0.2059,8.1776,1.8291,0.6733,0.0
HRV_J62_63,13.6535,1.3786,0.1071,0.5057,0.5547,25.5615,6.2152,3.0273,4.1374,5.3561,2.7335,2.8584,4.393,5.0258,0.9583,7.7523,9.6866,5.4949,3.2818,0.9407,5.2691,6.4351,19.6228,3.5473,38.0553,35.9575,13.0193,2.1883,23.4461,4.197,0.4176,27.1701,2.4681,1.3424,48.6364,46.029,9.7349,15.7178,18.175,21.0418,4.5326,14.5848,4.4338,4.9057,0.0,193.8308,8.9165,27.1756,303.5688,8.7908,0.0
HRV_K,43.5162,28.0166,2.6822,8.4259,6.7559,249.3621,60.2539,35.1331,39.5872,95.026,30.079,49.2004,21.6484,62.3771,10.2524,91.6033,4.1059,36.589,52.8809,4.7057,70.135,65.6811,201.9995,29.7466,181.3967,158.5823,37.0179,25.777,15.8637,57.2822,4.772,44.5097,2.8842,18.151,21.6771,222.8628,63.3737,37.0805,74.3386,493.4219,24.0664,16.7848,19.9289,22.7849,0.0,867.4236,33.7899,109.6939,64.4273,0.6971,0.0
HRV_L,0.7856,0.0,0.4856,0.0702,1.9028,25.4477,10.7635,3.1423,3.4382,3.664,2.0996,2.7381,3.2897,8.2158,0.687,15.6201,0.2617,4.8774,5.4084,0.3223,4.7242,11.1429,8.4369,2.8149,92.1733,490.7069,45.7629,0.0975,5.115,13.0323,9.5363,26.7231,3.5174,50.8144,19.1213,9.8519,215.7661,124.8489,48.0008,97.9236,4.0309,0.8259,31.942,15.6938,0.0,4434.6365,4.2644,2.4214,1.1656,0.0941,0.0
HRV_M,56.5222,14.6136,1.1367,0.9694,5.4585,119.4358,21.6903,11.1708,13.8073,16.3574,10.9715,15.6623,11.0322,19.3738,2.8955,27.7175,3.7299,20.1697,23.1608,2.4475,18.8624,26.8209,45.4978,34.1377,194.6823,508.6444,44.0793,5.7745,8.9136,28.5548,9.0308,115.0091,80.7866,46.687,62.9116,158.6262,60.5725,413.3743,75.4863,67.7896,51.4647,30.5373,68.8404,58.0432,0.0,339.0452,10.3755,151.7367,295.3467,13.3609,0.0
HRV_N,21.9549,5.4438,0.3973,0.7716,1.5444,47.8226,8.9356,9.1966,7.9514,9.3932,4.2113,5.6289,4.3697,8.7706,1.4699,15.3618,1.361,7.2738,29.9337,1.1272,10.0494,18.3312,28.3976,7.1885,73.0582,114.1881,43.8772,2.7711,7.6649,23.1883,2.5276,41.5973,13.3454,10.1339,31.7416,56.2076,29.1626,56.0071,400.221,60.0812,60.9237,20.812,55.0073,73.8613,0.0,724.58,27.0431,60.2192,56.8566,5.7205,0.0
HRV_O,9.6057,0.0538,0.113,0.2433,0.3231,16.8409,3.5031,1.0264,25.3013,1.253,1.6826,3.2186,0.6347,2.6002,0.1781,2.818,0.2197,1.5205,1.5037,0.1425,4.8565,2.8319,5.4649,5.6619,82.1439,78.8681,4.4134,0.1558,0.9073,9.1539,1.347,17.0258,54.8855,21.4283,14.5493,37.8926,38.2025,33.4122,8.3035,27.3013,10.0123,13.6717,44.4974,17.6398,0.0,358.6848,19.5994,5134.4592,96.0113,0.1056,0.0
HRV_P,19.2619,0.1039,0.1712,0.0698,0.4568,2.976,0.4924,1.6333,0.9463,0.6457,0.5386,0.823,0.2576,0.6412,0.1549,1.0173,0.0853,0.6456,0.9575,0.0527,1.0819,2.7095,5.0085,1.7083,5.6679,101.5522,3.6963,0.0412,4.5425,1.9891,0.2163,21.5337,1.1102,4.0846,21.1901,3.173,2.8005,27.6009,3.9975,137.5163,197.3429,8.1715,4.9549,4.8389,0.0,369.3438,0.4059,2003.1,5.6752,0.1843,0.0
HRV_Q,34.0197,0.0339,0.0183,0.02,0.0559,1.8141,0.2686,0.829,0.5189,0.2038,0.0976,0.1282,0.1555,0.2056,0.0305,0.316,0.0474,0.153,0.1081,0.0217,0.2883,1.1178,0.559,0.3661,3.0981,8.2234,1.845,0.8895,0.0409,0.4191,0.0463,11.0569,7.1715,1.6809,0.8691,3.7484,2.4164,1.9913,2.6812,10.3701,10.7294,55.8223,17.1103,51.1062,0.0,1118.9515,27.9774,2812.4809,3.0596,0.2346,0.0
HRV_R,27.7331,6.0329,0.074,0.3416,0.3902,17.5524,3.6138,51.7044,21.8405,3.7255,2.0912,1.8791,2.8903,3.2981,0.6432,5.1486,1.0111,3.0246,36.799,0.5118,3.2686,69.4921,13.2577,2.0343,24.4408,22.5746,5.4262,1.2765,0.5878,3.7828,0.4473,60.9644,3.4102,6.0802,4.4209,2.8409,5.948,6.465,4.918,12.3502,11.638,14.0169,109.9294,25.0939,0.0,630.1186,68.0035,177.1796,40.4172,8.1046,0.0
HRV_S,7.5914,1.0448,0.1897,0.0836,0.5912,20.4076,8.0137,3.6468,19.8664,2.0292,1.9937,2.9818,1.4733,3.1187,0.4104,3.6298,2.0344,3.98,29.936,0.7316,4.2663,11.2238,8.4913,7.0842,13.8652,123.8613,17.0512,0.7085,1.0978,6.7501,1.0406,48.9015,27.5263,69.0385,69.095,12.2058,35.2378,22.2434,44.4455,74.7067,29.1844,12.3195,23.6014,48.0816,0.0,427.5773,137.5737,40.8765,72.6232,1.5305,0.0
HRV_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.6631,0.0,0.0,0.0,0.0,0.0
