V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T,SEN_HFCE,SEN_NPISH,SEN_GGFC,SEN_GFCF,SEN_INVNT,SEN_DPABR
SEN_C22,3.0017,1.8835,0.0199,0.7156,0.117,65.3063,2.0593,1.1997,0.3486,0.1461,6.1105,0.3326,9.5837,1.7293,0.3318,0.9021,0.0002,0.0152,1.1599,0.041,0.0915,1.9955,0.7154,2.2365,3.3055,6.9823,0.4175,0.0593,0.0805,1.1634,0.007,0.3834,0.0283,3.9333,0.7148,0.8949,0.1636,2.7805,1.2557,0.3221,0.4367,1.011,0.0257,0.0712,0.0,59.7881,0.0,0.0008,1.8164,6.8731,0.0
SEN_C23,2.8499,1.3433,0.0163,0.442,0.0418,11.3612,3.243,0.982,0.411,0.0155,7.9839,1.2435,0.8105,63.5105,0.7297,0.8724,0.0039,0.1017,0.0741,0.0225,0.1457,0.5126,1.004,5.0653,407.1379,6.794,0.2184,0.0029,0.0204,1.0912,0.0177,2.3589,0.2692,3.4739,0.2565,4.1451,2.4377,2.7384,0.8804,3.9762,1.1419,1.9927,0.1518,0.1721,0.0,51.7011,0.0,0.0,2.936,13.3842,0.0
SEN_C24,0.0,0.0,0.01,0.2818,0.0,0.8805,0.0002,0.0856,0.0,0.0,0.0,0.1536,0.0025,0.6676,6.0664,8.9709,0.0,0.7621,0.0077,0.0029,0.1502,0.0791,0.0,0.0043,12.3102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0,0.0097,0.0,0.0,0.0047,0.0053,0.0212,0.0,0.22,0.0,0.0,6.0749,1.8256,0.0
SEN_C25,0.0,0.0,0.0921,2.6155,0.0,10.6546,0.0013,0.9933,0.0,0.0,0.0,0.6831,0.0124,3.0595,2.9838,14.7283,0.0,0.0,0.0293,0.0124,2.0612,0.4009,0.0,0.0224,89.2992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0155,0.0,0.1316,0.0,0.0,0.0717,0.1124,0.2636,0.0,5.0737,0.0,0.0,183.5725,12.4321,0.0
SEN_C26,0.0157,0.0061,0.0015,0.02,0.0011,0.0702,0.0076,0.003,0.0414,0.0008,0.0225,0.0011,0.0015,0.0165,0.0012,0.0032,0.0068,0.116,0.0146,0.0002,0.001,0.0046,0.0221,0.0264,0.0888,0.0194,0.0186,0.0021,0.0095,0.0171,0.0002,0.0183,0.0009,0.3857,0.017,0.0491,0.0034,0.0501,0.0926,0.0682,0.0145,0.0274,0.0006,0.0015,0.0,0.6232,0.0,0.0002,1.3766,0.1146,0.0
SEN_C27,0.0241,0.1692,0.0516,1.1667,0.0198,0.7082,0.0438,0.0246,0.0454,0.0013,0.7232,0.0099,0.05,0.3289,0.0333,0.0714,0.0029,0.0235,0.039,0.0106,0.004,0.102,0.5394,0.2723,5.2455,0.5117,0.6569,0.0976,0.5249,0.4404,0.0044,0.3199,0.0161,2.4196,0.0454,0.0285,0.0925,1.2627,0.7026,0.0347,0.096,0.2456,0.0398,0.0988,0.0,2.8773,0.0,0.0004,38.4126,1.8355,0.0
SEN_C28,0.2513,0.0634,0.0506,1.2918,0.0283,0.306,0.0131,0.0113,0.0213,0.1466,0.2401,0.0044,0.0179,0.4722,0.0102,0.0258,0.0,0.0091,0.0855,0.0045,0.001,0.0358,0.2718,0.098,1.6634,0.1876,0.2277,0.0359,0.1914,0.1624,0.0016,0.1132,0.0061,0.8786,0.0235,0.0256,0.0369,0.5081,0.2398,0.0168,0.0376,0.1092,0.0036,0.0085,0.0,0.006,0.0,0.0,7.5302,0.3834,0.0
SEN_C29,0.0351,0.017,0.0077,0.1935,0.0042,0.068,0.0033,0.0021,0.0043,0.0816,0.0585,0.001,0.0048,0.0692,0.0028,0.0074,0.0,0.0025,0.0004,0.0041,0.0006,0.0158,0.0577,0.0263,0.5394,0.0494,0.0899,0.0099,0.0535,0.0445,0.0004,0.0296,0.0015,0.0312,0.0044,0.0021,0.0099,0.1289,0.0602,0.0025,0.0192,0.0554,0.002,0.0028,0.0,1.4535,0.0,0.0,4.7491,0.2551,0.0
SEN_C30,0.0,0.2561,0.0,0.0,0.0,1.109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8491,0.0,0.0,110.3422,2.1558,0.0
SEN_C31T33,0.1395,1.9404,0.0571,2.1831,0.1454,4.8846,0.8299,2.9364,0.4168,0.0016,0.8562,0.0743,0.2622,0.6174,0.2315,0.5204,0.0004,0.0107,0.0117,0.0051,0.9275,5.1662,1.9851,3.7281,2.8132,1.6539,1.2915,0.0814,0.3496,5.2585,0.0205,0.8149,0.2092,0.6804,0.5984,3.7036,0.159,19.2312,1.4138,14.3666,13.6939,3.7062,0.41,0.6069,0.0,26.1002,0.0,0.0014,84.56,6.2363,0.0
SEN_D,20.2064,9.9947,0.1217,3.7803,0.3344,73.0628,22.9678,2.5663,2.9351,0.107,35.874,0.5759,5.7522,115.0838,1.9438,1.6087,0.0276,0.7211,0.5255,0.1594,1.0483,1.8766,7.8085,36.8719,6.2238,48.5203,1.5583,0.0434,0.1595,8.6318,0.1296,16.8932,1.9821,24.6994,1.863,29.7446,4.425,19.7631,6.5303,28.1926,8.0864,14.1955,1.0899,1.2344,0.0,295.0932,0.0,0.0,7.7503,0.0027,0.0
SEN_E,20.4762,0.1335,0.0595,0.5421,0.0309,5.5871,0.5887,0.2328,0.129,0.6744,1.4829,0.0457,0.2859,2.6994,9.6741,7.3153,0.0,0.0881,0.0085,0.0017,0.1159,0.2239,1.7453,10.8005,7.1032,9.7891,1.2783,0.1392,0.0547,0.8377,0.0182,3.0892,0.112,0.4185,0.0952,1.997,1.228,6.1059,0.7785,29.2412,4.9221,4.493,0.3031,0.4085,0.0,210.2169,0.0,63.8944,0.0106,0.0039,0.0
SEN_F,0.8856,0.0192,0.2746,1.5811,0.2833,5.1187,0.1527,0.5774,0.2158,0.3527,0.2009,0.0009,0.0995,8.7064,0.0121,0.0222,0.0003,0.0047,0.0121,0.0136,0.0057,0.2393,0.4217,0.1069,186.8274,4.6177,0.3181,0.0007,0.0036,5.7515,0.0001,2.6516,0.0777,1.7026,0.1844,2.2062,10.8585,3.2448,1.4162,0.1063,1.246,2.155,0.1823,0.2085,0.0,7.1691,0.0,0.0009,2599.343,0.4396,0.0
SEN_G,79.4432,18.539,1.8405,42.3986,4.7039,322.1523,38.7567,10.1153,9.5582,5.8982,24.9086,1.8917,5.6996,36.8111,3.0199,6.109,0.279,5.115,2.1223,0.227,3.0581,10.5758,49.1697,22.1366,132.0497,63.4501,55.3434,1.8727,5.2563,33.0006,0.44,63.1018,4.0783,37.3578,4.7188,20.2576,5.6453,62.1022,25.1187,71.4432,26.9818,38.7761,2.2464,3.5928,0.0,1761.4418,0.0476,1.2396,335.7928,112.0378,0.0
SEN_H49,22.0833,1.9243,1.6637,17.1887,0.9195,43.6301,4.2036,3.2589,1.142,1.097,16.4448,0.868,1.0709,9.3,1.5396,2.9032,0.0408,0.4994,0.8525,0.1293,0.6898,2.0886,8.5941,3.2913,28.6646,86.4827,6.0718,0.3063,0.7339,16.1947,0.6612,9.183,0.4448,13.5841,2.0629,3.3127,2.7843,15.804,6.416,7.3705,5.969,12.7096,0.5975,1.0252,0.0,349.8169,0.0,0.0945,29.8778,9.5937,0.0
SEN_H50,0.1025,0.0096,0.0047,0.1483,0.001,0.0343,0.0652,0.0308,0.0421,1.1451,0.026,0.011,0.005,0.0044,0.009,0.0049,0.0015,0.0289,0.0144,0.0013,0.0188,0.0406,0.4323,0.0484,0.1426,0.0119,0.1976,0.0007,0.0471,0.0042,0.0039,0.1245,0.0062,0.2003,0.0131,0.0344,0.0181,0.072,0.0231,0.1056,0.0438,0.0657,0.0034,0.0062,0.0,0.8594,0.0,0.0732,2.7048,10.494,0.0
