V1,CRI_A01_02,CRI_A03,CRI_B05_06,CRI_B07_08,CRI_B09,CRI_C10T12,CRI_C13T15,CRI_C16,CRI_C17_18,CRI_C19,CRI_C20,CRI_C21,CRI_C22,CRI_C23,CRI_C24,CRI_C25,CRI_C26,CRI_C27,CRI_C28,CRI_C29,CRI_C30,CRI_C31T33,CRI_D,CRI_E,CRI_F,CRI_G,CRI_H49,CRI_H50,CRI_H51,CRI_H52,CRI_H53,CRI_I,CRI_J58T60,CRI_J61,CRI_J62_63,CRI_K,CRI_L,CRI_M,CRI_N,CRI_O,CRI_P,CRI_Q,CRI_R,CRI_S,CRI_T,CRI_HFCE,CRI_NPISH,CRI_GGFC,CRI_GFCF,CRI_INVNT,CRI_DPABR
CRI_C20,91.107,0.3379,0.0254,1.2401,0.0027,41.9935,3.7763,0.2269,14.7622,47.9099,111.2071,8.0896,61.0273,4.07,2.1837,5.8085,0.3458,7.3109,0.5302,0.3445,0.2885,35.1528,0.4156,1.0063,35.0551,34.075,0.2641,0.1858,0.0489,0.1814,0.0351,10.0873,7.8757,0.3164,0.9827,0.2525,11.6566,4.4056,3.2533,1.4244,5.2673,49.8706,1.5365,12.4985,0.0,393.7937,0.0577,0.0822,0.3122,-0.376,0.0
CRI_C21,5.822,0.042,0.0018,0.0456,0.0001,3.6026,0.0273,0.0006,0.0156,0.3379,0.4229,3.1753,0.0522,0.0113,0.014,0.006,0.0007,0.0081,0.0006,0.0006,0.0006,2.5413,0.0228,0.0188,0.0632,0.4343,0.0058,0.0083,0.0017,0.0359,0.0022,0.759,0.0298,0.0409,0.0051,0.2401,0.0303,0.9645,0.0423,0.3178,0.1846,14.652,0.0367,0.1722,0.0,112.3835,0.023,43.1208,0.1039,0.0118,0.0
CRI_C22,4.7331,0.0383,0.0025,0.0898,0.0002,19.8594,0.8238,0.0447,2.5323,1.4877,5.9772,0.6535,5.1237,0.7475,0.843,0.7829,0.5767,1.6624,0.1206,0.0792,0.0562,32.7836,0.0996,0.3878,10.733,6.2259,0.6493,0.2165,0.0518,0.2191,0.0396,3.136,1.2622,0.039,0.2609,0.1353,0.827,0.6194,0.4061,0.149,0.3216,2.5351,0.1113,0.3786,0.0,51.6869,0.0002,0.0057,10.8027,-6.9308,0.0
CRI_C23,3.1917,0.1563,0.0054,0.3121,0.0006,7.5906,0.0579,0.227,0.3688,0.3514,1.6802,0.9164,0.4167,33.4935,4.5038,2.615,0.894,2.1865,0.1586,0.3533,0.3097,5.5969,0.4181,0.6149,372.4141,10.2404,0.2657,0.7342,0.094,0.7453,0.1874,3.0928,0.2259,0.3564,0.0864,0.2211,36.1603,3.9518,0.2357,1.169,11.3847,5.5747,0.3088,1.4759,0.0,40.579,0.0015,0.0698,16.5976,0.5241,0.0
CRI_C24,0.2406,0.0057,0.003,0.1744,0.0004,0.9581,0.0064,0.0026,0.5321,0.1736,0.0113,0.8707,2.2982,1.4065,60.1496,17.6957,0.6686,36.681,2.66,1.0386,0.6388,43.7887,0.6044,0.0519,77.8948,1.0338,0.0699,0.0828,0.0041,0.0185,0.0,0.538,1.728,0.1152,0.0,0.0,4.9933,1.13,0.045,0.1047,0.181,0.3053,0.0647,0.1191,0.0,2.1569,0.0,0.0,9.0589,-0.963,0.0
CRI_C25,3.2974,0.1384,0.022,0.8264,0.0026,16.1691,0.6658,0.3572,1.4451,0.0561,6.1771,0.2003,3.0586,3.0669,8.619,11.51,3.3765,3.8469,0.279,0.7704,0.7027,43.0864,0.692,0.7055,85.6888,18.9535,0.6517,0.6025,0.0965,0.4669,0.017,2.6843,0.5014,0.089,0.0214,0.1669,4.9858,2.4802,2.287,1.0026,2.2748,6.9641,0.4553,3.9405,0.0,27.7428,0.0,0.0044,40.8831,-7.337,0.0
CRI_C26,0.0857,0.0067,0.0002,0.008,0.0,0.3733,0.0225,0.0029,0.0641,0.0164,0.1101,0.0314,0.0662,0.0216,0.0469,0.1187,1.1893,0.6596,0.0478,0.0273,0.0287,4.513,0.2206,0.0557,4.5471,0.5527,0.0821,0.0773,0.0229,0.0144,0.0144,0.1838,0.0501,0.3989,0.1672,0.034,0.039,1.6615,0.1463,0.0443,0.1921,0.5125,0.2013,0.0915,0.0,66.1524,0.0852,0.0956,64.1593,-41.5037,0.0
CRI_C27,1.0835,0.0939,0.0032,0.0903,0.0003,4.6955,0.2997,0.0284,0.7327,0.3254,1.1959,0.1741,1.1506,0.2717,0.2202,0.5802,1.7924,6.5349,0.4739,0.1108,0.0955,36.4355,0.5385,0.4154,24.1284,3.7269,0.2472,0.1368,0.0445,0.1252,0.0103,1.2162,0.6402,2.1568,0.6788,0.6483,0.4826,2.0985,0.5397,0.7712,0.3836,2.1591,0.3237,0.3139,0.0,176.1415,0.0,0.0264,120.5823,-20.6856,0.0
CRI_C28,0.4198,0.0333,0.0012,0.0499,0.0001,1.1752,0.081,0.0043,0.592,0.1071,0.7476,0.1945,0.3071,0.3668,0.3326,0.2318,0.0605,0.6235,0.0452,0.0502,0.0501,5.4415,0.3049,0.1793,6.1425,0.1531,0.0657,0.0721,0.0152,0.1158,0.0068,0.1498,0.7091,0.0836,0.0357,0.0485,0.0086,0.5973,0.0823,0.3822,0.1067,1.4683,0.0176,0.3266,0.0,0.9308,0.0,0.0,55.6869,-45.2285,0.0
CRI_C29,0.333,0.0301,0.0041,0.2017,0.0004,0.392,0.0194,0.003,0.0717,0.003,0.0057,0.006,0.0593,0.0306,0.007,0.0064,0.5696,1.1746,0.0852,0.1323,0.0156,0.8859,0.2063,0.0515,6.683,1.6925,1.2602,0.1356,0.0859,0.069,0.0032,0.0859,0.0964,0.2987,0.0197,0.0086,0.0637,0.2984,0.2142,0.0004,0.0467,0.2711,0.0656,0.0284,0.0,48.8985,0.0,0.0,48.74,-71.7386,0.0
CRI_C30,0.0589,0.0,0.0,0.0,0.0,0.0084,0.0002,0.0,0.0012,0.0,0.0003,0.0002,0.0,0.0,0.0038,0.0001,0.002,0.0001,0.0,0.0105,0.023,0.0288,0.0001,0.0,0.0,0.1733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,7.9221,0.0,0.0,10.9508,-2.9852,0.0
CRI_C31T33,39.9164,2.2676,0.3345,8.0483,0.0231,65.2968,3.1305,1.4758,14.1351,2.237,17.7584,1.8517,7.0959,9.8011,8.2802,4.3282,2.06,12.2042,0.885,0.1895,0.1835,109.4475,10.5176,4.1213,50.9253,85.7252,5.4133,4.7768,2.1819,6.9844,0.4518,18.03,23.862,5.5314,5.0398,24.1371,6.9375,19.9451,10.2905,7.7133,14.8907,150.0905,7.1165,6.2066,0.0,230.6091,0.3586,3.7701,199.1725,-31.7408,0.0
CRI_D,33.1528,4.6734,0.0919,4.5504,0.004,103.4033,8.8221,2.3778,18.0925,4.3262,9.7374,1.1311,20.6062,18.8745,7.305,6.1048,2.3059,7.9014,0.573,1.006,0.858,34.0749,63.1326,21.9159,15.4007,189.8668,5.6816,1.8665,0.6578,8.1431,0.823,131.3576,23.1852,26.9752,8.9297,16.9929,13.8615,35.8778,18.992,15.4883,24.2661,73.721,11.4114,21.1384,0.0,647.933,0.0,0.0001,3.0163,0.0588,0.0
CRI_E,23.4061,0.7607,0.0047,0.1125,0.0003,30.8903,1.1585,0.0785,2.2358,0.9339,5.1152,0.2318,0.9454,0.5025,0.5546,0.872,0.1699,0.4749,0.0344,0.0714,0.0858,7.4206,0.9983,21.3137,13.5912,46.0376,1.0765,0.8933,0.1851,1.5225,0.2728,30.5434,2.7785,1.2875,1.1084,4.2787,6.4829,4.1081,3.6265,31.7345,6.9795,35.4841,3.1108,9.5086,0.0,413.0141,0.0,0.0001,4.8693,0.0025,0.0
CRI_F,4.2954,0.2197,0.0523,1.9279,0.0046,24.129,0.9639,0.5594,6.457,1.3231,3.0047,1.1659,3.7133,14.6597,2.3238,1.5974,0.5455,2.4718,0.1792,0.3437,0.3876,17.6653,9.2485,10.5803,604.9743,95.0167,3.5155,1.5808,0.4916,9.2873,0.7663,50.7304,9.2041,31.2936,11.0671,18.4587,98.6378,33.3285,12.1842,26.496,46.4909,54.6382,11.0363,49.2171,0.0,86.2536,0.0,0.0,5359.1761,-0.2733,0.0
CRI_G,600.3328,8.2223,0.8232,42.0535,0.0721,657.975,23.7212,13.0536,62.0797,36.9734,121.0876,15.9439,50.2011,41.1919,20.3287,18.4916,9.0935,24.3551,1.7356,2.4729,2.2332,215.1968,67.7106,73.558,399.0409,1515.3282,267.2194,252.887,72.7059,29.4748,5.9696,219.0242,67.8641,31.0338,28.9832,16.8548,41.389,174.4833,146.3188,53.2248,47.4942,250.4293,39.2736,53.3117,0.0,3202.702,2.4236,80.4273,607.225,0.1494,0.0
CRI_H49,21.3363,0.7006,0.0344,1.6618,0.0032,48.1094,1.4729,0.7526,7.5746,3.9949,10.6307,1.5813,5.41,5.5086,2.9499,1.8573,0.8933,2.4226,0.1758,0.1998,0.1351,40.4161,2.0596,1.3713,54.1441,33.4625,9.5292,8.0912,3.5061,2.752,0.7994,21.5147,8.2965,11.5337,2.3,6.2925,4.4989,11.7221,6.1893,4.7723,4.7785,14.3577,5.818,3.6555,0.0,841.9787,0.1705,11.9002,47.4379,0.0551,0.0
CRI_H50,83.8822,0.7909,0.1643,9.6992,0.0171,78.3626,2.8351,2.8156,14.4373,7.1562,15.3324,1.4864,9.9425,22.0915,4.1783,7.6155,1.917,8.9559,0.6495,1.2263,1.3489,54.1776,0.8774,2.044,34.3932,245.3528,7.9769,39.5017,1.8999,40.1528,10.7411,10.667,8.1281,1.3312,1.8349,0.3015,1.5649,8.8767,7.6752,1.1244,6.8284,12.6067,6.3938,2.8124,0.0,119.7158,0.0496,2.6872,38.5221,85.7409,0.0
CRI_H51,1.5214,0.0533,0.0009,0.0308,0.0,0.9577,0.1434,0.0448,0.4489,0.2554,0.4732,0.0179,0.3152,0.1407,0.3685,0.1773,0.0413,0.1702,0.0123,0.0126,0.0066,0.595,0.0215,0.0465,2.9743,0.0495,0.2245,0.1326,0.0173,0.016,0.0133,0.3592,0.0533,0.0159,0.0133,0.021,0.3868,0.0758,0.0519,0.0189,0.0172,0.4882,0.0347,0.1009,0.0,0.0179,0.0111,1.1444,8.0131,33.4212,0.0
CRI_H52,34.9966,0.2525,0.0254,1.0979,0.0019,40.1133,2.5674,0.6054,7.0182,3.2188,3.8662,0.857,3.0095,3.5545,1.1111,2.6662,0.4575,3.6748,0.2665,1.1391,0.9095,19.5865,1.2682,2.1432,25.0928,146.9386,26.3788,46.5599,10.8651,84.5372,8.5958,7.6187,3.4861,25.226,3.3422,4.2046,3.334,14.441,13.3294,2.0833,2.5429,18.1806,1.8309,2.6028,0.0,310.7976,0.0303,1.6266,11.67,4.8055,0.0
