V1,FIN_A01_02,FIN_A03,FIN_B05_06,FIN_B07_08,FIN_B09,FIN_C10T12,FIN_C13T15,FIN_C16,FIN_C17_18,FIN_C19,FIN_C20,FIN_C21,FIN_C22,FIN_C23,FIN_C24,FIN_C25,FIN_C26,FIN_C27,FIN_C28,FIN_C29,FIN_C30,FIN_C31T33,FIN_D,FIN_E,FIN_F,FIN_G,FIN_H49,FIN_H50,FIN_H51,FIN_H52,FIN_H53,FIN_I,FIN_J58T60,FIN_J61,FIN_J62_63,FIN_K,FIN_L,FIN_M,FIN_N,FIN_O,FIN_P,FIN_Q,FIN_R,FIN_S,FIN_T,FIN_HFCE,FIN_NPISH,FIN_GGFC,FIN_GFCF,FIN_INVNT,FIN_DPABR
FIN_H53,10.4328,1.2032,1.756,6.3195,1.5928,36.6045,9.41,22.8314,30.2754,4.7187,37.1471,2.6437,15.7331,12.3992,13.9028,41.1378,43.391,33.6817,115.0907,11.5689,3.0691,31.163,25.6064,0.3299,25.2723,158.3602,3.2779,17.1643,12.3026,3.3932,3.548,18.4374,7.0264,3.557,9.4588,67.6397,31.0835,20.2408,14.6814,127.0886,45.4799,83.4392,37.9385,59.3604,0.0,105.5109,0.0069,0.4219,2.57,0.5808,0.0
FIN_I,13.0349,1.1755,1.2062,1.0253,0.1013,9.7612,0.2623,3.6889,8.1945,0.1607,4.6368,7.0228,5.857,6.1563,1.4477,8.5953,5.2946,8.8528,17.4823,0.7306,0.916,6.7295,3.6973,0.6072,65.9255,244.2858,21.5998,32.8153,88.4291,36.4622,3.616,138.7006,21.1544,7.5852,30.3463,233.5755,26.2459,63.9787,65.7605,249.8208,316.9938,841.1109,132.0348,86.8158,0.0,6688.3525,0.0,23.8735,0.0,0.0504,0.0
FIN_J58T60,8.1664,0.2445,3.6506,8.6012,0.8172,76.7835,6.2018,15.3998,84.6708,12.6496,19.1975,18.7273,8.9536,9.5651,17.3254,18.9929,154.868,20.9383,69.7035,6.6305,4.9746,34.2683,31.643,13.0585,47.1068,405.8847,16.1059,18.3473,27.3528,27.8419,3.7703,66.8167,505.7053,22.876,231.9075,183.4334,26.3729,137.4009,53.2453,137.1883,84.3147,110.6249,321.603,75.4424,0.0,1008.0707,0.344,232.4658,616.1223,4.5811,0.0
FIN_J61,8.0062,0.533,1.3836,4.4526,1.1628,30.5548,3.4595,12.5569,19.1191,4.5363,22.5835,1.6868,10.693,6.5294,10.8362,22.794,25.9721,17.1232,62.769,4.7052,1.9977,20.371,48.8937,3.2136,44.2507,83.7603,21.5738,11.5176,17.5137,10.7834,0.9561,83.4368,34.7423,564.1159,62.2986,236.7903,56.5787,41.5777,76.4125,280.2504,118.6909,254.0137,93.3048,120.1646,0.0,1845.7053,0.0507,3.6226,30.9086,1.4589,0.0
FIN_J62_63,32.2031,0.3628,1.2488,4.248,0.869,52.5563,4.3421,22.0156,164.2455,51.0743,34.7101,11.882,17.1174,19.6326,49.4591,47.3779,482.2916,49.4058,245.4355,11.7325,11.3948,64.2754,162.3666,12.1165,111.4923,512.1643,54.4499,33.4585,58.6883,60.6355,13.0091,60.9554,354.703,65.8009,1190.0613,485.7799,63.5476,210.2074,104.4506,569.5857,137.0172,218.0108,88.8211,69.2505,0.0,392.1403,0.8254,59.959,1625.5004,2.8402,0.0
FIN_K,122.0639,3.2559,7.6383,24.1251,3.4245,110.8113,27.3878,56.4231,116.495,24.1784,113.6057,9.4315,57.3188,40.7299,64.9013,120.6394,136.3364,89.0416,303.5548,29.8371,10.3386,95.394,238.6629,12.9933,151.9198,583.4036,42.6503,47.0184,73.6683,55.9186,16.0147,127.0539,64.6498,36.0797,119.4265,3123.4368,1988.7184,165.0372,125.1517,301.432,112.722,303.9293,91.7443,100.2312,0.0,4955.2258,0.1651,10.5034,101.0656,2.3177,0.0
FIN_L,14.798,1.2644,1.478,8.7468,1.8468,65.8231,2.8253,12.4298,54.975,3.7748,20.938,1.8403,12.6126,8.4799,28.007,83.9027,48.468,15.7247,72.5408,19.3679,39.7405,81.6813,27.6704,41.4086,126.5153,2078.7531,233.9694,20.9531,26.6371,257.9633,44.4659,594.0439,156.6402,149.4564,177.9576,242.791,520.8458,470.0661,201.5792,768.6709,414.3708,880.0625,266.0945,192.4744,0.0,29716.062,11.6137,546.0883,1210.0149,0.2061,0.0
FIN_M,45.4607,1.9669,33.9486,98.988,31.1963,318.9831,21.7105,143.1138,227.2412,22.0572,134.566,72.3845,50.1199,50.7804,118.41,189.5306,1422.2215,88.9398,560.6541,35.679,174.9977,197.4282,258.0276,8.7755,2144.335,1672.6231,60.1013,121.5373,126.4166,142.3072,42.5072,231.8836,180.5359,126.5107,555.4563,333.1044,266.8009,2146.7424,579.0227,945.3143,87.9303,155.6733,104.9324,125.1137,0.0,608.8602,131.9536,675.4019,1997.4993,6.9743,0.0
FIN_N,166.9781,1.718,1.6791,10.0317,1.4774,122.5007,18.3802,56.7531,69.2328,9.3631,106.9762,26.5411,56.8027,81.4066,52.4226,223.8074,112.2547,86.9374,241.2676,47.5855,38.4139,80.7382,73.7521,31.0377,911.9328,1490.8774,147.6712,207.7113,181.7273,348.7492,112.4588,595.3455,149.6779,158.5975,248.9085,227.8755,1028.9547,400.6835,2137.4672,749.6646,301.219,925.6205,152.2014,149.6298,0.0,812.0236,2.515,334.1551,193.1535,7.572,0.0
FIN_O,49.8205,2.1648,12.5307,31.6678,7.47,127.5312,26.7052,77.6026,152.3356,11.4555,91.6194,17.7978,64.944,47.4915,49.8621,159.6434,181.8966,85.7613,322.1186,28.937,30.1627,113.4127,75.1279,9.9314,434.7127,422.1694,78.2415,45.1501,63.1861,99.3978,11.0746,73.8171,47.2724,29.7758,121.1823,189.1601,235.972,254.1057,89.2973,250.2197,91.7898,529.0499,91.0289,151.5774,0.0,815.8265,70.6848,18148.1129,218.6705,0.2561,0.0
FIN_P,1.8822,0.0972,0.559,1.4243,0.3052,11.2873,0.7238,1.9151,5.7616,3.2458,19.6408,29.5333,3.2934,14.8031,47.8788,10.1498,622.7388,28.509,52.0779,4.6092,1.2937,4.8791,20.5285,0.9682,7.3236,34.991,1.5838,5.0399,1.1733,5.7051,3.5592,9.5381,7.1668,2.0747,44.7877,27.5941,10.7691,161.0499,5.8158,206.5822,633.3885,167.8499,62.9811,121.9973,0.0,747.5594,835.685,11153.6675,949.8453,0.8383,0.0
FIN_Q,13.8593,0.0347,0.1269,0.461,0.1195,2.9663,0.1516,0.8327,2.6928,0.2927,1.1701,0.2881,0.515,0.3827,1.3579,2.1285,10.3279,0.8035,3.5763,0.4575,1.0741,2.5739,1.8158,1.257,7.3834,47.1152,6.4593,3.6359,3.0467,7.3339,2.044,10.9462,21.5659,4.513,22.1059,27.3135,10.3908,23.7501,6.2806,96.828,67.2543,2380.6666,12.3899,4.7334,0.0,6399.7174,678.8671,25552.338,35.6697,0.426,0.0
FIN_R,9.6825,0.3734,1.7642,3.5719,0.0971,28.3372,0.9102,1.8606,4.8639,0.4888,2.8371,2.3843,1.964,1.8221,1.6983,3.7497,21.6065,2.6897,8.8241,0.3883,1.0357,3.3255,3.0652,2.059,24.8689,132.9518,4.6728,20.211,4.3672,4.7744,3.5636,75.3083,10.0725,3.1667,14.3302,27.8497,11.9151,27.7126,10.1529,41.3509,106.7006,34.8744,156.6673,14.0804,0.0,3473.7389,736.1998,1194.5399,156.2631,7.8283,0.0
FIN_S,10.3178,3.1249,0.6229,2.5193,0.1085,18.0203,2.18,6.2544,13.1093,7.8392,8.9606,1.6936,4.5246,5.5023,7.7729,17.6628,32.3521,13.1879,23.8956,2.391,4.1897,8.9452,11.5024,3.1449,40.7612,200.3473,24.0764,7.7826,9.4523,11.2114,4.1196,161.1496,19.6998,7.815,39.7881,117.1259,32.855,73.6472,35.2674,106.2453,82.1733,219.0622,76.0994,87.0962,0.0,2180.6419,3064.7923,259.1257,72.488,0.7226,0.0
FIN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.5215,0.0,0.0,0.0,0.0,0.0
