V1,SEN_A01_02,SEN_A03,SEN_B05_06,SEN_B07_08,SEN_B09,SEN_C10T12,SEN_C13T15,SEN_C16,SEN_C17_18,SEN_C19,SEN_C20,SEN_C21,SEN_C22,SEN_C23,SEN_C24,SEN_C25,SEN_C26,SEN_C27,SEN_C28,SEN_C29,SEN_C30,SEN_C31T33,SEN_D,SEN_E,SEN_F,SEN_G,SEN_H49,SEN_H50,SEN_H51,SEN_H52,SEN_H53,SEN_I,SEN_J58T60,SEN_J61,SEN_J62_63,SEN_K,SEN_L,SEN_M,SEN_N,SEN_O,SEN_P,SEN_Q,SEN_R,SEN_S,SEN_T,SEN_HFCE,SEN_NPISH,SEN_GGFC,SEN_GFCF,SEN_INVNT,SEN_DPABR
SEN_C20,111.3716,0.8061,0.5396,6.8786,0.252,14.7577,1.3401,0.0935,1.1741,1.6087,69.8765,1.0028,22.2147,26.0642,0.025,0.2993,0.0009,0.0249,0.1107,0.0157,0.0212,0.384,0.188,4.8432,40.7062,3.3248,1.5792,0.0146,0.3037,3.7364,0.0114,1.1581,0.0545,0.7378,0.1507,1.1927,0.3372,3.8212,5.9795,2.8742,0.7931,3.7629,0.0448,0.1842,0.0,96.0067,0.0,0.0014,0.5863,3.2103,0.0
SEN_C21,0.1392,0.0008,0.0001,0.0013,0.0,0.176,0.0025,0.0008,0.0006,0.0002,0.0012,0.3692,0.0002,0.0025,0.0002,0.0006,0.0,0.0003,0.0001,0.0,0.0004,0.0007,0.0027,0.0007,0.0093,0.0041,0.0016,0.0,0.0003,0.001,0.0,0.0032,0.0001,0.0021,0.0002,0.0009,0.0001,0.3241,0.0008,0.009,0.083,1.7758,0.0038,0.0077,0.0,25.3796,0.0,1.9866,0.0238,0.1878,0.0
SEN_C22,3.7313,2.0803,0.0217,0.9125,0.0662,62.7494,2.1589,1.1859,0.3648,0.0922,5.7069,0.2506,8.1903,1.8483,0.0253,0.7431,0.0001,0.0115,0.9116,0.1558,0.087,1.4805,0.8712,2.6942,2.0108,8.0847,0.3483,0.0408,0.0717,1.1931,0.01,0.1978,0.0287,4.3366,0.7364,1.1409,0.1893,4.2063,1.1463,0.3814,0.5919,1.2804,0.0256,0.081,0.0,64.4475,0.0,0.0002,2.1486,2.4078,0.0
SEN_C23,2.5149,0.9938,0.015,0.4817,0.0197,9.6841,2.8544,1.2443,0.3634,0.0082,7.8962,1.3874,0.5772,93.0542,0.0722,0.9755,0.0037,0.0796,0.0788,0.0137,0.0954,0.4721,1.0476,4.9989,495.0586,6.3756,0.1491,0.0016,0.0157,0.9334,0.0212,0.9997,0.2516,3.3085,0.2601,3.9498,3.9439,3.8628,0.7965,4.0934,1.1416,2.1194,0.1157,0.1494,0.0,54.4592,0.0,0.0,0.7377,6.9504,0.0
SEN_C24,0.0,0.0,0.0107,0.3841,0.0,1.0813,0.0002,0.1019,0.0,0.0,0.0,0.1451,0.0027,0.8542,0.4245,9.0438,0.0,0.9578,0.0086,0.03,0.1723,0.0971,0.0,0.0054,12.0287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0,0.0129,0.0,0.0,0.0081,0.0069,0.0306,0.0,0.2078,0.0,0.0,6.5417,0.93,0.0
SEN_C25,0.0,0.0,0.0956,3.4404,0.0,12.1709,0.0018,1.1076,0.0,0.0,0.0,0.6018,0.0127,3.7452,0.2406,14.9914,0.0,0.0,0.0333,0.1144,2.2543,0.4805,0.0,0.0262,89.9115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169,0.0,0.1611,0.0,0.0,0.1115,0.1333,0.3554,0.0,4.8898,0.0,0.0,208.702,3.9962,0.0
SEN_C26,0.0192,0.0059,0.0014,0.0218,0.0006,0.0674,0.0079,0.0028,0.0345,0.0007,0.0157,0.0007,0.0012,0.016,0.0005,0.0027,0.006,0.0829,0.0145,0.0001,0.0011,0.0041,0.0196,0.0247,0.0582,0.0188,0.0143,0.0012,0.0069,0.0146,0.0002,0.0126,0.0007,0.3313,0.0139,0.0502,0.0031,0.0604,0.0818,0.0672,0.0143,0.0283,0.0005,0.0013,0.0,0.6203,0.0,0.0002,1.8181,0.0379,0.0
SEN_C27,0.0268,0.1789,0.0539,1.3676,0.0109,0.5981,0.0415,0.0213,0.0443,0.0011,0.5562,0.0072,0.0409,0.3385,0.0032,0.0589,0.0031,0.0204,0.0459,0.0043,0.0032,0.1066,0.5027,0.2744,3.4942,0.5558,0.5377,0.0649,0.4594,0.4334,0.0061,0.168,0.0148,2.5097,0.0456,0.0387,0.1015,1.7564,0.7128,0.0405,0.1124,0.273,0.0363,0.1004,0.0,2.71,0.0,0.0002,44.1831,0.5853,0.0
SEN_C28,0.2558,0.0676,0.0527,1.3227,0.0155,0.263,0.0123,0.0102,0.0216,0.0924,0.1942,0.0033,0.0148,0.4872,0.0008,0.0215,0.0,0.0082,0.0809,0.0017,0.0007,0.0381,0.2589,0.1028,1.1199,0.2066,0.193,0.0242,0.1699,0.162,0.0022,0.0587,0.0056,0.9469,0.0239,0.0321,0.0409,0.7309,0.2459,0.0203,0.0461,0.1273,0.0035,0.0089,0.0,0.0062,0.0,0.0,8.4261,0.1179,0.0
SEN_C29,0.0191,0.0095,0.0044,0.1112,0.0012,0.0289,0.0017,0.001,0.0023,0.0264,0.0245,0.0004,0.0021,0.0378,0.0001,0.0032,0.0,0.0012,0.0003,0.0008,0.0003,0.0089,0.0285,0.014,0.1742,0.0285,0.04,0.0035,0.0249,0.0233,0.0003,0.008,0.0007,0.0175,0.0023,0.0015,0.0057,0.0941,0.0322,0.0016,0.0133,0.0355,0.001,0.0016,0.0,0.6491,0.0,0.0,2.5908,0.0397,0.0
SEN_C30,0.0,0.3382,0.0,0.0,0.0,0.9994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5416,0.0,0.0,115.9529,0.5199,0.0
SEN_C31T33,0.2089,1.6443,0.0534,2.505,0.0753,4.7339,0.8577,2.9718,0.4197,0.0033,0.7971,0.0514,0.2622,0.6241,0.0245,0.5272,0.0005,0.0107,0.0163,0.0041,1.0715,3.9904,1.8235,4.2437,2.7668,1.7209,1.0559,0.0517,0.2954,5.2386,0.026,0.459,0.16,0.7823,0.5848,4.1067,0.1632,21.8105,1.3848,16.2862,12.7931,4.5879,0.2751,0.448,0.0,27.7875,0.0,0.0015,96.4775,1.0026,0.0
SEN_D,21.2121,8.6742,0.1317,4.5968,0.1804,68.2461,24.0395,2.4159,3.0802,0.0678,29.5478,0.4357,4.8757,122.0317,0.1881,1.3376,0.031,0.6714,0.6648,0.1159,0.8119,1.5123,9.283,42.9381,4.3154,54.0911,1.2582,0.0238,0.1403,8.4859,0.1829,8.4928,2.1634,27.9827,2.2304,33.6553,4.8773,33.0478,6.9227,34.5507,9.6302,17.9468,0.9854,1.2715,0.0,331.8911,0.0,0.0001,3.9854,0.0049,0.0
SEN_E,25.893,0.1438,0.0577,0.6216,0.0168,5.1122,0.5891,0.2118,0.1448,0.4224,1.7005,0.0369,0.2387,2.698,1.2014,8.5504,0.0,0.0791,0.0096,0.0109,0.0851,0.1896,2.1268,20.2092,5.8827,10.847,1.0563,0.1276,0.0503,0.8455,0.025,2.1479,0.1193,0.4615,0.1122,2.3866,1.3582,8.7059,0.826,35.5816,5.3631,5.8346,0.2279,0.3502,0.0,241.8537,0.0,68.8127,0.0316,0.0033,0.0
SEN_F,1.1912,0.0254,0.1763,1.3702,0.1379,4.7592,0.1449,0.4494,0.1935,0.1934,0.1788,0.0012,0.074,7.9844,0.0037,0.0218,0.0004,0.0059,0.0125,0.0052,0.0084,0.1557,0.3881,0.1116,108.1095,4.5018,0.2456,0.0009,0.0051,5.0442,0.0001,1.3524,0.0599,1.636,0.1667,2.7519,10.054,3.5735,1.3077,0.1358,1.329,2.1419,0.1509,0.1894,0.0,8.6801,0.0,0.0011,2444.2874,0.1727,0.0
SEN_G,94.3216,19.777,1.93,48.4834,2.6883,315.9617,39.675,9.6913,8.9968,3.9336,23.1409,1.5047,5.4166,39.4238,1.0059,5.5725,0.2475,3.7827,1.988,0.2057,2.9919,8.5456,49.7598,26.3541,108.9556,71.7294,47.5709,1.3998,4.5919,32.6848,0.6382,52.8023,3.4575,36.1214,5.0484,22.979,6.219,78.2418,23.3729,77.8049,27.1149,48.6402,1.7489,3.1292,0.0,1850.7085,0.0533,1.0286,373.0269,37.2787,0.0
SEN_H49,25.2377,1.831,2.3281,28.2454,0.6412,33.3241,4.4042,3.1981,0.9206,0.5952,15.14,0.8116,0.9715,9.9396,0.2784,2.45,0.0432,0.3575,0.9771,0.0637,0.4253,1.5007,8.5679,4.8915,20.9916,109.4877,5.8232,0.2373,0.5665,17.8803,1.2226,6.8385,0.4199,15.4683,2.5967,4.6327,3.3334,23.2288,6.9428,9.961,9.0273,21.1514,0.7221,1.4045,0.0,321.6178,0.0,0.0364,23.1133,2.1379,0.0
SEN_H50,0.0934,0.0066,0.0018,0.1248,0.0006,0.0264,0.056,0.0258,0.0388,0.7994,0.0108,0.0086,0.002,0.0019,0.0028,0.0019,0.0015,0.0236,0.0124,0.0011,0.0157,0.0293,0.4371,0.0529,0.0731,0.0031,0.1738,0.0003,0.0352,0.0014,0.0008,0.1084,0.0047,0.1861,0.0127,0.0394,0.0253,0.1213,0.015,0.1278,0.0439,0.0777,0.0027,0.0057,0.0,0.7768,0.0,0.0763,2.4904,13.4507,0.0
SEN_H51,0.2788,0.3018,0.3492,3.9994,0.2517,1.6184,0.0807,0.1461,0.1466,0.2226,4.1028,0.0764,0.1194,0.6336,0.0122,0.1842,0.0005,0.1832,0.1266,0.0152,0.0523,0.4843,1.07,1.5465,3.0772,10.0395,1.0853,0.0039,1.2478,3.6096,3.397,0.2714,0.7598,1.4845,1.4171,3.4836,1.3882,4.903,2.8718,5.0025,1.0082,1.9097,0.0895,0.134,0.0,18.5388,0.0,0.0024,0.7513,0.3548,0.0
SEN_H52,3.8344,6.1969,3.2957,25.0929,27.5347,51.0091,2.2943,1.2642,2.74,10.1204,7.0815,0.3567,1.2638,12.3003,0.0815,0.8776,0.2448,0.2836,0.6097,0.1331,0.5722,4.0511,3.1201,10.3895,17.1051,222.7215,9.9198,0.6272,0.3148,179.2729,1.1045,1.0501,1.6132,11.5778,3.1237,0.8913,4.8845,64.1764,5.6686,2.7075,1.3104,2.892,0.2033,0.4307,0.0,23.6463,0.0,0.0069,3.6678,0.5432,0.0
SEN_H53,0.0069,0.0217,0.0142,0.1041,0.0094,0.2513,0.0085,0.1255,0.0535,0.118,0.0699,0.0338,0.0337,0.0736,0.0003,0.0077,0.0,0.0,0.0212,0.0,0.0022,0.0035,0.0,0.0,0.0,1.1261,0.0711,0.0043,0.0106,1.1133,1.3074,0.3742,0.0035,0.4262,0.1076,1.5852,0.0144,2.9494,0.1315,0.5908,0.1902,0.3066,0.0111,0.0212,0.0,12.5628,0.0,0.0,0.0,0.0014,0.0
SEN_I,1.105,0.2235,0.513,4.6664,0.252,3.0057,0.2753,0.0594,0.0918,0.6341,0.3618,0.0563,0.0428,0.2847,0.0016,0.0329,0.0012,0.0758,0.0127,0.0003,0.0213,0.2104,3.1875,1.1209,0.4318,3.1072,4.1836,0.0729,0.2358,5.0457,0.0892,2.6767,0.0679,5.9913,0.6797,9.5352,0.2582,12.0052,2.5131,49.7592,10.3532,34.2008,0.8394,1.5895,0.0,399.6528,0.0,0.0041,1.6464,0.1974,0.0
SEN_J58T60,0.0112,0.0223,0.01,0.0577,0.0283,2.7306,0.0181,0.002,0.0234,0.0002,0.1336,0.022,0.0071,0.0584,0.0003,0.004,0.0,0.0064,0.0028,0.0,0.0059,0.0173,0.0688,0.0365,0.0086,1.7197,0.1259,0.001,0.0423,0.3393,0.0052,0.7541,4.6239,7.1219,0.3343,0.997,0.1089,26.773,2.0033,0.0701,0.6747,0.0449,2.2924,2.3673,0.0,37.3542,0.0,0.0001,28.1159,0.0025,0.0
SEN_J61,1.2649,2.0099,0.3144,3.6317,0.3921,8.3768,4.8368,2.0787,0.4988,0.2601,2.0727,0.5217,0.1903,1.6826,0.0345,0.9961,0.0,0.2463,0.1003,0.0743,0.1123,1.0696,1.2474,1.3128,9.7222,57.3011,6.2276,0.0561,0.3111,13.0853,0.3363,2.8892,3.0751,229.4769,1.9971,25.93,5.7815,26.1104,12.9465,44.7899,8.2706,6.5,0.8244,1.2732,0.0,889.5982,0.0,0.0,4.9037,0.1024,0.0
SEN_J62_63,0.4107,0.9959,0.5272,4.5534,0.109,2.5737,0.101,0.0296,1.5415,0.395,0.5895,0.5341,0.066,0.2298,0.0048,0.0276,0.0006,0.0349,0.0375,0.0002,0.0206,0.1114,0.91,1.6143,2.3636,6.6587,0.6175,0.2209,0.4379,15.5164,1.3514,0.2587,0.2359,3.8855,9.7115,0.9688,0.2989,6.2629,1.0988,17.7489,0.5766,0.2556,0.1108,0.2931,0.0,2.9265,0.0,2.363,45.9807,0.0671,0.0
SEN_K,4.2852,2.0479,1.2174,16.0304,6.7217,41.193,1.3086,2.2139,5.3841,18.9443,16.9283,1.1067,6.3251,21.7185,0.27,4.1917,0.0807,0.1036,0.1087,0.7117,0.2493,1.2655,11.8838,12.4797,27.8521,110.1371,32.6786,0.294,4.455,54.2447,0.2239,7.075,3.58,24.7321,2.3415,91.1737,118.6738,46.1167,15.7115,24.1613,1.4977,18.4412,2.323,4.3595,0.0,327.3656,0.0,16.3232,3.0783,0.1399,0.0
SEN_L,0.5886,0.4356,0.3387,6.4477,0.992,17.7528,30.4618,2.6476,0.8849,0.0,1.0879,0.3728,0.1869,2.5512,0.0404,1.0924,0.0,0.0,0.1587,0.1885,0.141,2.5956,1.3613,2.3266,26.4333,190.9825,7.1313,0.1067,0.7554,26.6484,0.9631,6.9341,3.9357,24.428,4.5607,28.353,6.6054,53.0199,10.4689,30.0298,15.9185,19.7726,0.8899,1.6318,0.0,1570.0058,0.0,0.0,0.0,0.0,0.0
SEN_M,19.1832,2.5378,5.4578,90.1486,1.67,36.7993,3.9645,1.4048,1.2668,1.1069,6.1164,0.8126,0.685,10.7926,0.0643,0.5763,0.0199,0.6043,0.2386,0.1167,1.3813,1.7021,8.2178,46.0928,44.2817,26.7317,5.2611,0.1462,0.8944,27.1269,0.423,6.7316,1.5812,84.1906,7.6746,103.5875,7.9267,334.6326,8.7775,81.6013,15.0198,32.6352,1.5333,2.3464,0.0,165.8601,0.0,0.0671,1186.3628,3.4346,0.0
SEN_N,0.8881,0.6111,1.553,13.4574,0.8343,30.7377,1.466,1.1209,0.2826,13.773,3.8804,0.4252,0.27,0.8286,0.0168,0.354,0.0,0.1431,0.235,0.153,0.8129,1.8086,9.5946,8.229,35.5506,22.3757,1.3314,0.199,1.1379,36.5651,0.6867,2.9913,7.9358,91.6163,2.5848,103.5183,4.4669,40.2052,29.0948,13.7645,5.6547,27.7066,5.6834,5.6513,0.0,147.4674,0.0,0.0001,0.0295,0.0059,0.0
SEN_O,0.2185,0.0292,0.0014,0.0351,0.0015,0.6833,0.0941,0.015,0.0172,0.022,0.038,0.0021,0.0041,0.0677,0.0002,0.0051,0.0005,0.0072,0.003,0.0002,0.0025,0.0116,0.1038,0.0244,0.1733,0.0785,0.06,0.0015,0.0087,0.0242,0.0002,0.1326,0.0051,0.0554,0.0064,0.033,0.0046,0.1034,0.0216,0.1112,0.0557,0.0633,0.0023,0.0039,0.0,5.1075,0.0974,2055.3047,0.662,0.4388,0.0
SEN_P,0.0493,0.8235,0.2084,1.0894,0.0082,0.4084,0.0383,0.0472,0.0025,0.5522,0.1658,0.0596,0.0273,0.0,0.0026,0.0442,0.0,0.045,0.0104,0.0,0.0499,0.1091,0.0,2.1088,0.6369,2.3498,0.217,0.0848,0.2669,3.2333,0.0056,0.0642,1.2669,7.759,0.6043,1.8353,0.0719,4.5235,1.2919,0.466,1.7384,1.379,0.2916,0.481,0.0,169.036,43.3262,1039.5771,0.0,0.0059,0.0
SEN_Q,0.1983,0.0199,0.0009,0.0221,0.0011,0.4974,0.0652,0.0369,0.0112,0.001,0.026,0.0013,0.0028,0.0477,0.0003,0.0038,0.0003,0.0046,0.0019,0.0001,0.0017,0.0129,0.0642,0.0158,0.1277,0.059,0.0386,0.001,0.0053,0.0172,0.0001,0.1006,0.0034,0.0351,0.0042,0.0248,0.0031,0.0687,0.0147,0.0872,0.0389,9.9229,0.0017,0.0029,0.0,250.2301,167.916,312.9065,0.5184,0.0597,0.0
SEN_R,0.0,0.0,0.0,0.0,0.0,0.0,0.0925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4148,0.0,0.0,0.0,0.0,0.0,0.0838,0.0,0.7328,0.0,0.0,0.0,2.6479,0.0,0.0,0.2057,2.2207,2.2077,0.2935,0.0,29.0867,1.2634,11.3395,0.0,0.0,0.0
SEN_S,0.0,0.0,0.0,0.0,0.0,0.0,0.2098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4056,0.0,0.0,0.0,0.0,0.0,0.1159,0.0,2.2021,0.0,0.0,0.0,5.4645,0.0,0.0,0.3125,11.0963,0.827,2.2842,0.0,38.3053,9.285,16.2245,0.0,0.0,0.0
SEN_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.7314,0.0,0.0,0.0,0.0,0.0
