V1,PER_A01_02,PER_A03,PER_B05_06,PER_B07_08,PER_B09,PER_C10T12,PER_C13T15,PER_C16,PER_C17_18,PER_C19,PER_C20,PER_C21,PER_C22,PER_C23,PER_C24,PER_C25,PER_C26,PER_C27,PER_C28,PER_C29,PER_C30,PER_C31T33,PER_D,PER_E,PER_F,PER_G,PER_H49,PER_H50,PER_H51,PER_H52,PER_H53,PER_I,PER_J58T60,PER_J61,PER_J62_63,PER_K,PER_L,PER_M,PER_N,PER_O,PER_P,PER_Q,PER_R,PER_S,PER_T,PER_HFCE,PER_NPISH,PER_GGFC,PER_GFCF,PER_INVNT,PER_DPABR
PER_J61,2.0736,2.0678,3.1272,17.6766,0.8605,12.532,7.3264,0.5196,1.2021,0.9811,1.2204,0.5497,1.7436,1.0416,0.634,7.1519,0.9165,1.3316,6.2134,0.9438,0.3748,0.4892,6.1869,2.147,12.6988,87.0017,6.9247,0.295,2.0004,7.8873,2.6857,71.3137,19.6875,943.0219,3.6737,381.6171,5.4649,98.9429,54.8406,164.2922,41.306,63.9974,15.517,31.3753,0.0,6886.6032,0.0,0.0,0.0,0.0305,0.0
PER_J62_63,0.0011,0.0018,3.0043,1.0269,0.0005,11.5687,0.6854,0.2717,0.9452,0.0035,8.4722,2.2679,1.9344,1.248,0.56,0.344,0.2343,0.2544,0.6909,1.2071,0.5236,0.425,0.6064,0.2108,5.1692,14.9604,1.1427,0.0001,1.051,3.4584,0.203,4.0422,13.6367,96.2541,44.9172,81.2136,3.7901,71.3427,49.7143,7.8503,1.5026,5.6082,0.0159,3.224,0.0,21.8407,0.0,0.1931,195.3575,0.0,0.0
PER_K,248.6487,98.6896,177.6334,1217.6611,9.2212,1010.9346,107.4222,11.455,40.3437,49.8253,109.1297,25.2876,78.3215,64.289,152.2693,64.4552,0.9623,12.7701,23.5455,13.8437,5.6768,44.6079,223.3098,54.9104,412.6952,1188.3542,193.6515,3.7816,12.5968,99.2511,4.4607,225.6095,54.4398,331.4513,12.7065,2126.2055,319.302,423.1162,205.0567,502.0364,146.2195,115.6252,69.2152,62.9934,0.0,7309.6272,0.0,75.107,23.8882,-0.919,0.0
PER_L,10.2002,3.0256,31.5236,14.1073,0.625,76.7769,23.572,0.3774,2.6374,0.3915,5.3569,6.6408,4.9754,1.801,0.5208,8.0621,1.6149,0.3543,5.4159,9.4934,4.3196,21.5349,5.212,0.2823,16.7587,268.9237,15.8932,0.3453,0.9313,44.3754,4.7717,148.1459,23.5266,163.4669,9.7425,335.5211,19.0249,285.7656,119.8883,31.6122,147.5642,51.2441,70.4815,83.8303,0.0,6389.8235,0.0,0.0,64.7917,0.0,0.0
PER_M,112.7986,8.0655,100.2723,451.767,28.4918,756.9498,94.3749,2.2582,33.2326,38.9464,402.3589,105.8499,98.6608,17.8377,78.2655,137.9089,8.1148,14.624,28.4565,51.6174,20.5206,34.8914,72.7832,16.4565,646.6704,478.5602,100.3932,0.5794,37.3314,151.5683,5.2521,90.8909,220.343,1544.5037,43.3954,934.9438,277.3179,1405.2374,372.8626,479.6986,303.8153,400.612,138.2763,366.3218,0.0,388.3557,0.0,0.0,207.6619,0.0168,0.0
PER_N,138.5513,4.5897,46.1068,283.6435,10.108,161.7269,20.7502,2.8234,21.7853,22.3416,62.6795,21.2371,37.6505,12.438,42.5441,100.6488,1.8261,3.1084,17.5304,70.9197,29.412,40.2249,66.9988,18.208,222.8162,320.6051,52.8905,1.707,31.1202,105.517,16.4518,69.9139,86.9353,783.8817,27.6699,436.6512,62.0821,759.7335,547.8584,515.7134,269.5385,587.0528,84.2063,88.0503,0.0,607.1791,0.0,0.0,0.0,0.004,0.0
PER_O,4.6568,0.4676,4.9956,22.8673,0.7263,18.591,2.2281,0.9067,6.1358,2.34,4.3214,1.3777,2.8672,1.1132,6.1161,7.2709,0.0767,0.2287,1.049,5.6476,2.4146,5.0306,5.0016,5.7237,34.1269,36.9361,11.9362,0.268,2.9995,12.398,1.4382,3.4798,6.6859,49.0412,4.6978,45.1732,10.1703,65.9842,39.7263,103.0137,40.7009,55.5488,5.6179,7.9102,0.0,900.4047,0.018,17477.3375,1008.0527,-0.2256,0.0
PER_P,0.2348,0.3965,0.7375,9.1166,0.0671,3.918,1.2007,3.3616,2.2858,0.1091,0.4,0.3544,0.3706,0.1289,0.0368,0.2637,0.0325,0.0284,0.1154,0.9896,0.6561,12.2706,6.5147,0.2138,3.1945,3.308,1.1774,0.0058,0.0693,0.4594,0.0539,1.5378,1.1368,1.9679,0.1099,6.7836,0.3294,11.8238,27.154,19.4982,382.4681,13.1992,2.5587,16.5725,0.0,7936.1092,0.391,6580.5235,0.6534,-0.0003,0.0
PER_Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,631.1965,0.0,0.0,0.0,4023.3577,0.329,8279.8884,0.0,0.0,0.0
PER_R,0.0,0.0054,0.0587,1.5112,0.0,0.3571,0.0064,0.1965,0.692,0.0108,1.5915,0.6219,0.0,0.1289,0.1435,0.0,0.0,0.0001,0.0003,0.0227,0.0092,0.6886,0.1274,0.0159,0.0,0.0847,0.2549,0.0003,0.0091,0.0118,0.0032,2.3499,3.3403,0.096,0.0233,25.4721,0.0,4.7891,0.3187,2.0522,18.0401,0.1816,73.322,2.5281,0.0,1879.4402,0.0,0.0,0.4677,0.0949,0.0
PER_S,0.0168,0.109,2.1511,5.4474,0.2887,0.9589,1.2432,0.0006,0.8531,0.2382,1.2417,0.8273,0.2014,0.5977,0.8182,0.7521,0.0139,0.0241,0.0903,0.1701,0.0834,0.135,1.1225,0.7895,0.3198,27.1663,1.7175,0.0278,0.2336,0.0456,0.1887,26.9903,4.2017,131.1488,32.7088,116.149,1.7744,46.4115,36.6637,11.0159,22.2523,146.8061,3.1055,18.2932,0.0,3464.8908,658.2401,33.8333,5.9804,0.0,0.0
PER_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,973.4595,0.0,0.0,0.0,0.0,0.0
