V1,NLD_A01_02,NLD_A03,NLD_B05_06,NLD_B07_08,NLD_B09,NLD_C10T12,NLD_C13T15,NLD_C16,NLD_C17_18,NLD_C19,NLD_C20,NLD_C21,NLD_C22,NLD_C23,NLD_C24,NLD_C25,NLD_C26,NLD_C27,NLD_C28,NLD_C29,NLD_C30,NLD_C31T33,NLD_D,NLD_E,NLD_F,NLD_G,NLD_H49,NLD_H50,NLD_H51,NLD_H52,NLD_H53,NLD_I,NLD_J58T60,NLD_J61,NLD_J62_63,NLD_K,NLD_L,NLD_M,NLD_N,NLD_O,NLD_P,NLD_Q,NLD_R,NLD_S,NLD_T,NLD_HFCE,NLD_NPISH,NLD_GGFC,NLD_GFCF,NLD_INVNT,NLD_DPABR
NLD_E,271.4927,2.085,28.3997,24.8751,23.1078,259.0417,23.2599,8.9942,187.9777,12.2866,323.7782,43.8305,89.628,144.0477,374.2496,38.2405,27.8064,28.6598,38.7993,21.4225,14.2869,33.5742,122.2256,1794.3429,601.9138,324.9061,25.1485,8.1363,5.2859,26.1467,9.4537,91.7931,20.4372,17.5675,39.1276,79.21,100.286,234.3579,66.8016,955.5312,72.3678,302.8736,61.8714,45.3619,0.0,2503.8939,0.1054,2047.0371,146.1504,5.7918,0.0
NLD_F,427.7754,9.5503,78.666,11.8326,10.2888,161.2129,15.1071,14.7716,35.1516,16.082,186.3394,45.0313,34.6829,62.6335,48.8925,130.7733,29.4658,28.2159,127.2765,59.4811,95.5028,105.094,991.5548,140.6225,36148.9821,751.1765,156.1151,26.1007,82.8639,1073.759,13.3116,137.098,23.2609,613.545,120.342,121.8757,13485.4079,1768.3656,234.7789,4348.8597,986.8941,1171.1373,165.7221,89.3427,0.0,439.88,0.3129,771.4675,70843.8079,9.9035,0.0
NLD_G,3230.9903,33.2473,89.8436,53.2015,75.0738,11718.4218,682.3549,519.625,1078.5268,528.9681,3029.6856,610.9897,733.4788,675.8579,575.816,1572.1576,3013.4301,607.0165,2961.3102,1566.9199,880.8948,1563.985,414.4084,1117.2964,7529.6587,7351.4787,1176.8651,208.2297,363.0197,385.194,89.9155,2301.7197,867.1887,676.3598,1654.4494,789.331,920.981,2896.98,2377.3791,1986.3556,505.6909,3099.5503,471.7038,405.4475,0.0,37339.6692,199.0203,2266.6068,9168.2807,901.3831,0.0
NLD_H49,312.4696,3.9956,14.4554,32.3503,43.5855,876.3082,42.0041,55.7091,100.0984,284.5691,339.9508,41.3763,70.3263,113.6878,89.7263,195.8395,188.5939,71.3303,271.2812,171.7419,68.5201,127.601,96.7616,203.1382,959.3715,1103.083,4496.0999,93.0091,111.172,630.2587,19.2022,144.43,91.9423,57.0397,96.3598,89.8383,109.909,273.8191,322.9348,222.728,70.8964,337.3671,42.7653,53.324,0.0,4345.6944,6.6063,561.7366,737.8069,1046.0932,0.0
NLD_H50,40.2085,0.4643,9.1774,4.2738,5.9469,124.2613,5.5311,7.8922,14.4235,71.309,58.0658,5.2805,11.0111,14.5598,16.8007,29.2796,26.011,8.4955,40.6331,27.4439,11.7304,20.2838,18.4958,8.3363,122.4214,538.948,247.6853,1232.9932,15.8312,160.9518,3.4656,21.7647,5.062,6.8204,9.9634,7.8057,12.4185,27.9697,43.2522,17.3714,8.512,34.4969,4.9263,5.8997,0.0,532.3962,0.7309,38.3823,102.7916,497.2348,0.0
NLD_H51,30.4105,0.3163,3.8415,1.7691,1.9824,113.0275,6.0894,7.0606,12.9309,35.579,41.7672,7.6869,12.7986,15.4184,15.5794,35.1833,18.8189,10.7408,46.9173,28.7968,19.6104,44.6414,20.2488,9.9154,127.5561,119.3217,31.4237,8.2865,8.702,32.0107,4.1318,26.171,6.0829,7.0482,16.3205,28.6946,16.8146,85.875,81.3355,58.3234,43.8262,59.282,5.2322,7.9247,0.0,103.8505,0.5156,25.475,67.555,259.4097,0.0
NLD_H52,154.227,7.3403,19.8283,124.9149,218.65,385.3224,19.6023,23.5618,42.5581,162.7788,238.3277,18.8726,31.2302,47.856,41.1301,81.3197,72.4262,29.4968,113.1908,65.0256,41.5693,56.1368,64.7881,66.8223,461.6127,1636.2528,1463.294,443.2989,670.2161,2102.6442,8.5398,72.5102,30.812,38.6312,101.0155,68.2492,81.9356,186.6908,169.2238,138.3119,35.1058,140.4444,21.4178,25.8643,0.0,1697.7428,2.3457,2407.3332,513.5997,303.4029,0.0
NLD_H53,24.5923,0.9101,1.0882,1.2594,1.5197,54.9942,2.8166,3.5784,8.335,14.6902,25.4784,5.1342,5.8438,7.3289,5.6776,16.2537,13.9315,6.8996,24.664,11.7164,4.5253,12.1814,10.0137,13.2422,76.8236,258.1311,245.0175,6.0932,5.1525,36.8799,511.4091,19.973,22.9802,27.1973,37.8648,62.3294,62.5238,1530.182,45.993,166.7232,44.3425,138.4595,17.009,17.2194,0.0,357.4597,0.3519,29.6478,52.723,63.4444,0.0
NLD_I,17.3033,0.0127,6.5634,0.0014,0.0037,108.5988,11.3871,5.1462,15.3026,2.5884,40.4357,13.8442,14.734,13.8295,19.1832,30.6469,46.4664,36.8594,41.3945,22.0718,19.9678,29.5909,18.772,9.3007,129.0465,921.8883,100.9036,29.5323,381.0287,96.0865,11.7329,80.3157,111.3613,31.6799,174.5899,347.5041,34.8032,622.8714,882.2013,312.6915,90.241,1008.8616,215.547,69.6258,0.0,21522.8169,99.8455,194.5283,56.0131,0.3177,0.0
NLD_J58T60,17.2198,0.489,5.8605,0.6603,1.199,77.5507,6.3043,4.1162,29.6059,1.262,37.3746,17.8686,16.3424,6.331,11.5126,25.0014,192.618,13.8359,43.6703,22.3818,10.2554,31.256,20.9476,16.1167,119.4145,983.3299,87.4496,33.7815,13.1907,42.375,16.3307,59.6031,945.1385,52.5072,388.5543,213.6017,84.6866,1214.7297,590.1246,249.7086,149.4493,210.0064,61.9402,35.9143,0.0,1646.9714,328.3334,235.3517,1104.314,9.3134,0.0
