V1,ESP_A01_02,ESP_A03,ESP_B05_06,ESP_B07_08,ESP_B09,ESP_C10T12,ESP_C13T15,ESP_C16,ESP_C17_18,ESP_C19,ESP_C20,ESP_C21,ESP_C22,ESP_C23,ESP_C24,ESP_C25,ESP_C26,ESP_C27,ESP_C28,ESP_C29,ESP_C30,ESP_C31T33,ESP_D,ESP_E,ESP_F,ESP_G,ESP_H49,ESP_H50,ESP_H51,ESP_H52,ESP_H53,ESP_I,ESP_J58T60,ESP_J61,ESP_J62_63,ESP_K,ESP_L,ESP_M,ESP_N,ESP_O,ESP_P,ESP_Q,ESP_R,ESP_S,ESP_T,ESP_HFCE,ESP_NPISH,ESP_GGFC,ESP_GFCF,ESP_INVNT,ESP_DPABR
ESP_G,5784.6987,165.9981,36.4749,267.8144,15.6278,18937.0263,2246.9827,863.8392,1529.4657,438.4321,3980.9611,1411.639,1650.7375,1635.7158,2159.8337,2419.415,488.9083,1530.306,1724.5478,6183.5492,861.1023,1757.9235,1982.6541,1379.7507,7832.8478,4921.8092,2547.7157,102.6208,473.1585,1045.7454,94.8156,8116.2007,1139.5269,1120.8376,786.4511,970.7611,602.2035,2558.523,1508.1836,1737.198,1112.0181,6713.4136,509.8848,736.0204,0.0,74057.0464,46.2017,3782.9066,12020.5085,846.3583,0.0
ESP_H49,271.767,27.4737,3.0196,342.8644,7.008,1978.246,164.8746,148.6479,372.046,241.6307,755.5832,178.3997,352.3449,659.353,634.6274,456.2948,60.2937,215.0754,329.2344,633.0794,113.1474,272.8483,340.0903,317.0921,724.9762,5975.234,4153.3849,37.0464,76.4522,6618.7477,369.3523,431.4884,254.1859,144.631,194.3013,109.365,117.5163,410.9508,726.9022,1429.7634,107.4904,419.1397,86.338,199.6494,0.0,8886.8019,1.6809,1590.1644,825.4493,1100.8007,0.0
ESP_H50,20.5417,28.3688,1.2412,2.524,0.2581,74.0345,8.7132,4.9716,10.7687,32.2701,26.026,6.7595,10.9825,14.4485,24.7535,17.9728,3.102,11.216,11.6592,39.3731,6.5515,11.5794,33.9325,8.5415,45.3043,81.4337,21.9637,1.5225,4.7799,25.6891,1.0082,25.5372,6.7081,6.4118,4.6433,3.0282,4.1446,11.4263,79.8261,22.9364,8.3523,23.674,2.7621,2.6015,0.0,405.8046,0.1516,150.7042,77.439,242.5556,0.0
ESP_H51,28.2369,4.2568,0.4832,3.9652,0.288,85.0184,11.4422,7.9187,16.2525,56.3855,36.0918,7.987,15.0065,17.7275,42.2887,30.5261,3.941,16.3542,13.447,65.1319,8.8489,32.3432,68.5047,16.7731,41.5047,98.7713,70.0523,6.1385,38.1649,80.5704,3.8205,36.3947,8.6583,27.1337,9.5163,13.1667,9.9007,16.798,17.4521,21.8406,9.0565,36.9887,15.9318,3.0674,0.0,29.5441,0.2077,41.349,476.9985,594.3026,0.0
ESP_H52,85.5458,21.6598,1.6648,99.4558,2.9264,887.77,81.0097,75.6032,204.5401,41.0031,617.5247,136.1416,172.4978,250.7087,392.3313,251.3786,43.5488,142.0661,167.1548,387.2991,49.2375,692.3405,1438.4313,224.6975,463.4509,8364.8219,5196.8713,342.0057,702.0342,8599.3039,33.4999,250.3595,125.9605,159.5165,183.6283,105.5779,907.2684,512.569,288.2014,960.9757,23.7036,100.2018,105.632,99.2068,0.0,2402.9178,9.7989,4925.8155,361.7747,33.1055,0.0
ESP_H53,1.8699,0.4606,0.2387,4.1512,0.2933,54.1874,5.928,4.0612,14.1762,4.1138,27.2163,44.7212,24.6866,20.9766,13.4356,39.9288,0.89,6.9113,29.1861,39.5433,2.8541,15.2405,64.7946,56.4213,403.9674,636.9253,54.4009,2.1994,1.6993,142.0875,2045.8562,125.2228,18.4282,179.0354,323.893,130.5913,185.6047,365.4406,160.0957,206.6978,47.4735,151.6658,0.9505,31.3209,0.0,112.4289,0.0507,14.4782,10.8843,3.7822,0.0
ESP_I,26.352,18.8154,3.9754,7.3285,3.1994,165.3233,16.009,13.7891,11.5245,8.0656,130.2116,78.1489,56.8421,14.6064,38.3241,68.7178,17.7628,11.3976,45.553,42.2331,32.3203,43.9651,76.3093,240.3375,1439.6341,853.6327,2070.7475,26.0913,32.8492,67.2325,72.3872,1995.8346,98.3188,129.5361,1265.686,640.6024,185.7207,1028.928,2918.9826,682.3809,253.7216,3611.1746,387.0589,1786.6875,0.0,92282.0511,112.0285,2107.755,155.447,1.9233,0.0
ESP_J58T60,25.8151,1.4318,0.3878,2.0817,0.2636,539.6069,24.547,4.5425,263.2803,1.8002,128.062,109.7867,14.9074,24.6915,7.3516,22.6467,5.7969,19.0614,24.3627,185.0906,6.2075,33.6969,33.1647,26.344,89.3243,2228.4368,23.9789,4.1368,19.9527,42.2111,2.5439,206.7276,2005.0395,204.7322,124.4685,342.4022,159.2497,595.5599,286.9369,233.0361,578.255,167.0573,79.6233,151.351,0.0,2210.1268,8.1149,1804.2341,2984.6973,5.4761,0.0
ESP_J61,84.1102,13.7116,3.8566,48.9853,1.7802,458.1966,72.9982,25.1936,57.932,30.7992,248.9496,168.5465,64.3609,104.6685,83.31,94.5201,50.5393,61.7105,122.1434,135.9044,22.3826,105.6565,540.861,331.6373,1137.2143,1461.6113,357.3696,28.0133,216.2524,274.7601,24.2172,586.8671,258.1609,6058.3566,967.9148,833.0641,801.1155,666.2016,346.3178,1918.4328,216.5259,967.5249,139.3955,270.3027,0.0,13155.9671,0.868,780.3556,295.5625,11.1843,0.0
ESP_J62_63,3.1861,7.5935,7.8863,14.4617,0.9521,112.9085,20.9809,8.1016,33.6928,5.8125,46.8572,42.7714,23.4031,33.9822,15.791,44.2214,22.1713,42.9562,40.6535,66.8011,26.4771,40.017,36.6229,49.9389,136.0998,657.7655,100.1341,36.8408,32.7544,55.7432,4.9542,97.3533,151.8786,220.3064,3589.7496,846.6484,197.5583,537.0825,268.6964,640.6646,81.4528,343.7059,109.9476,59.9133,0.0,278.5823,10.2199,636.2436,15949.6093,11.9348,0.0
ESP_K,1320.7583,47.1752,15.2516,64.7867,11.2386,974.0849,170.4525,98.5243,240.9502,138.6662,393.0711,148.3185,229.1438,257.8847,318.8239,499.0158,76.2483,233.6046,303.1159,591.1353,167.792,330.8941,485.5238,386.3652,2017.4786,5451.5873,1087.8571,58.2464,136.9966,778.3965,79.8243,1176.4809,227.0822,419.5796,483.5301,17789.0186,5468.6521,1894.8368,1535.0051,1939.9546,709.9616,1821.0291,426.243,477.7946,0.0,28474.4386,0.9737,761.5517,431.9045,11.4668,0.0
ESP_L,30.9407,6.2216,1.8711,43.0068,1.9754,354.7208,96.4649,32.3128,175.4332,10.9259,272.5924,122.4128,191.3708,114.2091,48.9684,340.8783,21.2069,130.3178,157.0552,84.8569,56.7532,207.548,218.2049,266.7946,1312.544,13896.3852,472.4052,128.2575,74.0642,1194.2819,89.4667,5125.1105,721.6699,1462.3583,714.2783,2588.0231,912.0416,2949.7115,1224.3915,1797.2382,271.2507,909.6122,1187.9733,792.6404,0.0,124830.4852,28.4851,219.5397,3635.0555,0.5,0.0
ESP_M,237.2549,22.4072,26.5747,121.0701,21.1765,1685.4477,180.1676,56.7515,253.8751,70.0258,450.4964,348.2063,197.1409,302.851,129.7267,544.0475,107.1706,377.4222,348.8111,702.5004,984.498,309.6889,406.8755,501.9254,7474.968,9472.8574,600.9223,46.8432,420.9865,683.4971,77.436,1485.1265,1068.7736,2813.156,1426.4064,3130.841,3765.0061,18108.9581,2005.1743,2308.5163,784.2496,1637.5656,1447.472,601.6338,0.0,3814.5635,46.8895,2133.9904,20870.9099,19.9319,0.0
ESP_N,166.1741,33.5524,40.9102,137.9756,14.2892,2221.5004,194.799,110.8499,511.626,82.3199,870.851,649.2069,429.9099,485.5839,330.5505,751.897,124.8349,404.73,468.8476,1565.0527,220.4767,453.2517,816.8163,971.6707,2980.2573,14194.1997,2161.5382,188.888,969.9808,2074.0161,124.1803,1490.2348,428.499,1119.7953,2521.3409,2047.226,2032.8601,4010.9952,6661.5646,2963.4315,917.5445,2835.8079,520.3348,481.7504,0.0,4867.6757,113.3131,294.9081,727.0379,12.9499,0.0
ESP_O,123.1778,30.3438,2.3378,39.4217,1.8522,299.7614,34.2359,46.2182,77.6782,79.422,179.7465,81.7503,70.6657,93.7072,161.1749,117.498,18.1985,56.2852,69.2172,161.5252,47.6719,189.519,438.2583,180.1056,1599.6129,3260.5166,1281.757,98.8123,220.3695,2056.7004,19.422,376.1691,73.4741,282.9385,212.8022,254.4951,497.7481,520.0871,279.2039,447.1178,190.2565,299.0413,121.0349,66.6879,0.0,3064.7757,56.4399,81590.8352,3416.101,31.002,0.0
ESP_P,18.4663,1.9947,3.7587,4.6341,0.2189,142.4969,18.2641,3.9422,34.8189,34.0842,43.7437,114.2397,43.3556,17.2044,96.2906,23.1886,32.1279,19.1831,41.6587,157.5736,48.5775,83.4985,144.333,128.3472,210.1506,1019.3503,121.1001,2.405,103.2814,22.4682,9.9354,57.4773,46.1107,231.3144,391.9508,78.7541,64.596,459.5135,196.2196,60.0495,96.5918,273.0873,8.8952,351.1977,0.0,10771.1517,2313.1072,50429.8086,3790.7733,1.7091,0.0
ESP_Q,92.3428,9.637,1.9462,29.7366,0.3652,368.1966,43.5281,14.2556,25.25,10.8683,89.5729,76.4691,29.29,20.6877,24.9405,20.9893,16.3011,31.8381,30.6018,116.9732,31.1761,126.7801,67.9354,218.0132,382.614,2127.6342,176.6677,4.8554,14.5564,18.0388,31.7671,417.1683,49.4924,312.278,215.7608,140.6064,125.2614,479.2568,218.6792,133.1481,150.2139,12031.3353,69.2551,255.7434,0.0,33256.5019,3700.0282,102856.0389,945.6732,9.8718,0.0
ESP_R,76.58,6.8295,0.2528,2.03,0.1467,346.5085,39.1637,3.8664,35.0342,22.0501,65.7826,60.0371,25.6203,12.8041,30.1008,34.9466,19.6032,12.7436,36.4525,107.5301,36.6957,123.9339,20.2466,29.7977,66.4946,786.7158,51.6192,2.1056,24.2563,110.5544,29.954,360.2208,241.919,148.7415,14.1029,155.548,112.4602,550.93,474.9118,117.886,29.8917,114.2854,2083.3206,112.9703,0.0,13692.0158,605.1982,5768.5511,263.256,10.7982,0.0
ESP_S,50.9204,12.9859,1.5628,13.3082,0.7045,234.9847,28.7255,25.1127,51.4258,23.5707,171.9802,100.2716,38.4271,79.8885,86.9495,115.9062,19.5578,37.2899,59.8375,212.401,22.876,126.1342,229.5717,170.1454,166.0489,1457.9451,369.8248,26.6563,30.403,132.413,6.7425,359.8273,150.7877,89.1317,676.4032,277.5553,283.2872,920.2094,474.6792,382.3943,222.0196,883.4705,1670.2791,1388.1695,0.0,9929.2608,6899.7849,1193.4601,658.1792,3.6819,0.0
ESP_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9731.9601,0.0,0.0,0.0,0.0,0.0
