V1,ROW_A01_02,ROW_A03,ROW_B05_06,ROW_B07_08,ROW_B09,ROW_C10T12,ROW_C13T15,ROW_C16,ROW_C17_18,ROW_C19,ROW_C20,ROW_C21,ROW_C22,ROW_C23,ROW_C24,ROW_C25,ROW_C26,ROW_C27,ROW_C28,ROW_C29,ROW_C30,ROW_C31T33,ROW_D,ROW_E,ROW_F,ROW_G,ROW_H49,ROW_H50,ROW_H51,ROW_H52,ROW_H53,ROW_I,ROW_J58T60,ROW_J61,ROW_J62_63,ROW_K,ROW_L,ROW_M,ROW_N,ROW_O,ROW_P,ROW_Q,ROW_R,ROW_S,ROW_T,ROW_HFCE,ROW_NPISH,ROW_GGFC,ROW_GFCF,ROW_INVNT,ROW_DPABR
ROW_C20,16787.2513,200.9325,5607.9888,1440.2138,623.4502,2268.3255,6424.5336,1074.8524,2899.1829,7354.7815,29456.7767,2057.6688,17953.205,4582.2732,4247.8735,2470.4757,555.826,1838.1452,756.8078,1249.1375,281.4919,1462.2054,661.2588,569.9739,10276.3895,2070.0729,875.7915,174.1129,182.2734,189.5276,19.9646,426.6977,496.5636,111.426,82.5225,172.9366,2005.7278,660.1737,548.7829,897.3358,706.475,2156.1968,158.7365,1444.5441,0.0,16400.4359,23.5934,573.3588,969.4879,6052.9927,35.8938
ROW_C21,2507.2093,65.7256,517.8403,113.0167,53.7354,645.9903,605.0798,206.7401,349.253,954.0255,1489.1179,7339.4096,1566.2827,714.1511,301.0286,568.61,44.3154,201.2152,178.4603,147.6356,16.4308,219.8719,110.1157,41.4757,1920.0445,862.7191,142.0506,60.3672,36.4477,38.2744,6.7401,57.3808,60.3047,32.2967,17.7358,68.1578,404.1236,318.9161,36.9946,713.2857,605.8212,9223.1445,72.6137,185.3416,0.0,12778.148,20.6658,4018.5108,795.425,-515.5533,22.7212
ROW_C22,1617.7857,158.4723,1048.0483,346.4767,70.1773,3906.6665,1641.2591,171.6215,1409.3107,492.6815,1724.135,1009.8045,5534.7666,984.9844,366.9243,549.4411,833.4947,932.9907,744.9587,1652.5818,274.3371,2169.3257,141.706,275.2325,8693.2595,6311.3627,9448.9181,209.5817,205.381,328.1842,43.3576,336.5319,161.7682,144.0726,66.2933,264.7847,2285.1838,351.4809,254.9545,572.1878,244.7081,703.1311,70.3001,493.9972,0.0,8903.6285,1.2672,146.6729,1603.5003,265.9539,2.7497
ROW_C23,751.0654,40.2298,697.6102,494.8083,191.4722,1783.9032,181.2752,128.3677,126.5914,210.0516,940.3387,596.5936,284.0447,8482.8942,814.0762,342.8081,242.5551,335.9639,248.3496,454.673,76.1515,530.0262,256.0048,152.2734,63802.5578,1498.317,508.958,36.5938,38.2091,96.6628,6.5133,285.6257,56.3277,121.4973,37.1795,140.9408,10624.7647,337.8913,173.5925,473.4401,412.479,382.9487,56.2092,317.474,0.0,8016.0951,2.151,121.7347,2273.7016,1301.4078,3.1726
ROW_C24,480.4446,30.0754,2556.4606,746.4073,485.215,947.6027,307.5115,149.6567,304.542,623.6014,1320.4663,174.6325,922.0408,2194.4444,59075.8231,22967.7523,2017.2218,8346.0733,7596.0008,5176.3356,1098.7354,5251.179,334.8521,584.6247,39592.8796,1437.773,563.1645,154.294,145.5125,215.1275,3.9048,143.6354,69.2831,162.949,39.0991,316.4592,1083.5023,270.1663,121.2207,279.6805,141.1247,193.2542,56.5551,308.6697,0.0,669.6482,1.6688,46.8576,4032.8533,7862.7997,1.9723
ROW_C25,903.1393,137.4743,4101.8841,625.0885,376.7301,1729.4786,333.8655,233.8454,143.1386,399.6948,697.8012,196.4591,417.5365,618.9768,2230.5851,4969.6259,553.2334,1056.3887,4827.188,3303.795,679.5158,2288.9605,814.7778,300.6674,17636.3414,1708.9853,927.9959,146.9664,70.1904,205.8042,18.6336,179.9616,97.4353,325.835,105.5016,288.2422,4054.4318,429.6416,214.2048,1199.0409,329.0493,296.8982,94.8639,528.564,0.0,6493.3784,7.6824,273.8949,19443.9164,103.1005,2.6393
ROW_C26,322.1011,60.9221,662.0871,91.6579,58.5395,224.7062,83.4076,20.8772,102.9123,106.0107,188.7207,93.3479,91.3168,153.6847,148.9834,264.9726,6719.6186,1136.0313,540.1363,368.2439,116.4951,506.0192,373.6512,88.1124,2101.2392,1393.4732,314.0429,53.4168,94.2937,144.3018,44.5021,103.3342,310.9336,2433.2339,536.4199,560.4665,107.8224,701.5329,251.041,922.4045,652.5801,1334.0946,113.1193,959.6282,0.0,11834.824,17.1012,517.7475,19924.8911,-2752.7113,30.3621
ROW_C27,406.1824,76.6326,789.8964,152.384,166.8399,278.9454,90.4582,33.3353,94.3454,79.1351,254.0019,48.6434,111.8523,286.3007,503.3999,621.4394,2471.2033,6156.7904,1568.3809,1281.7114,185.7342,1267.5854,1300.759,163.2702,10494.129,1336.8333,1441.3068,116.896,67.2406,207.7515,11.3806,230.0654,122.2419,764.6773,139.2753,131.5354,269.7988,318.0131,168.0027,585.8062,459.7391,191.6328,86.488,577.9662,0.0,9485.6611,6.272,84.6994,12741.5682,-1064.1463,11.2655
ROW_C28,1101.1986,114.4061,3632.0136,970.5459,520.2618,685.1491,273.7965,111.5392,238.3219,425.8803,384.7178,93.6472,218.474,685.9747,541.1879,765.4625,592.8998,1212.494,6933.9785,2930.3581,328.6702,1124.6846,723.5705,215.7815,7284.5231,1890.7562,886.656,170.3328,134.2522,214.9962,22.0572,111.0285,90.0047,665.069,110.0473,160.1247,816.428,346.8894,281.5131,3486.6084,465.1282,316.4281,121.6684,415.7624,0.0,4641.4153,7.3413,149.5324,33191.7061,-4502.9316,2.6517
ROW_C29,435.3944,38.7636,740.9995,202.4868,266.9169,225.3311,87.5687,24.7473,55.6827,214.8134,225.5662,47.8444,213.312,365.525,656.2642,200.6901,120.2601,265.257,1670.3788,45009.407,1504.1368,365.1549,322.511,186.4811,1093.0458,4593.4614,6120.8969,40.2155,73.5332,241.059,38.6677,50.2727,30.6238,107.9547,26.4651,151.6243,194.2024,378.5625,519.494,771.7425,538.0179,196.0705,52.2065,266.3343,0.0,25579.7186,8.2546,142.6772,46773.8154,2231.0906,18.5467
