V1,ISL_A01_02,ISL_A03,ISL_B05_06,ISL_B07_08,ISL_B09,ISL_C10T12,ISL_C13T15,ISL_C16,ISL_C17_18,ISL_C19,ISL_C20,ISL_C21,ISL_C22,ISL_C23,ISL_C24,ISL_C25,ISL_C26,ISL_C27,ISL_C28,ISL_C29,ISL_C30,ISL_C31T33,ISL_D,ISL_E,ISL_F,ISL_G,ISL_H49,ISL_H50,ISL_H51,ISL_H52,ISL_H53,ISL_I,ISL_J58T60,ISL_J61,ISL_J62_63,ISL_K,ISL_L,ISL_M,ISL_N,ISL_O,ISL_P,ISL_Q,ISL_R,ISL_S,ISL_T,ISL_HFCE,ISL_NPISH,ISL_GGFC,ISL_GFCF,ISL_INVNT,ISL_DPABR
ISL_G,26.5012,81.6786,0.2123,4.3026,0.0122,181.6607,7.167,2.1378,4.4767,0.1095,8.478,13.2858,4.4056,14.2509,77.6915,10.7841,1.0567,6.2555,14.9178,1.0886,1.7304,45.8017,31.5233,18.923,216.8275,99.217,30.1141,55.9034,60.7782,11.7665,3.3489,49.4247,12.8402,23.9698,22.8712,13.1533,23.5638,22.5944,46.651,28.1915,33.3089,61.9956,16.7234,9.4132,0.0,1023.2815,3.3203,8.448,239.0884,16.0341,0.0
ISL_H49,2.1526,5.6913,0.131,0.3084,0.007,17.2493,0.3906,0.149,0.312,0.0246,0.5275,0.8216,0.3234,1.1331,11.8505,1.5002,0.0563,0.6206,1.6313,0.044,0.1406,3.8058,3.2598,1.1192,16.7139,5.4576,7.097,3.9944,4.3179,19.2812,0.2268,2.9649,0.8201,0.9328,1.8221,1.5998,3.2199,2.7044,1.9907,2.7854,2.9869,4.9974,0.607,0.5694,0.0,131.6277,1.0242,0.513,7.9313,0.0,0.0
ISL_H50,0.8754,12.4761,0.0524,1.3371,0.0007,8.7363,0.6299,0.3499,0.7962,0.0091,0.5505,0.912,0.9637,3.2483,48.0883,2.3198,0.1281,1.35,5.4722,0.0526,0.4187,5.7333,1.1155,0.8869,7.5321,169.1932,6.9534,32.6227,2.8825,11.3486,0.0969,4.4716,1.2533,0.6018,0.6065,0.3031,0.4986,1.1431,18.4716,4.6078,0.6491,1.7815,0.2867,0.2488,0.0,17.1932,0.0553,22.0956,7.7734,9.2589,0.0
ISL_H51,0.3926,1.8198,0.0034,0.1067,0.0003,2.8727,0.1235,0.0441,0.109,0.003,0.1754,0.2576,0.1017,0.1356,4.3853,0.1862,0.0122,0.1337,0.3134,0.0134,0.0483,0.6689,0.4597,0.4263,4.0269,0.075,0.5374,1.2859,0.0262,0.0274,0.0287,0.2158,0.1319,0.1337,0.0276,0.0697,0.0535,0.1138,0.3711,0.0243,0.1048,1.3204,0.0538,0.089,0.0,0.1121,0.0296,0.4114,7.7307,13.1819,0.0
ISL_H52,1.0281,28.6402,0.0427,0.1311,0.0021,7.0909,0.1477,0.1698,0.2374,0.008,0.3839,0.6514,0.2351,1.5676,5.6716,1.1405,0.069,0.6017,1.3011,0.0327,0.0765,2.098,2.0191,0.8645,8.4367,43.9944,13.8654,42.0902,82.108,80.2964,0.5064,3.5925,1.0106,2.5111,2.4111,1.2124,4.6231,2.2741,5.3788,2.3703,2.7318,3.439,0.738,1.0277,0.0,9.6572,0.3705,11.9434,2.0777,0.4086,0.0
ISL_H53,1.018,2.0198,0.0048,0.0709,0.0002,3.121,0.1598,0.0788,0.1884,0.0003,0.2463,0.438,0.1418,0.5864,0.7619,0.531,0.0393,0.384,0.7923,0.0184,0.0653,1.1363,1.9203,1.0411,7.7525,18.5261,0.4125,1.4765,1.4396,1.3507,18.222,1.0983,1.5844,1.5088,3.6359,4.756,13.9195,6.6771,2.8016,4.863,4.3452,2.403,1.4282,2.8068,0.0,6.4613,0.0801,0.6144,0.0,0.0056,0.0
ISL_I,0.4609,0.5025,0.0398,0.0351,0.002,2.7587,0.0616,0.0197,0.0847,0.0022,0.0951,0.17,0.0995,0.3684,4.3778,0.4438,0.0251,0.3498,0.3791,0.016,0.0416,1.6638,1.7601,0.4399,6.8123,9.4269,0.6809,2.1387,3.5666,1.1754,0.2216,73.8997,1.63,1.1097,2.9953,4.5381,10.0596,4.4523,2.1627,27.8504,4.0173,1.3808,1.5869,2.2293,0.0,488.5823,5.7738,0.0,0.0,0.0,0.0
ISL_J58T60,0.019,0.0321,0.0015,0.0003,0.0001,1.2839,0.0418,0.0166,0.6985,0.0001,0.0446,0.0985,0.0183,0.1132,0.0031,0.1828,0.0161,0.1669,0.2289,0.0088,0.0246,0.4174,0.4451,0.136,0.5405,10.4452,0.3613,0.3353,1.9584,0.5893,0.2375,1.5856,57.6404,0.3771,2.1325,3.1519,3.3148,2.1628,1.7166,4.952,10.4015,0.839,2.5676,1.256,0.0,95.728,4.4751,42.2551,0.0,0.0005,0.0
ISL_J61,3.1676,5.5331,0.0252,0.1933,0.0009,8.2739,0.4461,0.227,0.3668,0.0009,0.4554,0.8107,0.3813,1.1751,3.1302,1.9657,0.0933,1.0685,2.2737,0.0529,0.1886,3.765,3.6432,3.6258,30.0751,44.8163,1.4447,6.0006,7.4624,5.0268,1.9043,7.8138,5.339,63.2122,16.2096,15.8999,65.6135,32.651,12.9489,28.848,18.9174,6.3856,5.3708,10.9502,0.0,128.9798,0.6916,2.9194,0.0,0.0246,0.0
ISL_J62_63,0.0807,2.7099,0.0367,0.1361,0.001,5.6395,0.1612,0.1326,0.573,0.0044,0.4513,0.7648,0.2988,1.524,14.2683,1.235,0.0095,0.7241,3.1155,0.0333,0.0708,2.9065,3.0181,2.426,8.8883,21.8496,1.0727,3.8367,2.0487,4.5057,2.5625,5.3065,8.7195,14.0217,329.7686,40.545,80.6007,59.3457,12.8778,111.4618,72.9945,6.5934,2.7934,16.292,0.0,19.0231,1.2133,0.0,187.9496,0.0357,0.0
