V1,MAR_A01_02,MAR_A03,MAR_B05_06,MAR_B07_08,MAR_B09,MAR_C10T12,MAR_C13T15,MAR_C16,MAR_C17_18,MAR_C19,MAR_C20,MAR_C21,MAR_C22,MAR_C23,MAR_C24,MAR_C25,MAR_C26,MAR_C27,MAR_C28,MAR_C29,MAR_C30,MAR_C31T33,MAR_D,MAR_E,MAR_F,MAR_G,MAR_H49,MAR_H50,MAR_H51,MAR_H52,MAR_H53,MAR_I,MAR_J58T60,MAR_J61,MAR_J62_63,MAR_K,MAR_L,MAR_M,MAR_N,MAR_O,MAR_P,MAR_Q,MAR_R,MAR_S,MAR_T,MAR_HFCE,MAR_NPISH,MAR_GGFC,MAR_GFCF,MAR_INVNT,MAR_DPABR
MAR_H53,0.2265,0.0325,0.0003,0.0735,0.0013,0.4755,0.0852,0.0221,0.0656,0.0016,0.2891,0.1,0.0224,0.151,0.0201,0.0938,0.018,0.2338,0.0179,0.2205,0.0524,0.0857,0.2831,0.077,0.6568,3.6452,0.2813,0.0659,0.1225,0.3356,0.3471,0.1609,0.1116,1.1846,0.1296,2.0401,0.0265,0.2304,0.4007,3.7351,0.8853,1.0718,0.0619,0.269,0.0,36.4761,0.0,0.0,0.0,0.2839,0.0
MAR_I,0.8195,4.0223,0.0116,3.7325,0.0565,5.6096,2.0808,0.4165,0.8549,0.0112,9.3506,3.2301,0.7203,4.2531,0.9316,3.8061,0.6592,7.7236,0.7484,8.7344,9.5834,1.4311,1.0788,0.3051,1.833,11.0879,2.8062,0.4681,4.5931,1.436,3.4219,19.1084,10.1239,51.9359,5.6718,93.1684,6.9722,11.2154,29.2399,179.8336,29.9063,32.7547,5.6997,25.6901,0.0,2805.4262,0.0,0.0,0.0,0.0014,0.0
MAR_J58T60,0.2034,0.2223,0.0119,6.3693,0.0053,23.5119,5.127,0.4054,1.3623,0.0299,7.8525,2.674,2.5611,17.5308,1.9996,1.3634,0.7797,7.7753,0.3222,2.7614,1.0217,0.9141,11.2723,2.4709,7.5917,15.7574,0.3613,0.085,0.372,0.3616,0.107,4.5286,19.3436,2.7872,1.7607,5.4292,0.1984,8.7021,2.3392,7.3808,11.7366,5.6889,3.7054,6.8982,0.0,358.6979,7.1982,0.0,1.1331,0.0868,0.0
MAR_J61,8.5164,1.0908,0.0123,2.5892,0.061,13.7848,2.2987,0.7445,1.8026,0.0377,7.8805,2.5202,0.6538,4.988,0.5546,2.8473,0.503,6.8369,0.5248,6.1343,1.8053,2.9869,8.124,1.7716,27.398,84.2879,12.5918,2.2218,5.7681,9.3829,0.3448,7.3356,5.0076,45.8281,6.8585,53.693,0.991,7.1467,11.0778,88.0207,25.8918,37.5504,1.9419,6.4028,0.0,2730.5463,0.0,0.0,0.0,0.569,0.0
MAR_J62_63,0.0026,0.0004,0.0001,0.0626,0.0003,0.1932,0.0436,0.0025,0.0257,0.0006,0.073,0.0245,0.004,0.0677,0.0157,0.0197,0.019,0.1435,0.0028,0.13,0.0326,0.0293,0.0827,0.0144,0.1772,0.5018,0.2043,0.0513,0.2216,0.2095,0.0136,0.1203,0.1081,0.4375,0.2584,0.861,0.0041,0.0799,0.1115,0.4328,0.1816,0.2497,0.0335,0.0839,0.0,4.0802,0.0,0.0,2.7373,0.4503,0.0
MAR_K,96.2195,59.5249,0.2699,52.9629,0.6306,230.3916,53.4038,10.0019,29.4959,0.7481,59.721,13.0875,22.5749,56.0966,70.6352,46.2317,9.0048,79.6971,4.0756,192.1738,14.3153,35.9115,284.2448,51.0443,1136.2317,678.3058,71.8727,18.9114,37.5613,41.4453,9.0705,155.0634,16.5738,166.2836,197.3657,1421.882,312.5904,297.2004,592.7662,242.913,19.9361,31.4292,6.4566,23.306,0.0,1114.6201,0.0002,78.7978,2.1438,0.2652,0.0
MAR_L,0.6761,0.0884,0.0073,7.1063,0.0544,46.4854,6.6685,0.7484,4.9779,0.039,10.6226,3.0257,1.0433,12.4261,2.3684,4.7614,1.8297,18.5218,0.4928,18.8187,4.1465,7.7397,9.155,1.5689,43.0242,167.5164,39.9652,5.7965,15.5333,48.905,2.0123,41.9912,13.2391,47.845,11.9857,86.6427,11.1223,24.7932,44.6222,51.8804,40.4716,56.3453,9.1322,27.733,0.0,3310.004,0.0,0.0,204.3809,0.0233,0.0
MAR_M,1.6433,0.2165,0.0416,22.6288,0.8381,131.5938,11.3054,1.4257,11.1616,0.201,49.2695,22.2293,2.1621,30.4607,6.2698,8.4019,5.3009,60.6068,1.3187,63.4144,9.9188,16.7982,28.2544,4.3981,139.8184,214.2314,64.0984,17.315,43.6987,60.5288,2.3013,39.0802,28.522,73.8451,25.8231,190.8172,6.3272,93.5421,76.3676,93.1699,47.7437,65.4347,14.5907,40.1455,0.0,464.2473,0.0,0.0,730.6816,1.103,0.0
MAR_N,2.1286,0.234,0.0275,24.899,0.9814,112.0414,11.7261,1.9013,13.1376,0.1216,43.8133,15.6248,2.4346,40.4843,9.2662,11.4537,5.0706,54.2264,1.319,63.1496,7.4684,24.5127,47.4492,8.9546,122.3871,244.9379,140.0281,36.9776,102.1907,146.0391,7.9267,69.5776,36.2455,123.7177,47.0207,252.0225,19.4977,76.1643,352.4837,183.3743,116.5434,190.7453,32.5402,59.8713,0.0,1240.5525,0.0,0.0,388.0103,0.7675,0.0
MAR_O,7.3549,0.2283,0.0493,3.15,0.0556,3.6312,1.1677,0.6238,0.1529,0.0137,1.3512,0.3241,0.0373,1.9992,0.1496,0.22,0.1545,0.759,0.0983,6.8166,0.7294,3.1696,5.2906,0.9029,3.2661,13.0793,1.0546,0.1615,0.3638,1.0713,0.1849,1.3318,0.4786,2.1703,0.9372,8.8299,1.4983,1.4869,2.0657,10.9288,4.4739,4.2624,0.6697,1.4641,0.0,637.0396,0.0,13744.2915,1561.6948,1.4151,0.0
MAR_P,55.8977,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3607,0.0,0.0,31.2394,0.0,0.0,0.0,61.8414,76.0068,31.4824,3.5648,16.1613,0.0,2103.8132,99.7018,5494.0825,0.0,0.0013,0.0
MAR_Q,37.6216,0.0,0.0,0.0,0.0115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1304,0.0,0.0,14.4924,0.0,0.0,0.0,36.6608,7.6208,67.463,2.707,9.6041,0.0,1485.1237,91.294,3741.1885,0.0,0.0007,0.0
MAR_R,0.0,0.1114,0.0166,4.8387,0.0009,6.7445,2.0984,0.2555,0.8435,0.0092,1.3727,0.4936,1.4342,7.0885,1.2628,0.815,0.4795,3.5868,0.1232,1.127,0.9491,0.2522,5.0735,1.053,3.7115,5.1257,0.1083,0.0821,0.0785,0.1104,0.0311,2.6122,3.2211,0.4066,0.7404,0.0905,0.0726,2.4394,3.8359,2.6229,4.9135,3.2572,9.3665,2.5018,0.0,407.3257,19.0167,0.0,0.4341,0.0019,0.0
MAR_S,0.0,0.8321,0.0589,14.1294,0.0302,21.3052,6.1544,0.8933,2.5399,0.0891,6.107,1.7709,4.9242,33.4041,3.3285,2.8885,1.1836,12.5171,0.4411,3.7032,1.3563,1.3879,25.3214,7.4309,11.9897,18.4038,0.3894,0.0915,0.2791,0.3159,0.0968,6.1622,4.0943,1.1372,3.621,0.3255,0.7872,6.6188,9.9157,6.892,7.0824,13.6802,3.7414,22.4164,0.0,1158.829,136.3001,0.0,1.736,0.0004,0.0
MAR_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,447.4175,0.0,0.0,0.0,0.0,0.0
