V1,POL_A01_02,POL_A03,POL_B05_06,POL_B07_08,POL_B09,POL_C10T12,POL_C13T15,POL_C16,POL_C17_18,POL_C19,POL_C20,POL_C21,POL_C22,POL_C23,POL_C24,POL_C25,POL_C26,POL_C27,POL_C28,POL_C29,POL_C30,POL_C31T33,POL_D,POL_E,POL_F,POL_G,POL_H49,POL_H50,POL_H51,POL_H52,POL_H53,POL_I,POL_J58T60,POL_J61,POL_J62_63,POL_K,POL_L,POL_M,POL_N,POL_O,POL_P,POL_Q,POL_R,POL_S,POL_T,POL_HFCE,POL_NPISH,POL_GGFC,POL_GFCF,POL_INVNT,POL_DPABR
POL_C25,243.4955,1.1196,68.7461,59.1379,0.1995,353.7751,33.1524,171.6296,55.8187,20.7941,85.9366,7.9241,284.1231,100.6772,367.4161,3579.358,94.9301,687.0448,944.5055,3105.8235,378.3049,860.1701,68.2,97.0834,3574.5598,699.9608,214.9228,3.2571,18.952,56.9487,4.1694,18.564,11.1463,15.6666,28.3155,22.3562,205.6241,144.1031,78.6389,315.4612,23.0466,62.1237,17.3696,54.903,0.0,1224.6783,1.487,54.1802,3159.1284,104.6436,0.0
POL_C26,12.9148,0.2293,3.0162,4.4759,0.0239,19.6188,4.1104,5.0458,10.3407,4.8726,11.1987,2.1313,15.5169,7.7981,11.4634,39.1805,964.7773,173.3744,36.3588,84.1915,12.2196,70.8715,16.8771,5.4234,97.0241,106.4566,36.0235,0.9675,5.1117,11.8452,1.5088,3.0091,9.3639,236.1519,99.5343,17.9201,9.5584,49.6402,20.0812,29.0481,12.8821,47.753,7.0646,39.2895,0.0,1304.1902,3.6547,52.1528,700.4413,23.5047,0.0
POL_C27,44.7494,0.8846,14.9837,16.9041,0.1382,60.5173,11.3938,15.4769,17.694,18.2559,17.7813,3.5454,51.598,33.7452,86.6946,127.6968,601.8538,1567.1078,247.9418,370.5715,58.898,157.7278,89.1909,23.6855,631.7606,296.6996,229.3899,3.0694,13.6568,29.3143,2.403,9.6961,4.8483,45.9176,33.767,18.2784,36.0476,57.179,32.8628,76.46,27.74,73.4385,8.6147,94.4192,0.0,1957.8852,3.5344,43.4988,1100.9489,42.0384,0.0
POL_C28,122.294,0.967,20.4999,30.7676,0.1155,79.8063,18.1429,20.1899,31.4302,17.6233,24.2563,3.8857,37.5107,22.4021,39.9095,215.4344,35.2839,142.5073,213.7119,323.0714,74.6821,213.9818,39.2261,24.416,297.8344,164.7369,66.8544,2.5296,15.2474,24.4584,1.6424,9.5935,6.2435,9.7302,16.0516,12.4118,28.7401,41.5309,37.1499,28.4396,6.8458,19.0943,9.7993,9.8409,0.0,355.7356,1.0883,30.2573,1565.4957,15.8964,0.0
POL_C29,41.0209,0.4697,6.5534,13.8254,0.2025,65.0242,18.5695,17.1786,17.8975,5.9651,22.9723,4.075,134.9707,24.3279,19.1767,104.9587,38.9075,117.5658,81.4588,3648.7592,37.6713,281.6126,14.6313,34.9337,260.2424,325.4037,954.0876,1.0605,5.9043,61.7325,5.7719,7.85,7.4982,15.5324,25.438,37.9641,22.6573,48.3498,41.8324,28.1997,12.3209,35.6038,8.2563,16.6888,0.0,2957.9212,2.7456,79.8023,1769.0281,25.0589,0.0
POL_C30,8.7303,0.7948,5.7784,4.5027,0.0,0.5605,0.0,0.1042,0.2488,0.1636,0.0873,0.2335,3.8048,0.1424,0.6727,4.088,0.9375,1.9836,1.343,10.2942,776.2812,80.5366,0.6892,2.8957,2.4448,2.7167,580.6281,20.9021,72.9876,18.569,2.542,2.1483,0.1034,0.121,0.5874,0.0,0.2258,1.035,1.1165,83.54,0.4844,0.5287,0.7673,0.0767,0.0,370.8509,0.0,6.5352,1417.2119,6.694,0.0
POL_C31T33,191.1432,17.0093,128.3424,226.4342,0.1217,369.2048,66.0458,180.34,178.0581,77.3418,132.1296,40.7079,206.8429,172.326,245.0984,518.1827,65.465,421.1801,268.5258,348.2868,235.4973,1137.2084,209.2288,88.6503,1194.3687,753.6472,368.7101,44.8786,273.4428,203.9975,15.3294,77.7921,38.7013,53.9836,107.4394,59.6553,133.1866,259.7162,173.1624,206.2699,130.8044,695.2349,175.1874,97.8571,0.0,4346.6482,3.9999,50.1472,3548.4051,9.3882,0.0
POL_D,607.1989,5.4626,209.516,230.8749,130.0588,1003.4603,163.1891,223.1383,316.9545,50.9532,432.1536,76.6017,520.8041,541.7364,998.4251,402.9113,55.6421,199.5609,152.451,308.1003,74.0297,242.9568,825.6857,396.9906,558.2772,1306.6336,764.7362,1.3465,7.4492,595.8998,39.422,218.9208,63.1109,170.5769,64.7981,142.3523,4280.5751,265.8664,139.8505,399.0724,513.7175,605.8546,260.7926,136.7745,0.0,9571.6393,1.2578,116.4155,289.058,2.237,0.0
POL_E,92.3019,0.6351,53.8068,61.9595,0.679,332.5495,110.4031,34.3832,156.9939,36.7785,108.2129,27.3278,113.6086,297.0062,442.1309,465.9346,28.7489,106.1527,85.922,101.448,56.7904,108.9077,104.1458,1806.3151,542.0852,809.9345,373.0179,1.5513,5.645,134.742,7.9028,142.4276,20.3424,31.5436,62.6756,49.7087,1982.0902,194.8095,346.0048,144.7055,94.2269,272.3639,87.1807,95.827,0.0,3080.1056,2.8141,1397.7678,126.7519,2.6426,0.0
POL_F,277.8455,2.1605,55.3546,134.5375,0.0729,418.0888,80.861,159.7642,181.4431,55.5909,221.1001,19.5029,313.6625,365.2033,126.6517,794.6598,50.3763,647.7816,272.6726,340.2794,164.9449,694.0916,3248.698,404.4418,31611.8847,4046.8268,157.1993,4.8567,30.295,597.4666,33.8893,275.6492,20.7305,271.7683,129.1209,131.0938,5215.1447,2891.871,550.5758,3401.0658,750.3993,656.8938,224.7304,219.3183,0.0,10802.4227,2.2763,104.5265,44229.0908,8.9179,0.0
POL_G,3384.2617,21.6502,121.875,214.7672,11.0784,9387.4825,1038.1277,867.8495,1041.4153,862.0786,1145.7175,285.2379,1843.0215,988.2125,737.3742,1666.4997,681.5725,1299.5289,604.3123,2411.2235,415.1523,1749.5234,579.3128,462.8948,5150.1737,5286.5563,4735.1865,22.7569,133.8959,800.9304,84.0587,1055.3093,257.5252,372.2991,437.0292,677.6621,720.8363,1654.181,893.9114,642.8665,341.1118,1101.8065,203.6619,499.4159,0.0,36076.6556,29.1055,1046.0305,4080.4304,422.7969,0.0
POL_H49,805.2192,2.75,137.2119,273.2519,1.9039,1913.3005,200.0464,864.656,819.8614,507.0107,952.4214,44.3331,769.6308,1192.8323,680.1701,834.545,150.4189,432.837,251.5881,444.8501,138.8038,661.2008,498.7918,662.7251,1547.4984,5681.5541,4704.6397,10.9606,49.7443,3807.6155,398.7863,155.0689,52.1753,48.4316,84.3774,165.1985,228.8581,420.1078,1033.554,368.8943,247.4904,345.4342,77.034,204.6298,0.0,6691.6789,3.7142,2243.6667,419.9151,499.5753,0.0
POL_H50,3.991,0.0106,0.4562,0.0259,0.1028,7.4971,0.5387,0.0131,0.0267,4.212,0.0126,0.064,1.0277,0.0145,0.3135,0.5238,0.6191,0.5583,0.0647,1.9105,0.3119,0.301,3.712,0.0279,6.113,0.5507,0.1279,0.0076,0.0085,0.0078,0.008,0.792,0.0897,0.4394,0.018,0.1576,0.3575,0.0779,0.0424,0.2702,0.1413,1.1589,0.0256,0.3785,0.0,34.615,0.04,2.6853,10.3836,222.1347,0.0
POL_H51,16.6644,0.3515,1.8555,9.6522,0.1413,39.2411,7.5873,9.3183,16.3547,18.8343,22.9861,2.1082,16.7496,13.6088,25.5744,20.8891,8.9642,14.8762,9.4526,23.067,5.0215,26.5359,9.037,4.7785,32.2118,76.9869,31.5704,0.8922,15.1729,142.5825,20.978,3.8292,1.5159,0.8194,5.3501,10.468,6.1004,16.4505,146.8833,5.3781,2.9866,5.7774,3.4077,5.568,0.0,157.7832,0.0591,1.7604,14.5454,130.0942,0.0
POL_H52,161.1482,1.7021,51.9895,169.3783,0.2499,900.8511,81.9885,57.5961,182.6754,196.3599,231.0098,26.7297,209.7732,288.0074,448.082,138.9117,34.3664,235.276,77.1578,194.7279,78.7327,87.1235,148.1272,166.0527,378.7792,4694.5671,1928.0979,139.8798,560.989,3748.7853,105.6804,41.7059,38.602,33.0644,2.2568,41.3073,118.8215,235.4969,308.9315,52.3194,25.1474,63.8372,25.6511,74.4692,0.0,931.4068,0.1765,3556.3431,30.5283,19.9743,0.0
POL_H53,8.9193,0.0959,4.1816,13.9623,0.0,56.5732,6.6864,2.918,14.1082,7.8937,13.2205,2.5968,11.2821,13.7978,40.4337,8.6901,2.3584,15.1997,5.6083,10.3778,6.4118,78.702,18.4078,17.6671,31.4186,267.8238,43.6542,2.0956,9.929,224.9995,128.0084,7.2907,8.6146,10.6201,40.3672,23.934,9.8741,38.9662,39.4756,13.0309,7.4407,19.1605,3.9172,17.7635,0.0,757.7192,0.0,497.8603,0.0,0.9226,0.0
POL_I,11.072,0.0771,12.3015,7.7519,0.0134,70.0752,14.4647,5.19,15.7837,4.9368,11.7112,5.8663,19.1727,16.7171,4.7134,26.8376,3.657,37.8911,18.65,20.1062,12.5359,44.1011,6.0537,15.7758,233.0787,338.9751,204.2,4.7034,58.958,49.7438,4.9002,141.5776,19.2657,10.0755,65.7936,69.5064,18.9423,159.3802,141.4459,59.029,58.0372,221.9515,58.9828,12.9446,0.0,8457.3649,8.8639,1008.3473,41.3958,0.5912,0.0
POL_J58T60,18.6198,0.2283,4.9577,5.0158,0.0186,122.4535,18.4016,7.0084,50.3806,7.2995,40.8293,79.1175,20.0297,18.6261,6.7881,28.6218,4.4967,24.4931,15.1046,32.6146,18.9706,28.4377,7.2406,21.3854,41.1532,400.7909,76.2044,1.6624,9.2911,30.4395,6.3106,49.0862,1147.9511,94.3918,125.3967,152.0215,62.1375,383.9108,72.3325,65.6807,94.5558,79.4457,47.004,60.7624,0.0,2778.7678,24.7562,642.0278,144.4178,3.5498,0.0
