V1,CZE_A01_02,CZE_A03,CZE_B05_06,CZE_B07_08,CZE_B09,CZE_C10T12,CZE_C13T15,CZE_C16,CZE_C17_18,CZE_C19,CZE_C20,CZE_C21,CZE_C22,CZE_C23,CZE_C24,CZE_C25,CZE_C26,CZE_C27,CZE_C28,CZE_C29,CZE_C30,CZE_C31T33,CZE_D,CZE_E,CZE_F,CZE_G,CZE_H49,CZE_H50,CZE_H51,CZE_H52,CZE_H53,CZE_I,CZE_J58T60,CZE_J61,CZE_J62_63,CZE_K,CZE_L,CZE_M,CZE_N,CZE_O,CZE_P,CZE_Q,CZE_R,CZE_S,CZE_T,CZE_HFCE,CZE_NPISH,CZE_GGFC,CZE_GFCF,CZE_INVNT,CZE_DPABR
CZE_C20,352.1712,1.0723,14.4432,15.1712,4.8562,90.7467,109.038,69.6577,77.3536,35.7961,1380.4857,41.9281,854.2272,128.4855,190.2162,86.1652,21.9456,77.9133,88.4304,248.9101,20.5592,106.2735,68.3479,74.8768,314.4427,342.8691,490.9331,1.6974,17.4452,145.8758,13.4798,17.5956,7.3099,7.7805,8.898,14.3835,119.6351,83.1548,70.9093,63.3067,10.2941,72.1889,9.3822,25.9326,0.0,1340.7249,0.1522,36.3884,53.2817,-8.4851,0.0
CZE_C21,16.9093,0.0414,0.5908,0.2599,0.0375,15.7682,3.0839,1.8999,5.9136,0.5204,18.3787,80.2442,18.4102,3.3424,3.4598,6.0485,3.8377,4.1203,5.906,27.1754,1.0763,4.5931,3.3546,1.6534,11.4664,39.0101,3.0118,0.0215,0.138,1.2525,0.203,3.2507,1.5334,0.5256,3.5343,1.8786,6.3499,32.2187,4.2645,3.7193,1.1759,572.8591,2.2206,5.9692,0.0,394.4161,0.0837,446.2763,55.5369,-0.6608,0.0
CZE_C22,35.8456,0.1531,4.4678,2.8893,0.1437,95.0975,24.3838,16.8115,34.6646,1.7634,64.9607,34.0186,911.2947,48.3156,15.101,159.8749,166.6462,255.1877,121.6523,1801.6494,17.8328,271.3021,8.6543,17.8225,294.3731,101.3772,45.0708,0.0457,0.1899,7.6805,0.6522,7.6348,1.7411,4.3305,4.5443,3.1814,168.4134,41.7691,18.5719,8.7687,1.88,7.3897,2.3912,4.151,0.0,232.9944,0.2342,10.1353,138.8848,-21.4168,0.0
CZE_C23,17.121,0.0618,1.9409,10.6004,0.6279,49.0995,21.8094,29.2546,11.487,0.6215,24.0817,9.028,38.4013,556.3415,59.8121,52.6302,40.1653,27.1114,60.8508,107.2197,5.0071,30.3525,11.7482,14.0247,1719.557,27.8101,5.07,0.1339,0.1811,6.4654,0.6038,6.5142,1.3035,1.1899,4.0908,2.924,446.5284,28.3007,9.1569,8.0068,2.3275,5.8177,2.4815,3.6522,0.0,269.1436,0.1466,5.1499,71.7502,-4.4738,0.0
CZE_C24,10.9891,1.517,6.0145,0.4735,0.2134,1.6725,0.8326,2.9832,1.1684,0.1879,3.0071,0.4852,25.9283,10.6727,794.2644,1277.0444,13.2931,341.4037,552.6602,824.343,101.6642,101.2464,35.1286,81.4753,251.781,46.333,0.5465,0.1616,0.0247,0.0563,0.0428,0.3629,0.7274,0.0445,0.822,0.0684,32.9992,5.045,1.1538,4.4027,1.5783,0.8712,0.3936,0.6284,0.0,3.6953,0.0,0.0,39.3876,-13.2382,0.0
CZE_C25,34.7251,0.1399,41.1364,11.8001,3.8109,96.0818,18.4651,78.972,33.6009,1.145,100.4723,13.3685,128.1888,76.0429,182.5402,1761.1609,84.6895,277.6664,1140.6746,2164.4214,198.0331,278.4183,28.3498,33.5536,901.8916,147.0555,44.4103,0.1134,0.7742,19.0844,0.68,3.6946,2.8831,2.424,3.5931,2.6521,194.969,76.2598,22.3887,19.3768,4.4925,19.5145,5.6265,20.6406,0.0,364.4632,0.6902,12.7765,504.9462,-32.9108,0.0
CZE_C26,14.2254,0.0789,3.051,0.9733,0.117,5.0822,2.1672,2.624,4.5869,0.5637,17.2927,2.7019,26.306,6.5777,5.5664,70.0174,395.7336,432.7352,161.6206,177.8404,28.1523,79.3217,31.1112,10.801,146.9298,127.6226,36.2173,0.088,0.4897,32.572,5.5427,20.0317,6.9864,76.3898,56.1747,81.6525,59.9799,82.8388,31.388,26.4924,17.8894,24.3067,5.892,17.2035,0.0,549.481,1.651,34.2559,1245.2218,-94.6134,0.0
CZE_C27,31.5581,0.1465,4.2687,3.4039,0.5115,16.6099,3.4077,5.7515,8.5115,0.4719,25.2617,4.7522,56.9077,16.4545,16.4589,75.2558,260.772,649.1208,227.4677,1111.4017,66.158,194.5296,256.4464,11.5127,494.3832,138.9115,32.2319,0.1623,1.9147,11.9662,4.3473,8.0484,3.0439,12.7604,16.0979,12.5741,192.0696,58.8354,31.1437,31.1435,7.8314,15.7931,8.3716,9.1935,0.0,542.3323,0.3201,20.2446,759.0534,-56.3923,0.0
CZE_C28,123.8759,1.2578,17.9588,5.1195,0.8862,32.2408,9.1264,15.3079,16.2661,1.427,74.2544,4.5567,67.0065,79.991,29.4672,134.5207,21.5668,120.4733,373.879,301.1718,28.4479,122.439,97.3708,32.2348,280.8786,121.8392,42.5212,0.2296,3.1701,17.5177,1.4317,5.2388,2.7078,4.3103,12.4955,3.839,68.4596,104.517,29.4999,15.231,5.2246,28.5996,8.3744,9.4068,0.0,128.0978,0.3153,20.6055,2696.8848,-217.8278,0.0
CZE_C29,54.8782,0.2322,1.8213,1.4629,0.3198,25.3459,5.2863,9.9162,3.4991,0.7286,9.2449,3.8789,124.6941,41.3939,20.571,54.6821,52.1778,273.6477,270.7652,7049.2637,16.3313,58.2169,24.5635,20.05,229.2458,818.898,354.6666,0.3795,0.3043,66.8216,2.2924,5.3632,4.028,3.7604,12.2689,11.1922,38.6246,63.5916,43.8608,11.528,9.8919,11.3317,5.1983,6.3135,0.0,1365.9185,0.8703,83.607,1960.55,-224.5158,0.0
CZE_C30,0.0638,0.0531,0.5911,0.1298,0.0947,1.1965,0.0318,0.7932,0.2131,0.0,0.1999,0.1218,0.0539,0.2996,0.3573,3.9603,0.071,0.0276,10.4987,2.7367,120.7163,25.8515,1.2066,0.1626,3.1538,9.4626,70.245,0.3893,64.2373,7.3368,0.5628,0.1259,0.1663,0.0507,0.0,1.8224,0.3708,2.0734,4.4794,20.0298,0.3035,0.7311,0.1008,0.1623,0.0,365.711,0.0,56.5574,445.8936,-11.8814,0.0
CZE_C31T33,176.7863,1.0454,25.8742,12.9309,1.8265,101.6455,35.0832,31.7581,82.5104,3.6465,244.356,13.7638,46.9326,45.0471,81.9158,108.2539,53.141,125.7494,182.8303,238.119,20.7997,485.724,404.4424,44.0953,200.6867,259.5312,266.1894,1.7034,27.0884,106.8778,3.6681,35.9648,7.5142,21.6909,62.2206,9.8587,136.9779,123.9398,46.2778,80.6122,35.5954,252.177,27.1318,21.5383,0.0,939.8417,2.52,52.6441,1701.8618,-30.0598,0.0
CZE_D,239.6655,1.2072,77.7855,43.0333,0.6268,236.5971,69.6397,71.4642,128.2997,40.1844,367.9698,23.8306,120.9513,229.2395,310.8762,178.2924,20.0811,79.568,115.4588,169.641,21.1486,95.888,2354.9649,88.5601,253.3569,357.4336,232.4879,0.3316,15.9615,124.8618,19.9616,78.5994,15.714,47.9684,25.1037,50.5971,715.7612,99.6629,61.1976,335.2204,166.0698,248.8642,61.6794,63.1403,0.0,5826.6847,1.2446,9.9777,158.6492,2.3922,0.0
CZE_E,59.2288,1.2513,11.9316,10.6153,2.567,85.9569,9.6695,8.0459,41.4464,3.5166,66.0599,12.1574,15.9345,42.6242,311.302,89.4089,5.9161,19.8655,112.0278,119.1552,7.68,20.8011,299.9424,1268.8151,234.4663,166.1009,33.3181,0.1425,0.7248,29.1986,4.4117,43.3779,3.4225,6.9892,6.0472,16.6506,345.8427,56.5237,172.2705,255.2074,33.1471,119.8726,16.1516,19.8747,0.0,1373.4374,4.2809,129.7511,126.1533,0.2809,0.0
CZE_F,217.3162,1.7808,35.6929,20.3708,8.6411,45.0146,6.4241,21.2004,10.6923,1.6015,26.2941,4.5359,20.5476,38.5547,95.7598,102.6745,7.8599,38.4523,81.7733,61.3632,8.7895,258.0162,528.8965,120.0421,9638.0019,473.4267,129.4258,0.5383,2.3485,410.8703,15.6586,62.982,12.0268,44.3858,23.6818,70.7453,3117.2584,973.2063,168.021,709.4608,88.6365,245.6787,92.9281,32.1181,0.0,763.1517,0.5733,18.0324,22205.5599,1.3573,0.0
CZE_G,903.079,3.8401,42.3735,35.7763,5.3428,1530.3554,255.137,198.3226,287.8713,25.6378,844.581,200.2245,696.8451,331.547,469.9672,716.6412,436.0732,365.0973,657.5661,2458.5479,93.8694,416.5209,553.4735,211.9969,1152.5297,4104.54,1368.1452,2.8391,27.2,307.9004,60.6772,320.0284,169.7316,70.2073,174.2591,195.4102,626.8471,1053.4523,710.7066,230.6548,85.4489,639.558,132.6296,140.1465,0.0,7769.7886,7.1688,353.9309,1543.4261,7.3087,0.0
CZE_H49,131.5174,0.8894,33.5903,37.3248,4.3737,290.0689,26.4651,86.1078,94.3258,12.267,257.2492,21.8394,95.172,172.4466,171.2131,109.7927,64.1966,86.8825,86.1932,401.1969,20.8659,69.0824,317.73,26.5416,347.2493,353.7284,381.2867,0.5368,9.7653,714.0799,62.9472,32.3109,17.0467,7.5198,24.0297,18.0181,120.0386,56.4117,36.7415,65.7782,12.1717,40.9721,10.5109,17.8178,0.0,1177.0724,0.946,391.3538,231.813,216.2379,0.0
CZE_H50,0.2167,0.0012,0.0187,0.0062,0.0027,0.119,0.0287,0.0077,0.0358,0.0179,0.0664,0.0061,0.1298,0.0291,0.0579,0.0474,0.1266,0.118,0.0593,0.3588,0.0101,0.2051,0.4393,0.039,0.535,0.187,0.1576,0.0014,0.0159,0.1047,0.0029,0.0689,0.0108,0.0255,0.0304,0.0086,0.1575,0.1013,0.0662,0.0509,0.0327,0.1808,0.0128,0.0148,0.0,0.9547,0.0009,0.3757,1.7239,20.8599,0.0
CZE_H51,0.9134,0.0051,0.1869,0.1392,0.0167,0.7378,0.1144,0.1572,0.3365,0.0499,1.1911,0.0352,0.5634,0.4443,0.7493,0.501,0.4038,0.3576,0.6354,2.1829,0.0754,1.1933,1.9477,0.1625,1.1311,1.2978,2.6551,0.0123,0.2276,3.1423,0.026,0.1577,0.0159,0.0679,0.1719,0.0165,0.3192,0.328,0.1859,0.3195,0.0455,0.3515,0.0267,0.0493,0.0,0.4137,0.0036,3.6107,4.8876,50.5043,0.0
CZE_H52,163.0438,0.1569,80.9954,70.5014,6.8566,115.1383,6.2725,11.6205,20.7789,5.3454,112.5329,3.9321,27.1121,161.4724,54.1096,71.1453,10.2277,56.3141,70.9646,339.9263,5.6037,12.426,136.0162,28.1812,93.0624,737.5978,1653.0557,6.0634,132.0548,2634.8397,17.6058,6.4859,7.2038,2.9482,9.0381,4.7087,12.2045,62.1725,99.4896,123.0014,4.6399,25.7675,10.301,21.6009,0.0,211.7208,5.5606,3242.2249,28.4266,43.2888,0.0
CZE_H53,5.9438,0.0973,0.4236,0.1895,0.1613,1.2618,0.6165,1.2881,3.2557,0.0211,0.7421,0.9185,2.2466,3.0641,1.0827,7.4981,0.2017,0.6548,1.0042,12.9859,0.1674,3.8867,28.6017,3.2057,11.358,271.2997,11.9018,0.1048,0.7119,43.3293,331.2728,11.5578,16.5121,41.6172,16.5817,255.4019,29.0999,70.5399,20.4315,237.1242,14.4418,13.9126,9.1551,6.0282,0.0,77.989,0.0215,18.399,0.0927,0.7346,0.0
CZE_I,30.9054,0.1616,1.9674,0.6737,0.4382,23.8462,4.2741,3.7245,5.1097,0.261,16.4487,2.6647,8.2709,8.3876,4.6301,21.0469,4.6022,16.5803,13.7315,28.6996,4.0256,17.5708,27.7348,4.3122,103.4821,100.5209,199.6315,1.4626,5.7699,64.5532,2.2454,47.1807,6.6737,2.5687,27.3339,7.2607,65.3479,114.2304,251.4132,59.3309,51.2792,149.7961,27.6833,12.3488,0.0,3355.5363,2.822,50.0598,20.854,0.0179,0.0
CZE_J58T60,7.9132,0.0475,0.3716,0.8997,0.0566,8.5694,1.5421,1.2205,37.3526,0.122,13.1791,1.2646,2.2948,3.7311,4.3005,7.9667,6.009,4.6431,9.0931,7.7864,0.8363,5.9221,15.6852,1.1647,8.2431,117.7271,3.782,0.132,0.1384,20.4083,1.4583,5.2468,536.396,23.937,105.2205,19.1359,5.614,146.3922,14.7332,9.6968,29.92,11.8684,14.7995,19.0314,0.0,967.7954,3.1566,250.0635,862.8763,1.0278,0.0
CZE_J61,22.1835,0.1525,1.3147,1.4283,0.3066,15.2313,1.6345,5.0325,4.205,0.2795,5.6572,3.9833,4.5478,8.2686,4.7356,13.1166,6.1294,14.134,12.3374,15.1553,3.0617,30.7839,99.5013,6.9642,57.3674,180.2588,40.5322,0.1064,0.8126,65.7298,25.2731,16.4669,66.3977,909.9568,235.204,137.153,59.2872,73.8413,45.7858,329.4716,27.2469,54.8613,25.6243,15.4463,0.0,2033.093,0.3869,1.4525,206.4771,0.0337,0.0
CZE_J62_63,32.1813,0.1191,5.4008,3.2662,0.5281,80.995,6.9618,11.9424,41.1408,2.1448,23.6783,16.6877,13.8419,25.8954,9.4107,40.9059,29.8776,64.9055,57.2232,148.2472,9.2759,144.7274,158.6357,30.7987,86.4311,488.2803,42.108,0.0667,0.9736,139.4839,43.4458,22.7061,228.1936,163.4012,2089.311,622.3591,139.205,450.36,140.0269,112.2089,59.2106,85.0041,66.6217,60.1411,0.0,127.1927,10.3916,18.6103,5288.2931,2.2494,0.0
CZE_K,261.8143,1.2217,10.085,11.5336,1.9749,91.8631,26.7961,31.6386,91.5783,3.8763,67.4399,26.5378,106.3956,62.2154,59.7803,106.7658,24.6816,77.1636,151.8922,180.5965,26.3585,153.0661,520.3991,84.7816,461.6969,1145.948,456.631,1.1974,40.2609,167.3438,6.5448,44.22,47.7627,34.1402,105.3848,3406.6792,2123.3552,617.442,314.2653,205.6888,69.8289,245.1294,51.6565,82.5955,0.0,3606.1747,0.2637,26.1694,143.2277,0.9659,0.0
CZE_L,79.6,7.0622,10.2705,6.9815,3.7242,146.175,30.3148,32.0253,35.2108,1.9803,42.7219,27.4162,29.4642,27.2556,17.4102,103.0853,18.7359,68.1999,54.5305,152.5304,20.623,164.8543,175.2362,424.8257,591.0395,3252.8741,280.0257,1.1236,2.009,582.7338,36.2861,601.5976,122.3796,232.4178,235.551,491.7154,2911.0393,934.7733,369.3689,543.6661,309.8592,528.3637,242.6496,100.0623,0.0,24734.6189,28.1041,473.6352,43.8156,0.1161,0.0
CZE_M,317.0592,1.2452,20.3176,18.1195,1.5098,459.2498,48.348,49.9907,53.5732,4.5321,191.7584,146.6328,162.6621,104.2897,126.0698,304.9382,389.0722,165.5516,346.8779,1117.2834,62.8682,229.6852,463.605,57.6406,3554.7981,1965.7389,148.8657,1.0933,3.4245,221.716,18.7823,144.0812,133.6285,107.6447,273.903,350.6523,1827.9186,3208.5307,428.101,669.1774,166.2043,220.3182,143.9189,61.0847,0.0,358.7631,17.5712,213.6841,1084.7559,3.6447,0.0
CZE_N,81.322,0.4231,24.6132,28.3512,5.9334,144.04,8.3415,45.1942,38.3609,3.7036,46.0066,26.7718,29.3829,62.9146,39.1941,83.6723,42.1489,95.8306,133.7155,374.9323,32.4619,115.4466,195.1624,116.8748,335.7843,828.2418,205.6617,1.6004,15.7219,150.5676,35.54,104.4742,32.4732,160.4166,92.5376,232.797,730.0455,378.6624,939.791,518.3877,76.8769,125.4744,86.7783,54.8907,0.0,1310.8616,4.5014,40.672,82.2587,0.9579,0.0
CZE_O,69.1656,0.103,7.5866,8.8682,1.1535,25.8028,2.1218,7.9832,18.5074,0.6864,13.2732,3.9505,10.5222,22.9198,36.3863,24.5682,1.8115,9.6893,18.6327,63.276,4.1266,5.3217,54.3031,138.2801,36.4252,92.7881,150.6967,0.5519,11.1586,265.6615,2.3192,4.6202,20.3011,2.7321,38.2482,56.9731,66.7895,46.4114,41.5735,303.3369,4.0436,41.0935,15.7742,14.431,0.0,224.0616,24.2511,17981.7862,116.0484,0.4874,0.0
CZE_P,14.4313,0.0665,0.6053,0.5254,0.3237,6.5178,0.9907,1.1828,4.2733,0.1189,5.4393,3.1456,10.2514,4.5184,6.1632,5.4294,2.3877,6.907,24.0095,125.95,9.0674,9.8695,25.7376,4.4919,23.0644,58.7076,21.4775,0.1422,3.3973,21.9849,1.8964,3.397,4.6391,3.8193,30.596,47.2094,49.7893,92.8184,56.3245,136.3241,280.9174,17.139,7.4906,8.5332,0.0,893.4567,269.207,10222.3167,621.1395,0.0159,0.0
CZE_Q,8.5178,0.5211,2.6746,0.1714,0.0411,12.6833,1.8203,0.6574,1.5717,0.1303,4.9325,25.8332,5.972,4.1648,1.6492,5.1599,2.28,2.7281,2.2427,27.5251,0.7982,2.9615,4.0028,5.1011,7.5511,12.2258,17.4203,0.0426,0.32,6.5311,0.3511,5.0431,2.9173,0.8226,9.1763,10.2468,14.2117,19.2144,17.0993,20.8466,4.7499,518.6789,3.5764,5.9245,0.0,1882.2983,487.2745,15834.0341,94.012,0.1202,0.0
CZE_R,3.6762,0.0091,0.261,0.3875,0.0145,3.3798,0.7121,0.6148,0.7514,0.0415,1.5281,0.445,3.8996,3.3371,0.6884,1.9226,0.7657,1.0672,1.0487,13.5362,0.4992,1.4775,2.0729,2.9389,2.8389,7.5913,4.1188,0.0161,0.1066,1.5114,0.3089,18.4328,57.7362,4.8945,10.2791,2.0625,35.7198,21.5938,13.529,8.8946,18.1043,18.3461,580.1501,105.7018,0.0,1900.0859,421.6945,893.4276,173.2564,0.0918,0.0
CZE_S,7.7917,0.0126,3.3307,0.9243,0.3592,40.2665,16.7107,7.2881,9.6549,0.2461,6.8057,2.8945,3.8714,51.5494,5.9653,39.2672,4.9665,4.6539,94.2168,8.2044,0.7242,36.4531,6.5587,37.2697,15.6265,121.2342,12.3763,0.0682,0.3973,13.8381,5.3063,58.3726,4.6547,5.3491,12.8415,48.4379,32.4361,27.5209,53.283,10.3078,28.4305,111.7992,39.3097,225.2695,0.0,1445.0875,900.6787,179.1756,20.2623,-0.3324,0.0
CZE_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.8777,0.0,0.0,0.0,0.0,0.0
