V1,AUS_A01_02,AUS_A03,AUS_B05_06,AUS_B07_08,AUS_B09,AUS_C10T12,AUS_C13T15,AUS_C16,AUS_C17_18,AUS_C19,AUS_C20,AUS_C21,AUS_C22,AUS_C23,AUS_C24,AUS_C25,AUS_C26,AUS_C27,AUS_C28,AUS_C29,AUS_C30,AUS_C31T33,AUS_D,AUS_E,AUS_F,AUS_G,AUS_H49,AUS_H50,AUS_H51,AUS_H52,AUS_H53,AUS_I,AUS_J58T60,AUS_J61,AUS_J62_63,AUS_K,AUS_L,AUS_M,AUS_N,AUS_O,AUS_P,AUS_Q,AUS_R,AUS_S,AUS_T,AUS_HFCE,AUS_NPISH,AUS_GGFC,AUS_GFCF,AUS_INVNT,AUS_DPABR
AUS_C20,901.7443,56.7575,159.9761,335.1804,14.2161,102.1721,6.631,38.5097,86.5574,224.37,76.7521,38.0907,658.7057,11.5863,0.0966,48.1202,16.5252,24.9776,31.0576,20.6179,32.3172,37.7742,35.8303,145.5849,1222.0359,345.187,27.9735,1.2892,2.5358,4.7947,4.7219,48.6153,13.9368,0.6722,0.0,0.8803,49.082,87.6396,161.451,91.6627,113.9093,299.8822,56.0515,142.1793,0,3273.8265,1.4085,0.0,6.2109,10.7517,0.0
AUS_C21,474.1096,3.7806,5.6409,13.2731,0.4725,2.3397,0.0,0.5523,3.0017,0.6198,1.3281,33.5961,0.4337,0.1736,0.0096,2.1903,0.0706,0.0392,0.1178,0.0827,0.1954,0.4724,0.4238,0.0,13.1695,21.3038,0.1877,2.6994,0.0,0.0,0.0,0.6198,1.3909,0.0,0.0,0.0,1.4354,6.4945,9.1876,0.8064,42.9594,152.4781,248.6894,6.3304,0,3032.5984,1.7367,2877.5749,0.0,10.1913,0.0
AUS_C22,81.4668,30.81,126.3265,201.4878,21.3143,329.2707,17.8712,69.0607,194.9983,39.7874,19.5237,24.248,193.0397,4.3684,0.4943,61.2593,31.2309,40.2035,84.037,133.2119,177.3296,193.4149,37.0352,76.0465,2641.911,666.4851,174.9128,4.5053,11.566,7.9997,68.884,39.1877,20.3865,4.8777,3.7188,4.558,121.8585,52.356,47.0742,269.4393,79.0754,185.6105,17.1482,92.4122,0,2106.8764,0.1631,10.7404,511.913,5.7097,0.0
AUS_C23,28.5904,6.1179,53.5541,106.8525,13.2807,349.5653,2.0785,75.8602,8.3318,7.7361,9.3641,13.768,26.8428,70.2898,0.5745,262.0538,9.5747,11.0388,22.3795,55.1084,88.4944,85.5172,51.9563,103.9494,10481.0564,296.4957,25.9419,2.8032,1.9576,11.5774,9.8342,59.4509,3.8794,4.2642,7.7288,8.6955,31.2567,33.8573,20.3076,32.8929,60.0052,161.5305,10.2412,78.9385,0,1362.2413,0.1573,11.5095,104.7524,15.0453,0.0
AUS_C24,0.0494,0.3197,236.7208,175.7667,75.1056,16.7209,3.5788,55.5019,29.9974,26.8694,0.6786,0.4035,54.6239,5.2127,5.8713,3360.7726,107.3555,224.1608,530.7648,366.936,431.7918,314.7795,23.1395,32.016,3560.4189,285.5632,6.0025,0.7224,0.0,1.8201,1.7009,10.349,0.2233,0.0,0.0,0.0,18.8622,10.6846,9.6741,46.2392,19.4951,37.2426,4.9479,29.8711,0,30.4628,0.0,0.0,0.0,-15.488,0.0
AUS_C25,101.8412,73.6473,819.7491,1196.1006,110.0113,267.2158,11.0791,196.1155,61.1849,27.324,9.9757,8.7375,125.9441,40.8241,2.0551,1276.5919,86.0255,119.2436,453.4201,218.8431,347.277,277.7551,113.5721,299.382,8484.4508,749.5582,247.2123,20.511,7.7649,19.1003,96.3914,77.4115,17.5871,17.2649,14.2272,17.1329,104.6952,65.6386,63.6321,368.1915,320.7858,247.9035,111.3868,103.7796,0,2137.4266,1.2665,26.0882,1998.827,-14.6838,0.0
AUS_C26,2.4966,3.0284,18.5663,32.6562,5.0591,1.6155,0.3386,0.4413,1.375,0.9905,0.0687,0.1069,1.1784,0.0416,0.0056,2.9277,312.7355,44.3607,73.65,6.298,15.5032,72.9702,3.5902,25.8066,230.8487,112.9807,17.7614,1.5819,4.6671,7.0934,51.2402,6.777,59.3854,123.591,69.7491,61.9105,7.5781,44.6817,31.6012,76.6394,230.9923,687.5038,25.1555,44.7191,0,3631.7743,0.5282,0.0,1467.5922,7.8809,0.0
AUS_C27,10.9718,13.0831,39.5609,24.0854,1.9449,15.3073,0.1253,0.3248,10.7106,0.8504,0.0461,0.0471,13.1353,0.2935,0.0181,20.492,64.9755,152.1325,119.6322,26.3067,41.8531,64.826,233.803,21.8507,1413.8502,108.0047,40.5162,0.5292,0.6496,1.5536,23.2568,4.1981,3.5173,83.6717,10.4475,5.1487,8.6449,90.8262,14.381,25.9244,20.4725,30.527,33.7774,25.8567,0,1345.5096,0.2659,0.0,464.012,7.3893,0.0
AUS_C28,150.9451,101.851,471.7094,1018.5438,29.5606,88.376,1.8298,9.1273,23.583,7.4789,1.9337,2.3949,11.9464,2.664,0.0714,83.5239,21.2218,21.2542,281.0361,58.6062,111.5108,422.2316,59.2082,43.2406,246.7125,385.3805,16.3991,2.4785,0.6507,1.0396,12.5049,18.9635,1.642,28.4044,0.0,1.6319,1.3179,130.7851,59.9308,116.7722,81.9975,67.0095,8.1683,52.8636,0,596.2466,0.4708,0.0,4938.0433,14.1033,0.0
AUS_C29,1.9512,0.979,3.5351,6.9436,1.4545,0.3022,0.1011,0.1308,0.0,0.0,0.0,0.0,0.0,0.185,0.0027,1.1316,0.8083,0.7071,4.4436,218.2659,43.563,253.8719,0.3011,1.0146,48.7841,396.56,66.8588,0.6392,0.1048,2.8778,4.6824,0.7481,0.1976,0.0,0.0,0.3274,0.5665,0.9869,2.6592,87.4581,14.8503,2.5855,1.4767,50.1964,0,5597.435,0.206,0.0,1081.1948,9.7086,0.0
AUS_C30,12.2648,178.6332,139.0714,124.1593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158,2.8589,0.7132,0.0471,2.5757,288.1727,368.8305,0.0,0.0,0.0,46.3072,22.0299,438.9546,375.1228,1047.7424,110.8854,67.3547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,694.9306,19.2437,0.0,1.1026,0.0,0,612.9816,0.0,0.0,5755.509,-411.8271,0.0
AUS_C31T33,417.9001,132.022,917.6135,2064.2175,165.1814,147.3849,32.7183,235.6415,129.102,285.8989,6.1798,6.461,110.6813,18.5118,0.4155,124.0493,13.9647,16.0392,44.5267,36.3249,82.4795,171.6214,197.6702,186.0769,1945.8647,1301.2942,236.9867,96.2355,64.232,381.8842,195.5435,77.4197,101.554,604.1432,225.2064,542.726,219.7529,976.3374,745.3569,331.3857,446.3871,451.9015,273.1363,161.6647,0,2725.5959,0.583,9.0078,723.1715,-893.154,0.0
AUS_D,572.4329,44.7178,1715.3695,2620.011,180.7456,700.1022,59.8839,156.1912,274.4164,169.8887,44.2064,21.9624,171.5464,19.9437,7.3442,189.7694,38.5875,26.1577,79.6956,107.0023,104.3244,115.476,17760.921,606.9769,1639.987,2282.0692,292.0303,5.048,28.5885,467.2381,72.2192,917.8006,144.0943,334.9418,71.4639,409.5002,921.2072,745.5027,970.0061,3206.3558,344.582,656.0781,87.5914,103.3839,0,10508.452,4.2878,4.041,2587.6016,-0.6474,0.0
AUS_E,1468.3225,35.0907,220.8429,242.4247,15.907,369.9382,14.7355,39.0273,96.2429,74.0703,12.4669,11.0692,77.4041,11.3773,0.5088,135.3508,25.3861,25.5028,68.7216,55.4139,128.8716,74.0211,329.2105,1925.2966,2997.7131,729.1226,227.837,51.6861,16.9061,256.1845,21.285,375.628,31.4838,1065.6179,1079.1607,296.9446,1441.5613,1814.1521,1423.4749,762.9332,384.519,1682.0676,270.203,109.1565,0,7616.6542,34.0706,1218.7819,1263.4959,0.1515,0.0
AUS_F,2218.8256,220.9143,3204.513,7010.6296,107.2416,384.5406,25.0468,554.9534,94.2822,110.4677,8.6483,8.9748,79.463,10.1318,5.1072,136.0502,54.0604,42.4646,111.4809,64.3395,135.4736,418.8562,1909.9818,986.5781,88283.9311,3561.4387,1791.7874,65.4069,71.0373,1064.9226,141.1996,804.6984,290.9769,614.5929,1169.4872,1356.0449,13385.8346,1278.0897,1174.7135,8975.9451,584.3797,946.5747,215.12,270.5168,0,2767.6307,15.7802,378.1233,174978.5826,6.7792,0.0
AUS_G,4757.2733,802.2961,2257.3958,3647.6753,230.5361,9076.6424,686.1269,555.9857,767.649,789.2773,148.9705,132.7654,1071.6094,85.962,61.695,1257.2765,735.133,498.7619,954.5898,703.023,878.0249,1862.4876,1698.5037,1050.3898,15682.1429,7300.248,3299.7753,344.046,695.6211,468.8088,886.6467,4554.9749,778.8378,1092.8467,1487.5993,1460.2781,728.1735,1622.3694,1921.5023,2856.2944,2654.317,6053.0854,1630.0476,1067.488,0,78732.2251,27.0849,2870.9425,16281.595,-144.7468,0.0
AUS_H49,1411.3233,165.9001,2387.0234,3088.5511,177.9427,1973.7695,117.8017,383.9068,355.9252,211.7904,44.2532,33.7335,361.4818,112.2236,17.4243,447.9001,70.5462,75.5292,199.7015,125.0142,163.0535,247.4756,287.7042,383.4132,2318.6888,7100.2777,4232.1605,729.6599,207.8787,1887.1178,1500.5827,148.991,182.9208,99.3651,152.0428,291.3306,198.6114,629.9907,668.2792,383.1563,306.1705,599.6844,117.554,90.5948,0,4231.7581,4.4545,1398.1048,852.5617,122.5982,0.0
AUS_H50,99.4547,24.7907,2000.1126,166.7344,84.6823,89.2689,5.3117,9.3154,33.4211,23.9339,3.7469,3.8345,24.2448,2.9109,1.7699,61.0609,4.0101,3.5789,7.5991,8.9467,13.4696,32.2248,738.9509,19.3892,618.9449,1371.435,209.3907,2671.0734,103.6485,246.6784,47.9914,49.2877,5.7867,45.7742,10.1822,60.0707,107.8496,276.005,354.1651,410.2855,191.6278,116.9605,14.2404,34.1575,0,2318.3058,0.3251,989.2532,659.6586,27.0873,0.0
AUS_H51,111.5047,20.4831,142.9959,180.0622,11.7605,113.2239,10.5579,15.5165,30.9859,27.7106,9.4515,8.3938,36.1992,9.991,29.0479,61.4721,31.354,21.5542,45.1218,33.0528,39.3392,74.8025,64.8081,41.232,547.5444,479.9139,133.2146,40.3343,133.6585,329.2872,104.2401,61.5222,33.5059,61.6543,166.7262,150.4584,50.5138,313.9244,205.1405,265.7994,178.204,216.7267,64.4778,51.8724,0,3992.9665,1.0008,269.2541,629.3289,694.2594,0.0
AUS_H52,1345.8041,104.4592,1716.2654,1343.6053,39.7385,942.5163,24.2526,76.4795,430.1282,191.247,49.3579,55.3711,185.0985,28.3594,4.5032,896.873,25.5041,25.7124,63.5496,119.2261,183.4234,176.9408,134.0246,122.877,2981.5542,6252.7914,1163.3286,538.3333,1731.0494,4106.4064,402.268,152.4794,61.7048,817.6997,131.6627,325.8691,380.7405,1402.5899,1127.7814,1311.3577,712.6907,480.5467,111.8958,158.0033,0,2082.4584,4.5335,10525.7214,1139.9546,25.8037,0.0
AUS_H53,165.1191,22.4517,250.2659,301.5931,17.8305,148.1014,9.746,18.7967,33.9207,15.9088,3.4789,4.2964,20.2642,5.3324,2.1464,39.3385,13.3402,10.7014,29.042,11.8388,20.6905,69.8348,128.0623,129.8684,705.9637,1066.802,376.1403,28.4623,33.9058,241.7756,628.1983,84.5283,79.8182,94.1855,50.0574,1285.4793,170.4432,986.9207,674.6394,656.883,562.9892,885.9933,168.5865,161.3426,0,1290.072,1.3241,89.6494,126.688,46.7822,0.0
AUS_I,239.6819,31.361,484.9067,395.4898,69.7262,696.6401,6.8321,28.8159,92.8644,154.8122,9.8735,21.2703,42.1036,7.5427,0.1474,156.1707,23.8213,14.6923,54.0395,41.0574,96.9213,48.502,126.4407,114.5793,1608.0099,916.1241,144.3525,10.6803,16.8425,201.5293,119.6596,90.046,74.4196,343.5247,186.9474,622.3713,87.6063,1981.5751,1312.5674,831.3416,472.0355,242.3617,203.1656,109.6545,0,38935.2139,23.9883,4.1652,167.3459,0.0536,0.0
AUS_J58T60,13.2433,4.2239,33.3745,35.9214,9.1327,54.587,4.1378,12.6228,38.4479,8.486,2.7049,4.44,30.7549,1.6375,0.1439,32.3638,10.0718,5.8271,18.4587,32.2134,72.576,19.4051,36.9628,47.2569,274.6866,969.8271,57.1422,16.7665,50.035,75.2467,56.0973,246.1723,1166.1022,756.7079,1312.6393,1515.8857,148.0999,826.3439,816.4757,790.8989,747.5442,275.1611,229.2957,123.7245,0,4353.7536,14.9166,361.8616,2081.4713,0.122,0.0
AUS_J61,70.3579,10.5275,103.0416,99.6694,21.1848,131.9514,6.4206,44.7822,81.8245,99.8555,5.3226,8.3552,73.3402,7.1482,0.2794,126.6377,43.0302,30.5254,100.7994,60.9603,145.4176,151.3913,150.4089,136.5542,1608.7345,2647.5487,159.085,26.7323,40.9351,388.1244,160.3313,139.5619,1243.5292,6406.8189,1191.5886,2744.0729,266.4254,1113.3981,1246.1792,1910.5939,1118.444,864.6564,224.1788,481.683,0,8933.089,4.3247,114.1543,2692.2918,0.2954,0.0
AUS_J62_63,108.2008,35.5439,466.4089,325.0409,21.2049,243.4464,20.3968,59.8185,225.1761,56.5042,13.1443,16.8923,134.3308,10.738,1.3663,122.0477,66.8741,32.2049,115.941,169.1823,477.7786,129.5368,336.2039,148.978,1327.09,3656.5677,280.8878,55.8496,39.428,455.7234,205.6945,175.0705,1030.9641,2181.6066,5441.6419,12394.8433,324.7536,3136.7448,2704.0279,5117.2985,2092.1404,873.2016,488.0387,531.998,0,2419.2214,5.1989,48.0599,10979.5204,1.0342,0.0
AUS_K,4284.8586,313.5275,5867.2149,3210.9797,311.7181,1316.5948,44.3407,155.6794,145.0305,91.1562,23.6573,30.0552,131.3928,19.9042,5.7591,254.8636,62.6814,64.3376,153.7825,203.5229,403.1697,260.0026,4657.5498,4292.9826,6202.9768,5682.5127,1028.933,1150.1591,183.8226,3393.1961,226.6661,1649.0334,275.8412,1310.6326,696.4705,21408.0527,25404.9278,6341.0342,3760.3504,6044.3292,2405.422,3554.1306,394.3918,390.8886,0,52384.1334,54.859,105.5494,521.3627,9.7698,0.0
AUS_L,546.5408,31.9613,366.1722,1122.9731,14.9485,237.7417,4.1643,48.8892,96.8413,276.6684,3.1208,4.9387,40.1103,9.1434,0.1825,240.8032,17.9589,18.4018,52.2277,68.665,157.6709,51.2735,47.5956,194.8511,3126.1813,9467.5775,639.1415,55.9665,192.8674,740.8434,495.3064,2856.5592,226.859,1622.5337,1611.7976,1476.6991,3834.6928,3730.379,5675.6211,1292.5148,1650.3962,1125.9115,467.4501,209.4199,0,157186.9015,37.9479,289.6516,8900.378,0.2034,0.0
AUS_M,2470.788,260.949,1585.7477,3571.2117,2899.5593,1336.086,35.7392,245.4523,739.8187,310.0682,39.0824,101.8424,383.9611,49.4596,0.791,778.2305,336.7635,316.9083,758.1079,269.8932,500.7521,840.3602,729.6422,2792.6343,12492.1515,10436.7051,1482.9381,513.0408,716.0675,1825.5736,275.5586,590.8335,931.7737,2728.4163,5215.2011,6951.7084,5415.458,23948.6899,6362.6916,5443.1452,1757.5775,3621.3479,1754.3704,720.3434,0,3493.408,38.3521,3219.2617,15396.6808,1.4904,0.0
AUS_N,1302.3131,328.0247,1953.4923,1593.4398,262.528,1929.9509,96.8638,341.5584,376.3915,183.5858,22.7694,46.7199,395.4152,57.6281,1.15,449.0917,122.608,116.0338,275.374,160.9973,319.9586,828.0747,733.1572,615.7944,7843.096,6509.8932,1154.9698,368.1435,1634.9866,5184.1451,837.76,3399.551,732.5056,634.4843,4420.5552,8033.5761,3364.628,10396.4197,10058.5168,3991.362,3608.2453,6854.3988,2241.2613,1590.3517,0,3245.1879,18.4514,3945.2026,7.3341,0.3383,0.0
AUS_O,70.4115,18.7611,589.1171,1000.2684,41.3439,177.9834,2.5766,41.1574,146.3273,104.0406,16.7628,32.0166,134.6178,8.2,0.1978,151.6229,18.7009,18.622,57.7299,74.4414,213.6711,186.7682,116.3952,140.8304,2019.0353,1079.7219,747.9102,13.6702,5.885,755.2881,181.6508,45.4361,429.3542,221.8534,1181.3018,923.746,283.2691,2086.7785,1112.1337,3623.0868,1326.7754,872.4464,199.6793,290.5418,0,880.0196,77.7045,109941.9881,993.7441,0.0,0.0
AUS_P,8.9185,1.7786,62.4879,71.2106,7.3814,35.8494,2.464,6.6585,12.4957,18.6755,1.3373,3.0291,10.4599,1.8421,0.0977,16.2255,4.7422,4.2064,11.984,8.3788,18.7828,25.2862,94.3223,57.4989,89.7851,135.7597,33.2526,5.3975,4.6881,50.4726,12.1872,12.0588,29.0463,36.3418,133.5276,734.9635,40.1244,325.3895,259.9043,240.6291,846.6652,179.8543,172.9443,77.1257,0,36988.8026,488.6434,48661.5904,145.143,0.1833,0.0
AUS_Q,0.821,3.9387,2.5035,0.0,1.5405,24.4922,6.857,13.5051,10.5434,2.6943,9.856,25.7852,7.7776,0.1415,0.0157,1.2985,0.7865,0.787,2.0533,0.4997,1.3586,7.2608,2.0729,0.8317,8.4346,26.2213,0.0,2.9338,0.0,9.4753,27.6307,6.7403,14.4827,0.0,0.0,1714.1474,6.2401,25.2028,71.6371,271.6906,177.9069,2315.3764,10.3689,13.1603,0,39788.2436,737.8341,109079.7218,0.0,0.0,0.0
AUS_R,7.2137,2.4051,93.855,98.2628,6.4795,5.5476,0.4533,1.0715,1.3262,1.2155,0.1161,0.2106,1.0188,0.1159,0.0073,1.9337,0.332,0.2424,0.7291,1.8452,4.0313,2.5743,30.6169,2.8346,258.7342,395.1583,14.9881,7.0866,10.7552,3.9696,2.6875,38.0281,212.4904,18.2263,27.3292,183.4238,56.2423,502.3594,350.8274,300.936,942.2293,537.045,1686.373,96.5672,0,11457.9811,305.8266,4681.7453,160.6608,0.2737,0.0
AUS_S,75.2819,28.9724,260.4771,494.9205,41.148,38.4678,8.3729,21.6504,19.2058,53.6566,1.1597,1.9831,20.1866,2.6087,0.0457,14.8275,2.5069,2.1027,6.3023,5.0327,10.7144,19.9758,46.4588,94.1975,444.0421,555.9154,142.8925,34.414,14.0235,83.5829,65.275,53.2854,112.3035,170.0431,121.1958,282.7596,113.2802,585.42,314.4518,380.4648,247.7144,1660.6232,126.5592,243.575,0,13521.1484,1548.8413,802.3584,0.0,0.0,0.0
AUS_T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0
